# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	epmB//
citCDEFXG	thiE//mraY//mug//
clpPX	torZ//tam//cdsA//gpmA//
clpX_lon	rluC//thrA//pgsA//
clsA_yciU	purK//
cmk_rpsA	rihB//
cmoM_mukFEB	
cmtBA_yggPFDC	sbcB//pykF//
coaE_zapD_yacG	amyA//
cobUST	folX//accA//katG//
codBA	pyrD//ydiF//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	melA//
csgBAC	
csgDEFG	gabD//
csiD_lhgO_gabDTP	pphA//folA//nadD//lipA//
cusCFBA	panC//
cusRS	
cvpA_purF_ubiX	glyA//metE//
cydAB	yfbT//
cydDC	queD//
cydX_ybgE	sodA//
cynTS	fadI//yicI//
cynTSX	cpsB//ispG//yeaE//
cyoABCDE	malY//dosP//
cysDNC	fadI//fadI//
cysJIH	rsmD//tauD//tyrS//
cysPUWAM	xapA//fbp//hyi//
dadAX	yeiR//caiC//
damX_dam_rpe_gph_trpS	cheR//citF//rlmA//gloA//
dam_rpe_gph_trpS	rnpA//cysD//ampD//hisI//
dapA_bamC	ilvE//
dapE_ypfN	adeD//
dcm_vsr	yiaK//
dcuB_fumB	gloB//hycE//
dcuSR	
dcyD_tcyLN	murD//kbaY//
ddpXABCDF	tyrA//
def_fmt	garL//thrB//
degQS	trpS//ydiF//
deoABD	cheR//metK//deoC//
deoBD	ybhA//nanE//
deoCABD	ribC//trpE//ispE//rlmA//
dgoRKADT	ltaE//hpt//ycjU//gpp//
dhaKLM	glmU//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	kefF//iaaA//
dinJ_yafQ	menA//
dksA_gluQ	galM//
dmsABC	purE//
dnaAN_recF	hisI//
dnaK_tpke11_dnaJ	uxaA//
dnaN_recF	fadD//
dnaTC	
dnaTC_yjjA	
dosCP	wecC//truD//
dpiBA	
dppABCDF	yfcF//
dsbC_recJ_prfB	xthA//tdk//
dsbD_yjdC	
dsdXA	citE//yagE//
dusB_fis	glnE//
dut_slmA	ilvA//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	lgoD//recJ//
efeOB	phnO//
efeU_1U_2	
elbB_mtgA	ribF//
elfDCG_ycbUVF	
emrKY	rluB//
entCEBAH	nrdF//nadR//argF//sodA//ribC//nfsB//
envY_ompT	ahr//
epd_pgk	lacA//nadR//
epd_pgk_fbaA	sucC//nadC//uidA//
essD_rrrD_rzpD	sgbU//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	aroE//
eutHA	
eutNEJG	
eutSPQTDM	ushA//
evgAS	
exbBD	
fabDG_acpP	nrdD//maeB//
fabG_acpP	ydbC//
fabHDG	ymdB//sodA//gshB//
fabR_yijD	
fadBA	citX//dacD//
fadD_sroD	leuD//
fadIJ	nudJ//rhaA//
fdnGHI	
fdoGHI_fdhE	glyQ//
fdrA_ylbEF_ybcF	glyQ//
fecABCDE	yjeF//mltA//
fecIR	
feoABC	rlmE//
fepA_entD	ycjU//gapA//wecC//
fepDGC	moaE//
fes_ybdZ_entF_fepE	rfbA//wrbA//waaG//
fetAB	
fhuACDB	speD//hcp//
ficA_fic_pabA	dhaK//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	ada//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	menI//argH//
folC_dedD	dgkA//
folD_ybcJ	ampC//
folE_yeiB	gpmM//
folP_glmM	fklB//pfkA//
folX_yfcH	guaD//
frdABCD	mqo//
frlABCDR	yeiG//fklB//rfaD//rfaD//
frmRAB	allB//metC//
fruBKA	leuC//umpH//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	rlmB//dapA//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	lpoA//lplA//gshA//amiD//thiF//gss//gloC//entD//katE//tmcA//
ftsQAZ	
ftsYEX	
fucAO	lgoD//umuD//
fucPIKUR	lipB//fabH//udp//lpxM//
fumAC	purD//dxs//
fusA_tufA	
gabDTP	mug//hemG//aroB//
gadAX	panD//
gadBC	tsaE//lpxK//
gadEF	
gadEF_mdtEF	garR//
gadXW	
galET	prpD//mrcA//
galETK	tyrA//hemF//rbsD//
galETKM	puuE//caiB//torC//apaH//
gapA_yeaD	leuC//
gapC_1C_2	
garPLRK_rnpB	frdD//ackA//deoC//mhpD//yneH//gltA//
gatYZABCD	ilvH//dgcM//xdhA//
gatZABCD	murB//ppiA//asnA//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	tesB//folX//trpA//gshB//cobU//
gcvTHP	fucI//fadI//gcd//
gfcBCD	
gfcE_etp_etk	ybdL//emtA//
ghoST	ulaG//
glcBA	queA//nagA//
glcDEFGBA	trpB//acnB//dcm//
glf_wbbH	glpD//
glgAP	pyrI//pyrH//
glgBXCAP	rlmM//arnA//paaZ//cysS//metH//
glgCAP	citD//alsE//gshB//
glmUS	dgcZ//dapB//
glnALG	ung//
glnHPQ	truA//
glnK_amtB	ada//
glnLG	
glnW_metU_glnVX	
glpABC	moeA//
glpEGR	glpK//dam//
glpFKX	mdh//wecC//aldA//
glpGR	ogt//
glpTQ	lysA//dgkA//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	dut//
glvCBG_ysdC	
glyQS	fabD//
glyVXY	
glyW_cysT_leuZ	
gntKU	folE//idnD//
gntRKU	acs//azoR//
gntX_nfuA	
gpmM_envC_yibQ	ubiC//panB//
groSL	
gspAB	
gspCDEFGHIJKLMO	gatZ//
guaBA	gcd//mutL//
gudPXD	yjhG//solA//
hcaEFCBD	kbaZ//fre//
hcp_hcr	phr//glpB//
hdeAB_yhiD	
hemA_prfA_prmC	deoA//torA//
hemCDXY	yneH//mltC//
hflD_purB	rsmB//
hfq_hflXKC	fadE//
hicAB	
higBA	fadA//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	ybdL//aroK//waaQ//dmsB//
hipBA	fcl//
hisBHAFI	rfaD//dgoD//pspE//purN//
hisJQMP	thrC//apaH//
hisLGDCBHAFI	rluB//fadH//rluE//mutH//prpC//dosC//ygaP//
hofMNOP	
holC_valS	ycjU//
holD_rimI_yjjG	eutB//aroK//
hscBA_fdx_iscX	aceA//
hsdMS	purL//
hsdRMS	trpD//
hslRO	
hslVU	dcd//
hyaABCDEF	
hybOABCDEFG	hyi//
hycABCDEFGHI	pgpB//fumA//
hydN_hypF	acnB//
hyfABCDEFGHIJR_focB	ampD//
hypABCDE	bioD//
hypABCDE_fhlA	curA//
hypBCDE	dusB//
hypBCDE_fhlA	nagA//
iaaA_gsiABCD	insI-3//amyA//
ibaG_murA	glmS//
ibpAB	
idnDOTR	astC//purC//pgaB//
ileS_lspA_fkpB_ispH	fucA//gatD//allD//araB//
ilvEDA	cysI//aroH//can//alaA//
ilvIH	cobS//
ilvLXG_1G_2MEDA	bacA//garD//pdxB//mpaA//plsB//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	acpT//
insN_1I_1O_1	leuA//
insO_2_yjhWV	
iscRSUA	aphA//eutC//
ispDF	kdgK//hcaB//
ispG_sroE	dut//
isrC_flu	
ivbL_ilvBN	cysM//
ivbL_ilvBN_uhpABC	malQ//
kbaZ_agaVWA	entA//
kbl_tdh	aldB//nagZ//
kdpDE	
kdpFABC	folB//
kdsC_lptCAB	phnH//aceE//
kefFC	araD//citE//
kefGB_yheV	deoC//
kilR_ydaE	
lacYA	pagP//dgcM//
lacZYA	gltD//gltA//trpS//
lapAB	
lapAB_pyrF_yciH	araA//
lepAB	glnS//
leuLABCD	lacA//yihU//ttdB//
leuQPV	
leuS_lptE_holA_nadD_cobC	trmD//cysG//ycjG//
lexA_dinF	
lgt_thyA	yneH//lipB//
ligA_ypeB	serS//
livKHMGF	nudL//bioC//
lldPRD	ybaS//rluF//
lolA_rarA	
lolB_ispE_prs	der//allC//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	citF//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	ynfG//roxA//
lptFG	
lspA_fkpB_ispH	ubiA//menE//tdcE//
lsrACDBFG_tam	fdhF//serC//fadH//pfkB//
lsrRK	cheB//
ltaE_ybjT	xylA//
lysT_valT_lysW	
macAB	dcm//
malEFG	gloA//
malK_lamB_malM	atoD//betB//
malPQ	trmJ//garR//
malXY	chbF//frlB//
manXYZ	surA//
map_glnD_dapD	tilS//rnd//dacC//
marRAB	
mazEFG	thiD//
mcrBC	gdhA//
mdlAB	
mdtABCD_baeSR	thiI//
mdtEF	fklB//
mdtJI	proB//
mdtM_yjiN	lpxT//
mdtNOP	fadM//
melAB	yfiC//rluE//
menA_rraA	yiaY//
menBCE	paaZ//hemL//prpC//
menDHBCE	argC//ppx//rnpB//aphA//hflX//
menFDHBCE	uidA//napG//arnC//ung//tilS//hyi//
metBL	dgcM//fabF//
metNIQ	paaK//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	ribA//hcaD//tag//
metZWV	
mglAC	accD//
mglBAC	accD//
mgtLA	sucB//
mhpABCDFE	waaH//yeaE//fabF//yfdE//dld//murF//
mhpR_lacI	
miaA_hfq_hflXKC	gltX//zwf//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	amiD//panE//
mnaT_ydcZ	azoR//
mngAB	torA//mmuM//
mnmG_rsmG	gltD//aroE//
mntR_ybiR	
moaABCDE	argA//metL//
moaBCDE	rhaB//
mobAB	pldA//
modABC	rnd//
modEF	
moeAB	phnN//opgE//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	xdhA//
mqsRA	ubiH//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	trmO//gabT//emtA//yccX//yohF//moeA//coaE//pphB//cfa//mhpD//ldcA//
mreBCD	
mreCD	
msrPQ	
mtlADR	rhaM//proC//fadI//
mtn_btuF_yadS	lpxM//psuK//
murB_birA	fbaA//thrC//
murQP	ahpF//ahpC//ynfG//
murQP_yfeW	trpA//rlmA//eutB//tdcE//
mutL_miaA_hfq_hflXKC	yjeF//speD//mraY//
mutY_yggX	dgoK//
mutY_yggX_mltC	ilvC//iaaA//
mutY_yggX_mltC_nupG	aroL//cysM//cpdB//
nadA_pnuC	kduD//murC//
nagBAC_umpH	pphA//moaD//selA//
nagK_cobB	tig//yihU//
nanATEK_yhcH	cyaA//puuA//ribC//ansA//
nanCM	entC//metK//
nanCMS	lpxD//hemA//
napFDAGHBC	dut//
napFDAGHBC_ccmABCDEFGH	sufS//dapB//
narGHJI	polB//
narWV	rsmJ//
narXL	
narZYWV	proC//
nemRA	sodB//
nemRA_gloA	dgcP//mhpB//
nfrBA	
nhaAR	hemN//
nikABCDER	ybaS//
nirBDC_cysG	pgaD//mngB//guaD//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	rhaD//
nrdAB_yfaE	hypF//
nrdDG	ppx//hemE//
nrdHIEF	yjjX//
nrdR_ribDE_nusB_thiL_pgpA	tsaD//sucC//entA//rlmA//
nrfABCDEFG	hemN//
nsrR_rnr_rlmB_yjfI	narY//uvrB//
nudB_yebC_ruvC	yqjG//hflX//
nudC_hemE_nfi	yigB//cysG//
nudF_yqiB_cpdA_yqiA_parE	cadA//glpK//
nuoABCEFGHIJKLMN	cheB//
nuoMN	yihU//
ompR_envZ	
opgGH	
oppABCDF	rbsD//murC//
osmF_yehYXW	fabI//
otsBA	clsA//ubiH//
paaABCDEFGHIJK	kbaY//ispU//truA//nrdE//gluQ//glnE//pfkB//
paaXY	scpA//
pabB_nudL	glcF//alkB//
pabC_mltG_tmk_holB_ycfH	arnC//deoC//pgi//
panBC	hchA//fsaA//
panE_yajL	srlD//
paoABCD	ppc//
pcnB_folK	paaJ//trmA//
pdeI_dgcI	
pdhR_aceEF_lpd	mnmE//yghU//ybjG//dgt//suhB//gmd//
pdxA_rsmA	paoA//yliI//
pdxA_rsmA_apaGH	trmL//mocA//glpA//
pdxB_usg_truA_dedA	tsaB//phnH//
pdxH_tyrS_pdxY	argI//purT//pyrD//
pdxJ_acpS	rfbD//tdcG//
pepQ_yigZ_trkH_hemG	cobC//nadE//hmp//
pflDC	
pgaABCD	can//glf//recO//
pgk_fbaA	otsB//ulaG//
pgpC_tadA	slyD//glnS//
pheLA	mutY//
pheMST_ihfA	aroK//
phnCDE_1E_2FGHIJKLMNOP	ligB//asnA//ubiH//glmS//yjcS//qor//rfe//
phnLMNOP	sucB//cadA//garD//yggF//narH//
phoA_psiF	gshB//
phoBR	
phoPQ	
pldB_yigL	umpH//tdcB//
plsX_fabHDG	gabT//yciA//ilvG_2//
pntAB	
potABCD	leuS//
potFGHI	napB//
poxB_ltaE_ybjT	tsaB//azoR//
ppdAB_ygdB_ppdC_recC	ravA//
ppdD_hofBC	
ppiB_lpxH	nth//glpK//
ppk_ppx	thrS//nirD//
pqiAB	
preTA	murQ//
prfB_lysS	etk//
priC_ybaM	
prlC_rsmJ	rlmH//tmcA//
prlF_yhaV	yhdJ//
prmB_aroC_mepA_yfcA_epmC_yfcL	scpA//yagE//ahpF//deoA//
proBA	serC//galM//
proQ_prc	mgsA//
proVWX	mazG//
prpBCDE	pgpC//abgA//tktA//ampH//
psd_mscM	
pspABCDE	lyxK//
pspBCDE	cysH//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	lpoB//pdxA//
pth_ychF	menE//
ptrA_recBD	sdhB//ligB//
ptsA_fsaB_gldA	pncC//xdhB//
ptsHI_crr	ybhA//feaB//mug//
purEK	trpS//cpdB//
purHD	hemH//yfdE//
purMN	pdeF//dacD//
puuAP	sucA//yfbT//
puuCBE	ugd//gapA//serA//
puuDRCBE	dfp//cynS//agp//pgaC//
pyrF_yciH	hyuA//
pyrG_eno	puuD//hisC//
pyrLBI	cadA//
qmcA_ybbJ	
qseBC	
radA_nadR	fadM//
rapA_rluA	ssuE//
ratAB	
ravA_viaA	
rbsDACBKR	dacA//lpcA//ispG//
rclABC	
rclBC	
rcnAB	sodA//
rcsDB	
rcsF_trmO	araB//
rdgB_yggW	menD//
rdoA_dsbA	trpC//tyrA//
recAX	
recET_ralR_ydaC_xisR_intR	tyrB//napB//
relA_mazEF	caiB//
relBE	leuA//
relBE_hokD	moaA//
renD_emrE	selB//
rfaD_waaFCL	panD//rlmF//ycjG//ddlB//
rfbACX	rnpA//purN//polB//ubiE//
rfbBDACX	mngB//gldA//rluF//kduI//hypB//glpB//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	nagZ//nrfD//dcm//ydiB//nadR//ybcF//ygiF//menC//ppx//
rhaBAD	slyD//sdaB//rluC//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	pdxJ//lpd//aldA//
ribF_ileS_lspA_fkpB_ispH	yeiR//ispG//ppiB//avtA//srlD//
rimK_ybjN	eptA//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	mltF//caiD//truD//proA//mnaT//hemH//narV//tsaE//leuC//arnC//
rlmE_ftsH	cmoA//paaZ//
rlmL_uup	trpB//
rluD_yfiH	yghU//apt//
rluE_nudJ	gatY//rlmB//
rnc_era	betB//
rnc_era_recO_pdxJ_acpS	ybhA//sdhC//preA//yjcS//
rnlAB	dosP//
rnt_lhr	ascB//
rpe_gph_trpS	yibQ//malQ//sgbU//
rph_pyrE	pdxY//lpxC//
rpiR_alsBACE	umpH//moaA//
rplJL_rpoBC	argA//
rplKAJL_rpoBC	bioB//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	sdhB//
rpmF_plsX_fabHDG	ppiA//bglX//gnd//
rpmH_rnpA	rsmI//relA//
rpmI_rplT	
rpoBC	lpcA//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	nadA//nagZ//fbp//
rppH_ptsP	lysU//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	surA//
rpsO_pnp	ppiC//yiaY//
rpsP_rimM_trmD_rplS	recO//
rpsU_dnaG_rpoD	moeA//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	fabA//ttdB//
rsmA_apaGH	yjeF//pspE//
rsmD_yhhL	dgcZ//
rsmE_gshB	mnaT//glnE//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	xdhA//tynA//argB//maeA//glpB//mnmE//caiB//ppiC//paaA//ahr//yfeW//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	ynfH//
rtcBA	gabD//trmL//
rutABCDEFG	bcsB//pyrH//gsk//yfiH//mtn//nhoA//
ruvAB	rfbA//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	acnA//
scpA_argK_scpBC	pldA//ydfG//alaA//cysN//
sdaCB	tdh//ispG//
sdhCDAB_sucABCD	tpiA//nadC//trxB//csdA//
sdhDAB	
sdhE_cptA	
secB_gpsA	ttdA//
secE_nusG	
secG_leuU	
secMA_mutT	glnA//
selAB	dcd//otsB//
selD_topB	galT//gmhB//
seqA_pgm	thiK//
serB_radA	ilvC//
serC_aroA	murD//rffM//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	otsA//
sgrST_setA	hisD//
skp_lpxD_fabZ_lpxA	rutB//rsuA//argA//
slp_dctR	
solA_yceO	purK//
speAB	rluE//proA//
speF_potE	yihT//atoD//
srlAEBD_gutM_srlR_gutQ	pgl//aroA//bioC//
sroG_ribB	xdhC//
sspAB	
ssrS_fau	rffG//
ssuEADCB	fadI//rnpA//rluD//
stfE_tfaE	
sucAB	epmA//mepS//yghA//
sucABCD	glpD//rsmD//aceF//bacA//
sufABCDSE	leuD//
surA_pdxA_rsmA_apaGH	glpE//alkB//dxr//tpiA//
tag_yiaC	galM//
talA_tktB	tgt//hemB//
tamAB_ytfP	
tar_tap_cheRBYZ	uxaB//adhP//
tatABC	sseA//
tatABCD	kbaZ//ppiB//
tauABCD	thrB//tsaC//
tdcABCDEFG	napC//hyi//kdsD//yqhD//gshB//
tdcBCDEFG	purD//napA//rlmB//mraY//mltB//
tehAB	pdeR//ribB//
tesA_ybbO	tcdA//yicI//
tff_rpsB_tsf	
tgt_yajC	citG//
thiCEFSGH	tesB//aroK//malQ//rluD//folE//
thiMD	rsmD//yciV//
thrLABC	cynS//gshB//yigL//
thrS_infC	purB//
thrS_infC_rpmI_rplT_pheMST_ihfA	yccX//mazG//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	sad//glpK//
tolB_pal_cpoB	
tolC_ygiABC	yjcS//glgP//cdd//dhaK//yliI//prpC//caiC//tsaD//avtA//
tomB_hha	
topAI_yjhQ	
torCAD	glgP//
torYZ	pykA//
treBC	metL//mocA//
trmI_yggL	frmB//
trpCBA	cmoB//ybcF//glpK//ychF//
trpLEDCBA	frmB//prpC//cpdA//dmsC//gmm//paaK//
tsaB_yeaY	lipB//
tsaE_amiB_mutL_miaA_hfq_hflXKC	narI//tdk//yfcG//epd//mhpD//
ttdABT	murG//thiG//
tyrS_pdxY	sucA//nrdD//
tyrTV_tpr	
tyrV_tpr	
ubiCA	glnA//sodC//
ubiEJB	nadR//
udk_dcd	relA//paaZ//
ugpBAECQ	recG//purH//
uhpABC	
uidABC	sucA//pinE//
ulaABCDEF	argS//pgm//cheR//pldA//
umpG_pcm	dmlA//nrdB//
umuDC	thiM//
uof_fur	
upp_uraA	mhpD//menA//
usg_truA_dedA	ilvB//
uvrYC	mcrA//
uxaCA	lplA//codA//
uxuAB	puuA//aes//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	cysG//folM//
waaQGPSBOJYZU	malS//glpK//ulaE//argC//ddlB//mobA//waaP//hypF//gudD//rnb//
waaYZ	treC//dhaK//
waaZU	miaA//ribE//
wbbIJK	ilvC//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	nadD//fucU//glnS//lyxK//sgbU//dcm//
wcaKLM	
wrbA_yccJ	dgoD//
wza_wzb_wzc	dadX//sseA//
wza_wzb_wzc_wcaAB	rnt//dmsB//
xanQ_guaD_ghxQ	folB//garL//rihA//
xapAB	puuA//fadJ//
xdhABC	ghrB//
xerD_dsbC_recJ	folE//dapF//
xseB_ispA_dxs_yajO	thyA//csdA//napG//queA//
xylAB	lpxA//trpA//
xylFGHR	trpC//
yabPQ	
yacC_speED	phnL//rsgA//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	glyS//
yafDE	
yafNOP	aspS//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	eptA//ydiF//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	nadD//
ybaB_recR	pdxY//
ybaST	ulaE//
ybbAP	
ybbY_glxK	proB//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	nirB//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	hemG//
ybeZY	
ybeZYX_lnt	fdhF//
ybfHG	
ybfOC	
ybgA_phr	mcrB//
ybgC_tolQRA	
ybgIJKL_nei	pncB//
ybgQPO	
ybhP_clsB_ybhN	lpxK//
ybiYW	
ybjC_nfsA_rimK_ybjN	ulaG//mngB//
ybjJI	rffC//
ybjO_rlmC	hemG//
ybjQ_amiD	cysJ//
ycaI_msbA_lpxK_ycaQ	rffG//narY//
ycaR_kdsB	gntK//
ycbK_gloC	qor//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	argB//
yciCB	
yciGFE	
yciK_btuR	gltB//
yciVOQ	purE//
yciZT	
ycjMNOPQRSTUV_ymjB	cueO//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	atoB//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	nfsB//fabD//
ydcSTUV_patD	dadX//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	kdgK//
ydgK_rsxABCDGE_nth	pykF//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	astD//caiB//
ydiJ_menI_ydiH	argC//
ydiNB_aroD	phnI//cysG//
ydiQRST_fadK	narG//
ydjA_selD_topB	argC//rlmH//
ydjLKJIHG	yeiG//
ydjXYZ_ynjABCD	
yeaGH	deoB//
yeaR_yoaG	
yeaVW	
yebC_ruvC	truA//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	galE//ubiA//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	proS//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	galE//dusB//
yejABEF	purL//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	rsmE//
yfaX_rhmD	
yfaX_rhmD_yfaVU	aphA//
yfbUT	glyA//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	entE//
