# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	ydjG//
gabDTP	speD//yibQ//rluE//
gadAX	codA//
gadBC	pdxH//yagF//
gadEF	
gadEF_mdtEF	yiaY//
gadXW	
galET	eutC//anmK//
galETK	gnd//nrfA//nadC//
galETKM	yqaB//tig//cobS//ldtB//
gapA_yeaD	rihA//
gapC_1C_2	
garPLRK_rnpB	cysE//atoD//glmU//arnB//araB//mutS//
gatYZABCD	cysE//lysA//thiK//
gatZABCD	gloC//clsB//umuD//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	mltF//puuD//avtA//paoC//kefF//
gcvTHP	fucO//glyQ//yigL//
gfcBCD	
gfcE_etp_etk	rluD//curA//
ghoST	waaF//
glcBA	rrrD//mepS//
glcDEFGBA	glpB//citF//yiaY//
glf_wbbH	hflX//
glgAP	aroC//glpB//
glgBXCAP	rutC//tauD//torY//folM//ftnA//
glgCAP	glcF//dapD//miaA//
glmUS	folB//caiC//
glnALG	ispG//
glnHPQ	mltF//
glnK_amtB	entB//
glnLG	
glnW_metU_glnVX	
glpABC	paoB//
glpEGR	bcsZ//hemG//
glpFKX	fabI//dgoK//clsC//
glpGR	paaY//
glpTQ	murA//nrdA//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	psuG//
glvCBG_ysdC	
glyQS	lpxA//
glyVXY	
glyW_cysT_leuZ	
gntKU	eutB//qor//
gntRKU	cyoE//yegS//
gntX_nfuA	
gpmM_envC_yibQ	napH//tesB//
groSL	
gspAB	
gspCDEFGHIJKLMO	nirB//
guaBA	cysG//tam//
gudPXD	iscS//purT//
hcaEFCBD	mutH//fucI//
hcp_hcr	bioA//pyrF//
hdeAB_yhiD	
hemA_prfA_prmC	can//umuD//
hemCDXY	lpxD//tig//
hflD_purB	napH//
hfq_hflXKC	gabT//
hicAB	
higBA	rsmC//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	chbG//gpsA//ugd//garD//
hipBA	tdk//
hisBHAFI	allB//ispD//lipA//mltB//
hisJQMP	moaE//paaK//
hisLGDCBHAFI	apt//glpB//hisS//epd//udp//polB//trmJ//
hofMNOP	
holC_valS	purN//
holD_rimI_yjjG	lpxL//mraY//
hscBA_fdx_iscX	menA//
hsdMS	queD//
hsdRMS	ispB//
hslRO	
hslVU	bfr//
hyaABCDEF	
hybOABCDEFG	yjhH//
hycABCDEFGHI	caiD//iaaA//
hydN_hypF	nudC//
hyfABCDEFGHIJR_focB	citC//
hypABCDE	dapA//
hypABCDE_fhlA	nanA//
hypBCDE	rlmA//
hypBCDE_fhlA	rlmL//
iaaA_gsiABCD	metL//fre//
ibaG_murA	phnH//
ibpAB	
idnDOTR	yneH//ppsA//citD//
ileS_lspA_fkpB_ispH	ligA//mutM//yiaY//yqaB//
ilvEDA	psuK//yigL//patA//serS//
ilvIH	argC//
ilvLXG_1G_2MEDA	yceF//idnO//umuD//hycD//rffT//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	mutT//
insN_1I_1O_1	ilvM//
insO_2_yjhWV	
iscRSUA	eno//prmB//
ispDF	phnP//trmA//
ispG_sroE	nemA//
isrC_flu	
ivbL_ilvBN	glk//
ivbL_ilvBN_uhpABC	hdhA//
kbaZ_agaVWA	aroH//
kbl_tdh	argG//queC//
kdpDE	
kdpFABC	aphA//
kdsC_lptCAB	nirB//nudF//
kefFC	cdh//purA//
kefGB_yheV	glyQ//
kilR_ydaE	
lacYA	gmm//nrdA//
lacZYA	ldcC//pck//mazG//
lapAB	
lapAB_pyrF_yciH	pflB//
lepAB	gdhA//
leuLABCD	pgsA//eutB//gltB//
leuQPV	
leuS_lptE_holA_nadD_cobC	rutE//entF//lacZ//
lexA_dinF	
lgt_thyA	wcaJ//pgsA//
ligA_ypeB	yeiR//
livKHMGF	sgbH//ynfH//
lldPRD	mazG//paaB//
lolA_rarA	
lolB_ispE_prs	nagK//lacZ//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	luxS//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	purH//dapE//
lptFG	
lspA_fkpB_ispH	asnA//eno//fbaA//
lsrACDBFG_tam	nudC//ispD//tam//ligB//
lsrRK	aroH//
ltaE_ybjT	malZ//
lysT_valT_lysW	
macAB	nadA//
malEFG	udp//
malK_lamB_malM	etk//tatD//
malPQ	fre//ttdA//
malXY	malY//rlmI//
manXYZ	argH//
map_glnD_dapD	scpB//cysE//cobT//
marRAB	
mazEFG	pnp//
mcrBC	fabG//
mdlAB	
mdtABCD_baeSR	hyuA//
mdtEF	fre//
mdtJI	hcaE//
mdtM_yjiN	ugd//
mdtNOP	murD//
melAB	metE//speB//
menA_rraA	glcB//
menBCE	ilvI//pck//gapA//
menDHBCE	yfeX//yfbT//mak//aroB//emtA//
menFDHBCE	fabH//bglB//paaE//dkgA//trpB//hyi//
metBL	cpsB//yjjG//
metNIQ	wzc//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	yccX//sdhA//metA//
metZWV	
mglAC	thiC//
mglBAC	yccX//
mgtLA	eptA//
mhpABCDFE	ligB//uxaB//dgoK//murC//rutE//cysH//
mhpR_lacI	
miaA_hfq_hflXKC	yggF//rsmE//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	cysS//argI//
mnaT_ydcZ	mug//
mngAB	ltaE//eutD//
mnmG_rsmG	prpB//tauD//
mntR_ybiR	
moaABCDE	pdeL//yjjX//
moaBCDE	ndk//
mobAB	paaB//
modABC	nanA//
modEF	
moeAB	relA//ubiF//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	speF//
mqsRA	entH//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	purL//rlmH//lpxA//bioF//adhP//cdh//mutY//purU//aceA//hcp//dmlA//
mreBCD	
mreCD	
msrPQ	
mtlADR	idnO//mutT//frlC//
mtn_btuF_yadS	yqaB//glyA//
murB_birA	argI//alsK//
murQP	epmB//yfaU//arnA//
murQP_yfeW	rsmI//dgcP//preA//tsaD//
mutL_miaA_hfq_hflXKC	dapD//mnmG//speB//
mutY_yggX	rbsK//
mutY_yggX_mltC	tdcD//moeA//
mutY_yggX_mltC_nupG	fabA//dgcZ//preT//
nadA_pnuC	gcvT//mnmG//
nagBAC_umpH	acpH//ybbO//tsaE//
nagK_cobB	galU//dgoD//
nanATEK_yhcH	eda//recF//deoC//argC//
nanCM	alsE//fcl//
nanCMS	mocA//yicI//
napFDAGHBC	sgbH//
napFDAGHBC_ccmABCDEFGH	aes//nrdA//
narGHJI	serA//
narWV	dapD//
narXL	
narZYWV	xdhB//
nemRA	yohF//
nemRA_gloA	mtn//uxuB//
nfrBA	
nhaAR	amiD//
nikABCDER	dapA//
nirBDC_cysG	pfkB//glpD//tdcD//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	ygiF//
nrdAB_yfaE	chbF//
nrdDG	amyA//nth//
nrdHIEF	eptC//
nrdR_ribDE_nusB_thiL_pgpA	btuE//metA//cynT//folP//
nrfABCDEFG	cobB//
nsrR_rnr_rlmB_yjfI	tesB//uxaC//
nudB_yebC_ruvC	melA//pgpB//
nudC_hemE_nfi	argC//preA//
nudF_yqiB_cpdA_yqiA_parE	murI//yqhD//
nuoABCEFGHIJKLMN	trmH//
nuoMN	aslA//
ompR_envZ	
opgGH	
oppABCDF	panE//mutY//
osmF_yehYXW	ycjU//
otsBA	purK//insI-2//
paaABCDEFGHIJK	entF//hmp//thyA//bioF//yghA//menD//rihB//
paaXY	frdD//
pabB_nudL	rbsD//xdhB//
pabC_mltG_tmk_holB_ycfH	kdsA//lpoB//tdk//
panBC	rluB//pheT//
panE_yajL	rnpA//
paoABCD	yfeW//
pcnB_folK	yeiG//lpxT//
pdeI_dgcI	
pdhR_aceEF_lpd	xdhC//nagZ//cysI//phnO//sucC//yfbR//
pdxA_rsmA	hcaF//yfaU//
pdxA_rsmA_apaGH	lsrK//gmd//deoB//
pdxB_usg_truA_dedA	dacC//pck//
pdxH_tyrS_pdxY	rsmI//glpQ//pdxK//
pdxJ_acpS	glcD//yfbT//
pepQ_yigZ_trkH_hemG	yciV//dacD//sucB//
pflDC	
pgaABCD	metC//lpxH//clsC//
pgk_fbaA	bglX//pgpC//
pgpC_tadA	ilvN//tdk//
pheLA	argB//
pheMST_ihfA	yegS//
phnCDE_1E_2FGHIJKLMNOP	glpX//rutE//mgsA//iaaA//yieH//mepS//roxA//
phnLMNOP	sucD//accC//glpD//ynjE//speB//
phoA_psiF	ubiE//
phoBR	
phoPQ	
pldB_yigL	wcaJ//carA//
plsX_fabHDG	nudC//mcrA//valS//
pntAB	
potABCD	yagE//
potFGHI	hycC//
poxB_ltaE_ybjT	nadC//katE//
ppdAB_ygdB_ppdC_recC	ssuD//
ppdD_hofBC	
ppiB_lpxH	kdsC//torA//
ppk_ppx	pncA//ubiE//
pqiAB	
preTA	treF//
prfB_lysS	araB//
priC_ybaM	
prlC_rsmJ	yghA//lpxH//
prlF_yhaV	glgX//
prmB_aroC_mepA_yfcA_epmC_yfcL	fadH//epmA//accB//nadR//
proBA	yieF//rluC//
proQ_prc	maeA//
proVWX	dfp//
prpBCDE	rfe//adiA//ppa//queG//
psd_mscM	
pspABCDE	rne//
pspBCDE	sdhA//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	mltC//dacD//
pth_ychF	alkB//
ptrA_recBD	frmA//speD//
ptsA_fsaB_gldA	astB//chbG//
ptsHI_crr	moeB//yghU//leuD//
purEK	ynfE//waaP//
purHD	nrdD//rutD//
purMN	yhdH//rhaB//
puuAP	cynS//gpmA//
puuCBE	purH//yeiG//mutT//
puuDRCBE	ppx//scpC//ydbC//rnt//
pyrF_yciH	waaA//
pyrG_eno	yahK//thiI//
pyrLBI	ydiO//
qmcA_ybbJ	
qseBC	
radA_nadR	nudJ//
rapA_rluA	yiaK//
ratAB	
ravA_viaA	
rbsDACBKR	argD//kdsD//abgB//
rclABC	
rclBC	
rcnAB	mrcB//
rcsDB	
rcsF_trmO	murF//
rdgB_yggW	scpC//
rdoA_dsbA	glyQ//trmI//
recAX	
recET_ralR_ydaC_xisR_intR	thiM//gltD//
relA_mazEF	yibQ//
relBE	puuB//
relBE_hokD	accD//
renD_emrE	ubiC//
rfaD_waaFCL	relA//idnD//coaE//dgcT//
rfbACX	phnP//nrfD//puuC//gatD//
rfbBDACX	betB//lacA//fadE//aroF//coaD//yrfG//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	eda//gatD//mltB//dgcC//bfr//acnB//metG//glmS//malS//
rhaBAD	allB//preT//cheB//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	uxuB//astD//ybjI//
ribF_ileS_lspA_fkpB_ispH	aphA//solA//katG//insI-2//fucK//
rimK_ybjN	yccX//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	ubiC//dgcZ//hcaF//gshB//glcD//hcaB//ilvI//rfaD//rne//galU//
rlmE_ftsH	ppiA//fabF//
rlmL_uup	emtA//
rluD_yfiH	guaA//xdhC//
rluE_nudJ	garR//feaB//
rnc_era	gss//
rnc_era_recO_pdxJ_acpS	yceF//pyrD//dnaE//yliI//
rnlAB	aroH//
rnt_lhr	lipB//
rpe_gph_trpS	idnO//hemF//glcB//
rph_pyrE	mutT//abgB//
rpiR_alsBACE	thiM//pfkB//
rplJL_rpoBC	mraY//
rplKAJL_rpoBC	dgoA//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	yidA//
rpmF_plsX_fabHDG	tesB//aspA//gmm//
rpmH_rnpA	thrB//ddlB//
rpmI_rplT	
rpoBC	cobS//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	ybdL//paaJ//suhB//
rppH_ptsP	aroK//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	lysA//
rpsO_pnp	yniC//frdA//
rpsP_rimM_trmD_rplS	bioA//
rpsU_dnaG_rpoD	speC//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	mnaT//aroG//
rsmA_apaGH	sgbU//torZ//
rsmD_yhhL	ribC//
rsmE_gshB	queD//ribC//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	poxB//fadD//yfdE//fumB//ycaO//pspE//pdxY//guaC//serC//murQ//malY//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	patA//
rtcBA	aspC//phnN//
rutABCDEFG	alaS//bioA//ispD//tdcG//thiL//acpT//
ruvAB	glpE//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	ilvD//
scpA_argK_scpBC	pykA//ulaF//pdxJ//yjjX//
sdaCB	agp//tmk//
sdhCDAB_sucABCD	sad//carA//dmlA//gph//
sdhDAB	
sdhE_cptA	
secB_gpsA	rlmA//
secE_nusG	
secG_leuU	
secMA_mutT	prpB//
selAB	talB//malZ//
selD_topB	rlmB//menA//
seqA_pgm	entD//
serB_radA	glpA//
serC_aroA	cysC//fabF//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	rsmA//
sgrST_setA	pyrG//
skp_lpxD_fabZ_lpxA	relA//paaK//yjiA//
slp_dctR	
solA_yceO	ldtC//
speAB	ppiB//ilvD//
speF_potE	prpE//rnpB//
srlAEBD_gutM_srlR_gutQ	fadH//glnS//kbaZ//
sroG_ribB	mtlD//
sspAB	
ssrS_fau	pyrG//
ssuEADCB	rutB//ttdB//rfbB//
stfE_tfaE	
sucAB	glcD//frdA//caiC//
sucABCD	mhpC//yeiR//arnT//pflB//
sufABCDSE	frlB//
surA_pdxA_rsmA_apaGH	sdaB//rutE//rsmE//paaY//
tag_yiaC	pncC//
talA_tktB	gshB//paoA//
tamAB_ytfP	
tar_tap_cheRBYZ	bioH//adhP//
tatABC	hmp//
tatABCD	narV//fklB//
tauABCD	ynfF//glcF//
tdcABCDEFG	purD//pdxB//ghrA//cyoE//phr//
tdcBCDEFG	ubiX//umuC//gpt//mcrC//gstB//
tehAB	menF//hcaE//
tesA_ybbO	ilvN//deoC//
tff_rpsB_tsf	
tgt_yajC	dosC//
thiCEFSGH	yneH//adhP//bacA//bioA//ubiC//
thiMD	valS//yajO//
thrLABC	sgbH//dkgA//glcD//
thrS_infC	gpt//
thrS_infC_rpmI_rplT_pheMST_ihfA	nadE//murC//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	argG//sad//
tolB_pal_cpoB	
tolC_ygiABC	rsmE//ushA//ubiA//pgm//glcB//pfkA//gpp//trpD//murA//
tomB_hha	
topAI_yjhQ	
torCAD	nrfC//
torYZ	tnaA//
treBC	rffH//rlmJ//
trmI_yggL	fucI//
trpCBA	dgcC//pgsA//hycG//waaB//
trpLEDCBA	pdxH//paaB//dgcZ//thrS//entA//entB//
tsaB_yeaY	asd//
tsaE_amiB_mutL_miaA_hfq_hflXKC	mutM//yjjX//thiC//tynA//patD//
ttdABT	cysC//nth//
tyrS_pdxY	waaB//accC//
tyrTV_tpr	
tyrV_tpr	
ubiCA	cueO//xylA//
ubiEJB	yeaG//
udk_dcd	nrdD//truB//
ugpBAECQ	pssA//hisH//
uhpABC	
uidABC	torZ//uxaC//
ulaABCDEF	waaH//ldcA//kefF//rlmJ//
umpG_pcm	pncA//mutY//
umuDC	phr//
uof_fur	
upp_uraA	mqo//prpC//
usg_truA_dedA	yhhW//
uvrYC	rlmC//
uxaCA	sseA//hisI//
uxuAB	ileS//ycaO//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	lpxC//bglX//
waaQGPSBOJYZU	mraY//yieH//miaA//surA//aroC//ydiB//pgaD//cysC//ycaO//puuC//
waaYZ	bcsB//panE//
waaZU	kdsA//aspS//
wbbIJK	cysI//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	accB//menD//ilvN//dmsA//argB//talA//
wcaKLM	
wrbA_yccJ	umuD//
wza_wzb_wzc	gltB//rlmM//
wza_wzb_wzc_wcaAB	xdhA//ispU//
xanQ_guaD_ghxQ	ybjI//nrfB//dkgA//
xapAB	glcE//umuC//
xdhABC	pspE//
xerD_dsbC_recJ	sucC//gadA//
xseB_ispA_dxs_yajO	sgbE//mtgA//galT//hisB//
xylAB	prpC//mqo//
xylFGHR	deoA//
yabPQ	
yacC_speED	hemN//proA//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	thiC//
yafDE	
yafNOP	lipA//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	dgoD//napB//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	speE//
ybaB_recR	dxr//
ybaST	dgcM//
ybbAP	
ybbY_glxK	waaC//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	cysE//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	yggF//
ybeZY	
ybeZYX_lnt	mutM//
ybfHG	
ybfOC	
ybgA_phr	argE//
ybgC_tolQRA	
ybgIJKL_nei	thrB//
ybgQPO	
ybhP_clsB_ybhN	gloB//
ybiYW	
ybjC_nfsA_rimK_ybjN	yihT//lacA//
ybjJI	cysD//
ybjO_rlmC	murF//
ybjQ_amiD	pncB//
ycaI_msbA_lpxK_ycaQ	ilvC//tdk//
ycaR_kdsB	lpxK//
ycbK_gloC	queF//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	coaD//
yciCB	
yciGFE	
yciK_btuR	fadD//
yciVOQ	uxaB//
yciZT	
ycjMNOPQRSTUV_ymjB	tpiA//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	ubiG//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	yliI//tmcA//
ydcSTUV_patD	folA//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	ada//
ydgK_rsxABCDGE_nth	trmJ//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	folA//cmk//
ydiJ_menI_ydiH	nanM//
ydiNB_aroD	gloA//kdsA//
ydiQRST_fadK	moaA//
ydjA_selD_topB	mdh//gph//
ydjLKJIHG	hisD//
ydjXYZ_ynjABCD	
yeaGH	panE//
yeaR_yoaG	
yeaVW	
yebC_ruvC	maeB//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	clsC//ydiB//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	ybjG//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	ung//sodB//
yejABEF	rsmE//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	mutY//
yfaX_rhmD	
yfaX_rhmD_yfaVU	yigB//
yfbUT	aslA//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	lsrF//
