# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	dld//
clpPX	gmhB//thiE//cysQ//ugpQ//
clpX_lon	pheA//rhaA//bacA//
clsA_yciU	phnM//
cmk_rpsA	gloC//
cmoM_mukFEB	
cmtBA_yggPFDC	ispG//patZ//
coaE_zapD_yacG	recG//
cobUST	prpE//paaA//rsmG//
codBA	dgoD//folM//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	csdA//
csgBAC	
csgDEFG	phoA//
csiD_lhgO_gabDTP	malP//hemB//murB//ruvB//
cusCFBA	gmd//
cusRS	
cvpA_purF_ubiX	hisF//cyaA//
cydAB	uxaC//
cydDC	moaD//
cydX_ybgE	ubiC//
cynTS	phoA//ilvE//
cynTSX	curA//gdhA//napH//
cyoABCDE	fruK//cysH//
cysDNC	lgoD//cmoB//
cysJIH	yfcF//nagK//proB//
cysPUWAM	arnC//phnH//ssuD//
dadAX	fdhF//betB//
damX_dam_rpe_gph_trpS	glxK//plsB//clsC//ydiF//
dam_rpe_gph_trpS	rutE//yajO//rluD//insI-1//
dapA_bamC	lpxP//
dapE_ypfN	rutD//
dcm_vsr	aldB//
dcuB_fumB	rlmE//yceF//
dcuSR	
dcyD_tcyLN	ycjG//pgl//
ddpXABCDF	rdoA//
def_fmt	ynfH//gadA//
degQS	nrdD//ghrB//
deoABD	selD//araB//trmH//
deoBD	truB//yidA//
deoCABD	mutS//idnD//cysD//eno//
dgoRKADT	cysI//pck//tyrS//qor//
dhaKLM	fkpA//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	hemF//ldtB//
dinJ_yafQ	rutE//
dksA_gluQ	prs//
dmsABC	sodB//
dnaAN_recF	cpdB//
dnaK_tpke11_dnaJ	aceA//
dnaN_recF	rsmJ//
dnaTC	
dnaTC_yjjA	
dosCP	rrrD//amn//
dpiBA	
dppABCDF	glxR//
dsbC_recJ_prfB	paaK//sucA//
dsbD_yjdC	
dsdXA	tktB//miaA//
dusB_fis	mrcB//
dut_slmA	yfiH//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	pepD//opgB//
efeOB	epmB//
efeU_1U_2	
elbB_mtgA	pdeF//
elfDCG_ycbUVF	
emrKY	thiF//
entCEBAH	proA//fdhF//tatD//rpe//mug//rluD//
envY_ompT	yjjG//
epd_pgk	uxuA//anmK//
epd_pgk_fbaA	narG//hemL//tdcB//
essD_rrrD_rzpD	hycG//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	glmU//
eutHA	
eutNEJG	
eutSPQTDM	eptB//
evgAS	
exbBD	
fabDG_acpP	pgsA//waaU//
fabG_acpP	waaO//
fabHDG	hemL//rsmJ//ribA//
fabR_yijD	
fadBA	pncA//yhdH//
fadD_sroD	pgpA//
fadIJ	eno//phnL//
fdnGHI	
fdoGHI_fdhE	kdgK//
fdrA_ylbEF_ybcF	trmI//
fecABCDE	aroE//caiD//
fecIR	
feoABC	chbG//
fepA_entD	ribB//cpdA//glnE//
fepDGC	waaL//
fes_ybdZ_entF_fepE	dosC//lhgO//yiaK//
fetAB	
fhuACDB	amn//clsB//
ficA_fic_pabA	hpt//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	ruvC//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	uvrB//mhpF//
folC_dedD	ppiC//
folD_ybcJ	treC//
folE_yeiB	queC//
folP_glmM	dsdA//ribF//
folX_yfcH	hisD//
frdABCD	fadI//
frlABCDR	malZ//fabZ//tynA//ynjE//
frmRAB	aceF//ispD//
fruBKA	dgt//adhP//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	narZ//tnaA//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	rpiA//dapA//ppc//queD//fklB//luxS//hisA//gmhB//patD//lpxA//
ftsQAZ	
ftsYEX	
fucAO	lpxC//ruvB//
fucPIKUR	speF//rutC//pyrD//umuC//
fumAC	ahpF//dxr//
fusA_tufA	
gabDTP	folK//thiL//glnA//
gadAX	icd//
gadBC	lysU//pinE//
gadEF	
gadEF_mdtEF	maeB//
gadXW	
galET	abgA//nudE//
galETK	cadA//yfeX//hyaC//
galETKM	lysC//waaU//sgbU//hisB//
gapA_yeaD	pgpA//
gapC_1C_2	
garPLRK_rnpB	avtA//yfbR//ygiF//trxB//rlmC//napC//
gatYZABCD	mazG//ppx//thrS//
gatZABCD	fabB//glxK//trmO//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	araD//truB//tktB//acpH//yihV//
gcvTHP	ymdB//nadB//aroC//
gfcBCD	
gfcE_etp_etk	rsmJ//fumB//
ghoST	plsC//
glcBA	gph//edd//
glcDEFGBA	coaE//argA//uxaB//
glf_wbbH	glf//
glgAP	trmH//ssuD//
glgBXCAP	chbF//nrfC//yihX//umpG//purE//
glgCAP	fadI//aslA//tgt//
glmUS	citC//ispD//
glnALG	rnpB//
glnHPQ	mltB//
glnK_amtB	rsuA//
glnLG	
glnW_metU_glnVX	
glpABC	caiC//
glpEGR	tmk//ttdB//
glpFKX	mltF//ynfG//nrfB//
glpGR	hemN//
glpTQ	hisF//hisH//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	gnd//
glvCBG_ysdC	
glyQS	speG//
glyVXY	
glyW_cysT_leuZ	
gntKU	rdgB//gmd//
gntRKU	eno//kduD//
gntX_nfuA	
gpmM_envC_yibQ	napG//yniC//
groSL	
gspAB	
gspCDEFGHIJKLMO	mhpF//
guaBA	tig//purH//
gudPXD	fadH//garK//
hcaEFCBD	ftsI//gstB//
hcp_hcr	entF//mngB//
hdeAB_yhiD	
hemA_prfA_prmC	bioC//rnpA//
hemCDXY	glgC//pspE//
hflD_purB	fumA//
hfq_hflXKC	mnaT//
hicAB	
higBA	eptB//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	paaG//mepS//proC//anmK//
hipBA	dgcT//
hisBHAFI	ubiE//hcaD//dhaK//yfdR//
hisJQMP	tgt//mrdA//
hisLGDCBHAFI	dgt//patD//lpcA//yjjX//bglX//folB//yibQ//
hofMNOP	
holC_valS	relA//
holD_rimI_yjjG	ldtC//pabB//
hscBA_fdx_iscX	dfp//
hsdMS	arnB//
hsdRMS	pykA//
hslRO	
hslVU	prmC//
hyaABCDEF	
hybOABCDEFG	srlD//
hycABCDEFGHI	pheA//nth//
hydN_hypF	pdxY//
hyfABCDEFGHIJR_focB	uxuB//
hypABCDE	garD//
hypABCDE_fhlA	nrdE//
hypBCDE	fre//
hypBCDE_fhlA	dgoK//
iaaA_gsiABCD	ruvA//mdh//
ibaG_murA	alkA//
ibpAB	
idnDOTR	cheR//mutM//opgE//
ileS_lspA_fkpB_ispH	pcm//mngB//metA//thrB//
ilvEDA	dgcT//leuS//maeA//rsmJ//
ilvIH	bglA//
ilvLXG_1G_2MEDA	hemC//phnG//hisD//nudJ//yjjG//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	rluD//
insN_1I_1O_1	gmk//
insO_2_yjhWV	
iscRSUA	nagZ//tsaB//
ispDF	patZ//waaZ//
ispG_sroE	dapE//
isrC_flu	
ivbL_ilvBN	efeB//
ivbL_ilvBN_uhpABC	sdhA//
kbaZ_agaVWA	dapD//
kbl_tdh	ansB//mcrB//
kdpDE	
kdpFABC	purL//
kdsC_lptCAB	sdhB//aroB//
kefFC	yahK//purB//
kefGB_yheV	truA//
kilR_ydaE	
lacYA	garK//mocA//
lacZYA	metB//cynS//kbl//
lapAB	
lapAB_pyrF_yciH	mutM//
lepAB	patZ//
leuLABCD	garR//glnA//sbcB//
leuQPV	
leuS_lptE_holA_nadD_cobC	queD//gshB//aroE//
lexA_dinF	
lgt_thyA	speD//ispA//
ligA_ypeB	cobB//
livKHMGF	rfaD//wecC//
lldPRD	uvrC//sucB//
lolA_rarA	
lolB_ispE_prs	nudE//gntK//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	ogt//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	gsk//fruK//
lptFG	
lspA_fkpB_ispH	zwf//caiC//ribD//
lsrACDBFG_tam	bioB//fabA//eptA//dadX//
lsrRK	glgX//
ltaE_ybjT	tktA//
lysT_valT_lysW	
macAB	glmS//
malEFG	lpxL//
malK_lamB_malM	rlmB//ymdB//
malPQ	trmA//ilvG_2//
malXY	yihS//adk//
manXYZ	gatZ//
map_glnD_dapD	ispG//lipA//lpxC//
marRAB	
mazEFG	purB//
mcrBC	allA//
mdlAB	
mdtABCD_baeSR	sodB//
mdtEF	citF//
mdtJI	bioB//
mdtM_yjiN	paaI//
mdtNOP	pbpC//
melAB	tig//rimK//
menA_rraA	frlC//
menBCE	fucA//rfbC//glpQ//
menDHBCE	bioB//uxaA//fkpA//kbaY//rnb//
menFDHBCE	rfaD//ahpF//ynfE//chbG//tatD//aroA//
metBL	pgpC//dmlA//
metNIQ	wcaJ//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	kdsA//dut//nirD//
metZWV	
mglAC	yohF//
mglBAC	argG//
mgtLA	mgsA//
mhpABCDFE	serB//cpdA//dld//gdhA//trmA//glnS//
mhpR_lacI	
miaA_hfq_hflXKC	cyoE//yieH//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	cysD//mcrA//
mnaT_ydcZ	sodC//
mngAB	caiA//alkA//
mnmG_rsmG	araD//hcaC//
mntR_ybiR	
moaABCDE	nfi//ubiC//
moaBCDE	abgA//
mobAB	miaB//
modABC	kduD//
modEF	
moeAB	purE//frmB//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	paaG//
mqsRA	metK//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	gabD//nanK//dapA//speA//carA//nadC//pyrB//speA//yjjG//avtA//selD//
mreBCD	
mreCD	
msrPQ	
mtlADR	mpaA//nrdB//ribF//
mtn_btuF_yadS	rsmI//frmA//
murB_birA	torC//amn//
murQP	ispU//lpxK//lhgO//
murQP_yfeW	garD//ycjU//cyaA//argB//
mutL_miaA_hfq_hflXKC	pagP//ackA//tyrS//
mutY_yggX	ilvA//
mutY_yggX_mltC	fbaA//nanM//
mutY_yggX_mltC_nupG	rfaE//galE//yjhH//
nadA_pnuC	moaE//waaU//
nagBAC_umpH	etp//nudF//can//
nagK_cobB	allD//yfdR//
nanATEK_yhcH	rluA//hisG//lpxA//argK//
nanCM	mug//deoB//
nanCMS	folX//psuG//
napFDAGHBC	manA//
napFDAGHBC_ccmABCDEFGH	ldtC//dapE//
narGHJI	cpdB//
narWV	gss//
narXL	
narZYWV	ribB//
nemRA	ruvC//
nemRA_gloA	prmC//gmhB//
nfrBA	
nhaAR	ppx//
nikABCDER	rffC//
nirBDC_cysG	yfdR//fklB//gpmM//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	dhaK//
nrdAB_yfaE	glgX//
nrdDG	malS//lysU//
nrdHIEF	pyrB//
nrdR_ribDE_nusB_thiL_pgpA	lysC//treF//fabI//dmsC//
nrfABCDEFG	alaS//
nsrR_rnr_rlmB_yjfI	dapE//truA//
nudB_yebC_ruvC	thrC//fabZ//
nudC_hemE_nfi	mocA//yajO//
nudF_yqiB_cpdA_yqiA_parE	queA//yhdH//
nuoABCEFGHIJKLMN	lipA//
nuoMN	lpcA//
ompR_envZ	
opgGH	
oppABCDF	dgcT//menC//
osmF_yehYXW	manA//
otsBA	idnK//epmA//
paaABCDEFGHIJK	trmJ//carA//mutS//ribC//speB//cysD//eptA//
paaXY	pncB//
pabB_nudL	fabD//paaA//
pabC_mltG_tmk_holB_ycfH	kduD//ldtA//deoD//
panBC	dnaQ//caiC//
panE_yajL	sucD//
paoABCD	ybhA//
pcnB_folK	dusB//thiE//
pdeI_dgcI	
pdhR_aceEF_lpd	cynT//tauD//ruvB//mrdA//eutB//caiB//
pdxA_rsmA	deoC//deoD//
pdxA_rsmA_apaGH	tktA//nrdE//lysU//
pdxB_usg_truA_dedA	alaC//hisG//
pdxH_tyrS_pdxY	yibQ//lpxK//accC//
pdxJ_acpS	gnd//queG//
pepQ_yigZ_trkH_hemG	dcyD//coaE//purC//
pflDC	
pgaABCD	ispD//gdhA//rhaB//
pgk_fbaA	yiaY//glcF//
pgpC_tadA	zwf//clsB//
pheLA	pssA//
pheMST_ihfA	gudD//
phnCDE_1E_2FGHIJKLMNOP	citX//pck//rutE//astB//btuR//rbsD//tdcG//
phnLMNOP	prmC//hcaD//carA//accD//sucA//
phoA_psiF	nrdE//
phoBR	
phoPQ	
pldB_yigL	lpxD//nadK//
plsX_fabHDG	hflX//nrfB//yagE//
pntAB	
potABCD	melA//
potFGHI	rsgA//
poxB_ltaE_ybjT	wbbI//hisF//
ppdAB_ygdB_ppdC_recC	yneH//
ppdD_hofBC	
ppiB_lpxH	wzb//xthA//
ppk_ppx	metH//menF//
pqiAB	
preTA	uvrB//
prfB_lysS	lyxK//
priC_ybaM	
prlC_rsmJ	mhpE//rdgB//
prlF_yhaV	rpiA//
prmB_aroC_mepA_yfcA_epmC_yfcL	paaF//rnb//abgB//rlmF//
proBA	proS//prpB//
proQ_prc	waaL//
proVWX	nadA//
prpBCDE	epmA//dam//lpcA//ydbC//
psd_mscM	
pspABCDE	yajO//
pspBCDE	uvrC//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	rpe//glgX//
pth_ychF	astA//
ptrA_recBD	yeiR//menD//
ptsA_fsaB_gldA	hycF//rfbA//
ptsHI_crr	lipA//speB//mhpF//
purEK	gpt//cpdB//
purHD	lacZ//ulaD//
purMN	yneH//folD//
puuAP	hmp//ynfE//
puuCBE	cmoB//lpxB//cysC//
puuDRCBE	amn//dapB//menF//pdxK//
pyrF_yciH	sucD//
pyrG_eno	hemL//ymdB//
pyrLBI	ldcC//
qmcA_ybbJ	
qseBC	
radA_nadR	cobU//
rapA_rluA	tktB//
ratAB	
ravA_viaA	
rbsDACBKR	sdhC//ltaE//mhpF//
rclABC	
rclBC	
rcnAB	recJ//
rcsDB	
rcsF_trmO	rlmA//
rdgB_yggW	eutB//
rdoA_dsbA	dld//pgpA//
recAX	
recET_ralR_ydaC_xisR_intR	glgB//ybcF//
relA_mazEF	narV//
relBE	mpl//
relBE_hokD	yieH//
renD_emrE	pgaD//
rfaD_waaFCL	hcp//clsC//gloA//glmM//
rfbACX	lsrG//ugpQ//lsrK//proS//
rfbBDACX	sodA//kbaZ//ftsI//tktA//ruvB//yfaU//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	tynA//lacZ//hcaD//pgpB//gcd//lysU//puuB//lacA//mnmE//
rhaBAD	nfi//rbsD//dacC//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	panD//nagB//fsaB//
ribF_ileS_lspA_fkpB_ispH	narG//ushA//ghrA//aceB//galE//
rimK_ybjN	yjeF//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	fabA//yieF//lpxA//torC//uxaC//argK//rlmJ//thrC//pcm//scpB//
rlmE_ftsH	paaA//ppx//
rlmL_uup	sdaA//
rluD_yfiH	cof//fbp//
rluE_nudJ	dapA//gmk//
rnc_era	dxr//
rnc_era_recO_pdxJ_acpS	pyrF//dgoA//ilvD//glcE//
rnlAB	truC//
rnt_lhr	srlD//
rpe_gph_trpS	katE//preA//rph//
rph_pyrE	yciA//purB//
rpiR_alsBACE	folD//dmlA//
rplJL_rpoBC	kbl//
rplKAJL_rpoBC	hcaC//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	clsB//
rpmF_plsX_fabHDG	hmp//selA//lpxB//
rpmH_rnpA	rsmC//napB//
rpmI_rplT	
rpoBC	zwf//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	suhB//truB//gloA//
rppH_ptsP	yhhW//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	def//
rpsO_pnp	moaE//narG//
rpsP_rimM_trmD_rplS	folX//
rpsU_dnaG_rpoD	araD//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	cmoB//sodA//
rsmA_apaGH	ubiC//ghrA//
rsmD_yhhL	cyaA//
rsmE_gshB	def//polB//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	waaA//purA//insI-3//udk//gutQ//pck//eutB//hisG//yeiG//putA//entA//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	argH//
rtcBA	murE//pheA//
rutABCDEFG	abgA//efeB//rsmB//alsE//ldtE//pnp//
ruvAB	pncC//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	clsA//
scpA_argK_scpBC	speD//dmlA//ldcA//yeaG//
sdaCB	gmm//glgB//
sdhCDAB_sucABCD	phr//mmuM//murG//gor//
sdhDAB	
sdhE_cptA	
secB_gpsA	yhdH//
secE_nusG	
secG_leuU	
secMA_mutT	yccX//
selAB	trpB//nrfC//
selD_topB	hypB//garK//
seqA_pgm	otsA//
serB_radA	ybbO//
serC_aroA	ydfG//ulaG//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	glpC//
sgrST_setA	mhpE//
skp_lpxD_fabZ_lpxA	puuE//aceF//fadE//
slp_dctR	
solA_yceO	ulaD//
speAB	rph//otsB//
speF_potE	rimK//araD//
srlAEBD_gutM_srlR_gutQ	queA//lysA//relA//
sroG_ribB	selD//
sspAB	
ssrS_fau	nudK//
ssuEADCB	ulaF//mhpD//asnA//
stfE_tfaE	
sucAB	cysM//panC//betA//
sucABCD	umpH//arnT//ubiI//trmJ//
sufABCDSE	rrrD//
surA_pdxA_rsmA_apaGH	fsaB//rihC//nudJ//ddlA//
tag_yiaC	waaO//
talA_tktB	pdxH//paaH//
tamAB_ytfP	
tar_tap_cheRBYZ	pgaC//pheA//
tatABC	mog//
tatABCD	citE//yihV//
tauABCD	ilvD//icd//
tdcABCDEFG	pck//mnaT//metH//puuB//fklB//
tdcBCDEFG	paoC//slt//gluQ//waaZ//waaQ//
tehAB	tdk//malZ//
tesA_ybbO	yahK//nudJ//
tff_rpsB_tsf	
tgt_yajC	metG//
thiCEFSGH	gshB//cynS//purF//fkpA//ppk//
thiMD	hypF//mhpA//
thrLABC	bcsZ//moaA//selB//
thrS_infC	frmB//
thrS_infC_rpmI_rplT_pheMST_ihfA	caiB//glyA//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	scpB//ygaP//
tolB_pal_cpoB	
tolC_ygiABC	dosP//cysJ//argF//allC//galE//gcd//glgC//hisC//bglX//
tomB_hha	
topAI_yjhQ	
torCAD	patZ//
torYZ	dnaQ//
treBC	glpX//dnaE//
trmI_yggL	ilvG_1//
trpCBA	ispH//dhaK//ugpQ//oxc//
trpLEDCBA	wzb//yeiR//hisG//prpE//cmk//narV//
tsaB_yeaY	aldB//
tsaE_amiB_mutL_miaA_hfq_hflXKC	sdhA//rfbC//citE//asnB//fabA//
ttdABT	phnM//aspA//
tyrS_pdxY	eptA//dgcM//
tyrTV_tpr	
tyrV_tpr	
ubiCA	ilvA//ycjU//
ubiEJB	citE//
udk_dcd	pldA//yjcS//
ugpBAECQ	glxR//yfeX//
uhpABC	
uidABC	mrcA//rnpA//
ulaABCDEF	avtA//eptA//nagB//oxc//
umpG_pcm	phnI//glnA//
umuDC	tmcA//
uof_fur	
upp_uraA	tynA//hisA//
usg_truA_dedA	dapA//
uvrYC	lpcA//
uxaCA	panC//dgcT//
uxuAB	mutL//psuK//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	metL//fabG//
waaQGPSBOJYZU	gmm//thiH//hcaB//sdhB//panE//yagE//ymdB//waaP//yhdH//mepS//
waaYZ	ilvI//yciA//
waaZU	nagB//pgaC//
wbbIJK	recG//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	ada//araA//dgoD//ansB//rlmE//hcp//
wcaKLM	
wrbA_yccJ	frmB//
wza_wzb_wzc	ilvN//uxaC//
wza_wzb_wzc_wcaAB	pssA//gor//
xanQ_guaD_ghxQ	alr//umpH//mak//
xapAB	pabC//tyrB//
xdhABC	panB//
xerD_dsbC_recJ	panC//phnL//
xseB_ispA_dxs_yajO	frmB//luxS//rlmB//paaY//
xylAB	hflX//pdxB//
xylFGHR	fdhF//
yabPQ	
yacC_speED	recO//orn//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	ybjI//
yafDE	
yafNOP	atoA//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	yneH//rsmH//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	sdhD//
ybaB_recR	gstB//
ybaST	thiL//
ybbAP	
ybbY_glxK	ampH//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	ppx//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	talA//
ybeZY	
ybeZYX_lnt	yicI//
ybfHG	
ybfOC	
ybgA_phr	nth//
ybgC_tolQRA	
ybgIJKL_nei	arnA//
ybgQPO	
ybhP_clsB_ybhN	bioA//
ybiYW	
ybjC_nfsA_rimK_ybjN	menH//katE//
ybjJI	aphA//
ybjO_rlmC	pnp//
ybjQ_amiD	cysK//
ycaI_msbA_lpxK_ycaQ	tmk//pepD//
ycaR_kdsB	azoR//
ycbK_gloC	fabI//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	ilvG_1//
yciCB	
yciGFE	
yciK_btuR	hycC//
yciVOQ	katE//
yciZT	
ycjMNOPQRSTUV_ymjB	rluF//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	preT//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	fabG//bfr//
ydcSTUV_patD	frdC//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	phnN//
ydgK_rsxABCDGE_nth	ansB//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	frmB//wzc//
ydiJ_menI_ydiH	rffG//
ydiNB_aroD	bacA//pheS//
ydiQRST_fadK	birA//
ydjA_selD_topB	epd//proA//
ydjLKJIHG	yfaU//
ydjXYZ_ynjABCD	
yeaGH	garL//
yeaR_yoaG	
yeaVW	
yebC_ruvC	atoB//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	rihA//bioA//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	glf//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	hcaB//bcsZ//
yejABEF	yohF//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	ldhA//
yfaX_rhmD	
yfaX_rhmD_yfaVU	ubiF//
yfbUT	mhpE//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
