# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	rsmC//
bfd_bfr	puuE//
bglGFB	pphB//dusA//
bglH_yieLK	
bioBFCD	sbcB//mhpA//moaE//rpiA//
brnQ_proY	cysI//kdsD//
btuB_murI	trpD//yqaB//
btuCED	narG//hcaC//
cadBA	ilvD//ybdL//
caiCDE	yicI//trxB//
caiTABCDE	prs//dinB//yghA//kdsC//waaA//
carAB	kdgK//
casABCDE12	thrA//
casDE12	dosP//
cbpAM	
cbrBC	
ccmABCDEFGH	paaF//
cecR_ybhGFSR	
chaBC	
chbBCARFG	paaB//ybhA//puuB//
chiP_ybfN	aroA//
chpSB	fkpA//
citCDEFXG	dgt//ndh//panB//
clpPX	yihX//ydiB//nrdA//citE//
clpX_lon	mhpF//rutB//psd//
clsA_yciU	murA//
cmk_rpsA	yceF//
cmoM_mukFEB	
cmtBA_yggPFDC	aroC//cpdB//
coaE_zapD_yacG	nudK//
cobUST	proB//hemC//citG//
codBA	patA//ispD//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	folE//
csgBAC	
csgDEFG	pdxA//
csiD_lhgO_gabDTP	rfaE//paaI//phnO//aspS//
cusCFBA	ppc//
cusRS	
cvpA_purF_ubiX	yhdJ//ssuD//
cydAB	pphA//
cydDC	thiF//
cydX_ybgE	codA//
cynTS	citC//mmuM//
cynTSX	ydfG//aroA//ulaG//
cyoABCDE	aphA//lpxM//
cysDNC	lpxD//lysA//
cysJIH	patA//murC//pdeF//
cysPUWAM	yfbR//dcm//tauD//
dadAX	purL//yqjH//
damX_dam_rpe_gph_trpS	rpiB//add//gatZ//hycB//
dam_rpe_gph_trpS	manA//rpiA//solA//nrfD//
dapA_bamC	nhoA//
dapE_ypfN	ampH//
dcm_vsr	nirB//
dcuB_fumB	cpsB//narZ//
dcuSR	
dcyD_tcyLN	hcaB//rlmE//
ddpXABCDF	nagB//
def_fmt	polB//nagK//
degQS	galK//sbcB//
deoABD	argH//recJ//glpQ//
deoBD	sgbE//udp//
deoCABD	napA//panC//waaC//mtn//
dgoRKADT	ydfG//ynfE//napA//uxaA//
dhaKLM	tag//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	dld//glmS//
dinJ_yafQ	ilvD//
dksA_gluQ	lpxA//
dmsABC	accA//
dnaAN_recF	trpD//
dnaK_tpke11_dnaJ	nrdA//
dnaN_recF	cpsG//
dnaTC	
dnaTC_yjjA	
dosCP	adk//thiK//
dpiBA	
dppABCDF	truD//
dsbC_recJ_prfB	maeB//lysC//
dsbD_yjdC	
dsdXA	moaE//yfiH//
dusB_fis	gstA//
dut_slmA	cfa//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	kdsD//yidA//
efeOB	dusA//
efeU_1U_2	
elbB_mtgA	napC//
elfDCG_ycbUVF	
emrKY	garR//
entCEBAH	serA//ribC//upp//kdsA//xdhB//sdhB//
envY_ompT	ycaO//
epd_pgk	mdh//rrrD//
epd_pgk_fbaA	nrdE//opgB//entF//
essD_rrrD_rzpD	rsmD//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	pgpC//
eutHA	
eutNEJG	
eutSPQTDM	fumA//
evgAS	
exbBD	
fabDG_acpP	thiL//putA//
fabG_acpP	fabB//
fabHDG	gltD//epmC//pcm//
fabR_yijD	
fadBA	gmm//hcaD//
fadD_sroD	hflX//
fadIJ	garK//sodA//
fdnGHI	
fdoGHI_fdhE	sucC//
fdrA_ylbEF_ybcF	dacC//
fecABCDE	garR//waaJ//
fecIR	
feoABC	lpxK//
fepA_entD	phoA//mak//prs//
fepDGC	mcrB//
fes_ybdZ_entF_fepE	fkpA//fadH//purM//
fetAB	
fhuACDB	lpxT//maa//
ficA_fic_pabA	hycC//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	appA//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	speF//kdsC//
folC_dedD	adiA//
folD_ybcJ	gstB//
folE_yeiB	ribC//
folP_glmM	folD//nudI//
folX_yfcH	rsmI//
frdABCD	mtgA//
frlABCDR	mhpA//cdsA//ileS//rsgA//
frmRAB	glgA//glnE//
fruBKA	slyD//paaG//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	nrdA//glf//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	ubiI//sgbE//mutH//eptC//ydjG//argE//puuD//dadX//sgbH//kduI//
ftsQAZ	
ftsYEX	
fucAO	cysN//hemA//
fucPIKUR	nagB//pck//dmsB//guaB//
fumAC	thiK//sseA//
fusA_tufA	
gabDTP	patA//entB//nrdD//
gadAX	cysD//
gadBC	yagF//clsB//
gadEF	
gadEF_mdtEF	eutC//
gadXW	
galET	gatY//amn//
galETK	fumC//rsmF//paaK//
galETKM	xdhB//waaB//metL//hemL//
gapA_yeaD	ampH//
gapC_1C_2	
garPLRK_rnpB	udp//poxB//phnP//metC//rnpA//ssuE//
gatYZABCD	rutE//gmhB//epmC//
gatZABCD	entB//rffH//yigL//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	hdhA//rsmE//tktA//fabD//murG//
gcvTHP	pyrF//ogt//yajO//
gfcBCD	
gfcE_etp_etk	yibQ//sdhA//
ghoST	queA//
glcBA	dam//amyA//
glcDEFGBA	mutM//idnD//dusB//
glf_wbbH	yjjX//
glgAP	cysC//tauD//
glgBXCAP	cobB//etp//otsB//pyrI//caiA//
glgCAP	galK//nth//otsA//
glmUS	uxaB//metC//
glnALG	yhhW//
glnHPQ	hmp//
glnK_amtB	paaY//
glnLG	
glnW_metU_glnVX	
glpABC	fabA//
glpEGR	murB//epmB//
glpFKX	serS//relA//epmA//
glpGR	clsB//
glpTQ	pdxY//fruK//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	rlmD//
glvCBG_ysdC	
glyQS	garD//
glyVXY	
glyW_cysT_leuZ	
gntKU	malY//rutA//
gntRKU	treA//poxB//
gntX_nfuA	
gpmM_envC_yibQ	ddlB//dxs//
groSL	
gspAB	
gspCDEFGHIJKLMO	epd//
guaBA	thiG//xdhA//
gudPXD	plsC//malS//
hcaEFCBD	pyrD//glgC//
hcp_hcr	ldcC//folK//
hdeAB_yhiD	
hemA_prfA_prmC	ydiF//asnA//
hemCDXY	entC//thrS//
hflD_purB	gsk//
hfq_hflXKC	argC//
hicAB	
higBA	rfbD//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	mraY//nadA//aceB//fadD//
hipBA	pyrC//
hisBHAFI	nanA//argF//narY//nrdB//
hisJQMP	maeB//xdhA//
hisLGDCBHAFI	frlC//rrrD//moaA//cysD//tadA//malQ//cheR//
hofMNOP	
holC_valS	gcvP//
holD_rimI_yjjG	gadB//yfiC//
hscBA_fdx_iscX	aroH//
hsdMS	lgoD//
hsdRMS	argE//
hslRO	
hslVU	sodB//
hyaABCDEF	
hybOABCDEFG	pldB//
hycABCDEFGHI	paaB//bfr//
hydN_hypF	mutH//
hyfABCDEFGHIJR_focB	hisD//
hypABCDE	ybjI//
hypABCDE_fhlA	hpt//
hypBCDE	ghrA//
hypBCDE_fhlA	ulaE//
iaaA_gsiABCD	metG//cpdA//
ibaG_murA	caiD//
ibpAB	
idnDOTR	argG//tilS//kdgK//
ileS_lspA_fkpB_ispH	glpX//gshA//deoC//lpxL//
ilvEDA	lhgO//yiaY//proS//acs//
ilvIH	galK//
ilvLXG_1G_2MEDA	phnG//mtgA//pyrG//rlmC//ispE//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	apt//
insN_1I_1O_1	coaA//
insO_2_yjhWV	
iscRSUA	mhpA//menI//
ispDF	mak//yhdH//
ispG_sroE	csdA//
isrC_flu	
ivbL_ilvBN	fucI//
ivbL_ilvBN_uhpABC	hemE//
kbaZ_agaVWA	ycjG//
kbl_tdh	astE//nudE//
kdpDE	
kdpFABC	caiB//
kdsC_lptCAB	ybcF//etp//
kefFC	bioH//rsmE//
kefGB_yheV	bglB//
kilR_ydaE	
lacYA	araD//entF//
lacZYA	pncC//pgm//uxuB//
lapAB	
lapAB_pyrF_yciH	pyrG//
lepAB	argK//
leuLABCD	ligA//hemB//fklB//
leuQPV	
leuS_lptE_holA_nadD_cobC	galT//purD//lysC//
lexA_dinF	
lgt_thyA	waaQ//lpoB//
ligA_ypeB	ycjG//
livKHMGF	ssuE//pncC//
lldPRD	glxR//ahpF//
lolA_rarA	
lolB_ispE_prs	aroC//narH//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	lacA//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	mutL//trmI//
lptFG	
lspA_fkpB_ispH	pabA//murQ//pfkB//
lsrACDBFG_tam	alaS//thiF//paaI//glgX//
lsrRK	tilS//
ltaE_ybjT	mug//
lysT_valT_lysW	
macAB	ydiF//
malEFG	ilvH//
malK_lamB_malM	treA//lhgO//
malPQ	pflB//cheB//
malXY	ygaP//cysG//
manXYZ	mraY//
map_glnD_dapD	wbbI//murD//puuA//
marRAB	
mazEFG	yfeX//
mcrBC	aspC//
mdlAB	
mdtABCD_baeSR	astB//
mdtEF	sseA//
mdtJI	xdhC//
mdtM_yjiN	ldtE//
mdtNOP	paaE//
melAB	pgaC//waaP//
menA_rraA	oxc//
menBCE	surA//tehB//bioA//
menDHBCE	lacZ//cysK//yajO//speF//argE//
menFDHBCE	sgbU//curA//nfsA//waaZ//gadB//pheT//
metBL	rsuA//pbpC//
metNIQ	melA//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	waaL//malY//mazG//
metZWV	
mglAC	gapA//
mglBAC	pnp//
mgtLA	sdhD//
mhpABCDFE	gmm//mnmC//roxA//can//tatD//dcd//
mhpR_lacI	
miaA_hfq_hflXKC	yjcS//speD//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	etk//nrdF//
mnaT_ydcZ	ybjI//
mngAB	fadM//dapE//
mnmG_rsmG	dnaQ//lpxB//
mntR_ybiR	
moaABCDE	mtn//accC//
moaBCDE	yigL//
mobAB	gltD//
modABC	pheA//
modEF	
moeAB	tdcD//dmsB//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	tmk//
mqsRA	menC//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	dgkA//glmU//pykF//murI//ttdA//ldcA//glyS//lpxA//maeA//argC//yeiG//
mreBCD	
mreCD	
msrPQ	
mtlADR	rluA//hchA//yfbR//
mtn_btuF_yadS	waaB//hisF//
murB_birA	glgA//glpB//
murQP	ubiI//tdcE//preT//
murQP_yfeW	tam//opgE//queG//ilvG_1//
mutL_miaA_hfq_hflXKC	paaI//nrfC//ycaO//
mutY_yggX	yjiA//
mutY_yggX_mltC	mak//aes//
mutY_yggX_mltC_nupG	panD//napG//kbaZ//
nadA_pnuC	gldA//waaH//
nagBAC_umpH	cyaA//napA//aroB//
nagK_cobB	cpdA//waaB//
nanATEK_yhcH	prpD//relA//alsK//glyA//
nanCM	cdd//purN//
nanCMS	ygaP//eno//
napFDAGHBC	clsB//
napFDAGHBC_ccmABCDEFGH	opgB//dut//
narGHJI	rluE//
narWV	betA//
narXL	
narZYWV	araA//
nemRA	ghrA//
nemRA_gloA	ahr//ahpC//
nfrBA	
nhaAR	trpC//
nikABCDER	prpD//
nirBDC_cysG	dsdA//uxaC//atoB//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	bcsZ//
nrdAB_yfaE	rutC//
nrdDG	thiD//nadK//
nrdHIEF	der//
nrdR_ribDE_nusB_thiL_pgpA	ddlA//hemN//uxuB//psuG//
nrfABCDEFG	clsB//
nsrR_rnr_rlmB_yjfI	fes//thiK//
nudB_yebC_ruvC	gpp//allD//
nudC_hemE_nfi	thiC//ttdA//
nudF_yqiB_cpdA_yqiA_parE	gloC//hemL//
nuoABCEFGHIJKLMN	paaK//
nuoMN	xylA//
ompR_envZ	
opgGH	
oppABCDF	lsrF//menB//
osmF_yehYXW	putA//
otsBA	ydiF//nrfA//
paaABCDEFGHIJK	atoA//sgbE//dgoK//dnaQ//lipB//malY//wzb//
paaXY	bfr//
pabB_nudL	sdaA//pgi//
pabC_mltG_tmk_holB_ycfH	fklB//thrB//psd//
panBC	ldcA//ruvA//
panE_yajL	rffG//
paoABCD	acpS//
pcnB_folK	purL//wecC//
pdeI_dgcI	
pdhR_aceEF_lpd	aspA//entE//yjeF//nrdA//murI//purT//
pdxA_rsmA	upp//mpl//
pdxA_rsmA_apaGH	ribE//ilvB//gadB//
pdxB_usg_truA_dedA	plsB//lipA//
pdxH_tyrS_pdxY	atoD//dut//gcvH//
pdxJ_acpS	pheT//metG//
pepQ_yigZ_trkH_hemG	glmS//ltaE//kefF//
pflDC	
pgaABCD	citC//mutY//gcvT//
pgk_fbaA	nanE//fumB//
pgpC_tadA	dacC//mgsA//
pheLA	trpE//
pheMST_ihfA	lacA//
phnCDE_1E_2FGHIJKLMNOP	katG//puuA//yeiG//ispF//recF//folX//prmB//
phnLMNOP	nudG//rsmH//glpQ//gstA//ispU//
phoA_psiF	sbcB//
phoBR	
phoPQ	
pldB_yigL	gmk//pykA//
plsX_fabHDG	der//treF//lgoD//
pntAB	
potABCD	garR//
potFGHI	yagF//
poxB_ltaE_ybjT	pyrI//aes//
ppdAB_ygdB_ppdC_recC	alaS//
ppdD_hofBC	
ppiB_lpxH	kbaZ//thiE//
ppk_ppx	aroA//ycjU//
pqiAB	
preTA	ydfG//
prfB_lysS	yohF//
priC_ybaM	
prlC_rsmJ	tig//dmsA//
prlF_yhaV	feaB//
prmB_aroC_mepA_yfcA_epmC_yfcL	pncB//prpD//paaK//adhP//
proBA	asd//mcrA//
proQ_prc	miaA//
proVWX	dhaM//
prpBCDE	napG//amyA//udp//ldtE//
psd_mscM	
pspABCDE	dcm//
pspBCDE	trpS//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	ppiA//eno//
pth_ychF	pphA//
ptrA_recBD	mnaT//metL//
ptsA_fsaB_gldA	torA//metB//
ptsHI_crr	rluA//dxr//argS//
purEK	phnH//lyxK//
purHD	pyrI//cyaA//
purMN	eno//bcsZ//
puuAP	folP//paoC//
puuCBE	purB//ruvA//tatD//
puuDRCBE	rlmI//ascB//paaB//pdeR//
pyrF_yciH	aspS//
pyrG_eno	dmsB//araB//
pyrLBI	eptC//
qmcA_ybbJ	
qseBC	
radA_nadR	mpaA//
rapA_rluA	ppiC//
ratAB	
ravA_viaA	
rbsDACBKR	ispB//treA//yfeX//
rclABC	
rclBC	
rcnAB	rutD//
rcsDB	
rcsF_trmO	cysN//
rdgB_yggW	frc//
rdoA_dsbA	acnB//ldtE//
recAX	
recET_ralR_ydaC_xisR_intR	dnaQ//hemH//
relA_mazEF	dhaM//
relBE	araA//
relBE_hokD	gltA//
renD_emrE	ddlA//
rfaD_waaFCL	murC//gor//galE//hycF//
rfbACX	menE//astB//menF//glcF//
rfbBDACX	surA//galE//tyrS//citC//moaD//fucO//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	sdhC//rihB//nudK//asnS//insI-2//queA//ispH//phnO//aes//
rhaBAD	dam//mhpF//rsmD//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	thiC//gstB//leuD//
ribF_ileS_lspA_fkpB_ispH	pcm//gmk//asnB//rluB//puuE//
rimK_ybjN	cysS//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	pdxJ//hycB//nrdF//mltD//ldtA//tdcG//gcvP//gmd//gatY//pyrI//
rlmE_ftsH	entB//yliI//
rlmL_uup	ynfG//
rluD_yfiH	thrA//dusC//
rluE_nudJ	mutY//nrfA//
rnc_era	maeA//
rnc_era_recO_pdxJ_acpS	rihA//mraY//cpsB//recF//
rnlAB	ubiG//
rnt_lhr	uxuB//
rpe_gph_trpS	dapD//metH//pyrG//
rph_pyrE	iaaA//ycaO//
rpiR_alsBACE	umuC//hisH//
rplJL_rpoBC	paaK//
rplKAJL_rpoBC	purD//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	kduD//
rpmF_plsX_fabHDG	folK//moeA//dcyD//
rpmH_rnpA	lgoD//cysG//
rpmI_rplT	
rpoBC	mrcA//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	nagZ//pgpA//rffG//
rppH_ptsP	leuB//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	ndh//
rpsO_pnp	nudF//trpD//
rpsP_rimM_trmD_rplS	dkgB//
rpsU_dnaG_rpoD	fruK//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	ugpQ//cmoB//
rsmA_apaGH	rbn//hisH//
rsmD_yhhL	glgB//
rsmE_gshB	gss//pdeL//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	rlmL//nudL//murA//lpxM//amyA//yhdH//paaK//can//ltaE//hyuA//insI-2//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	torY//
rtcBA	fumA//phnH//
rutABCDEFG	aspA//dgcC//murE//ulaG//nadR//ispE//
ruvAB	lgoD//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	glmM//
scpA_argK_scpBC	frmB//dapD//nth//lpxC//
sdaCB	purE//pbpC//
sdhCDAB_sucABCD	hinT//nanE//folB//amn//
sdhDAB	
sdhE_cptA	
secB_gpsA	mpaA//
secE_nusG	
secG_leuU	
secMA_mutT	sseA//
selAB	ackA//bioC//
selD_topB	mtgA//mobA//
seqA_pgm	melA//
serB_radA	mgsA//
serC_aroA	acnB//gph//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	trmJ//
sgrST_setA	hisI//
skp_lpxD_fabZ_lpxA	hyi//tdcD//glpX//
slp_dctR	
solA_yceO	cynS//
speAB	bioC//alaC//
speF_potE	tsaC//uxaA//
srlAEBD_gutM_srlR_gutQ	zwf//lpoB//allD//
sroG_ribB	allB//
sspAB	
ssrS_fau	yhdH//
ssuEADCB	pykA//thiF//ndk//
stfE_tfaE	
sucAB	dacD//mnmA//ileS//
sucABCD	fes//cueO//fucA//mqo//
sufABCDSE	sucC//
surA_pdxA_rsmA_apaGH	garR//waaU//ybiV//clsC//
tag_yiaC	uxaC//
talA_tktB	rnb//ldtB//
tamAB_ytfP	
tar_tap_cheRBYZ	entE//pyrG//
tatABC	thrB//
tatABCD	insI-1//psd//
tauABCD	ydbC//pdxB//
tdcABCDEFG	serA//yceF//gltB//thrB//trmA//
tdcBCDEFG	rlmB//prpE//plsB//mutM//folA//
tehAB	dusA//waaG//
tesA_ybbO	fabH//ybjG//
tff_rpsB_tsf	
tgt_yajC	folA//
thiCEFSGH	nrdB//cysC//bioC//hemA//murD//
thiMD	dcm//leuC//
thrLABC	yfiC//argB//appA//
thrS_infC	ygaP//
thrS_infC_rpmI_rplT_pheMST_ihfA	murB//lhgO//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	pyrD//cheR//
tolB_pal_cpoB	
tolC_ygiABC	dusA//mpaA//entA//ilvN//yiaY//argG//cyaA//puuE//glgC//
tomB_hha	
topAI_yjhQ	
torCAD	waaA//
torYZ	glgP//
treBC	adiA//murG//
trmI_yggL	rfbA//
trpCBA	ispG//pncC//ribB//prpB//
trpLEDCBA	frlB//adk//sgbU//bcsZ//ybhA//rlmE//
tsaB_yeaY	yqjH//
tsaE_amiB_mutL_miaA_hfq_hflXKC	pssA//ribB//yciV//cysM//acnB//
ttdABT	ilvN//mutS//
tyrS_pdxY	gpmM//speF//
tyrTV_tpr	
tyrV_tpr	
ubiCA	leuS//glyA//
ubiEJB	aspA//
udk_dcd	panC//sdaB//
ugpBAECQ	dgt//aceE//
uhpABC	
uidABC	ydjG//rlmA//
ulaABCDEF	rnpB//rlmI//yfiC//appA//
umpG_pcm	nemA//murQ//
umuDC	rlmM//
uof_fur	
upp_uraA	cdd//rffH//
usg_truA_dedA	lgoD//
uvrYC	hemE//
uxaCA	trmI//paaE//
uxuAB	purN//umuC//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	yiaY//ispF//
waaQGPSBOJYZU	rluC//abgA//napC//leuB//yciV//gpmM//rne//ppc//rhaM//ldhA//
waaYZ	ilvI//otsB//
waaZU	mmuM//fucI//
wbbIJK	rlmJ//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	deoA//glpK//cynS//bacA//napA//menD//
wcaKLM	
wrbA_yccJ	hisB//
wza_wzb_wzc	garL//gdhA//
wza_wzb_wzc_wcaAB	lysS//gldA//
xanQ_guaD_ghxQ	sucB//pgm//ribE//
xapAB	pfkB//dmlA//
xdhABC	fkpB//
xerD_dsbC_recJ	dnaE//hemD//
xseB_ispA_dxs_yajO	rffH//rsmF//ybiV//queF//
xylAB	wzc//lysC//
xylFGHR	waaQ//
yabPQ	
yacC_speED	pgk//tig//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	nfsB//
yafDE	
yafNOP	frdD//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	bioA//ampH//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	arnC//
ybaB_recR	bioB//
ybaST	fucI//
ybbAP	
ybbY_glxK	yeiR//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	ubiA//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	frlD//
ybeZY	
ybeZYX_lnt	thiD//
ybfHG	
ybfOC	
ybgA_phr	mtlD//
ybgC_tolQRA	
ybgIJKL_nei	ispH//
ybgQPO	
ybhP_clsB_ybhN	dgkA//
ybiYW	
ybjC_nfsA_rimK_ybjN	speA//ldtD//
ybjJI	paaK//
ybjO_rlmC	menF//
ybjQ_amiD	rnpA//
ycaI_msbA_lpxK_ycaQ	yeiG//yeaG//
ycaR_kdsB	ymdB//
ycbK_gloC	xapA//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	astA//
yciCB	
yciGFE	
yciK_btuR	gudD//
yciVOQ	moaE//
yciZT	
ycjMNOPQRSTUV_ymjB	yqhD//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	rpiB//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	purU//pabC//
ydcSTUV_patD	lsrG//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	ilvM//
ydgK_rsxABCDGE_nth	pgpB//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	ghrB//argH//
ydiJ_menI_ydiH	dapA//
ydiNB_aroD	kdsA//rbn//
ydiQRST_fadK	accB//
ydjA_selD_topB	cobB//waaL//
ydjLKJIHG	gadB//
ydjXYZ_ynjABCD	
yeaGH	mmuM//
yeaR_yoaG	
yeaVW	
yebC_ruvC	hcaF//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	pnp//ansA//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	pdeR//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	fabH//suhB//
yejABEF	fucU//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	patA//
yfaX_rhmD	
yfaX_rhmD_yfaVU	yfdE//
yfbUT	dcd//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	lpxD//
