# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	cobT//
clpX_lon	rne//ydbC//dgcT//
clsA_yciU	mrcB//
cmk_rpsA	lacZ//
cmoM_mukFEB	
cmtBA_yggPFDC	mmuM//yrfG//
coaE_zapD_yacG	rdoA//
cobUST	idi//uvrB//gadA//
codBA	mrcB//aroK//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	maeB//
csgBAC	
csgDEFG	wcaJ//
csiD_lhgO_gabDTP	alsK//nudL//yiaK//nudC//
cusCFBA	psuG//
cusRS	
cvpA_purF_ubiX	fabF//yjhG//
cydAB	yeaG//
cydDC	ghrB//
cydX_ybgE	ispE//
cynTS	mhpB//dhaK//
cynTSX	napB//rluA//nth//
cyoABCDE	gutQ//rnb//
cysDNC	yjeF//rsgA//
cysJIH	ydbC//purA//queA//
cysPUWAM	uxaB//lsrG//scpB//
dadAX	mocA//cof//
damX_dam_rpe_gph_trpS	lpoB//aceA//oxc//lacZ//
dam_rpe_gph_trpS	sodC//deoB//rfbD//btuE//
dapA_bamC	ssuD//
dapE_ypfN	rlmB//
dcm_vsr	yciV//
dcuB_fumB	sbcB//ybbO//
dcuSR	
dcyD_tcyLN	murG//ychF//
ddpXABCDF	aroD//
def_fmt	yrfG//speB//
degQS	nudI//cfa//
deoABD	yfcG//pphB//mltD//
deoBD	cueO//glpQ//
deoCABD	astC//glpK//tdh//yieF//
dgoRKADT	clsC//metB//allB//tyrB//
dhaKLM	trpA//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	acpS//nanE//
dinJ_yafQ	rfbC//
dksA_gluQ	ldtE//
dmsABC	pgaC//
dnaAN_recF	amiD//
dnaK_tpke11_dnaJ	accB//
dnaN_recF	fumC//
dnaTC	
dnaTC_yjjA	
dosCP	paaF//tmk//
dpiBA	
dppABCDF	iaaA//
dsbC_recJ_prfB	wcaJ//hypF//
dsbD_yjdC	
dsdXA	cobU//glnE//
dusB_fis	pheA//
dut_slmA	waaO//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	hisC//cdh//
efeOB	xdhB//
efeU_1U_2	
elbB_mtgA	lacZ//
elfDCG_ycbUVF	
emrKY	hemD//
entCEBAH	ubiE//thyA//hisC//insI-3//trxB//fabF//
envY_ompT	gabD//
epd_pgk	tdcG//waaS//
epd_pgk_fbaA	yghU//queC//mqo//
essD_rrrD_rzpD	fadK//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	glpQ//
eutHA	
eutNEJG	
eutSPQTDM	yghA//
evgAS	
exbBD	
fabDG_acpP	mocA//otsA//
fabG_acpP	queC//
fabHDG	fumC//bioB//yjhG//
fabR_yijD	
fadBA	arnB//chbG//
fadD_sroD	lpxT//
fadIJ	mtgA//ispA//
fdnGHI	
fdoGHI_fdhE	fucI//
fdrA_ylbEF_ybcF	rfbA//
fecABCDE	cysS//ydiB//
fecIR	
feoABC	sthA//
fepA_entD	torA//nanK//mnmA//
fepDGC	menI//
fes_ybdZ_entF_fepE	melA//nrdB//dinB//
fetAB	
fhuACDB	cueO//gcl//
ficA_fic_pabA	chbG//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	paaC//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	frlB//acpH//
folC_dedD	mutS//
folD_ybcJ	prpB//
folE_yeiB	citD//
folP_glmM	mmuM//cysJ//
folX_yfcH	mcrB//
frdABCD	pssA//
frlABCDR	caiC//serB//speB//etp//
frmRAB	yliI//katE//
fruBKA	yfbT//glpA//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	fruK//nrfD//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	murA//ubiH//nadE//prs//galK//gluQ//tpiA//csdA//yqhD//leuD//
ftsQAZ	
ftsYEX	
fucAO	dld//moeA//
fucPIKUR	ldtE//wzc//lysU//arnT//
fumAC	aes//hypB//
fusA_tufA	
gabDTP	paaH//araB//yciA//
gadAX	yihV//
gadBC	etp//ygaP//
gadEF	
gadEF_mdtEF	ydfG//
gadXW	
galET	slt//aroA//
galETK	edd//hemD//rfaD//
galETKM	glcB//valS//ppiC//pabC//
gapA_yeaD	puuB//
gapC_1C_2	
garPLRK_rnpB	waaB//waaU//asnS//cysI//miaB//yfaU//
gatYZABCD	pnp//arnA//appA//
gatZABCD	dacA//metH//recO//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	pyrG//speB//gsk//mazG//mnaT//
gcvTHP	cysK//torC//sgbE//
gfcBCD	
gfcE_etp_etk	yeiG//pta//
ghoST	spoT//
glcBA	rrrD//ppiB//
glcDEFGBA	mraY//bioC//alr//
glf_wbbH	pyrC//
glgAP	mltA//yfeX//
glgBXCAP	nanA//umuD//plsB//rhaD//glmM//
glgCAP	mocA//amn//aspS//
glmUS	pnp//murC//
glnALG	dapE//
glnHPQ	alaA//
glnK_amtB	wecB//
glnLG	
glnW_metU_glnVX	
glpABC	gcvH//
glpEGR	galM//tdcG//
glpFKX	ppiB//menI//gltA//
glpGR	dnaQ//
glpTQ	frlB//ubiI//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	ruvA//
glvCBG_ysdC	
glyQS	glnA//
glyVXY	
glyW_cysT_leuZ	
gntKU	argH//glgX//
gntRKU	curA//frdC//
gntX_nfuA	
gpmM_envC_yibQ	kdsD//ybdL//
groSL	
gspAB	
gspCDEFGHIJKLMO	upp//
guaBA	metL//paaC//
gudPXD	tdcG//glpE//
hcaEFCBD	mmuM//epmB//
hcp_hcr	waaS//yceF//
hdeAB_yhiD	
hemA_prfA_prmC	puuD//dxr//
hemCDXY	sucC//ada//
hflD_purB	tdk//
hfq_hflXKC	pyrG//
hicAB	
higBA	luxS//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	cheR//mhpA//pdeL//tam//
hipBA	suhB//
hisBHAFI	pdxK//hisC//purL//yfiH//
hisJQMP	menE//malY//
hisLGDCBHAFI	dcd//trmJ//thiG//selD//leuC//nanM//hisA//
hofMNOP	
holC_valS	pdeH//
holD_rimI_yjjG	lpxK//pta//
hscBA_fdx_iscX	btuR//
hsdMS	tyrB//
hsdRMS	coaA//
hslRO	
hslVU	amn//
hyaABCDEF	
hybOABCDEFG	frmA//
hycABCDEFGHI	glcD//ackA//
hydN_hypF	hemB//
hyfABCDEFGHIJR_focB	sgbH//
hypABCDE	prpC//
hypABCDE_fhlA	ppiC//
hypBCDE	aroA//
hypBCDE_fhlA	pyrF//
iaaA_gsiABCD	lipB//hycF//
ibaG_murA	proB//
ibpAB	
idnDOTR	ddlA//cpdA//fbaA//
ileS_lspA_fkpB_ispH	hisA//ybaS//aroD//glnA//
ilvEDA	xylB//argF//cfa//mrcA//
ilvIH	dxr//
ilvLXG_1G_2MEDA	nadR//yeaG//pfkA//cysD//waaP//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	menA//
insN_1I_1O_1	tilS//
insO_2_yjhWV	
iscRSUA	rfbD//napA//
ispDF	yfbT//nrfC//
ispG_sroE	xapA//
isrC_flu	
ivbL_ilvBN	valS//
ivbL_ilvBN_uhpABC	umuD//
kbaZ_agaVWA	gshA//
kbl_tdh	rpiA//hcp//
kdpDE	
kdpFABC	nagK//
kdsC_lptCAB	murG//waaZ//
kefFC	tktA//glcB//
kefGB_yheV	yhdJ//
kilR_ydaE	
lacYA	proA//dapD//
lacZYA	pdeH//pgaB//entH//
lapAB	
lapAB_pyrF_yciH	tpiA//
lepAB	tktA//
leuLABCD	yghU//ansA//lpxB//
leuQPV	
leuS_lptE_holA_nadD_cobC	leuA//argC//gabD//
lexA_dinF	
lgt_thyA	psuG//pgaD//
ligA_ypeB	ndh//
livKHMGF	rsmC//tyrA//
lldPRD	recG//folM//
lolA_rarA	
lolB_ispE_prs	folE//zwf//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	pphB//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	hycE//nudE//
lptFG	
lspA_fkpB_ispH	pabA//selD//uxaB//
lsrACDBFG_tam	adk//dhaK//rffH//pcm//
lsrRK	orn//
ltaE_ybjT	lacZ//
lysT_valT_lysW	
macAB	truC//
malEFG	entH//
malK_lamB_malM	umpG//bcsA//
malPQ	ghrB//waaG//
malXY	mhpA//phr//
manXYZ	ldtB//
map_glnD_dapD	rffC//rhaA//allD//
marRAB	
mazEFG	rlmI//
mcrBC	nadR//
mdlAB	
mdtABCD_baeSR	gpt//
mdtEF	ldtB//
mdtJI	waaC//
mdtM_yjiN	yfcF//
mdtNOP	acs//
melAB	dadA//pgpA//
menA_rraA	citX//
menBCE	ydjG//rpiB//rrrD//
menDHBCE	plsC//phnL//dhaL//cysJ//thiC//
menFDHBCE	mobA//accA//glgP//kdsA//upp//wzc//
metBL	tsaB//poxB//
metNIQ	lpxH//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	alaA//gcl//ndk//
metZWV	
mglAC	rlmF//
mglBAC	ydfG//
mgtLA	deoD//
mhpABCDFE	mtgA//miaB//uvrA//ulaG//ydiF//nrfB//
mhpR_lacI	
miaA_hfq_hflXKC	rnd//bioC//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	gor//hycG//
mnaT_ydcZ	dsdA//
mngAB	wrbA//glgC//
mnmG_rsmG	coaE//panD//
mntR_ybiR	
moaABCDE	frlD//galU//
moaBCDE	paaY//
mobAB	rsmJ//
modABC	asd//
modEF	
moeAB	qor//yiaY//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	napB//
mqsRA	rnpA//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	arnT//wecB//paaG//rsmG//zwf//fdhF//acpT//solA//apaH//hemF//ushA//
mreBCD	
mreCD	
msrPQ	
mtlADR	frdB//dinB//bcsB//
mtn_btuF_yadS	pgsA//yqhD//
murB_birA	nadA//gadB//
murQP	dgcC//rffG//pgk//
murQP_yfeW	fbaA//yeaE//cobS//bacA//
mutL_miaA_hfq_hflXKC	tsaC//galT//nudJ//
mutY_yggX	fabG//
mutY_yggX_mltC	ybbO//mnmA//
mutY_yggX_mltC_nupG	rluE//panB//fabI//
nadA_pnuC	nadK//dgcZ//
nagBAC_umpH	pgaC//sdaB//pncC//
nagK_cobB	nanE//dut//
nanATEK_yhcH	alr//pgaD//dcd//waaS//
nanCM	deoC//nrdE//
nanCMS	argC//ftnA//
napFDAGHBC	ybjI//
napFDAGHBC_ccmABCDEFGH	yfiH//dmsB//
narGHJI	murB//
narWV	waaA//
narXL	
narZYWV	uxuB//
nemRA	paaK//
nemRA_gloA	leuB//tgt//
nfrBA	
nhaAR	narY//
nikABCDER	bioA//
nirBDC_cysG	glmS//kdgK//bglB//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	chbG//
nrdAB_yfaE	rsmC//
nrdDG	ribA//gabT//
nrdHIEF	tehB//
nrdR_ribDE_nusB_thiL_pgpA	ynfG//lpd//purE//murG//
nrfABCDEFG	dhaL//
nsrR_rnr_rlmB_yjfI	argA//yfaU//
nudB_yebC_ruvC	gcvH//ilvG_1//
nudC_hemE_nfi	ppiC//yjcS//
nudF_yqiB_cpdA_yqiA_parE	ghrB//ynfE//
nuoABCEFGHIJKLMN	pykA//
nuoMN	gatD//
ompR_envZ	
opgGH	
oppABCDF	yeiR//aldB//
osmF_yehYXW	ubiA//
otsBA	napB//qor//
paaABCDEFGHIJK	nudL//murE//galT//mltF//dcyD//nrfA//wzb//
paaXY	rluE//
pabB_nudL	fadA//sucC//
pabC_mltG_tmk_holB_ycfH	guaB//lysC//epmC//
panBC	astC//moaD//
panE_yajL	ribE//
paoABCD	alsE//
pcnB_folK	can//cysN//
pdeI_dgcI	
pdhR_aceEF_lpd	glgX//aroK//rdgB//rpiA//yjhG//opgE//
pdxA_rsmA	uvrB//nrdD//
pdxA_rsmA_apaGH	chbG//thrC//recF//
pdxB_usg_truA_dedA	feaB//gcl//
pdxH_tyrS_pdxY	gcvP//murF//lpxM//
pdxJ_acpS	phnL//yghU//
pepQ_yigZ_trkH_hemG	gsk//folX//melA//
pflDC	
pgaABCD	napC//gutQ//phnG//
pgk_fbaA	nrdA//panC//
pgpC_tadA	ubiX//ynfG//
pheLA	insI-3//
pheMST_ihfA	moaE//
phnCDE_1E_2FGHIJKLMNOP	gadB//hemG//dut//yjhH//rnpA//alsE//murE//
phnLMNOP	gloA//ydbC//rffH//valS//gshA//
phoA_psiF	ynfH//
phoBR	
phoPQ	
pldB_yigL	pcm//waaQ//
plsX_fabHDG	deoA//codA//paaE//
pntAB	
potABCD	metL//
potFGHI	rutD//
poxB_ltaE_ybjT	ansB//rsgA//
ppdAB_ygdB_ppdC_recC	lyxK//
ppdD_hofBC	
ppiB_lpxH	putA//epd//
ppk_ppx	yrfG//nadB//
pqiAB	
preTA	tehB//
prfB_lysS	btuR//
priC_ybaM	
prlC_rsmJ	murE//purC//
prlF_yhaV	mutT//
prmB_aroC_mepA_yfcA_epmC_yfcL	mnmC//ligB//leuS//trpA//
proBA	dmsB//speB//
proQ_prc	gltB//
proVWX	waaG//
prpBCDE	garD//tyrS//cpsB//dadA//
psd_mscM	
pspABCDE	gsk//
pspBCDE	gatY//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	epd//amn//
pth_ychF	tdh//
ptrA_recBD	uvrB//sodC//
ptsA_fsaB_gldA	lpxC//paoC//
ptsHI_crr	fumB//mutY//accB//
purEK	yggF//gltA//
purHD	uxuB//ddlA//
purMN	ribE//poxB//
puuAP	wbbI//mutS//
puuCBE	dkgA//rffC//moaD//
puuDRCBE	gcvP//fucA//apt//cysD//
pyrF_yciH	hycG//
pyrG_eno	cobB//sgbU//
pyrLBI	ppsA//
qmcA_ybbJ	
qseBC	
radA_nadR	dsdA//
rapA_rluA	mutT//
ratAB	
ravA_viaA	
rbsDACBKR	metB//napC//queF//
rclABC	
rclBC	
rcnAB	ispB//
rcsDB	
rcsF_trmO	rnt//
rdgB_yggW	ddlA//
rdoA_dsbA	kbaY//psuK//
recAX	
recET_ralR_ydaC_xisR_intR	rpiA//alaS//
relA_mazEF	trmO//
relBE	bcsZ//
relBE_hokD	nudG//
renD_emrE	trmI//
rfaD_waaFCL	ubiE//hyaB//rimK//ribD//
rfbACX	kbl//galU//glcD//nagA//
rfbBDACX	fadM//dxs//tag//trpD//hycC//alaS//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	umpG//rffH//eutD//ribE//mnaT//rsuA//murQ//hemH//icd//
rhaBAD	umuD//entH//gshA//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	aes//kbaY//ruvA//
ribF_ileS_lspA_fkpB_ispH	upp//hcaB//gntK//acs//rnpB//
rimK_ybjN	hcp//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	menC//leuD//gloB//trpB//cpdA//astE//entC//yciV//prpD//ahpC//
rlmE_ftsH	aroF//cpsG//
rlmL_uup	paaB//
rluD_yfiH	glmM//lipA//
rluE_nudJ	selD//rihB//
rnc_era	rfaD//
rnc_era_recO_pdxJ_acpS	kdsA//ilvE//queD//menD//
rnlAB	umpH//
rnt_lhr	yqaB//
rpe_gph_trpS	waaG//napG//sbcB//
rph_pyrE	folP//yfdE//
rpiR_alsBACE	panE//yidA//
rplJL_rpoBC	malZ//
rplKAJL_rpoBC	aroC//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	waaP//
rpmF_plsX_fabHDG	caiB//dgcP//thiI//
rpmH_rnpA	apt//ligB//
rpmI_rplT	
rpoBC	rsuA//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	aroF//gor//aroG//
rppH_ptsP	yibQ//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	gudD//
rpsO_pnp	dusA//dkgB//
rpsP_rimM_trmD_rplS	cobU//
rpsU_dnaG_rpoD	ung//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	pphB//nudK//
rsmA_apaGH	hchA//ravA//
rsmD_yhhL	otsA//
rsmE_gshB	hcaC//dnaE//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	paaH//recJ//caiC//folB//accA//frdB//wzb//hpt//tig//ascB//ftsI//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	lysU//
rtcBA	yfcG//purL//
rutABCDEFG	tig//hemG//rbn//xdhC//xthA//glyQ//
ruvAB	paaG//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	ybjI//
scpA_argK_scpBC	yliI//gsk//yjhG//yqhD//
sdaCB	ulaF//yihS//
sdhCDAB_sucABCD	pssA//serC//tdk//abgB//
sdhDAB	
sdhE_cptA	
secB_gpsA	yhdJ//
secE_nusG	
secG_leuU	
secMA_mutT	pgpB//
selAB	folD//asnA//
selD_topB	hisD//accB//
seqA_pgm	nudC//
serB_radA	mgsA//
serC_aroA	aceA//clsB//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	gpp//
sgrST_setA	rsmF//
skp_lpxD_fabZ_lpxA	paoC//ddlB//yqaB//
slp_dctR	
solA_yceO	tktA//
speAB	waaA//fumC//
speF_potE	tmk//clsA//
srlAEBD_gutM_srlR_gutQ	cadA//pdxA//speB//
sroG_ribB	psuK//
sspAB	
ssrS_fau	nrdB//
ssuEADCB	sdhD//bcsA//cynS//
stfE_tfaE	
sucAB	feaB//malZ//upp//
sucABCD	mnmC//malP//guaA//mutT//
sufABCDSE	kduD//
surA_pdxA_rsmA_apaGH	aphA//uxaA//dgoA//mutY//
tag_yiaC	fabD//
talA_tktB	pykA//rlmG//
tamAB_ytfP	
tar_tap_cheRBYZ	glpA//astE//
tatABC	rlmG//
tatABCD	pheS//yghU//
tauABCD	yfbR//glmU//
tdcABCDEFG	ddlB//lacA//bioD//folX//lsrF//
tdcBCDEFG	hcaC//rlmJ//insI-1//yfcF//cobU//
tehAB	yiaY//leuC//
tesA_ybbO	puuC//yigL//
tff_rpsB_tsf	
tgt_yajC	arnB//
thiCEFSGH	mhpD//fdhF//cynS//rffM//lpxK//
thiMD	lplA//dnaE//
thrLABC	btuE//gcvT//ddlB//
thrS_infC	phoA//
thrS_infC_rpmI_rplT_pheMST_ihfA	tam//mpl//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	aroB//ubiX//
tolB_pal_cpoB	
tolC_ygiABC	relA//pdxA//ldhA//menF//udk//paoA//nrdB//rihC//cdsA//
tomB_hha	
topAI_yjhQ	
torCAD	ugd//
torYZ	paaJ//
treBC	leuA//yahK//
trmI_yggL	ftsI//
trpCBA	glpC//trpE//ybjI//ppsA//
trpLEDCBA	dmsB//avtA//yfdR//ydjG//adhE//kbaZ//
tsaB_yeaY	hycD//
tsaE_amiB_mutL_miaA_hfq_hflXKC	mutM//hycG//mtn//adiA//cmk//
ttdABT	luxS//astE//
tyrS_pdxY	kbl//fcl//
tyrTV_tpr	
tyrV_tpr	
ubiCA	alkB//gltX//
ubiEJB	hyaB//
udk_dcd	rihC//ghrA//
ugpBAECQ	ynfE//pykA//
uhpABC	
uidABC	nanM//pyrE//
ulaABCDEF	cysK//pphB//eutB//paaK//
umpG_pcm	yihX//dgcT//
umuDC	amn//
uof_fur	
upp_uraA	gpt//paaB//
usg_truA_dedA	glgP//
uvrYC	narV//
uxaCA	trmL//moeA//
uxuAB	yghA//mazG//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	araA//agp//
waaQGPSBOJYZU	yihT//proB//ruvC//pyrF//xdhC//hemL//aslA//lgoD//tyrB//hemD//
waaYZ	aspA//frmA//
waaZU	accC//argK//
wbbIJK	iscS//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	murQ//pgpB//folA//mhpB//cobC//ynjE//
wcaKLM	
wrbA_yccJ	yrfG//
wza_wzb_wzc	dsdA//purF//
wza_wzb_wzc_wcaAB	yihS//tmcA//
xanQ_guaD_ghxQ	pabA//rdgB//nadR//
xapAB	dmsA//can//
xdhABC	ybdL//
xerD_dsbC_recJ	thiL//pdxA//
xseB_ispA_dxs_yajO	yjjG//trmH//sdhC//kdsD//
xylAB	waaQ//yfaU//
xylFGHR	dgoA//
yabPQ	
yacC_speED	pspE//hyaA//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	proC//
yafDE	
yafNOP	folA//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	purU//nfi//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	nfi//
ybaB_recR	glcE//
ybaST	alsE//
ybbAP	
ybbY_glxK	ispD//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	bfr//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	maeB//
ybeZY	
ybeZYX_lnt	ispU//
ybfHG	
ybfOC	
ybgA_phr	gpmM//
ybgC_tolQRA	
ybgIJKL_nei	sdhB//
ybgQPO	
ybhP_clsB_ybhN	ybdL//
ybiYW	
ybjC_nfsA_rimK_ybjN	cobT//etk//
ybjJI	pdeR//
ybjO_rlmC	umpH//
ybjQ_amiD	mraY//
ycaI_msbA_lpxK_ycaQ	fucU//queD//
ycaR_kdsB	rsuA//
ycbK_gloC	pdeR//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	pdxB//
yciCB	
yciGFE	
yciK_btuR	lacA//
yciVOQ	yciA//
yciZT	
ycjMNOPQRSTUV_ymjB	murB//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	purH//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	puuB//cysQ//
ydcSTUV_patD	fbaB//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	ygaP//
ydgK_rsxABCDGE_nth	ygaP//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	ilvM//rsmD//
ydiJ_menI_ydiH	ispD//
ydiNB_aroD	phnJ//dgoA//
ydiQRST_fadK	lyxK//
ydjA_selD_topB	rnd//mhpC//
ydjLKJIHG	recF//
ydjXYZ_ynjABCD	
yeaGH	ppa//
yeaR_yoaG	
yeaVW	
yebC_ruvC	nirB//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	ybjG//ispD//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	rfbA//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	sbcB//metH//
yejABEF	gadB//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	speB//
yfaX_rhmD	
yfaX_rhmD_yfaVU	yggF//
yfbUT	mnaT//
