#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	yrhA//
cadBA	b0786//b1796//
cadC	b0859//
caiCDE	b0195//b1665//b2582//
caiF	b0540//
caiTABCDE	b0369//b4342//b2803//b1943//b4396//b2337//
can	b4044//
carAB	b2698//b3813//
carB	b3802//
cas2	b2716//
cas3	b0798//
casABCDE12	b0615//b1646//b1763//b4199//b3719//b4069//b0242//
casDE12	b0597//b4131//b0505//b4415//
cbl	b3910//
cbpAM	b3675//b3826//
cbrA	b1944//
cbrB	b1755//
cbrBC	b3586//b0384//
cbrC	b4431//
ccmABCDEFGH	yjiV//b3704//b1785//b2177//b3080//b2907//b3480//b2711//
cdaR	b4072//
cdd	msrP//
cdgI	b2843//
cdh	b0605//
cdsA	b3833//
cecR-ybhGFSR	b3421//b2582//b0077//b1969//b0595//
cedA	b2660//
cfa	b3021//
chaA	b2609//
chaBC	b4134//b1525//
chaC	b1110//
chbBCARFG	b3415//b0226//b1378//b1103//b3200//b2571//
chiA	b3898//
chiP-ybfN	b1629//b2460//
chiX	b1582//
cho	b3656//
chpSB	b0201//b0422//
cirA	b2708//
citCDEFXG	b1391//b3640//b1230//b2728//b2307//insEF-4//
citT	b0265//
clcA	b1865//
clcB	b0894//
clpA	b2563//
clpB	b2964//
clpPX	b4047//b3657//
clpS	b1399//
clpX-lon	b4353//b3847//
clsA-yciU	b3128//b0903//
clsC	b0968//
cmk-rpsA	b1859//b4554//
cmoM-mukFEB	b2354//rhmD//b2046//b0406//
cmtBA-yggPFDC	b0282//b2933//b1896//b1022//b4325//b0423//
cnu	b0175//
coaA	b4351//
coaE-zapD-yacG	b4018//ygeN//b3832//
cobUST	b0011//b4417//b2522//
codBA	b1546//b2528//
cof	b4238//
comR	b1952//
copA	b0439//
corA	b4197//
cpdB	b3125//
cpxPQ	b0502//b0254//
cpxRA	b1646//b3876//
cra	b3957//
crcB	b4049//
creABC	b1404//b1117//b2787//
creABCD	b0983//b2564//b0101//b3580//
creD	b3439//
crfC-yjcZ	b4164//b2140//
crl	b1362//
crp	b4521//
crr	b0692//
csdAE	b1572//b3666//
csgBAC	b0811//b2009//b0550//
csgC	b2785//
csgDEFG	b0050//b3228//b1732//b3828//
csiD-lhgO-gabDTP	b3080//b1160//b3391//b0965//b4031//
csiE	b2490//
csiR	b1229//
cspA	b3539//
cspB	b4035//
cspD	b2071//
cspE	b1303//
cspF	b0223//
cspG	b0330//
cspH	b3935//
cspI	b2123//
csrA	b0389//
csrB	b2392//
csrC	b4052//
csrD	b2316//
cstA	b1296//
cueO	b2584//
cueR	b4146//
curA	b0542//
cusCFBA	b4394//b1895//b4019//b4483//
cusRS	b1328//b1368//
cutA	b0356//
cvpA-purF-ubiX	b2041//b1550//b3244//
cvrA	b2859//
cyaA	b1421//
cyaR	b2603//
cyaY	b0231//
cybB	b4101//
cybC	b0109//
cycA	b3103//
cydAB	b3039//b2252//
cydDC	b2716//b2806//
cydX-ybgE	b3971//b0192//
cynR	b4225//
cynTS	b3633//b1070//
cynTSX	b1445//b2202//b2392//
cyoABCDE	b3137//b0064//b2323//b2257//b3732//
cysB	b3114//
cysDNC	b4435//b0899//b3791//
cysE	b0011//
cysG	b1685//
cysH	b2503//
cysJIH	b1838//b2256//b4300//
cysK	b0033//
cysPUWAM	b0259//b1027//b2045//b1814//b0189//
cysQ	b4548//
cysS	b3179//
cysZ	b1339//
cytR	b1165//
dacA	b0252//
dacB	b3191//
dacC	b1398//
dacD	b0224//
dadAX	b0836//b3834//
dam-rpe-gph-trpS	b3693//b3799//b4120//b1684//
damX-dam-rpe-gph-trpS	b1565//b1768//b3661//b0694//b2179//
dapA-bamC	b2005//b2799//
dapB	b1084//
dapD	b2880//
dapE-ypfN	b1299//b1224//
dauA	b0227//
dcd	b0779//
dcm-vsr	b3459//b2042//
dcp	b4024//
dcrB	b2273//
dctA	b3622//
dcuA	tpke70//
dcuB-fumB	b3950//b2357//
dcuC	b2051//
dcuD	b1521//
dcuR	b4463//
dcuSR	b1108//b0752//
dcyD-tcyLN	b1999//b1906//b0396//
ddlA	b0118//
ddpXABCDF	istR-1//b0460//b3376//b2094//b0961//b3562//
deaD	b1144//
decR	b1747//
def-fmt	b2025//b1613//
degP	b0764//
degQ	b1585//
degQS	b0638//b3287//
degS	b1266//
deoABD	b2865//b3310//b2329//
deoBD	b2069//b1591//
deoCABD	b1469//b3356//b3832//b1915//
deoR	b2166//
dfp	b1741//
dgcC	b1470//
dgcE	b2699//
dgcF	b0444//
dgcJ	b2580//
dgcM	b1997//
dgcP	b0348//
dgcQ	b1558//
dgcT	b0344//
dgcZ	b3333//
dgkA	b2327//
dgoRKADT	b1531//b2437//b1616//b2318//b0488//
dgt	b0065//
dhaKLM	b1835//b4348//b3113//
dhaM	b0521//
dhaR	b2907//
diaA	b0656//
dicA	b2804//
dicB-ydfDE-insD-intQ	b4320//b0265//b2134//b3876//b1857//
dicC-ydfXW	b0304//b2275//b3862//
dicF	b2423//
dinB-yafNOP	b3536//b2381//b4199//b3127//
dinD	b2948//
dinG	b1982//
dinI	b0085//
dinJ-yafQ	b3013//b2466//
dinQ	b2286//
djlA	b2186//
dkgA	b2798//
dkgB	b4111//
dksA-gluQ	b0188//b0274//
dld	b0895//
dmlA	tp2//
dmlR	b2913//
dmsABC	b3596//b1513//b0879//
dnaAN-recF	b4158//b2768//b1609//
dnaB	sroC//
dnaK-tpke11-dnaJ	b2682//b1706//b3661//
dnaN-recF	b1378//b1022//
dnaQ	b0537//
dnaTC	b1631//b1255//
dnaTC-yjjA	b2727//b2771//b3884//
dnaX	b3273//
dosCP	b0526//b0444//
dpiBA	b3734//b2111//
dppABCDF	b2132//b2664//b2750//b4058//b0539//
dps	b0583//
dsbA	b2351//
dsbB	b0058//
dsbC	b0276//
dsbC-recJ-prfB	b0794//b3531//b3889//
dsbD-yjdC	b2943//b1723//
dsbG	b1973//
dsdA	b3002//
dsdC	b4280//
dsdXA	b1969//b0453//
dsrA	b1628//
dsrB	b0028//
dtpA	b1867//
dtpB	b3623//
dtpC	b2134//
dtpD	b0845//
dusA	b2998//
dusB-fis	b3249//b4377//
dusC	b0933//
dut-slmA	b1956//b3486//
dxr	b2143//
eaeH-insEF-1E-1F-1	b3807//b0638//b0198//b1609//
eamA	b2178//
eamB	b4568//
ebgAC	b4235//b0077//
ebgR	b4565//
ecnAB	b0156//b0619//
ecnB	ykiB//
eco	b0065//
ecpA	b3312//
ecpBCDE	b1780//b4196//b3806//b1342//
ecpR	b4036//
eda	b4669//
edd-eda	b2462//b3953//
efeOB	b2068//b3819//
efeU_1U_2	ftp//b2989//
efp	b2836//
elaA	b3569//
elaB	b4613//
elaD	b1713//
elbB-mtgA	b1011//b2286//
elfA	b2967//
elfDCG-ycbUVF	b1348//b0380//b3255//b4704//b2126//b1498//
elyC	b1719//
emrD	b2061//
emrE	b2342//
emrKY	b2816//b0545//
emtA	insAB-4//
endA	b1278//
eno	b4207//
entCEBAH	b1771//b2243//b0535//b1026//b2808//
entH	b0269//
entS	b3892//
envR	b1016//
envY-ompT	b3127//b3396//
epd-pgk	b1690//ilvG_2//
epd-pgk-fbaA	b3079//b1459//b0251//
epmA	b3497//
epmB	b1469//
eptA	b0974//
eptB	b0895//
eptC	b0365//
erpA	b0023//
esrE	b0460//
essD-rrrD-rzpD	b3143//b3186//b1330//
essQ-ydfR-rrrQ-rzpQ	b3423//b4092//b0088//b3300//
ettA	b0772//
eutBCLKR	b3256//b2729//b4203//b1828//b4273//
eutHA	b0121//b1336//
eutNEJG	b0070//b3216//b2987//b0053//
eutSPQTDM	b1121//b1999//b2781//b2088//b3482//b0657//
evgAS	b4536//b3584//
exbBD	molR_2//b2821//
exbD	b1867//
exuR	b3198//
exuT	b3603//
fabA	b0565//
fabB	b3566//
fabDG-acpP	b1104//b4235//b0293//
fabF	b1687//
fabG-acpP	b0965//b2632//
fabHDG	b3040//b4114//yifN//
fabI	b2840//
fabR-yijD	b1356//ygeN//
fabZ	b3209//
fadBA	b4351//b1025//
fadD-sroD	b1752//b2187//
fadE	3'ETS<sup><i>leuZ</i></sup>//
fadH	b0645//
fadIJ	b1282//b2078//
fadL	b1832//
fadM	b1735//
fadR	b0660//
fbaB	b0640//
fbp	b3060//
fdhD	b4296//
fdhF	b0158//
fdnGHI	b4176//b2002//b3235//
fdoGHI-fdhE	b3010//b4309//b0768//b4234//
fdrA-ylbEF-ybcF	b1795//b3555//b4205//b3668//
feaB	b2566//
feaR	b3866//
fecABCDE	b0677//b1236//b0580//b0459//b2575//
fecIR	b3077//insEF-5//
feoABC	b3902//b0644//b2131//
feoC	b3703//
fepA-entD	b1719//b3624//
fepB	b1749//
fepDGC	b2959//b1446//b4430//
fes-ybdZ-entF-fepE	b1935//b2680//b2633//b4045//
fetAB	b2703//b1290//
ffh	b0840//
ffs	b1164//
fhuACDB	b3638//b4520//b0045//b0005//
fhuE	b2272//
fhuF	b3487//
ficA-fic-pabA	b0249//b1434//b1390//
fieF	b2516//
fimAICDFGH	b1172//b0638//b3116//b0656//b2558//b2880//b2450//
fimB	b4248//
fimE	b4478//
fimZ	b0547//
fiu	b3309//
fixABCX	b2745//b2107//b0191//b0579//
fklB	b4195//
fkpA	b3925//
fldA-uof-fur	b4125//b4340//b1901//
fldB	b0078//
flgAMN	b3897//b1653//b2821//
flgBCDEFGHIJ	b0855//b0454//b3407//b0874//b2535//b0385//b0822//b1825//b0059//
flgKL	b2427//b4347//
flgMN	b4087//b0422//
flhBAE	b2386//b4625//b3370//
flhDC	b1499//b1624//
fliAZ-tcyJ	b4046//b4509//b1205//
fliC	b0037//
fliDST	b4704//b3810//b0225//
fliE	b0829//
fliFGHIJK	b2439//b1219//b2832//b2404//b0493//b3043//
fliLMNOPQR	b1891//b2306//b3709//b2464//b0716//b1023//b2803//
flk	b1004//
flu	b1445//
flxA	b2246//
fnr	b2614//
fnrS	b1878//
focA-pflB	b0896//b3459//
folA	b2274//
folB	b0248//
folC-dedD	b1867//b1289//
folD-ybcJ	b3667//b4585//
folE-yeiB	yfaS_1//b1686//
folP-glmM	b2009//b1613//
folX-yfcH	b2922//b2881//
fpr	b1118//
frc	b2290//
frdABCD	gadF//b1160//b2943//b0488//
fre	b1257//
frlABCDR	b0698//b3195//b0259//b2305//b3719//
frmRAB	b1926//b4447//b0063//
frr	b1627//
frsA	b4152//
fruBKA	b1869//b1851//b2879//
frvABXR	b1035//b3447//b0475//b3684//
frwCB	b2450//b2302//
frwD	b3569//
fryBC-ypdFE-fryA	b2727//b4707//b3753//b3851//b2857//
fsaA	b0180//
fsr	b2846//
ftnA	b4239//
ftnB	b2627//
ftp	b1146//
ftsAZ	b0410//b4142//
ftsB	b4183//
ftsK	b3224//
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b2870//b3241//b0741//b4472//b2357//b4398//gapC_2//b2170//b0225//b1188//b2568//b3144//b2627//b3925//
ftsP	b3061//
ftsQ	b3809//
ftsQAZ	b4487//b3144//b1875//
ftsYEX	b0758//b4523//b2490//
ftsZ	b1057//
fucAO	b3267//b2448//
fucPIKUR	b4662//b2479//b3031//b1271//b1677//
fucR	b1204//
fumA	b0008//
fumAC	b1116//b2765//
fumB	b2176//
fumC	b0444//
fur	b0749//
fusA-tufA	b2510//b3188//
fxsA	b3688//
gabDTP	b3213//b1270//b0913//
gadAX	b2996//b1697//
gadBC	b0256//b1623//
gadC	b0860//
gadEF	b2669//b2587//
gadEF-mdtEF	ybfG//b3828//b3021//b0001//
gadW	b1779//
gadX	b2591//
gadXW	b4509//b2209//
gadY	b3786//
galE	b0776//
galET	b2486//b0257//
galETK	b3609//b2103//b0910//
galETKM	b1767//b1010//b4048//b2074//
galF	b2819//
galK	b2205//
galP	b2395//
galR	b0119//
galS	b3971//
galU	b1650//
gapA	b4529//
gapA-yeaD	b2128//b1163//
gapC_1C_2	C0719//b2014//
garD	b3911//
garPLRK-rnpB	b4024//b0033//b3966//b4155//b0452//
gatR_1	b1362//
gatR_2	b2447//
gatYZABCD	b3955//b1440//b2570//b1575//b0246//b3583//
gatZABCD	b1023//b3703//b0067//b3304//b3904//
gcd	b1459//
gcl-hyi-glxR-ybbW-allB-ybbY-glxK	b0576//b3615//b3426//b2742//b3642//b0851//b3736//
gcvA	b2186//
gcvB	b0921//
gcvP	b3453//
gcvR	b3632//
gcvTHP	b1581//b2177//b3735//
gdhA	b1503//
gfcA	b0351//
gfcBCD	b3993//b1835//b0633//
gfcE-etp-etk	b1763//b2673//ecpC//
ggt	b0201//
ghoST	b3828//b3869//
ghrA	b0313//
ghrB	b3166//
ghxP	b3641//
glcBA	b3798//b3769//
glcC	b1869//
glcDEFGBA	yrhA//b0213//b3060//b4463//b2669//b4110//
glf-wbbH	b3627//b2428//
glgAP	b0359//b0298//
glgBXCAP	b1413//b1888//b3124//b1268//b2416//
glgCAP	b0399//b1802//b2910//
glgS	b0497//
glk	b3280//
glmUS	b3908//maoP//
glmY	b2507//
glmZ	b2787//
glnA	b1395//
glnALG	b0992//b3860//b1926//
glnB	b1247//
glnD	b0034//
glnHPQ	b4260//b1314//b3070//
glnK-amtB	b1786//b2550//
glnLG	b2675//b3934//
glnQ	b0113//
glnS	b1371//
glnW-metU-glnVX	b0562//b0076//b0304//b3236//
gloA	b2982//
gloB	b0441//
glpABC	b3114//b3378//b1665//
glpD	b1113//
glpEGR	b0113//b0265//b2026//
glpFKX	b1411//b1460//b2552//
glpGR	b0724//b0757//
glpR	b0968//
glpTQ	b1546//b3364//
glrK	b3819//
glrR	b1878//
glrR-glnB	b1166//b1579//
gltA	b1318//
gltBDF	b4284//b2547//b2107//
gltI-sroC-gltJKL	b3129//b1617//b4226//b1273//b0482//
gltP	b2185//
gltS	b1245//
gltX	b0760//
glvCBG-ysdC	b0693//b0618//b2512//b0381//
glxK	b1990//
glyA	b1611//
glyQS	b2389//b0838//
glyU	b0933//
glyVXY	b0434//b2976//b0080//
glyW-cysT-leuZ-3'ETS<sup><i>leuZ</i></sup>	b1104//b0405//b0834//IS128//
gmhB	b3027//
gmk	b1243//
gnd	b1590//
gnsB	b3124//
gntK	b2252//
gntKU	b1347//b0123//
gntP	b0722//
gntR	b0051//
gntRKU	b0783//b2764//b3169//
gntT	b2164//
gntU	b1104//
gntX-nfuA	b1789//b2128//
gor	b0640//
gpmA	b0186//
gpmM-envC-yibQ	b0487//b1989//b3676//
gpp	b3550//
gpr	b3301//
gpt	b1779//
grcA	b0107//
greA	b0761//
greB	sroA//
groL	b0138//
groSL	b3867//b0857//
grpE	b3749//
grxA	ygaQ//
grxB	b0237//
grxC	b2043//
grxD	b3511//
gshA	b1759//
gsk	b0374//
gspAB	b4424//b3761//
gspCDEFGHIJKLMO	b3503//b0358//b3305//b3226//b1977//b1677//selU//b4231//b0635//b4126//ybeM_2//b4459//
gss	b3408//
gstA	b3423//
gstB	b3006//
guaBA	b3616//b0191//
guaC	b2479//
gudPXD	b3718//b4102//b3769//
gyrA	b4289//
gyrB	b4528//
hcaEFCBD	b0386//b3054//b1640//b3292//b0246//
hcaR	b2262//
hcaT	b3963//
hchA	b0177//
hcp-hcr	b3031//b3671//
hda	b1820//
hdeAB-yhiD	b3562//b3253//b1811//
hdeD	b0693//
hdfR	b0169//
hdhA	b2421//
helD	b3011//
hemA	b1948//
hemA-prfA-prmC	b2774//b3938//b1918//
hemB	b4339//
hemCDXY	b0685//b1344//b2597//b3209//
hemF	b1788//
hemH	b0860//
hemL	b1313//
hemN	b2365//
hflD-purB	b2887//b0056//
hfq-hflXKC	b0202//b3665//b1780//b2986//
hicAB	b0651//b1383//
higBA	b2254//b1577//
hinT-ycfL-lpoB-thiK-nagZ-ycfP	b1068//b0612//b3879//b3367//b3259//b3871//
hipBA	b0598//b1431//
hisBHAFI	b4364//b1668//b2452//b1216//b1255//
hisJQMP	b2351//b2475//b0612//b1136//
hisL	b3490//
hisLGDCBHAFI	b0466//b1449//b1759//b1296//b2506//b3031//b2719//b1156//b0896//
hisS	b0601//
hlyE	b3722//
hmp	b0275//
hns	b2767//
hofMNOP	b2231//b1611//b0635//b4190//
hofQ	b2696//
hokA	b2575//
hokB	b4190//
hokD	b2724//
hokE	b2003//
holC	b2200//
holC-valS	b0277//b4105//
holD-rimI-yjjG	b2845//b1533//b4158//
holE	b2053//
hpt	b4253//
hrpA	b2517//
hrpB	b0801//
hscBA-fdx-iscX	b1422//b3276//b0316//b2132//
hscC	b0643//
hsdMS	b2632//b0910//
hsdRMS	b1402//b2303//b0387//
hslJ	b2355//
hslO	b2970//
hslRO	b0314//b4401//
hslVU	b2952//b2297//
hspQ	b3168//
htgA	b3596//
htpG	b1385//
htpX	b1341//
htrL	b1840//
hupA	b4466//
hupB	b1325//
hyaABCDEF	lfhA//b2588//b1387//b2153//b4173//b4052//
hybOABCDEFG	b2984//b2551//b3807//b0089//b2362//b2870//b1482//b0908//
hycABCDEFGHI	b3974//b3176//b4457//b4019//b0575//b1989//b2927//b0651//b2753//
hydN-hypF	b0118//b3485//
hyfABCDEFGHIJR-focB	b4094//b1035//b2370//b1264//b2242//b0716//b1080//b4072//b4141//b3688//b3570//b0422//
hypABCDE	b2650//b0159//b3590//b1338//b0747//
hypABCDE-fhlA	b3534//b0411//b3205//b1238//b0947//b1490//
hypBCDE	b2513//b2107//b0558//b2689//
hypBCDE-fhlA	b0614//b2553//b4330//b4204//b2987//
hypF	b3632//
hypT	ysdC//
hyuA	b2621//
iaaA-gsiABCD	b2996//b2553//b0612//b4230//b1523//
iap	b1323//
ibaG	b0548//
ibaG-murA	b2529//b1941//
ibpAB	b1809//b2918//
ibpB	b4193//
icd	b2350//
icdC	b2880//
iclR	b3175//
idi	b3064//
idnDOTR	b1747//b3144//b3171//b0067//
idnK	b2936//
idnR	b0635//
ihfA	b1819//
ihfB	b3782//
ileS-lspA-fkpB-ispH	intG//b1275//b0954//b1365//
ileX	b3505//
ileY	b0363//
ilvA	b0258//
ilvC	b0599//
ilvEDA	b2480//b4201//b2671//
ilvIH	b2339//b0096//
ilvL	b4089//
ilvLXG_1G_2MEDA	b1181//b3103//b1689//b0009//b0319//b2265//b4063//b4063//
ilvY	b1171//
inaA	b1851//
infA	b2200//
infC	b3612//
infC-rpmI-rplT	b2900//b1494//b2930//
insA-1AB-1B-1	b4595//b4454//b3262//
insA-2AB-2B-2-afuBC	b0449//b3770//b1586//b4205//b2213//
insA-3AB-3B-3	b3188//b1766//b1285//
insA-4AB-4B-4	b2595//b3961//b2265//
insA-5AB-5B-5	b3985//b1010//b0025//
insA-7	xisR//
insB-7_1B-7_2	b2960//b4075//
insC-1CD-1D-1	b1724//b1195//b0466//
insC-2CD-2D-2	b0752//b3623//b4288//
insC-3CD-3D-3	b0218//b2517//b3592//
insC-4CD-4D-4-ygeONM	b2487//b2352//b2686//b4221//b4407//b0674//
insC-5CD-5D-5-yqiGHI	sroD//b3626//b1351//b1926//b2121//b2506//
insC-6CD-6D-6	b2075//b1056//b1632//
insE-2EF-2F-2	b4119//b1127//b2941//
insE-3EF-3F-3	b0936//b3457//b2584//
insE-4EF-4F-4	b3095//b0581//b0333//
insE-5EF-5F-5	b1356//b3434//b4126//
insG	b1228//
insH-1	b1554//
insH-10	b1883//
insH-11	b4308//
insH-2	b2344//
insH-3	b4464//
insH-4	b0258//
insH-5	b1865//
insH-6	b4259//
insH-7	b3731//
insH-8	b0771//
insH-9	b1217//
insI-2	b3275//
insJ	b2417//
insK	b0358//
insL-1	b3586//
insL-2	b1070//
insL-3	b3917//
insMI-3	b0429//b3602//
insN-1I-1O-1	b4457//b1666//b4307//
insN-2	b2299//
insO-2-yjhWV	b1963//b2071//b2994//
intA	b3966//
intB	b0449//
intD	b1236//
intF	b1893//
intG	b3152//
intS	b0443//
intZ	b3403//
iraD	b1006//
iraM	b2513//
iraP	b0627//
iscRSUA	b0101//b1096//b3558//b1261//
ispB	b1106//
ispDF	b4288//b0511//
ispG-sroE	b2888//b0417//
ispU	b3743//
isrB	b3462//
isrC	b1325//
isrC-flu	b1489//b2373//
istR-1	b1147//
istR-2	b0268//
ivbL	b3963//
ivbL-ilvBN	b4122//b1025//b3356//
ivbL-ilvBN-uhpABC	b0489//b1058//b0801//b1345//b0042//b2608//
ivy	b2782//
katE	b4289//
katG	b0409//
kbaZ-agaVWA	b0708//b0813//b2161//b3871//
kbl-tdh	b1668//b3889//
kbp	b3554//
kch	b3315//
kdgK	b1287//
kdgR	b3514//
kdgT	b4599//
kdpDE	b1234//b3581//
kdpFABC	insX//b1856//b1329//b1609//
kdsA	b1468//
kdsC-lptCAB	b3029//b1653//b4516//b0448//
kduD	b3869//
kduI	b2261//
kefFC	yjgX_2//b2998//
kefGB-yheV	b3083//b3756//b4159//
kgtP	b4027//
kilR-ydaE	b1166//b4174//
kptA	b0471//
kup	b2465//
lacI	b1719//
lacYA	b2616//b2523//
lacZYA	b0438//b1119//b4547//
lafU	b4030//
lapAB	b3002//b2301//
lapAB-pyrF-yciH	b1313//b1335//b2809//b2430//
ldcA	b1292//
ldcC	b2105//
ldhA	b2451//
ldrA	b4699//
ldrB	b3785//
ldrC	b4068//
ldrD	b3565//
ldtA	b2963//
ldtB	b0547//
ldtC	b0843//
ldtD	b2180//
ldtE	b2664//
lepAB	b2496//b3127//
leuE	b3987//
leuL	b1515//
leuLABCD	b1988//b3269//b2890//b4465//b2218//
leuO	b3614//
leuQPV	b4698//b1973//b4266//
leuS-lptE-holA-nadD-cobC	b3080//3'ETS<sup><i>leuZ</i></sup>//b1640//b3927//b0730//
leuU	b1085//
leuX	b4504//
lexA-dinF	b0020//b3411//
lfhA	b0400//
lgoD	b0558//
lgoR	b0744//
lgoT	b2634//
lgt	b3981//
lgt-thyA	b4598//b1125//
lhr	b4606//
ligA-ypeB	b2450//b1312//
ligB	insAB-6//
lipA	b4608//
lipB	b2646//
