# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	yrfG//
casABCDE12	thiM//
casDE12	nanE//
cbpAM	
cbrBC	
ccmABCDEFGH	btuE//
cecR_ybhGFSR	
chaBC	
chbBCARFG	tgt//garL//nrdB//
chiP_ybfN	fadD//
chpSB	lpxM//
citCDEFXG	glk//epd//ilvI//
clpPX	glgA//mog//rlmF//guaA//
clpX_lon	ydbC//rhaB//spoT//
clsA_yciU	yqjG//
cmk_rpsA	ackA//
cmoM_mukFEB	
cmtBA_yggPFDC	cysE//ydiB//
coaE_zapD_yacG	eptB//
cobUST	rhaA//pldA//rfbC//
codBA	gnd//kduD//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	glpK//
csgBAC	
csgDEFG	guaB//
csiD_lhgO_gabDTP	ispD//cyoE//fadH//insI-3//
cusCFBA	gatD//
cusRS	
cvpA_purF_ubiX	glgA//clsC//
cydAB	astE//
cydDC	rlmC//
cydX_ybgE	yqjH//
cynTS	rph//rnpB//
cynTSX	trmJ//ygaP//moeA//
cyoABCDE	efeB//rsmH//
cysDNC	yciA//ilvH//
cysJIH	umpG//nadB//glk//
cysPUWAM	btuR//mqo//yqhD//
dadAX	nadR//fumC//
damX_dam_rpe_gph_trpS	xapA//phnJ//glgC//glyA//
dam_rpe_gph_trpS	astB//scpC//mnmG//pabC//
dapA_bamC	glmU//
dapE_ypfN	lsrG//
dcm_vsr	cobC//
dcuB_fumB	mgsA//arnB//
dcuSR	
dcyD_tcyLN	phnL//purD//
ddpXABCDF	gmm//
def_fmt	sodC//betB//
degQS	mazG//accC//
deoABD	mrdA//miaB//gpt//
deoBD	dusA//ghrB//
deoCABD	malP//napA//malS//paaI//
dgoRKADT	adhE//tdh//murF//amiD//
dhaKLM	panB//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	paaC//pphB//
dinJ_yafQ	ybaS//
dksA_gluQ	insI-2//
dmsABC	yihX//
dnaAN_recF	kbl//
dnaK_tpke11_dnaJ	argS//
dnaN_recF	sdhD//
dnaTC	
dnaTC_yjjA	
dosCP	hypB//sodA//
dpiBA	
dppABCDF	caiD//
dsbC_recJ_prfB	yfeW//lipB//
dsbD_yjdC	
dsdXA	mutS//avtA//
dusB_fis	epmA//
dut_slmA	alkA//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	nagZ//lpxA//
efeOB	folX//
efeU_1U_2	
elbB_mtgA	thiE//
elfDCG_ycbUVF	
emrKY	yjcS//
entCEBAH	katG//nagK//allB//gloB//mnmG//purC//
envY_ompT	pheA//
epd_pgk	fruK//glyS//
epd_pgk_fbaA	nhoA//atoB//rlmC//
essD_rrrD_rzpD	sdaB//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	ygaP//
eutHA	
eutNEJG	
eutSPQTDM	abgB//
evgAS	
exbBD	
fabDG_acpP	menB//ribA//
fabG_acpP	kdsD//
fabHDG	yfbR//entD//yceF//
fabR_yijD	
fadBA	adk//serC//
fadD_sroD	gph//
fadIJ	nadC//appA//
fdnGHI	
fdoGHI_fdhE	mutM//
fdrA_ylbEF_ybcF	thrB//
fecABCDE	thiH//chbG//
fecIR	
feoABC	yjcS//
fepA_entD	yiaY//dgcT//gcvH//
fepDGC	ispA//
fes_ybdZ_entF_fepE	nanM//fklB//menH//
fetAB	
fhuACDB	thiI//tesB//
ficA_fic_pabA	rihC//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	purF//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	hycG//fucK//
folC_dedD	insI-1//
folD_ybcJ	guaC//
folE_yeiB	aroH//
folP_glmM	galU//ispE//
folX_yfcH	ybbO//
frdABCD	gcvP//
frlABCDR	scpC//caiC//mutM//ygjK//
frmRAB	waaO//hemB//
fruBKA	acpT//aroE//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	paaI//ackA//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	fucU//emtA//dnaE//astD//glpD//aspS//gpmA//argE//adk//glgX//
ftsQAZ	
ftsYEX	
fucAO	gatZ//sgbE//
fucPIKUR	menE//paaE//xthA//sad//
fumAC	abgB//sbcB//
fusA_tufA	
gabDTP	entC//queC//ubiG//
gadAX	guaD//
gadBC	fucA//hisC//
gadEF	
gadEF_mdtEF	yfaU//
gadXW	
galET	rutC//lpxK//
galETK	lysC//eno//queG//
galETKM	xylA//mnmG//ydbC//paaC//
gapA_yeaD	dapD//
gapC_1C_2	
garPLRK_rnpB	mhpF//rnt//def//rfbC//lpxD//trmI//
gatYZABCD	fumB//dhaL//frlB//
gatZABCD	putA//nirD//yjhH//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	asd//carA//wrbA//mobA//scpC//
gcvTHP	folB//kdsD//ycjU//
gfcBCD	
gfcE_etp_etk	idi//nrfA//
ghoST	agp//
glcBA	rluF//fbp//
glcDEFGBA	ushA//pykF//rlmJ//
glf_wbbH	cobT//
glgAP	ychF//xdhB//
glgBXCAP	gadB//ilvB//rfbD//nfsA//tdcB//
glgCAP	thrS//insI-2//folB//
glmUS	panE//yfbR//
glnALG	frlB//
glnHPQ	folP//
glnK_amtB	ldcA//
glnLG	
glnW_metU_glnVX	
glpABC	abgA//
glpEGR	fdhF//bcsZ//
glpFKX	mak//purM//waaZ//
glpGR	thiF//
glpTQ	atoB//phnJ//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	gluQ//
glvCBG_ysdC	
glyQS	entF//
glyVXY	
glyW_cysT_leuZ	
gntKU	yfdE//ybbO//
gntRKU	yibQ//trmH//
gntX_nfuA	
gpmM_envC_yibQ	glpB//pflB//
groSL	
gspAB	
gspCDEFGHIJKLMO	nanA//
guaBA	mug//ispA//
gudPXD	dapF//pheT//
hcaEFCBD	murC//ravA//
hcp_hcr	cysG//ampH//
hdeAB_yhiD	
hemA_prfA_prmC	phr//qor//
hemCDXY	trpB//entC//
hflD_purB	sthA//
hfq_hflXKC	gnd//
hicAB	
higBA	argH//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	entH//gltB//gmk//fucU//
hipBA	metL//
hisBHAFI	mtn//dmsA//dhaL//narY//
hisJQMP	aspS//thrC//
hisLGDCBHAFI	yigL//mutT//rnb//caiD//adiA//yliI//trmA//
hofMNOP	
holC_valS	speC//
holD_rimI_yjjG	rnpB//mcrB//
hscBA_fdx_iscX	trpS//
hsdMS	nudG//
hsdRMS	frlC//
hslRO	
hslVU	fsaA//
hyaABCDEF	
hybOABCDEFG	mocA//
hycABCDEFGHI	glgB//nrfB//
hydN_hypF	fucI//
hyfABCDEFGHIJR_focB	mutM//
hypABCDE	fabZ//
hypABCDE_fhlA	narG//
hypBCDE	lsrK//
hypBCDE_fhlA	xdhA//
iaaA_gsiABCD	torZ//acs//
ibaG_murA	pnp//
ibpAB	
idnDOTR	yhdJ//ahpC//adk//
ileS_lspA_fkpB_ispH	guaD//mhpB//nemA//ndk//
ilvEDA	def//yfdE//ubiC//ldtA//
ilvIH	cobC//
ilvLXG_1G_2MEDA	folP//slyD//rsmA//yjhH//dkgB//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	betA//
insN_1I_1O_1	yghU//
insO_2_yjhWV	
iscRSUA	pldA//ruvA//
ispDF	gdhA//pncA//
ispG_sroE	hisI//
isrC_flu	
ivbL_ilvBN	atoB//
ivbL_ilvBN_uhpABC	pck//
kbaZ_agaVWA	xylB//
kbl_tdh	aceA//mog//
kdpDE	
kdpFABC	frlD//
kdsC_lptCAB	guaD//cynT//
kefFC	wcaJ//sad//
kefGB_yheV	ilvB//
kilR_ydaE	
lacYA	bglX//waaY//
lacZYA	aroH//citF//fucK//
lapAB	
lapAB_pyrF_yciH	luxS//
lepAB	sgbE//
leuLABCD	gpmM//arnT//rlmJ//
leuQPV	
leuS_lptE_holA_nadD_cobC	maeA//katE//tsaE//
lexA_dinF	
lgt_thyA	entB//poxB//
ligA_ypeB	insI-2//
livKHMGF	dacD//folE//
lldPRD	entH//dgoA//
lolA_rarA	
lolB_ispE_prs	gatY//trmI//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	trmD//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	rsuA//nagA//
lptFG	
lspA_fkpB_ispH	rsmH//folD//dmlA//
lsrACDBFG_tam	glmU//melA//alsE//cysS//
lsrRK	speG//
ltaE_ybjT	ppiB//
lysT_valT_lysW	
macAB	pyrI//
malEFG	accB//
malK_lamB_malM	mcrA//gmm//
malPQ	nudL//rffT//
malXY	argE//sucD//
manXYZ	dhaK//
map_glnD_dapD	pncA//sdaB//yhhW//
marRAB	
mazEFG	slt//
mcrBC	yhdH//
mdlAB	
mdtABCD_baeSR	nagK//
mdtEF	nrfA//
mdtJI	clsA//
mdtM_yjiN	yajO//
mdtNOP	aspS//
melAB	phnO//leuS//
menA_rraA	paaC//
menBCE	dgcZ//glgC//wcaJ//
menDHBCE	allD//tmcA//murE//hpt//yihS//
menFDHBCE	prs//gcl//moeB//rhaD//fkpB//thrC//
metBL	leuC//mutY//
metNIQ	nrfC//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	dmsC//hyaC//mog//
metZWV	
mglAC	insI-3//
mglBAC	acs//
mgtLA	prpB//
mhpABCDFE	tgt//bioH//yciV//rlmD//gor//relA//
mhpR_lacI	
miaA_hfq_hflXKC	ygjK//glnS//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	pgpC//hisD//
mnaT_ydcZ	rutB//
mngAB	cueO//fbaA//
mnmG_rsmG	garR//pabC//
mntR_ybiR	
moaABCDE	murQ//kbaZ//
moaBCDE	waaQ//
mobAB	rdoA//
modABC	nadB//
modEF	
moeAB	dhaK//cobT//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	folP//
mqsRA	speC//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	yhhW//argB//speG//udp//nrfD//trmD//kdsD//hycB//narI//fabH//cmk//
mreBCD	
mreCD	
msrPQ	
mtlADR	dxs//fumB//ampC//
mtn_btuF_yadS	ribF//rhaB//
murB_birA	aroE//pgsA//
murQP	ybbO//recO//insI-3//
murQP_yfeW	panE//nudC//tadA//phoA//
mutL_miaA_hfq_hflXKC	rfbA//argA//idnO//
mutY_yggX	dld//
mutY_yggX_mltC	dgoD//gcvP//
mutY_yggX_mltC_nupG	yjjG//entE//pheA//
nadA_pnuC	nadA//bcsZ//
nagBAC_umpH	nudB//dosP//murQ//
nagK_cobB	argF//ampC//
nanATEK_yhcH	purC//yihS//fadK//maa//
nanCM	tauD//paaE//
nanCMS	purT//hycB//
napFDAGHBC	ahpF//
napFDAGHBC_ccmABCDEFGH	paaE//fadA//
narGHJI	araA//
narWV	yicI//
narXL	
narZYWV	tpiA//
nemRA	fucO//
nemRA_gloA	gluQ//rsmD//
nfrBA	
nhaAR	sucD//
nikABCDER	arnB//
nirBDC_cysG	eptB//rihA//queG//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	gsk//
nrdAB_yfaE	cadA//
nrdDG	ppa//cynS//
nrdHIEF	waaP//
nrdR_ribDE_nusB_thiL_pgpA	hycB//lpxL//frdB//mqo//
nrfABCDEFG	sbcB//
nsrR_rnr_rlmB_yjfI	rlmL//rlmB//
nudB_yebC_ruvC	dgoA//allD//
nudC_hemE_nfi	entC//prpD//
nudF_yqiB_cpdA_yqiA_parE	cysG//glpC//
nuoABCEFGHIJKLMN	der//
nuoMN	allA//
ompR_envZ	
opgGH	
oppABCDF	rlmB//ilvI//
osmF_yehYXW	btuE//
otsBA	clsB//phnG//
paaABCDEFGHIJK	waaG//argK//lpd//nth//ubiC//gntK//mutH//
paaXY	mutL//
pabB_nudL	glgP//ygiF//
pabC_mltG_tmk_holB_ycfH	pheT//fabF//ftnA//
panBC	glpC//gstA//
panE_yajL	rsgA//
paoABCD	rhaA//
pcnB_folK	malS//pncB//
pdeI_dgcI	
pdhR_aceEF_lpd	cpsG//dxs//yeiG//torZ//paaE//ansA//
pdxA_rsmA	ftsI//murD//
pdxA_rsmA_apaGH	treA//pcm//fcl//
pdxB_usg_truA_dedA	mcrC//rlmJ//
pdxH_tyrS_pdxY	rsmF//hyaA//uxaA//
pdxJ_acpS	pssA//leuS//
pepQ_yigZ_trkH_hemG	gpsA//der//mrdA//
pflDC	
pgaABCD	dusA//glpX//kbl//
pgk_fbaA	entC//ubiF//
pgpC_tadA	ydbC//sdhB//
pheLA	sdhA//
pheMST_ihfA	dgcM//
phnCDE_1E_2FGHIJKLMNOP	alkA//gpsA//ddlB//lhgO//cynT//entB//phnP//
phnLMNOP	cdh//folX//cheR//waaL//valS//
phoA_psiF	rlmH//
phoBR	
phoPQ	
pldB_yigL	rlmA//ybdL//
plsX_fabHDG	hcaE//dam//lysA//
pntAB	
potABCD	rsmI//
potFGHI	lipB//
poxB_ltaE_ybjT	plsC//rsmA//
ppdAB_ygdB_ppdC_recC	frmA//
ppdD_hofBC	
ppiB_lpxH	patA//trpB//
ppk_ppx	ddlA//dacC//
pqiAB	
preTA	rlmJ//
prfB_lysS	ispD//
priC_ybaM	
prlC_rsmJ	dnaQ//proA//
prlF_yhaV	ackA//
prmB_aroC_mepA_yfcA_epmC_yfcL	maeA//atoB//entH//bioH//
proBA	spoT//ogt//
proQ_prc	yeaE//
proVWX	fsaB//
prpBCDE	atoD//fklB//accC//cmoA//
psd_mscM	
pspABCDE	rsmB//
pspBCDE	entC//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	bioB//etk//
pth_ychF	hyi//
ptrA_recBD	sbcB//ppiB//
ptsA_fsaB_gldA	leuD//hemG//
ptsHI_crr	phnJ//lpxH//hemB//
purEK	aspA//glcE//
purHD	tynA//kdsB//
purMN	cysQ//tam//
puuAP	dmsC//fabA//
puuCBE	ynfF//cysE//rffT//
puuDRCBE	trmL//pyrI//cobB//gatD//
pyrF_yciH	mhpC//
pyrG_eno	amn//thyA//
pyrLBI	pspE//
qmcA_ybbJ	
qseBC	
radA_nadR	hypF//
rapA_rluA	speG//
ratAB	
ravA_viaA	
rbsDACBKR	gadB//yihS//glgA//
rclABC	
rclBC	
rcnAB	lsrK//
rcsDB	
rcsF_trmO	xylA//
rdgB_yggW	eutD//
rdoA_dsbA	ycjU//thiG//
recAX	
recET_ralR_ydaC_xisR_intR	paoB//sdhB//
relA_mazEF	araB//
relBE	rdgB//
relBE_hokD	metL//
renD_emrE	thiC//
rfaD_waaFCL	mltA//pdxA//garK//pgm//
rfbACX	coaD//ldhA//hycC//luxS//
rfbBDACX	hemF//adhE//frdB//argA//yciV//cdsA//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	galK//ispE//pykF//astA//gpsA//caiB//yliI//ygaP//murI//
rhaBAD	mhpA//folM//cobT//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	glxK//adeD//hisI//
ribF_ileS_lspA_fkpB_ispH	efeB//acpH//metK//luxS//glmU//
rimK_ybjN	lipA//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	waaS//yghA//btuR//mtgA//gss//adeD//tam//gmk//fklB//yceF//
rlmE_ftsH	arnB//pyrF//
rlmL_uup	frdC//
rluD_yfiH	gatD//rihA//
rluE_nudJ	mtlD//maeA//
rnc_era	tsaE//
rnc_era_recO_pdxJ_acpS	dnaE//ybbO//argD//galK//
rnlAB	ubiH//
rnt_lhr	qor//
rpe_gph_trpS	citF//waaO//uvrA//
rph_pyrE	katG//yibQ//
rpiR_alsBACE	mutS//rimK//
rplJL_rpoBC	cysD//
rplKAJL_rpoBC	mnmC//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	bioB//
rpmF_plsX_fabHDG	waaL//gpmM//nudE//
rpmH_rnpA	tesA//guaA//
rpmI_rplT	
rpoBC	nudB//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	sdaB//kdsB//rlmC//
rppH_ptsP	ldtB//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	rluF//
rpsO_pnp	fadM//ppiB//
rpsP_rimM_trmD_rplS	nanM//
rpsU_dnaG_rpoD	serA//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	proA//nanM//
rsmA_apaGH	dusA//araA//
rsmD_yhhL	gpt//
rsmE_gshB	yihS//sodA//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	phr//rhaB//nadA//astD//cmoA//relA//rfaD//cueO//yihS//ubiD//pnp//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	cysJ//
rtcBA	gstB//torA//
rutABCDEFG	dgoD//pta//yneH//idnD//hinT//gapA//
ruvAB	sdaA//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	ligB//
scpA_argK_scpBC	lysA//torY//nudC//kduD//
sdaCB	galU//hemD//
sdhCDAB_sucABCD	hemF//galE//allB//yiaK//
sdhDAB	
sdhE_cptA	
secB_gpsA	sdaB//
secE_nusG	
secG_leuU	
secMA_mutT	ygeX//
selAB	asd//paaC//
selD_topB	gatY//talB//
seqA_pgm	fre//
serB_radA	kbaZ//
serC_aroA	serC//hemG//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	glpX//
sgrST_setA	queF//
skp_lpxD_fabZ_lpxA	rfbB//mutH//serA//
slp_dctR	
solA_yceO	yfcF//
speAB	dgcM//nirB//
speF_potE	rlmM//ilvM//
srlAEBD_gutM_srlR_gutQ	recF//truC//nadK//
sroG_ribB	scpC//
sspAB	
ssrS_fau	ilvA//
ssuEADCB	yciV//gltB//treA//
stfE_tfaE	
sucAB	leuS//yieH//nirB//
sucABCD	dacD//pgpB//gntK//hyuA//
sufABCDSE	acnB//
surA_pdxA_rsmA_apaGH	yccX//hisB//ushA//ybdL//
tag_yiaC	otsA//
talA_tktB	dadX//dgoD//
tamAB_ytfP	
tar_tap_cheRBYZ	leuB//argA//
tatABC	dapE//
tatABCD	chbF//yjeF//
tauABCD	yghU//napH//
tdcABCDEFG	ribF//fklB//thrS//wbbI//rfbD//
tdcBCDEFG	ubiD//xylA//efeB//cof//moaE//
tehAB	napC//prs//
tesA_ybbO	yjjG//mepS//
tff_rpsB_tsf	
tgt_yajC	pyrE//
thiCEFSGH	yihT//ldtC//mutM//atoA//purD//
thiMD	murI//napG//
thrLABC	azoR//metG//yibQ//
thrS_infC	purK//
thrS_infC_rpmI_rplT_pheMST_ihfA	xylA//fsaA//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	ppx//rpiA//
tolB_pal_cpoB	
tolC_ygiABC	ubiF//otsA//ugd//ampD//hemN//pheA//ligB//upp//fabG//
tomB_hha	
topAI_yjhQ	
torCAD	thiD//
torYZ	argI//
treBC	pdeF//rnd//
trmI_yggL	idnD//
trpCBA	plsB//nadA//galM//fadB//
trpLEDCBA	treA//rnpB//narH//folB//dapA//sseA//
tsaB_yeaY	ispG//
tsaE_amiB_mutL_miaA_hfq_hflXKC	cpsG//deoB//ssuE//frlC//ligB//
ttdABT	mog//deoC//
tyrS_pdxY	ynfF//rsmH//
tyrTV_tpr	
tyrV_tpr	
ubiCA	mhpB//yneH//
ubiEJB	patA//
udk_dcd	folP//paoC//
ugpBAECQ	citE//paaK//
uhpABC	
uidABC	metC//trpA//
ulaABCDEF	puuB//pdxY//idnK//plsC//
umpG_pcm	gdhA//rfaD//
umuDC	queF//
uof_fur	
upp_uraA	ldtC//poxB//
usg_truA_dedA	yeiR//
uvrYC	thiH//
uxaCA	glmS//dhaM//
uxuAB	waaF//dgcP//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	lpxK//ybiV//
waaQGPSBOJYZU	kdsC//udp//cueO//glcB//cysH//sgbE//tatD//nirD//panB//iscS//
waaYZ	dkgA//fucK//
waaZU	hisS//amiD//
wbbIJK	pphA//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	dhaL//mdh//purF//purE//murC//astA//
wcaKLM	
wrbA_yccJ	hemL//
wza_wzb_wzc	ilvN//gatZ//
wza_wzb_wzc_wcaAB	def//ribA//
xanQ_guaD_ghxQ	narZ//fabF//ttdB//
xapAB	sdaB//gsk//
xdhABC	ftnA//
xerD_dsbC_recJ	fsaB//rlmM//
xseB_ispA_dxs_yajO	glnA//hycE//talA//paoA//
xylAB	srlD//fadA//
xylFGHR	purL//
yabPQ	
yacC_speED	mcrB//ycjU//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	frdB//
yafDE	
yafNOP	wcaJ//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	adeD//cysK//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	hemA//
ybaB_recR	dgcC//
ybaST	qor//
ybbAP	
ybbY_glxK	cheB//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	tsaE//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	fadI//
ybeZY	
ybeZYX_lnt	dhaM//
ybfHG	
ybfOC	
ybgA_phr	bioC//
ybgC_tolQRA	
ybgIJKL_nei	fabH//
ybgQPO	
ybhP_clsB_ybhN	xapA//
ybiYW	
ybjC_nfsA_rimK_ybjN	kbl//cysN//
ybjJI	glxR//
ybjO_rlmC	narV//
ybjQ_amiD	selA//
ycaI_msbA_lpxK_ycaQ	thiH//nrdD//
ycaR_kdsB	gmhB//
ycbK_gloC	rsmI//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	cysK//
yciCB	
yciGFE	
yciK_btuR	nfsA//
yciVOQ	asnA//
yciZT	
ycjMNOPQRSTUV_ymjB	phnG//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	metG//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	cyaA//amyA//
ydcSTUV_patD	fadK//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	der//
ydgK_rsxABCDGE_nth	tdcB//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	narZ//arnA//
ydiJ_menI_ydiH	yhdJ//
ydiNB_aroD	nrdE//gutQ//
ydiQRST_fadK	rutB//
ydjA_selD_topB	yagE//upp//
ydjLKJIHG	napA//
ydjXYZ_ynjABCD	
yeaGH	dusA//
yeaR_yoaG	
yeaVW	
yebC_ruvC	rlmL//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	ndh//ansA//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	ispA//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	yicI//pncB//
yejABEF	dmsC//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	malS//
yfaX_rhmD	
yfaX_rhmD_yfaVU	fklB//
yfbUT	mltC//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	pdxY//
