# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	mog//
cysPUWAM	rffH//katG//guaC//
dadAX	valS//mobA//
damX_dam_rpe_gph_trpS	sthA//ampH//nfi//aslA//
dam_rpe_gph_trpS	hisA//pabA//lpxT//moeB//
dapA_bamC	avtA//
dapE_ypfN	coaE//
dcm_vsr	atoA//
dcuB_fumB	fabG//trmJ//
dcuSR	
dcyD_tcyLN	uvrC//citE//
ddpXABCDF	mngB//
def_fmt	waaZ//yneH//
degQS	cheB//ilvM//
deoABD	narY//carB//speA//
deoBD	gcl//dxr//
deoCABD	rbsD//rlmJ//folP//coaD//
dgoRKADT	gabT//cpsB//suhB//napC//
dhaKLM	selB//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	nagK//ydfG//
dinJ_yafQ	dgcC//
dksA_gluQ	mtn//
dmsABC	nanA//
dnaAN_recF	yfbT//
dnaK_tpke11_dnaJ	dgcM//
dnaN_recF	lpxH//
dnaTC	
dnaTC_yjjA	
dosCP	rfbB//slt//
dpiBA	
dppABCDF	idnK//
dsbC_recJ_prfB	nadD//mltC//
dsbD_yjdC	
dsdXA	metL//betA//
dusB_fis	pepD//
dut_slmA	fabA//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	mltF//lhgO//
efeOB	yiaK//
efeU_1U_2	
elbB_mtgA	yhdH//
elfDCG_ycbUVF	
emrKY	purE//
entCEBAH	cysS//hyaB//hisC//fes//caiA//umuD//
envY_ompT	rihA//
epd_pgk	murB//umuD//
epd_pgk_fbaA	paaC//uidA//folB//
essD_rrrD_rzpD	fumA//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	cmk//
eutHA	
eutNEJG	
eutSPQTDM	pncA//
evgAS	
exbBD	
fabDG_acpP	moeB//fabD//
fabG_acpP	ugpQ//
fabHDG	paaG//torA//pldA//
fabR_yijD	
fadBA	speC//acpS//
fadD_sroD	yagF//
fadIJ	dxr//hisG//
fdnGHI	
fdoGHI_fdhE	paaZ//
fdrA_ylbEF_ybcF	aroE//
fecABCDE	rihC//hflX//
fecIR	
feoABC	gltX//
fepA_entD	aroF//bioH//entB//
fepDGC	dfp//
fes_ybdZ_entF_fepE	ispU//pheS//yeiG//
fetAB	
fhuACDB	alkB//rffM//
ficA_fic_pabA	csdA//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	glcE//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	adeD//citG//
folC_dedD	argD//
folD_ybcJ	nrdF//
folE_yeiB	rpiA//
folP_glmM	ppx//eno//
folX_yfcH	paoB//
frdABCD	roxA//
frlABCDR	gatZ//yiaK//eutC//yfeW//
frmRAB	speF//ppiC//
fruBKA	purA//yfbT//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	cobU//gluQ//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	gpsA//fumB//nirD//selB//hemC//nudC//hyaA//yiaY//malZ//sdaA//
ftsQAZ	
ftsYEX	
fucAO	mltB//rsmC//
fucPIKUR	dinB//cysD//agp//yidA//
fumAC	aroH//gshB//
fusA_tufA	
gabDTP	argE//ybaS//fucU//
gadAX	deoB//
gadBC	lpoB//allE//
gadEF	
gadEF_mdtEF	gpmA//
gadXW	
galET	ulaD//aroC//
galETK	luxS//aceA//panC//
galETKM	aroH//ahpC//clsA//sucD//
gapA_yeaD	ycjG//
gapC_1C_2	
garPLRK_rnpB	ddlB//rihC//mcrA//ribB//cpdB//mazG//
gatYZABCD	otsA//rnt//insI-2//
gatZABCD	malP//yfcG//ravA//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	yihS//cysN//ygaP//wzc//glgC//
gcvTHP	tadA//kduI//rhaB//
gfcBCD	
gfcE_etp_etk	ribB//ppiB//
ghoST	speC//
glcBA	paaK//tdk//
glcDEFGBA	rlmH//fsaB//thrS//
glf_wbbH	ydiB//
glgAP	bglB//tdcE//
glgBXCAP	alkA//astA//murB//adeD//yfcG//
glgCAP	eda//ycjG//gpmM//
glmUS	paaK//dgoA//
glnALG	yjhG//
glnHPQ	yjhG//
glnK_amtB	bcsB//
glnLG	
glnW_metU_glnVX	
glpABC	nudG//
glpEGR	hcaE//rsmA//
glpFKX	gpp//nrfB//cysC//
glpGR	galE//
glpTQ	ppk//aroD//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	sgbH//
glvCBG_ysdC	
glyQS	xdhA//
glyVXY	
glyW_cysT_leuZ	
gntKU	mhpE//ppk//
gntRKU	thiL//nagB//
gntX_nfuA	
gpmM_envC_yibQ	argA//ribB//
groSL	
gspAB	
gspCDEFGHIJKLMO	nagB//
guaBA	puuE//dmsA//
gudPXD	truD//carA//
hcaEFCBD	glmM//ybhA//
hcp_hcr	leuC//wzb//
hdeAB_yhiD	
hemA_prfA_prmC	hinT//hyi//
hemCDXY	nrfD//insI-3//
hflD_purB	arnT//
hfq_hflXKC	glgB//
hicAB	
higBA	paoC//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	ruvA//epd//tilS//miaB//
hipBA	ilvD//
hisBHAFI	nadD//hisI//pgi//ravA//
hisJQMP	purC//dhaM//
hisLGDCBHAFI	rsmD//add//pdeL//ddlB//patA//talA//hemN//
hofMNOP	
holC_valS	yjjG//
holD_rimI_yjjG	pfkA//coaA//
hscBA_fdx_iscX	metK//
hsdMS	acpS//
hsdRMS	yqjG//
hslRO	
hslVU	garK//
hyaABCDEF	
hybOABCDEFG	dcm//
hycABCDEFGHI	purB//rdgB//
hydN_hypF	trxB//
hyfABCDEFGHIJR_focB	gltA//
hypABCDE	tilS//
hypABCDE_fhlA	gloA//
hypBCDE	yihS//
hypBCDE_fhlA	gatY//
iaaA_gsiABCD	udk//rimK//
ibaG_murA	ttdA//
ibpAB	
idnDOTR	argI//yfcF//ung//
ileS_lspA_fkpB_ispH	der//gloC//agp//fes//
ilvEDA	ispE//pdxJ//araB//aroL//
ilvIH	paaH//
ilvLXG_1G_2MEDA	pfkB//dcd//garK//purM//nanK//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	citG//
insN_1I_1O_1	aceF//
insO_2_yjhWV	
iscRSUA	fadJ//ygiF//
ispDF	udk//galK//
ispG_sroE	rsmB//
isrC_flu	
ivbL_ilvBN	emtA//
ivbL_ilvBN_uhpABC	mqo//
kbaZ_agaVWA	dut//
kbl_tdh	yagE//gstA//
kdpDE	
kdpFABC	yeiG//
kdsC_lptCAB	dxr//ubiX//
kefFC	fadM//paoB//
kefGB_yheV	napG//
kilR_ydaE	
lacYA	ybiV//frmA//
lacZYA	pagP//rutA//maeB//
lapAB	
lapAB_pyrF_yciH	pgk//
lepAB	proC//
leuLABCD	hycF//ispF//aroL//
leuQPV	
leuS_lptE_holA_nadD_cobC	waaP//glyA//oxc//
lexA_dinF	
lgt_thyA	wecC//pyrC//
ligA_ypeB	yihT//
livKHMGF	ilvB//torC//
lldPRD	azoR//ispE//
lolA_rarA	
lolB_ispE_prs	glcF//ulaD//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	feaB//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	nrdF//ilvN//
lptFG	
lspA_fkpB_ispH	hcp//asd//puuC//
lsrACDBFG_tam	guaD//mocA//sdhA//yfcF//
lsrRK	gpt//
ltaE_ybjT	dgoK//
lysT_valT_lysW	
macAB	cobC//
malEFG	tehB//
malK_lamB_malM	lpxL//proS//
malPQ	lgoD//mnmG//
malXY	yjiA//yihS//
manXYZ	fabF//
map_glnD_dapD	glpC//hisF//glmS//
marRAB	
mazEFG	ynfH//
mcrBC	kdsB//
mdlAB	
mdtABCD_baeSR	moaA//
mdtEF	puuC//
mdtJI	leuC//
mdtM_yjiN	ulaE//
mdtNOP	speD//
melAB	rhaD//epmA//
menA_rraA	ycjG//
menBCE	folK//mtn//pldA//
menDHBCE	lipB//speG//hycG//gnd//wbbI//
menFDHBCE	kdsB//cobC//hisF//fau//pabB//umpG//
metBL	fumC//napB//
metNIQ	epd//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	pgpA//gatZ//ygjK//
metZWV	
mglAC	ansB//
mglBAC	dapD//
mgtLA	rpiB//
mhpABCDFE	nrfB//fbaA//fumC//hemE//kduD//cysK//
mhpR_lacI	
miaA_hfq_hflXKC	ydiB//hemE//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	lysS//paaK//
mnaT_ydcZ	fucO//
mngAB	ydiF//trmD//
mnmG_rsmG	rhaM//yjiA//
mntR_ybiR	
moaABCDE	uxuA//trpE//
moaBCDE	hemN//
mobAB	phnJ//
modABC	yiaK//
modEF	
moeAB	puuD//nagB//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	prs//
mqsRA	cpdB//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	fre//phnH//narI//rpe//rfbB//lsrK//tdcD//phnI//azoR//gph//gshA//
mreBCD	
mreCD	
msrPQ	
mtlADR	maeB//queF//nudF//
mtn_btuF_yadS	lysU//cheR//
murB_birA	metL//katE//
murQP	lpcA//cysC//gph//
murQP_yfeW	gshA//dfp//acpT//citX//
mutL_miaA_hfq_hflXKC	pagP//aroF//thyA//
mutY_yggX	allC//
mutY_yggX_mltC	astD//murD//
mutY_yggX_mltC_nupG	coaA//trpS//alkB//
nadA_pnuC	pdeL//gsk//
nagBAC_umpH	gcvH//ygeX//metA//
nagK_cobB	valS//hyaB//
nanATEK_yhcH	yhdH//lpxP//mnmA//nfi//
nanCM	dacC//sgbE//
nanCMS	yegS//pnp//
napFDAGHBC	polA//
napFDAGHBC_ccmABCDEFGH	nudL//ynfE//
narGHJI	glpX//
narWV	torA//
narXL	
narZYWV	aspA//
nemRA	tyrB//
nemRA_gloA	yegS//murE//
nfrBA	
nhaAR	mtn//
nikABCDER	udk//
nirBDC_cysG	cdh//rffT//citD//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	argS//
nrdAB_yfaE	fadB//
nrdDG	aroF//fabB//
nrdHIEF	panB//
nrdR_ribDE_nusB_thiL_pgpA	paoC//rnpB//gmhB//hemN//
nrfABCDEFG	yeiG//
nsrR_rnr_rlmB_yjfI	guaC//coaE//
nudB_yebC_ruvC	mutT//hypF//
nudC_hemE_nfi	purE//ycjU//
nudF_yqiB_cpdA_yqiA_parE	accA//tadA//
nuoABCEFGHIJKLMN	fumA//
nuoMN	mak//
ompR_envZ	
opgGH	
oppABCDF	argH//rph//
osmF_yehYXW	uvrB//
otsBA	waaA//kdsB//
paaABCDEFGHIJK	hyuA//atoB//nirB//pgaD//tktB//ahpC//glmM//
paaXY	nfi//
pabB_nudL	metH//etk//
pabC_mltG_tmk_holB_ycfH	sucA//mltD//opgB//
panBC	ydiF//aroE//
panE_yajL	feaB//
paoABCD	pinE//
pcnB_folK	tatD//yagF//
pdeI_dgcI	
pdhR_aceEF_lpd	pgl//gapA//frc//roxA//hcaF//tdk//
pdxA_rsmA	aldB//hpt//
pdxA_rsmA_apaGH	gltB//pdeR//aceB//
pdxB_usg_truA_dedA	malS//thiM//
pdxH_tyrS_pdxY	waaL//paaI//truD//
pdxJ_acpS	sbcB//garL//
pepQ_yigZ_trkH_hemG	bfr//gadB//fadB//
pflDC	
pgaABCD	scpB//ribC//pphA//
pgk_fbaA	hemH//can//
pgpC_tadA	gpp//guaC//
pheLA	ppk//
pheMST_ihfA	dgcC//
phnCDE_1E_2FGHIJKLMNOP	lipB//prpC//insI-2//mtlD//bglX//tdcE//rffH//
phnLMNOP	entA//folK//rlmI//aroG//paoC//
phoA_psiF	gmm//
phoBR	
phoPQ	
pldB_yigL	fucA//entF//
plsX_fabHDG	kdsC//allE//waaB//
pntAB	
potABCD	yahK//
potFGHI	cpsG//
poxB_ltaE_ybjT	rfbC//glgC//
ppdAB_ygdB_ppdC_recC	dapE//
ppdD_hofBC	
ppiB_lpxH	hycB//pgaB//
ppk_ppx	rbsD//cysK//
pqiAB	
preTA	relA//
prfB_lysS	phnM//
priC_ybaM	
prlC_rsmJ	aroG//gltD//
prlF_yhaV	sthA//
prmB_aroC_mepA_yfcA_epmC_yfcL	rsmG//thrS//preT//hycG//
proBA	puuB//gpmA//
proQ_prc	prs//
proVWX	gshB//
prpBCDE	rutC//ybdL//ispA//sucC//
psd_mscM	
pspABCDE	rlmC//
pspBCDE	phr//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	ynfG//ydiF//
pth_ychF	lpoB//
ptrA_recBD	mobA//ansB//
ptsA_fsaB_gldA	rutB//ahpC//
ptsHI_crr	mak//nagB//bcsA//
purEK	poxB//glpK//
purHD	pncC//nadK//
purMN	glcB//ilvB//
puuAP	yiaK//glxR//
puuCBE	mqo//sucA//purT//
puuDRCBE	rhaM//eutD//rlmA//glcD//
pyrF_yciH	pdxJ//
pyrG_eno	nudK//bglA//
pyrLBI	acnB//
qmcA_ybbJ	
qseBC	
radA_nadR	pagP//
rapA_rluA	murF//
ratAB	
ravA_viaA	
rbsDACBKR	rbsK//pdxB//narG//
rclABC	
rclBC	
rcnAB	lsrF//
rcsDB	
rcsF_trmO	yieF//
rdgB_yggW	metK//
rdoA_dsbA	gatD//lysS//
recAX	
recET_ralR_ydaC_xisR_intR	asnB//hcaE//
relA_mazEF	glnE//
relBE	argB//
relBE_hokD	pyrI//
renD_emrE	adhE//
rfaD_waaFCL	kdsC//slyD//pheT//hcaC//
rfbACX	plsC//pphB//eptA//yfdR//
rfbBDACX	hisF//mocA//yihV//tktB//dsdA//recJ//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	roxA//phoA//ahpF//rsmD//yjhH//ftnA//ilvI//lpxP//napH//
rhaBAD	napA//bglA//gsk//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	ybaS//pagP//yggF//
ribF_ileS_lspA_fkpB_ispH	nrfA//frlB//sodC//epd//mltB//
rimK_ybjN	pyrH//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	cheB//lpoA//aroK//ygjK//yihV//gpmA//trmJ//ada//nudC//cynT//
rlmE_ftsH	yigB//narH//
rlmL_uup	panE//
rluD_yfiH	ynfF//thiF//
rluE_nudJ	pflB//idi//
rnc_era	bglB//
rnc_era_recO_pdxJ_acpS	atoD//yihX//gltX//fkpA//
rnlAB	dacD//
rnt_lhr	tmcA//
rpe_gph_trpS	mdh//waaH//cysK//
rph_pyrE	allB//tyrA//
rpiR_alsBACE	sgbU//rhaD//
rplJL_rpoBC	phnN//
rplKAJL_rpoBC	entB//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	sdhB//
rpmF_plsX_fabHDG	pyrG//pabA//bglB//
rpmH_rnpA	narY//mnmE//
rpmI_rplT	
rpoBC	entB//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	preA//ampD//fumB//
rppH_ptsP	eno//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	rsmE//
rpsO_pnp	purE//fucO//
rpsP_rimM_trmD_rplS	ftnA//
rpsU_dnaG_rpoD	dapE//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	gor//rlmD//
rsmA_apaGH	tdk//purH//
rsmD_yhhL	lsrF//
rsmE_gshB	lysS//tdh//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	malZ//ppsA//rihC//aceF//ilvN//deoA//menD//menH//glcD//adhP//ampH//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	gcvT//
rtcBA	narI//uxuB//
rutABCDEFG	pheT//yhdJ//guaD//rihC//thrS//eda//
ruvAB	pyrC//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	nth//
scpA_argK_scpBC	wzb//apaH//gatY//ycaO//
sdaCB	caiB//alsK//
sdhCDAB_sucABCD	glmU//truD//fabA//sgbH//
sdhDAB	
sdhE_cptA	
secB_gpsA	rne//
secE_nusG	
secG_leuU	
secMA_mutT	menF//
selAB	pheS//argI//
selD_topB	purH//rdoA//
seqA_pgm	phnL//
serB_radA	wrbA//
serC_aroA	emtA//melA//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	yfeW//
sgrST_setA	yidA//
skp_lpxD_fabZ_lpxA	ydfG//frlD//uxaB//
slp_dctR	
solA_yceO	aroL//
speAB	gabD//dosP//
speF_potE	nanM//rlmA//
srlAEBD_gutM_srlR_gutQ	kdsD//paaB//selD//
sroG_ribB	uidA//
sspAB	
ssrS_fau	mrdA//
ssuEADCB	napG//eptB//tdk//
stfE_tfaE	
sucAB	metF//argH//frlB//
sucABCD	cmoA//hchA//aceA//trmA//
sufABCDSE	nadK//
surA_pdxA_rsmA_apaGH	rlmJ//fbaA//frmB//cheB//
tag_yiaC	malY//
talA_tktB	coaA//menE//
tamAB_ytfP	
tar_tap_cheRBYZ	eutD//nanA//
tatABC	yidA//
tatABCD	yjeF//yigB//
tauABCD	trmA//ppk//
tdcABCDEFG	lldD//folE//narG//sdhA//ligA//
tdcBCDEFG	cyoE//aspA//cyaA//nagZ//rutD//
tehAB	surA//pflB//
tesA_ybbO	mcrC//carA//
tff_rpsB_tsf	
tgt_yajC	gpmA//
thiCEFSGH	pyrE//rsmC//phnP//mutL//ubiX//
thiMD	thiG//mocA//
thrLABC	pyrF//yohF//yahK//
thrS_infC	napB//
thrS_infC_rpmI_rplT_pheMST_ihfA	nrfA//hyaB//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	rlmL//dxr//
tolB_pal_cpoB	
tolC_ygiABC	hisS//yfbR//rsmA//serB//hemF//ppsA//efeB//nfsA//kduI//
tomB_hha	
topAI_yjhQ	
torCAD	yhhW//
torYZ	edd//
treBC	ydiB//rsmD//
trmI_yggL	waaC//
trpCBA	idnK//ahr//pnp//fumB//
trpLEDCBA	coaE//aldB//poxB//nirB//rsmD//dusB//
tsaB_yeaY	guaD//
tsaE_amiB_mutL_miaA_hfq_hflXKC	fkpA//ispG//lyxK//yihV//yjiA//
ttdABT	argC//acpS//
tyrS_pdxY	ghrA//acnB//
tyrTV_tpr	
tyrV_tpr	
ubiCA	ppx//ogt//
ubiEJB	recO//
udk_dcd	yccX//cysN//
ugpBAECQ	waaB//pflB//
uhpABC	
uidABC	rlmM//gatD//
ulaABCDEF	ubiG//narI//rhaM//frlD//
umpG_pcm	ravA//phnN//
umuDC	trpA//
uof_fur	
upp_uraA	ubiE//alsE//
usg_truA_dedA	gshA//
uvrYC	fbaB//
uxaCA	mpaA//pldA//
uxuAB	alaC//opgE//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	ubiX//fumA//
waaQGPSBOJYZU	cueO//hycG//nrfC//pgm//ileS//miaB//sthA//recF//yjjG//mnmG//
waaYZ	carA//truC//
waaZU	alsE//citE//
wbbIJK	ppa//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	ybjG//idnO//bglX//pncB//aroB//dnaE//
wcaKLM	
wrbA_yccJ	def//
wza_wzb_wzc	pgpB//acpT//
wza_wzb_wzc_wcaAB	waaZ//rsmI//
xanQ_guaD_ghxQ	pabC//lpxL//leuD//
xapAB	paaZ//umuD//
xdhABC	nfsB//
xerD_dsbC_recJ	yciA//dapE//
xseB_ispA_dxs_yajO	sodB//glyS//pyrF//gmm//
xylAB	mog//glyS//
xylFGHR	psd//
yabPQ	
yacC_speED	bioH//umuD//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	btuR//
yafDE	
yafNOP	fadD//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	hcaD//luxS//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	hycB//
ybaB_recR	ybcF//
ybaST	lipB//
ybbAP	
ybbY_glxK	tag//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	lacA//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	menF//
ybeZY	
ybeZYX_lnt	rhaD//
ybfHG	
ybfOC	
ybgA_phr	glgA//
ybgC_tolQRA	
ybgIJKL_nei	can//
ybgQPO	
ybhP_clsB_ybhN	tyrB//
ybiYW	
ybjC_nfsA_rimK_ybjN	rlmL//lysA//
ybjJI	metK//
ybjO_rlmC	tig//
ybjQ_amiD	pdxA//
ycaI_msbA_lpxK_ycaQ	rffT//prpC//
ycaR_kdsB	cmoB//
ycbK_gloC	yhdJ//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	ampH//
yciCB	
yciGFE	
yciK_btuR	hemD//
yciVOQ	ackA//
yciZT	
ycjMNOPQRSTUV_ymjB	trpA//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	lipB//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	fadI//pgaD//
ydcSTUV_patD	ybjI//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	pldA//
ydgK_rsxABCDGE_nth	fumB//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	lgoD//thiF//
ydiJ_menI_ydiH	miaA//
ydiNB_aroD	acpS//speC//
ydiQRST_fadK	dacA//
ydjA_selD_topB	entA//yghU//
ydjLKJIHG	yfdE//
ydjXYZ_ynjABCD	
yeaGH	fadM//
yeaR_yoaG	
yeaVW	
yebC_ruvC	paaH//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	thiG//ispD//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	ilvD//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	aspC//folC//
yejABEF	tesA//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	gph//
yfaX_rhmD	
yfaX_rhmD_yfaVU	pyrG//
yfbUT	nagA//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	glyA//
