# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	trxB//
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	trpA//ynfG//
efeOB	hyaC//
efeU_1U_2	
elbB_mtgA	ygeX//
elfDCG_ycbUVF	
emrKY	lpoA//
entCEBAH	hemA//birA//eno//tesA//eda//fbaB//
envY_ompT	entF//
epd_pgk	allD//argF//
epd_pgk_fbaA	alsE//aspA//gutQ//
essD_rrrD_rzpD	yjhG//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	cysG//
eutHA	
eutNEJG	
eutSPQTDM	ubiH//
evgAS	
exbBD	
fabDG_acpP	ubiD//rsmH//
fabG_acpP	yceF//
fabHDG	nrdF//spoT//gnd//
fabR_yijD	
fadBA	hisC//menD//
fadD_sroD	gpt//
fadIJ	sufS//yniC//
fdnGHI	
fdoGHI_fdhE	alkA//
fdrA_ylbEF_ybcF	abgB//
fecABCDE	rfbB//recR//
fecIR	
feoABC	nrfD//
fepA_entD	bioC//ybaS//sthA//
fepDGC	glpD//
fes_ybdZ_entF_fepE	nanE//thiG//ushA//
fetAB	
fhuACDB	truB//malQ//
ficA_fic_pabA	miaA//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	dld//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	alaC//lgoD//
folC_dedD	eutB//
folD_ybcJ	rrrD//
folE_yeiB	yghU//
folP_glmM	glgP//azoR//
folX_yfcH	ravA//
frdABCD	recJ//
frlABCDR	pfkA//paoC//scpB//nrdB//
frmRAB	emtA//ispE//
fruBKA	ulaE//manA//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	phnI//cheR//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	fumA//nudG//dhaK//hisG//hisI//menA//pphA//metA//argD//paoB//
ftsQAZ	
ftsYEX	
fucAO	folB//caiB//
fucPIKUR	paaH//lpd//ribC//agp//
fumAC	ldtD//guaB//
fusA_tufA	
gabDTP	aroF//allB//fsaA//
gadAX	pdeF//
gadBC	pgaD//dapE//
gadEF	
gadEF_mdtEF	paaI//
gadXW	
galET	lsrF//thiH//
galETK	lpxK//tyrB//katE//
galETKM	uxuA//uvrB//ubiH//tatD//
gapA_yeaD	murD//
gapC_1C_2	
garPLRK_rnpB	purA//rlmD//thrS//pabA//bioB//rluB//
gatYZABCD	pflB//trmL//menB//
gatZABCD	dgoD//dgcT//pbpC//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	gltB//mhpD//rfbA//pfkB//uvrC//
gcvTHP	hemN//carA//citD//
gfcBCD	
gfcE_etp_etk	queD//wecB//
ghoST	gadA//
glcBA	ynfF//queA//
glcDEFGBA	deoD//sad//hisG//
glf_wbbH	ascB//
glgAP	yqjG//sgbE//
glgBXCAP	purE//aceF//pfkB//thiC//nadK//
glgCAP	pncB//treF//ulaF//
glmUS	def//pyrB//
glnALG	paaE//
glnHPQ	mpl//
glnK_amtB	proB//
glnLG	
glnW_metU_glnVX	
glpABC	arnA//
glpEGR	puuC//fbp//
glpFKX	melA//thiG//ybhA//
glpGR	yciV//
glpTQ	asnA//prpD//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	rluC//
glvCBG_ysdC	
glyQS	sthA//
glyVXY	
glyW_cysT_leuZ	
gntKU	ldhA//mocA//
gntRKU	thiC//gcl//
gntX_nfuA	
gpmM_envC_yibQ	cysN//carA//
groSL	
gspAB	
gspCDEFGHIJKLMO	rsmH//
guaBA	pheA//bioF//
gudPXD	dnaE//cobC//
hcaEFCBD	glpD//fabD//
hcp_hcr	cysS//kduD//
hdeAB_yhiD	
hemA_prfA_prmC	dgcT//pgpC//
hemCDXY	hisS//cysC//
hflD_purB	recG//
hfq_hflXKC	pyrI//
hicAB	
higBA	lpxD//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	folE//tktA//dmsC//nhoA//
hipBA	aroH//
hisBHAFI	acpS//caiB//idnO//gltD//
hisJQMP	ygaP//nudB//
hisLGDCBHAFI	ssuE//tilS//qor//trmI//mhpE//prmC//asnA//
hofMNOP	
holC_valS	fadM//
holD_rimI_yjjG	dxr//gcvT//
hscBA_fdx_iscX	otsA//
hsdMS	purH//
hsdRMS	puuD//
hslRO	
hslVU	phnL//
hyaABCDEF	
hybOABCDEFG	aslA//
hycABCDEFGHI	pgpB//gntK//
hydN_hypF	hyi//
hyfABCDEFGHIJR_focB	phnM//
hypABCDE	yieF//
hypABCDE_fhlA	fadB//
hypBCDE	tesB//
hypBCDE_fhlA	cheR//
iaaA_gsiABCD	aslA//tyrA//
ibaG_murA	mog//
ibpAB	
idnDOTR	dusC//ilvH//surA//
ileS_lspA_fkpB_ispH	aes//yahK//ilvM//hisD//
ilvEDA	mcrC//narH//dgt//yihT//
ilvIH	sgbU//
ilvLXG_1G_2MEDA	betB//dapD//lacA//folD//moeB//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	fabI//
insN_1I_1O_1	waaP//
insO_2_yjhWV	
iscRSUA	puuB//pyrE//
ispDF	galU//eutD//
ispG_sroE	alr//
isrC_flu	
ivbL_ilvBN	fsaA//
ivbL_ilvBN_uhpABC	argA//
kbaZ_agaVWA	miaB//
kbl_tdh	glgA//valS//
kdpDE	
kdpFABC	nadC//
kdsC_lptCAB	lsrF//gcvH//
kefFC	rhaM//trmO//
kefGB_yheV	tyrS//
kilR_ydaE	
lacYA	dcyD//pyrH//
lacZYA	recR//thrC//icd//
lapAB	
lapAB_pyrF_yciH	gldA//
lepAB	dapA//
leuLABCD	narY//sdaB//yqjG//
leuQPV	
leuS_lptE_holA_nadD_cobC	abgB//lpxH//pykA//
lexA_dinF	
lgt_thyA	ydiO//fabH//
ligA_ypeB	alkA//
livKHMGF	recF//torY//
lldPRD	dhaK//frlC//
lolA_rarA	
lolB_ispE_prs	adhP//uxaB//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	sdaA//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	recR//thiF//
lptFG	
lspA_fkpB_ispH	pheT//adk//gcvH//
lsrACDBFG_tam	folK//yciV//waaB//folE//
lsrRK	tmcA//
ltaE_ybjT	ynfG//
lysT_valT_lysW	
macAB	fkpA//
malEFG	phnN//
malK_lamB_malM	guaD//ygiF//
malPQ	poxB//eptB//
malXY	dusC//ispU//
manXYZ	pyrC//
map_glnD_dapD	dapE//dgcP//recF//
marRAB	
mazEFG	sseA//
mcrBC	pgpA//
mdlAB	
mdtABCD_baeSR	uxaB//
mdtEF	ynjE//
mdtJI	yrfG//
mdtM_yjiN	rsmH//
mdtNOP	torC//
melAB	araA//gshB//
menA_rraA	yajO//
menBCE	trmJ//serA//acpH//
menDHBCE	phnH//glcD//torZ//astD//phnN//
menFDHBCE	fadJ//bioH//ynjE//entA//ppa//kdgK//
metBL	adhP//cysK//
metNIQ	mnaT//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	yegS//pflB//mrdA//
metZWV	
mglAC	rsmE//
mglBAC	manA//
mgtLA	prpC//
mhpABCDFE	treC//nagB//deoB//allE//kbaZ//xapA//
mhpR_lacI	
miaA_hfq_hflXKC	queG//aroE//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	nrdF//ilvI//
mnaT_ydcZ	lpxA//
mngAB	orn//queD//
mnmG_rsmG	waaS//deoB//
mntR_ybiR	
moaABCDE	lipA//lpcA//
moaBCDE	waaF//
mobAB	nudC//
modABC	aceF//
modEF	
moeAB	yciV//yqjG//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	garL//
mqsRA	arsC//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	hemG//glcB//tauD//dkgB//recG//nanE//glgC//hyi//allB//gmm//bglA//
mreBCD	
mreCD	
msrPQ	
mtlADR	fau//ttdB//waaJ//
mtn_btuF_yadS	mak//dhaM//
murB_birA	dadX//cpdA//
murQP	cheB//melA//rnt//
murQP_yfeW	adk//ligB//mhpE//tauD//
mutL_miaA_hfq_hflXKC	phr//yihS//ackA//
mutY_yggX	pdeL//
mutY_yggX_mltC	ssuE//moeB//
mutY_yggX_mltC_nupG	xapA//melA//rfaD//
nadA_pnuC	thiL//preT//
nagBAC_umpH	mutS//hemG//glpA//
nagK_cobB	fau//suhB//
nanATEK_yhcH	malS//pgpC//ubiX//slt//
nanCM	ilvC//nemA//
nanCMS	tyrA//kdsC//
napFDAGHBC	ung//
napFDAGHBC_ccmABCDEFGH	hyaC//aceB//
narGHJI	paaC//
narWV	mocA//
narXL	
narZYWV	adhP//
nemRA	ppiA//
nemRA_gloA	trpA//cof//
nfrBA	
nhaAR	glpX//
nikABCDER	sdaA//
nirBDC_cysG	tesB//ulaG//yieF//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	maa//
nrdAB_yfaE	purF//
nrdDG	hmp//mazG//
nrdHIEF	rsmG//
nrdR_ribDE_nusB_thiL_pgpA	trmO//mltD//ldtD//ispF//
nrfABCDEFG	lplA//
nsrR_rnr_rlmB_yjfI	sucA//poxB//
nudB_yebC_ruvC	metA//araB//
nudC_hemE_nfi	lacZ//aes//
nudF_yqiB_cpdA_yqiA_parE	pgpA//dxr//
nuoABCEFGHIJKLMN	ydfG//
nuoMN	kefF//
ompR_envZ	
opgGH	
oppABCDF	talB//hcp//
osmF_yehYXW	rsmH//
otsBA	nadC//hisS//
paaABCDEFGHIJK	lpxP//hemF//xthA//tdcG//gdhA//metB//dxr//
paaXY	xdhB//
pabB_nudL	ada//puuC//
pabC_mltG_tmk_holB_ycfH	nadB//rlmH//alaS//
panBC	menB//xylB//
panE_yajL	lpxM//
paoABCD	kduD//
pcnB_folK	sgbH//nrdD//
pdeI_dgcI	
pdhR_aceEF_lpd	ydiB//garK//waaO//mdh//speB//murQ//
pdxA_rsmA	yciA//dgcT//
pdxA_rsmA_apaGH	purK//paaK//glgP//
pdxB_usg_truA_dedA	nrdE//folM//
pdxH_tyrS_pdxY	hisB//murI//citX//
pdxJ_acpS	carB//garK//
pepQ_yigZ_trkH_hemG	miaA//rluF//cyoE//
pflDC	
pgaABCD	citX//dgkA//glgC//
pgk_fbaA	xdhA//dgcZ//
pgpC_tadA	menA//frmA//
pheLA	moaD//
pheMST_ihfA	ahpF//
phnCDE_1E_2FGHIJKLMNOP	adeD//fadA//rsmH//cmk//bacA//hcp//mpl//
phnLMNOP	rnpB//nfi//yceF//dinB//gstA//
phoA_psiF	fkpB//
phoBR	
phoPQ	
pldB_yigL	abgA//fadH//
plsX_fabHDG	hycF//surA//luxS//
pntAB	
potABCD	pfkA//
potFGHI	ldtC//
poxB_ltaE_ybjT	glgA//astD//
ppdAB_ygdB_ppdC_recC	suhB//
ppdD_hofBC	
ppiB_lpxH	pgaB//asnB//
ppk_ppx	rluE//epmB//
pqiAB	
preTA	cpdA//
prfB_lysS	nudB//
priC_ybaM	
prlC_rsmJ	hyaB//yiaY//
prlF_yhaV	purK//
prmB_aroC_mepA_yfcA_epmC_yfcL	tyrS//mltC//purN//sthA//
proBA	glcE//mcrA//
proQ_prc	ilvI//
proVWX	pheT//
prpBCDE	mltF//cynT//ispF//lpoA//
psd_mscM	
pspABCDE	fadI//
pspBCDE	phnG//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	galT//tmk//
pth_ychF	folA//
ptrA_recBD	treF//nudB//
ptsA_fsaB_gldA	lpxB//hemA//
ptsHI_crr	bglB//kefF//bioH//
purEK	ygaP//ansA//
purHD	patD//cysQ//
purMN	serC//qor//
puuAP	sbcB//fumC//
puuCBE	pgaC//pdeR//miaB//
puuDRCBE	pdeF//deoD//polB//yqhD//
pyrF_yciH	gudD//
pyrG_eno	sucA//glxR//
pyrLBI	mhpA//
qmcA_ybbJ	
qseBC	
radA_nadR	cmk//
rapA_rluA	cfa//
ratAB	
ravA_viaA	
rbsDACBKR	argB//umuC//otsB//
rclABC	
rclBC	
rcnAB	paoB//
rcsDB	
rcsF_trmO	tehB//
rdgB_yggW	cysS//
rdoA_dsbA	plsC//rluA//
recAX	
recET_ralR_ydaC_xisR_intR	yccX//yagF//
relA_mazEF	caiA//
relBE	nadC//
relBE_hokD	paaZ//
renD_emrE	ushA//
rfaD_waaFCL	mmuM//yihS//speA//nanK//
rfbACX	gapA//arnC//alsK//phnP//
rfbBDACX	argG//gmk//pgpB//dmsC//gluQ//hisS//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	ribE//dadX//scpC//alkA//rsmC//nrdF//rnpB//dusC//purK//
rhaBAD	metE//ribC//rnt//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	otsB//gluQ//lpxL//
ribF_ileS_lspA_fkpB_ispH	citC//eptB//ulaG//sdaA//trmD//
rimK_ybjN	edd//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	rlmL//dam//allB//kduD//napH//metB//kbaZ//rlmJ//icd//alaC//
rlmE_ftsH	aroG//mrcB//
rlmL_uup	hypF//
rluD_yfiH	otsA//citC//
rluE_nudJ	acnB//glcF//
rnc_era	tag//
rnc_era_recO_pdxJ_acpS	tsaB//cdh//hcp//xylB//
rnlAB	umpH//
rnt_lhr	psuG//
rpe_gph_trpS	patD//yjhG//glxK//
rph_pyrE	folX//mltC//
rpiR_alsBACE	cueO//glyQ//
rplJL_rpoBC	mtlD//
rplKAJL_rpoBC	dgoK//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	speB//
rpmF_plsX_fabHDG	adhE//uxaC//tyrA//
rpmH_rnpA	dcd//napA//
rpmI_rplT	
rpoBC	cpsG//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	bfr//serA//ispE//
rppH_ptsP	bcsZ//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	gadB//
rpsO_pnp	ppiC//hyi//
rpsP_rimM_trmD_rplS	tdcB//
rpsU_dnaG_rpoD	mutT//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	nadB//clsC//
rsmA_apaGH	tesA//rpe//
rsmD_yhhL	ybhA//
rsmE_gshB	gcvH//yfbT//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	argI//amyA//ttdA//tadA//azoR//sufS//sucB//amyA//rlmA//ampH//dnaE//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	dmsB//
rtcBA	nadE//rutB//
rutABCDEFG	maa//lplA//pdeH//truB//ilvM//arnA//
ruvAB	rrrD//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	ilvB//
scpA_argK_scpBC	opgE//psuG//ilvM//prmB//
sdaCB	gsk//hisF//
sdhCDAB_sucABCD	umpH//pck//gatZ//pdxY//
sdhDAB	
sdhE_cptA	
secB_gpsA	glyQ//
secE_nusG	
secG_leuU	
secMA_mutT	gluQ//
selAB	rihA//yjcS//
selD_topB	gpt//purL//
seqA_pgm	prpC//
serB_radA	truB//
serC_aroA	nudC//rlmM//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	gloB//
sgrST_setA	speC//
skp_lpxD_fabZ_lpxA	nfsA//glyS//eda//
slp_dctR	
solA_yceO	ilvD//
speAB	waaF//prpE//
speF_potE	glpX//fadE//
srlAEBD_gutM_srlR_gutQ	gatD//dnaE//arnA//
sroG_ribB	accD//
sspAB	
ssrS_fau	yihV//
ssuEADCB	ltaE//aldA//ampD//
stfE_tfaE	
sucAB	lpxB//pdeR//betA//
sucABCD	entA//narH//ddlA//waaL//
sufABCDSE	yegS//
surA_pdxA_rsmA_apaGH	ubiH//folK//aroG//nrdD//
tag_yiaC	rimK//
talA_tktB	leuS//hisA//
tamAB_ytfP	
tar_tap_cheRBYZ	trpB//glyQ//
tatABC	luxS//
tatABCD	accA//upp//
tauABCD	dgcC//yhdH//
tdcABCDEFG	xthA//nemA//amyA//pgsA//murC//
tdcBCDEFG	dusB//gpt//ligB//coaD//pgaD//
tehAB	tcdA//alaA//
tesA_ybbO	ung//hpt//
tff_rpsB_tsf	
tgt_yajC	anmK//
thiCEFSGH	ilvM//tktB//sodA//argB//entE//
thiMD	ulaF//orn//
thrLABC	upp//rne//ydiO//
thrS_infC	rffT//
thrS_infC_rpmI_rplT_pheMST_ihfA	ravA//tdcE//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	pdeR//gmk//
tolB_pal_cpoB	
tolC_ygiABC	thiM//waaS//sseA//rluD//yhdJ//ribF//ydbC//gmm//rsmF//
tomB_hha	
topAI_yjhQ	
torCAD	ychF//
torYZ	queC//
treBC	ackA//argC//
trmI_yggL	nagZ//
trpCBA	rsmH//yeaG//yibQ//opgB//
trpLEDCBA	nudE//dkgA//glmS//nirD//murB//eptB//
tsaB_yeaY	ftsI//
tsaE_amiB_mutL_miaA_hfq_hflXKC	gph//hisH//cpsB//chbF//menC//
ttdABT	wcaJ//sdhD//
tyrS_pdxY	fbaA//nirD//
tyrTV_tpr	
tyrV_tpr	
ubiCA	accC//lplA//
ubiEJB	fabZ//
udk_dcd	pdxY//entH//
ugpBAECQ	nudK//tyrA//
uhpABC	
uidABC	rluE//dgcZ//
ulaABCDEF	selB//ispA//astC//tdcE//
umpG_pcm	waaL//hdhA//
umuDC	eda//
uof_fur	
upp_uraA	nadA//gatZ//
usg_truA_dedA	ispU//
uvrYC	paaC//
uxaCA	upp//umuD//
uxuAB	yagF//rlmD//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	pyrG//ubiG//
waaQGPSBOJYZU	mnmG//glcE//ampD//pncB//yfiH//moeB//adk//idnO//aroG//leuA//
waaYZ	nanE//yfdE//
waaZU	nrdE//mepS//
wbbIJK	aceA//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	nagB//pdeR//hyaA//gpp//dkgB//entD//
wcaKLM	
wrbA_yccJ	torA//
wza_wzb_wzc	hchA//sdhD//
wza_wzb_wzc_wcaAB	pyrH//valS//
xanQ_guaD_ghxQ	sseA//ygaP//gdhA//
xapAB	pgpA//feaB//
xdhABC	pdxJ//
xerD_dsbC_recJ	rutD//thiH//
xseB_ispA_dxs_yajO	gltA//rsmD//nudE//narZ//
xylAB	bcsB//tgt//
xylFGHR	trpS//
yabPQ	
yacC_speED	yjiA//lpxB//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	cobS//
yafDE	
yafNOP	gpmA//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	ybjG//dapE//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	ndh//
ybaB_recR	rpiA//
ybaST	mngB//
ybbAP	
ybbY_glxK	nemA//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	hemA//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	pabB//
ybeZY	
ybeZYX_lnt	aspS//
ybfHG	
ybfOC	
ybgA_phr	nrdD//
ybgC_tolQRA	
ybgIJKL_nei	ispG//
ybgQPO	
ybhP_clsB_ybhN	rsmI//
ybiYW	
ybjC_nfsA_rimK_ybjN	yihS//nagB//
ybjJI	nadA//
ybjO_rlmC	wzb//
ybjQ_amiD	betB//
ycaI_msbA_lpxK_ycaQ	trmJ//purH//
ycaR_kdsB	rihB//
ycbK_gloC	hcaC//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	queC//
yciCB	
yciGFE	
yciK_btuR	lysA//
yciVOQ	trpE//
yciZT	
ycjMNOPQRSTUV_ymjB	speG//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	pldB//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	bioH//fumC//
ydcSTUV_patD	fkpA//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	icd//
ydgK_rsxABCDGE_nth	mnmC//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	cmoA//manA//
ydiJ_menI_ydiH	dadA//
ydiNB_aroD	bglB//nrdF//
ydiQRST_fadK	thiC//
ydjA_selD_topB	hycE//cmoB//
ydjLKJIHG	napG//
ydjXYZ_ynjABCD	
yeaGH	mobA//
yeaR_yoaG	
yeaVW	
yebC_ruvC	dusB//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	hchA//thiH//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	gadB//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	allB//lsrG//
yejABEF	tesA//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	ileS//
yfaX_rhmD	
yfaX_rhmD_yfaVU	guaD//
yfbUT	rhaM//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	hisC//
