# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	ravA//
caiTABCDE	pyrB//aslA//rlmG//entH//accD//
carAB	hisA//
casABCDE12	lhgO//
casDE12	speA//
cbpAM	
cbrBC	
ccmABCDEFGH	udk//
cecR_ybhGFSR	
chaBC	
chbBCARFG	aspC//aroF//cmk//
chiP_ybfN	tehB//
chpSB	pykA//
citCDEFXG	murC//deoC//idnO//
clpPX	rhaM//pgaD//napG//glnE//
clpX_lon	mltD//rlmI//psuG//
clsA_yciU	murB//
cmk_rpsA	yieF//
cmoM_mukFEB	
cmtBA_yggPFDC	treA//rsmC//
coaE_zapD_yacG	frc//
cobUST	pheS//waaF//thiM//
codBA	tsaE//narH//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	hisA//
csgBAC	
csgDEFG	gltB//
csiD_lhgO_gabDTP	ndh//prpC//sseA//phnI//
cusCFBA	murF//
cusRS	
cvpA_purF_ubiX	purA//bcsA//
cydAB	ispA//
cydDC	waaZ//
cydX_ybgE	eutD//
cynTS	gcvP//torY//
cynTSX	mutH//gloA//sseA//
cyoABCDE	lysS//argA//
cysDNC	maeA//idnD//
cysJIH	pyrG//aroB//rnpA//
cysPUWAM	xdhA//rdoA//etp//
dadAX	kdsC//kdsA//
damX_dam_rpe_gph_trpS	glmS//gutQ//ycjU//lpxL//
dam_rpe_gph_trpS	yghU//wrbA//nfsA//csdA//
dapA_bamC	patA//
dapE_ypfN	mhpF//
dcm_vsr	sodB//
dcuB_fumB	dosP//mgsA//
dcuSR	
dcyD_tcyLN	ybbO//gsk//
ddpXABCDF	sdhC//
def_fmt	acpH//ubiI//
degQS	tpiA//ampC//
deoABD	pdeF//kdsC//narY//
deoBD	argD//waaZ//
deoCABD	ppsA//scpA//malY//glxR//
dgoRKADT	folP//sodB//ribD//dadX//
dhaKLM	maeB//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	glgX//murE//
dinJ_yafQ	cdd//
dksA_gluQ	glpK//
dmsABC	gss//
dnaAN_recF	nadC//
dnaK_tpke11_dnaJ	gabT//
dnaN_recF	ppc//
dnaTC	
dnaTC_yjjA	
dosCP	pyrB//pgpA//
dpiBA	
dppABCDF	ybaS//
dsbC_recJ_prfB	galT//mnaT//
dsbD_yjdC	
dsdXA	purN//pheT//
dusB_fis	fucK//
dut_slmA	dcm//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	katE//acnA//
efeOB	pgm//
efeU_1U_2	
elbB_mtgA	waaY//
elfDCG_ycbUVF	
emrKY	paaH//
entCEBAH	udp//folE//argK//fumB//garK//sufS//
envY_ompT	ltaE//
epd_pgk	rfbA//pykA//
epd_pgk_fbaA	ybaS//icd//yahK//
essD_rrrD_rzpD	truC//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	napB//
eutHA	
eutNEJG	
eutSPQTDM	ynjE//
evgAS	
exbBD	
fabDG_acpP	lysS//nrdB//
fabG_acpP	wrbA//
fabHDG	aspA//caiD//ilvA//
fabR_yijD	
fadBA	sucA//yieH//
fadD_sroD	clsB//
fadIJ	talB//folM//
fdnGHI	
fdoGHI_fdhE	trmA//
fdrA_ylbEF_ybcF	pdeR//
fecABCDE	pgk//tktB//
fecIR	
feoABC	mepS//
fepA_entD	uvrB//hycF//dhaM//
fepDGC	thiD//
fes_ybdZ_entF_fepE	rnt//rutA//pyrF//
fetAB	
fhuACDB	ddlA//ogt//
ficA_fic_pabA	dusA//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	rsgA//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	hemL//pdeL//
folC_dedD	paaG//
folD_ybcJ	paoA//
folE_yeiB	opgE//
folP_glmM	appA//nirD//
folX_yfcH	accD//
frdABCD	entH//
frlABCDR	alaS//kduD//gmd//ndk//
frmRAB	hcaE//rnpB//
fruBKA	ulaD//gmm//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	frlC//tesB//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	cadA//pfkA//allC//phnN//araD//lysU//glxK//ldtA//caiC//hisC//
ftsQAZ	
ftsYEX	
fucAO	rnb//hflX//
fucPIKUR	pck//fau//mepS//tehB//
fumAC	efeB//fumA//
fusA_tufA	
gabDTP	tesA//dosC//treF//
gadAX	panC//
gadBC	aroA//ung//
gadEF	
gadEF_mdtEF	hisB//
gadXW	
galET	asnS//cysS//
galETK	yhdH//truC//ispG//
galETKM	tauD//sodA//argF//kduI//
gapA_yeaD	nagA//
gapC_1C_2	
garPLRK_rnpB	yahK//aceA//napA//wrbA//pheS//trpA//
gatYZABCD	atoB//hcaD//yihX//
gatZABCD	yjjG//arnA//ispD//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	azoR//narZ//cheR//ulaE//pdxA//
gcvTHP	tktA//ldtD//ygeX//
gfcBCD	
gfcE_etp_etk	mmuM//qor//
ghoST	paaE//
glcBA	ubiG//pspE//
glcDEFGBA	hyaB//rutA//dcm//
glf_wbbH	scpC//
glgAP	dgoK//argG//
glgBXCAP	atoA//ydjG//paaC//fucU//fucO//
glgCAP	ispD//glgX//fabD//
glmUS	murD//ribD//
glnALG	waaB//
glnHPQ	nrdE//
glnK_amtB	rutD//
glnLG	
glnW_metU_glnVX	
glpABC	thrA//
glpEGR	purK//ispA//
glpFKX	yfdR//pck//gsk//
glpGR	argF//
glpTQ	ilvH//yjcS//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	sgbU//
glvCBG_ysdC	
glyQS	malY//
glyVXY	
glyW_cysT_leuZ	
gntKU	emtA//trpS//
gntRKU	fbp//waaA//
gntX_nfuA	
gpmM_envC_yibQ	waaC//tehB//
groSL	
gspAB	
gspCDEFGHIJKLMO	glnS//
guaBA	phnO//dkgA//
gudPXD	asd//hyuA//
hcaEFCBD	glpQ//pgpA//
hcp_hcr	psuK//uxaB//
hdeAB_yhiD	
hemA_prfA_prmC	uxuA//hycC//
hemCDXY	waaZ//kduD//
hflD_purB	qor//
hfq_hflXKC	otsB//
hicAB	
higBA	pbpC//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	uxaA//yfdE//hisF//dnaQ//
hipBA	napB//
hisBHAFI	sucD//nudF//ansB//rlmJ//
hisJQMP	ugd//bcsZ//
hisLGDCBHAFI	nrdD//purE//tdcG//ynfG//yidA//ppsA//dkgA//
hofMNOP	
holC_valS	paaC//
holD_rimI_yjjG	napB//wrbA//
hscBA_fdx_iscX	gatZ//
hsdMS	pepD//
hsdRMS	umpH//
hslRO	
hslVU	hemF//
hyaABCDEF	
hybOABCDEFG	recJ//
hycABCDEFGHI	acpH//sucB//
hydN_hypF	srlD//
hyfABCDEFGHIJR_focB	ppiB//
hypABCDE	adk//
hypABCDE_fhlA	ldcA//
hypBCDE	queD//
hypBCDE_fhlA	rsmH//
iaaA_gsiABCD	puuD//lpxL//
ibaG_murA	hemH//
ibpAB	
idnDOTR	ycjG//moaD//napH//
ileS_lspA_fkpB_ispH	purT//mnmE//puuA//tilS//
ilvEDA	rfe//fbaB//queG//trpC//
ilvIH	yqaB//
ilvLXG_1G_2MEDA	bcsZ//aphA//gpsA//murD//gss//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	ilvI//
insN_1I_1O_1	xylA//
insO_2_yjhWV	
iscRSUA	talB//ydjG//
ispDF	purH//paaG//
ispG_sroE	rihA//
isrC_flu	
ivbL_ilvBN	asnA//
ivbL_ilvBN_uhpABC	yneH//
kbaZ_agaVWA	hcaD//
kbl_tdh	atoD//ygaP//
kdpDE	
kdpFABC	nagK//
kdsC_lptCAB	yfcF//nudF//
kefFC	idi//gltX//
kefGB_yheV	moaE//
kilR_ydaE	
lacYA	ubiF//dinB//
lacZYA	srlD//hinT//ydiO//
lapAB	
lapAB_pyrF_yciH	ygaP//
lepAB	dmlA//
leuLABCD	coaE//malS//rsmF//
leuQPV	
leuS_lptE_holA_nadD_cobC	rnd//pyrF//folM//
lexA_dinF	
lgt_thyA	glcD//eno//
ligA_ypeB	nadB//
livKHMGF	rne//thiD//
lldPRD	pbpC//hisD//
lolA_rarA	
lolB_ispE_prs	hemH//add//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	dhaK//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	apaH//lpcA//
lptFG	
lspA_fkpB_ispH	metK//sdaB//dmsA//
lsrACDBFG_tam	dapD//hdhA//ppx//tig//
lsrRK	galT//
ltaE_ybjT	waaY//
lysT_valT_lysW	
macAB	insI-2//
malEFG	eutC//
malK_lamB_malM	amyA//lipB//
malPQ	paaE//dadX//
malXY	nagK//ileS//
manXYZ	fsaB//
map_glnD_dapD	ppiC//fabD//fucK//
marRAB	
mazEFG	lyxK//
mcrBC	lysA//
mdlAB	
mdtABCD_baeSR	cpsB//
mdtEF	uxaA//
mdtJI	nemA//
mdtM_yjiN	betA//
mdtNOP	ymdB//
melAB	galM//lsrF//
menA_rraA	pabA//
menBCE	tdcD//fadH//efeB//
menDHBCE	phnH//idnK//dfp//dusC//rsmC//
menFDHBCE	yghU//ilvM//paoB//ppc//aceE//mhpB//
metBL	gor//purA//
metNIQ	fbp//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	nagK//lpxB//yegS//
metZWV	
mglAC	paaI//
mglBAC	thiE//
mgtLA	rlmH//
mhpABCDFE	ahpF//dgcP//aspS//ahpC//tynA//frc//
mhpR_lacI	
miaA_hfq_hflXKC	malS//glpE//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	paaZ//ribE//
mnaT_ydcZ	apaH//
mngAB	lpoB//apaH//
mnmG_rsmG	proC//hemL//
mntR_ybiR	
moaABCDE	metB//uxuA//
moaBCDE	csdA//
mobAB	ogt//
modABC	ltaE//
modEF	
moeAB	mngB//mtgA//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	tdh//
mqsRA	rihA//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	pyrE//dgcM//dcyD//gsk//cmoA//appA//mocA//putA//thiL//trmA//cysI//
mreBCD	
mreCD	
msrPQ	
mtlADR	cysN//murC//galM//
mtn_btuF_yadS	tsaD//epmC//
murB_birA	acpS//uvrC//
murQP	slyD//otsA//mcrC//
murQP_yfeW	nrdF//ychF//dmsA//pyrG//
mutL_miaA_hfq_hflXKC	narZ//speG//dgcT//
mutY_yggX	prmB//
mutY_yggX_mltC	wrbA//sbcB//
mutY_yggX_mltC_nupG	nth//queG//pdeH//
nadA_pnuC	ampC//dkgB//
nagBAC_umpH	kbl//malP//waaU//
nagK_cobB	wecB//pagP//
nanATEK_yhcH	metC//mngB//leuA//aroE//
nanCM	nudE//fumC//
nanCMS	pabA//yicI//
napFDAGHBC	frdA//
napFDAGHBC_ccmABCDEFGH	gloC//glpE//
narGHJI	fabA//
narWV	rhaM//
narXL	
narZYWV	ilvA//
nemRA	gloB//
nemRA_gloA	bglA//plsB//
nfrBA	
nhaAR	eda//
nikABCDER	fsaA//
nirBDC_cysG	pyrC//yieH//csdA//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	hcaD//
nrdAB_yfaE	tadA//
nrdDG	glcF//malY//
nrdHIEF	mnmE//
nrdR_ribDE_nusB_thiL_pgpA	prpD//betB//dgcP//aspC//
nrfABCDEFG	ttdB//
nsrR_rnr_rlmB_yjfI	xylA//rsmB//
nudB_yebC_ruvC	gstB//preT//
nudC_hemE_nfi	ribB//dgcM//
nudF_yqiB_cpdA_yqiA_parE	fadM//uxuA//
nuoABCEFGHIJKLMN	treA//
nuoMN	nudL//
ompR_envZ	
opgGH	
oppABCDF	panC//hycD//
osmF_yehYXW	bglB//
otsBA	upp//patD//
paaABCDEFGHIJK	uxaC//yfcG//ybcF//anmK//umpG//yfcG//ahpF//
paaXY	asd//
pabB_nudL	phnL//queF//
pabC_mltG_tmk_holB_ycfH	aceF//phnP//dgcP//
panBC	fre//fadI//
panE_yajL	panB//
paoABCD	ttdB//
pcnB_folK	dgcC//ribF//
pdeI_dgcI	
pdhR_aceEF_lpd	yfiC//fadI//yjeF//ogt//eutC//yagF//
pdxA_rsmA	ydiF//phoA//
pdxA_rsmA_apaGH	dosC//dusC//glmS//
pdxB_usg_truA_dedA	lpxK//paaB//
pdxH_tyrS_pdxY	otsA//umuC//aroK//
pdxJ_acpS	rihA//glmU//
pepQ_yigZ_trkH_hemG	aspA//leuC//arnA//
pflDC	
pgaABCD	purU//prpD//tatD//
pgk_fbaA	dadA//deoA//
pgpC_tadA	nrfC//kefF//
pheLA	hisC//
pheMST_ihfA	codA//
phnCDE_1E_2FGHIJKLMNOP	ygeX//rnd//ybhA//aroL//purK//yihU//avtA//
phnLMNOP	pncB//ampH//sgbE//recG//dnaQ//
phoA_psiF	bfr//
phoBR	
phoPQ	
pldB_yigL	alkA//cysI//
plsX_fabHDG	nrdD//fabZ//menC//
pntAB	
potABCD	frdD//
potFGHI	ftnA//
poxB_ltaE_ybjT	xdhC//frlB//
ppdAB_ygdB_ppdC_recC	hcaD//
ppdD_hofBC	
ppiB_lpxH	ruvC//ispA//
ppk_ppx	tcdA//yccX//
pqiAB	
preTA	arnA//
prfB_lysS	rph//
priC_ybaM	
prlC_rsmJ	gltD//cysM//
prlF_yhaV	lpxP//
prmB_aroC_mepA_yfcA_epmC_yfcL	puuC//yqjG//dhaL//trpA//
proBA	tesA//napH//
proQ_prc	menI//
proVWX	bglA//
prpBCDE	metK//tsaE//ynfE//panD//
psd_mscM	
pspABCDE	insI-2//
pspBCDE	mraY//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	yieF//alsK//
pth_ychF	nrdE//
ptrA_recBD	nagK//astB//
ptsA_fsaB_gldA	pldA//fbp//
ptsHI_crr	uxaA//rne//puuD//
purEK	wecB//ybiV//
purHD	bglX//mrcA//
purMN	rpiB//cobT//
puuAP	purE//argF//
puuCBE	fadH//rihA//eptC//
puuDRCBE	thrS//allA//ravA//tilS//
pyrF_yciH	frlD//
pyrG_eno	ahr//rfe//
pyrLBI	umuD//
qmcA_ybbJ	
qseBC	
radA_nadR	hisS//
rapA_rluA	rnb//
ratAB	
ravA_viaA	
rbsDACBKR	pldA//rsgA//panE//
rclABC	
rclBC	
rcnAB	atoB//
rcsDB	
rcsF_trmO	mnmC//
rdgB_yggW	hyaC//
rdoA_dsbA	mnmE//trpS//
recAX	
recET_ralR_ydaC_xisR_intR	gpp//fabF//
relA_mazEF	kbl//
relBE	epmC//
relBE_hokD	narI//
renD_emrE	hcaC//
rfaD_waaFCL	ruvC//cheR//betA//fkpA//
rfbACX	maeB//acpT//citC//tpiA//
rfbBDACX	wbbI//nrdE//fre//accA//bioB//waaC//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	mqo//rlmC//nadB//aspA//thiH//acnB//speG//ygiF//lpoB//
rhaBAD	fadM//glyS//yieF//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	qor//aroB//hypF//
ribF_ileS_lspA_fkpB_ispH	tatD//ppc//yfeX//tpiA//yceF//
rimK_ybjN	yohF//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	amiD//fabB//fkpA//hisB//suhB//yihU//lyxK//pyrG//narZ//citE//
rlmE_ftsH	maeB//acnA//
rlmL_uup	ilvB//
rluD_yfiH	ftsI//ilvI//
rluE_nudJ	yfdE//aroH//
rnc_era	pyrF//
rnc_era_recO_pdxJ_acpS	dgcP//cysH//glgP//patA//
rnlAB	metA//
rnt_lhr	selB//
rpe_gph_trpS	sodB//yiaK//lpoA//
rph_pyrE	dcyD//yfiC//
rpiR_alsBACE	pyrD//glk//
rplJL_rpoBC	bioH//
rplKAJL_rpoBC	araB//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	alaA//
rpmF_plsX_fabHDG	gpt//menB//dmsB//
rpmH_rnpA	curA//thiG//
rpmI_rplT	
rpoBC	gpp//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	bglB//fbaB//yfcG//
rppH_ptsP	fklB//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	lgoD//
rpsO_pnp	ribA//ppx//
rpsP_rimM_trmD_rplS	cadA//
rpsU_dnaG_rpoD	pflB//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	ydiF//hcaB//
rsmA_apaGH	dnaE//glpE//
rsmD_yhhL	ydiB//
rsmE_gshB	lhgO//astE//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	dgcC//murI//yeaG//ydiF//ilvE//dapD//metA//dgoD//murQ//frlB//scpB//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	pncC//
rtcBA	ilvN//rlmM//
rutABCDEFG	avtA//lsrK//cdd//upp//ligB//polB//
ruvAB	ruvB//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	folK//
scpA_argK_scpBC	wzc//rlmD//narG//waaH//
sdaCB	rph//speG//
sdhCDAB_sucABCD	tgt//dgcC//fabI//pinE//
sdhDAB	
sdhE_cptA	
secB_gpsA	sthA//
secE_nusG	
secG_leuU	
secMA_mutT	pncB//
selAB	nadC//glpK//
selD_topB	uidA//acpS//
seqA_pgm	pdxJ//
serB_radA	ubiG//
serC_aroA	aroL//gatZ//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	dhaK//
sgrST_setA	ybdL//
skp_lpxD_fabZ_lpxA	fabB//ydiF//hisH//
slp_dctR	
solA_yceO	ybjI//
speAB	rhaB//mutL//
speF_potE	recR//glpA//
srlAEBD_gutM_srlR_gutQ	waaO//curA//codA//
sroG_ribB	pspE//
sspAB	
ssrS_fau	yajO//
ssuEADCB	ubiA//dgcZ//maa//
stfE_tfaE	
sucAB	tyrA//ispH//gabT//
sucABCD	ppiA//narV//yfcF//umpG//
sufABCDSE	moaA//
surA_pdxA_rsmA_apaGH	argH//nudK//hycB//dacC//
tag_yiaC	gloB//
talA_tktB	caiD//aroG//
tamAB_ytfP	
tar_tap_cheRBYZ	ppiC//ychF//
tatABC	glnA//
tatABCD	ilvN//pheS//
tauABCD	paaJ//xapA//
tdcABCDEFG	pgpA//nth//pssA//atoB//rutA//
tdcBCDEFG	thrA//hchA//bcsA//hcaC//leuD//
tehAB	clsC//epmB//
tesA_ybbO	slyD//yjjX//
tff_rpsB_tsf	
tgt_yajC	mraY//
thiCEFSGH	asnB//galU//frc//allE//sgbU//
thiMD	lipA//rsmD//
thrLABC	yieH//ilvA//nanM//
thrS_infC	srlD//
thrS_infC_rpmI_rplT_pheMST_ihfA	kdsC//folC//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	waaQ//torA//
tolB_pal_cpoB	
tolC_ygiABC	btuR//argK//hcaD//pck//waaY//ada//ndk//tilS//mocA//
tomB_hha	
topAI_yjhQ	
torCAD	leuC//
torYZ	gabD//
treBC	lacZ//aldB//
trmI_yggL	yqjH//
trpCBA	moeA//ybbO//sgbE//ansB//
trpLEDCBA	lpxA//arnC//sgbU//csdA//nrfB//edd//
tsaB_yeaY	fadK//
tsaE_amiB_mutL_miaA_hfq_hflXKC	cyaA//ada//ampD//pnp//pabC//
ttdABT	yfeX//ugpQ//
tyrS_pdxY	eptB//thiG//
tyrTV_tpr	
tyrV_tpr	
ubiCA	recF//citF//
ubiEJB	fabH//
udk_dcd	rsmG//mdh//
ugpBAECQ	truC//cpsB//
uhpABC	
uidABC	glpK//dosP//
ulaABCDEF	gph//cdd//galU//guaC//
umpG_pcm	gadB//pyrE//
umuDC	ilvG_2//
uof_fur	
upp_uraA	dcd//fabZ//
usg_truA_dedA	cpdA//
uvrYC	gatZ//
uxaCA	rutC//pabA//
uxuAB	ada//rsmG//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	paaA//dmlA//
waaQGPSBOJYZU	gcd//lipB//frc//citG//surA//lhgO//ackA//tktA//pncC//bioH//
waaYZ	puuC//rfbA//
waaZU	lpxL//pabA//
wbbIJK	hcaF//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	kefF//dusA//hemH//treC//tsaC//dgoD//
wcaKLM	
wrbA_yccJ	nrfD//
wza_wzb_wzc	glmS//trpB//
wza_wzb_wzc_wcaAB	dacC//pyrD//
xanQ_guaD_ghxQ	waaG//rsmD//dkgB//
xapAB	hemB//pflB//
xdhABC	ilvN//
xerD_dsbC_recJ	gntK//otsA//
xseB_ispA_dxs_yajO	waaY//alaS//lgoD//pgi//
xylAB	pncC//bioH//
xylFGHR	cpdA//
yabPQ	
yacC_speED	ldcC//trpE//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	aldB//
yafDE	
yafNOP	hypF//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	waaS//lgoD//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	idnK//
ybaB_recR	dacA//
ybaST	cheR//
ybbAP	
ybbY_glxK	rlmJ//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	lsrK//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	astA//
ybeZY	
ybeZYX_lnt	sdhC//
ybfHG	
ybfOC	
ybgA_phr	phnG//
ybgC_tolQRA	
ybgIJKL_nei	bcsB//
ybgQPO	
ybhP_clsB_ybhN	fadK//
ybiYW	
ybjC_nfsA_rimK_ybjN	trmH//yihT//
ybjJI	ppc//
ybjO_rlmC	hisC//
ybjQ_amiD	murI//
ycaI_msbA_lpxK_ycaQ	hypF//apaH//
ycaR_kdsB	ygiF//
ycbK_gloC	metL//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	rsmJ//
yciCB	
yciGFE	
yciK_btuR	nudB//
yciVOQ	ycjG//
yciZT	
ycjMNOPQRSTUV_ymjB	dusA//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	aroD//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	caiC//tsaC//
ydcSTUV_patD	yigB//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	proB//
ydgK_rsxABCDGE_nth	yahK//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	lpcA//paoC//
ydiJ_menI_ydiH	gcvP//
ydiNB_aroD	galM//dgoA//
ydiQRST_fadK	dosC//
ydjA_selD_topB	mhpF//ansB//
ydjLKJIHG	wecC//
ydjXYZ_ynjABCD	
yeaGH	hisH//
yeaR_yoaG	
yeaVW	
yebC_ruvC	mngB//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	cysJ//trxB//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	pflB//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	ruvB//cmoA//
yejABEF	prs//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	clsA//
yfaX_rhmD	
yfaX_rhmD_yfaVU	menH//
yfbUT	carA//
yfcUTSRQPO	
