# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	yjjG//
ibaG_murA	hycC//
ibpAB	
idnDOTR	pdxB//pdxJ//ispE//
ileS_lspA_fkpB_ispH	fucK//gltX//speB//rsuA//
ilvEDA	menF//glgP//garR//hycF//
ilvIH	suhB//
ilvLXG_1G_2MEDA	gmm//nth//kduD//putA//rutA//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	entA//
insN_1I_1O_1	yidA//
insO_2_yjhWV	
iscRSUA	tig//uxaC//
ispDF	orn//nanM//
ispG_sroE	dusC//
isrC_flu	
ivbL_ilvBN	rihA//
ivbL_ilvBN_uhpABC	trpC//
kbaZ_agaVWA	yieH//
kbl_tdh	wzb//yfcG//
kdpDE	
kdpFABC	fabI//
kdsC_lptCAB	rsmI//dgoD//
kefFC	menF//mazG//
kefGB_yheV	mhpC//
kilR_ydaE	
lacYA	tynA//ddlA//
lacZYA	adhE//sodB//bcsZ//
lapAB	
lapAB_pyrF_yciH	tdcG//
lepAB	hyuA//
leuLABCD	arnC//ravA//queG//
leuQPV	
leuS_lptE_holA_nadD_cobC	scpB//proA//cynS//
lexA_dinF	
lgt_thyA	ygiF//nadC//
ligA_ypeB	argA//
livKHMGF	sodB//yciV//
lldPRD	mltB//dnaQ//
lolA_rarA	
lolB_ispE_prs	yihS//citF//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	rdgB//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	can//nagA//
lptFG	
lspA_fkpB_ispH	sgbH//galM//gsk//
lsrACDBFG_tam	hemD//gabD//ribA//fabB//
lsrRK	yjiA//
ltaE_ybjT	hinT//
lysT_valT_lysW	
macAB	rffG//
malEFG	fabA//
malK_lamB_malM	pgpB//rsmG//
malPQ	phnN//ada//
malXY	ilvM//ampC//
manXYZ	ttdB//
map_glnD_dapD	dapF//speA//rlmA//
marRAB	
mazEFG	rlmD//
mcrBC	metB//
mdlAB	
mdtABCD_baeSR	eno//
mdtEF	acnA//
mdtJI	yhdJ//
mdtM_yjiN	argA//
mdtNOP	yjjX//
melAB	yicI//pheS//
menA_rraA	guaA//
menBCE	hemN//cpdB//waaB//
menDHBCE	rluA//selD//mrdA//yrfG//lsrG//
menFDHBCE	aspA//dapF//pta//lpd//entE//metH//
metBL	ydiB//allB//
metNIQ	yciV//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	cpsB//napB//ybiV//
metZWV	
mglAC	garK//
mglBAC	glpC//
mgtLA	pfkA//
mhpABCDFE	hcaB//paaJ//rhaD//phnN//ynfG//gpmM//
mhpR_lacI	
miaA_hfq_hflXKC	tilS//ubiG//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	aroD//metA//
mnaT_ydcZ	tyrA//
mngAB	ynjE//alsE//
mnmG_rsmG	csdA//yciV//
mntR_ybiR	
moaABCDE	speF//proS//
moaBCDE	ldcC//
mobAB	yniC//
modABC	ulaF//
modEF	
moeAB	fadB//moeB//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	dmsC//
mqsRA	mcrB//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	zwf//hchA//glgC//citX//paaE//bioB//gldA//bioH//entA//mltB//uvrA//
mreBCD	
mreCD	
msrPQ	
mtlADR	pfkB//fre//asnA//
mtn_btuF_yadS	btuR//rpe//
murB_birA	hisI//yegS//
murQP	hyaC//wcaJ//ssuD//
murQP_yfeW	dkgB//wecC//cfa//dxr//
mutL_miaA_hfq_hflXKC	abgB//coaA//purF//
mutY_yggX	ugpQ//
mutY_yggX_mltC	hycC//dadA//
mutY_yggX_mltC_nupG	rsuA//acpT//menC//
nadA_pnuC	edd//nrdD//
nagBAC_umpH	tsaE//solA//metA//
nagK_cobB	folP//mcrC//
nanATEK_yhcH	gatD//menE//cpsG//cpsG//
nanCM	hdhA//eda//
nanCMS	aroG//mltC//
napFDAGHBC	gudD//
napFDAGHBC_ccmABCDEFGH	paaC//xdhA//
narGHJI	fadK//
narWV	dacA//
narXL	
narZYWV	bcsB//
nemRA	waaL//
nemRA_gloA	xthA//xdhC//
nfrBA	
nhaAR	ynfH//
nikABCDER	ruvC//
nirBDC_cysG	dgcC//yeiR//queA//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	cysH//
nrdAB_yfaE	pyrF//
nrdDG	menC//gmhB//
nrdHIEF	waaF//
nrdR_ribDE_nusB_thiL_pgpA	psd//phnG//cdh//deoC//
nrfABCDEFG	tadA//
nsrR_rnr_rlmB_yjfI	glpC//yihT//
nudB_yebC_ruvC	purF//mazG//
nudC_hemE_nfi	wecB//waaL//
nudF_yqiB_cpdA_yqiA_parE	umpG//adhE//
nuoABCEFGHIJKLMN	ampC//
nuoMN	astB//
ompR_envZ	
opgGH	
oppABCDF	sseA//rne//
osmF_yehYXW	prpC//
otsBA	torC//ttdA//
paaABCDEFGHIJK	entC//mnmC//yjeF//rhaM//phnN//purN//tesA//
paaXY	nirB//
pabB_nudL	pdeF//frlC//
pabC_mltG_tmk_holB_ycfH	bacA//ascB//wzb//
panBC	menD//dadX//
panE_yajL	lysC//
paoABCD	tsaE//
pcnB_folK	queG//uxaC//
pdeI_dgcI	
pdhR_aceEF_lpd	aroC//torZ//arnT//allC//dnaE//deoB//
pdxA_rsmA	trmO//hisF//
pdxA_rsmA_apaGH	metA//fruK//pphB//
pdxB_usg_truA_dedA	paaI//treF//
pdxH_tyrS_pdxY	iscS//bioA//alaC//
pdxJ_acpS	mak//puuE//
pepQ_yigZ_trkH_hemG	tdcB//glgP//suhB//
pflDC	
pgaABCD	ygeX//cmoB//ulaD//
pgk_fbaA	ygiF//ybjI//
pgpC_tadA	psuG//rsmC//
pheLA	idnD//
pheMST_ihfA	hdhA//
phnCDE_1E_2FGHIJKLMNOP	ddlA//spoT//katG//gntK//sdhC//hisI//frlB//
phnLMNOP	menI//lpoB//ydbC//kdsD//ilvI//
phoA_psiF	ftsI//
phoBR	
phoPQ	
pldB_yigL	aphA//hycD//
plsX_fabHDG	torC//paaC//deoD//
pntAB	
potABCD	yicI//
potFGHI	hemC//
poxB_ltaE_ybjT	ravA//bfr//
ppdAB_ygdB_ppdC_recC	lpxC//
ppdD_hofBC	
ppiB_lpxH	purT//panD//
ppk_ppx	cysC//waaF//
pqiAB	
preTA	pyrC//
prfB_lysS	ogt//
priC_ybaM	
prlC_rsmJ	purU//adhE//
prlF_yhaV	nrfB//
prmB_aroC_mepA_yfcA_epmC_yfcL	glpK//ttdA//rutA//gltX//
proBA	insI-3//yccX//
proQ_prc	ubiA//
proVWX	frdC//
prpBCDE	murQ//rsmG//abgA//yfbT//
psd_mscM	
pspABCDE	oxc//
pspBCDE	yeiG//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	ldhA//paaG//
pth_ychF	murA//
ptrA_recBD	prpC//ygeX//
ptsA_fsaB_gldA	ilvA//astC//
ptsHI_crr	gloC//fadM//cpdB//
purEK	entE//frdD//
purHD	tdcB//paaB//
purMN	mrdA//frlB//
puuAP	alsK//pdeR//
puuCBE	metL//pspE//hpt//
puuDRCBE	selB//hisH//frmB//rsgA//
pyrF_yciH	yihT//
pyrG_eno	ravA//ruvC//
pyrLBI	dgoD//
qmcA_ybbJ	
qseBC	
radA_nadR	paaG//
rapA_rluA	dkgA//
ratAB	
ravA_viaA	
rbsDACBKR	trpA//yfbT//kdsA//
rclABC	
rclBC	
rcnAB	ydfG//
rcsDB	
rcsF_trmO	nudE//
rdgB_yggW	glcB//
rdoA_dsbA	bioF//ravA//
recAX	
recET_ralR_ydaC_xisR_intR	purC//cysM//
relA_mazEF	cysH//
relBE	gabD//
relBE_hokD	caiB//
renD_emrE	pcm//
rfaD_waaFCL	yqjG//nadC//cysQ//cobC//
rfbACX	coaE//rph//yjjG//prpE//
rfbBDACX	hycB//rnpB//rlmD//dhaK//frdA//polA//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	hemC//ilvE//nadR//fadI//proB//tadA//lacA//narG//nfsA//
rhaBAD	rpiB//metF//rlmH//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	leuA//pgsA//hycD//
ribF_ileS_lspA_fkpB_ispH	entD//yidA//valS//chbG//sgbE//
rimK_ybjN	ycjG//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	rdgB//pdxJ//cdh//truA//paaB//waaO//gor//ppiB//phnO//ubiD//
rlmE_ftsH	accB//guaD//
rlmL_uup	trxB//
rluD_yfiH	dgkA//pck//
rluE_nudJ	wrbA//folM//
rnc_era	otsB//
rnc_era_recO_pdxJ_acpS	queF//yagF//appA//dadX//
rnlAB	fucK//
rnt_lhr	lhgO//
rpe_gph_trpS	glcD//yiaY//ilvE//
rph_pyrE	rph//amn//
rpiR_alsBACE	mrcB//dut//
rplJL_rpoBC	leuS//
rplKAJL_rpoBC	gcd//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	leuD//
rpmF_plsX_fabHDG	sad//xthA//lpxT//
rpmH_rnpA	sad//tesB//
rpmI_rplT	
rpoBC	roxA//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	menD//rpiA//frlC//
rppH_ptsP	lyxK//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	cysD//
rpsO_pnp	hyaA//guaA//
rpsP_rimM_trmD_rplS	yagE//
rpsU_dnaG_rpoD	murG//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	lpxM//hycD//
rsmA_apaGH	purA//trmJ//
rsmD_yhhL	rlmE//
rsmE_gshB	rfbB//hycG//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	yfcG//nagK//prmB//speG//ubiX//dgoD//panB//lpxH//nagA//pldA//caiC//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	nanM//
rtcBA	fadK//malZ//
rutABCDEFG	aldB//rlmM//nirB//orn//argD//galT//
ruvAB	pck//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	yfdE//
scpA_argK_scpBC	napH//accD//panE//mgsA//
sdaCB	rlmE//moaD//
sdhCDAB_sucABCD	gltB//kdgK//mnmC//narH//
sdhDAB	
sdhE_cptA	
secB_gpsA	amyA//
secE_nusG	
secG_leuU	
secMA_mutT	polA//
selAB	ushA//ung//
selD_topB	sdhD//dgkA//
seqA_pgm	mocA//
serB_radA	glgA//
serC_aroA	ydiF//gltB//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	dapE//
sgrST_setA	maeA//
skp_lpxD_fabZ_lpxA	cueO//rlmA//avtA//
slp_dctR	
solA_yceO	ilvG_2//
speAB	ppk//fbaB//
speF_potE	eda//ldtA//
srlAEBD_gutM_srlR_gutQ	paaA//thiC//nrdF//
sroG_ribB	entE//
sspAB	
ssrS_fau	yfdE//
ssuEADCB	mraY//yghU//yidA//
stfE_tfaE	
sucAB	yihU//yieF//rsuA//
sucABCD	narG//trmH//hycE//rffG//
sufABCDSE	ampC//
surA_pdxA_rsmA_apaGH	tdcE//nadK//folB//nudK//
tag_yiaC	sodB//
talA_tktB	ppc//astA//
tamAB_ytfP	
tar_tap_cheRBYZ	purN//uvrA//
tatABC	yeaG//
tatABCD	speB//alsK//
tauABCD	ymdB//lpxD//
tdcABCDEFG	fruK//nudE//aspA//rfaE//mnmG//
tdcBCDEFG	fadI//glpC//lpoA//citG//paaJ//
tehAB	frdC//citF//
tesA_ybbO	glgX//purH//
tff_rpsB_tsf	
tgt_yajC	ddlB//
thiCEFSGH	mocA//glxR//fabI//pheT//ispU//
thiMD	mnmG//aroC//
thrLABC	rpiA//murD//recG//
thrS_infC	yfdE//
thrS_infC_rpmI_rplT_pheMST_ihfA	nrfB//thrC//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	leuB//tig//
tolB_pal_cpoB	
tolC_ygiABC	miaA//yjjX//xdhB//ppk//rsmG//pldB//recF//ligB//yliI//
tomB_hha	
topAI_yjhQ	
torCAD	agp//
torYZ	rhaA//
treBC	ruvB//tyrS//
trmI_yggL	murB//
trpCBA	epmC//ndh//bioF//hemA//
trpLEDCBA	miaA//galE//mqo//argS//mmuM//kbl//
tsaB_yeaY	argH//
tsaE_amiB_mutL_miaA_hfq_hflXKC	mtn//frdD//thiG//galU//sad//
ttdABT	alaC//galM//
tyrS_pdxY	hypB//waaJ//
tyrTV_tpr	
tyrV_tpr	
ubiCA	ubiG//hemF//
ubiEJB	ampD//
udk_dcd	gloB//atoB//
ugpBAECQ	ppc//rffH//
uhpABC	
uidABC	mnaT//hypB//
ulaABCDEF	bfr//waaS//cueO//aspS//
umpG_pcm	rfbC//dacC//
umuDC	hemN//
uof_fur	
upp_uraA	folA//metB//
usg_truA_dedA	lipA//
uvrYC	rnd//
uxaCA	allE//pyrG//
uxuAB	glpB//amiD//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	phnJ//malY//
waaQGPSBOJYZU	phnH//folB//ydiO//eutB//nrfB//rhaB//ligA//frmB//mrcA//tktA//
waaYZ	dgkA//umpG//
waaZU	narH//ldcC//
wbbIJK	murI//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	hisA//gltB//guaD//yqjG//waaQ//dapA//
wcaKLM	
wrbA_yccJ	mobA//
wza_wzb_wzc	eutB//fumB//
wza_wzb_wzc_wcaAB	phnM//gpp//
xanQ_guaD_ghxQ	speG//ldtE//gpt//
xapAB	idnD//tmk//
xdhABC	fau//
xerD_dsbC_recJ	hpt//gmm//
xseB_ispA_dxs_yajO	dgoA//kduD//ruvA//hpt//
xylAB	rlmI//dosP//
xylFGHR	gabT//
yabPQ	
yacC_speED	bioC//allD//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	kduD//
yafDE	
yafNOP	rsmJ//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	nagB//adhP//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	nrfD//
ybaB_recR	carB//
ybaST	pyrB//
ybbAP	
ybbY_glxK	nadC//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	bioA//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	srlD//
ybeZY	
ybeZYX_lnt	ispG//
ybfHG	
ybfOC	
ybgA_phr	dapA//
ybgC_tolQRA	
ybgIJKL_nei	rnb//
ybgQPO	
ybhP_clsB_ybhN	yneH//
ybiYW	
ybjC_nfsA_rimK_ybjN	xdhA//ansB//
ybjJI	yihV//
ybjO_rlmC	arnT//
ybjQ_amiD	hisS//
ycaI_msbA_lpxK_ycaQ	ubiG//caiD//
ycaR_kdsB	paaY//
ycbK_gloC	paaA//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	feaB//
yciCB	
yciGFE	
yciK_btuR	scpA//
yciVOQ	eptC//
yciZT	
ycjMNOPQRSTUV_ymjB	waaQ//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	dcm//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	rffM//fadK//
ydcSTUV_patD	scpC//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	aroF//
ydgK_rsxABCDGE_nth	patZ//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	bioF//hyaB//
ydiJ_menI_ydiH	trmH//
ydiNB_aroD	dxr//gabT//
ydiQRST_fadK	tsaD//
ydjA_selD_topB	panC//thiC//
ydjLKJIHG	fucI//
ydjXYZ_ynjABCD	
yeaGH	nudG//
yeaR_yoaG	
yeaVW	
yebC_ruvC	ybjI//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	curA//arnA//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	accD//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	ilvD//epmB//
yejABEF	purN//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	aroH//
yfaX_rhmD	
yfaX_rhmD_yfaVU	dusB//
yfbUT	asd//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	scpA//
