# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	ygaP//
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	fdhF//hycC//mnmC//folX//yjjX//trmO//tyrA//mdh//amn//fbaB//
ftsQAZ	
ftsYEX	
fucAO	glnS//iaaA//
fucPIKUR	alsK//ppiA//curA//nrdF//
fumAC	ygjK//mcrB//
fusA_tufA	
gabDTP	lgoD//pdeF//citF//
gadAX	napC//
gadBC	moaD//argS//
gadEF	
gadEF_mdtEF	queF//
gadXW	
galET	rlmB//leuC//
galETK	tktB//rfaE//ghrB//
galETKM	thiD//mpaA//rlmG//qor//
gapA_yeaD	glcD//
gapC_1C_2	
garPLRK_rnpB	mhpD//arnT//recF//dacA//thiI//kbl//
gatYZABCD	slyD//gshA//rluE//
gatZABCD	accA//allC//frdC//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	opgE//pgsA//rlmD//def//glpD//
gcvTHP	ubiC//yjiA//eutB//
gfcBCD	
gfcE_etp_etk	acpT//dgkA//
ghoST	lsrG//
glcBA	ubiX//aroB//
glcDEFGBA	ampC//yihS//hcaF//
glf_wbbH	yicI//
glgAP	idnO//ydbC//
glgBXCAP	asnS//moaE//hypB//rfbA//rluF//
glgCAP	murF//ghrA//lhgO//
glmUS	talA//hisG//
glnALG	ynfH//
glnHPQ	ttdA//
glnK_amtB	rfbB//
glnLG	
glnW_metU_glnVX	
glpABC	mltA//
glpEGR	mutL//cysI//
glpFKX	gatY//pdeR//maa//
glpGR	mutT//
glpTQ	ynfF//bglX//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	psd//
glvCBG_ysdC	
glyQS	rutA//
glyVXY	
glyW_cysT_leuZ	
gntKU	dgkA//ynfE//
gntRKU	fcl//thiL//
gntX_nfuA	
gpmM_envC_yibQ	rnb//yegS//
groSL	
gspAB	
gspCDEFGHIJKLMO	gsk//
guaBA	lsrK//dapB//
gudPXD	guaD//malY//
hcaEFCBD	caiC//gloB//
hcp_hcr	lysS//alkB//
hdeAB_yhiD	
hemA_prfA_prmC	chbF//ssuE//
hemCDXY	pgpB//murB//
hflD_purB	fabZ//
hfq_hflXKC	yghA//
hicAB	
higBA	dkgB//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	fes//udk//torA//nrfB//
hipBA	apaH//
hisBHAFI	ssuE//glyS//nudE//kduD//
hisJQMP	hypB//nudC//
hisLGDCBHAFI	hyi//cadA//rdgB//araD//yqjH//uvrC//glf//
hofMNOP	
holC_valS	metL//
holD_rimI_yjjG	ndh//argK//
hscBA_fdx_iscX	idnD//
hsdMS	btuE//
hsdRMS	acnA//
hslRO	
hslVU	nirD//
hyaABCDEF	
hybOABCDEFG	hemC//
hycABCDEFGHI	rlmD//adhE//
hydN_hypF	cmoB//
hyfABCDEFGHIJR_focB	hinT//
hypABCDE	ispD//
hypABCDE_fhlA	gsk//
hypBCDE	dcyD//
hypBCDE_fhlA	accD//
iaaA_gsiABCD	hypB//rdoA//
ibaG_murA	hemB//
ibpAB	
idnDOTR	thiI//hyaA//metB//
ileS_lspA_fkpB_ispH	folM//sbcB//kbl//napC//
ilvEDA	gcd//pck//cheB//rsgA//
ilvIH	rffG//
ilvLXG_1G_2MEDA	glpC//mpl//sgbH//kbaZ//pbpC//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	nirD//
insN_1I_1O_1	ilvG_2//
insO_2_yjhWV	
iscRSUA	fadD//paaA//
ispDF	garD//mdh//
ispG_sroE	hemF//
isrC_flu	
ivbL_ilvBN	bioC//
ivbL_ilvBN_uhpABC	cysI//
kbaZ_agaVWA	gluQ//
kbl_tdh	apaH//ulaE//
kdpDE	
kdpFABC	yfeX//
kdsC_lptCAB	nrdF//nudG//
kefFC	glyQ//trpE//
kefGB_yheV	ribE//
kilR_ydaE	
lacYA	paaB//caiB//
lacZYA	otsA//tyrA//ybiV//
lapAB	
lapAB_pyrF_yciH	hyi//
lepAB	fabF//
leuLABCD	ubiF//ybiV//asd//
leuQPV	
leuS_lptE_holA_nadD_cobC	rne//cysM//dosC//
lexA_dinF	
lgt_thyA	nagZ//wecC//
ligA_ypeB	dusB//
livKHMGF	alkB//ribC//
lldPRD	nadR//hycG//
lolA_rarA	
lolB_ispE_prs	yqjG//hchA//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	mocA//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	hisA//ybcF//
lptFG	
lspA_fkpB_ispH	cysS//plsC//fdhF//
lsrACDBFG_tam	rffG//pyrE//alsE//pyrF//
lsrRK	dsdA//
ltaE_ybjT	dadX//
lysT_valT_lysW	
macAB	cysI//
malEFG	waaO//
malK_lamB_malM	adk//eno//
malPQ	kdsC//yeaE//
malXY	sodC//astB//
manXYZ	epmC//
map_glnD_dapD	talA//rlmC//dgoD//
marRAB	
mazEFG	mocA//
mcrBC	narZ//
mdlAB	
mdtABCD_baeSR	ppiB//
mdtEF	lhgO//
mdtJI	araA//
mdtM_yjiN	ahpC//
mdtNOP	rlmE//
melAB	mqo//treC//
menA_rraA	cobT//
menBCE	plsC//galU//trpE//
menDHBCE	dkgB//truC//ttdA//gmhB//prs//
menFDHBCE	ispU//pgaC//dapA//dosC//bcsZ//pabC//
metBL	tsaC//phnG//
metNIQ	bioB//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	glmS//napB//dacA//
metZWV	
mglAC	rlmA//
mglBAC	rutE//
mgtLA	otsA//
mhpABCDFE	galK//recJ//ilvG_2//frdD//queC//ruvA//
mhpR_lacI	
miaA_hfq_hflXKC	leuS//rsmB//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	ribB//yhdJ//
mnaT_ydcZ	cadA//
mngAB	fumB//feaB//
mnmG_rsmG	purK//hyaB//
mntR_ybiR	
moaABCDE	ydfG//rpiB//
moaBCDE	yghA//
mobAB	gutQ//
modABC	dgcT//
modEF	
moeAB	relA//cysE//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	amyA//
mqsRA	mocA//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	prmC//speE//serA//dmsA//hisI//fucA//glgB//dgcM//ugd//frmB//glmS//
mreBCD	
mreCD	
msrPQ	
mtlADR	wzc//lpxK//maa//
mtn_btuF_yadS	glyS//truC//
murB_birA	yfdR//gnd//
murQP	gltX//yneH//accB//
murQP_yfeW	ynfG//bioD//selA//gpt//
mutL_miaA_hfq_hflXKC	hisD//gadB//tyrB//
mutY_yggX	purH//
mutY_yggX_mltC	pgsA//rffC//
mutY_yggX_mltC_nupG	gpp//yqjG//lpd//
nadA_pnuC	gor//nanA//
nagBAC_umpH	malZ//torZ//paaK//
nagK_cobB	puuA//napH//
nanATEK_yhcH	pyrC//lysA//adhP//dgcT//
nanCM	dadX//plsC//
nanCMS	kdsB//serB//
napFDAGHBC	uvrB//
napFDAGHBC_ccmABCDEFGH	nadD//acnB//
narGHJI	fsaA//
narWV	pgl//
narXL	
narZYWV	carA//
nemRA	ndk//
nemRA_gloA	yegS//speF//
nfrBA	
nhaAR	gapA//
nikABCDER	ada//
nirBDC_cysG	rsmH//csdA//cysI//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	arnA//
nrdAB_yfaE	frlD//
nrdDG	ldtA//metL//
nrdHIEF	rsmI//
nrdR_ribDE_nusB_thiL_pgpA	queC//rph//cysJ//zwf//
nrfABCDEFG	dinB//
nsrR_rnr_rlmB_yjfI	ymdB//ligB//
nudB_yebC_ruvC	murF//torY//
nudC_hemE_nfi	rnpA//garL//
nudF_yqiB_cpdA_yqiA_parE	ygaP//menH//
nuoABCEFGHIJKLMN	hisC//
nuoMN	argC//
ompR_envZ	
opgGH	
oppABCDF	gshB//yidA//
osmF_yehYXW	torZ//
otsBA	rfaD//asnA//
paaABCDEFGHIJK	gpsA//yggF//nudB//nrdE//moeA//adk//lhgO//
paaXY	fau//
pabB_nudL	proS//yfaU//
pabC_mltG_tmk_holB_ycfH	narV//malP//rpiA//
panBC	waaY//yahK//
panE_yajL	ychF//
paoABCD	preA//
pcnB_folK	gor//rffM//
pdeI_dgcI	
pdhR_aceEF_lpd	rlmC//citX//ogt//rne//yieF//tmk//
pdxA_rsmA	rpiB//trpE//
pdxA_rsmA_apaGH	udk//amn//sucC//
pdxB_usg_truA_dedA	trpA//pdxA//
pdxH_tyrS_pdxY	ybcF//mhpD//pyrH//
pdxJ_acpS	pphA//metH//
pepQ_yigZ_trkH_hemG	umuC//tmcA//bcsZ//
pflDC	
pgaABCD	yceF//rph//uvrC//
pgk_fbaA	pdxK//yicI//
pgpC_tadA	mpl//ahpF//
pheLA	coaE//
pheMST_ihfA	cfa//
phnCDE_1E_2FGHIJKLMNOP	rfbC//fucU//yfiC//ubiI//murQ//miaB//frmB//
phnLMNOP	ilvG_1//queA//ftnA//nudB//fbaA//
phoA_psiF	adk//
phoBR	
phoPQ	
pldB_yigL	metH//sucB//
plsX_fabHDG	rdgB//ispG//mhpE//
pntAB	
potABCD	narV//
potFGHI	thrA//
poxB_ltaE_ybjT	nrdA//pgpA//
ppdAB_ygdB_ppdC_recC	frdB//
ppdD_hofBC	
ppiB_lpxH	mazG//narI//
ppk_ppx	rfbA//rnd//
pqiAB	
preTA	alkB//
prfB_lysS	luxS//
priC_ybaM	
prlC_rsmJ	paaH//glpC//
prlF_yhaV	curA//
prmB_aroC_mepA_yfcA_epmC_yfcL	pgpB//yqhD//fkpB//bcsA//
proBA	cmoA//dapE//
proQ_prc	ydbC//
proVWX	aroF//
prpBCDE	nadE//metB//ldcC//cobU//
psd_mscM	
pspABCDE	idnK//
pspBCDE	rpiA//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	ydjG//dapA//
pth_ychF	hisG//
ptrA_recBD	wzc//asd//
ptsA_fsaB_gldA	purK//malY//
ptsHI_crr	cfa//ynfG//waaQ//
purEK	appA//clsB//
purHD	dacD//narG//
purMN	nudG//tktA//
puuAP	nirD//xylA//
puuCBE	waaG//frdD//pspE//
puuDRCBE	gltD//fadE//gloB//nemA//
pyrF_yciH	ldtB//
pyrG_eno	mnmC//tyrB//
pyrLBI	patD//
qmcA_ybbJ	
qseBC	
radA_nadR	accC//
rapA_rluA	puuE//
ratAB	
ravA_viaA	
rbsDACBKR	pphA//cdsA//metF//
rclABC	
rclBC	
rcnAB	accC//
rcsDB	
rcsF_trmO	azoR//
rdgB_yggW	trmA//
rdoA_dsbA	feaB//ybjI//
recAX	
recET_ralR_ydaC_xisR_intR	cysD//ybbO//
relA_mazEF	hemE//
relBE	yfeX//
relBE_hokD	dgoD//
renD_emrE	purA//
rfaD_waaFCL	aspC//gabT//bcsA//waaY//
rfbACX	trpB//trmA//ada//gapA//
rfbBDACX	rbsD//rlmL//argS//nfsB//ybdL//acpT//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	miaA//ribA//rihC//mhpB//mgsA//cheB//ybbO//cmoA//tmcA//
rhaBAD	gadB//phnL//ydbC//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	phnL//hypF//prpC//
ribF_ileS_lspA_fkpB_ispH	nadK//cysH//psd//gcd//dhaM//
rimK_ybjN	slyD//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	yajO//mocA//ogt//lpxH//umpH//rlmJ//mraY//folA//poxB//narY//
rlmE_ftsH	dmsC//rhaD//
rlmL_uup	speG//
rluD_yfiH	hpt//gpt//
rluE_nudJ	nadD//purB//
rnc_era	bglX//
rnc_era_recO_pdxJ_acpS	nudK//polB//dcyD//tdk//
rnlAB	nrfC//
rnt_lhr	ydfG//
rpe_gph_trpS	xylA//bcsB//ulaF//
rph_pyrE	ubiC//paoB//
rpiR_alsBACE	nagZ//ppc//
rplJL_rpoBC	frmB//
rplKAJL_rpoBC	caiC//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	murD//
rpmF_plsX_fabHDG	acpT//puuB//hdhA//
rpmH_rnpA	recF//acpT//
rpmI_rplT	
rpoBC	rsmC//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	apt//selA//gph//
rppH_ptsP	kbl//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	glmS//
rpsO_pnp	patA//waaQ//
rpsP_rimM_trmD_rplS	hyaB//
rpsU_dnaG_rpoD	lacA//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	aroG//mltD//
rsmA_apaGH	glgC//sufS//
rsmD_yhhL	phnN//
rsmE_gshB	narH//narZ//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	entF//menC//galT//mnmC//aroB//malP//polA//glcE//rbn//talA//folK//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	entH//
rtcBA	ilvC//ispF//
rutABCDEFG	yicI//deoC//gldA//ushA//glpC//plsB//
ruvAB	galM//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	citX//
scpA_argK_scpBC	cysC//malP//hyaB//nudG//
sdaCB	dam//gabD//
sdhCDAB_sucABCD	rlmA//lysC//pabC//yjhG//
sdhDAB	
sdhE_cptA	
secB_gpsA	trpB//
secE_nusG	
secG_leuU	
secMA_mutT	caiD//
selAB	melA//kdsA//
selD_topB	curA//murA//
seqA_pgm	bcsB//
serB_radA	tmcA//
serC_aroA	aceE//gntK//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	paaA//
sgrST_setA	pncA//
skp_lpxD_fabZ_lpxA	argF//malZ//leuS//
slp_dctR	
solA_yceO	nanM//
speAB	epmB//gpmM//
speF_potE	entH//yciA//
srlAEBD_gutM_srlR_gutQ	fbaB//fadM//carB//
sroG_ribB	malZ//
sspAB	
ssrS_fau	accD//
ssuEADCB	rlmJ//rsgA//lpxK//
stfE_tfaE	
sucAB	hpt//ybaS//trmL//
sucABCD	glpK//folX//uvrB//nemA//
sufABCDSE	pgk//
surA_pdxA_rsmA_apaGH	ydfG//nadC//malS//gshA//
tag_yiaC	rsmG//
talA_tktB	cysC//ribE//
tamAB_ytfP	
tar_tap_cheRBYZ	rlmI//rlmG//
tatABC	glpB//
tatABCD	pta//clsC//
tauABCD	cadA//ilvE//
tdcABCDEFG	gcvT//recJ//prmC//yohF//waaL//
tdcBCDEFG	thyA//nanK//xthA//rbsD//polB//
tehAB	uvrC//glxK//
tesA_ybbO	gmm//hypF//
tff_rpsB_tsf	
tgt_yajC	dacA//
thiCEFSGH	ribD//hemB//menH//gutQ//mhpA//
thiMD	wecC//moaA//
thrLABC	mltD//pepD//ilvI//
thrS_infC	garK//
thrS_infC_rpmI_rplT_pheMST_ihfA	ulaG//thiK//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	hemE//dgoK//
tolB_pal_cpoB	
tolC_ygiABC	pta//nadD//dgoD//eda//miaA//napA//abgA//waaJ//upp//
tomB_hha	
topAI_yjhQ	
torCAD	tesA//
torYZ	sodA//
treBC	srlD//yhhW//
trmI_yggL	lldD//
trpCBA	sgbE//acpT//waaP//pdeR//
trpLEDCBA	udp//scpC//puuD//aceE//ycaO//yfeX//
tsaB_yeaY	rsmI//
tsaE_amiB_mutL_miaA_hfq_hflXKC	gutQ//yieH//caiA//phr//prmC//
ttdABT	mnmA//waaL//
tyrS_pdxY	moaE//nanA//
tyrTV_tpr	
tyrV_tpr	
ubiCA	glpC//queC//
ubiEJB	trpB//
udk_dcd	tesB//nagB//
ugpBAECQ	paoC//ybaS//
uhpABC	
uidABC	glgX//cysD//
ulaABCDEF	hisF//dgcM//yciA//ynfF//
umpG_pcm	lipA//speC//
umuDC	prmB//
uof_fur	
upp_uraA	galE//pspE//
usg_truA_dedA	hisS//
uvrYC	dnaQ//
uxaCA	tyrB//ispG//
uxuAB	mobA//mog//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	hemH//yeiG//
waaQGPSBOJYZU	cmoA//ssuD//panB//fadM//murQ//cysI//nadB//glmM//lpcA//ubiH//
waaYZ	ynfH//yfiH//
waaZU	glgA//yigB//
wbbIJK	etk//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	gcvH//gcl//waaP//fre//ppc//dinB//
wcaKLM	
wrbA_yccJ	mrdA//
wza_wzb_wzc	eutB//gph//
wza_wzb_wzc_wcaAB	wbbI//ynjE//
xanQ_guaD_ghxQ	puuC//hisD//acnB//
xapAB	sad//tnaA//
xdhABC	trpE//
xerD_dsbC_recJ	moaE//rlmA//
xseB_ispA_dxs_yajO	lpxT//pgaC//yqjG//mhpF//
xylAB	lpoB//orn//
xylFGHR	argC//
yabPQ	
yacC_speED	coaD//adhP//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	ldcC//
yafDE	
yafNOP	lysA//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	folX//napG//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	hemD//
ybaB_recR	tsaC//
ybaST	valS//
ybbAP	
ybbY_glxK	mtgA//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	proA//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	rutE//
ybeZY	
ybeZYX_lnt	dacD//
ybfHG	
ybfOC	
ybgA_phr	glyA//
ybgC_tolQRA	
ybgIJKL_nei	tpiA//
ybgQPO	
ybhP_clsB_ybhN	argS//
ybiYW	
ybjC_nfsA_rimK_ybjN	truA//pykF//
ybjJI	menB//
ybjO_rlmC	dadX//
ybjQ_amiD	tyrA//
ycaI_msbA_lpxK_ycaQ	menD//dosC//
ycaR_kdsB	ghrA//
ycbK_gloC	fabI//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	gcvH//
yciCB	
yciGFE	
yciK_btuR	talB//
yciVOQ	ppsA//
yciZT	
ycjMNOPQRSTUV_ymjB	cysE//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	paaF//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	lpxD//tmcA//
ydcSTUV_patD	pgaD//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	pabB//
ydgK_rsxABCDGE_nth	nrdA//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	lldD//glyA//
ydiJ_menI_ydiH	selD//
ydiNB_aroD	entE//hisC//
ydiQRST_fadK	mtn//
ydjA_selD_topB	asnA//rsmD//
ydjLKJIHG	lpxH//
ydjXYZ_ynjABCD	
yeaGH	yfiC//
yeaR_yoaG	
yeaVW	
yebC_ruvC	glgX//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	tag//gapA//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	yihX//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	glmU//nrfB//
yejABEF	acs//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	mraY//
yfaX_rhmD	
yfaX_rhmD_yfaVU	alaA//
yfbUT	thrA//
yfcUTSRQPO	
