# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	puuE//
cyoABCDE	pheS//rsmJ//
cysDNC	pncB//yeaG//
cysJIH	rffG//nagK//yqjH//
cysPUWAM	trpD//ispB//lpoB//
dadAX	miaB//glmS//
damX_dam_rpe_gph_trpS	apt//rlmM//acpT//cynT//
dam_rpe_gph_trpS	lysU//ltaE//scpC//phnM//
dapA_bamC	yihS//
dapE_ypfN	frmA//
dcm_vsr	astE//
dcuB_fumB	rfbB//deoC//
dcuSR	
dcyD_tcyLN	gcvH//gcvH//
ddpXABCDF	mraY//
def_fmt	queF//tilS//
degQS	moaD//araD//
deoABD	bioB//ybjI//nadA//
deoBD	aes//ubiD//
deoCABD	metG//dgcC//malS//fumB//
dgoRKADT	ldtD//ycjU//ldtD//ygiF//
dhaKLM	ygeX//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	moaE//bfr//
dinJ_yafQ	ribD//
dksA_gluQ	mog//
dmsABC	arsC//
dnaAN_recF	rsmC//
dnaK_tpke11_dnaJ	uxuA//
dnaN_recF	ddlA//
dnaTC	
dnaTC_yjjA	
dosCP	thiD//gpmA//
dpiBA	
dppABCDF	ubiI//
dsbC_recJ_prfB	ispD//cobS//
dsbD_yjdC	
dsdXA	dacC//pflB//
dusB_fis	dgoK//
dut_slmA	gdhA//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	yigL//paaE//
efeOB	patZ//
efeU_1U_2	
elbB_mtgA	kbaZ//
elfDCG_ycbUVF	
emrKY	qor//
entCEBAH	rrrD//dhaK//thrB//adhP//rbn//gadB//
envY_ompT	coaA//
epd_pgk	moaE//eda//
epd_pgk_fbaA	glcD//asd//argF//
essD_rrrD_rzpD	sdhB//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	kefF//
eutHA	
eutNEJG	
eutSPQTDM	pbpC//
evgAS	
exbBD	
fabDG_acpP	rutC//ilvN//
fabG_acpP	bacA//
fabHDG	rlmJ//thiD//pdeR//
fabR_yijD	
fadBA	gldA//speD//
fadD_sroD	ribF//
fadIJ	ilvC//tsaE//
fdnGHI	
fdoGHI_fdhE	cpdB//
fdrA_ylbEF_ybcF	clsB//
fecABCDE	moaD//astA//
fecIR	
feoABC	accC//
fepA_entD	cobB//hyaC//trmJ//
fepDGC	lgoD//
fes_ybdZ_entF_fepE	glxR//yigB//mobA//
fetAB	
fhuACDB	citF//pcm//
ficA_fic_pabA	yeaE//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	aceE//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	tauD//chbF//
folC_dedD	ribB//
folD_ybcJ	aldB//
folE_yeiB	sucD//
folP_glmM	cysK//ubiH//
folX_yfcH	pdeF//
frdABCD	mmuM//
frlABCDR	lsrG//adeD//yigB//ycaO//
frmRAB	sucD//metC//
fruBKA	phnP//dgcZ//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	insI-1//hycE//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	metG//ydiO//gcd//rnb//nrdF//glnS//prpE//rfbB//trmJ//epmC//
ftsQAZ	
ftsYEX	
fucAO	ilvM//yniC//
fucPIKUR	aroC//purB//mpl//folM//
fumAC	yniC//yceF//
fusA_tufA	
gabDTP	lpxK//idnO//nrfC//
gadAX	mobA//
gadBC	panD//argB//
gadEF	
gadEF_mdtEF	acpH//
gadXW	
galET	eutC//luxS//
galETK	frdB//deoA//recR//
galETKM	epmC//citD//metC//gnd//
gapA_yeaD	alaS//
gapC_1C_2	
garPLRK_rnpB	clsC//coaE//alsK//hyaA//menE//proB//
gatYZABCD	ilvG_1//can//argG//
gatZABCD	hemA//yiaK//aldA//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	mltC//ulaE//malQ//glnA//eptA//
gcvTHP	pncC//dgcT//pbpC//
gfcBCD	
gfcE_etp_etk	thiC//pldA//
ghoST	sucD//
glcBA	bglA//ddlA//
glcDEFGBA	nirB//valS//guaC//
glf_wbbH	feaB//
glgAP	lpxT//sdhC//
glgBXCAP	rihB//argG//truB//treF//gadA//
glgCAP	mltF//umuD//recO//
glmUS	yicI//mdh//
glnALG	mutY//
glnHPQ	pbpC//
glnK_amtB	sthA//
glnLG	
glnW_metU_glnVX	
glpABC	nrfB//
glpEGR	pyrG//nudB//
glpFKX	treF//pepD//serS//
glpGR	eutD//
glpTQ	hycE//rluA//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	wzc//
glvCBG_ysdC	
glyQS	guaD//
glyVXY	
glyW_cysT_leuZ	
gntKU	kdsA//trpA//
gntRKU	rsmD//ilvD//
gntX_nfuA	
gpmM_envC_yibQ	abgA//pgi//
groSL	
gspAB	
gspCDEFGHIJKLMO	dosC//
guaBA	fbp//cysQ//
gudPXD	eda//yfcG//
hcaEFCBD	glnE//pdxA//
hcp_hcr	ilvH//hycB//
hdeAB_yhiD	
hemA_prfA_prmC	fadK//mnmG//
hemCDXY	hcaB//tauD//
hflD_purB	eptA//
hfq_hflXKC	malQ//
hicAB	
higBA	plsB//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	folM//sdhA//rlmD//lplA//
hipBA	entE//
hisBHAFI	hemE//eptC//paoC//araA//
hisJQMP	sthA//yjjX//
hisLGDCBHAFI	talB//fadH//ribD//mmuM//waaF//tdcD//murE//
hofMNOP	
holC_valS	wzc//
holD_rimI_yjjG	bioF//dacA//
hscBA_fdx_iscX	proB//
hsdMS	rutD//
hsdRMS	pspE//
hslRO	
hslVU	yjjG//
hyaABCDEF	
hybOABCDEFG	ydfG//
hycABCDEFGHI	purD//hycC//
hydN_hypF	rsmD//
hyfABCDEFGHIJR_focB	folK//
hypABCDE	frlB//
hypABCDE_fhlA	ung//
hypBCDE	rlmM//
hypBCDE_fhlA	fkpB//
iaaA_gsiABCD	aceE//rutD//
ibaG_murA	cysM//
ibpAB	
idnDOTR	fbp//glgB//yjhH//
ileS_lspA_fkpB_ispH	gnd//sdaB//trmO//thiM//
ilvEDA	hemD//thiG//yqjG//spoT//
ilvIH	thiC//
ilvLXG_1G_2MEDA	roxA//rsmD//truA//mdh//ogt//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	yihT//
insN_1I_1O_1	ruvA//
insO_2_yjhWV	
iscRSUA	cysM//pabB//
ispDF	narZ//gluQ//
ispG_sroE	abgB//
isrC_flu	
ivbL_ilvBN	sufS//
ivbL_ilvBN_uhpABC	mltA//
kbaZ_agaVWA	dgt//
kbl_tdh	ribA//fabH//
kdpDE	
kdpFABC	recF//
kdsC_lptCAB	yfbR//ogt//
kefFC	glgP//paaZ//
kefGB_yheV	gpsA//
kilR_ydaE	
lacYA	gltX//menD//
lacZYA	fabI//uxuB//pgpB//
lapAB	
lapAB_pyrF_yciH	epmB//
lepAB	dapB//
leuLABCD	csdA//thiL//trpD//
leuQPV	
leuS_lptE_holA_nadD_cobC	ribE//pagP//gudD//
lexA_dinF	
lgt_thyA	araA//murI//
ligA_ypeB	lpxH//
livKHMGF	pfkA//ligB//
lldPRD	mocA//aspC//
lolA_rarA	
lolB_ispE_prs	ygjK//hmp//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	nadB//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	ackA//recO//
lptFG	
lspA_fkpB_ispH	eutB//astB//ampC//
lsrACDBFG_tam	glyS//rnd//tsaB//edd//
lsrRK	ppk//
ltaE_ybjT	metC//
lysT_valT_lysW	
macAB	cmk//
malEFG	nadK//
malK_lamB_malM	waaL//hyi//
malPQ	umpG//arnB//
malXY	lpxC//yfdR//
manXYZ	truB//
map_glnD_dapD	purH//pspE//speF//
marRAB	
mazEFG	fsaA//
mcrBC	dgcP//
mdlAB	
mdtABCD_baeSR	argD//
mdtEF	paaI//
mdtJI	menA//
mdtM_yjiN	pflB//
mdtNOP	epmC//
melAB	hisC//ppiB//
menA_rraA	nagA//
menBCE	ubiD//ldtE//serB//
menDHBCE	alaS//lsrG//ynfE//dxr//tdcD//
menFDHBCE	galE//folB//sodB//sthA//alsE//paaG//
metBL	plsB//entB//
metNIQ	entB//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	ydfG//alaA//paaH//
metZWV	
mglAC	garL//
mglBAC	purM//
mgtLA	ygjK//
mhpABCDFE	prpB//aroG//nrdD//hyuA//nadC//xdhA//
mhpR_lacI	
miaA_hfq_hflXKC	pinE//phnG//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	uidA//yihX//
mnaT_ydcZ	rlmH//
mngAB	miaB//truD//
mnmG_rsmG	truD//deoA//
mntR_ybiR	
moaABCDE	nirD//thiH//
moaBCDE	rbsK//
mobAB	cof//
modABC	gltD//
modEF	
moeAB	aphA//rffG//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	rne//
mqsRA	lyxK//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	dut//moeA//pdeL//deoD//thrB//thiG//ychF//gcvP//speD//cysH//gmk//
mreBCD	
mreCD	
msrPQ	
mtlADR	ynfG//pepD//dfp//
mtn_btuF_yadS	gmk//hycC//
murB_birA	serB//waaC//
murQP	ppc//metC//ilvA//
murQP_yfeW	waaU//panD//mmuM//uidA//
mutL_miaA_hfq_hflXKC	hyi//paaY//speB//
mutY_yggX	fumB//
mutY_yggX_mltC	hemD//yajO//
mutY_yggX_mltC_nupG	argH//allD//nanE//
nadA_pnuC	trmH//queG//
nagBAC_umpH	ssuD//fcl//clsB//
nagK_cobB	yjeF//rbsD//
nanATEK_yhcH	lpxL//gcvP//fucU//adeD//
nanCM	waaJ//ubiD//
nanCMS	glyA//allE//
napFDAGHBC	ppiB//
napFDAGHBC_ccmABCDEFGH	mcrB//tig//
narGHJI	menF//
narWV	rbsD//
narXL	
narZYWV	tyrS//
nemRA	pgk//
nemRA_gloA	hycC//ubiG//
nfrBA	
nhaAR	narH//
nikABCDER	cysQ//
nirBDC_cysG	rsmB//xapA//etk//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	argH//
nrdAB_yfaE	arnA//
nrdDG	dinB//narI//
nrdHIEF	caiD//
nrdR_ribDE_nusB_thiL_pgpA	proB//pldB//ogt//mutS//
nrfABCDEFG	aceE//
nsrR_rnr_rlmB_yjfI	pbpC//pyrE//
nudB_yebC_ruvC	trmA//argF//
nudC_hemE_nfi	waaA//ychF//
nudF_yqiB_cpdA_yqiA_parE	trpC//cynS//
nuoABCEFGHIJKLMN	betA//
nuoMN	ldhA//
ompR_envZ	
opgGH	
oppABCDF	ygeX//ldtC//
osmF_yehYXW	truA//
otsBA	guaB//garK//
paaABCDEFGHIJK	recR//paaI//deoC//dxr//paoA//sdhC//citF//
paaXY	argE//
pabB_nudL	rpe//pepD//
pabC_mltG_tmk_holB_ycfH	xapA//phnI//queA//
panBC	tktB//pyrH//
panE_yajL	ldcC//
paoABCD	ligB//
pcnB_folK	folM//ltaE//
pdeI_dgcI	
pdhR_aceEF_lpd	lpxK//adeD//hyi//xapA//pdxH//rrrD//
pdxA_rsmA	yneH//murD//
pdxA_rsmA_apaGH	alaA//mhpB//dapE//
pdxB_usg_truA_dedA	yfdR//rsmG//
pdxH_tyrS_pdxY	apaH//fre//mgsA//
pdxJ_acpS	argC//luxS//
pepQ_yigZ_trkH_hemG	rlmH//purT//yegS//
pflDC	
pgaABCD	plsB//rnpB//gloC//
pgk_fbaA	torC//lacZ//
pgpC_tadA	hisG//hemC//
pheLA	argE//
pheMST_ihfA	frdD//
phnCDE_1E_2FGHIJKLMNOP	rluF//hyaA//entA//alaA//fucK//ribE//mutT//
phnLMNOP	waaF//pdxK//pfkB//recJ//yihU//
phoA_psiF	tadA//
phoBR	
phoPQ	
pldB_yigL	recJ//arnA//
plsX_fabHDG	ychF//ldcA//pfkA//
pntAB	
potABCD	galT//
potFGHI	gltA//
poxB_ltaE_ybjT	citE//pheS//
ppdAB_ygdB_ppdC_recC	rihC//
ppdD_hofBC	
ppiB_lpxH	fucK//dgkA//
ppk_ppx	pyrG//deoD//
pqiAB	
preTA	gsk//
prfB_lysS	paaZ//
priC_ybaM	
prlC_rsmJ	phnG//hmp//
prlF_yhaV	gudD//
prmB_aroC_mepA_yfcA_epmC_yfcL	citE//poxB//trpA//dmsA//
proBA	btuR//betA//
proQ_prc	panB//
proVWX	sdaB//
prpBCDE	paaI//rsmI//rnpB//fbp//
psd_mscM	
pspABCDE	aslA//
pspBCDE	allA//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	ltaE//lipB//
pth_ychF	ybiV//
ptrA_recBD	lpd//gss//
ptsA_fsaB_gldA	aroL//pyrD//
ptsHI_crr	mug//dut//dgcZ//
purEK	nfsA//scpB//
purHD	kbaZ//gloB//
purMN	yhdJ//gatD//
puuAP	rfbD//pldA//
puuCBE	wrbA//ugpQ//thrB//
puuDRCBE	uxuA//mobA//ssuD//bioD//
pyrF_yciH	rihA//
pyrG_eno	alaS//yghU//
pyrLBI	sgbU//
qmcA_ybbJ	
qseBC	
radA_nadR	ispD//
rapA_rluA	rhaB//
ratAB	
ravA_viaA	
rbsDACBKR	ubiG//melA//dhaK//
rclABC	
rclBC	
rcnAB	otsA//
rcsDB	
rcsF_trmO	mutS//
rdgB_yggW	mutS//
rdoA_dsbA	can//cysE//
recAX	
recET_ralR_ydaC_xisR_intR	dgcC//bcsB//
relA_mazEF	thrC//
relBE	ispH//
relBE_hokD	tehB//
renD_emrE	rluB//
rfaD_waaFCL	paoA//ribC//glxK//rsmI//
rfbACX	aroK//tmcA//btuR//tauD//
rfbBDACX	phnJ//psd//uvrB//thiL//kdsB//recJ//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	tesB//ispF//menE//prpB//yagF//ybjG//sdaA//pck//glxR//
rhaBAD	ppiA//dosC//hemG//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	cysC//sad//tktB//
ribF_ileS_lspA_fkpB_ispH	aroK//ruvB//leuB//guaC//eutD//
rimK_ybjN	phnN//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	slyD//purT//fruK//sgbH//fbaA//eptC//maeA//paoA//ppiC//ispG//
rlmE_ftsH	menA//rfbB//
rlmL_uup	tynA//
rluD_yfiH	paaB//lacA//
rluE_nudJ	selD//rpiB//
rnc_era	epmB//
rnc_era_recO_pdxJ_acpS	ygiF//aceA//aroD//yghU//
rnlAB	ppiC//
rnt_lhr	frlB//
rpe_gph_trpS	tehB//ampC//napA//
rph_pyrE	frdD//sucB//
rpiR_alsBACE	glk//tig//
rplJL_rpoBC	ilvB//
rplKAJL_rpoBC	deoB//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	metE//
rpmF_plsX_fabHDG	nirB//pabC//lpoA//
rpmH_rnpA	icd//cysH//
rpmI_rplT	
rpoBC	hemL//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	rlmI//rsmI//tdcG//
rppH_ptsP	gabD//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	dosP//
rpsO_pnp	ilvN//purU//
rpsP_rimM_trmD_rplS	astC//
rpsU_dnaG_rpoD	bfr//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	ldcC//ddlA//
rsmA_apaGH	glgX//wecC//
rsmD_yhhL	folM//
rsmE_gshB	ynfF//waaJ//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	tmk//glgA//rlmC//mnmC//folP//umuC//xylA//yceF//mutH//rnd//wecB//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	acnA//
rtcBA	dgt//pabC//
rutABCDEFG	mhpB//cysC//caiB//yniC//bglA//yfiH//
ruvAB	gpmA//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	citF//
scpA_argK_scpBC	rlmB//thrB//rfbA//malZ//
sdaCB	ldhA//glgX//
sdhCDAB_sucABCD	prpE//rlmF//pncB//hemC//
sdhDAB	
sdhE_cptA	
secB_gpsA	rffC//
secE_nusG	
secG_leuU	
secMA_mutT	yiaK//
selAB	ppc//uxuB//
selD_topB	cdsA//folD//
seqA_pgm	efeB//
serB_radA	melA//
serC_aroA	queA//glpE//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	fsaA//
sgrST_setA	trmA//
skp_lpxD_fabZ_lpxA	rpiB//lpxH//maeB//
slp_dctR	
solA_yceO	fadH//
speAB	ycjU//xdhA//
speF_potE	glpE//thiG//
srlAEBD_gutM_srlR_gutQ	pykA//cynS//yfiH//
sroG_ribB	fadM//
sspAB	
ssrS_fau	queA//
ssuEADCB	cysQ//manA//fumA//
stfE_tfaE	
sucAB	aroE//lpxT//tyrS//
sucABCD	rsmJ//rnd//rlmI//fklB//
sufABCDSE	rsmI//
surA_pdxA_rsmA_apaGH	ruvB//ubiI//pdeR//rbn//
tag_yiaC	kduI//
talA_tktB	yniC//lpxT//
tamAB_ytfP	
tar_tap_cheRBYZ	nhoA//caiB//
tatABC	pheS//
tatABCD	fabH//trmH//
tauABCD	idi//rsuA//
tdcABCDEFG	ssuD//yiaY//def//folC//cobC//
tdcBCDEFG	tilS//rnpB//pyrC//ogt//mdh//
tehAB	menD//otsB//
tesA_ybbO	lpd//upp//
tff_rpsB_tsf	
tgt_yajC	yegS//
thiCEFSGH	birA//eutD//allB//hemF//gltX//
thiMD	garR//selB//
thrLABC	talB//katE//dkgB//
thrS_infC	gshB//
thrS_infC_rpmI_rplT_pheMST_ihfA	yigB//cpdA//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	pykA//add//
tolB_pal_cpoB	
tolC_ygiABC	mhpB//accA//hcp//hisH//pta//nirB//murA//xylB//tpiA//
tomB_hha	
topAI_yjhQ	
torCAD	lpxB//
torYZ	accA//
treBC	plsC//ynfG//
trmI_yggL	argB//
trpCBA	tdcB//fumB//fdhF//scpB//
trpLEDCBA	dfp//ppx//gloA//ldtA//moaD//metK//
tsaB_yeaY	maeA//
tsaE_amiB_mutL_miaA_hfq_hflXKC	trpB//umpG//lpoA//serC//hisB//
ttdABT	lpxT//metF//
tyrS_pdxY	aceB//narY//
tyrTV_tpr	
tyrV_tpr	
ubiCA	ogt//hemB//
ubiEJB	gldA//
udk_dcd	plsC//murG//
ugpBAECQ	cysC//rph//
uhpABC	
uidABC	glcB//fadJ//
ulaABCDEF	insI-3//dacD//fucU//rutE//
umpG_pcm	araA//thrC//
umuDC	paoC//
uof_fur	
upp_uraA	atoB//galE//
usg_truA_dedA	thyA//
uvrYC	pabA//
uxaCA	metL//lpxC//
uxuAB	fbaA//waaH//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	recG//hyaA//
waaQGPSBOJYZU	plsC//avtA//ribB//fabA//pheT//yfbT//dosP//yjhH//ulaF//dadA//
waaYZ	gabT//folK//
waaZU	ldtB//fucA//
wbbIJK	lpd//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	ppiA//sdaA//bioA//thiH//glgC//zwf//
wcaKLM	
wrbA_yccJ	dhaM//
wza_wzb_wzc	rlmA//rutD//
wza_wzb_wzc_wcaAB	fadH//ampD//
xanQ_guaD_ghxQ	ygaP//fabI//thiF//
xapAB	hisI//hemC//
xdhABC	rluC//
xerD_dsbC_recJ	orn//srlD//
xseB_ispA_dxs_yajO	ppk//sgbH//yniC//garK//
xylAB	gntK//yfcF//
xylFGHR	mgsA//
yabPQ	
yacC_speED	paaY//dgoD//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	nudC//
yafDE	
yafNOP	murQ//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	tyrS//pgm//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	yqjG//
ybaB_recR	cpsB//
ybaST	csdA//
ybbAP	
ybbY_glxK	ispU//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	panE//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	uvrC//
ybeZY	
ybeZYX_lnt	rdgB//
ybfHG	
ybfOC	
ybgA_phr	recR//
ybgC_tolQRA	
ybgIJKL_nei	sdaA//
ybgQPO	
ybhP_clsB_ybhN	gdhA//
ybiYW	
ybjC_nfsA_rimK_ybjN	waaL//hemD//
ybjJI	glf//
ybjO_rlmC	pyrE//
ybjQ_amiD	narV//
ycaI_msbA_lpxK_ycaQ	rffT//sseA//
ycaR_kdsB	pflB//
ycbK_gloC	waaY//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	tdcD//
yciCB	
yciGFE	
yciK_btuR	ubiD//
yciVOQ	murD//
yciZT	
ycjMNOPQRSTUV_ymjB	rbn//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	fsaB//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	accB//lsrK//
ydcSTUV_patD	rffG//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	rnpB//
ydgK_rsxABCDGE_nth	atoA//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	hypF//cysG//
ydiJ_menI_ydiH	yhdJ//
ydiNB_aroD	ilvG_2//rph//
ydiQRST_fadK	waaF//
ydjA_selD_topB	fadI//phnP//
ydjLKJIHG	carA//
ydjXYZ_ynjABCD	
yeaGH	yiaY//
yeaR_yoaG	
yeaVW	
yebC_ruvC	panE//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	citC//nudL//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	yihS//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	narI//wrbA//
yejABEF	cpdB//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	rluF//
yfaX_rhmD	
yfaX_rhmD_yfaVU	bglA//
yfbUT	srlD//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
