# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	birA//
fetAB	
fhuACDB	dinB//ubiE//
ficA_fic_pabA	alkB//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	sthA//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	bfr//arnB//
folC_dedD	yghA//
folD_ybcJ	ispU//
folE_yeiB	phnG//
folP_glmM	appA//ribD//
folX_yfcH	glpQ//
frdABCD	yfeW//
frlABCDR	speC//mtgA//xdhA//wzc//
frmRAB	pck//purB//
fruBKA	gatZ//ribC//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	deoB//sbcB//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	dxr//mutL//arsC//nagA//ileS//nadC//melA//nagA//nudC//folA//
ftsQAZ	
ftsYEX	
fucAO	mhpE//gadA//
fucPIKUR	hflX//wcaJ//gpmA//hcaD//
fumAC	roxA//thrC//
fusA_tufA	
gabDTP	cynT//moaD//ldcC//
gadAX	trmH//
gadBC	deoA//cmk//
gadEF	
gadEF_mdtEF	mhpE//
gadXW	
galET	rsmF//rihB//
galETK	acnB//hyaB//nrdA//
galETKM	ansB//ynjE//avtA//rutC//
gapA_yeaD	ybcF//
gapC_1C_2	
garPLRK_rnpB	folD//cobU//glgP//menC//citD//sucA//
gatYZABCD	nrdF//yneH//bglA//
gatZABCD	argS//glcE//pdxJ//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	yniC//uxaA//frmB//fucO//kdsB//
gcvTHP	dadX//fadH//bglX//
gfcBCD	
gfcE_etp_etk	panC//ppx//
ghoST	alsE//
glcBA	appA//fes//
glcDEFGBA	chbG//hcaC//dcd//
glf_wbbH	cdsA//
glgAP	yieH//feaB//
glgBXCAP	ttdA//rlmI//lsrK//hyuA//gcvT//
glgCAP	frc//plsC//pdeF//
glmUS	menH//ulaD//
glnALG	glyQ//
glnHPQ	apt//
glnK_amtB	yjiA//
glnLG	
glnW_metU_glnVX	
glpABC	paaJ//
glpEGR	prs//ilvI//
glpFKX	lysA//lpcA//glf//
glpGR	rhaM//
glpTQ	pyrI//umuD//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	rffG//
glvCBG_ysdC	
glyQS	nrdA//
glyVXY	
glyW_cysT_leuZ	
gntKU	ldtE//lgoD//
gntRKU	fkpB//purC//
gntX_nfuA	
gpmM_envC_yibQ	dgcP//cysM//
groSL	
gspAB	
gspCDEFGHIJKLMO	purF//
guaBA	aroG//glgC//
gudPXD	alsK//trpC//
hcaEFCBD	panE//yjhG//
hcp_hcr	fbaA//maa//
hdeAB_yhiD	
hemA_prfA_prmC	def//folE//
hemCDXY	nfsA//phoA//
hflD_purB	menH//
hfq_hflXKC	folM//
hicAB	
higBA	ampD//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	ldhA//allB//argK//dgt//
hipBA	ispH//
hisBHAFI	yajO//pfkA//yagF//garR//
hisJQMP	purE//nth//
hisLGDCBHAFI	mcrA//ilvC//kdsD//pgl//rpiA//xylA//dinB//
hofMNOP	
holC_valS	cobU//
holD_rimI_yjjG	trmJ//btuR//
hscBA_fdx_iscX	aspS//
hsdMS	rlmM//
hsdRMS	sdaA//
hslRO	
hslVU	argG//
hyaABCDEF	
hybOABCDEFG	allC//
hycABCDEFGHI	paaZ//thiF//
hydN_hypF	metG//
hyfABCDEFGHIJR_focB	dmsC//
hypABCDE	gpt//
hypABCDE_fhlA	amiD//
hypBCDE	uxuB//
hypBCDE_fhlA	nudJ//
iaaA_gsiABCD	bioF//purL//
ibaG_murA	pflB//
ibpAB	
idnDOTR	truD//acpT//ynfE//
ileS_lspA_fkpB_ispH	tig//agp//metG//trmO//
ilvEDA	sucC//rluE//iaaA//oxc//
ilvIH	dmlA//
ilvLXG_1G_2MEDA	gcvP//pgsA//dacD//arsC//argB//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	pabC//
insN_1I_1O_1	ybjI//
insO_2_yjhWV	
iscRSUA	mrdA//lpcA//
ispDF	glmS//yniC//
ispG_sroE	mltD//
isrC_flu	
ivbL_ilvBN	menI//
ivbL_ilvBN_uhpABC	cpsB//
kbaZ_agaVWA	yqjH//
kbl_tdh	sucC//napA//
kdpDE	
kdpFABC	cysH//
kdsC_lptCAB	fes//waaU//
kefFC	asd//slt//
kefGB_yheV	glpB//
kilR_ydaE	
lacYA	kbaZ//menD//
lacZYA	bcsZ//cobU//cysS//
lapAB	
lapAB_pyrF_yciH	glcB//
lepAB	yidA//
leuLABCD	napH//entB//treF//
leuQPV	
leuS_lptE_holA_nadD_cobC	gapA//nadR//azoR//
lexA_dinF	
lgt_thyA	fabA//yfcF//
ligA_ypeB	plsC//
livKHMGF	puuB//rluC//
lldPRD	purC//tdcB//
lolA_rarA	
lolB_ispE_prs	mhpE//menC//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	sgbH//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	pyrD//dxs//
lptFG	
lspA_fkpB_ispH	dmlA//miaB//galK//
lsrACDBFG_tam	nanE//waaS//napG//pgi//
lsrRK	aceF//
ltaE_ybjT	rutB//
lysT_valT_lysW	
macAB	gadB//
malEFG	proA//
malK_lamB_malM	folM//moeA//
malPQ	kefF//yagE//
malXY	lpxT//hisB//
manXYZ	narG//
map_glnD_dapD	lsrF//aceF//glgA//
marRAB	
mazEFG	astB//
mcrBC	glmS//
mdlAB	
mdtABCD_baeSR	dgcZ//
mdtEF	purC//
mdtJI	nrdE//
mdtM_yjiN	psuG//
mdtNOP	nadC//
melAB	caiD//pdxB//
menA_rraA	nrdE//
menBCE	pyrC//yjcS//menI//
menDHBCE	rfbC//yqaB//fadE//speG//lpxL//
menFDHBCE	paoC//fbaB//rbsK//purH//kdsA//phnG//
metBL	gor//narV//
metNIQ	hcaD//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	tmcA//ppiC//gatZ//
metZWV	
mglAC	pyrD//
mglBAC	mutH//
mgtLA	lsrF//
mhpABCDFE	ansB//hisG//lsrG//nrfA//hycF//allA//
mhpR_lacI	
miaA_hfq_hflXKC	hypB//deoB//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	aceE//yfcG//
mnaT_ydcZ	dgt//
mngAB	ampC//gatZ//
mnmG_rsmG	pgpB//bioH//
mntR_ybiR	
moaABCDE	dgcM//xdhB//
moaBCDE	etp//
mobAB	yqhD//
modABC	trpA//
modEF	
moeAB	aldA//uidA//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	pphA//
mqsRA	arsC//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	ilvG_1//mutL//ilvE//mutH//trmJ//serC//narZ//ansB//alsK//rph//nrfB//
mreBCD	
mreCD	
msrPQ	
mtlADR	fkpB//pgaD//torY//
mtn_btuF_yadS	gapA//nudK//
murB_birA	fkpA//moaD//
murQP	lpxL//proS//mug//
murQP_yfeW	allE//murQ//lsrF//mobA//
mutL_miaA_hfq_hflXKC	dcm//dacC//truC//
mutY_yggX	murB//
mutY_yggX_mltC	speA//nagB//
mutY_yggX_mltC_nupG	fkpB//nagB//entD//
nadA_pnuC	phnN//nrdE//
nagBAC_umpH	cysC//pgpB//murQ//
nagK_cobB	dadX//waaP//
nanATEK_yhcH	purA//ilvB//frlD//paoA//
nanCM	cpsB//mhpA//
nanCMS	phnN//rlmE//
napFDAGHBC	iaaA//
napFDAGHBC_ccmABCDEFGH	moeB//kdsC//
narGHJI	relA//
narWV	tatD//
narXL	
narZYWV	dapF//
nemRA	truB//
nemRA_gloA	aspS//tynA//
nfrBA	
nhaAR	lipA//
nikABCDER	ynfH//
nirBDC_cysG	ribE//tam//mpaA//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	yihU//
nrdAB_yfaE	nhoA//
nrdDG	uxuA//ribF//
nrdHIEF	plsB//
nrdR_ribDE_nusB_thiL_pgpA	ispA//dxs//garR//uvrA//
nrfABCDEFG	kdsA//
nsrR_rnr_rlmB_yjfI	cpdA//pcm//
nudB_yebC_ruvC	ynjE//sgbU//
nudC_hemE_nfi	yigL//glcE//
nudF_yqiB_cpdA_yqiA_parE	tsaE//pflB//
nuoABCEFGHIJKLMN	yniC//
nuoMN	entE//
ompR_envZ	
opgGH	
oppABCDF	fruK//aphA//
osmF_yehYXW	napH//
otsBA	orn//treF//
paaABCDEFGHIJK	purD//argK//gcvH//fumC//yliI//iaaA//rlmB//
paaXY	fadI//
pabB_nudL	frlC//thiK//
pabC_mltG_tmk_holB_ycfH	cdsA//pgsA//queG//
panBC	ravA//fkpA//
panE_yajL	gss//
paoABCD	xdhC//
pcnB_folK	acpH//folD//
pdeI_dgcI	
pdhR_aceEF_lpd	thiH//pldB//accB//rbn//waaS//gltA//
pdxA_rsmA	malZ//rimK//
pdxA_rsmA_apaGH	pyrD//yiaK//ubiI//
pdxB_usg_truA_dedA	ybiV//idnD//
pdxH_tyrS_pdxY	ispA//hisB//rluA//
pdxJ_acpS	talA//nudF//
pepQ_yigZ_trkH_hemG	tyrB//serS//glpE//
pflDC	
pgaABCD	queF//asnB//atoB//
pgk_fbaA	cheR//rsmH//
pgpC_tadA	xdhB//yajO//
pheLA	ssuD//
pheMST_ihfA	purF//
phnCDE_1E_2FGHIJKLMNOP	moaD//paaE//dadX//rutC//queA//dxs//btuE//
phnLMNOP	hemF//ldcA//trpB//ubiI//rutE//
phoA_psiF	ispF//
phoBR	
phoPQ	
pldB_yigL	dmsA//rluD//
plsX_fabHDG	rfbA//pgsA//ubiC//
pntAB	
potABCD	scpC//
potFGHI	glmU//
poxB_ltaE_ybjT	thiF//mraY//
ppdAB_ygdB_ppdC_recC	argC//
ppdD_hofBC	
ppiB_lpxH	moaA//arnC//
ppk_ppx	hyi//betA//
pqiAB	
preTA	dhaK//
prfB_lysS	glgC//
priC_ybaM	
prlC_rsmJ	lpxT//panC//
prlF_yhaV	purA//
prmB_aroC_mepA_yfcA_epmC_yfcL	cfa//nrfC//moaA//eda//
proBA	hmp//pgaC//
proQ_prc	acnB//
proVWX	relA//
prpBCDE	serC//adk//pgm//pyrC//
psd_mscM	
pspABCDE	rfbC//
pspBCDE	entH//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	puuD//ispF//
pth_ychF	tsaB//
ptrA_recBD	rutD//aroA//
ptsA_fsaB_gldA	lpd//frlC//
ptsHI_crr	phnP//ruvB//cheR//
purEK	ybbO//murA//
purHD	paaY//ampD//
purMN	rutA//hemC//
puuAP	mgsA//adhE//
puuCBE	yjjX//katG//ubiI//
puuDRCBE	acs//glyA//bacA//yhdJ//
pyrF_yciH	ldhA//
pyrG_eno	gshB//dapB//
pyrLBI	yiaY//
qmcA_ybbJ	
qseBC	
radA_nadR	mhpA//
rapA_rluA	alsE//
ratAB	
ravA_viaA	
rbsDACBKR	pta//gpmA//ruvA//
rclABC	
rclBC	
rcnAB	yqjH//
rcsDB	
rcsF_trmO	speD//
rdgB_yggW	glgP//
rdoA_dsbA	hcaB//acpH//
recAX	
recET_ralR_ydaC_xisR_intR	serA//cysM//
relA_mazEF	fabI//
relBE	ahpC//
relBE_hokD	nudB//
renD_emrE	fabF//
rfaD_waaFCL	lipA//truD//pepD//gmm//
rfbACX	gloA//purD//rdgB//dgcP//
rfbBDACX	ilvI//murC//hisC//rffM//apaH//yjjG//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	paaZ//ravA//eutB//folB//allB//rbsD//psuG//epmA//rihA//
rhaBAD	hemH//dmsA//cysJ//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	thiD//argD//fadD//
ribF_ileS_lspA_fkpB_ispH	maeB//ada//speA//ulaG//fadA//
rimK_ybjN	guaC//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	dapE//glpX//cpsG//alaA//lsrF//ulaD//nrfA//tktA//nanA//rfaD//
rlmE_ftsH	pinE//uxaB//
rlmL_uup	kbl//
rluD_yfiH	aslA//pabB//
rluE_nudJ	yagE//cmk//
rnc_era	yihS//
rnc_era_recO_pdxJ_acpS	glpQ//ppiB//mcrB//mhpF//
rnlAB	dadA//
rnt_lhr	yhhW//
rpe_gph_trpS	rfe//thiL//truB//
rph_pyrE	birA//gapA//
rpiR_alsBACE	thrC//gatY//
rplJL_rpoBC	menB//
rplKAJL_rpoBC	cpdA//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	gcl//
rpmF_plsX_fabHDG	nadA//pncC//bglA//
rpmH_rnpA	pgk//ung//
rpmI_rplT	
rpoBC	mog//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	yniC//pdxJ//rsmG//
rppH_ptsP	paaH//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	rne//
rpsO_pnp	dmsC//dgoD//
rpsP_rimM_trmD_rplS	rluA//
rpsU_dnaG_rpoD	hemE//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	gltX//paaZ//
rsmA_apaGH	glcF//ghrA//
rsmD_yhhL	yihS//
rsmE_gshB	dusC//tyrB//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	dacC//metG//dgoK//citD//epmC//fadI//frdB//ndh//entE//rluD//psd//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	yeaE//
rtcBA	cpsB//nrfB//
rutABCDEFG	ispD//idi//uxaA//metB//argK//aphA//
ruvAB	patD//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	yahK//
scpA_argK_scpBC	fadJ//ynfG//dcd//lpoB//
sdaCB	glyQ//coaE//
sdhCDAB_sucABCD	ybcF//hisA//ilvD//mltB//
sdhDAB	
sdhE_cptA	
secB_gpsA	tig//
secE_nusG	
secG_leuU	
secMA_mutT	truD//
selAB	adeD//dgkA//
selD_topB	ldtC//rlmJ//
seqA_pgm	pheT//
serB_radA	yjiA//
serC_aroA	fabG//dcd//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	cysE//
sgrST_setA	cheB//
skp_lpxD_fabZ_lpxA	mcrB//waaO//atoA//
slp_dctR	
solA_yceO	ybjI//
speAB	trmA//ispA//
speF_potE	bcsZ//waaS//
srlAEBD_gutM_srlR_gutQ	ddlA//deoB//murC//
sroG_ribB	melA//
sspAB	
ssrS_fau	murF//
ssuEADCB	glf//hemB//hisI//
stfE_tfaE	
sucAB	yohF//paoB//hpt//
sucABCD	gcvH//polA//tesA//ruvA//
sufABCDSE	asnA//
surA_pdxA_rsmA_apaGH	metB//mngB//ygaP//yfcF//
tag_yiaC	aes//
talA_tktB	nfi//garL//
tamAB_ytfP	
tar_tap_cheRBYZ	phnJ//pldB//
tatABC	eno//
tatABCD	dcm//proC//
tauABCD	pspE//ppx//
tdcABCDEFG	glyA//pphA//tktA//uidA//ahr//
tdcBCDEFG	ybbO//yajO//fabZ//pssA//dcd//
tehAB	aceA//dgt//
tesA_ybbO	ung//astC//
tff_rpsB_tsf	
tgt_yajC	dinB//
thiCEFSGH	alsK//deoA//narZ//gltA//panC//
thiMD	torA//thiI//
thrLABC	ubiF//ileS//pta//
thrS_infC	cdh//
thrS_infC_rpmI_rplT_pheMST_ihfA	mrdA//yahK//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	queG//pbpC//
tolB_pal_cpoB	
tolC_ygiABC	astA//dgoA//ilvM//malY//fucK//trmD//talB//pdeL//sucB//
tomB_hha	
topAI_yjhQ	
torCAD	efeB//
torYZ	deoB//
treBC	entC//garR//
trmI_yggL	rfaE//
trpCBA	alaS//metK//queF//wzb//
trpLEDCBA	ilvM//yfcF//ubiX//hisS//prmB//dxs//
tsaB_yeaY	gss//
tsaE_amiB_mutL_miaA_hfq_hflXKC	speB//ydfG//metE//bcsA//mazG//
ttdABT	thrA//nanE//
tyrS_pdxY	carB//treF//
tyrTV_tpr	
tyrV_tpr	
ubiCA	yigB//fkpB//
ubiEJB	guaD//
udk_dcd	fabD//apaH//
ugpBAECQ	rhaD//yfeW//
uhpABC	
uidABC	metB//rlmJ//
ulaABCDEF	cyaA//ilvI//nudJ//tsaC//
umpG_pcm	dgkA//alaC//
umuDC	glf//
uof_fur	
upp_uraA	cfa//lldD//
usg_truA_dedA	glgC//
uvrYC	metF//
uxaCA	glxR//truD//
uxuAB	mcrB//argG//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	pfkB//glpX//
waaQGPSBOJYZU	fabH//argB//fucO//malQ//hyaC//ileS//apt//tyrA//etp//arnC//
waaYZ	uxaB//yhhW//
waaZU	ahr//murB//
wbbIJK	lysS//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	ispE//speE//nagB//rne//polA//manA//
wcaKLM	
wrbA_yccJ	rsmD//
wza_wzb_wzc	pnp//ahpC//
wza_wzb_wzc_wcaAB	wbbI//mhpA//
xanQ_guaD_ghxQ	yqhD//sdhC//pgaC//
xapAB	ppsA//preA//
xdhABC	paaI//
xerD_dsbC_recJ	gstA//cpsG//
xseB_ispA_dxs_yajO	caiB//gldA//phr//ilvI//
xylAB	acnA//prmC//
xylFGHR	ppsA//
yabPQ	
yacC_speED	puuC//ugd//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	ybjI//
yafDE	
yafNOP	glcB//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	pgaD//cdh//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	gutQ//
ybaB_recR	rlmA//
ybaST	allB//
ybbAP	
ybbY_glxK	tdcD//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	coaD//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	speD//
ybeZY	
ybeZYX_lnt	adiA//
ybfHG	
ybfOC	
ybgA_phr	yccX//
ybgC_tolQRA	
ybgIJKL_nei	tnaA//
ybgQPO	
ybhP_clsB_ybhN	ulaE//
ybiYW	
ybjC_nfsA_rimK_ybjN	rffG//mog//
ybjJI	leuC//
ybjO_rlmC	der//
ybjQ_amiD	galM//
ycaI_msbA_lpxK_ycaQ	mak//rutE//
ycaR_kdsB	rluC//
ycbK_gloC	mcrC//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	fdhF//
yciCB	
yciGFE	
yciK_btuR	malZ//
yciVOQ	phnH//
yciZT	
ycjMNOPQRSTUV_ymjB	ychF//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	glgB//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	mngB//menE//
ydcSTUV_patD	rsmH//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	paaB//
ydgK_rsxABCDGE_nth	yjjX//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	narV//adhP//
ydiJ_menI_ydiH	ispF//
ydiNB_aroD	moaE//proS//
ydiQRST_fadK	eptA//
ydjA_selD_topB	sdhD//slyD//
ydjLKJIHG	gpmA//
ydjXYZ_ynjABCD	
yeaGH	xdhA//
yeaR_yoaG	
yeaVW	
yebC_ruvC	bacA//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	acpT//rlmB//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	cmoB//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	cmk//dgt//
yejABEF	proC//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	dmsC//
yfaX_rhmD	
yfaX_rhmD_yfaVU	leuS//
yfbUT	tatD//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	glgB//
