# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	ppk//
dnaTC_yjjA	
dosCP	glpQ//lyxK//
dpiBA	
dppABCDF	deoD//
dsbC_recJ_prfB	ogt//araA//
dsbD_yjdC	
dsdXA	chbG//astB//
dusB_fis	yniC//
dut_slmA	gnd//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	yjcS//dgkA//
efeOB	sgbU//
efeU_1U_2	
elbB_mtgA	glpK//
elfDCG_ycbUVF	
emrKY	glpB//
entCEBAH	cyaA//aroK//aceE//gcvT//slyD//rluB//
envY_ompT	acpH//
epd_pgk	qor//ubiI//
epd_pgk_fbaA	entF//purB//yieH//
essD_rrrD_rzpD	dusB//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	waaZ//
eutHA	
eutNEJG	
eutSPQTDM	cpdB//
evgAS	
exbBD	
fabDG_acpP	fabB//pheA//
fabG_acpP	rluC//
fabHDG	ydjG//pdxB//xdhB//
fabR_yijD	
fadBA	ybbO//metK//
fadD_sroD	iscS//
fadIJ	narH//metC//
fdnGHI	
fdoGHI_fdhE	ispB//
fdrA_ylbEF_ybcF	frlB//
fecABCDE	aroB//allE//
fecIR	
feoABC	dgcP//
fepA_entD	purB//torZ//ppk//
fepDGC	tktB//
fes_ybdZ_entF_fepE	sad//cysJ//garK//
fetAB	
fhuACDB	rsmB//birA//
ficA_fic_pabA	rsmA//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	bioC//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	trxB//panE//
folC_dedD	can//
folD_ybcJ	dosC//
folE_yeiB	tadA//
folP_glmM	nagK//patA//
folX_yfcH	ldtB//
frdABCD	trpB//
frlABCDR	lpxB//menB//ygiF//glcD//
frmRAB	phnJ//kefF//
fruBKA	tam//katE//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	insI-3//queD//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	eptA//acnB//ispE//hycC//paaE//rph//argH//ispD//ribC//glcD//
ftsQAZ	
ftsYEX	
fucAO	idnD//fbaA//
fucPIKUR	fabG//caiA//def//waaU//
fumAC	lacA//rihA//
fusA_tufA	
gabDTP	speB//fucA//yfcG//
gadAX	phr//
gadBC	gutQ//nrdF//
gadEF	
gadEF_mdtEF	yfiC//
gadXW	
galET	hypF//trmH//
galETK	carA//ilvA//paaA//
galETKM	der//gltD//tag//truA//
gapA_yeaD	paaJ//
gapC_1C_2	
garPLRK_rnpB	yneH//glgA//dapF//folA//rnpA//ilvN//
gatYZABCD	mhpE//torZ//bioA//
gatZABCD	hisG//mog//rnb//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	hflX//malQ//yhdH//malP//entD//
gcvTHP	recF//coaD//idnK//
gfcBCD	
gfcE_etp_etk	gpsA//tyrB//
ghoST	thrS//
glcBA	lysU//panE//
glcDEFGBA	rhaD//yihX//yihT//
glf_wbbH	dgoD//
glgAP	guaA//entD//
glgBXCAP	yiaY//aroA//codA//cysI//fadA//
glgCAP	treC//otsA//gmd//
glmUS	rnpA//hycB//
glnALG	ndh//
glnHPQ	lysU//
glnK_amtB	proB//
glnLG	
glnW_metU_glnVX	
glpABC	mocA//
glpEGR	lpoB//nrdB//
glpFKX	kbaZ//mngB//glcE//
glpGR	aceF//
glpTQ	yhdJ//lpxM//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	atoD//
glvCBG_ysdC	
glyQS	rluA//
glyVXY	
glyW_cysT_leuZ	
gntKU	fcl//ynjE//
gntRKU	rpe//murQ//
gntX_nfuA	
gpmM_envC_yibQ	frdC//phoA//
groSL	
gspAB	
gspCDEFGHIJKLMO	dusB//
guaBA	feaB//yjhH//
gudPXD	mazG//moaD//
hcaEFCBD	tatD//iscS//
hcp_hcr	hcp//gstA//
hdeAB_yhiD	
hemA_prfA_prmC	amiD//murQ//
hemCDXY	xdhC//mtlD//
hflD_purB	tsaE//
hfq_hflXKC	ulaD//
hicAB	
higBA	cpdA//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	gatD//pgk//yahK//cdd//
hipBA	cysI//
hisBHAFI	dgkA//hyi//dosC//psuG//
hisJQMP	napG//amn//
hisLGDCBHAFI	cobT//aroK//sdaB//rdgB//lysS//caiC//eutB//
hofMNOP	
holC_valS	mutM//
holD_rimI_yjjG	apt//metB//
hscBA_fdx_iscX	pgsA//
hsdMS	fabG//
hsdRMS	lpxB//
hslRO	
hslVU	murC//
hyaABCDEF	
hybOABCDEFG	fucI//
hycABCDEFGHI	garK//phnJ//
hydN_hypF	pdeL//
hyfABCDEFGHIJR_focB	patD//
hypABCDE	ribB//
hypABCDE_fhlA	purE//
hypBCDE	hisF//
hypBCDE_fhlA	waaZ//
iaaA_gsiABCD	rutD//nanM//
ibaG_murA	trmL//
ibpAB	
idnDOTR	tdcD//ulaF//mtlD//
ileS_lspA_fkpB_ispH	polB//fklB//rihA//treC//
ilvEDA	aldA//rffH//betA//gapA//
ilvIH	rpiB//
ilvLXG_1G_2MEDA	hchA//preT//torY//nanM//entD//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	putA//
insN_1I_1O_1	selB//
insO_2_yjhWV	
iscRSUA	mazG//dnaQ//
ispDF	sufS//prpD//
ispG_sroE	mug//
isrC_flu	
ivbL_ilvBN	acnB//
ivbL_ilvBN_uhpABC	phnO//
kbaZ_agaVWA	purM//
kbl_tdh	mhpF//recO//
kdpDE	
kdpFABC	sdaA//
kdsC_lptCAB	acnB//gltX//
kefFC	phnO//nadE//
kefGB_yheV	glpC//
kilR_ydaE	
lacYA	mpaA//argS//
lacZYA	dld//rne//ftsI//
lapAB	
lapAB_pyrF_yciH	hisC//
lepAB	rsmE//
leuLABCD	trpA//lacA//cobT//
leuQPV	
leuS_lptE_holA_nadD_cobC	lipB//solA//rluD//
lexA_dinF	
lgt_thyA	fkpA//acpH//
ligA_ypeB	btuE//
livKHMGF	paaG//sodB//
lldPRD	curA//rsmE//
lolA_rarA	
lolB_ispE_prs	feaB//purH//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	galU//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	lacA//rlmL//
lptFG	
lspA_fkpB_ispH	hycE//nadK//astA//
lsrACDBFG_tam	yfaU//ilvD//narZ//allE//
lsrRK	phnL//
ltaE_ybjT	pgaC//
lysT_valT_lysW	
macAB	hemH//
malEFG	etp//
malK_lamB_malM	nrdF//hyaB//
malPQ	kbaY//rfaE//
malXY	fau//waaZ//
manXYZ	recF//
map_glnD_dapD	ushA//napA//caiC//
marRAB	
mazEFG	mpaA//
mcrBC	galE//
mdlAB	
mdtABCD_baeSR	lysC//
mdtEF	dgcP//
mdtJI	fucI//
mdtM_yjiN	rhaD//
mdtNOP	glpB//
melAB	chbG//ygiF//
menA_rraA	citG//
menBCE	metE//folK//rsmG//
menDHBCE	frlB//sucA//gltX//napC//dadX//
menFDHBCE	polB//mepS//panD//oxc//emtA//hemN//
metBL	waaZ//mngB//
metNIQ	atoB//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	allE//cdd//recG//
metZWV	
mglAC	argH//
mglBAC	udk//
mgtLA	kdgK//
mhpABCDFE	pta//uvrA//ubiX//metF//xthA//gltD//
mhpR_lacI	
miaA_hfq_hflXKC	argD//folD//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	dapA//frlB//
mnaT_ydcZ	aroH//
mngAB	polB//deoC//
mnmG_rsmG	polA//epd//
mntR_ybiR	
moaABCDE	tdcG//fes//
moaBCDE	waaG//
mobAB	yjjG//
modABC	der//
modEF	
moeAB	gcd//yiaK//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	pyrC//
mqsRA	ldtD//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	dadX//fabZ//pyrE//yqjH//cysH//hisF//waaF//fadM//murE//hemH//solA//
mreBCD	
mreCD	
msrPQ	
mtlADR	kdsB//scpA//anmK//
mtn_btuF_yadS	murB//idi//
murB_birA	truB//rdgB//
murQP	mcrC//ppiA//pdxY//
murQP_yfeW	dgcM//queG//prs//proC//
mutL_miaA_hfq_hflXKC	uvrB//xylA//yrfG//
mutY_yggX	bioB//
mutY_yggX_mltC	yihT//pyrC//
mutY_yggX_mltC_nupG	pyrE//ileS//patZ//
nadA_pnuC	alaS//mltD//
nagBAC_umpH	sodC//hyuA//paaJ//
nagK_cobB	atoB//mutY//
nanATEK_yhcH	waaL//ldtB//aspC//fadA//
nanCM	fsaB//rhaD//
nanCMS	idnO//nanA//
napFDAGHBC	cobT//
napFDAGHBC_ccmABCDEFGH	aroL//dusB//
narGHJI	ubiH//
narWV	rluB//
narXL	
narZYWV	glnS//
nemRA	torZ//
nemRA_gloA	aspC//dgcC//
nfrBA	
nhaAR	menA//
nikABCDER	idnK//
nirBDC_cysG	leuB//mltB//fadI//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	ybdL//
nrdAB_yfaE	alr//
nrdDG	xdhB//anmK//
nrdHIEF	pflB//
nrdR_ribDE_nusB_thiL_pgpA	yqhD//pgpC//ybjG//lacA//
nrfABCDEFG	phnL//
nsrR_rnr_rlmB_yjfI	galE//purM//
nudB_yebC_ruvC	fabD//idi//
nudC_hemE_nfi	rlmM//udk//
nudF_yqiB_cpdA_yqiA_parE	paaI//coaE//
nuoABCEFGHIJKLMN	ttdB//
nuoMN	deoD//
ompR_envZ	
opgGH	
oppABCDF	trmO//lplA//
osmF_yehYXW	katG//
otsBA	ung//mltC//
paaABCDEFGHIJK	mcrC//purT//hcaF//umpG//paaF//dkgA//mutH//
paaXY	valS//
pabB_nudL	pabB//narH//
pabC_mltG_tmk_holB_ycfH	psuK//ydjG//pyrB//
panBC	maeA//fucO//
panE_yajL	umuD//
paoABCD	arnA//
pcnB_folK	lhgO//thiK//
pdeI_dgcI	
pdhR_aceEF_lpd	appA//adeD//manA//cysN//hemH//yiaY//
pdxA_rsmA	citF//mtgA//
pdxA_rsmA_apaGH	cyaA//mutY//yfiC//
pdxB_usg_truA_dedA	tnaA//epmA//
pdxH_tyrS_pdxY	kbl//pgpB//ybjI//
pdxJ_acpS	bglA//recJ//
pepQ_yigZ_trkH_hemG	rbsK//entC//eptC//
pflDC	
pgaABCD	hisC//frlD//accB//
pgk_fbaA	mltB//xylA//
pgpC_tadA	entC//folK//
pheLA	der//
pheMST_ihfA	xylB//
phnCDE_1E_2FGHIJKLMNOP	mraY//hycD//ycjU//lpd//metB//napG//rihC//
phnLMNOP	plsC//dgcC//wzb//alr//hemN//
phoA_psiF	narH//
phoBR	
phoPQ	
pldB_yigL	yfcF//yccX//
plsX_fabHDG	appA//asnS//galT//
pntAB	
potABCD	sgbE//
potFGHI	menH//
poxB_ltaE_ybjT	hcaF//pck//
ppdAB_ygdB_ppdC_recC	glyS//
ppdD_hofBC	
ppiB_lpxH	hisS//hisH//
ppk_ppx	yeiG//nadE//
pqiAB	
preTA	cysK//
prfB_lysS	gshB//
priC_ybaM	
prlC_rsmJ	ada//paoA//
prlF_yhaV	psuG//
prmB_aroC_mepA_yfcA_epmC_yfcL	surA//nrfA//guaC//lpxM//
proBA	paaH//folD//
proQ_prc	tmcA//
proVWX	murQ//
prpBCDE	mngB//nth//nagA//pcm//
psd_mscM	
pspABCDE	thiD//
pspBCDE	gudD//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	yrfG//pdxB//
pth_ychF	uidA//
ptrA_recBD	waaO//paaY//
ptsA_fsaB_gldA	yqjH//etk//
ptsHI_crr	gpt//yieH//thiG//
purEK	waaH//cobT//
purHD	prmB//add//
purMN	murI//sdhD//
puuAP	leuS//hisA//
puuCBE	polA//menI//fabD//
puuDRCBE	rffM//hypF//dusC//aspS//
pyrF_yciH	recF//
pyrG_eno	hisF//pyrC//
pyrLBI	fumC//
qmcA_ybbJ	
qseBC	
radA_nadR	ynjE//
rapA_rluA	ilvD//
ratAB	
ravA_viaA	
rbsDACBKR	kbl//dgcP//ung//
rclABC	
rclBC	
rcnAB	agp//
rcsDB	
rcsF_trmO	fklB//
rdgB_yggW	leuA//
rdoA_dsbA	birA//hisS//
recAX	
recET_ralR_ydaC_xisR_intR	nrdE//rsmI//
relA_mazEF	pphB//
relBE	rsmC//
relBE_hokD	purK//
renD_emrE	surA//
rfaD_waaFCL	dgcP//kbl//glxR//aroA//
rfbACX	wcaJ//thrC//lpd//glmM//
rfbBDACX	ldtE//puuC//epmC//suhB//tsaC//narV//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	tyrA//murC//ydiO//alsE//galM//napC//proB//glyA//tnaA//
rhaBAD	chbF//rsmC//gudD//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	xdhB//allC//sucB//
ribF_ileS_lspA_fkpB_ispH	idi//yihV//mazG//menD//tgt//
rimK_ybjN	astD//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	avtA//mutL//truD//paaB//adhE//kbaZ//ubiI//argA//astB//citG//
rlmE_ftsH	dgcC//mrcB//
rlmL_uup	menC//
rluD_yfiH	hypB//murD//
rluE_nudJ	ybhA//rluD//
rnc_era	hycD//
rnc_era_recO_pdxJ_acpS	panE//otsA//fadD//lpoB//
rnlAB	uxuB//
rnt_lhr	deoB//
rpe_gph_trpS	nrdB//gcvH//clsC//
rph_pyrE	phnN//asnA//
rpiR_alsBACE	murE//pgi//
rplJL_rpoBC	ubiD//
rplKAJL_rpoBC	dut//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	gshB//
rpmF_plsX_fabHDG	metH//galM//fabZ//
rpmH_rnpA	sdaB//apt//
rpmI_rplT	
rpoBC	thiC//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	umuC//umuD//xylB//
rppH_ptsP	tpiA//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	coaE//
rpsO_pnp	rsmI//rfaE//
rpsP_rimM_trmD_rplS	mltA//
rpsU_dnaG_rpoD	gloC//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	malY//yagF//
rsmA_apaGH	hisB//lpxC//
rsmD_yhhL	aroB//
rsmE_gshB	lsrF//adhE//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	glmM//pdeR//metA//nfi//yfdR//rbsK//folK//waaF//pabB//astA//slyD//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	surA//
rtcBA	napC//dmsC//
rutABCDEFG	prpD//glnA//mnmA//waaB//nudB//fucK//
ruvAB	proC//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	mhpB//
scpA_argK_scpBC	srlD//mltA//rnpB//udk//
sdaCB	waaL//tdcD//
sdhCDAB_sucABCD	ugd//alaS//glnS//truD//
sdhDAB	
sdhE_cptA	
secB_gpsA	mrdA//
secE_nusG	
secG_leuU	
secMA_mutT	torY//
selAB	cadA//ppa//
selD_topB	epd//plsC//
seqA_pgm	menF//
serB_radA	mutS//
serC_aroA	trmI//panE//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	nadK//
sgrST_setA	thrA//
skp_lpxD_fabZ_lpxA	ynfH//mcrB//clsB//
slp_dctR	
solA_yceO	cysM//
speAB	yibQ//gloB//
speF_potE	pagP//allC//
srlAEBD_gutM_srlR_gutQ	waaS//menC//gpmM//
sroG_ribB	curA//
sspAB	
ssrS_fau	serA//
ssuEADCB	glcD//cmoA//hyaA//
stfE_tfaE	
sucAB	dut//nrfC//ilvD//
sucABCD	frmA//ilvH//allD//ynfF//
sufABCDSE	rnpA//
surA_pdxA_rsmA_apaGH	thrA//glcB//malP//gcvP//
tag_yiaC	metF//
talA_tktB	fbp//luxS//
tamAB_ytfP	
tar_tap_cheRBYZ	ligA//pphB//
tatABC	galM//
tatABCD	clsA//mutM//
tauABCD	sucA//def//
tdcABCDEFG	bioF//clsA//bcsB//dusC//garK//
tdcBCDEFG	nfsB//xylA//tsaD//nudL//nudB//
tehAB	glgA//yfbT//
tesA_ybbO	nrfA//mgsA//
tff_rpsB_tsf	
tgt_yajC	clsB//
thiCEFSGH	argK//tehB//dapA//yfcG//pyrI//
thiMD	hycB//recG//
thrLABC	pck//frlD//selB//
thrS_infC	glgX//
thrS_infC_rpmI_rplT_pheMST_ihfA	galM//argK//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	pgaD//gpp//
tolB_pal_cpoB	
tolC_ygiABC	sgbU//ribE//ada//bcsZ//rnb//thrS//nfsB//ispD//fadD//
tomB_hha	
topAI_yjhQ	
torCAD	fadD//
torYZ	birA//
treBC	otsA//metA//
trmI_yggL	tdk//
trpCBA	cpsB//truA//cheB//hyaA//
trpLEDCBA	galE//tsaC//entC//mak//napH//gmk//
tsaB_yeaY	yfdE//
tsaE_amiB_mutL_miaA_hfq_hflXKC	moaD//ttdA//iscS//cysE//coaD//
ttdABT	napG//trmD//
tyrS_pdxY	dkgB//ybaS//
tyrTV_tpr	
tyrV_tpr	
ubiCA	rsmB//yqjG//
ubiEJB	puuA//
udk_dcd	leuD//napH//
ugpBAECQ	pdeH//tig//
uhpABC	
uidABC	rbsK//ydbC//
ulaABCDEF	thyA//queA//pnp//deoA//
umpG_pcm	hchA//gph//
umuDC	dosP//
uof_fur	
upp_uraA	metH//mcrA//
usg_truA_dedA	ilvM//
uvrYC	ppiB//
uxaCA	prpD//waaF//
uxuAB	yigB//mutM//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	rsmF//argS//
waaQGPSBOJYZU	fadM//rlmB//gshB//cof//folM//sucC//ppa//ribD//kdgK//proB//
waaYZ	gapA//rsgA//
waaZU	hyaA//slt//
wbbIJK	rimK//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	rph//dkgA//xdhC//pdeR//dkgA//speA//
wcaKLM	
wrbA_yccJ	serC//
wza_wzb_wzc	nanM//waaP//
wza_wzb_wzc_wcaAB	dhaM//dnaE//
xanQ_guaD_ghxQ	metG//aceE//patZ//
xapAB	ubiG//paaY//
xdhABC	allC//
xerD_dsbC_recJ	rdgB//bioC//
xseB_ispA_dxs_yajO	cheR//nrfC//pgpC//purE//
xylAB	puuC//hyaB//
xylFGHR	ttdB//
yabPQ	
yacC_speED	rluC//gnd//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	gsk//
yafDE	
yafNOP	glpX//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	purL//hcaE//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	hemE//
ybaB_recR	yeaE//
ybaST	citC//
ybbAP	
ybbY_glxK	suhB//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	sgbH//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	mrcA//
ybeZY	
ybeZYX_lnt	cysQ//
ybfHG	
ybfOC	
ybgA_phr	entE//
ybgC_tolQRA	
ybgIJKL_nei	recF//
ybgQPO	
ybhP_clsB_ybhN	rsuA//
ybiYW	
ybjC_nfsA_rimK_ybjN	metC//yciV//
ybjJI	dapE//
ybjO_rlmC	fabI//
ybjQ_amiD	coaE//
ycaI_msbA_lpxK_ycaQ	eno//ynfF//
ycaR_kdsB	gmd//
ycbK_gloC	moeA//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	ilvG_1//
yciCB	
yciGFE	
yciK_btuR	lpxH//
yciVOQ	opgB//
yciZT	
ycjMNOPQRSTUV_ymjB	deoC//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	puuD//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	mpl//mgsA//
ydcSTUV_patD	nadA//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	yfcG//
ydgK_rsxABCDGE_nth	pgaC//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	pgaD//ligB//
ydiJ_menI_ydiH	ligA//
ydiNB_aroD	kdsC//cysE//
ydiQRST_fadK	nrfD//
ydjA_selD_topB	cmoA//ilvD//
ydjLKJIHG	uxuB//
ydjXYZ_ynjABCD	
yeaGH	selB//
yeaR_yoaG	
yeaVW	
yebC_ruvC	kdsC//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	paaA//rnpA//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	wrbA//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	allC//hcaC//
yejABEF	ldcA//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	paaG//
yfaX_rhmD	
yfaX_rhmD_yfaVU	alsE//
yfbUT	dam//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	glxK//
yfdX_frc_oxc_yfdVE	lysU//mcrB//rfaE//
yfeCD	
yfeKS	
yfeYX	cysQ//
yffB_dapE_ypfN	tadA//
yffMN	
