# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	kbl//
pgaABCD	serS//pncC//rbsK//
pgk_fbaA	pgm//aroE//
pgpC_tadA	arnB//mraY//
pheLA	allB//
pheMST_ihfA	melA//
phnCDE_1E_2FGHIJKLMNOP	puuC//mpl//lpxM//curA//purM//bioA//ymdB//
phnLMNOP	rsmE//pdeF//metL//glyA//astE//
phoA_psiF	yihS//
phoBR	
phoPQ	
pldB_yigL	def//queC//
plsX_fabHDG	rhaA//paaY//fadM//
pntAB	
potABCD	dfp//
potFGHI	yggF//
poxB_ltaE_ybjT	hisC//purF//
ppdAB_ygdB_ppdC_recC	glgP//
ppdD_hofBC	
ppiB_lpxH	rfbA//hisH//
ppk_ppx	pyrI//dgcM//
pqiAB	
preTA	pyrG//
prfB_lysS	aroG//
priC_ybaM	
prlC_rsmJ	yhdJ//arnC//
prlF_yhaV	pgaC//
prmB_aroC_mepA_yfcA_epmC_yfcL	mltD//ybjI//ybaS//garR//
proBA	psuK//pfkB//
proQ_prc	ilvE//
proVWX	mhpD//
prpBCDE	slt//ribD//gpmA//csdA//
psd_mscM	
pspABCDE	dsdA//
pspBCDE	fre//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	fbaA//queA//
pth_ychF	ugpQ//
ptrA_recBD	tnaA//nrdE//
ptsA_fsaB_gldA	argC//hyi//
ptsHI_crr	gpt//purE//thiI//
purEK	yeaE//rfbC//
purHD	xylB//puuE//
purMN	glcB//tyrS//
puuAP	kbl//ldcC//
puuCBE	yfcF//yccX//acpT//
puuDRCBE	chbF//ilvN//sodA//pheT//
pyrF_yciH	rsmC//
pyrG_eno	gntK//nudE//
pyrLBI	lacZ//
qmcA_ybbJ	
qseBC	
radA_nadR	udk//
rapA_rluA	opgE//
ratAB	
ravA_viaA	
rbsDACBKR	nadE//rlmD//hycB//
rclABC	
rclBC	
rcnAB	rutC//
rcsDB	
rcsF_trmO	plsB//
rdgB_yggW	entE//
rdoA_dsbA	lpxP//ulaF//
recAX	
recET_ralR_ydaC_xisR_intR	metC//accC//
relA_mazEF	kbaY//
relBE	mpaA//
relBE_hokD	yeiG//
renD_emrE	glgP//
rfaD_waaFCL	lpxC//fucK//folM//rrrD//
rfbACX	opgE//rsmG//gltD//sthA//
rfbBDACX	sthA//cmoB//ppk//queC//prpC//atoD//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	yicI//idnK//mog//insI-2//yfaU//tmk//hisF//serA//yqjH//
rhaBAD	narY//puuA//ulaE//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	aroH//prpE//cysS//
ribF_ileS_lspA_fkpB_ispH	metH//rsmE//csdA//ilvM//cysI//
rimK_ybjN	sdhC//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	gcvP//astB//betB//avtA//argS//metA//ampD//acpS//talA//waaF//
rlmE_ftsH	ynfF//tsaE//
rlmL_uup	moeB//
rluD_yfiH	deoB//cfa//
rluE_nudJ	rfe//nudK//
rnc_era	citC//
rnc_era_recO_pdxJ_acpS	thiK//dam//pykA//glmU//
rnlAB	bglX//
rnt_lhr	aroE//
rpe_gph_trpS	ybdL//queD//bioA//
rph_pyrE	hflX//rlmE//
rpiR_alsBACE	ansA//fcl//
rplJL_rpoBC	glk//
rplKAJL_rpoBC	epmB//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	waaB//
rpmF_plsX_fabHDG	lgoD//ispF//fadI//
rpmH_rnpA	paaI//fre//
rpmI_rplT	
rpoBC	malS//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	yagF//rbsK//idnK//
rppH_ptsP	wecB//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	tpiA//
rpsO_pnp	prpB//bfr//
rpsP_rimM_trmD_rplS	lsrG//
rpsU_dnaG_rpoD	cof//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	pykF//acpS//
rsmA_apaGH	ynfG//ilvG_1//
rsmD_yhhL	caiA//
rsmE_gshB	pphA//lpxH//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	pabA//fsaA//pgm//nudJ//folA//cmk//glpA//uvrB//nadD//ldcA//aroE//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	hemD//
rtcBA	pheS//rsmE//
rutABCDEFG	solA//ynfE//lpxD//nadC//polA//truB//
ruvAB	aroD//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	phnN//
scpA_argK_scpBC	waaH//queD//menA//ligB//
sdaCB	thrS//gluQ//
sdhCDAB_sucABCD	puuA//rsmC//yagE//pabA//
sdhDAB	
sdhE_cptA	
secB_gpsA	betB//
secE_nusG	
secG_leuU	
secMA_mutT	glcF//
selAB	lyxK//moaD//
selD_topB	murE//psd//
seqA_pgm	kdsB//
serB_radA	bioA//
serC_aroA	argB//zwf//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	sdaA//
sgrST_setA	truD//
skp_lpxD_fabZ_lpxA	caiC//yjcS//ilvA//
slp_dctR	
solA_yceO	fsaA//
speAB	nirB//dapF//
speF_potE	kefF//glpE//
srlAEBD_gutM_srlR_gutQ	gloB//tehB//gutQ//
sroG_ribB	ispA//
sspAB	
ssrS_fau	ynjE//
ssuEADCB	hemH//yeiR//puuB//
stfE_tfaE	
sucAB	gshB//umpH//gcvP//
sucABCD	xdhC//sucD//proC//ampH//
sufABCDSE	menI//
surA_pdxA_rsmA_apaGH	ligA//murB//lgoD//lsrF//
tag_yiaC	hcaD//
talA_tktB	sgbH//dusA//
tamAB_ytfP	
tar_tap_cheRBYZ	asd//frdB//
tatABC	fabI//
tatABCD	manA//epmA//
tauABCD	rihC//murB//
tdcABCDEFG	aceA//yneH//folM//gpsA//gstA//
tdcBCDEFG	adk//panE//lpxC//hemA//epmB//
tehAB	fabI//alkA//
tesA_ybbO	suhB//solA//
tff_rpsB_tsf	
tgt_yajC	thrS//
thiCEFSGH	mtgA//pspE//trpA//prmC//sucB//
thiMD	pyrB//maeA//
thrLABC	tcdA//ygjK//nemA//
thrS_infC	dkgA//
thrS_infC_rpmI_rplT_pheMST_ihfA	entA//sucB//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	nudK//yhhW//
tolB_pal_cpoB	
tolC_ygiABC	fucA//cof//mepS//aroD//gpsA//thrA//waaA//rlmF//purF//
tomB_hha	
topAI_yjhQ	
torCAD	csdA//
torYZ	dusA//
treBC	folK//dusC//
trmI_yggL	ubiG//
trpCBA	astA//pinE//moeA//edd//
trpLEDCBA	lpxL//sucA//menF//hisB//codA//ldtB//
tsaB_yeaY	gatY//
tsaE_amiB_mutL_miaA_hfq_hflXKC	wcaJ//ribC//dcyD//nrfA//ogt//
ttdABT	fkpB//uxuB//
tyrS_pdxY	ampH//tam//
tyrTV_tpr	
tyrV_tpr	
ubiCA	rsmG//slt//
ubiEJB	rluF//
udk_dcd	rfbB//phoA//
ugpBAECQ	puuC//ulaD//
uhpABC	
uidABC	rsmJ//gcd//
ulaABCDEF	trpD//wcaJ//mhpF//pgm//
umpG_pcm	nemA//proS//
umuDC	yigL//
uof_fur	
upp_uraA	pncB//aslA//
usg_truA_dedA	dam//
uvrYC	tdcD//
uxaCA	mmuM//yjiA//
uxuAB	phnP//adiA//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	folM//preA//
waaQGPSBOJYZU	mrcB//gudD//ndk//suhB//kdsD//gabD//codA//ilvA//idnD//pyrC//
waaYZ	lpcA//adk//
waaZU	tdcD//rsmB//
wbbIJK	pgpC//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	qor//gpmM//cdh//mngB//pgm//ribF//
wcaKLM	
wrbA_yccJ	dmsA//
wza_wzb_wzc	tauD//solA//
wza_wzb_wzc_wcaAB	argK//caiC//
xanQ_guaD_ghxQ	mutY//hemB//pflB//
xapAB	murI//dgcZ//
xdhABC	lipA//
xerD_dsbC_recJ	ppiA//dapD//
xseB_ispA_dxs_yajO	wecB//patA//pyrD//asnS//
xylAB	cobS//gdhA//
xylFGHR	panE//
yabPQ	
yacC_speED	cobU//nrfA//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	purE//
yafDE	
yafNOP	hypB//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	argC//ppk//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	recJ//
ybaB_recR	purD//
ybaST	preA//
ybbAP	
ybbY_glxK	metA//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	pgpB//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	serC//
ybeZY	
ybeZYX_lnt	gntK//
ybfHG	
ybfOC	
ybgA_phr	caiC//
ybgC_tolQRA	
ybgIJKL_nei	glxR//
ybgQPO	
ybhP_clsB_ybhN	clsC//
ybiYW	
ybjC_nfsA_rimK_ybjN	sgbU//mgsA//
ybjJI	yeaG//
ybjO_rlmC	mutS//
ybjQ_amiD	dnaE//
ycaI_msbA_lpxK_ycaQ	fabD//mltD//
ycaR_kdsB	ulaG//
ycbK_gloC	aceA//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	suhB//
yciCB	
yciGFE	
yciK_btuR	pabB//
yciVOQ	dapA//
yciZT	
ycjMNOPQRSTUV_ymjB	trmI//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	gpt//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	dusB//trmH//
ydcSTUV_patD	phnN//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	phnM//
ydgK_rsxABCDGE_nth	rluA//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	murQ//metC//
ydiJ_menI_ydiH	ubiH//
ydiNB_aroD	hisD//paoC//
ydiQRST_fadK	spoT//
ydjA_selD_topB	nrfC//nemA//
ydjLKJIHG	dgoD//
ydjXYZ_ynjABCD	
yeaGH	tesA//
yeaR_yoaG	
yeaVW	
yebC_ruvC	glmU//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	alkB//hisI//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	ispH//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	yjcS//hyi//
yejABEF	thrS//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	icd//
yfaX_rhmD	
yfaX_rhmD_yfaVU	lysC//
yfbUT	mmuM//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
