#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	pinH//
ampDE	b1373//yghX_1//
ampG	b3526//
ampH	b2521//
amyA	b3205//
anmK	b0342//
ansA-pncA	b3562//b0323//
ansB	b1215//
ansP	b2740//
apaGH	b0485//C0614//
aphA	b3064//
appA	b0955//
appCBXA	b0449//b4014//b3446//b2218//
appY	b4166//
apt	b0440//
aqpZ	b0659//
araBAD	b4292//b2038//b2224//
araC	b3242//
araE	b2892//
araE-ygeA	b0090//b1610//
araFGH	b2229//b1976//b0202//
araJ	b2321//
arcA	b1029//
arcB	b3066//
arcZ	b1449//
arfA	b4465//
argA	b4056//
argCBH	b4177//b2683//b0597//
argD	b2921//
argE	b2124//
argF	b0084//
argG	b4421//
argI	b2586//
argO	b1719//
argP	b2606//
argQ	b1398//
argR	b2967//
argS	b4707//
argT-hisJQMP	b4074//b1057//b0387//b1002//b1111//
argU	b1879//
argW	b0554//
argX-hisR-leuT-proM	b0760//b0776//b0666//b1024//
ariR	b2446//
arnBCADTEF	b3659//b3194//b1914//b0597//b4408//b2745//b1591//
aroF-tyrA	b1379//ybfH//
aroG	b2396//
aroH	yhiK//
aroKB-damX-dam-rpe-gph-trpS	b2806//b0680//b3776//b3219//b2453//b1534//b0269//
aroL-yaiA-aroM	b3189//b3215//b0392//
aroP	b2860//
arpA	b2222//
arpB_1B_2	b2172//b4158//
arrS	b4313//
arsRBC	b2477//b4300//yrhC//
artJ	b0879//
artPIQM	b2637//b1670//b0939//b0791//
ascB	b3796//
ascFB	b2725//b3640//
ascG	b4267//
asd	b0960//
aslA	b1375//
aslB	b0246//
asmA	b1643//
asnA	b3719//
asnB	b2736//
asnC	b3378//
asnC-mioC	b1298//b1383//
asnC-mioC-mnmG	b3964//ygeN//b2799//
asnS	b3866//
asnT	b0456//
asnU	b2095//
asnV	b2314//
asnW	b0753//
aspA	b2632//
aspA-dcuA	b4111//b2480//
aspC	b1184//
aspS	b0782//
aspT	b0946//
aspU	b2902//
aspV	b3880//
asr	b3259//
astCADBE	b0596//b1244//b1477//b0592//b3129//
atl	b2835//
atoDAEB	b2748//b3870//b0979//b4328//
atoSC	b2663//b2190//
atpBEFHAGDC	b1594//b3037//b2878//b1360//b3498//b4273//b1566//b0531//
atpIBEFHAGDC	b3339//b4707//b0334//b4387//b4453//b1373//b0752//b0910//b1862//
avtA	b3710//
azoR	b1050//
azuC	b4147//
bacA	b1235//
baeSR	b1890//b3070//
bamA	b3289//
bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE	b3866//b3287//b2252//b3947//b3101//b0811//b3333//b2965//
bamB-der	b1325//b0995//
bamC	b4027//
bamD	b1949//
bamE	b0651//
barA	b1371//
basRS	b1825//b3478//
bax	b2309//
bcp	insCD-6//
bcr	b2435//
bcsABZC	b3826//b0341//b2702//b1894//
bcsBZ	b0560//b2081//
bcsEFG	b4537//b2204//b3868//
bcsQ	b3075//
bdcA	b0713//
bdcR	b3182//
bdm-sra	b1363//b4293//
bepA-yfgD	b2243//b1386//
betIBA	b4624//b1296//b3911//
betT	b0677//
bfd-bfr	b2038//b0812//
bglA	b3708//
bglG	b1189//
bglGFB	b2075//b2514//b0857//
bglH-yieLK	b2519//b1672//b2967//
bglX	b4376//
bhsA	b1454//
bioA	b0455//
bioBFCD	b2319//b4051//b3600//b0492//
bioH	b0059//
bipA	b1756//
bisC	b4024//
blc	b3900//
blr	b1207//
bluF	b2006//
bluR	b4340//
bolA	b1546//
borD	b4026//
brnQ-proY	b0813//b0459//
bsmA	b2287//
bssR	b1009//
bssS	b1244//
btuB-murI	b3922//b4567//
btuCED	b1230//b1630//b1294//
cadA	b1653//
cadBA	b4277//b2370//
cadC	b3971//
caiCDE	b2427//b1567//b1271//
caiF	b1570//
caiTABCDE	b3098//b2743//b3324//b2489//b3934//b4100//
can	b4177//
carAB	b1463//b2831//
carB	b4458//
cas2	b2912//
cas3	b3857//
casABCDE12	b0760//b2874//b1296//b4309//b0270//b0975//b4550//
casDE12	b3546//b0082//b0142//b1206//
cbl	b1109//
cbpAM	b2762//b1392//
cbrA	b0803//
cbrB	b3221//
cbrBC	b0074//b1314//
cbrC	b3661//
ccmABCDEFGH	b3529//b1671//b4066//b4460//b3811//b1694//b1464//b3609//
cdaR	b1659//
cdd	b3883//
cdgI	b0882//
cdh	b1191//
cdsA	b0050//
cecR-ybhGFSR	b1316//b2374//b0630//b0082//b1722//
cedA	b1003//
cfa	b4296//
chaA	b2424//
chaBC	b2667//b4381//
chaC	b1944//
chbBCARFG	b1567//b0353//b1799//b3057//b2300//b2530//
chiA	b4108//
chiP-ybfN	b2362//b2831//
chiX	b0908//
cho	b1490//
chpSB	yrhC//b0284//
cirA	b0556//
citCDEFXG	b2326//b0817//b3303//b3870//b3269//b1635//
citT	b0535//
clcA	b1164//
clcB	b1952//
clpA	b1817//
clpB	b0556//
clpPX	b0427//arpB_1//
clpS	b2958//
clpX-lon	b0259//b0394//
clsA-yciU	b4003//b2577//
clsC	C0614//
cmk-rpsA	b1146//b3918//
cmoM-mukFEB	b2514//b1754//b4114//b1640//
cmtBA-yggPFDC	b2666//b2226//b2472//b1053//b2758//b2089//
cnu	b3142//
coaA	b1801//
coaE-zapD-yacG	b3410//b3781//b0355//
cobUST	b0208//b3444//b2218//
codBA	b1844//b4546//
cof	b1868//
comR	b0350//
copA	b0965//
corA	b1003//
cpdB	b2082//
cpxPQ	b4257//b0360//
cpxRA	b3129//b1546//
cra	b3417//
crcB	b2114//
creABC	b3534//b1556//b3649//
creABCD	b1258//b2545//b2212//b2820//
creD	b3035//
crfC-yjcZ	b3255//b4209//
crl	b1069//
crp	b2500//
crr	b0279//
csdAE	b1815//b3923//
csgBAC	b2304//b2470//b0196//
csgC	b1237//
csgDEFG	b1992//b3601//b3540//insAB-6//
csiD-lhgO-gabDTP	b2226//b2921//b3903//b1534//b1652//
csiE	b2467//
csiR	b4367//
cspA	b1600//
cspB	b1742//
cspD	b3280//
cspE	b1981//
cspF	b1283//
cspG	b3157//
cspH	b3453//
cspI	b3736//
csrA	b0753//
csrB	b2647//
csrC	b2108//
csrD	b0425//
cstA	b2916//
cueO	b1274//
cueR	b0740//
curA	b0598//
cusCFBA	b1475//b1265//b3927//b4304//
cusRS	b1397//b0435//
cutA	b1103//
cvpA-purF-ubiX	b1752//b4049//b3615//
cvrA	b2967//
cyaA	b0492//
cyaR	b1255//
cyaY	b4169//
cybB	b1600//
cybC	b3173//
cycA	b1942//
cydAB	b2538//b2538//
cydDC	b1133//b0602//
cydX-ybgE	b2129//b3654//
cynR	b1568//
cynTS	b1596//b3702//
cynTSX	b2233//b0677//b4176//
cyoABCDE	b1912//b0647//b1217//b3559//b1047//
cysB	b0438//
cysDNC	b2557//b4017//b3885//
cysE	b1817//
cysG	b1065//
cysH	b4328//
cysJIH	b2471//b0012//b2410//
cysK	b1192//
cysPUWAM	b1276//b1434//b1271//b0922//b0739//
cysQ	b3721//
cysS	b0276//
cysZ	b0475//
cytR	b0514//
dacA	b1255//
dacB	b3161//
dacC	b0657//
dacD	yedS_3//
dadAX	b2510//b2189//
dam-rpe-gph-trpS	b3353//b1482//b3788//b1251//
damX-dam-rpe-gph-trpS	b1327//b0459//b0098//b3499//b2523//
dapA-bamC	b4504//b3561//
dapB	b0180//
dapD	b0074//
dapE-ypfN	b2110//b3434//
dauA	b0570//
dcd	b4044//
dcm-vsr	b0335//b2327//
dcp	b2770//
dcrB	b3592//
dctA	b2895//
dcuA	b1280//
dcuB-fumB	b3531//b2375//
dcuC	b1440//
dcuD	b3095//
dcuR	b0273//
dcuSR	b2525//b3449//
dcyD-tcyLN	b0895//b2860//b4312//
ddlA	b2422//
ddpXABCDF	b2322//b2186//ilvG_1//b0257//b4006//b4544//
deaD	b0502//
decR	b2147//
def-fmt	b4608//b3615//
degP	b2569//
degQ	b3789//
degQS	b1986//b2118//
degS	b2787//
deoABD	b2132//b2473//b0261//
deoBD	b0201//b2392//
deoCABD	b2465//b1391//b3206//b1586//
deoR	b3387//
dfp	b2849//
dgcC	ybfG//
dgcE	b2812//
dgcF	b0535//
dgcJ	b1787//
dgcM	b2332//
dgcP	b3266//
dgcQ	b3813//
dgcT	b4055//
dgcZ	b0561//
dgkA	b2327//
dgoRKADT	b2945//b2236//b2891//b4143//b1707//
dgt	b0228//
dhaKLM	b0971//b2387//b1634//
dhaM	b0773//
dhaR	b1363//
diaA	ychE_1//
dicA	b1011//
dicB-ydfDE-insD-intQ	b2582//b1470//b1492//b1506//b3219//
dicC-ydfXW	b2833//b1274//b1309//
dicF	b1843//
dinB-yafNOP	b4525//b4241//b3302//b1563//
dinD	b1045//
dinG	b2307//
dinI	b1967//
dinJ-yafQ	b0648//b1509//
dinQ	b1194//
djlA	b2753//
dkgA	b3105//
dkgB	b2687//
dksA-gluQ	b2528//b2951//
dld	b0157//
dmlA	b2351//
dmlR	b2598//
dmsABC	b2136//b1685//b2179//
dnaAN-recF	b4290//b1204//b1065//
dnaB	b3746//
dnaK-tpke11-dnaJ	b2398//b2543//b0873//
dnaN-recF	b2348//b1875//
dnaQ	b0138//
dnaTC	b3472//b2730//
dnaTC-yjjA	b3986//b2340//b1937//
dnaX	b3199//
dosCP	b0923//b4670//
dpiBA	b3238//ygaQ//
dppABCDF	b2766//b2171//b2256//b3178//b1368//
dps	b3995//
dsbA	b3605//
dsbB	b3525//
dsbC	b0641//
dsbC-recJ-prfB	b0563//b1111//b0428//
dsbD-yjdC	b3008//b2186//
dsbG	b3025//
dsdA	b2019//
dsdC	b3054//
dsdXA	b1951//b1700//
dsrA	b1399//
dsrB	b1289//
dtpA	b0853//
dtpB	b1338//
dtpC	b1958//
dtpD	b1202//
dusA	b1502//
dusB-fis	b2382//b4446//
dusC	b1947//
dut-slmA	b1810//b3252//
dxr	b1623//
eaeH-insEF-1E-1F-1	b1504//b2200//b3221//b4145//
eamA	b0651//
eamB	b3320//
ebgAC	b3075//b1402//
ebgR	b1551//
ecnAB	b1394//b1792//
ecnB	b2092//
eco	b0976//
ecpA	b1045//
ecpBCDE	b0978//b1876//b2914//b0820//
ecpR	b4364//
eda	b2693//
edd-eda	b2085//b3305//
efeOB	b0881//b3451//
efeU_1U_2	b0879//tpke70//
efp	b3280//
elaA	b0234//
elaB	b4043//
elaD	b1920//
elbB-mtgA	b2749//b2644//
elfA	b1330//
elfDCG-ycbUVF	b1941//yafF//b4199//b4205//b1970//b4322//
elyC	b4222//
emrD	b2268//
emrE	b2290//
emrKY	b1082//b2319//
emtA	b4101//
endA	b2605//
eno	b0746//
entCEBAH	b2321//b0534//b0116//b3591//b2413//
entH	b1613//
entS	ykfJ//
envR	b2345//
envY-ompT	b2476//b4330//
epd-pgk	b1696//b1295//
epd-pgk-fbaA	b0889//b2634//b2998//
epmA	b0123//
epmB	b2368//
eptA	b2230//
eptB	b4307//
eptC	b1356//
erpA	b1088//
esrE	b2343//
essD-rrrD-rzpD	b2069//b1953//b0974//
essQ-ydfR-rrrQ-rzpQ	b4029//b4522//b2464//b3346//
ettA	b2423//
eutBCLKR	b1254//b0484//b0031//b1337//b1656//
eutHA	b0615//b3065//
eutNEJG	b3973//b0863//b0736//b3275//
eutSPQTDM	b4099//b2339//b1262//b1369//b1978//b3686//
evgAS	b0985//b2589//
exbBD	b1412//b0312//
exbD	b1426//
exuR	b3172//
exuT	b1045//
fabA	b2307//
fabB	b0765//
fabDG-acpP	b4146//b3268//b0657//
fabF	b4637//
fabG-acpP	b1861//b1076//
fabHDG	b4115//b3535//b4349//
fabI	b1938//
fabR-yijD	b1334//b3512//
fabZ	b3558//
fadBA	b0307//b1800//
fadD-sroD	b0854//b3402//
fadE	b3809//
fadH	b3072//
fadIJ	b2509//b0778//
fadL	b2763//
fadM	b3102//
fadR	b3305//
fbaB	b1041//
fbp	b4249//
fdhD	b4006//
fdhF	b1953//
fdnGHI	b1919//yjhW//istR-1//
fdoGHI-fdhE	b4380//b3384//b1546//b4063//
fdrA-ylbEF-ybcF	b3858//b1754//b2626//b0099//
feaB	b1424//
feaR	maoP//
fecABCDE	b0367//b0908//b0211//b4670//b3239//
fecIR	b0214//b2077//
feoABC	b1450//b4279//b1766//
feoC	b1926//
fepA-entD	b1783//b0408//
fepB	b3820//
fepDGC	b2579//b0576//b3734//
fes-ybdZ-entF-fepE	b2330//b1249//b1076//b2136//
fetAB	b3150//b1407//
ffh	b0947//
ffs	b0752//
fhuACDB	b2812//b0514//b2980//b3251//
fhuE	b0058//
fhuF	b2041//
ficA-fic-pabA	b0694//b4512//b3669//
fieF	b3733//
fimAICDFGH	b0627//b3601//b2362//b3598//b4258//b3473//b2545//
fimB	b0022//
fimE	b2991//
fimZ	b2065//
fiu	b0265//
fixABCX	b4243//b3669//b0223//b1275//
fklB	ybeM_2//
fkpA	b0738//
fldA-uof-fur	b2712//b4084//b1483//
fldB	b2866//
flgAMN	molR_1//b3728//b1757//
flgBCDEFGHIJ	b4374//b0577//b4310//b0030//b0409//b0574//b3988//b2946//b3425//
flgKL	b1222//b3690//
flgMN	b1845//ygaQ//
flhBAE	b0215//b1341//b2184//
flhDC	b1058//insEF-2//
fliAZ-tcyJ	b0161//b1668//b2597//
fliC	b3545//
fliDST	b2589//b1303//b3139//
fliE	b0109//
fliFGHIJK	b1142//b3026//b2835//b3355//b3980//b3297//
fliLMNOPQR	b2543//b2037//b2044//b3826//b4174//b4241//b1631//
flk	b0155//
flu	b2421//
flxA	b2077//
fnr	b1315//
fnrS	b1487//
focA-pflB	b1642//b1477//
folA	b1927//
folB	b2499//
folC-dedD	b1198//b3716//
folD-ybcJ	b1850//b4215//
folE-yeiB	b2365//b3498//
folP-glmM	b0737//b2024//
folX-yfcH	b0740//b2443//
fpr	ypaA//
frc	b1845//
frdABCD	b3325//b4360//b2504//b2953//
fre	b0854//
frlABCDR	b0688//b3444//b1650//b4125//b1713//
frmRAB	b0160//b1009//b3314//
frr	b1524//
frsA	b2176//
fruBKA	yedS_2//b4413//b4180//
frvABXR	b0872//b4513//b2473//b0430//
frwCB	b3919//b0781//
frwD	b0411//
fryBC-ypdFE-fryA	ychE_1//b0981//b2990//b2577//b2234//
fsaA	b0303//
fsr	b0428//
ftnA	b2199//
ftnB	b0496//
ftp	b4093//
ftsAZ	b2669//b2636//
ftsB	b1290//
ftsK	b4518//
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b1206//b2610//b1813//b2421//b2513//b1813//b1583//b2215//b3492//b1768//b2784//b3083//b1484//b1423//
ftsP	b2218//
ftsQ	b2952//
ftsQAZ	b2723//b1206//b0397//
ftsYEX	b2349//b1167//b2900//
ftsZ	b1580//
fucAO	b3213//b4257//
fucPIKUR	b2890//b2640//b2745//b2668//b0323//
fucR	b2316//
fumA	b1090//
fumAC	b2390//b2151//
fumB	b1237//
fumC	b1778//
fur	b2870//
fusA-tufA	b1411//b3900//
fxsA	b3521//
gabDTP	b4277//b0263//b1016//
gadAX	b2128//b0748//
gadBC	b1653//b3671//
gadC	b2103//
gadEF	b3091//b0946//
gadEF-mdtEF	b2082//b2468//b4341//b2765//
gadW	b4107//
gadX	b3869//
gadXW	b2749//b4319//
gadY	b1472//
galE	b4013//
galET	b2668//b2312//
galETK	b1481//b4399//b4326//
galETKM	b2605//b3555//b4283//b0035//
galF	b2382//
galK	b1135//
galP	b1197//
galR	b1224//
galS	b0054//
galU	b0686//
gapA	b4318//
gapA-yeaD	b4662//b2023//
gapC_1C_2	b0007//b2468//
garD	b1000//
garPLRK-rnpB	b0448//b2518//b2114//b3425//b0873//
gatR_1	b0682//
gatR_2	b0587//
gatYZABCD	b1957//b3304//b2199//b0542//b1597//b0275//
gatZABCD	b2260//b0889//b3348//b0143//b3429//
gcd	b2072//
gcl-hyi-glxR-ybbW-allB-ybbY-glxK	b0064//b0867//b0252//b0477//b2096//b1103//b1624//
gcvA	b1738//
gcvB	b1454//
gcvP	b2675//
gcvR	b3338//
gcvTHP	b4212//b1439//b1666//
gdhA	b1787//
gfcA	b0799//
gfcBCD	b4001//b0499//b2467//
gfcE-etp-etk	b0006//b0185//b0187//
ggt	b2905//
ghoST	b3301//b0264//
ghrA	b3718//
ghrB	b4030//
ghxP	b4421//
glcBA	b4685//b3765//
glcC	b3853//
glcDEFGBA	b3189//b4345//b1871//b2916//b1657//b2970//
glf-wbbH	b0931//b0246//
glgAP	b4375//b4012//
glgBXCAP	b4523//b2908//b2579//b2524//b3267//
glgCAP	b1875//b1460//b2105//
glgS	b3417//
glk	b0897//
glmUS	b1043//b0965//
glmY	b2934//
glmZ	b1309//
glnA	b2764//
glnALG	b1053//b0225//b0458//
glnB	b1263//
glnD	b0067//
glnHPQ	b1772//b1768//b1828//
glnK-amtB	b3390//b3608//
glnLG	b0662//b3335//
glnQ	b3369//
glnS	b0162//
glnW-metU-glnVX	b0995//b1738//b1393//b3072//
gloA	b1039//
gloB	b3064//
glpABC	b4320//b0693//b4227//
glpD	b1225//
glpEGR	b3083//b1311//b1224//
glpFKX	b3646//b4358//b3956//
glpGR	b1665//b3479//
glpR	b2265//
glpTQ	b2174//b3428//
glrK	b4434//
glrR	b3181//
glrR-glnB	b0760//b3417//
gltA	b4391//
gltBDF	yncK_1//yjhW//b4381//
gltI-sroC-gltJKL	sraA//b2944//b4326//b3276//b1822//
gltP	b1855//
gltS	b3059//
gltX	b0351//
glvCBG-ysdC	ficA//b4334//b1517//b0033//
glxK	b1851//
glyA	b3316//
glyQS	b0050//b3303//
glyU	b3955//
glyVXY	b2878//b4225//b0922//
glyW-cysT-leuZ-3'ETS<sup><i>leuZ</i></sup>	b2470//b3433//b1340//b4511//
gmhB	b1875//
gmk	b2644//
gnd	b1827//
gnsB	b3954//
gntK	b4365//
gntKU	b3197//b3862//
gntP	b4370//
gntR	b0597//
gntRKU	b4465//b2162//b3283//
gntT	b0652//
gntU	b3310//
gntX-nfuA	b0072//b3017//
gor	b2994//
gpmA	b3602//
gpmM-envC-yibQ	b1548//b1198//b1329//
gpp	b4704//
gpr	b0712//
gpt	b3062//
grcA	b1809//
greA	b4150//
greB	b0102//
groL	b0312//
groSL	b2193//b0343//
grpE	b0881//
grxA	b0265//
grxB	b3183//
grxC	b4312//
grxD	b0058//
gshA	yjgX_3//
gsk	b2027//
gspAB	b3722//b4417//
gspCDEFGHIJKLMO	b3136//b2963//b2267//b0750//b2874//b2365//b2778//b3964//b1259//b0091//b4545//b4046//
gss	b2014//
gstA	b3563//
gstB	b4358//
guaBA	b2847//b1522//
guaC	b2332//
gudPXD	b1213//b3317//b4098//
gyrA	b3365//
gyrB	b2014//
hcaEFCBD	b4673//b4606//b0548//b1904//b4378//
hcaR	b4482//
hcaT	b1488//
hchA	b3706//
hcp-hcr	b0337//b2764//
hda	b2158//
hdeAB-yhiD	b3060//b1209//b1672//
hdeD	b1373//
hdfR	b0817//
hdhA	b1595//
helD	b0613//
hemA	b2452//
hemA-prfA-prmC	b2557//b0051//b0951//
hemB	b0890//
hemCDXY	b1369//b0778//b3344//b0369//
hemF	b3376//
hemH	b1751//
hemL	b2787//
hemN	b0948//
hflD-purB	b1459//b0974//
hfq-hflXKC	b0044//b0449//b0861//b4477//
hicAB	b0855//b4085//
higBA	b3932//b2136//
hinT-ycfL-lpoB-thiK-nagZ-ycfP	b0372//b2204//b2151//b3495//b1868//b0650//
hipBA	b3094//ychE_2//
hisBHAFI	b3120//b0030//b1321//b2668//ycgH_2//
hisJQMP	b1218//b0057//b1289//b2060//
hisL	b3778//
hisLGDCBHAFI	b3047//b0256//b3750//b0606//b0204//b1776//b1124//b1994//b1582//
hisS	b3006//
hlyE	b3991//
hmp	b2707//
hns	b0849//
hofMNOP	b0250//b3953//b2130//b0163//
hofQ	b3147//
hokA	b1180//
hokB	b2862//
hokD	b3275//
hokE	b2550//
holC	b1892//
holC-valS	b0032//b3006//
holD-rimI-yjjG	b0421//b1881//b3603//
holE	b2218//
hpt	b2577//
hrpA	b4158//
hrpB	b0831//
hscBA-fdx-iscX	b3876//b3943//b0396//b2824//
hscC	b3041//
hsdMS	b2130//b3906//
hsdRMS	b3048//b2102//b0176//
hslJ	b0944//
hslO	b3912//
hslRO	b0198//b2064//
hslVU	yfaS_1//b1503//
hspQ	b2665//
htgA	b0231//
htpG	b2995//
htpX	b3628//
htrL	b0134//
hupA	b2792//
hupB	b3463//
hyaABCDEF	b4350//b0781//b2208//b3216//b2890//b3831//
hybOABCDEFG	b0363//b1159//b0911//b3852//b3492//b2293//b3623//b4064//
hycABCDEFGHI	b2039//b2547//b1101//b0906//b3541//b0178//b3400//b1866//b0085//
hydN-hypF	b3075//b3585//
hyfABCDEFGHIJR-focB	b4506//b1833//b0121//b1260//b3752//b2605//b1155//gadF//pbl//b3191//b3680//b2665//
hypABCDE	b1968//b3477//b0428//b4080//b0441//
hypABCDE-fhlA	b0420//b2965//b1542//b2637//b3042//b1482//
hypBCDE	b4099//b2666//b4298//b2013//
hypBCDE-fhlA	b1334//b2761//b1604//b4673//b3043//
hypF	b3707//
hypT	b1823//
hyuA	b3337//
iaaA-gsiABCD	b3576//b2340//b2262//b2439//insCD-2//
iap	b2668//
ibaG	b2879//
ibaG-murA	b0495//b3014//
ibpAB	b3816//b1251//
ibpB	b4527//
icd	b0128//
icdC	b1697//
iclR	b0907//
idi	b3756//
idnDOTR	b2390//b0572//b3153//b4088//
idnK	b1427//
idnR	b3315//
ihfA	yjiV//
ihfB	b2212//
ileS-lspA-fkpB-ispH	b2936//b3511//b3101//b3116//
ileX	b3318//
ileY	b4382//
ilvA	b4523//
ilvC	b3559//
ilvEDA	b0629//b2153//b4035//
ilvIH	b0549//b1835//
ilvL	b2331//
ilvLXG_1G_2MEDA	b3110//b1756//b2774//b1928//b3955//b1858//b0545//b3371//
ilvY	b0391//
inaA	b1144//
infA	b2112//
infC	b2458//
infC-rpmI-rplT	b3582//b3090//b2715//
insA-1AB-1B-1	b3702//b0041//b0812//
insA-2AB-2B-2-afuBC	b0561//b3859//b2156//b2307//b0361//
insA-3AB-3B-3	b3448//insCD-6//b3861//
insA-4AB-4B-4	b0104//b3586//b3268//
insA-5AB-5B-5	b0425//b1787//b2096//
insA-7	b2563//
insB-7_1B-7_2	b2771//b3636//
insC-1CD-1D-1	b4408//b0287//b0045//
insC-2CD-2D-2	b0252//b0403//b4083//
insC-3CD-3D-3	b3091//b3357//b0918//
insC-4CD-4D-4-ygeONM	b1717//b3234//b2147//b2078//b2839//b3462//
insC-5CD-5D-5-yqiGHI	b2666//b1082//b2245//b0469//b1914//b3014//
insC-6CD-6D-6	b3114//b0937//b0548//
insE-2EF-2F-2	b1382//b3179//b3656//
insE-3EF-3F-3	b0098//b0065//b3397//
insE-4EF-4F-4	b2240//b3230//b2701//
insE-5EF-5F-5	b0411//b3459//b0116//
insG	b4125//
insH-1	b1535//
insH-10	b0243//
insH-11	b3460//
insH-2	b3022//
insH-3	b2023//
insH-4	b2722//
insH-5	b3529//
insH-6	b1646//
insH-7	b2683//
insH-8	b2346//
insH-9	b3797//
insI-2	b3019//
insJ	b0856//
insK	b1877//
insL-1	b3118//
insL-2	b0560//
insL-3	b3783//
insMI-3	b3185//b2786//
insN-1I-1O-1	b2506//b3616//b1286//
insN-2	b2309//
insO-2-yjhWV	b3207//b0865//b3836//
intA	b3094//
intB	b2479//
intD	b0499//
intF	b2883//
intG	b0637//
intS	b1093//
intZ	b0419//
iraD	b1626//
iraM	b0067//
iraP	b1049//
iscRSUA	b2344//b1077//b1483//b4381//
ispB	b2164//
ispDF	b0650//yifN//
ispG-sroE	b0825//b0647//
ispU	b2527//
isrB	b2112//
isrC	b1182//
isrC-flu	b3759//b0551//
istR-1	b3891//
istR-2	b2492//
ivbL	b3861//
ivbL-ilvBN	b1646//b3367//b1234//
ivbL-ilvBN-uhpABC	b1020//b4134//b1459//b1053//b0007//b3381//
ivy	b3505//
katE	b3465//
katG	b1055//
kbaZ-agaVWA	b2029//b2532//b0497//b2888//
kbl-tdh	b0808//b0324//
kbp	b1536//
kch	b1670//
kdgK	b0420//
kdgR	b1409//
kdgT	b0985//
kdpDE	b2783//b0630//
kdpFABC	b0060//b0382//b1027//b2874//
kdsA	b2746//
kdsC-lptCAB	b2170//b3591//b1726//b2927//
kduD	b3434//
kduI	b1053//
kefFC	b4520//b0497//
kefGB-yheV	b4036//b1691//b2660//
kgtP	b3104//
kilR-ydaE	b3899//b4106//
kptA	b0346//
kup	b4340//
lacI	b2112//
lacYA	b1510//b3646//
lacZYA	b1450//b1960//b0813//
lafU	b2620//
lapAB	b2768//b0717//
lapAB-pyrF-yciH	b3800//b0636//b2434//b2491//
ldcA	b0133//
ldcC	b4149//
ldhA	b0636//
ldrA	b0390//
ldrB	b2361//
ldrC	b1125//
ldrD	b0253//
ldtA	b1421//
ldtB	intG//
ldtC	b1128//
ldtD	b3243//
ldtE	b2501//
lepAB	b2438//b0859//
leuE	b2362//
leuL	b2317//
leuLABCD	C0664//b0053//b1758//b3566//b1540//
leuO	b1770//
leuQPV	b2809//b0610//b2259//
leuS-lptE-holA-nadD-cobC	b2945//b4197//b3654//b1834//b2271//
leuU	b0465//
leuX	b0480//
lexA-dinF	insAB-4//b4166//
lfhA	b2039//
lgoD	b3304//
lgoR	b1517//
lgoT	b1796//
lgt	b4423//
lgt-thyA	b3300//b1473//
lhr	b0653//
ligA-ypeB	b1292//b0912//
ligB	b3919//
lipA	b4351//
lipB	b2621//
lit	ilvG_1//
