# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	narH//
dnaAN_recF	pdxA//
dnaK_tpke11_dnaJ	deoA//
dnaN_recF	patZ//
dnaTC	
dnaTC_yjjA	
dosCP	rluB//ldtB//
dpiBA	
dppABCDF	cysH//
dsbC_recJ_prfB	ppiA//nrdD//
dsbD_yjdC	
dsdXA	gapA//rffM//
dusB_fis	rlmE//
dut_slmA	umpH//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	nudJ//cyoE//
efeOB	argE//
efeU_1U_2	
elbB_mtgA	ubiF//
elfDCG_ycbUVF	
emrKY	dgcC//
entCEBAH	btuR//nanE//ubiF//ribE//gloB//rsuA//
envY_ompT	panC//
epd_pgk	hcaE//dcd//
epd_pgk_fbaA	patD//tyrA//dgcZ//
essD_rrrD_rzpD	wcaJ//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	rfbB//
eutHA	
eutNEJG	
eutSPQTDM	leuD//
evgAS	
exbBD	
fabDG_acpP	nrfC//coaA//
fabG_acpP	ynfE//
fabHDG	torY//hemB//pagP//
fabR_yijD	
fadBA	cpsB//kefF//
fadD_sroD	nirD//
fadIJ	argG//tmk//
fdnGHI	
fdoGHI_fdhE	argH//
fdrA_ylbEF_ybcF	ybaS//
fecABCDE	mltB//gmhB//
fecIR	
feoABC	yfiH//
fepA_entD	fabF//paaF//napH//
fepDGC	alkB//
fes_ybdZ_entF_fepE	rnd//malS//caiD//
fetAB	
fhuACDB	tdcG//gpp//
ficA_fic_pabA	fumB//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	fadM//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	thiD//dusA//
folC_dedD	folA//
folD_ybcJ	aspS//
folE_yeiB	gltA//
folP_glmM	prs//lysC//
folX_yfcH	frmA//
frdABCD	glcE//
frlABCDR	accB//aes//curA//katE//
frmRAB	cpsG//mcrA//
fruBKA	mrcA//cpsB//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	adiA//citE//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	cobS//caiA//citX//hisH//insI-2//atoD//menH//fau//ldtC//hemA//
ftsQAZ	
ftsYEX	
fucAO	fumC//ruvC//
fucPIKUR	amyA//hisC//metL//galM//
fumAC	torZ//tynA//
fusA_tufA	
gabDTP	nadK//nudK//glpE//
gadAX	insI-3//
gadBC	glxK//fkpB//
gadEF	
gadEF_mdtEF	miaB//
gadXW	
galET	queC//eptA//
galETK	nrdD//wbbI//pgaB//
galETKM	waaG//glcD//btuR//chbF//
gapA_yeaD	rffG//
gapC_1C_2	
garPLRK_rnpB	moeA//cdh//asnS//scpB//nagK//clsA//
gatYZABCD	frdC//eptB//trmI//
gatZABCD	dgcT//ftnA//rutD//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	glpB//yceF//bcsB//leuC//tcdA//
gcvTHP	cynS//iaaA//ldhA//
gfcBCD	
gfcE_etp_etk	alkA//argF//
ghoST	sgbU//
glcBA	ilvD//aspC//
glcDEFGBA	malS//araA//eptA//
glf_wbbH	speA//
glgAP	cheR//rsgA//
glgBXCAP	patD//trmJ//rsmC//yghU//uvrC//
glgCAP	ldtB//cpsB//nirB//
glmUS	purK//ribF//
glnALG	adk//
glnHPQ	nudL//
glnK_amtB	trmL//
glnLG	
glnW_metU_glnVX	
glpABC	eptA//
glpEGR	menF//mepS//
glpFKX	lsrG//pgi//mpl//
glpGR	yfbT//
glpTQ	frdD//atoA//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	ilvN//
glvCBG_ysdC	
glyQS	rutC//
glyVXY	
glyW_cysT_leuZ	
gntKU	yfiH//ilvA//
gntRKU	folK//mqo//
gntX_nfuA	
gpmM_envC_yibQ	wzc//pyrG//
groSL	
gspAB	
gspCDEFGHIJKLMO	rutC//
guaBA	allE//rph//
gudPXD	yicI//aphA//
hcaEFCBD	narG//purN//
hcp_hcr	acpT//curA//
hdeAB_yhiD	
hemA_prfA_prmC	mhpF//rimK//
hemCDXY	purK//metF//
hflD_purB	guaC//
hfq_hflXKC	purT//
hicAB	
higBA	suhB//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	glpD//ascB//trpA//arnA//
hipBA	tmk//
hisBHAFI	ddlA//ybjI//cpdB//sucC//
hisJQMP	moaA//hyaA//
hisLGDCBHAFI	scpB//yjjX//accD//lpxP//ubiC//panD//mrcA//
hofMNOP	
holC_valS	lpoB//
holD_rimI_yjjG	bioD//pfkB//
hscBA_fdx_iscX	ybhA//
hsdMS	proS//
hsdRMS	tsaD//
hslRO	
hslVU	nudL//
hyaABCDEF	
hybOABCDEFG	allD//
hycABCDEFGHI	rsmG//rffT//
hydN_hypF	fklB//
hyfABCDEFGHIJR_focB	phnM//
hypABCDE	pgk//
hypABCDE_fhlA	tcdA//
hypBCDE	hyi//
hypBCDE_fhlA	bioF//
iaaA_gsiABCD	prpD//ycjG//
ibaG_murA	phnM//
ibpAB	
idnDOTR	napH//pyrE//torY//
ileS_lspA_fkpB_ispH	paaF//yciV//pldB//gcvP//
ilvEDA	rluA//fabD//metC//pdxB//
ilvIH	ruvA//
ilvLXG_1G_2MEDA	dosC//queC//nudI//aroA//hyaA//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	aroC//
insN_1I_1O_1	acs//
insO_2_yjhWV	
iscRSUA	leuB//thiK//
ispDF	coaD//mpl//
ispG_sroE	nadD//
isrC_flu	
ivbL_ilvBN	fucI//
ivbL_ilvBN_uhpABC	csdA//
kbaZ_agaVWA	idnK//
kbl_tdh	adk//mltD//
kdpDE	
kdpFABC	sdaA//
kdsC_lptCAB	gmk//puuA//
kefFC	entC//birA//
kefGB_yheV	puuB//
kilR_ydaE	
lacYA	accC//galE//
lacZYA	folX//poxB//aroA//
lapAB	
lapAB_pyrF_yciH	rfe//
lepAB	bioA//
leuLABCD	rsmJ//rsmH//garK//
leuQPV	
leuS_lptE_holA_nadD_cobC	coaE//yghU//ssuE//
lexA_dinF	
lgt_thyA	maeB//plsC//
ligA_ypeB	yjeF//
livKHMGF	prmC//nemA//
lldPRD	ackA//appA//
lolA_rarA	
lolB_ispE_prs	yneH//paaK//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	thiM//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	gmd//nudI//
lptFG	
lspA_fkpB_ispH	rlmE//hisF//frlD//
lsrACDBFG_tam	rlmB//sdaA//ampH//sufS//
lsrRK	rlmL//
ltaE_ybjT	cysH//
lysT_valT_lysW	
macAB	recO//
malEFG	hisH//
malK_lamB_malM	nudI//uvrB//
malPQ	lpxK//menH//
malXY	yagF//metL//
manXYZ	fadM//
map_glnD_dapD	metL//fadI//melA//
marRAB	
mazEFG	yiaY//
mcrBC	lpxH//
mdlAB	
mdtABCD_baeSR	adhE//
mdtEF	sucA//
mdtJI	ppiC//
mdtM_yjiN	trpB//
mdtNOP	uxaC//
melAB	idnD//cysD//
menA_rraA	uxuA//
menBCE	hemA//galU//ynfG//
menDHBCE	bacA//aroH//cysH//glnA//yagE//
menFDHBCE	gpt//fkpB//fadM//aroF//luxS//gatD//
metBL	gudD//menD//
metNIQ	acpH//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	ybdL//paaA//nadB//
metZWV	
mglAC	hemD//
mglBAC	umpG//
mgtLA	ilvE//
mhpABCDFE	hcaD//cysH//ilvM//ldtC//hinT//waaY//
mhpR_lacI	
miaA_hfq_hflXKC	menD//tmk//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	rlmB//glcE//
mnaT_ydcZ	yqaB//
mngAB	trxB//tyrB//
mnmG_rsmG	pykF//caiB//
mntR_ybiR	
moaABCDE	ilvG_2//glnS//
moaBCDE	fbp//
mobAB	thrB//
modABC	sdhA//
modEF	
moeAB	ldtC//dhaL//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	folP//
mqsRA	sodB//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	aceE//caiB//mgsA//yagE//deoA//trpD//napA//xylB//cpsB//yihS//hycE//
mreBCD	
mreCD	
msrPQ	
mtlADR	gcl//nfi//prmC//
mtn_btuF_yadS	rfbC//rffG//
murB_birA	entH//birA//
murQP	pdeF//thiC//thiI//
murQP_yfeW	nanA//uxaC//cobT//gshA//
mutL_miaA_hfq_hflXKC	sgbH//nadD//mqo//
mutY_yggX	agp//
mutY_yggX_mltC	rutB//nadB//
mutY_yggX_mltC_nupG	pdeR//tdk//prpC//
nadA_pnuC	nrdE//manA//
nagBAC_umpH	recJ//glgC//caiB//
nagK_cobB	waaY//ilvH//
nanATEK_yhcH	eptC//coaE//curA//cysN//
nanCM	pheT//cysC//
nanCMS	aslA//yagF//
napFDAGHBC	rph//
napFDAGHBC_ccmABCDEFGH	frmA//yjjG//
narGHJI	idnK//
narWV	frdC//
narXL	
narZYWV	treA//
nemRA	proA//
nemRA_gloA	cobS//mltD//
nfrBA	
nhaAR	cobB//
nikABCDER	gph//
nirBDC_cysG	bfr//lsrG//dmlA//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	tmcA//
nrdAB_yfaE	mobA//
nrdDG	tsaD//glcB//
nrdHIEF	can//
nrdR_ribDE_nusB_thiL_pgpA	yidA//leuC//plsB//narY//
nrfABCDEFG	prmB//
nsrR_rnr_rlmB_yjfI	lpcA//mhpC//
nudB_yebC_ruvC	puuC//idnK//
nudC_hemE_nfi	deoA//ltaE//
nudF_yqiB_cpdA_yqiA_parE	alaS//srlD//
nuoABCEFGHIJKLMN	udk//
nuoMN	phnI//
ompR_envZ	
opgGH	
oppABCDF	tsaD//fau//
osmF_yehYXW	nrdF//
otsBA	waaO//glpB//
paaABCDEFGHIJK	bglA//phnP//rlmE//allD//ydiO//leuS//frlD//
paaXY	purK//
pabB_nudL	fabZ//ssuD//
pabC_mltG_tmk_holB_ycfH	pfkA//pinE//waaG//
panBC	yfeW//alsK//
panE_yajL	dsdA//
paoABCD	dam//
pcnB_folK	narI//cynT//
pdeI_dgcI	
pdhR_aceEF_lpd	eutD//dxr//rfaE//rlmB//pgsA//ppk//
pdxA_rsmA	recF//waaH//
pdxA_rsmA_apaGH	ilvM//hycC//dhaK//
pdxB_usg_truA_dedA	queA//rimK//
pdxH_tyrS_pdxY	arnB//prpE//emtA//
pdxJ_acpS	fucK//speE//
pepQ_yigZ_trkH_hemG	aroL//aceF//lpxD//
pflDC	
pgaABCD	yghA//entE//pyrE//
pgk_fbaA	napB//ygiF//
pgpC_tadA	sgbU//azoR//
pheLA	yfcG//
pheMST_ihfA	pncA//
phnCDE_1E_2FGHIJKLMNOP	lhgO//dgoA//hflX//lhgO//nanA//ansA//tcdA//
phnLMNOP	ilvA//alr//fklB//glxR//pdeH//
phoA_psiF	cfa//
phoBR	
phoPQ	
pldB_yigL	lsrG//thiK//
plsX_fabHDG	ftsI//glnA//ugd//
pntAB	
potABCD	phnM//
potFGHI	rlmH//
poxB_ltaE_ybjT	dinB//fkpB//
ppdAB_ygdB_ppdC_recC	mraY//
ppdD_hofBC	
ppiB_lpxH	lplA//solA//
ppk_ppx	tam//ttdB//
pqiAB	
preTA	ghrA//
prfB_lysS	napB//
priC_ybaM	
prlC_rsmJ	rihC//alaC//
prlF_yhaV	pphA//
prmB_aroC_mepA_yfcA_epmC_yfcL	roxA//queC//allA//napG//
proBA	hemD//queC//
proQ_prc	pyrB//
proVWX	mug//
prpBCDE	ravA//allE//nfi//yfiH//
psd_mscM	
pspABCDE	gor//
pspBCDE	ilvC//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	ydfG//puuA//
pth_ychF	sdhC//
ptrA_recBD	mutY//oxc//
ptsA_fsaB_gldA	nagZ//ynfG//
ptsHI_crr	yciA//rsmD//hemC//
purEK	fabG//menB//
purHD	gabT//purD//
purMN	ybdL//ybhA//
puuAP	metL//kbl//
puuCBE	fabA//orn//phnG//
puuDRCBE	frmA//lpcA//narI//dxr//
pyrF_yciH	frdA//
pyrG_eno	dam//iscS//
pyrLBI	lpxL//
qmcA_ybbJ	
qseBC	
radA_nadR	ydjG//
rapA_rluA	rluC//
ratAB	
ravA_viaA	
rbsDACBKR	ttdA//glgX//hemB//
rclABC	
rclBC	
rcnAB	gluQ//
rcsDB	
rcsF_trmO	suhB//
rdgB_yggW	dgoD//
rdoA_dsbA	entE//purA//
recAX	
recET_ralR_ydaC_xisR_intR	pheA//rdoA//
relA_mazEF	aspS//
relBE	aspS//
relBE_hokD	puuD//
renD_emrE	abgA//
rfaD_waaFCL	ybjI//nrdF//ycjG//gloA//
rfbACX	pheT//rfbA//upp//recG//
rfbBDACX	ynfE//dadX//pcm//rffM//rlmL//hyaA//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	glcD//ynfG//iaaA//ybcF//rlmI//trpD//folK//rluE//ycjU//
rhaBAD	mnmC//ppa//mltB//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	idnO//glpB//yihU//
ribF_ileS_lspA_fkpB_ispH	pfkA//tdcB//nrdD//ydfG//cof//
rimK_ybjN	ttdA//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	cynS//kduD//cmoA//scpB//aspA//queA//cyaA//lgoD//serC//aldB//
rlmE_ftsH	fruK//agp//
rlmL_uup	rfbA//
rluD_yfiH	sbcB//queA//
rluE_nudJ	thiE//gpmM//
rnc_era	mog//
rnc_era_recO_pdxJ_acpS	glgA//hinT//sodA//astB//
rnlAB	dapA//
rnt_lhr	acpH//
rpe_gph_trpS	ubiF//yniC//cpdB//
rph_pyrE	rutC//yjcS//
rpiR_alsBACE	pgaB//frdA//
rplJL_rpoBC	torA//
rplKAJL_rpoBC	phoA//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	acnB//
rpmF_plsX_fabHDG	yqjG//gntK//entE//
rpmH_rnpA	amn//pdeH//
rpmI_rplT	
rpoBC	gabT//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	tsaE//pfkB//yccX//
rppH_ptsP	maa//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	suhB//
rpsO_pnp	ubiD//menH//
rpsP_rimM_trmD_rplS	ygeX//
rpsU_dnaG_rpoD	glgP//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	prpE//prpD//
rsmA_apaGH	cysI//nudC//
rsmD_yhhL	lpxC//
rsmE_gshB	pdeL//hcaE//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	patD//pyrI//ycjU//panD//appA//hyaC//hypF//mak//ygjK//cysC//recJ//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	adiA//
rtcBA	ynfH//pgaC//
rutABCDEFG	thiF//nagK//gcd//cmk//rlmA//dnaQ//
ruvAB	ilvH//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	paaA//
scpA_argK_scpBC	nudK//gnd//fes//allD//
sdaCB	gnd//arnC//
sdhCDAB_sucABCD	folP//wecC//serS//hypB//
sdhDAB	
sdhE_cptA	
secB_gpsA	argA//
secE_nusG	
secG_leuU	
secMA_mutT	recF//
selAB	yccX//ispH//
selD_topB	patD//nadC//
seqA_pgm	lacA//
serB_radA	gcvT//
serC_aroA	lpd//ldtA//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	dgoA//
sgrST_setA	alkA//
skp_lpxD_fabZ_lpxA	ilvM//waaB//bcsZ//
slp_dctR	
solA_yceO	prpB//
speAB	gstA//yccX//
speF_potE	anmK//sthA//
srlAEBD_gutM_srlR_gutQ	pldA//otsA//cmk//
sroG_ribB	dkgA//
sspAB	
ssrS_fau	rutC//
ssuEADCB	amyA//fsaB//alr//
stfE_tfaE	
sucAB	rhaM//deoA//ampH//
sucABCD	hyi//eutC//prpB//yjhG//
sufABCDSE	ulaE//
surA_pdxA_rsmA_apaGH	tilS//alsE//pdeF//torC//
tag_yiaC	yihS//
talA_tktB	nadE//fucU//
tamAB_ytfP	
tar_tap_cheRBYZ	ispU//trmA//
tatABC	thiL//
tatABCD	fbaA//fabD//
tauABCD	rsmI//gss//
tdcABCDEFG	tyrA//hycD//cfa//mraY//yqaB//
tdcBCDEFG	rfbD//queD//accB//gcvT//chbG//
tehAB	folA//napG//
tesA_ybbO	malQ//torC//
tff_rpsB_tsf	
tgt_yajC	trxB//
thiCEFSGH	metK//der//trpC//hyaB//rsmB//
thiMD	uvrA//purU//
thrLABC	citD//tag//pcm//
thrS_infC	ubiX//
thrS_infC_rpmI_rplT_pheMST_ihfA	speE//dcd//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	gntK//feaB//
tolB_pal_cpoB	
tolC_ygiABC	rbsD//ltaE//dcyD//frdD//rluC//yhdH//murQ//oxc//umuD//
tomB_hha	
topAI_yjhQ	
torCAD	purK//
torYZ	purK//
treBC	acpS//guaA//
trmI_yggL	plsB//
trpCBA	yciA//dgoA//speG//ribB//
trpLEDCBA	ygeX//deoC//torA//mutY//ligA//glpX//
tsaB_yeaY	argB//
tsaE_amiB_mutL_miaA_hfq_hflXKC	ulaG//rfaD//arnB//ybaS//cyoE//
ttdABT	proS//nadC//
tyrS_pdxY	idnD//tesA//
tyrTV_tpr	
tyrV_tpr	
ubiCA	yjeF//waaG//
ubiEJB	hyaB//
udk_dcd	upp//eptB//
ugpBAECQ	aes//entH//
uhpABC	
uidABC	insI-1//yegS//
ulaABCDEF	rhaM//yfiC//tktB//lysC//
umpG_pcm	astD//ulaG//
umuDC	tam//
uof_fur	
upp_uraA	glcD//glgA//
usg_truA_dedA	pdxH//
uvrYC	ilvH//
uxaCA	fumA//ndk//
uxuAB	nrdB//murF//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	pta//thyA//
waaQGPSBOJYZU	dhaK//panE//mtlD//pphA//ppiC//citX//ymdB//dacD//gldA//pyrG//
waaYZ	phnH//srlD//
waaZU	phnI//ulaE//
wbbIJK	cpsB//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	paoA//gshB//emtA//serA//tauD//ribB//
wcaKLM	
wrbA_yccJ	puuB//
wza_wzb_wzc	yfbT//ldtD//
wza_wzb_wzc_wcaAB	nagB//argH//
xanQ_guaD_ghxQ	dgt//frdA//aceE//
xapAB	nudB//yjjX//
xdhABC	btuR//
xerD_dsbC_recJ	moaD//ada//
xseB_ispA_dxs_yajO	epmB//aroK//pdeH//rsmE//
xylAB	azoR//kbl//
xylFGHR	pnp//
yabPQ	
yacC_speED	maeB//entE//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	fadM//
yafDE	
yafNOP	aes//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	alsE//mhpF//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	speG//
ybaB_recR	rluC//
ybaST	gor//
ybbAP	
ybbY_glxK	rnb//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	dkgB//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	entC//
ybeZY	
ybeZYX_lnt	murD//
ybfHG	
ybfOC	
ybgA_phr	cobC//
ybgC_tolQRA	
ybgIJKL_nei	lpxD//
ybgQPO	
ybhP_clsB_ybhN	hisB//
ybiYW	
ybjC_nfsA_rimK_ybjN	citC//ftnA//
ybjJI	paaI//
ybjO_rlmC	rluC//
ybjQ_amiD	nudK//
ycaI_msbA_lpxK_ycaQ	ldtD//epd//
ycaR_kdsB	glpC//
ycbK_gloC	gcvT//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	entC//
yciCB	
yciGFE	
yciK_btuR	tyrS//
yciVOQ	aslA//
yciZT	
ycjMNOPQRSTUV_ymjB	coaA//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	btuE//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	hisC//ulaD//
ydcSTUV_patD	aroG//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	alsE//
ydgK_rsxABCDGE_nth	ychF//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	idnO//glpX//
ydiJ_menI_ydiH	pheS//
ydiNB_aroD	dgcT//ushA//
ydiQRST_fadK	ybiV//
ydjA_selD_topB	fucO//oxc//
ydjLKJIHG	ilvD//
ydjXYZ_ynjABCD	
yeaGH	ynfG//
yeaR_yoaG	
yeaVW	
yebC_ruvC	selB//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	ribB//lpxK//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	purA//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	gluQ//rsuA//
yejABEF	rnb//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	nudE//
yfaX_rhmD	
yfaX_rhmD_yfaVU	dacA//
yfbUT	xthA//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
