# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	rsmG//
mhpR_lacI	
miaA_hfq_hflXKC	fabH//nadE//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	carA//hcaC//
mnaT_ydcZ	malP//
mngAB	queC//mdh//
mnmG_rsmG	gudD//citD//
mntR_ybiR	
moaABCDE	rihC//adhP//
moaBCDE	purK//
mobAB	rlmM//
modABC	waaC//
modEF	
moeAB	dut//aphA//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	cysC//
mqsRA	rfbC//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	zwf//phnM//cmoA//glxK//tdcE//rbn//gcl//lpxM//rhaB//sodA//wecB//
mreBCD	
mreCD	
msrPQ	
mtlADR	prmC//tpiA//gpmA//
mtn_btuF_yadS	fucK//glnE//
murB_birA	menI//aspS//
murQP	cdsA//kbl//mobA//
murQP_yfeW	nanK//deoD//ynfF//abgB//
mutL_miaA_hfq_hflXKC	dfp//wecC//frc//
mutY_yggX	kdsB//
mutY_yggX_mltC	hyaA//menF//
mutY_yggX_mltC_nupG	cfa//menC//pheT//
nadA_pnuC	panD//rluB//
nagBAC_umpH	ubiF//guaB//purT//
nagK_cobB	rffM//patZ//
nanATEK_yhcH	waaB//malQ//tktB//paaJ//
nanCM	lpxM//tilS//
nanCMS	yjhG//trmO//
napFDAGHBC	ghrB//
napFDAGHBC_ccmABCDEFGH	fucK//nudI//
narGHJI	waaB//
narWV	citD//
narXL	
narZYWV	rfbB//
nemRA	nfi//
nemRA_gloA	hemG//waaB//
nfrBA	
nhaAR	def//
nikABCDER	nrdE//
nirBDC_cysG	gcvT//sdhC//pnp//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	pyrD//
nrdAB_yfaE	waaJ//
nrdDG	polA//cysG//
nrdHIEF	paoB//
nrdR_ribDE_nusB_thiL_pgpA	cof//rutB//trmL//eptB//
nrfABCDEFG	mutL//
nsrR_rnr_rlmB_yjfI	accD//kbaY//
nudB_yebC_ruvC	prs//eutB//
nudC_hemE_nfi	yihT//gadA//
nudF_yqiB_cpdA_yqiA_parE	phoA//fucO//
nuoABCEFGHIJKLMN	insI-2//
nuoMN	pgm//
ompR_envZ	
opgGH	
oppABCDF	ydiF//purE//
osmF_yehYXW	lpxT//
otsBA	thiM//nirD//
paaABCDEFGHIJK	ribE//mngB//gutQ//aspS//purA//nanA//mhpD//
paaXY	kdsC//
pabB_nudL	xthA//ppiA//
pabC_mltG_tmk_holB_ycfH	ppx//gcvT//glcB//
panBC	metF//lpoB//
panE_yajL	cobC//
paoABCD	dmlA//
pcnB_folK	rsmF//ubiH//
pdeI_dgcI	
pdhR_aceEF_lpd	tadA//trpA//narH//pabA//accD//paaE//
pdxA_rsmA	paaA//nirB//
pdxA_rsmA_apaGH	iscS//yohF//yneH//
pdxB_usg_truA_dedA	selD//fkpB//
pdxH_tyrS_pdxY	waaQ//aroH//ung//
pdxJ_acpS	hycC//putA//
pepQ_yigZ_trkH_hemG	astD//puuB//lpcA//
pflDC	
pgaABCD	ubiC//ribF//aceA//
pgk_fbaA	dgcT//panB//
pgpC_tadA	sdaB//yqjG//
pheLA	glyQ//
pheMST_ihfA	ilvI//
phnCDE_1E_2FGHIJKLMNOP	astE//rutA//pyrD//sucA//dapA//nadC//yjcS//
phnLMNOP	acpS//tdcB//dxs//narY//ribC//
phoA_psiF	paaY//
phoBR	
phoPQ	
pldB_yigL	cobC//ada//
plsX_fabHDG	dusA//adhE//queC//
pntAB	
potABCD	narY//
potFGHI	mltA//
poxB_ltaE_ybjT	tag//cysQ//
ppdAB_ygdB_ppdC_recC	ilvG_2//
ppdD_hofBC	
ppiB_lpxH	rdgB//otsA//
ppk_ppx	coaE//tmcA//
pqiAB	
preTA	srlD//
prfB_lysS	folB//
priC_ybaM	
prlC_rsmJ	mtlD//proA//
prlF_yhaV	yqaB//
prmB_aroC_mepA_yfcA_epmC_yfcL	moaE//entA//treF//ybiV//
proBA	dhaM//trmA//
proQ_prc	mngB//
proVWX	ydiO//
prpBCDE	truB//truD//fumA//uxaA//
psd_mscM	
pspABCDE	ymdB//
pspBCDE	galK//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	argI//prmC//
pth_ychF	carA//
ptrA_recBD	kdgK//mltC//
ptsA_fsaB_gldA	gcl//waaZ//
ptsHI_crr	rluD//ddlB//icd//
purEK	hisH//moaE//
purHD	ybcF//panE//
purMN	yfbT//napC//
puuAP	narH//yjhH//
puuCBE	pldA//yihV//mobA//
puuDRCBE	rluA//gpsA//argF//mhpF//
pyrF_yciH	mcrC//
pyrG_eno	tktB//dfp//
pyrLBI	ada//
qmcA_ybbJ	
qseBC	
radA_nadR	thiD//
rapA_rluA	ygaP//
ratAB	
ravA_viaA	
rbsDACBKR	dkgA//bioD//rffT//
rclABC	
rclBC	
rcnAB	mpaA//
rcsDB	
rcsF_trmO	umuD//
rdgB_yggW	serA//
rdoA_dsbA	phnO//dmsA//
recAX	
recET_ralR_ydaC_xisR_intR	deoB//phnH//
relA_mazEF	panC//
relBE	pheS//
relBE_hokD	pncC//
renD_emrE	tdcG//
rfaD_waaFCL	ilvG_2//pdxK//hemF//proB//
rfbACX	gpmA//galK//ilvD//yfdE//
rfbBDACX	yeiG//mpaA//argC//paaK//rsmJ//galK//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	rlmH//folP//alsE//hemD//polA//dkgA//accB//napB//rlmG//
rhaBAD	gatD//gatD//fsaB//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	dacD//cynS//tesB//
ribF_ileS_lspA_fkpB_ispH	purH//mcrB//deoB//cpdB//trmO//
rimK_ybjN	yfeX//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	pspE//dcm//adhE//lpcA//ispH//ynfF//asnA//trpD//proB//deoD//
rlmE_ftsH	dxs//tmk//
rlmL_uup	mcrC//
rluD_yfiH	nrdB//waaL//
rluE_nudJ	argA//dcm//
rnc_era	gdhA//
rnc_era_recO_pdxJ_acpS	arnB//relA//rsmD//trmD//
rnlAB	ubiI//
rnt_lhr	serB//
rpe_gph_trpS	gloB//trpB//glgA//
rph_pyrE	phnG//aroH//
rpiR_alsBACE	bglX//metG//
rplJL_rpoBC	tyrA//
rplKAJL_rpoBC	preA//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	nadC//
rpmF_plsX_fabHDG	ahr//yegS//tesA//
rpmH_rnpA	pphA//wzb//
rpmI_rplT	
rpoBC	garD//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	wbbI//rsmD//yeaE//
rppH_ptsP	ygjK//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	cobU//
rpsO_pnp	galM//aldB//
rpsP_rimM_trmD_rplS	ynfE//
rpsU_dnaG_rpoD	hcaC//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	upp//wbbI//
rsmA_apaGH	yccX//fabG//
rsmD_yhhL	tcdA//
rsmE_gshB	fadJ//ispH//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	rnt//purK//speA//bfr//pabA//mazG//ribE//phnJ//purC//citC//ackA//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	ispH//
rtcBA	gntK//dcd//
rutABCDEFG	dmsC//yjhH//kbaY//glgB//trpB//cysI//
ruvAB	hisG//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	accC//
scpA_argK_scpBC	sdaB//yjhH//galU//argK//
sdaCB	trpC//ispU//
sdhCDAB_sucABCD	dkgA//paaK//ybjG//tsaC//
sdhDAB	
sdhE_cptA	
secB_gpsA	truC//
secE_nusG	
secG_leuU	
secMA_mutT	glpC//
selAB	sdhD//insI-2//
selD_topB	bglX//trmH//
seqA_pgm	clsB//
serB_radA	yqjH//
serC_aroA	lacZ//rsuA//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	coaE//
sgrST_setA	carB//
skp_lpxD_fabZ_lpxA	pyrG//paaJ//truC//
slp_dctR	
solA_yceO	garL//
speAB	agp//yfiC//
speF_potE	hycD//mnmE//
srlAEBD_gutM_srlR_gutQ	gcd//dapE//kduI//
sroG_ribB	trpA//
sspAB	
ssrS_fau	dcm//
ssuEADCB	rsmF//speE//rlmM//
stfE_tfaE	
sucAB	cobS//aroB//ogt//
sucABCD	pyrH//thiC//murQ//pgk//
sufABCDSE	gdhA//
surA_pdxA_rsmA_apaGH	ybhA//pykA//maeB//sodB//
tag_yiaC	gmd//
talA_tktB	frdC//paaC//
tamAB_ytfP	
tar_tap_cheRBYZ	purD//entB//
tatABC	menF//
tatABCD	tatD//selD//
tauABCD	queC//hmp//
tdcABCDEFG	yjcS//yajO//nfsB//dgoD//bcsA//
tdcBCDEFG	glpD//slt//plsB//rnd//epmA//
tehAB	apt//ubiH//
tesA_ybbO	ppc//idnK//
tff_rpsB_tsf	
tgt_yajC	lpxP//
thiCEFSGH	aspA//cpsG//thrA//glyS//yfbT//
thiMD	alr//pyrF//
thrLABC	purC//serS//yieH//
thrS_infC	murE//
thrS_infC_rpmI_rplT_pheMST_ihfA	hyaB//lpd//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	yieH//cysI//
tolB_pal_cpoB	
tolC_ygiABC	rlmH//torA//mpl//metL//purC//rlmA//citF//bglX//folM//
tomB_hha	
topAI_yjhQ	
torCAD	mgsA//
torYZ	tesB//
treBC	paaF//aceE//
trmI_yggL	lpxH//
trpCBA	fbp//recF//trmL//pyrE//
trpLEDCBA	purU//clsC//allA//nudI//thiI//rsuA//
tsaB_yeaY	ampC//
tsaE_amiB_mutL_miaA_hfq_hflXKC	coaD//rbsD//waaU//ybaS//treC//
ttdABT	ndh//ada//
tyrS_pdxY	yfeX//clsA//
tyrTV_tpr	
tyrV_tpr	
ubiCA	leuS//alkB//
ubiEJB	pspE//
udk_dcd	metH//acnB//
ugpBAECQ	fklB//aroD//
uhpABC	
uidABC	speE//kdsC//
ulaABCDEF	rsmI//dxr//epmC//rsmH//
umpG_pcm	nudG//plsB//
umuDC	pykA//
uof_fur	
upp_uraA	waaC//selA//
usg_truA_dedA	sgbU//
uvrYC	poxB//
uxaCA	preT//ydbC//
uxuAB	gatD//hisI//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	ppiA//solA//
waaQGPSBOJYZU	menD//kdgK//gshB//moaD//puuB//yfdR//ybcF//arnT//gadB//rihA//
waaYZ	cobC//uxaA//
waaZU	dgoA//serC//
wbbIJK	coaD//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	uxuA//aroD//yfdR//slyD//pldB//eutC//
wcaKLM	
wrbA_yccJ	mpl//
wza_wzb_wzc	glcB//fabZ//
wza_wzb_wzc_wcaAB	gpmM//metK//
xanQ_guaD_ghxQ	rnpA//uxuB//bioC//
xapAB	nudB//patZ//
xdhABC	glxR//
xerD_dsbC_recJ	dgoA//glk//
xseB_ispA_dxs_yajO	sdaB//hypB//asnB//lpxA//
xylAB	upp//cysS//
xylFGHR	scpB//
yabPQ	
yacC_speED	bioC//cfa//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	yegS//
yafDE	
yafNOP	etp//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	ybiV//gshA//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	pgsA//
ybaB_recR	rlmG//
ybaST	ispD//
ybbAP	
ybbY_glxK	lpxH//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	entA//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	nfsA//
ybeZY	
ybeZYX_lnt	cmoB//
ybfHG	
ybfOC	
ybgA_phr	yiaK//
ybgC_tolQRA	
ybgIJKL_nei	scpA//
ybgQPO	
ybhP_clsB_ybhN	puuA//
ybiYW	
ybjC_nfsA_rimK_ybjN	ispU//lysS//
ybjJI	nrfD//
ybjO_rlmC	tktB//
ybjQ_amiD	waaY//
ycaI_msbA_lpxK_ycaQ	murF//emtA//
ycaR_kdsB	ilvB//
ycbK_gloC	ppiB//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	fucI//
yciCB	
yciGFE	
yciK_btuR	speG//
yciVOQ	garD//
yciZT	
ycjMNOPQRSTUV_ymjB	purE//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	pdeH//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	yfeX//sdaA//
ydcSTUV_patD	dgcM//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	rihC//
ydgK_rsxABCDGE_nth	rsmH//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	yahK//yciV//
ydiJ_menI_ydiH	uxuB//
ydiNB_aroD	tsaC//purM//
ydiQRST_fadK	etp//
ydjA_selD_topB	solA//fadK//
ydjLKJIHG	hisS//
ydjXYZ_ynjABCD	
yeaGH	epmC//
yeaR_yoaG	
yeaVW	
yebC_ruvC	purB//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	nudG//napG//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	aslA//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	sdhA//glk//
yejABEF	dmsA//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	gcvP//
yfaX_rhmD	
yfaX_rhmD_yfaVU	mmuM//
yfbUT	kbaZ//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	fbaB//
