# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	pfkA//
cyoABCDE	fucK//uxaC//
cysDNC	lsrG//gdhA//
cysJIH	curA//lpoB//asd//
cysPUWAM	thrA//bcsA//maeB//
dadAX	lldD//pdxB//
damX_dam_rpe_gph_trpS	rfaE//edd//moeA//fadM//
dam_rpe_gph_trpS	rhaM//cpsG//cysS//tesB//
dapA_bamC	murB//
dapE_ypfN	ddlA//
dcm_vsr	alaA//
dcuB_fumB	bioH//ubiD//
dcuSR	
dcyD_tcyLN	hemB//nudE//
ddpXABCDF	hypF//
def_fmt	fadB//tyrS//
degQS	cyaA//cueO//
deoABD	caiC//fadB//ulaD//
deoBD	nudE//rsmD//
deoCABD	astE//lpxT//yihU//prpB//
dgoRKADT	fabI//asnS//talB//tcdA//
dhaKLM	paoA//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	rsmC//nadK//
dinJ_yafQ	edd//
dksA_gluQ	accC//
dmsABC	yfeW//
dnaAN_recF	rpe//
dnaK_tpke11_dnaJ	speG//
dnaN_recF	araD//
dnaTC	
dnaTC_yjjA	
dosCP	folK//ghrA//
dpiBA	
dppABCDF	glnE//
dsbC_recJ_prfB	gloC//thiK//
dsbD_yjdC	
dsdXA	rffM//yagE//
dusB_fis	gstA//
dut_slmA	acnB//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	dld//rsmF//
efeOB	thyA//
efeU_1U_2	
elbB_mtgA	thiE//
elfDCG_ycbUVF	
emrKY	pldA//
entCEBAH	aceE//pdxA//treF//cheR//menA//recF//
envY_ompT	hcaF//
epd_pgk	iscS//gapA//
epd_pgk_fbaA	dld//clsB//trmO//
essD_rrrD_rzpD	hisH//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	rluA//
eutHA	
eutNEJG	
eutSPQTDM	bcsA//
evgAS	
exbBD	
fabDG_acpP	wecC//ybiV//
fabG_acpP	proB//
fabHDG	guaA//tcdA//ycaO//
fabR_yijD	
fadBA	yfcF//nanE//
fadD_sroD	cdd//
fadIJ	ycjU//fkpB//
fdnGHI	
fdoGHI_fdhE	yihU//
fdrA_ylbEF_ybcF	cynT//
fecABCDE	frmA//hycB//
fecIR	
feoABC	gatD//
fepA_entD	murD//yicI//menC//
fepDGC	citD//
fes_ybdZ_entF_fepE	murA//pfkA//mngB//
fetAB	
fhuACDB	aroG//agp//
ficA_fic_pabA	trpC//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	murI//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	gshB//eutC//
folC_dedD	suhB//
folD_ybcJ	ilvM//
folE_yeiB	tauD//
folP_glmM	gmd//etp//
folX_yfcH	glpB//
frdABCD	pphA//
frlABCDR	murA//lpcA//puuB//galK//
frmRAB	pyrH//leuB//
fruBKA	ldtA//dfp//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	tag//ada//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	ubiH//fadK//maeA//rlmM//fabH//pdeF//gluQ//ugd//frdA//dcd//
ftsQAZ	
ftsYEX	
fucAO	sdhC//lpxC//
fucPIKUR	queA//cysK//umuC//glpK//
fumAC	ribD//entD//
fusA_tufA	
gabDTP	yhhW//wecB//tcdA//
gadAX	hcaE//
gadBC	menH//recG//
gadEF	
gadEF_mdtEF	selB//
gadXW	
galET	rluA//yciA//
galETK	dcyD//ruvB//cysE//
galETKM	folP//pinE//moeB//ispA//
gapA_yeaD	pyrI//
gapC_1C_2	
garPLRK_rnpB	phnH//rlmD//yihS//citF//rfbB//hcaB//
gatYZABCD	narZ//cysG//cyoE//
gatZABCD	rffM//umuD//waaL//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	mltC//pncA//kdgK//tdcD//deoC//
gcvTHP	polB//hyaB//avtA//
gfcBCD	
gfcE_etp_etk	paaA//pheA//
ghoST	tyrA//
glcBA	paaE//gatD//
glcDEFGBA	phnO//fabB//rfaE//
glf_wbbH	pabA//
glgAP	rffM//treC//
glgBXCAP	pdeF//fadM//fabZ//yhdJ//purD//
glgCAP	otsA//ppc//rfbD//
glmUS	mtgA//prs//
glnALG	oxc//
glnHPQ	argF//
glnK_amtB	rhaB//
glnLG	
glnW_metU_glnVX	
glpABC	accA//
glpEGR	thiD//narI//
glpFKX	rne//pdxK//waaY//
glpGR	thiK//
glpTQ	panC//guaD//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	speE//
glvCBG_ysdC	
glyQS	pck//
glyVXY	
glyW_cysT_leuZ	
gntKU	glgX//deoA//
gntRKU	glf//pyrH//
gntX_nfuA	
gpmM_envC_yibQ	waaA//ispB//
groSL	
gspAB	
gspCDEFGHIJKLMO	pck//
guaBA	rbn//abgA//
gudPXD	cueO//fre//
hcaEFCBD	hemA//citC//
hcp_hcr	tyrB//frdA//
hdeAB_yhiD	
hemA_prfA_prmC	pldB//rihC//
hemCDXY	mnmE//katG//
hflD_purB	fabZ//
hfq_hflXKC	pgaB//
hicAB	
higBA	gluQ//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	tsaB//rffG//purT//rlmL//
hipBA	pgaD//
hisBHAFI	rnd//ispH//citX//yjcS//
hisJQMP	mutH//rfaD//
hisLGDCBHAFI	paaZ//yciA//dacC//uxaA//opgB//adiA//deoD//
hofMNOP	
holC_valS	speC//
holD_rimI_yjjG	iscS//purD//
hscBA_fdx_iscX	dmsC//
hsdMS	mobA//
hsdRMS	prmC//
hslRO	
hslVU	ubiH//
hyaABCDEF	
hybOABCDEFG	mltD//
hycABCDEFGHI	coaE//murQ//
hydN_hypF	hyaA//
hyfABCDEFGHIJR_focB	dhaK//
hypABCDE	ilvA//
hypABCDE_fhlA	ispD//
hypBCDE	nfsB//
hypBCDE_fhlA	nadE//
iaaA_gsiABCD	glnE//pgaD//
ibaG_murA	gpt//
ibpAB	
idnDOTR	azoR//nadR//rlmE//
ileS_lspA_fkpB_ispH	bioD//ghrB//hisS//insI-1//
ilvEDA	kdgK//paaY//panD//lsrG//
ilvIH	yicI//
ilvLXG_1G_2MEDA	waaY//dgoD//dapF//ahpF//cfa//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	ssuD//
insN_1I_1O_1	murD//
insO_2_yjhWV	
iscRSUA	torY//lpxL//
ispDF	rfe//puuE//
ispG_sroE	hcp//
isrC_flu	
ivbL_ilvBN	nagK//
ivbL_ilvBN_uhpABC	gph//
kbaZ_agaVWA	tdh//
kbl_tdh	galU//fbp//
kdpDE	
kdpFABC	hemD//
kdsC_lptCAB	phnN//trmO//
kefFC	phnI//gabD//
kefGB_yheV	gcl//
kilR_ydaE	
lacYA	paaZ//nudG//
lacZYA	hmp//dmlA//yjeF//
lapAB	
lapAB_pyrF_yciH	rsmJ//
lepAB	chbG//
leuLABCD	garD//ahpF//leuD//
leuQPV	
leuS_lptE_holA_nadD_cobC	edd//pdeH//serS//
lexA_dinF	
lgt_thyA	asd//yiaY//
ligA_ypeB	mutL//
livKHMGF	yfdE//waaP//
lldPRD	pyrG//accA//
lolA_rarA	
lolB_ispE_prs	roxA//ulaF//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	bfr//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	idnO//psuK//
lptFG	
lspA_fkpB_ispH	phnN//oxc//sucD//
lsrACDBFG_tam	yicI//frdC//der//slyD//
lsrRK	mcrC//
ltaE_ybjT	ubiD//
lysT_valT_lysW	
macAB	lsrF//
malEFG	alsK//
malK_lamB_malM	rihB//purF//
malPQ	tyrS//pyrC//
malXY	dacD//fadE//
manXYZ	psuG//
map_glnD_dapD	speF//hisF//ycjU//
marRAB	
mazEFG	pykA//
mcrBC	lhgO//
mdlAB	
mdtABCD_baeSR	tsaC//
mdtEF	sodA//
mdtJI	nudB//
mdtM_yjiN	purD//
mdtNOP	nudG//
melAB	metC//rluE//
menA_rraA	pykA//
menBCE	dsdA//yjjG//rfe//
menDHBCE	trxB//nudC//tdcG//gmk//tatD//
menFDHBCE	pphA//putA//glpB//moaA//gloA//maa//
metBL	cheR//yfbR//
metNIQ	glmU//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	carB//betB//pphB//
metZWV	
mglAC	pdxY//
mglBAC	argF//
mgtLA	ulaD//
mhpABCDFE	ruvB//yjhH//rsmE//queC//sdaB//sucC//
mhpR_lacI	
miaA_hfq_hflXKC	dhaK//rfbD//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	bfr//dcd//
mnaT_ydcZ	yihV//
mngAB	pgsA//pldB//
mnmG_rsmG	ulaF//fcl//
mntR_ybiR	
moaABCDE	ttdA//tauD//
moaBCDE	nudG//
mobAB	ligA//
modABC	lacA//
modEF	
moeAB	ndk//uxaB//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	queG//
mqsRA	torA//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	folD//uvrB//dhaM//yjcS//dgoK//malQ//nrfA//lyxK//clsC//purF//purT//
mreBCD	
mreCD	
msrPQ	
mtlADR	yicI//leuC//kbl//
mtn_btuF_yadS	yqjH//astC//
murB_birA	pflB//rluA//
murQP	entB//der//mdh//
murQP_yfeW	phr//aroK//gltA//rluE//
mutL_miaA_hfq_hflXKC	ispE//yihX//thiK//
mutY_yggX	rdoA//
mutY_yggX_mltC	rsmD//tdh//
mutY_yggX_mltC_nupG	glgA//yieF//ynfH//
nadA_pnuC	lsrG//folK//
nagBAC_umpH	guaD//psd//otsB//
nagK_cobB	selD//ruvC//
nanATEK_yhcH	yieH//mtlD//thiI//malS//
nanCM	yccX//rhaM//
nanCMS	folM//psd//
napFDAGHBC	fadI//
napFDAGHBC_ccmABCDEFGH	yccX//glpX//
narGHJI	tam//
narWV	sgbE//
narXL	
narZYWV	miaA//
nemRA	fadB//
nemRA_gloA	gabT//deoA//
nfrBA	
nhaAR	folB//
nikABCDER	dfp//
nirBDC_cysG	carB//mutH//sthA//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	waaS//
nrdAB_yfaE	murG//
nrdDG	fadD//phnN//
nrdHIEF	eutC//
nrdR_ribDE_nusB_thiL_pgpA	folA//folA//emtA//yciV//
nrfABCDEFG	pgaC//
nsrR_rnr_rlmB_yjfI	cysH//rlmL//
nudB_yebC_ruvC	fre//carB//
nudC_hemE_nfi	add//folP//
nudF_yqiB_cpdA_yqiA_parE	galE//ribC//
nuoABCEFGHIJKLMN	frmA//
nuoMN	rbn//
ompR_envZ	
opgGH	
oppABCDF	patD//rlmA//
osmF_yehYXW	amiD//
otsBA	dapF//nemA//
paaABCDEFGHIJK	araD//waaS//waaL//fabZ//suhB//citX//thrA//
paaXY	murC//
pabB_nudL	mtn//hemB//
pabC_mltG_tmk_holB_ycfH	malQ//gcvP//yfeW//
panBC	katE//tmk//
panE_yajL	melA//
paoABCD	insI-3//
pcnB_folK	tadA//gatZ//
pdeI_dgcI	
pdhR_aceEF_lpd	cof//truB//yfcG//waaH//thiG//ddlB//
pdxA_rsmA	yjjG//poxB//
pdxA_rsmA_apaGH	kdsA//fabZ//dcm//
pdxB_usg_truA_dedA	yghU//yigB//
pdxH_tyrS_pdxY	mhpC//caiC//pyrF//
pdxJ_acpS	clsC//acnB//
pepQ_yigZ_trkH_hemG	ahr//sgbE//btuE//
pflDC	
pgaABCD	tnaA//sthA//hisG//
pgk_fbaA	narV//phnG//
pgpC_tadA	glcD//guaD//
pheLA	phnG//
pheMST_ihfA	etp//
phnCDE_1E_2FGHIJKLMNOP	dhaK//polA//alaS//yjhG//lipA//speA//glf//
phnLMNOP	asnB//astA//glgA//cysG//nadA//
phoA_psiF	tilS//
phoBR	
phoPQ	
pldB_yigL	argD//yciV//
plsX_fabHDG	trpB//patZ//yahK//
pntAB	
potABCD	rlmC//
potFGHI	clsB//
poxB_ltaE_ybjT	narI//fumC//
ppdAB_ygdB_ppdC_recC	fabB//
ppdD_hofBC	
ppiB_lpxH	insI-1//curA//
ppk_ppx	kduD//rluA//
pqiAB	
preTA	fucU//
prfB_lysS	cfa//
priC_ybaM	
prlC_rsmJ	ppiA//wcaJ//
prlF_yhaV	adhE//
prmB_aroC_mepA_yfcA_epmC_yfcL	glk//cdd//otsB//lpxT//
proBA	ugpQ//nrfC//
proQ_prc	amn//
proVWX	paaG//
prpBCDE	avtA//ispF//dacA//agp//
psd_mscM	
pspABCDE	yceF//
pspBCDE	adiA//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	sseA//glmM//
pth_ychF	pta//
ptrA_recBD	ldtB//dusC//
ptsA_fsaB_gldA	fbp//eutC//
ptsHI_crr	prpC//mazG//glmM//
purEK	gpmA//scpA//
purHD	ldcC//ynjE//
purMN	tsaE//trmH//
puuAP	bglA//nanM//
puuCBE	thyA//proA//dxs//
puuDRCBE	fadA//xdhB//pgaD//narG//
pyrF_yciH	iaaA//
pyrG_eno	paaK//proA//
pyrLBI	ubiH//
qmcA_ybbJ	
qseBC	
radA_nadR	nanE//
rapA_rluA	mmuM//
ratAB	
ravA_viaA	
rbsDACBKR	guaC//fumA//lipB//
rclABC	
rclBC	
rcnAB	chbG//
rcsDB	
rcsF_trmO	ligB//
rdgB_yggW	cueO//
rdoA_dsbA	atoB//ilvM//
recAX	
recET_ralR_ydaC_xisR_intR	mnmG//deoB//
relA_mazEF	wbbI//
relBE	treA//
relBE_hokD	cheR//
renD_emrE	glpQ//
rfaD_waaFCL	lpd//gnd//adhE//ttdA//
rfbACX	patA//clsB//thiG//pgk//
rfbBDACX	fabI//garD//bcsB//torY//gloB//pyrG//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	murB//narG//ydbC//frlC//rsmF//bioF//garK//yceF//asnS//
rhaBAD	rutC//clsB//waaY//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	paoC//argD//cysS//
ribF_ileS_lspA_fkpB_ispH	metB//hemF//ubiD//cobT//sufS//
rimK_ybjN	rfe//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	guaB//rluE//dcyD//cfa//napB//umpH//gapA//accA//aroK//lplA//
rlmE_ftsH	gadA//cysG//
rlmL_uup	sad//
rluD_yfiH	pyrE//murG//
rluE_nudJ	guaD//yohF//
rnc_era	fumC//
rnc_era_recO_pdxJ_acpS	cpsG//ribA//prpC//prpD//
rnlAB	phnI//
rnt_lhr	insI-3//
rpe_gph_trpS	argG//hcaF//aes//
rph_pyrE	ycjG//coaA//
rpiR_alsBACE	nudB//bioD//
rplJL_rpoBC	psuK//
rplKAJL_rpoBC	dgcT//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	phr//
rpmF_plsX_fabHDG	hisA//xapA//phnG//
rpmH_rnpA	sucD//sseA//
rpmI_rplT	
rpoBC	sodC//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	asd//atoA//allC//
rppH_ptsP	ycjU//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	pcm//
rpsO_pnp	metL//trpS//
rpsP_rimM_trmD_rplS	orn//
rpsU_dnaG_rpoD	yjhG//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	plsB//mobA//
rsmA_apaGH	gdhA//wrbA//
rsmD_yhhL	pnp//
rsmE_gshB	lplA//nadR//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	nrfC//yjiA//yieH//truC//nagK//nadC//hemC//pyrF//ispA//pfkB//dgcC//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	qor//
rtcBA	rbn//leuA//
rutABCDEFG	caiB//yneH//appA//acpT//gmk//anmK//
ruvAB	apaH//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	btuE//
scpA_argK_scpBC	glcE//argC//lpxL//cobU//
sdaCB	yiaY//aspS//
sdhCDAB_sucABCD	entF//lpoA//yggF//pdxY//
sdhDAB	
sdhE_cptA	
secB_gpsA	solA//
secE_nusG	
secG_leuU	
secMA_mutT	ravA//
selAB	pgaC//rfaE//
selD_topB	napH//gph//
seqA_pgm	ribA//
serB_radA	yihS//
serC_aroA	mltD//hcaE//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	ispH//
sgrST_setA	rhaM//
skp_lpxD_fabZ_lpxA	waaC//glpD//bfr//
slp_dctR	
solA_yceO	ssuE//
speAB	ravA//ydfG//
speF_potE	yciV//menF//
srlAEBD_gutM_srlR_gutQ	maeA//citG//gmhB//
sroG_ribB	suhB//
sspAB	
ssrS_fau	bioA//
ssuEADCB	cobU//asnB//waaO//
stfE_tfaE	
sucAB	lsrG//mltA//rlmC//
sucABCD	waaB//alaA//fucI//yciV//
sufABCDSE	yfiC//
surA_pdxA_rsmA_apaGH	mak//gpt//gcvT//tdcD//
tag_yiaC	phnN//
talA_tktB	ybiV//rffC//
tamAB_ytfP	
tar_tap_cheRBYZ	preT//yihT//
tatABC	eutB//
tatABCD	hyaC//aldA//
tauABCD	pphA//ampC//
tdcABCDEFG	tsaD//atoB//thrA//glxR//trmJ//
tdcBCDEFG	dxs//dinB//oxc//hisA//trpC//
tehAB	xdhC//accC//
tesA_ybbO	yfiC//sad//
tff_rpsB_tsf	
tgt_yajC	yihT//
thiCEFSGH	speG//dut//dusC//rlmD//pta//
thiMD	lysS//torC//
thrLABC	dkgA//mltB//paaK//
thrS_infC	nfsB//
thrS_infC_rpmI_rplT_pheMST_ihfA	cynS//fabD//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	waaU//ldtB//
tolB_pal_cpoB	
tolC_ygiABC	nadC//hycE//adhP//hcaE//rph//hmp//ttdB//recJ//ldcA//
tomB_hha	
topAI_yjhQ	
torCAD	dadA//
torYZ	ispU//
treBC	pdeL//cheB//
trmI_yggL	tdcG//
trpCBA	yneH//leuB//guaD//cdd//
trpLEDCBA	alr//hcaD//phnI//tsaE//slyD//hycB//
tsaB_yeaY	bglB//
tsaE_amiB_mutL_miaA_hfq_hflXKC	pphA//alsE//yegS//edd//surA//
ttdABT	lpxL//hemN//
tyrS_pdxY	thrC//yihT//
tyrTV_tpr	
tyrV_tpr	
ubiCA	apt//puuA//
ubiEJB	yihS//
udk_dcd	pinE//wecC//
ugpBAECQ	nudL//deoD//
uhpABC	
uidABC	rlmD//galT//
ulaABCDEF	dgcC//menI//rsmC//nadC//
umpG_pcm	fadH//fkpB//
umuDC	waaH//
uof_fur	
upp_uraA	maa//recJ//
usg_truA_dedA	pldB//
uvrYC	kefF//
uxaCA	eda//gadB//
uxuAB	ppx//sgbU//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	queC//hmp//
waaQGPSBOJYZU	nudJ//dgoD//entH//iaaA//amyA//metC//rffG//dosP//yahK//ispD//
waaYZ	thyA//mutY//
waaZU	sodB//asnS//
wbbIJK	sdhB//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	waaJ//tyrB//guaC//nrfD//ybjG//uxaA//
wcaKLM	
wrbA_yccJ	yniC//
wza_wzb_wzc	malY//tnaA//
wza_wzb_wzc_wcaAB	sucA//gmhB//
xanQ_guaD_ghxQ	ttdA//atoD//trxB//
xapAB	rluE//araA//
xdhABC	sgbU//
xerD_dsbC_recJ	scpC//pyrD//
xseB_ispA_dxs_yajO	dadA//yieH//rlmC//sgbU//
xylAB	gloC//cmoB//
xylFGHR	rsmG//
yabPQ	
yacC_speED	fumC//argA//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	uvrB//
yafDE	
yafNOP	lpxK//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	mqo//ilvE//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	lpoA//
ybaB_recR	gpmM//
ybaST	mpl//
ybbAP	
ybbY_glxK	purF//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	rbsD//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	cmoA//
ybeZY	
ybeZYX_lnt	ubiH//
ybfHG	
ybfOC	
ybgA_phr	edd//
ybgC_tolQRA	
ybgIJKL_nei	sdaB//
ybgQPO	
ybhP_clsB_ybhN	queC//
ybiYW	
ybjC_nfsA_rimK_ybjN	glpD//uxaB//
ybjJI	insI-3//
ybjO_rlmC	rihC//
ybjQ_amiD	yeaE//
ycaI_msbA_lpxK_ycaQ	gstA//rlmH//
ycaR_kdsB	rutE//
ycbK_gloC	hisH//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	der//
yciCB	
yciGFE	
yciK_btuR	cobU//
yciVOQ	ydbC//
yciZT	
ycjMNOPQRSTUV_ymjB	paaE//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	hyaA//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	yfaU//trmL//
ydcSTUV_patD	aroE//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	gntK//
ydgK_rsxABCDGE_nth	aroF//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	entH//melA//
ydiJ_menI_ydiH	rutE//
ydiNB_aroD	argC//mqo//
ydiQRST_fadK	cueO//
ydjA_selD_topB	rutC//ilvB//
ydjLKJIHG	ppc//
ydjXYZ_ynjABCD	
yeaGH	pldB//
yeaR_yoaG	
yeaVW	
yebC_ruvC	prs//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	nadE//ydiO//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	yjiA//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	glk//paoB//
yejABEF	polA//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	hyi//
yfaX_rhmD	
yfaX_rhmD_yfaVU	bglB//
yfbUT	trpD//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	mpaA//
yfdX_frc_oxc_yfdVE	metG//sad//ydjG//
