# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	fabA//
glgAP	pgaB//idnO//
glgBXCAP	mltF//tcdA//yeiR//tktA//yihV//
glgCAP	paaI//epd//pcm//
glmUS	ilvN//gloA//
glnALG	torY//
glnHPQ	napA//
glnK_amtB	lpd//
glnLG	
glnW_metU_glnVX	
glpABC	dsdA//
glpEGR	eno//alkB//
glpFKX	moeB//rluF//ndh//
glpGR	avtA//
glpTQ	ydfG//lipA//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	menC//
glvCBG_ysdC	
glyQS	nanK//
glyVXY	
glyW_cysT_leuZ	
gntKU	ahr//thiH//
gntRKU	xylB//hyaA//
gntX_nfuA	
gpmM_envC_yibQ	fsaB//truB//
groSL	
gspAB	
gspCDEFGHIJKLMO	cof//
guaBA	frdA//aroL//
gudPXD	menH//ppk//
hcaEFCBD	nth//hyaC//
hcp_hcr	ulaG//torZ//
hdeAB_yhiD	
hemA_prfA_prmC	glcD//puuA//
hemCDXY	hcp//acpH//
hflD_purB	rffC//
hfq_hflXKC	waaO//
hicAB	
higBA	pdxY//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	clsC//fsaA//tesB//frdC//
hipBA	maa//
hisBHAFI	spoT//bioA//ynfH//fabD//
hisJQMP	yhdJ//ispB//
hisLGDCBHAFI	fabH//ppiB//proB//glnA//ldtB//phnG//waaA//
hofMNOP	
holC_valS	waaQ//
holD_rimI_yjjG	recO//gabD//
hscBA_fdx_iscX	amiD//
hsdMS	mobA//
hsdRMS	murB//
hslRO	
hslVU	hcp//
hyaABCDEF	
hybOABCDEFG	eptB//
hycABCDEFGHI	yiaY//glpE//
hydN_hypF	dgcZ//
hyfABCDEFGHIJR_focB	gutQ//
hypABCDE	puuC//
hypABCDE_fhlA	fabD//
hypBCDE	dkgB//
hypBCDE_fhlA	dacC//
iaaA_gsiABCD	nagA//tmcA//
ibaG_murA	folM//
ibpAB	
idnDOTR	prs//fucU//mltB//
ileS_lspA_fkpB_ispH	sdaB//ubiF//aceB//wcaJ//
ilvEDA	mhpF//yfbT//phoA//fadJ//
ilvIH	epmB//
ilvLXG_1G_2MEDA	yihS//gpp//dgkA//speF//fbaA//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	fcl//
insN_1I_1O_1	aroE//
insO_2_yjhWV	
iscRSUA	cpsB//ulaG//
ispDF	deoA//deoB//
ispG_sroE	uvrB//
isrC_flu	
ivbL_ilvBN	moeB//
ivbL_ilvBN_uhpABC	dacA//
kbaZ_agaVWA	sodB//
kbl_tdh	dxs//ubiD//
kdpDE	
kdpFABC	folE//
kdsC_lptCAB	glcD//ribD//
kefFC	pbpC//pgk//
kefGB_yheV	pheT//
kilR_ydaE	
lacYA	queF//ung//
lacZYA	frdC//paaI//ispU//
lapAB	
lapAB_pyrF_yciH	lpxB//
lepAB	paaJ//
leuLABCD	recF//ybcF//rsmA//
leuQPV	
leuS_lptE_holA_nadD_cobC	garK//rluE//purD//
lexA_dinF	
lgt_thyA	rlmL//clsB//
ligA_ypeB	nagZ//
livKHMGF	cdh//moaE//
lldPRD	cobC//ampH//
lolA_rarA	
lolB_ispE_prs	yieH//recR//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	yicI//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	dld//bioC//
lptFG	
lspA_fkpB_ispH	nudB//nanK//narH//
lsrACDBFG_tam	gpt//rsmH//hemN//dmsA//
lsrRK	ldtE//
ltaE_ybjT	ilvB//
lysT_valT_lysW	
macAB	folA//
malEFG	malY//
malK_lamB_malM	bcsZ//ycjU//
malPQ	puuC//narH//
malXY	waaU//abgB//
manXYZ	aroK//
map_glnD_dapD	uvrC//queG//pdxA//
marRAB	
mazEFG	deoB//
mcrBC	glcB//
mdlAB	
mdtABCD_baeSR	bioA//
mdtEF	zwf//
mdtJI	yneH//
mdtM_yjiN	pgsA//
mdtNOP	rsmF//
melAB	glnS//nanK//
menA_rraA	ldcC//
menBCE	trmD//nanE//thiM//
menDHBCE	pepD//katG//hemE//pyrB//yjhH//
menFDHBCE	leuS//rlmG//araB//yeiG//glyA//ynjE//
metBL	atoB//glgP//
metNIQ	speF//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	upp//truD//pyrB//
metZWV	
mglAC	hcaE//
mglBAC	aceB//
mgtLA	edd//
mhpABCDFE	ttdA//leuS//rnpB//ruvB//nudF//lpxK//
mhpR_lacI	
miaA_hfq_hflXKC	nudG//fes//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	bfr//nth//
mnaT_ydcZ	paaF//
mngAB	yagE//sgbH//
mnmG_rsmG	yeiR//acs//
mntR_ybiR	
moaABCDE	gmd//argE//
moaBCDE	clsC//
mobAB	arnB//
modABC	ulaE//
modEF	
moeAB	preT//hyaA//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	narG//
mqsRA	rsmH//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	glyS//gpmA//lacA//miaA//trmL//insI-3//mazG//solA//galM//gstB//pinE//
mreBCD	
mreCD	
msrPQ	
mtlADR	lpxT//lipA//mutH//
mtn_btuF_yadS	psd//ahpC//
murB_birA	glxK//malP//
murQP	acpH//aldA//yagE//
murQP_yfeW	ppx//pdxB//mraY//uxaC//
mutL_miaA_hfq_hflXKC	pdeL//dgcZ//dgoK//
mutY_yggX	lacA//
mutY_yggX_mltC	uvrA//prmB//
mutY_yggX_mltC_nupG	alkB//maeA//eda//
nadA_pnuC	lpxL//fumC//
nagBAC_umpH	tsaD//glpX//aphA//
nagK_cobB	dxs//polB//
nanATEK_yhcH	mak//ldhA//paaC//ispE//
nanCM	nadA//trpB//
nanCMS	nfi//mrdA//
napFDAGHBC	pyrD//
napFDAGHBC_ccmABCDEFGH	rutB//lpxA//
narGHJI	ydbC//
narWV	pbpC//
narXL	
narZYWV	nudF//
nemRA	gntK//
nemRA_gloA	hisS//astB//
nfrBA	
nhaAR	rluB//
nikABCDER	speF//
nirBDC_cysG	cueO//mhpB//valS//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	gss//
nrdAB_yfaE	wzc//
nrdDG	trmD//sdhC//
nrdHIEF	mpl//
nrdR_ribDE_nusB_thiL_pgpA	purF//kefF//uvrA//cueO//
nrfABCDEFG	argS//
nsrR_rnr_rlmB_yjfI	fucU//amn//
nudB_yebC_ruvC	rsmF//malZ//
nudC_hemE_nfi	yihV//fabD//
nudF_yqiB_cpdA_yqiA_parE	waaP//tyrB//
nuoABCEFGHIJKLMN	xdhA//
nuoMN	gluQ//
ompR_envZ	
opgGH	
oppABCDF	araA//lipA//
osmF_yehYXW	lysC//
otsBA	tyrA//yghU//
paaABCDEFGHIJK	clsA//glnA//dut//uidA//nadB//fabI//mltC//
paaXY	ybbO//
pabB_nudL	frlD//gcvH//
pabC_mltG_tmk_holB_ycfH	alaA//etp//sgbH//
panBC	rfbD//anmK//
panE_yajL	citC//
paoABCD	hyaC//
pcnB_folK	gpp//hemC//
pdeI_dgcI	
pdhR_aceEF_lpd	acpT//fucI//purH//cynS//ribB//yghA//
pdxA_rsmA	sdhC//kduI//
pdxA_rsmA_apaGH	wecC//dgcC//narG//
pdxB_usg_truA_dedA	mocA//waaQ//
pdxH_tyrS_pdxY	fsaB//trxB//kbl//
pdxJ_acpS	rffH//yciV//
pepQ_yigZ_trkH_hemG	napH//fes//yagF//
pflDC	
pgaABCD	ygiF//frdB//yjeF//
pgk_fbaA	csdA//lysC//
pgpC_tadA	entH//dxs//
pheLA	queG//
pheMST_ihfA	lgoD//
phnCDE_1E_2FGHIJKLMNOP	glgC//pgaC//slyD//truD//ilvG_1//acpS//ung//
phnLMNOP	yjhG//napC//ldcC//argE//glpX//
phoA_psiF	pbpC//
phoBR	
phoPQ	
pldB_yigL	bioA//fumB//
plsX_fabHDG	patA//trxB//yigB//
pntAB	
potABCD	pcm//
potFGHI	yfeW//
poxB_ltaE_ybjT	sdaA//accA//
ppdAB_ygdB_ppdC_recC	truA//
ppdD_hofBC	
ppiB_lpxH	ilvD//tadA//
ppk_ppx	ynfE//sdhA//
pqiAB	
preTA	ubiA//
prfB_lysS	frdD//
priC_ybaM	
prlC_rsmJ	thiK//ydbC//
prlF_yhaV	fadB//
prmB_aroC_mepA_yfcA_epmC_yfcL	dmsA//glyQ//hisB//etk//
proBA	yeiR//frdD//
proQ_prc	prpD//
proVWX	kbaZ//
prpBCDE	queA//guaA//etk//eno//
psd_mscM	
pspABCDE	serS//
pspBCDE	dnaE//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	speD//proB//
pth_ychF	pheS//
ptrA_recBD	pykA//rluC//
ptsA_fsaB_gldA	dosP//dmsB//
ptsHI_crr	narV//dcyD//eutD//
purEK	ybaS//fabG//
purHD	leuC//mobA//
purMN	ruvA//pheA//
puuAP	galT//hcaB//
puuCBE	ydjG//chbF//ackA//
puuDRCBE	metF//rph//lpxD//galK//
pyrF_yciH	glpK//
pyrG_eno	napG//speF//
pyrLBI	yjjX//
qmcA_ybbJ	
qseBC	
radA_nadR	ribD//
rapA_rluA	ubiG//
ratAB	
ravA_viaA	
rbsDACBKR	nanA//ydbC//dmlA//
rclABC	
rclBC	
rcnAB	pykA//
rcsDB	
rcsF_trmO	argS//
rdgB_yggW	mocA//
rdoA_dsbA	gnd//rfe//
recAX	
recET_ralR_ydaC_xisR_intR	kdsC//gss//
relA_mazEF	rlmD//
relBE	fucU//
relBE_hokD	ada//
renD_emrE	leuS//
rfaD_waaFCL	alaS//mtlD//cysQ//yihX//
rfbACX	aspS//spoT//dmsA//rlmB//
rfbBDACX	plsB//mcrC//metE//waaJ//ldcA//rfaE//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	xylB//umpG//nfsB//uxaC//ribB//ileS//leuC//yihV//paaY//
rhaBAD	allA//ubiI//lldD//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	frlD//psd//pyrH//
ribF_ileS_lspA_fkpB_ispH	gltA//allD//aroC//maa//dmsC//
rimK_ybjN	murC//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	yajO//ppa//thyA//fadB//frc//araA//nrdE//yhdJ//dsdA//yiaY//
rlmE_ftsH	hflX//ydfG//
rlmL_uup	ynfG//
rluD_yfiH	patA//pdxY//
rluE_nudJ	acpS//tag//
rnc_era	treA//
rnc_era_recO_pdxJ_acpS	dgoD//fruK//argK//fadE//
rnlAB	alaA//
rnt_lhr	nfsA//
rpe_gph_trpS	wzb//tam//acpS//
rph_pyrE	dapE//glmM//
rpiR_alsBACE	waaU//ascB//
rplJL_rpoBC	pdxJ//
rplKAJL_rpoBC	paaZ//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	dusA//
rpmF_plsX_fabHDG	ppc//ackA//cysI//
rpmH_rnpA	gstA//mqo//
rpmI_rplT	
rpoBC	kduD//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	lysS//fre//kdgK//
rppH_ptsP	pyrD//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	waaG//
rpsO_pnp	fucA//lpoA//
rpsP_rimM_trmD_rplS	ynjE//
rpsU_dnaG_rpoD	yhhW//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	glcE//fau//
rsmA_apaGH	yiaY//bcsZ//
rsmD_yhhL	gadB//
rsmE_gshB	deoA//yahK//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	maa//fadI//yahK//ravA//ushA//ydiB//pdeF//maa//mcrB//paaB//gntK//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	proB//
rtcBA	yigL//paaJ//
rutABCDEFG	purD//citF//hcaD//torY//folA//caiC//
ruvAB	gshB//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	moaD//
scpA_argK_scpBC	fucK//argF//murB//mhpA//
sdaCB	aroH//araA//
sdhCDAB_sucABCD	ndh//dapA//trpD//hycF//
sdhDAB	
sdhE_cptA	
secB_gpsA	hdhA//
secE_nusG	
secG_leuU	
secMA_mutT	yqjH//
selAB	wecC//pldA//
selD_topB	rsmE//hisD//
seqA_pgm	dgt//
serB_radA	kdsC//
serC_aroA	cyoE//narV//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	uvrA//
sgrST_setA	glyA//
skp_lpxD_fabZ_lpxA	cysN//cadA//atoD//
slp_dctR	
solA_yceO	kdsC//
speAB	fdhF//appA//
speF_potE	pta//kbaZ//
srlAEBD_gutM_srlR_gutQ	aroG//rlmM//purF//
sroG_ribB	argA//
sspAB	
ssrS_fau	dmsA//
ssuEADCB	ydbC//gltX//psd//
stfE_tfaE	
sucAB	recJ//aslA//aslA//
sucABCD	mepS//nfsA//sgbH//truB//
sufABCDSE	emtA//
surA_pdxA_rsmA_apaGH	rbn//rlmG//rsmJ//gadB//
tag_yiaC	dacC//
talA_tktB	rsmD//sucA//
tamAB_ytfP	
tar_tap_cheRBYZ	cysM//miaB//
tatABC	cynT//
tatABCD	dacA//napG//
tauABCD	entH//fucI//
tdcABCDEFG	cysG//nrfD//fadA//nudC//frlD//
tdcBCDEFG	tyrB//fkpA//dapE//pdxA//truD//
tehAB	hcaB//gor//
tesA_ybbO	phnO//pyrD//
tff_rpsB_tsf	
tgt_yajC	uxaA//
thiCEFSGH	fadD//prpB//fabB//menF//prs//
thiMD	carB//rpe//
thrLABC	clsA//coaA//hycF//
thrS_infC	hyaB//
thrS_infC_rpmI_rplT_pheMST_ihfA	hemB//spoT//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	katG//hycE//
tolB_pal_cpoB	
tolC_ygiABC	slyD//mnaT//hemG//waaF//hemA//ygeX//glgP//menH//yceF//
tomB_hha	
topAI_yjhQ	
torCAD	narG//
torYZ	paaA//
treBC	queG//rsmA//
trmI_yggL	insI-2//
trpCBA	glcF//paaE//thiH//asnB//
trpLEDCBA	eptC//ahpC//fdhF//lpxH//cynS//hcp//
tsaB_yeaY	yhdH//
tsaE_amiB_mutL_miaA_hfq_hflXKC	gatY//tadA//thrS//dacA//zwf//
ttdABT	nfsB//kduI//
tyrS_pdxY	gadA//pgpB//
tyrTV_tpr	
tyrV_tpr	
ubiCA	murI//tam//
ubiEJB	mug//
udk_dcd	entC//ldcA//
ugpBAECQ	fumA//adhE//
uhpABC	
uidABC	purH//menF//
ulaABCDEF	pyrB//rfbB//recJ//plsB//
umpG_pcm	dmsC//hycD//
umuDC	umpH//
uof_fur	
upp_uraA	phoA//ispF//
usg_truA_dedA	lpxK//
uvrYC	glcE//
uxaCA	poxB//phoA//
uxuAB	sodC//epd//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	entC//yciV//
waaQGPSBOJYZU	lpoA//tdh//gltD//fadK//ilvD//purU//preA//yibQ//ubiX//nrfD//
waaYZ	folB//manA//
waaZU	amyA//dxr//
wbbIJK	rlmG//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	ybhA//prs//aceE//uxuA//bioA//serC//
wcaKLM	
wrbA_yccJ	pdxJ//
wza_wzb_wzc	rnb//fadD//
wza_wzb_wzc_wcaAB	dinB//pabA//
xanQ_guaD_ghxQ	cmoB//aroK//ynfF//
xapAB	mutY//dkgB//
xdhABC	sucB//
xerD_dsbC_recJ	ilvM//maa//
xseB_ispA_dxs_yajO	ravA//gadA//gadA//truD//
xylAB	insI-3//argC//
xylFGHR	purU//
yabPQ	
yacC_speED	ispH//mpl//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	yqaB//
yafDE	
yafNOP	ycjG//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	gmhB//speB//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	ansA//
ybaB_recR	deoD//
ybaST	ampD//
ybbAP	
ybbY_glxK	tsaB//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	trmD//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	pfkA//
ybeZY	
ybeZYX_lnt	puuA//
ybfHG	
ybfOC	
ybgA_phr	kbaY//
ybgC_tolQRA	
ybgIJKL_nei	hycC//
ybgQPO	
ybhP_clsB_ybhN	yqaB//
ybiYW	
ybjC_nfsA_rimK_ybjN	uvrB//waaO//
ybjJI	hmp//
ybjO_rlmC	paaF//
ybjQ_amiD	argB//
ycaI_msbA_lpxK_ycaQ	pgk//sad//
ycaR_kdsB	arnT//
ycbK_gloC	lacA//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	ispE//
yciCB	
yciGFE	
yciK_btuR	polB//
yciVOQ	ubiH//
yciZT	
ycjMNOPQRSTUV_ymjB	metL//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	folC//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	ulaF//mcrC//
ydcSTUV_patD	mqo//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	sad//
ydgK_rsxABCDGE_nth	hypF//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	ilvG_2//pheS//
ydiJ_menI_ydiH	bglB//
ydiNB_aroD	idnK//dmsB//
ydiQRST_fadK	entE//
ydjA_selD_topB	folE//nhoA//
ydjLKJIHG	rfbC//
ydjXYZ_ynjABCD	
yeaGH	nrdE//
yeaR_yoaG	
yeaVW	
yebC_ruvC	dsdA//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	lpoA//trmO//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	pgl//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	malS//folX//
yejABEF	menE//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	cdd//
yfaX_rhmD	
yfaX_rhmD_yfaVU	abgA//
yfbUT	dacC//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
