# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	galU//
dadAX	mqo//yihS//
damX_dam_rpe_gph_trpS	asnB//menC//yjhH//pgpB//
dam_rpe_gph_trpS	ndh//ispD//fre//yjcS//
dapA_bamC	umuC//
dapE_ypfN	nrdE//
dcm_vsr	hyuA//
dcuB_fumB	mpaA//pabA//
dcuSR	
dcyD_tcyLN	lpd//ssuE//
ddpXABCDF	garK//
def_fmt	psuG//dapA//
degQS	nanE//bacA//
deoABD	yghU//pdeF//murA//
deoBD	waaA//rfaD//
deoCABD	pyrG//dut//kbaY//thrA//
dgoRKADT	hdhA//thyA//fbaA//hycC//
dhaKLM	ftsI//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	hycB//aroG//
dinJ_yafQ	waaQ//
dksA_gluQ	pssA//
dmsABC	thiD//
dnaAN_recF	ugpQ//
dnaK_tpke11_dnaJ	bfr//
dnaN_recF	rlmB//
dnaTC	
dnaTC_yjjA	
dosCP	xylA//rffT//
dpiBA	
dppABCDF	rlmM//
dsbC_recJ_prfB	adk//yqjH//
dsbD_yjdC	
dsdXA	aroH//tgt//
dusB_fis	aroH//
dut_slmA	dapB//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	glk//dacD//
efeOB	ilvE//
efeU_1U_2	
elbB_mtgA	rsmE//
elfDCG_ycbUVF	
emrKY	ribD//
entCEBAH	tyrS//recO//csdA//lsrG//yagF//pinE//
envY_ompT	purB//
epd_pgk	eptA//rlmD//
epd_pgk_fbaA	yihS//gltX//serC//
essD_rrrD_rzpD	trmO//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	yjjX//
eutHA	
eutNEJG	
eutSPQTDM	hycC//
evgAS	
exbBD	
fabDG_acpP	rlmA//mnmG//
fabG_acpP	kdsB//
fabHDG	hcaD//lpxK//ribD//
fabR_yijD	
fadBA	yfdE//waaZ//
fadD_sroD	lsrF//
fadIJ	rihB//gcd//
fdnGHI	
fdoGHI_fdhE	ynfE//
fdrA_ylbEF_ybcF	gatD//
fecABCDE	lysS//pfkA//
fecIR	
feoABC	speF//
fepA_entD	malZ//murG//fadD//
fepDGC	alkA//
fes_ybdZ_entF_fepE	murB//argB//fucU//
fetAB	
fhuACDB	trmD//hyuA//
ficA_fic_pabA	menB//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	folD//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	gmk//lpxB//
folC_dedD	mpl//
folD_ybcJ	tdcE//
folE_yeiB	puuD//
folP_glmM	yghA//ligB//
folX_yfcH	hcaC//
frdABCD	glpE//
frlABCDR	speD//speA//psuG//trpE//
frmRAB	azoR//gcvT//
fruBKA	kduI//umpG//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	cyaA//ackA//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	tdcB//alaC//ulaF//iaaA//mazG//fadB//pagP//dapF//fucA//dkgB//
ftsQAZ	
ftsYEX	
fucAO	argK//malP//
fucPIKUR	tatD//gcvP//mltA//ackA//
fumAC	rihA//nrdE//
fusA_tufA	
gabDTP	xylA//glgC//rutB//
gadAX	alsK//
gadBC	tsaD//thrS//
gadEF	
gadEF_mdtEF	leuD//
gadXW	
galET	waaU//ldtB//
galETK	argE//proS//pdxA//
galETKM	ribA//tsaB//ascB//hchA//
gapA_yeaD	yajO//
gapC_1C_2	
garPLRK_rnpB	lysC//etk//gluQ//sucC//pdeL//aspC//
gatYZABCD	ydjG//folB//pssA//
gatZABCD	puuA//ghrB//yigL//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	lysA//hcaD//ubiE//nrdE//ilvA//
gcvTHP	uxuB//glcB//argH//
gfcBCD	
gfcE_etp_etk	hemF//hisF//
ghoST	fucA//
glcBA	pykA//umuC//
glcDEFGBA	alaA//citG//ybcF//
glf_wbbH	dinB//
glgAP	dgoA//astD//
glgBXCAP	ispB//ulaF//nfsA//atoD//gpmA//
glgCAP	patA//fbp//hisF//
glmUS	ispF//adeD//
glnALG	ubiI//
glnHPQ	speC//
glnK_amtB	rph//
glnLG	
glnW_metU_glnVX	
glpABC	hcaB//
glpEGR	wzc//dgcM//
glpFKX	mnmA//citG//zwf//
glpGR	galK//
glpTQ	ispD//mraY//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	truA//
glvCBG_ysdC	
glyQS	tyrS//
glyVXY	
glyW_cysT_leuZ	
gntKU	mltB//prpE//
gntRKU	miaA//hisC//
gntX_nfuA	
gpmM_envC_yibQ	umuD//caiD//
groSL	
gspAB	
gspCDEFGHIJKLMO	paoC//
guaBA	emtA//slyD//
gudPXD	ldtC//phnG//
hcaEFCBD	gcvP//gadA//
hcp_hcr	napG//csdA//
hdeAB_yhiD	
hemA_prfA_prmC	tdcD//proC//
hemCDXY	bcsZ//yigB//
hflD_purB	hemF//
hfq_hflXKC	kdsD//
hicAB	
higBA	nanE//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	ttdA//yghU//prpE//nrdD//
hipBA	lacA//
hisBHAFI	nadR//dgcC//cfa//apaH//
hisJQMP	dgoA//cheB//
hisLGDCBHAFI	bioF//aroC//rsmJ//citX//ampH//panE//pnp//
hofMNOP	
holC_valS	purH//
holD_rimI_yjjG	cysD//clsA//
hscBA_fdx_iscX	rlmF//
hsdMS	lysC//
hsdRMS	paaH//
hslRO	
hslVU	tktB//
hyaABCDEF	
hybOABCDEFG	cdd//
hycABCDEFGHI	uvrA//yniC//
hydN_hypF	serB//
hyfABCDEFGHIJR_focB	xylA//
hypABCDE	garR//
hypABCDE_fhlA	recR//
hypBCDE	asd//
hypBCDE_fhlA	chbG//
iaaA_gsiABCD	paaC//panD//
ibaG_murA	eda//
ibpAB	
idnDOTR	astA//serC//nagB//
ileS_lspA_fkpB_ispH	nrdB//nemA//pfkA//frlC//
ilvEDA	hycE//rihA//acnB//guaB//
ilvIH	nrdB//
ilvLXG_1G_2MEDA	gltX//tam//dmsB//xylB//cpsG//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	glpK//
insN_1I_1O_1	yajO//
insO_2_yjhWV	
iscRSUA	fbaA//moaD//
ispDF	cpdA//plsB//
ispG_sroE	pykA//
isrC_flu	
ivbL_ilvBN	thiG//
ivbL_ilvBN_uhpABC	uvrC//
kbaZ_agaVWA	pncA//
kbl_tdh	fabA//cfa//
kdpDE	
kdpFABC	rsmE//
kdsC_lptCAB	tatD//kdgK//
kefFC	purM//pinE//
kefGB_yheV	panB//
kilR_ydaE	
lacYA	wrbA//rlmC//
lacZYA	lsrG//yiaY//yjeF//
lapAB	
lapAB_pyrF_yciH	acpS//
lepAB	torZ//
leuLABCD	yjiA//waaZ//fkpB//
leuQPV	
leuS_lptE_holA_nadD_cobC	yjjG//caiA//tcdA//
lexA_dinF	
lgt_thyA	fsaB//putA//
ligA_ypeB	mngB//
livKHMGF	ynfE//glgC//
lldPRD	puuE//napB//
lolA_rarA	
lolB_ispE_prs	narY//ldtC//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	paaC//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	eutD//truD//
lptFG	
lspA_fkpB_ispH	glf//murB//ushA//
lsrACDBFG_tam	purK//cysD//nudK//ppsA//
lsrRK	fre//
ltaE_ybjT	trmH//
lysT_valT_lysW	
macAB	kdsD//
malEFG	garK//
malK_lamB_malM	ilvA//gabD//
malPQ	gabD//fumA//
malXY	fau//thiE//
manXYZ	chbG//
map_glnD_dapD	metG//acnB//gntK//
marRAB	
mazEFG	purF//
mcrBC	rlmE//
mdlAB	
mdtABCD_baeSR	cobT//
mdtEF	astE//
mdtJI	phnM//
mdtM_yjiN	patD//
mdtNOP	fucI//
melAB	coaA//deoA//
menA_rraA	nudK//
menBCE	fabH//slt//cobS//
menDHBCE	ydbC//rrrD//dadA//guaC//entF//
menFDHBCE	entB//argE//feaB//gpt//pgpA//solA//
metBL	queA//arnA//
metNIQ	sodB//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	ilvN//garD//hemD//
metZWV	
mglAC	deoC//
mglBAC	dcm//
mgtLA	sgbE//
mhpABCDFE	asnB//pgpA//hisF//ubiH//lplA//lipB//
mhpR_lacI	
miaA_hfq_hflXKC	pyrI//ispH//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	trmH//pncB//
mnaT_ydcZ	yrfG//
mngAB	paaY//proB//
mnmG_rsmG	oxc//truD//
mntR_ybiR	
moaABCDE	aldB//rnpB//
moaBCDE	paaY//
mobAB	pyrI//
modABC	gcd//
modEF	
moeAB	waaF//dgcM//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	cpdB//
mqsRA	argK//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	dmsC//queF//putA//thiD//etk//argS//fdhF//garR//trpA//gabD//ansB//
mreBCD	
mreCD	
msrPQ	
mtlADR	dgkA//alaS//fsaB//
mtn_btuF_yadS	rluA//trpE//
murB_birA	moaE//yeiG//
murQP	deoB//pbpC//ltaE//
murQP_yfeW	napH//tdcB//mnaT//alkB//
mutL_miaA_hfq_hflXKC	acnB//folX//argB//
mutY_yggX	gcvT//
mutY_yggX_mltC	ssuD//adeD//
mutY_yggX_mltC_nupG	proA//yrfG//narY//
nadA_pnuC	mtn//dgcT//
nagBAC_umpH	yihU//hemB//proC//
nagK_cobB	cysG//kdsD//
nanATEK_yhcH	glxK//aroC//pncA//hmp//
nanCM	ppiA//psuK//
nanCMS	gpt//miaB//
napFDAGHBC	mmuM//
napFDAGHBC_ccmABCDEFGH	ugpQ//nanA//
narGHJI	cobB//
narWV	frdC//
narXL	
narZYWV	mnmE//
nemRA	argH//
nemRA_gloA	lacA//cobB//
nfrBA	
nhaAR	dadA//
nikABCDER	yceF//
nirBDC_cysG	glgA//bglB//dxs//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	paoB//
nrdAB_yfaE	yhhW//
nrdDG	insI-3//ygeX//
nrdHIEF	allE//
nrdR_ribDE_nusB_thiL_pgpA	paoB//tyrB//yfiH//mmuM//
nrfABCDEFG	fumB//
nsrR_rnr_rlmB_yjfI	ppx//mqo//
nudB_yebC_ruvC	mltB//ispB//
nudC_hemE_nfi	nirD//fabI//
nudF_yqiB_cpdA_yqiA_parE	paaA//gatZ//
nuoABCEFGHIJKLMN	luxS//
nuoMN	hemN//
ompR_envZ	
opgGH	
oppABCDF	gltX//hisF//
osmF_yehYXW	dapE//
otsBA	mraY//cysE//
paaABCDEFGHIJK	hcaF//rsgA//mngB//ascB//purT//amiD//lpxD//
paaXY	sodA//
pabB_nudL	thrA//rffH//
pabC_mltG_tmk_holB_ycfH	uxaB//ychF//cobS//
panBC	lacA//alaC//
panE_yajL	hemA//
paoABCD	pgpC//
pcnB_folK	putA//ghrB//
pdeI_dgcI	
pdhR_aceEF_lpd	ugd//glpK//hemA//thiI//thrB//ansA//
pdxA_rsmA	fcl//nudE//
pdxA_rsmA_apaGH	fadM//tsaB//frc//
pdxB_usg_truA_dedA	gcd//frdA//
pdxH_tyrS_pdxY	ruvA//folB//ampC//
pdxJ_acpS	ispB//tsaB//
pepQ_yigZ_trkH_hemG	frdB//aslA//cysS//
pflDC	
pgaABCD	pspE//otsA//mazG//
pgk_fbaA	nemA//panB//
pgpC_tadA	birA//glmM//
pheLA	mgsA//
pheMST_ihfA	fau//
phnCDE_1E_2FGHIJKLMNOP	rdoA//proC//ybcF//pyrC//malY//waaY//ampD//
phnLMNOP	spoT//torZ//pfkB//narG//ybaS//
phoA_psiF	serS//
phoBR	
phoPQ	
pldB_yigL	proB//kefF//
plsX_fabHDG	gloB//insI-1//paaI//
pntAB	
potABCD	prs//
potFGHI	nhoA//
poxB_ltaE_ybjT	nadK//curA//
ppdAB_ygdB_ppdC_recC	yjhH//
ppdD_hofBC	
ppiB_lpxH	waaQ//pdxH//
ppk_ppx	tsaC//hcaF//
pqiAB	
preTA	yagF//
prfB_lysS	nadA//
priC_ybaM	
prlC_rsmJ	fkpA//ispD//
prlF_yhaV	pyrF//
prmB_aroC_mepA_yfcA_epmC_yfcL	wcaJ//rluB//insI-1//yceF//
proBA	rffM//atoA//
proQ_prc	serC//
proVWX	wbbI//
prpBCDE	ribC//yiaK//nirB//dinB//
psd_mscM	
pspABCDE	insI-2//
pspBCDE	ung//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	hisH//eda//
pth_ychF	ydiO//
ptrA_recBD	ynfF//gabT//
ptsA_fsaB_gldA	paaH//argH//
ptsHI_crr	dkgA//umpG//garL//
purEK	fbaB//tynA//
purHD	argF//citE//
purMN	bacA//nanA//
puuAP	tig//cpdA//
puuCBE	yihT//argG//nudF//
puuDRCBE	bioB//atoA//panE//ybaS//
pyrF_yciH	selD//
pyrG_eno	serS//glyA//
pyrLBI	rhaD//
qmcA_ybbJ	
qseBC	
radA_nadR	folC//
rapA_rluA	fucI//
ratAB	
ravA_viaA	
rbsDACBKR	hisI//thiH//chbF//
rclABC	
rclBC	
rcnAB	cysG//
rcsDB	
rcsF_trmO	ravA//
rdgB_yggW	menC//
rdoA_dsbA	trxB//dmsC//
recAX	
recET_ralR_ydaC_xisR_intR	rihB//ppc//
relA_mazEF	nfsB//
relBE	rsmD//
relBE_hokD	moaD//
renD_emrE	nagZ//
rfaD_waaFCL	trmL//yiaY//ymdB//tmk//
rfbACX	rluF//tktB//queA//sdhA//
rfbBDACX	glnS//rnd//waaU//manA//glcB//waaO//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	mcrC//dxr//cof//prpC//nfsB//btuR//yhdH//acpH//purD//
rhaBAD	yfbT//pldB//dcm//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	mazG//proS//xylA//
ribF_ileS_lspA_fkpB_ispH	fkpB//gudD//glgB//mcrC//glxR//
rimK_ybjN	pabB//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	uvrC//pgsA//mltC//aslA//waaY//kduI//trpA//cheR//cysG//ppiA//
rlmE_ftsH	acpH//ttdB//
rlmL_uup	idnD//
rluD_yfiH	pfkB//dgcZ//
rluE_nudJ	rffC//ugpQ//
rnc_era	scpC//
rnc_era_recO_pdxJ_acpS	pyrG//ubiH//mhpB//tsaE//
rnlAB	rihA//
rnt_lhr	purU//
rpe_gph_trpS	frdB//waaO//ppiB//
rph_pyrE	ygjK//maeB//
rpiR_alsBACE	yhdH//tilS//
rplJL_rpoBC	gadA//
rplKAJL_rpoBC	cueO//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	menF//
rpmF_plsX_fabHDG	tsaD//thiM//narZ//
rpmH_rnpA	purD//gstB//
rpmI_rplT	
rpoBC	rluE//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	emtA//nanK//umuD//
rppH_ptsP	frc//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	adhE//
rpsO_pnp	otsA//mtlD//
rpsP_rimM_trmD_rplS	dosP//
rpsU_dnaG_rpoD	ansA//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	kbaY//slyD//
rsmA_apaGH	rluD//lpoA//
rsmD_yhhL	queG//
rsmE_gshB	pdxH//pdxB//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	nrfC//pphB//rsmC//gabT//asnS//dacD//thyA//leuS//dgcM//murB//yliI//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	rluA//
rtcBA	astA//sdaB//
rutABCDEFG	tyrS//moaE//frdC//ubiD//paaY//aroC//
ruvAB	epd//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	accC//
scpA_argK_scpBC	nrfC//mnmG//rutC//paaK//
sdaCB	pyrI//lsrG//
sdhCDAB_sucABCD	mhpF//psuK//patZ//maeB//
sdhDAB	
sdhE_cptA	
secB_gpsA	entE//
secE_nusG	
secG_leuU	
secMA_mutT	pnp//
selAB	can//rlmL//
selD_topB	thrC//truC//
seqA_pgm	nanK//
serB_radA	ribC//
serC_aroA	rsmC//nudL//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	metH//
sgrST_setA	hcaC//
skp_lpxD_fabZ_lpxA	metL//hcaB//deoC//
slp_dctR	
solA_yceO	menB//
speAB	frmB//tdcD//
speF_potE	nanM//bacA//
srlAEBD_gutM_srlR_gutQ	uxaC//malS//acnB//
sroG_ribB	rhaM//
sspAB	
ssrS_fau	waaO//
ssuEADCB	umuD//fabG//hypB//
stfE_tfaE	
sucAB	qor//phnG//ilvD//
sucABCD	panE//pgpB//proC//nudB//
sufABCDSE	tgt//
surA_pdxA_rsmA_apaGH	rlmC//nrfD//lpoB//thrB//
tag_yiaC	idnK//
talA_tktB	aroF//rfbB//
tamAB_ytfP	
tar_tap_cheRBYZ	gmhB//prpC//
tatABC	narG//
tatABCD	acnB//gpt//
tauABCD	yneH//gstB//
tdcABCDEFG	scpB//ispU//yfiH//rlmH//ycjU//
tdcBCDEFG	lysU//edd//ynjE//entC//leuD//
tehAB	glpK//nfsA//
tesA_ybbO	adhP//thrA//
tff_rpsB_tsf	
tgt_yajC	aceA//
thiCEFSGH	mcrA//rsmF//glnS//lipB//eutD//
thiMD	glpA//cobT//
thrLABC	dusC//rbn//ligA//
thrS_infC	fucA//
thrS_infC_rpmI_rplT_pheMST_ihfA	pgpA//panB//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	rlmA//rrrD//
tolB_pal_cpoB	
tolC_ygiABC	garL//rsgA//mdh//lpxL//rutB//fruK//murE//nrdE//csdA//
tomB_hha	
topAI_yjhQ	
torCAD	mcrC//
torYZ	panE//
treBC	fklB//thyA//
trmI_yggL	purL//
trpCBA	ispA//galK//cpsG//lacZ//
trpLEDCBA	clsA//poxB//maeB//ybaS//accD//ugd//
tsaB_yeaY	prmB//
tsaE_amiB_mutL_miaA_hfq_hflXKC	yagE//lplA//cfa//udk//cysD//
ttdABT	ychF//waaA//
tyrS_pdxY	aphA//mraY//
tyrTV_tpr	
tyrV_tpr	
ubiCA	mhpB//nudJ//
ubiEJB	rsmD//
udk_dcd	pgaD//yfeW//
ugpBAECQ	ilvC//aroB//
uhpABC	
uidABC	def//katG//
ulaABCDEF	glcE//ribF//recR//cynS//
umpG_pcm	alkA//rlmJ//
umuDC	xylA//
uof_fur	
upp_uraA	waaQ//dnaQ//
usg_truA_dedA	gpmM//
uvrYC	accA//
uxaCA	rffC//mutT//
uxuAB	srlD//gmm//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	xdhB//waaJ//
waaQGPSBOJYZU	murD//fadD//fruK//dgcM//glcE//spoT//queD//carB//ndk//pyrG//
waaYZ	fabH//mutL//
waaZU	fau//mpaA//
wbbIJK	fadE//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	astA//thiD//uxaB//ttdB//gabT//glgC//
wcaKLM	
wrbA_yccJ	umpG//
wza_wzb_wzc	recF//rffH//
wza_wzb_wzc_wcaAB	frdD//murF//
xanQ_guaD_ghxQ	aphA//adhP//yigB//
xapAB	rnb//lpxD//
xdhABC	nudG//
xerD_dsbC_recJ	ppsA//rutD//
xseB_ispA_dxs_yajO	uidA//yiaY//abgB//thiL//
xylAB	rsmI//rpiB//
xylFGHR	rimK//
yabPQ	
yacC_speED	umuC//gstB//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	phoA//
yafDE	
yafNOP	tmk//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	speE//aroC//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	caiC//
ybaB_recR	ascB//
ybaST	cysC//
ybbAP	
ybbY_glxK	yieF//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	pphA//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	ygaP//
ybeZY	
ybeZYX_lnt	rhaD//
ybfHG	
ybfOC	
ybgA_phr	nanM//
ybgC_tolQRA	
ybgIJKL_nei	mcrB//
ybgQPO	
ybhP_clsB_ybhN	ygjK//
ybiYW	
ybjC_nfsA_rimK_ybjN	pldB//glcB//
ybjJI	tdh//
ybjO_rlmC	guaC//
ybjQ_amiD	truC//
ycaI_msbA_lpxK_ycaQ	lysU//yfiH//
ycaR_kdsB	ppk//
ycbK_gloC	yohF//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	narI//
yciCB	
yciGFE	
yciK_btuR	yciV//
yciVOQ	tyrA//
yciZT	
ycjMNOPQRSTUV_ymjB	ubiI//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	glpX//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	waaO//phnM//
ydcSTUV_patD	galU//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	serB//
ydgK_rsxABCDGE_nth	ybdL//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	lldD//carA//
ydiJ_menI_ydiH	pldB//
ydiNB_aroD	aes//arnT//
ydiQRST_fadK	spoT//
ydjA_selD_topB	patD//ymdB//
ydjLKJIHG	thyA//
ydjXYZ_ynjABCD	
yeaGH	aceE//
yeaR_yoaG	
yeaVW	
yebC_ruvC	nrdE//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	nrfA//mltF//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	gcvT//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	dam//ispH//
yejABEF	slyD//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	mutS//
yfaX_rhmD	
yfaX_rhmD_yfaVU	rsmD//
yfbUT	dkgA//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
