# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	cfa//
folP_glmM	leuB//paaK//
folX_yfcH	clsA//
frdABCD	lpxD//
frlABCDR	rlmC//ybbO//yfaU//pssA//
frmRAB	apt//add//
fruBKA	ygeX//ispG//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	panB//fbaA//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	phnO//ilvI//uvrB//asd//rffM//rihA//tdcD//murF//lpxC//cobB//
ftsQAZ	
ftsYEX	
fucAO	betA//hycD//
fucPIKUR	pgpB//ppk//fucO//phnH//
fumAC	speD//rihA//
fusA_tufA	
gabDTP	rlmI//acnB//proA//
gadAX	gpp//
gadBC	adeD//mnmE//
gadEF	
gadEF_mdtEF	aroK//
gadXW	
galET	ppa//nfsA//
galETK	ybbO//puuC//ulaD//
galETKM	ampD//metE//galU//murE//
gapA_yeaD	fadD//
gapC_1C_2	
garPLRK_rnpB	deoA//etk//moaD//kdsB//mtlD//hcaD//
gatYZABCD	lysU//nrdF//paaY//
gatZABCD	deoC//dacA//rlmF//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	yqjG//speG//ldtD//phr//gatZ//
gcvTHP	rsmD//mhpC//waaY//
gfcBCD	
gfcE_etp_etk	ispB//hemE//
ghoST	yneH//
glcBA	sucB//entB//
glcDEFGBA	dxs//ada//yfeX//
glf_wbbH	opgB//
glgAP	yihV//fcl//
glgBXCAP	purB//yagE//mhpB//gutQ//pyrF//
glgCAP	ydfG//hisS//dgt//
glmUS	cpsB//preA//
glnALG	moeA//
glnHPQ	suhB//
glnK_amtB	ung//
glnLG	
glnW_metU_glnVX	
glpABC	panD//
glpEGR	gltA//purF//
glpFKX	maeA//ygeX//kdsA//
glpGR	mhpA//
glpTQ	paoB//fadE//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	tadA//
glvCBG_ysdC	
glyQS	cdd//
glyVXY	
glyW_cysT_leuZ	
gntKU	citE//rlmM//
gntRKU	aldA//asd//
gntX_nfuA	
gpmM_envC_yibQ	insI-2//wzc//
groSL	
gspAB	
gspCDEFGHIJKLMO	mhpC//
guaBA	aroE//entD//
gudPXD	glgX//gpmM//
hcaEFCBD	hcaB//opgB//
hcp_hcr	nrdD//dhaM//
hdeAB_yhiD	
hemA_prfA_prmC	nagB//argS//
hemCDXY	ampH//lpxM//
hflD_purB	kdsC//
hfq_hflXKC	ilvH//
hicAB	
higBA	glyQ//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	pdxY//hemH//yjjX//glpA//
hipBA	asnS//
hisBHAFI	torA//bglA//epmB//ppc//
hisJQMP	paaK//menH//
hisLGDCBHAFI	ispB//trmO//chbG//cyaA//tdcE//trmL//aslA//
hofMNOP	
holC_valS	sodB//
holD_rimI_yjjG	ppiB//tag//
hscBA_fdx_iscX	qor//
hsdMS	hcaB//
hsdRMS	thrB//
hslRO	
hslVU	ispH//
hyaABCDEF	
hybOABCDEFG	yigL//
hycABCDEFGHI	rfaD//glxR//
hydN_hypF	trpS//
hyfABCDEFGHIJR_focB	mltF//
hypABCDE	lplA//
hypABCDE_fhlA	mltC//
hypBCDE	recJ//
hypBCDE_fhlA	purH//
iaaA_gsiABCD	hchA//fabF//
ibaG_murA	ubiE//
ibpAB	
idnDOTR	nanM//argG//rdoA//
ileS_lspA_fkpB_ispH	murA//ilvN//ndh//narZ//
ilvEDA	aspA//argI//panB//folD//
ilvIH	xdhC//
ilvLXG_1G_2MEDA	trmI//xdhC//aspC//gph//truD//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	gabD//
insN_1I_1O_1	yiaK//
insO_2_yjhWV	
iscRSUA	talB//ybdL//
ispDF	sucA//thiM//
ispG_sroE	sodC//
isrC_flu	
ivbL_ilvBN	gabT//
ivbL_ilvBN_uhpABC	psuK//
kbaZ_agaVWA	caiD//
kbl_tdh	caiC//hemA//
kdpDE	
kdpFABC	paaG//
kdsC_lptCAB	ybbO//ynfH//
kefFC	rdgB//phnN//
kefGB_yheV	argK//
kilR_ydaE	
lacYA	pyrE//truC//
lacZYA	thiE//pgaB//astD//
lapAB	
lapAB_pyrF_yciH	gcvH//
lepAB	ulaE//
leuLABCD	mocA//tktA//dxs//
leuQPV	
leuS_lptE_holA_nadD_cobC	rsmI//upp//treC//
lexA_dinF	
lgt_thyA	rlmL//ada//
ligA_ypeB	rfaD//
livKHMGF	feaB//hisC//
lldPRD	waaO//cysI//
lolA_rarA	
lolB_ispE_prs	thiE//kduI//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	mcrB//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	mutM//glpC//
lptFG	
lspA_fkpB_ispH	yfdR//tesA//yciA//
lsrACDBFG_tam	yqhD//rihC//ychF//lpxB//
lsrRK	sodB//
ltaE_ybjT	fruK//
lysT_valT_lysW	
macAB	menE//
malEFG	nirB//
malK_lamB_malM	fcl//ubiH//
malPQ	ruvB//qor//
malXY	eptB//mutT//
manXYZ	fkpB//
map_glnD_dapD	cynT//aroH//menA//
marRAB	
mazEFG	gltA//
mcrBC	mgsA//
mdlAB	
mdtABCD_baeSR	nadK//
mdtEF	tadA//
mdtJI	guaC//
mdtM_yjiN	tmcA//
mdtNOP	der//
melAB	tehB//nanA//
menA_rraA	cobC//
menBCE	ubiA//mak//cdsA//
menDHBCE	fbaA//ubiE//mltF//ldtC//paaE//
menFDHBCE	yfcG//argS//ltaE//iaaA//dgoD//selD//
metBL	dfp//apaH//
metNIQ	sdhC//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	glnE//tyrS//yfiH//
metZWV	
mglAC	kduD//
mglBAC	pagP//
mgtLA	yegS//
mhpABCDFE	dusB//queA//ampD//napA//ulaG//alr//
mhpR_lacI	
miaA_hfq_hflXKC	kdgK//folD//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	cheB//poxB//
mnaT_ydcZ	ldhA//
mngAB	yliI//metH//
mnmG_rsmG	puuB//glyQ//
mntR_ybiR	
moaABCDE	yfdE//pyrH//
moaBCDE	idnD//
mobAB	poxB//
modABC	menI//
modEF	
moeAB	speA//proA//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	pgaC//
mqsRA	lsrK//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	gntK//nadR//idnO//suhB//glyQ//trpS//mraY//mocA//rnd//arnA//hdhA//
mreBCD	
mreCD	
msrPQ	
mtlADR	prpC//metA//paoC//
mtn_btuF_yadS	ycjG//trxB//
murB_birA	purM//kdsB//
murQP	yahK//citD//aroG//
murQP_yfeW	astE//hycC//serS//alsK//
mutL_miaA_hfq_hflXKC	oxc//fabA//trxB//
mutY_yggX	yfdR//
mutY_yggX_mltC	pyrD//opgE//
mutY_yggX_mltC_nupG	fre//nrdF//glpE//
nadA_pnuC	glcB//deoB//
nagBAC_umpH	cheB//yfeX//ribF//
nagK_cobB	efeB//dacD//
nanATEK_yhcH	torC//plsB//yjeF//pdxJ//
nanCM	napC//dfp//
nanCMS	ung//aroC//
napFDAGHBC	folK//
napFDAGHBC_ccmABCDEFGH	paaA//fadJ//
narGHJI	dacC//
narWV	yfdE//
narXL	
narZYWV	bioC//
nemRA	dkgA//
nemRA_gloA	acpS//citC//
nfrBA	
nhaAR	acpT//
nikABCDER	mutM//
nirBDC_cysG	cysE//tadA//qor//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	lpxC//
nrdAB_yfaE	xdhA//
nrdDG	caiA//alkA//
nrdHIEF	ravA//
nrdR_ribDE_nusB_thiL_pgpA	rutC//fabZ//ftsI//metK//
nrfABCDEFG	sucB//
nsrR_rnr_rlmB_yjfI	tdcB//allE//
nudB_yebC_ruvC	adk//pagP//
nudC_hemE_nfi	waaG//tgt//
nudF_yqiB_cpdA_yqiA_parE	cobU//allC//
nuoABCEFGHIJKLMN	umuC//
nuoMN	psuG//
ompR_envZ	
opgGH	
oppABCDF	kdsA//entA//
osmF_yehYXW	mpaA//
otsBA	serA//fadK//
paaABCDEFGHIJK	aspA//frdD//adhP//preT//recJ//dacC//sthA//
paaXY	treA//
pabB_nudL	wecC//hemD//
pabC_mltG_tmk_holB_ycfH	hypB//ansB//glgX//
panBC	glyS//cysD//
panE_yajL	hyaA//
paoABCD	speD//
pcnB_folK	gloC//uvrA//
pdeI_dgcI	
pdhR_aceEF_lpd	narI//hflX//sdhA//ydiF//gcd//ydjG//
pdxA_rsmA	serC//rfbC//
pdxA_rsmA_apaGH	nrdB//ssuE//dgoK//
pdxB_usg_truA_dedA	galT//mug//
pdxH_tyrS_pdxY	pyrH//ilvD//paaJ//
pdxJ_acpS	alaA//ybcF//
pepQ_yigZ_trkH_hemG	rlmI//yiaK//gadB//
pflDC	
pgaABCD	gmm//lyxK//entC//
pgk_fbaA	tktB//fucA//
pgpC_tadA	poxB//talB//
pheLA	fau//
pheMST_ihfA	wcaJ//
phnCDE_1E_2FGHIJKLMNOP	lpcA//lacZ//rsmC//ligA//phnM//lpcA//ssuE//
phnLMNOP	zwf//proC//sseA//thiD//waaU//
phoA_psiF	kdsB//
phoBR	
phoPQ	
pldB_yigL	talA//rnpA//
plsX_fabHDG	pabA//wcaJ//yceF//
pntAB	
potABCD	cmk//
potFGHI	frdD//
poxB_ltaE_ybjT	pgaB//cyoE//
ppdAB_ygdB_ppdC_recC	xdhA//
ppdD_hofBC	
ppiB_lpxH	tdcE//puuE//
ppk_ppx	fadI//plsB//
pqiAB	
preTA	waaZ//
prfB_lysS	metF//
priC_ybaM	
prlC_rsmJ	ghrB//fadH//
prlF_yhaV	nadC//
prmB_aroC_mepA_yfcA_epmC_yfcL	rfbC//rluB//adk//rpiA//
proBA	lyxK//glmM//
proQ_prc	hpt//
proVWX	lyxK//
prpBCDE	pgsA//menA//mmuM//fruK//
psd_mscM	
pspABCDE	ydiO//
pspBCDE	paaC//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	guaB//dapF//
pth_ychF	yajO//
ptrA_recBD	nrfD//yhdH//
ptsA_fsaB_gldA	trmL//tyrB//
ptsHI_crr	tilS//ppiA//torC//
purEK	murI//rsmD//
purHD	yidA//pinE//
purMN	gcl//phoA//
puuAP	nemA//galM//
puuCBE	yfiC//guaC//murD//
puuDRCBE	serC//yqjH//trmD//aldB//
pyrF_yciH	rsmC//
pyrG_eno	hyi//tyrB//
pyrLBI	tig//
qmcA_ybbJ	
qseBC	
radA_nadR	tesB//
rapA_rluA	aroG//
ratAB	
ravA_viaA	
rbsDACBKR	sgbE//purT//ilvG_2//
rclABC	
rclBC	
rcnAB	pck//
rcsDB	
rcsF_trmO	rsmB//
rdgB_yggW	insI-1//
rdoA_dsbA	nagK//narV//
recAX	
recET_ralR_ydaC_xisR_intR	qor//mhpE//
relA_mazEF	epmB//
relBE	rbsD//
relBE_hokD	alkA//
renD_emrE	katG//
rfaD_waaFCL	mocA//ttdA//purN//hemE//
rfbACX	gatY//allD//yhdH//dkgA//
rfbBDACX	gudD//purU//pyrB//yieF//yajO//ispB//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	cpsB//serB//rfbC//ilvH//ttdA//trmH//psd//yceF//frmA//
rhaBAD	paaJ//mutL//deoC//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	narG//sufS//rhaB//
ribF_ileS_lspA_fkpB_ispH	abgA//purE//aroE//glpE//phnP//
rimK_ybjN	hemB//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	hcp//hycB//thrC//frlD//pyrG//anmK//rffT//dacC//insI-1//ygeX//
rlmE_ftsH	talA//ddlB//
rlmL_uup	aroE//
rluD_yfiH	gcl//ackA//
rluE_nudJ	gabD//fabG//
rnc_era	sucC//
rnc_era_recO_pdxJ_acpS	tig//pnp//proS//eptB//
rnlAB	cysS//
rnt_lhr	mraY//
rpe_gph_trpS	gapA//xdhB//surA//
rph_pyrE	alaA//atoA//
rpiR_alsBACE	thyA//eutB//
rplJL_rpoBC	dfp//
rplKAJL_rpoBC	hcaC//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	ldcA//
rpmF_plsX_fabHDG	waaL//ydjG//xdhA//
rpmH_rnpA	malQ//accA//
rpmI_rplT	
rpoBC	nadR//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	pykA//hisS//trmH//
rppH_ptsP	dxs//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	yohF//
rpsO_pnp	tyrA//prpC//
rpsP_rimM_trmD_rplS	paaK//
rpsU_dnaG_rpoD	mtgA//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	eptB//rfe//
rsmA_apaGH	ispG//ilvC//
rsmD_yhhL	ghrB//
rsmE_gshB	thrB//narZ//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	clsC//glpQ//tauD//cadA//psd//pdxH//gshA//pabA//patA//frdB//rsuA//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	hcaD//
rtcBA	hemE//mocA//
rutABCDEFG	torZ//gatD//alsK//garL//bioA//glgP//
ruvAB	ddlB//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	citG//
scpA_argK_scpBC	paaI//puuE//clsC//otsA//
sdaCB	uxaA//trmH//
sdhCDAB_sucABCD	pgsA//yqjG//fumA//gpt//
sdhDAB	
sdhE_cptA	
secB_gpsA	rsmC//
secE_nusG	
secG_leuU	
secMA_mutT	paaY//
selAB	hcaC//fkpB//
selD_topB	galT//trxB//
seqA_pgm	citC//
serB_radA	glgX//
serC_aroA	mutS//nagA//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	phnH//
sgrST_setA	nadC//
skp_lpxD_fabZ_lpxA	gcl//rlmF//apt//
slp_dctR	
solA_yceO	phoA//
speAB	moaE//ilvG_2//
speF_potE	torC//nadE//
srlAEBD_gutM_srlR_gutQ	malZ//rsmH//phnJ//
sroG_ribB	entC//
sspAB	
ssrS_fau	mocA//
ssuEADCB	metA//cadA//rhaB//
stfE_tfaE	
sucAB	alsE//prpC//glmU//
sucABCD	hycG//ispB//paaG//wecB//
sufABCDSE	yahK//
surA_pdxA_rsmA_apaGH	menF//ybjI//sdaB//menF//
tag_yiaC	paaC//
talA_tktB	dkgA//guaA//
tamAB_ytfP	
tar_tap_cheRBYZ	lpxK//araD//
tatABC	folC//
tatABCD	rlmD//cyoE//
tauABCD	asnB//yieF//
tdcABCDEFG	adeD//lysU//glmS//trpB//pdxY//
tdcBCDEFG	hisG//purM//hcaF//apaH//adiA//
tehAB	nth//truD//
tesA_ybbO	thrC//pyrI//
tff_rpsB_tsf	
tgt_yajC	cueO//
thiCEFSGH	folC//fadA//ribE//prpD//ssuE//
thiMD	trpA//argF//
thrLABC	hisI//napH//tynA//
thrS_infC	nfi//
thrS_infC_rpmI_rplT_pheMST_ihfA	hisB//cynS//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	lpxH//pyrD//
tolB_pal_cpoB	
tolC_ygiABC	hisB//rutC//yihV//uxaB//proA//dcd//cysC//nagA//ppk//
tomB_hha	
topAI_yjhQ	
torCAD	nudC//
torYZ	nanK//
treBC	edd//nudE//
trmI_yggL	sucA//
trpCBA	aroD//waaC//clsC//dinB//
trpLEDCBA	ada//mraY//rfbD//pyrE//glpK//frdD//
tsaB_yeaY	aceE//
tsaE_amiB_mutL_miaA_hfq_hflXKC	dgoA//fadI//ppiA//mtgA//selA//
ttdABT	leuS//nemA//
tyrS_pdxY	hisF//yihT//
tyrTV_tpr	
tyrV_tpr	
ubiCA	bioC//queC//
ubiEJB	nadB//
udk_dcd	trmL//ppiB//
ugpBAECQ	phnJ//fre//
uhpABC	
uidABC	cysJ//ppiA//
ulaABCDEF	scpA//waaF//queA//caiB//
umpG_pcm	nrfB//yjhH//
umuDC	hyaA//
uof_fur	
upp_uraA	ilvG_1//rne//
usg_truA_dedA	menH//
uvrYC	nfi//
uxaCA	menF//astB//
uxuAB	mcrA//fes//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	mpaA//gcvT//
waaQGPSBOJYZU	hyaB//ynfG//paaK//ynfG//dacD//purC//sucB//purK//astC//dgt//
waaYZ	aroL//glxK//
waaZU	pykA//pdxH//
wbbIJK	hisI//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	nanA//gabT//glnS//coaA//argG//nanE//
wcaKLM	
wrbA_yccJ	aceA//
wza_wzb_wzc	purH//melA//
wza_wzb_wzc_wcaAB	murE//metH//
xanQ_guaD_ghxQ	yihT//lipB//hyaB//
xapAB	glpD//mhpC//
xdhABC	mocA//
xerD_dsbC_recJ	dapB//alaC//
xseB_ispA_dxs_yajO	pagP//pphA//torC//tnaA//
xylAB	entB//mutH//
xylFGHR	yfeX//
yabPQ	
yacC_speED	rffC//mnmA//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	trmL//
yafDE	
yafNOP	coaE//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	wzc//mutS//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	cysM//
ybaB_recR	add//
ybaST	fucI//
ybbAP	
ybbY_glxK	hemC//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	hisH//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	pabB//
ybeZY	
ybeZYX_lnt	pfkB//
ybfHG	
ybfOC	
ybgA_phr	emtA//
ybgC_tolQRA	
ybgIJKL_nei	paaY//
ybgQPO	
ybhP_clsB_ybhN	nrdA//
ybiYW	
ybjC_nfsA_rimK_ybjN	yneH//nrfC//
ybjJI	menE//
ybjO_rlmC	asnS//
ybjQ_amiD	thrA//
ycaI_msbA_lpxK_ycaQ	gatY//btuR//
ycaR_kdsB	hcaB//
ycbK_gloC	sodC//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	rfaD//
yciCB	
yciGFE	
yciK_btuR	yeiR//
yciVOQ	mnmC//
yciZT	
ycjMNOPQRSTUV_ymjB	adeD//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	ileS//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	ansA//ilvA//
ydcSTUV_patD	thiF//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	glcB//
ydgK_rsxABCDGE_nth	ubiA//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	tdcG//queC//
ydiJ_menI_ydiH	ygeX//
ydiNB_aroD	rlmM//lipB//
ydiQRST_fadK	dgt//
ydjA_selD_topB	nanE//cobB//
ydjLKJIHG	dusA//
ydjXYZ_ynjABCD	
yeaGH	tdcG//
yeaR_yoaG	
yeaVW	
yebC_ruvC	cobT//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	aroD//ghrB//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	gudD//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	yeiG//frdB//
yejABEF	arnC//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	yicI//
yfaX_rhmD	
yfaX_rhmD_yfaVU	insI-1//
yfbUT	lldD//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
