# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	amiD//
bcsBZ	lpoB//rsuA//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	xylB//talB//
bfd_bfr	cyaA//
bglGFB	dmsC//prmB//
bglH_yieLK	
bioBFCD	gstA//dhaL//ilvG_2//gshA//
brnQ_proY	galE//hypF//
btuB_murI	sdhD//cysS//
btuCED	pyrI//wcaJ//
cadBA	ubiX//speB//
caiCDE	fabG//cdh//
caiTABCDE	argH//paoB//melA//gloC//dgcP//
carAB	gsk//
casABCDE12	folK//
casDE12	folE//
cbpAM	
cbrBC	
ccmABCDEFGH	dmsB//
cecR_ybhGFSR	
chaBC	
chbBCARFG	dut//tdcE//ahr//
chiP_ybfN	tig//
chpSB	yjhG//
citCDEFXG	guaD//menE//azoR//
clpPX	xapA//yihV//dhaL//yggF//
clpX_lon	ppk//hycG//ubiG//
clsA_yciU	glpQ//
cmk_rpsA	solA//
cmoM_mukFEB	
cmtBA_yggPFDC	tdh//ycjU//
coaE_zapD_yacG	purU//
cobUST	rph//gmd//bfr//
codBA	ansA//queG//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	murG//
csgBAC	
csgDEFG	hycD//
csiD_lhgO_gabDTP	adiA//mtgA//pdxJ//rhaM//
cusCFBA	paoA//
cusRS	
cvpA_purF_ubiX	folA//trpD//
cydAB	nadR//
cydDC	astB//
cydX_ybgE	gpsA//
cynTS	nrdB//pyrH//
cynTSX	yccX//prpB//ygeX//
cyoABCDE	rpiB//tdh//
cysDNC	icd//tig//
cysJIH	nhoA//hycG//pdxH//
cysPUWAM	garD//yfaU//orn//
dadAX	lgoD//speE//
damX_dam_rpe_gph_trpS	fadE//pgl//queD//nrdD//
dam_rpe_gph_trpS	argE//atoD//pncC//aldA//
dapA_bamC	narH//
dapE_ypfN	nrfC//
dcm_vsr	mqo//
dcuB_fumB	birA//prmC//
dcuSR	
dcyD_tcyLN	nadA//ispH//
ddpXABCDF	fau//
def_fmt	adhP//tcdA//
degQS	recJ//caiC//
deoABD	citG//alaS//prpC//
deoBD	hemB//gltX//
deoCABD	yghU//dkgA//truB//moaE//
dgoRKADT	ppsA//clsA//pdeR//poxB//
dhaKLM	phnJ//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	acs//polA//
dinJ_yafQ	umuD//
dksA_gluQ	hcaC//
dmsABC	nudK//
dnaAN_recF	thiE//
dnaK_tpke11_dnaJ	hisA//
dnaN_recF	rnpA//
dnaTC	
dnaTC_yjjA	
dosCP	gshA//caiB//
dpiBA	
dppABCDF	mpl//
dsbC_recJ_prfB	sseA//frmA//
dsbD_yjdC	
dsdXA	idnD//recF//
dusB_fis	dacD//
dut_slmA	rsmG//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	dmsB//queC//
efeOB	pflB//
efeU_1U_2	
elbB_mtgA	hdhA//
elfDCG_ycbUVF	
emrKY	dapB//
entCEBAH	guaA//mngB//hemE//mutY//hisB//bioF//
envY_ompT	purE//
epd_pgk	rnpB//tsaB//
epd_pgk_fbaA	gph//eptA//rluE//
essD_rrrD_rzpD	tilS//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	waaP//
eutHA	
eutNEJG	
eutSPQTDM	amn//
evgAS	
exbBD	
fabDG_acpP	ubiD//rhaB//
fabG_acpP	carB//
fabHDG	ampH//dgkA//glcF//
fabR_yijD	
fadBA	waaU//ilvI//
fadD_sroD	cmoA//
fadIJ	pta//allA//
fdnGHI	
fdoGHI_fdhE	aroB//
fdrA_ylbEF_ybcF	nudL//
fecABCDE	aldB//treF//
fecIR	
feoABC	dnaE//
fepA_entD	ubiI//tdh//nudI//
fepDGC	yfiH//
fes_ybdZ_entF_fepE	bcsZ//ilvE//torY//
fetAB	
fhuACDB	metA//yghA//
ficA_fic_pabA	yeaE//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	yihT//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	hpt//cynS//
folC_dedD	frdA//
folD_ybcJ	mnmE//
folE_yeiB	alr//
folP_glmM	ldhA//trpD//
folX_yfcH	galE//
frdABCD	mcrA//
frlABCDR	paaG//rffM//glgA//araB//
frmRAB	uxaA//hcaD//
fruBKA	insI-1//nrfB//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	dkgB//acnA//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	hchA//guaA//bglA//pdeH//glnS//rsgA//yfcF//ulaF//rluE//metG//
ftsQAZ	
ftsYEX	
fucAO	folE//adk//
fucPIKUR	ansA//cysG//trpD//waaL//
fumAC	solA//cynS//
fusA_tufA	
gabDTP	otsB//murI//proA//
gadAX	arnB//
gadBC	trmJ//nirB//
gadEF	
gadEF_mdtEF	yjhG//
gadXW	
galET	mngB//ushA//
galETK	surA//rbn//pfkB//
galETKM	tyrA//tdcD//rhaA//gsk//
gapA_yeaD	frdC//
gapC_1C_2	
garPLRK_rnpB	ppx//sdhC//waaF//iaaA//preA//glnA//
gatYZABCD	ttdB//ygaP//yjjX//
gatZABCD	narI//lgoD//gatZ//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	gatD//metH//hcp//glmM//sdaA//
gcvTHP	gnd//gadB//ubiX//
gfcBCD	
gfcE_etp_etk	aroB//yicI//
ghoST	menH//
glcBA	dusB//patA//
glcDEFGBA	thrB//purL//yhdH//
glf_wbbH	gloB//
glgAP	mcrA//yeiR//
glgBXCAP	melA//ygeX//nrdA//pncA//nrdA//
glgCAP	lsrK//alkA//napB//
glmUS	fadE//aspA//
glnALG	slyD//
glnHPQ	bioB//
glnK_amtB	mraY//
glnLG	
glnW_metU_glnVX	
glpABC	gmk//
glpEGR	xdhA//murC//
glpFKX	fabZ//moaA//puuB//
glpGR	nrfB//
glpTQ	dhaM//allA//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	thrA//
glvCBG_ysdC	
glyQS	icd//
glyVXY	
glyW_cysT_leuZ	
gntKU	mpaA//hflX//
gntRKU	tcdA//dusC//
gntX_nfuA	
gpmM_envC_yibQ	trpS//cysK//
groSL	
gspAB	
gspCDEFGHIJKLMO	ldtD//
guaBA	araA//aldA//
gudPXD	preA//slt//
hcaEFCBD	sdhC//paaA//
hcp_hcr	guaA//fbaB//
hdeAB_yhiD	
hemA_prfA_prmC	nagA//sucC//
hemCDXY	waaH//hemL//
hflD_purB	tauD//
hfq_hflXKC	waaC//
hicAB	
higBA	murQ//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	mutS//phnL//gltA//hdhA//
hipBA	nadK//
hisBHAFI	glcB//dcyD//lpxM//phnO//
hisJQMP	dapB//waaZ//
hisLGDCBHAFI	poxB//menI//umuC//guaC//cmoA//ymdB//ilvI//
hofMNOP	
holC_valS	alaC//
holD_rimI_yjjG	proA//ispB//
hscBA_fdx_iscX	ilvH//
hsdMS	gcvH//
hsdRMS	mmuM//
hslRO	
hslVU	dinB//
hyaABCDEF	
hybOABCDEFG	prpC//
hycABCDEFGHI	rhaM//gpmA//
hydN_hypF	purM//
hyfABCDEFGHIJR_focB	fabZ//
hypABCDE	lysC//
hypABCDE_fhlA	mepS//
hypBCDE	cysH//
hypBCDE_fhlA	fumC//
iaaA_gsiABCD	rluB//speA//
ibaG_murA	nudJ//
ibpAB	
idnDOTR	thiH//sdaA//accC//
ileS_lspA_fkpB_ispH	speC//ybiV//yegS//acpH//
ilvEDA	lpxD//fumA//galK//aroG//
ilvIH	pfkB//
ilvLXG_1G_2MEDA	pgaB//sad//hyuA//phnN//pyrG//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	gutQ//
insN_1I_1O_1	cysK//
insO_2_yjhWV	
iscRSUA	paaB//yieH//
ispDF	gmm//umuD//
ispG_sroE	lipA//
isrC_flu	
ivbL_ilvBN	thiK//
ivbL_ilvBN_uhpABC	araD//
kbaZ_agaVWA	rpe//
kbl_tdh	dosC//yqjH//
kdpDE	
kdpFABC	mnmC//
kdsC_lptCAB	yfeX//ybaS//
kefFC	nanM//aroK//
kefGB_yheV	bfr//
kilR_ydaE	
lacYA	mpaA//avtA//
lacZYA	eutC//dam//nudJ//
lapAB	
lapAB_pyrF_yciH	insI-2//
lepAB	hemE//
leuLABCD	nrfB//apt//cysH//
leuQPV	
leuS_lptE_holA_nadD_cobC	adk//hyuA//chbG//
lexA_dinF	
lgt_thyA	entA//ubiA//
ligA_ypeB	ahpC//
livKHMGF	wrbA//cysD//
lldPRD	kbl//mutH//
lolA_rarA	
lolB_ispE_prs	lpcA//mcrA//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	purK//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	pgpC//ada//
lptFG	
lspA_fkpB_ispH	udp//ruvA//ppx//
lsrACDBFG_tam	nudG//wcaJ//mhpD//mtgA//
lsrRK	ampH//
ltaE_ybjT	gltB//
lysT_valT_lysW	
macAB	sucA//
malEFG	dcd//
malK_lamB_malM	pyrG//cdsA//
malPQ	trmL//gabD//
malXY	garK//lpxP//
manXYZ	menF//
map_glnD_dapD	rfbB//gmd//uvrC//
marRAB	
mazEFG	cysQ//
mcrBC	queG//
mdlAB	
mdtABCD_baeSR	rutA//
mdtEF	dmsC//
mdtJI	add//
mdtM_yjiN	recG//
mdtNOP	gltD//
melAB	sdaA//mnaT//
menA_rraA	waaS//
menBCE	ribE//frdB//phnM//
menDHBCE	nagA//mhpC//ilvD//dgcZ//ttdB//
menFDHBCE	paaI//gmd//aroC//rlmG//aldA//ulaF//
metBL	cyaA//mraY//
metNIQ	dsdA//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	aldB//acpH//eptB//
metZWV	
mglAC	ampC//
mglBAC	scpA//
mgtLA	gnd//
mhpABCDFE	metE//abgA//citX//mcrA//thiC//metL//
mhpR_lacI	
miaA_hfq_hflXKC	nanE//nanE//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	prs//ravA//
mnaT_ydcZ	cobT//
mngAB	mrcA//ubiC//
mnmG_rsmG	caiA//carA//
mntR_ybiR	
moaABCDE	fadD//ispF//
moaBCDE	dosP//
mobAB	purL//
modABC	lsrK//
modEF	
moeAB	speE//cdh//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	pyrI//
mqsRA	ubiX//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	yjjG//malQ//nudB//dgoA//xylA//sucC//cadA//hisD//ilvH//mltB//mltB//
mreBCD	
mreCD	
msrPQ	
mtlADR	ilvG_2//serS//thrA//
mtn_btuF_yadS	maa//waaF//
murB_birA	cobS//cysD//
murQP	lpxA//kduI//narG//
murQP_yfeW	menE//lysA//truD//fabH//
mutL_miaA_hfq_hflXKC	hemN//mdh//fabB//
mutY_yggX	purL//
mutY_yggX_mltC	sucB//treC//
mutY_yggX_mltC_nupG	ascB//ugpQ//ldcA//
nadA_pnuC	ilvD//leuA//
nagBAC_umpH	mutY//pabB//gltX//
nagK_cobB	rffC//hdhA//
nanATEK_yhcH	hycG//ppk//xthA//ilvN//
nanCM	glpA//ppk//
nanCMS	rlmA//eutB//
napFDAGHBC	clsC//
napFDAGHBC_ccmABCDEFGH	glnS//gloA//
narGHJI	gluQ//
narWV	lhgO//
narXL	
narZYWV	ybiV//
nemRA	uxaB//
nemRA_gloA	sdaB//yahK//
nfrBA	
nhaAR	nadB//
nikABCDER	ilvI//
nirBDC_cysG	phnL//pta//garR//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	menD//
nrdAB_yfaE	yniC//
nrdDG	edd//pgaB//
nrdHIEF	ynfF//
nrdR_ribDE_nusB_thiL_pgpA	mtgA//rne//rfbC//fbp//
nrfABCDEFG	trmI//
nsrR_rnr_rlmB_yjfI	hisI//mqo//
nudB_yebC_ruvC	gudD//hisG//
nudC_hemE_nfi	thiM//add//
nudF_yqiB_cpdA_yqiA_parE	glyQ//umpG//
nuoABCEFGHIJKLMN	cyaA//
nuoMN	glpK//
ompR_envZ	
opgGH	
oppABCDF	yjiA//guaA//
osmF_yehYXW	dadX//
otsBA	yigL//murQ//
paaABCDEFGHIJK	glpD//garK//gatY//surA//folP//nudF//pssA//
paaXY	narZ//
pabB_nudL	psuG//plsC//
pabC_mltG_tmk_holB_ycfH	mrcA//ddlA//purB//
panBC	nth//pdxH//
panE_yajL	purK//
paoABCD	allD//
pcnB_folK	rluB//rbn//
pdeI_dgcI	
pdhR_aceEF_lpd	rutE//maeB//ybiV//purH//gcl//dacD//
pdxA_rsmA	glpB//sucC//
pdxA_rsmA_apaGH	wbbI//pspE//ynjE//
pdxB_usg_truA_dedA	iaaA//btuE//
pdxH_tyrS_pdxY	hmp//gatZ//sdaB//
pdxJ_acpS	ppx//adk//
pepQ_yigZ_trkH_hemG	aslA//ygaP//fucU//
pflDC	
pgaABCD	dinB//hemG//bioH//
pgk_fbaA	metE//aceE//
pgpC_tadA	ynfG//cobC//
pheLA	uxaB//
pheMST_ihfA	dgoK//
phnCDE_1E_2FGHIJKLMNOP	fre//panB//dacC//pnp//argC//xdhB//nudC//
phnLMNOP	arsC//yfiH//dnaQ//fucI//yqjH//
phoA_psiF	pphA//
phoBR	
phoPQ	
pldB_yigL	dmsB//polA//
plsX_fabHDG	bglA//galE//prpD//
pntAB	
potABCD	fkpA//
potFGHI	phnM//
poxB_ltaE_ybjT	uxuA//recO//
ppdAB_ygdB_ppdC_recC	nudL//
ppdD_hofBC	
ppiB_lpxH	glxR//pheS//
ppk_ppx	rhaD//dcyD//
pqiAB	
preTA	galM//
prfB_lysS	acs//
priC_ybaM	
prlC_rsmJ	sthA//moeA//
prlF_yhaV	metL//
prmB_aroC_mepA_yfcA_epmC_yfcL	yghU//leuC//aspC//mltF//
proBA	frdC//dxs//
proQ_prc	uxaA//
proVWX	sucB//
prpBCDE	nudC//ssuE//pssA//mnmC//
psd_mscM	
pspABCDE	sdhB//
pspBCDE	tesA//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	nrdA//add//
pth_ychF	dgcM//
ptrA_recBD	chbF//gor//
ptsA_fsaB_gldA	sodB//mrdA//
ptsHI_crr	coaD//galU//hyaB//
purEK	bacA//aroL//
purHD	kdsB//torA//
purMN	fabZ//deoC//
puuAP	glcE//ulaG//
puuCBE	folC//ruvB//rluA//
puuDRCBE	arnB//rbsK//fkpB//katE//
pyrF_yciH	frdC//
pyrG_eno	dcm//cobC//
pyrLBI	yihX//
qmcA_ybbJ	
qseBC	
radA_nadR	sgbU//
rapA_rluA	menC//
ratAB	
ravA_viaA	
rbsDACBKR	torA//cpdB//trmL//
rclABC	
rclBC	
rcnAB	cysE//
rcsDB	
rcsF_trmO	lpoB//
rdgB_yggW	ada//
rdoA_dsbA	pdxK//hcaB//
recAX	
recET_ralR_ydaC_xisR_intR	nth//aspC//
relA_mazEF	glcE//
relBE	proB//
relBE_hokD	citX//
renD_emrE	argG//
rfaD_waaFCL	luxS//birA//nrdA//yceF//
rfbACX	frdC//queA//dgcT//rlmB//
rfbBDACX	ubiX//folE//fadD//bioB//citD//rlmM//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	argH//nagZ//birA//tsaC//cobT//lsrK//torY//menE//alsK//
rhaBAD	cpdB//pheA//pldA//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	hycG//cynS//lpd//
ribF_ileS_lspA_fkpB_ispH	fruK//mazG//accC//kdsA//waaF//
rimK_ybjN	azoR//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	ppiC//cmk//mutY//mngB//psuG//purU//menI//ydfG//rlmI//pldA//
rlmE_ftsH	yagF//nadC//
rlmL_uup	pbpC//
rluD_yfiH	glpX//glmU//
rluE_nudJ	accB//murC//
rnc_era	kbaZ//
rnc_era_recO_pdxJ_acpS	panB//uvrA//ygjK//mrdA//
rnlAB	epd//
rnt_lhr	tag//
rpe_gph_trpS	trpA//rluB//ileS//
rph_pyrE	tmk//mngB//
rpiR_alsBACE	ftnA//gph//
rplJL_rpoBC	rlmA//
rplKAJL_rpoBC	acpT//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	fadK//
rpmF_plsX_fabHDG	purD//xylB//caiB//
rpmH_rnpA	waaP//prpC//
rpmI_rplT	
rpoBC	ada//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	gudD//katG//ulaG//
rppH_ptsP	curA//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	cysE//
rpsO_pnp	gpsA//lysA//
rpsP_rimM_trmD_rplS	paaY//
rpsU_dnaG_rpoD	mrcA//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	mutT//mltB//
rsmA_apaGH	truA//ybhA//
rsmD_yhhL	kdsA//
rsmE_gshB	cueO//ydiB//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	glnA//rsmC//ubiD//ribB//rluC//rnd//iscS//ybdL//ubiH//glgP//rihA//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	amiD//
rtcBA	lpxM//yjjG//
rutABCDEFG	fabB//speB//proB//gpmM//hisB//katG//
ruvAB	xylA//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	atoA//
scpA_argK_scpBC	fre//uvrA//speC//selA//
sdaCB	nfsA//ubiG//
sdhCDAB_sucABCD	eptB//purL//melA//menI//
sdhDAB	
sdhE_cptA	
secB_gpsA	hemA//
secE_nusG	
secG_leuU	
secMA_mutT	xdhC//
selAB	cmoA//hypB//
selD_topB	wzb//ltaE//
seqA_pgm	recO//
serB_radA	amn//
serC_aroA	queF//waaY//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	dapB//
sgrST_setA	mog//
skp_lpxD_fabZ_lpxA	cadA//ybhA//tdcB//
slp_dctR	
solA_yceO	opgB//
speAB	recF//ribE//
speF_potE	speB//pgm//
srlAEBD_gutM_srlR_gutQ	thrC//lsrF//cpsG//
sroG_ribB	cdh//
sspAB	
ssrS_fau	dhaM//
ssuEADCB	alr//yqaB//tag//
stfE_tfaE	
sucAB	bioA//prmC//icd//
sucABCD	caiD//pbpC//ppiB//galU//
sufABCDSE	pykF//
surA_pdxA_rsmA_apaGH	rlmA//can//yagE//talA//
tag_yiaC	waaC//
talA_tktB	codA//bioH//
tamAB_ytfP	
tar_tap_cheRBYZ	rutD//astD//
tatABC	ubiC//
tatABCD	ampC//iscS//
tauABCD	alaC//pdxY//
tdcABCDEFG	caiC//malZ//uxuB//mutH//ackA//
tdcBCDEFG	ubiC//asnB//hisB//cynS//phnG//
tehAB	yiaK//yihX//
tesA_ybbO	mcrA//sucC//
tff_rpsB_tsf	
tgt_yajC	ubiE//
thiCEFSGH	atoA//waaY//kduI//yccX//argB//
thiMD	aroH//ribB//
thrLABC	yigB//frmA//nadD//
thrS_infC	pykA//
thrS_infC_rpmI_rplT_pheMST_ihfA	dld//rne//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	ycaO//panB//
tolB_pal_cpoB	
tolC_ygiABC	truD//rbn//gpmA//yicI//insI-3//ynfF//hisF//caiA//waaP//
tomB_hha	
topAI_yjhQ	
torCAD	dapA//
torYZ	rpiA//
treBC	cheB//glk//
trmI_yggL	mtlD//
trpCBA	scpC//glgA//murG//wcaJ//
trpLEDCBA	waaY//ravA//melA//waaC//ldhA//fabB//
tsaB_yeaY	citX//
tsaE_amiB_mutL_miaA_hfq_hflXKC	fadH//ubiX//iaaA//ispH//mraY//
ttdABT	lpxC//yeaE//
tyrS_pdxY	udp//eptA//
tyrTV_tpr	
tyrV_tpr	
ubiCA	adiA//uxaA//
ubiEJB	fadE//
udk_dcd	mnmG//yiaY//
ugpBAECQ	ydbC//suhB//
uhpABC	
uidABC	dnaE//amn//
ulaABCDEF	narG//gshA//truD//deoD//
umpG_pcm	sdhA//napA//
umuDC	dusC//
uof_fur	
upp_uraA	lysS//ilvN//
usg_truA_dedA	fadE//
uvrYC	fucK//
uxaCA	ulaG//rsmC//
uxuAB	ttdA//hemG//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	thiI//dmsC//
waaQGPSBOJYZU	rsmA//purL//ycjG//ynfF//hisA//cobU//mutT//ychF//galU//iaaA//
waaYZ	sgbH//yjeF//
waaZU	murB//rhaD//
wbbIJK	tdh//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	menD//cyaA//allD//hycC//mhpD//truC//
wcaKLM	
wrbA_yccJ	yggF//
wza_wzb_wzc	solA//pgpB//
wza_wzb_wzc_wcaAB	tam//nrfD//
xanQ_guaD_ghxQ	ulaD//pflB//nagA//
xapAB	ubiX//miaA//
xdhABC	cobT//
xerD_dsbC_recJ	iaaA//cyoE//
xseB_ispA_dxs_yajO	rlmL//gabT//ygeX//lpd//
xylAB	fadK//argB//
xylFGHR	relA//
yabPQ	
yacC_speED	rluF//dadA//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	tdk//
yafDE	
yafNOP	umpG//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	ddlB//ahpC//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	galE//
ybaB_recR	lpoA//
ybaST	rdgB//
ybbAP	
ybbY_glxK	idnK//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	gcvP//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	gpsA//
ybeZY	
ybeZYX_lnt	deoC//
ybfHG	
ybfOC	
ybgA_phr	ugd//
ybgC_tolQRA	
ybgIJKL_nei	pyrI//
ybgQPO	
ybhP_clsB_ybhN	gmhB//
ybiYW	
ybjC_nfsA_rimK_ybjN	lysS//idi//
ybjJI	pykF//
ybjO_rlmC	deoB//
ybjQ_amiD	nudL//
ycaI_msbA_lpxK_ycaQ	cysS//queA//
ycaR_kdsB	leuA//
ycbK_gloC	caiD//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	rluF//
yciCB	
yciGFE	
yciK_btuR	panC//
yciVOQ	fucA//
yciZT	
ycjMNOPQRSTUV_ymjB	pabA//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	ftnA//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	dacD//wzb//
ydcSTUV_patD	hcp//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	pyrB//
ydgK_rsxABCDGE_nth	sgbU//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	ydiB//rpe//
ydiJ_menI_ydiH	yrfG//
ydiNB_aroD	cynT//metC//
ydiQRST_fadK	ycjG//
ydjA_selD_topB	sdhA//ssuE//
ydjLKJIHG	fucI//
ydjXYZ_ynjABCD	
yeaGH	murI//
yeaR_yoaG	
yeaVW	
yebC_ruvC	nrdF//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	hemB//rlmJ//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	ilvH//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	anmK//acnB//
yejABEF	rsmI//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	ileS//
yfaX_rhmD	
yfaX_rhmD_yfaVU	cysI//
yfbUT	hcaF//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
