# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	rne//
rpmF_plsX_fabHDG	katG//deoC//allC//
rpmH_rnpA	fabG//thiI//
rpmI_rplT	
rpoBC	ruvC//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	cadA//arnT//fbaB//
rppH_ptsP	ybjI//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	nagB//
rpsO_pnp	pgaB//pyrI//
rpsP_rimM_trmD_rplS	aroF//
rpsU_dnaG_rpoD	lhgO//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	ansB//srlD//
rsmA_apaGH	waaO//dld//
rsmD_yhhL	napA//
rsmE_gshB	yihX//tmcA//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	psuG//rrrD//rnt//yccX//yihX//speF//wbbI//rihC//rluC//asnB//ravA//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	ilvG_2//
rtcBA	paaI//yibQ//
rutABCDEFG	panD//fumC//narV//hemG//ssuD//nudC//
ruvAB	narY//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	argF//
scpA_argK_scpBC	eno//sdhD//sad//waaA//
sdaCB	glpB//fdhF//
sdhCDAB_sucABCD	anmK//yfdR//amiD//rhaD//
sdhDAB	
sdhE_cptA	
secB_gpsA	tpiA//
secE_nusG	
secG_leuU	
secMA_mutT	rsgA//
selAB	ppx//patD//
selD_topB	rpe//tdh//
seqA_pgm	tyrS//
serB_radA	pgpC//
serC_aroA	mmuM//dcyD//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	thrA//
sgrST_setA	frdA//
skp_lpxD_fabZ_lpxA	pcm//ahpC//aroC//
slp_dctR	
solA_yceO	metC//
speAB	clsA//sdaB//
speF_potE	cmoB//rdoA//
srlAEBD_gutM_srlR_gutQ	hycF//lysA//hyaA//
sroG_ribB	yeaE//
sspAB	
ssrS_fau	gss//
ssuEADCB	waaL//gabT//nanK//
stfE_tfaE	
sucAB	abgB//dgcZ//insI-3//
sucABCD	atoB//fbaB//dfp//caiD//
sufABCDSE	yihS//
surA_pdxA_rsmA_apaGH	glpA//nanE//folB//purD//
tag_yiaC	roxA//
talA_tktB	dcyD//napA//
tamAB_ytfP	
tar_tap_cheRBYZ	tgt//bglX//
tatABC	trpB//
tatABCD	yieF//ycjG//
tauABCD	glpE//gpmM//
tdcABCDEFG	ppiA//yidA//rlmB//gmk//idi//
tdcBCDEFG	lpd//yibQ//gltB//caiA//ppa//
tehAB	glyS//srlD//
tesA_ybbO	wecB//torC//
tff_rpsB_tsf	
tgt_yajC	paaE//
thiCEFSGH	dgcM//entC//ribC//rnpA//yfdR//
thiMD	garD//argG//
thrLABC	citG//ldtD//sucC//
thrS_infC	iaaA//
thrS_infC_rpmI_rplT_pheMST_ihfA	cheR//nadA//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	hemD//trmJ//
tolB_pal_cpoB	
tolC_ygiABC	nudI//yjiA//mhpA//glgC//tgt//ybcF//carA//ilvM//pdxJ//
tomB_hha	
topAI_yjhQ	
torCAD	chbG//
torYZ	ribB//
treBC	ymdB//yigL//
trmI_yggL	glgA//
trpCBA	mepS//gapA//hycG//rsmD//
trpLEDCBA	pta//hemA//suhB//umpH//gatZ//hemF//
tsaB_yeaY	dhaM//
tsaE_amiB_mutL_miaA_hfq_hflXKC	lysA//bcsZ//nirB//rluE//ilvM//
ttdABT	lpd//manA//
tyrS_pdxY	menH//folK//
tyrTV_tpr	
tyrV_tpr	
ubiCA	hisC//polB//
ubiEJB	waaS//
udk_dcd	gloA//bioH//
ugpBAECQ	gpsA//pgl//
uhpABC	
uidABC	glyQ//cysG//
ulaABCDEF	rfe//fadJ//entD//metE//
umpG_pcm	hycE//malQ//
umuDC	asd//
uof_fur	
upp_uraA	pgsA//hycD//
usg_truA_dedA	ahpC//
uvrYC	guaC//
uxaCA	hcp//aroH//
uxuAB	dapA//pyrD//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	murF//tcdA//
waaQGPSBOJYZU	cheR//mhpF//glpC//clsA//yqjG//atoB//fadI//dgcM//dut//gmk//
waaYZ	tdk//thiG//
waaZU	truA//fes//
wbbIJK	glpD//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	xdhA//yhhW//cysG//ybdL//mraY//nanA//
wcaKLM	
wrbA_yccJ	etk//
wza_wzb_wzc	ogt//ybdL//
wza_wzb_wzc_wcaAB	tcdA//yciV//
xanQ_guaD_ghxQ	ydiB//coaA//putA//
xapAB	pdxA//yicI//
xdhABC	waaH//
xerD_dsbC_recJ	hycD//ldtE//
xseB_ispA_dxs_yajO	mmuM//dxs//aroL//ydjG//
xylAB	nudF//murB//
xylFGHR	moaE//
yabPQ	
yacC_speED	ahpF//ubiE//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	frlD//
yafDE	
yafNOP	ygeX//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	sucB//ulaE//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	thiF//
ybaB_recR	mepS//
ybaST	yneH//
ybbAP	
ybbY_glxK	cysQ//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	solA//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	hcaC//
ybeZY	
ybeZYX_lnt	ldtE//
ybfHG	
ybfOC	
ybgA_phr	manA//
ybgC_tolQRA	
ybgIJKL_nei	dacD//
ybgQPO	
ybhP_clsB_ybhN	guaA//
ybiYW	
ybjC_nfsA_rimK_ybjN	waaS//lacZ//
ybjJI	pta//
ybjO_rlmC	chbF//
ybjQ_amiD	dusC//
ycaI_msbA_lpxK_ycaQ	gnd//sbcB//
ycaR_kdsB	glpB//
ycbK_gloC	yeaG//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	prmC//
yciCB	
yciGFE	
yciK_btuR	fre//
yciVOQ	epmB//
yciZT	
ycjMNOPQRSTUV_ymjB	galU//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	lsrF//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	fucI//idnK//
ydcSTUV_patD	fre//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	murI//
ydgK_rsxABCDGE_nth	yihX//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	lpxH//polB//
ydiJ_menI_ydiH	waaH//
ydiNB_aroD	hcaE//rluB//
ydiQRST_fadK	galK//
ydjA_selD_topB	wcaJ//tktB//
ydjLKJIHG	guaB//
ydjXYZ_ynjABCD	
yeaGH	nudL//
yeaR_yoaG	
yeaVW	
yebC_ruvC	aslA//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	cdsA//nudF//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	kdsD//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	gnd//slt//
yejABEF	gltA//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	pncA//
yfaX_rhmD	
yfaX_rhmD_yfaVU	phnJ//
yfbUT	glgB//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
