# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	pck//
caiTABCDE	phnP//rluA//nanE//trmH//prpB//
carAB	pabC//
casABCDE12	ansB//
casDE12	speC//
cbpAM	
cbrBC	
ccmABCDEFGH	gpt//
cecR_ybhGFSR	
chaBC	
chbBCARFG	fsaB//gadA//yqhD//
chiP_ybfN	ilvE//
chpSB	umuD//
citCDEFXG	nagA//fucO//pflB//
clpPX	prpB//ugd//solA//gldA//
clpX_lon	ligA//carB//cysS//
clsA_yciU	wrbA//
cmk_rpsA	yjhG//
cmoM_mukFEB	
cmtBA_yggPFDC	dcd//pheA//
coaE_zapD_yacG	tyrA//
cobUST	uvrA//uxaA//ynfF//
codBA	sodA//accA//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	purT//
csgBAC	
csgDEFG	rffG//
csiD_lhgO_gabDTP	ilvG_2//yneH//mutY//ttdA//
cusCFBA	pflB//
cusRS	
cvpA_purF_ubiX	kduI//glcB//
cydAB	ldtD//
cydDC	lipB//
cydX_ybgE	bglB//
cynTS	dgcP//fabG//
cynTSX	selD//umuC//eda//
cyoABCDE	dacA//hemD//
cysDNC	cpsG//ycjG//
cysJIH	udk//yfbR//xdhA//
cysPUWAM	ilvA//eptC//yccX//
dadAX	trxB//ada//
damX_dam_rpe_gph_trpS	trmJ//pcm//mltC//insI-3//
dam_rpe_gph_trpS	rlmL//iaaA//allA//metB//
dapA_bamC	mtgA//
dapE_ypfN	patZ//
dcm_vsr	rsmD//
dcuB_fumB	kefF//lpcA//
dcuSR	
dcyD_tcyLN	ravA//moaA//
ddpXABCDF	hemD//
def_fmt	rlmA//hyuA//
degQS	epd//mpl//
deoABD	maa//fabB//gcd//
deoBD	nudC//mdh//
deoCABD	mrcA//puuD//relA//ldtB//
dgoRKADT	aroK//ubiC//entC//paaY//
dhaKLM	citF//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	adk//cyaA//
dinJ_yafQ	lpxC//
dksA_gluQ	dcd//
dmsABC	yghA//
dnaAN_recF	adhP//
dnaK_tpke11_dnaJ	gcvT//
dnaN_recF	moeA//
dnaTC	
dnaTC_yjjA	
dosCP	hcp//bioD//
dpiBA	
dppABCDF	preT//
dsbC_recJ_prfB	allC//metE//
dsbD_yjdC	
dsdXA	rsmE//nudF//
dusB_fis	dgoA//
dut_slmA	ushA//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	glpK//kbl//
efeOB	oxc//
efeU_1U_2	
elbB_mtgA	speA//
elfDCG_ycbUVF	
emrKY	rffT//
entCEBAH	aroE//dmsC//ppiB//rhaB//manA//phnL//
envY_ompT	paaY//
epd_pgk	ppc//ubiE//
epd_pgk_fbaA	rfe//thiL//pfkB//
essD_rrrD_rzpD	acpT//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	lyxK//
eutHA	
eutNEJG	
eutSPQTDM	xdhC//
evgAS	
exbBD	
fabDG_acpP	thyA//arnC//
fabG_acpP	gatZ//
fabHDG	rlmA//speD//hemE//
fabR_yijD	
fadBA	xapA//fdhF//
fadD_sroD	idi//
fadIJ	sthA//purK//
fdnGHI	
fdoGHI_fdhE	paaC//
fdrA_ylbEF_ybcF	aceA//
fecABCDE	hcaF//dapE//
fecIR	
feoABC	astA//
fepA_entD	pdeF//appA//fkpB//
fepDGC	folX//
fes_ybdZ_entF_fepE	dgcP//sdaA//coaE//
fetAB	
fhuACDB	dam//clsC//
ficA_fic_pabA	birA//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	entC//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	gapA//argF//
folC_dedD	ulaG//
folD_ybcJ	yigB//
folE_yeiB	prpC//
folP_glmM	astC//yieH//
folX_yfcH	citD//
frdABCD	ribE//
frlABCDR	puuC//mtlD//suhB//thiC//
frmRAB	yqhD//nudI//
fruBKA	xdhC//narG//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	solA//allC//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	ppa//cysE//cysK//guaD//cadA//gmk//tdcD//tsaE//bfr//rsmI//
ftsQAZ	
ftsYEX	
fucAO	gatD//cdd//
fucPIKUR	thiD//glnS//deoA//gss//
fumAC	mtlD//waaP//
fusA_tufA	
gabDTP	hcaE//yqjG//uxuB//
gadAX	mutY//
gadBC	ribA//tauD//
gadEF	
gadEF_mdtEF	epmC//
gadXW	
galET	dadA//atoA//
galETK	yfaU//selA//hemB//
galETKM	malP//accB//fadH//ynfH//
gapA_yeaD	hycE//
gapC_1C_2	
garPLRK_rnpB	tgt//roxA//gmm//bioB//umuD//pphB//
gatYZABCD	fkpB//lyxK//cysD//
gatZABCD	preA//hemB//serS//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	coaE//ilvA//yihU//opgE//miaB//
gcvTHP	cpsG//yjjX//yiaK//
gfcBCD	
gfcE_etp_etk	abgB//mnaT//
ghoST	yqjG//
glcBA	narH//lipB//
glcDEFGBA	lpxB//umpG//rsmG//
glf_wbbH	napH//
glgAP	ubiE//ulaD//
glgBXCAP	dkgA//pgi//yfaU//epmA//gabD//
glgCAP	glgA//lldD//yidA//
glmUS	alaA//ugpQ//
glnALG	sucC//
glnHPQ	allA//
glnK_amtB	menC//
glnLG	
glnW_metU_glnVX	
glpABC	pldA//
glpEGR	ldtA//kduI//
glpFKX	ulaG//pyrF//pinE//
glpGR	edd//
glpTQ	fabD//kefF//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	citC//
glvCBG_ysdC	
glyQS	ubiF//
glyVXY	
glyW_cysT_leuZ	
gntKU	kdsB//rnt//
gntRKU	ppx//upp//
gntX_nfuA	
gpmM_envC_yibQ	yieH//yihU//
groSL	
gspAB	
gspCDEFGHIJKLMO	nrfC//
guaBA	katG//argD//
gudPXD	ybdL//lpxP//
hcaEFCBD	lysU//def//
hcp_hcr	garL//valS//
hdeAB_yhiD	
hemA_prfA_prmC	mmuM//wzb//
hemCDXY	aspC//hemD//
hflD_purB	ybaS//
hfq_hflXKC	moaE//
hicAB	
higBA	argG//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	mutL//rihA//hisH//tyrA//
hipBA	tyrA//
hisBHAFI	fadM//apt//rfe//pdxB//
hisJQMP	ycjU//frmB//
hisLGDCBHAFI	leuC//mngB//gatY//pgaB//hdhA//nadC//fbp//
hofMNOP	
holC_valS	cobS//
holD_rimI_yjjG	trxB//menA//
hscBA_fdx_iscX	tmcA//
hsdMS	dkgB//
hsdRMS	pdxA//
hslRO	
hslVU	dcm//
hyaABCDEF	
hybOABCDEFG	sucB//
hycABCDEFGHI	prpB//mnmA//
hydN_hypF	ndh//
hyfABCDEFGHIJR_focB	dkgB//
hypABCDE	ligB//
hypABCDE_fhlA	hdhA//
hypBCDE	coaD//
hypBCDE_fhlA	entE//
iaaA_gsiABCD	yeaG//dgcP//
ibaG_murA	pflB//
ibpAB	
idnDOTR	astB//alkA//rlmF//
ileS_lspA_fkpB_ispH	accC//lysU//dusC//srlD//
ilvEDA	ldtA//pyrE//pgpA//ydiF//
ilvIH	lysU//
ilvLXG_1G_2MEDA	aceB//allC//der//gcd//cysN//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	gmk//
insN_1I_1O_1	rbsD//
insO_2_yjhWV	
iscRSUA	maeB//dadX//
ispDF	coaA//aroF//
ispG_sroE	pagP//
isrC_flu	
ivbL_ilvBN	arsC//
ivbL_ilvBN_uhpABC	astC//
kbaZ_agaVWA	thyA//
kbl_tdh	ygiF//tdcE//
kdpDE	
kdpFABC	cdh//
kdsC_lptCAB	truB//yghA//
kefFC	tmcA//thrS//
kefGB_yheV	bacA//
kilR_ydaE	
lacYA	fabA//narV//
lacZYA	aroD//mpaA//psd//
lapAB	
lapAB_pyrF_yciH	xylA//
lepAB	argG//
leuLABCD	rffT//paaH//metK//
leuQPV	
leuS_lptE_holA_nadD_cobC	nudG//mpl//tmk//
lexA_dinF	
lgt_thyA	ribE//torA//
ligA_ypeB	miaA//
livKHMGF	nadB//gpmM//
lldPRD	abgA//lysU//
lolA_rarA	
lolB_ispE_prs	ubiD//lpxC//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	pncA//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	ushA//slt//
lptFG	
lspA_fkpB_ispH	cdsA//glgC//napG//
lsrACDBFG_tam	acnB//hisS//folC//mngB//
lsrRK	kduI//
ltaE_ybjT	rsuA//
lysT_valT_lysW	
macAB	kdsC//
malEFG	hisI//
malK_lamB_malM	rffC//paaJ//
malPQ	nudC//purU//
malXY	rsmE//speG//
manXYZ	yciV//
map_glnD_dapD	acpT//purA//gstB//
marRAB	
mazEFG	slyD//
mcrBC	queA//
mdlAB	
mdtABCD_baeSR	garL//
mdtEF	tdcG//
mdtJI	glnS//
mdtM_yjiN	cheB//
mdtNOP	aceE//
melAB	sdhC//fadA//
menA_rraA	rfbC//
menBCE	ulaG//mltB//rffT//
menDHBCE	nfi//trpA//wzc//nudJ//deoA//
menFDHBCE	mraY//gapA//dapE//preT//fabB//hemA//
metBL	mcrC//yliI//
metNIQ	pgi//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	thiL//purC//allA//
metZWV	
mglAC	prpD//
mglBAC	lpxP//
mgtLA	waaP//
mhpABCDFE	truC//trmA//trpD//pabB//hemN//ileS//
mhpR_lacI	
miaA_hfq_hflXKC	menB//aspC//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	lpoA//nudK//
mnaT_ydcZ	trpB//
mngAB	sseA//mdh//
mnmG_rsmG	tam//glyQ//
mntR_ybiR	
moaABCDE	leuC//manA//
moaBCDE	yajO//
mobAB	orn//
modABC	pfkA//
modEF	
moeAB	gltD//yfbT//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	ppiA//
mqsRA	thiD//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	hcaE//amiD//aslA//azoR//mltD//rnb//queD//epd//sseA//fabA//ydjG//
mreBCD	
mreCD	
msrPQ	
mtlADR	idi//gpmA//mltB//
mtn_btuF_yadS	tig//yjcS//
murB_birA	cysG//malQ//
murQP	ltaE//pdxJ//betA//
murQP_yfeW	cysQ//murA//clsB//bioH//
mutL_miaA_hfq_hflXKC	hemE//rfbB//paaF//
mutY_yggX	ugpQ//
mutY_yggX_mltC	hycC//pncB//
mutY_yggX_mltC_nupG	queC//ppa//ydiF//
nadA_pnuC	rlmI//cobU//
nagBAC_umpH	hisG//gatD//oxc//
nagK_cobB	moaE//wzb//
nanATEK_yhcH	metE//cobB//prpB//kdsC//
nanCM	caiC//glf//
nanCMS	arnA//pncC//
napFDAGHBC	adhP//
napFDAGHBC_ccmABCDEFGH	clsC//astD//
narGHJI	eptA//
narWV	rsmG//
narXL	
narZYWV	torY//
nemRA	pldB//
nemRA_gloA	fumB//amn//
nfrBA	
nhaAR	tag//
nikABCDER	dnaQ//
nirBDC_cysG	ribC//sbcB//napC//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	gluQ//
nrdAB_yfaE	surA//
nrdDG	arsC//yqhD//
nrdHIEF	yjjX//
nrdR_ribDE_nusB_thiL_pgpA	dacC//polA//bioC//cysE//
nrfABCDEFG	puuB//
nsrR_rnr_rlmB_yjfI	folE//tyrB//
nudB_yebC_ruvC	dxs//mutL//
nudC_hemE_nfi	argB//coaA//
nudF_yqiB_cpdA_yqiA_parE	ubiH//guaB//
nuoABCEFGHIJKLMN	udp//
nuoMN	rlmG//
ompR_envZ	
opgGH	
oppABCDF	purE//leuC//
osmF_yehYXW	lgoD//
otsBA	dusB//kdsA//
paaABCDEFGHIJK	dinB//mcrB//yqjH//prpC//rsmJ//opgB//cpdA//
paaXY	azoR//
pabB_nudL	gabD//mcrB//
pabC_mltG_tmk_holB_ycfH	argC//gmk//pgk//
panBC	nudI//rpiB//
panE_yajL	narZ//
paoABCD	mug//
pcnB_folK	sdhB//citE//
pdeI_dgcI	
pdhR_aceEF_lpd	phoA//yfiC//plsB//apt//wrbA//lpoB//
pdxA_rsmA	menE//entE//
pdxA_rsmA_apaGH	trpD//mltB//ahpF//
pdxB_usg_truA_dedA	uxuB//adeD//
pdxH_tyrS_pdxY	aroA//menF//yeaG//
pdxJ_acpS	citC//pgl//
pepQ_yigZ_trkH_hemG	lsrK//tdh//rlmF//
pflDC	
pgaABCD	ogt//udp//mnmC//
pgk_fbaA	dgcM//narV//
pgpC_tadA	murB//kbaZ//
pheLA	mog//
pheMST_ihfA	cysQ//
phnCDE_1E_2FGHIJKLMNOP	rluD//pcm//proB//pheS//fabF//ycjG//galE//
phnLMNOP	pgpC//ynfH//rsgA//mcrA//fucU//
phoA_psiF	glpD//
phoBR	
phoPQ	
pldB_yigL	glyA//fadH//
plsX_fabHDG	rlmL//der//ackA//
pntAB	
potABCD	pfkB//
potFGHI	gmk//
poxB_ltaE_ybjT	rsmF//ugpQ//
ppdAB_ygdB_ppdC_recC	gcvH//
ppdD_hofBC	
ppiB_lpxH	roxA//hemA//
ppk_ppx	nudE//ogt//
pqiAB	
preTA	waaB//
prfB_lysS	proS//
priC_ybaM	
prlC_rsmJ	argH//ldtA//
prlF_yhaV	yfaU//
prmB_aroC_mepA_yfcA_epmC_yfcL	gpp//panB//pgpA//katG//
proBA	cpdA//pfkA//
proQ_prc	mrcA//
proVWX	phnG//
prpBCDE	ydbC//araD//qor//acpT//
psd_mscM	
pspABCDE	nfsA//
pspBCDE	cysI//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	allA//ribF//
pth_ychF	proA//
ptrA_recBD	puuC//glgA//
ptsA_fsaB_gldA	menC//ubiG//
ptsHI_crr	ybaS//argE//yceF//
purEK	gloA//astC//
purHD	patD//aceB//
purMN	dgoA//yjjG//
puuAP	deoC//murA//
puuCBE	lpxB//paaF//waaG//
puuDRCBE	yrfG//purC//ilvD//hypF//
pyrF_yciH	paaI//
pyrG_eno	nudG//ubiH//
pyrLBI	dcd//
qmcA_ybbJ	
qseBC	
radA_nadR	rfbB//
rapA_rluA	ilvA//
ratAB	
ravA_viaA	
rbsDACBKR	ulaD//yieF//hisH//
rclABC	
rclBC	
rcnAB	prpD//
rcsDB	
rcsF_trmO	slt//
rdgB_yggW	rutB//
rdoA_dsbA	pdxA//fdhF//
recAX	
recET_ralR_ydaC_xisR_intR	paoB//cysS//
relA_mazEF	bfr//
relBE	dfp//
relBE_hokD	rlmL//
renD_emrE	fadM//
rfaD_waaFCL	lacZ//dcyD//guaC//lpoA//
rfbACX	rluD//rffG//proB//dgkA//
rfbBDACX	ansA//asnB//yjjG//atoA//aes//pdeL//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	moeB//mhpD//hemG//atoB//waaB//yihU//appA//pgpA//ligB//
rhaBAD	trmL//yihX//argB//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	metF//ppiA//pncA//
ribF_ileS_lspA_fkpB_ispH	gpmA//trpC//recO//metH//gnd//
rimK_ybjN	ada//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	plsC//rsmB//ispA//cmoA//deoA//pspE//thiG//rlmF//rimK//asnS//
rlmE_ftsH	frc//trpE//
rlmL_uup	tdk//
rluD_yfiH	gpt//proB//
rluE_nudJ	kdsD//rnd//
rnc_era	rfbC//
rnc_era_recO_pdxJ_acpS	bioH//ackA//ldtE//rutA//
rnlAB	pphA//
rnt_lhr	sucD//
rpe_gph_trpS	ispA//yfdE//yfcG//
rph_pyrE	pheT//malQ//
rpiR_alsBACE	uvrC//sucD//
rplJL_rpoBC	cobC//
rplKAJL_rpoBC	rlmD//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	thrS//
rpmF_plsX_fabHDG	sodA//prpC//opgB//
rpmH_rnpA	phoA//lldD//
rpmI_rplT	
rpoBC	pflB//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	thrC//menD//citE//
rppH_ptsP	rfbA//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	recG//
rpsO_pnp	tyrB//glk//
rpsP_rimM_trmD_rplS	pagP//
rpsU_dnaG_rpoD	nudL//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	serB//nadE//
rsmA_apaGH	thiM//rhaA//
rsmD_yhhL	selA//
rsmE_gshB	dgcC//pfkA//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	rsmF//gpsA//mhpE//glpC//eutC//trpB//trpD//glyS//malY//hemN//pgpB//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	ilvI//
rtcBA	caiB//fadJ//
rutABCDEFG	bcsB//gabD//epmC//pta//yrfG//uxaB//
ruvAB	serA//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	folA//
scpA_argK_scpBC	preT//gloC//moeB//trmO//
sdaCB	ilvA//dosC//
sdhCDAB_sucABCD	hisA//gabT//kdsC//hycD//
sdhDAB	
sdhE_cptA	
secB_gpsA	dacD//
secE_nusG	
secG_leuU	
secMA_mutT	gshA//
selAB	frdD//hycB//
selD_topB	kdgK//pfkB//
seqA_pgm	ampH//
serB_radA	epmC//
serC_aroA	mutM//guaC//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	yiaK//
sgrST_setA	thiD//
skp_lpxD_fabZ_lpxA	nanA//speA//tyrS//
slp_dctR	
solA_yceO	thiG//
speAB	gshB//glgA//
speF_potE	udk//dosC//
srlAEBD_gutM_srlR_gutQ	gltX//pinE//yfiC//
sroG_ribB	manA//
sspAB	
ssrS_fau	argE//
ssuEADCB	eptB//arsC//ribE//
stfE_tfaE	
sucAB	cdd//cysS//rhaM//
sucABCD	dkgA//lpxB//fabI//alr//
sufABCDSE	ulaD//
surA_pdxA_rsmA_apaGH	solA//wecB//rluF//frlC//
tag_yiaC	spoT//
talA_tktB	asnS//sdaB//
tamAB_ytfP	
tar_tap_cheRBYZ	citE//aldB//
tatABC	manA//
tatABCD	napG//yagF//
tauABCD	yliI//cysK//
tdcABCDEFG	mltB//rnpB//yghA//ynfG//sodC//
tdcBCDEFG	epmC//talA//yneH//hdhA//putA//
tehAB	nemA//pagP//
tesA_ybbO	lsrG//ybjG//
tff_rpsB_tsf	
tgt_yajC	argF//
thiCEFSGH	dnaE//fabI//kduD//paaF//glcF//
thiMD	gluQ//birA//
thrLABC	tsaD//nrdD//amiD//
thrS_infC	dgcC//
thrS_infC_rpmI_rplT_pheMST_ihfA	tdcD//acpS//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	frlC//rph//
tolB_pal_cpoB	
tolC_ygiABC	gltB//waaC//pyrB//leuB//mutT//dgcP//fabB//cheR//pgpA//
tomB_hha	
topAI_yjhQ	
torCAD	cof//
torYZ	deoB//
treBC	acnA//rbn//
trmI_yggL	frmA//
trpCBA	ubiC//recR//rbsD//napA//
trpLEDCBA	entH//ushA//rluF//napH//waaC//ycaO//
tsaB_yeaY	fabB//
tsaE_amiB_mutL_miaA_hfq_hflXKC	glyS//yihX//nemA//bcsA//glpE//
ttdABT	ilvA//lysC//
tyrS_pdxY	rffH//thiE//
tyrTV_tpr	
tyrV_tpr	
ubiCA	purL//adeD//
ubiEJB	tdcE//
udk_dcd	paaA//scpA//
ugpBAECQ	pta//moaA//
uhpABC	
uidABC	hyaB//moaE//
ulaABCDEF	cadA//waaQ//lpoB//galU//
umpG_pcm	uxuB//amiD//
umuDC	rffT//
uof_fur	
upp_uraA	sgbE//uvrA//
usg_truA_dedA	hycC//
uvrYC	caiD//
uxaCA	yieF//yfeW//
uxuAB	aroA//hypF//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	tnaA//pdeH//
waaQGPSBOJYZU	lsrK//murI//ileS//phr//psuK//torY//fadI//rsmC//queD//glxK//
waaYZ	glpC//rlmE//
waaZU	gdhA//puuD//
wbbIJK	entA//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	prpC//citF//insI-2//murQ//mrcB//galT//
wcaKLM	
wrbA_yccJ	ydbC//
wza_wzb_wzc	gmhB//sseA//
wza_wzb_wzc_wcaAB	folB//fabZ//
xanQ_guaD_ghxQ	nadK//ldtD//ansB//
xapAB	eptA//rfbC//
xdhABC	ppiB//
xerD_dsbC_recJ	clsB//ispU//
xseB_ispA_dxs_yajO	speF//maeB//dusB//arnA//
xylAB	prs//nrdA//
xylFGHR	torZ//
yabPQ	
yacC_speED	phnH//queC//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	rsmI//
yafDE	
yafNOP	alsE//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	efeB//luxS//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	lpxM//
ybaB_recR	dapB//
ybaST	roxA//
ybbAP	
ybbY_glxK	cysK//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	rimK//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	cobT//
ybeZY	
ybeZYX_lnt	gudD//
ybfHG	
ybfOC	
ybgA_phr	narV//
ybgC_tolQRA	
ybgIJKL_nei	panD//
ybgQPO	
ybhP_clsB_ybhN	csdA//
ybiYW	
ybjC_nfsA_rimK_ybjN	etk//frlC//
ybjJI	yfaU//
ybjO_rlmC	torC//
ybjQ_amiD	etp//
ycaI_msbA_lpxK_ycaQ	nudB//bcsZ//
ycaR_kdsB	sucA//
ycbK_gloC	deoB//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	tdcE//
yciCB	
yciGFE	
yciK_btuR	glxK//
yciVOQ	asd//
yciZT	
ycjMNOPQRSTUV_ymjB	epmC//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	aslA//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	queD//hypB//
ydcSTUV_patD	ltaE//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	fes//
ydgK_rsxABCDGE_nth	nudJ//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	ydjG//thiM//
ydiJ_menI_ydiH	yeaE//
ydiNB_aroD	etk//iaaA//
ydiQRST_fadK	prpD//
ydjA_selD_topB	purM//yjcS//
ydjLKJIHG	cysH//
ydjXYZ_ynjABCD	
yeaGH	ilvN//
yeaR_yoaG	
yeaVW	
yebC_ruvC	eptB//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	galK//lsrF//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	gpmM//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	dgcT//tgt//
yejABEF	metB//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	pphB//
yfaX_rhmD	
yfaX_rhmD_yfaVU	cysS//
yfbUT	queG//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	ligA//
