# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	ulaF//
folD_ybcJ	adhE//
folE_yeiB	recG//
folP_glmM	ribD//kdsB//
folX_yfcH	plsB//
frdABCD	lldD//
frlABCDR	glpB//lacA//pheS//yqhD//
frmRAB	aspC//cpsB//
fruBKA	sseA//dgcP//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	metB//pheT//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	luxS//waaJ//asnB//ispU//rlmM//pgm//kbaZ//frdB//dmsB//pssA//
ftsQAZ	
ftsYEX	
fucAO	dosC//fabG//
fucPIKUR	lpoB//relA//nudJ//nrdE//
fumAC	dnaQ//nanK//
fusA_tufA	
gabDTP	phoA//waaO//nrdF//
gadAX	menA//
gadBC	ascB//talB//
gadEF	
gadEF_mdtEF	gss//
gadXW	
galET	sgbU//frlC//
galETK	ruvB//aceB//cynS//
galETKM	deoB//rlmH//puuE//yjhG//
gapA_yeaD	waaY//
gapC_1C_2	
garPLRK_rnpB	hemE//deoC//ssuE//mraY//rutB//bioH//
gatYZABCD	pgsA//rlmE//fkpB//
gatZABCD	yihV//paaG//fadM//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	fadE//ilvG_1//lpd//mltF//pfkB//
gcvTHP	queF//rffH//dkgA//
gfcBCD	
gfcE_etp_etk	ribA//pphB//
ghoST	ispG//
glcBA	ispB//ubiA//
glcDEFGBA	hcaB//sdhD//aroK//
glf_wbbH	katE//
glgAP	galT//ygeX//
glgBXCAP	upp//paoC//gntK//glmU//astB//
glgCAP	tam//mmuM//cyoE//
glmUS	thiF//rpiA//
glnALG	argA//
glnHPQ	yrfG//
glnK_amtB	rutD//
glnLG	
glnW_metU_glnVX	
glpABC	dxs//
glpEGR	azoR//ilvG_2//
glpFKX	recF//mltF//pncB//
glpGR	rpiB//
glpTQ	yccX//garR//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	yidA//
glvCBG_ysdC	
glyQS	yfdE//
glyVXY	
glyW_cysT_leuZ	
gntKU	miaB//ilvC//
gntRKU	mdh//rfbB//
gntX_nfuA	
gpmM_envC_yibQ	mutT//tpiA//
groSL	
gspAB	
gspCDEFGHIJKLMO	psuG//
guaBA	yfcG//alsE//
gudPXD	yeiR//trxB//
hcaEFCBD	entB//entD//
hcp_hcr	psuG//adeD//
hdeAB_yhiD	
hemA_prfA_prmC	miaB//ynfG//
hemCDXY	prmC//argA//
hflD_purB	nudF//
hfq_hflXKC	thrS//
hicAB	
higBA	pfkB//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	torC//lgoD//fucK//arnB//
hipBA	trpE//
hisBHAFI	aroL//yjcS//ligB//otsB//
hisJQMP	nagK//bcsB//
hisLGDCBHAFI	edd//malY//mtlD//cysH//yihT//pphB//paoC//
hofMNOP	
holC_valS	proA//
holD_rimI_yjjG	xylA//cof//
hscBA_fdx_iscX	icd//
hsdMS	mhpC//
hsdRMS	napA//
hslRO	
hslVU	bcsB//
hyaABCDEF	
hybOABCDEFG	aldA//
hycABCDEFGHI	rsgA//fumC//
hydN_hypF	fsaB//
hyfABCDEFGHIJR_focB	cmk//
hypABCDE	paaH//
hypABCDE_fhlA	narV//
hypBCDE	xapA//
hypBCDE_fhlA	malQ//
iaaA_gsiABCD	edd//menD//
ibaG_murA	fklB//
ibpAB	
idnDOTR	yniC//dapE//wcaJ//
ileS_lspA_fkpB_ispH	citC//upp//phnI//atoD//
ilvEDA	lipA//adiA//alaS//yfiC//
ilvIH	tam//
ilvLXG_1G_2MEDA	argH//mnmC//astD//dkgB//purU//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	kdsB//
insN_1I_1O_1	fucI//
insO_2_yjhWV	
iscRSUA	glpQ//yahK//
ispDF	epmC//bioC//
ispG_sroE	bfr//
isrC_flu	
ivbL_ilvBN	ispA//
ivbL_ilvBN_uhpABC	malZ//
kbaZ_agaVWA	gmm//
kbl_tdh	ldcA//hisI//
kdpDE	
kdpFABC	folB//
kdsC_lptCAB	umpG//fadB//
kefFC	yagE//gph//
kefGB_yheV	cobC//
kilR_ydaE	
lacYA	ubiC//yihU//
lacZYA	mcrA//ydiB//tdcG//
lapAB	
lapAB_pyrF_yciH	yfcG//
lepAB	waaA//
leuLABCD	yajO//citC//mltF//
leuQPV	
leuS_lptE_holA_nadD_cobC	atoA//proA//hpt//
lexA_dinF	
lgt_thyA	kbaY//lldD//
ligA_ypeB	miaA//
livKHMGF	dcd//wcaJ//
lldPRD	kefF//paaF//
lolA_rarA	
lolB_ispE_prs	murI//cdd//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	ruvA//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	rsmF//hyaB//
lptFG	
lspA_fkpB_ispH	nfi//garK//sodB//
lsrACDBFG_tam	gmhB//fabZ//glnS//yjeF//
lsrRK	dapB//
ltaE_ybjT	gcvH//
lysT_valT_lysW	
macAB	truC//
malEFG	hisH//
malK_lamB_malM	trmI//lacA//
malPQ	deoA//aes//
malXY	atoB//glpK//
manXYZ	kdsD//
map_glnD_dapD	appA//ydfG//miaA//
marRAB	
mazEFG	purK//
mcrBC	atoA//
mdlAB	
mdtABCD_baeSR	hypB//
mdtEF	xdhC//
mdtJI	murE//
mdtM_yjiN	folP//
mdtNOP	dadX//
melAB	thyA//murD//
menA_rraA	clsC//
menBCE	recJ//dmlA//waaB//
menDHBCE	fbaB//rbn//btuE//mocA//argC//
menFDHBCE	ulaE//chbG//frmB//hemG//fbaB//lipB//
metBL	ynfH//umuC//
metNIQ	trmO//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	ldtD//mobA//lpxA//
metZWV	
mglAC	tdk//
mglBAC	bacA//
mgtLA	dcd//
mhpABCDFE	tgt//hinT//yihT//yagF//trmD//plsC//
mhpR_lacI	
miaA_hfq_hflXKC	pykA//pdxJ//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	paaJ//trmJ//
mnaT_ydcZ	yajO//
mngAB	entE//gshA//
mnmG_rsmG	trmI//ilvN//
mntR_ybiR	
moaABCDE	kdsA//bcsB//
moaBCDE	recR//
mobAB	arnB//
modABC	iaaA//
modEF	
moeAB	nfi//yfeW//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	dgcC//
mqsRA	aes//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	cysE//tgt//yceF//nadB//rbn//mhpB//mltB//rlmM//puuD//frdB//accD//
mreBCD	
mreCD	
msrPQ	
mtlADR	rbsD//fucK//thiI//
mtn_btuF_yadS	gloC//narV//
murB_birA	leuS//sodB//
murQP	uxaB//fadE//hisD//
murQP_yfeW	ldtA//yneH//kdsC//ubiA//
mutL_miaA_hfq_hflXKC	eutB//dgcZ//patZ//
mutY_yggX	tmk//
mutY_yggX_mltC	leuB//galT//
mutY_yggX_mltC_nupG	glnA//yihU//yeaG//
nadA_pnuC	waaL//ubiA//
nagBAC_umpH	yihT//citX//lyxK//
nagK_cobB	mltD//sseA//
nanATEK_yhcH	ilvA//bioB//galT//mngB//
nanCM	ydjG//gcvH//
nanCMS	tynA//sodB//
napFDAGHBC	gcvP//
napFDAGHBC_ccmABCDEFGH	lpxH//sthA//
narGHJI	nhoA//
narWV	epmA//
narXL	
narZYWV	puuA//
nemRA	betA//
nemRA_gloA	ybdL//thiM//
nfrBA	
nhaAR	mdh//
nikABCDER	paaJ//
nirBDC_cysG	phnL//accC//idnD//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	accD//
nrdAB_yfaE	umpH//
nrdDG	trmD//ybjI//
nrdHIEF	nrfC//
nrdR_ribDE_nusB_thiL_pgpA	kbaY//phnL//galU//fadA//
nrfABCDEFG	glgP//
nsrR_rnr_rlmB_yjfI	sdhC//hisD//
nudB_yebC_ruvC	mpl//hcaC//
nudC_hemE_nfi	hemC//gcvH//
nudF_yqiB_cpdA_yqiA_parE	cobT//lipA//
nuoABCEFGHIJKLMN	ldtE//
nuoMN	paaH//
ompR_envZ	
opgGH	
oppABCDF	prpB//fes//
osmF_yehYXW	rsmF//
otsBA	nudI//bioH//
paaABCDEFGHIJK	speE//pgk//mutM//caiC//cmoA//trpE//cdh//
paaXY	hemL//
pabB_nudL	cheB//solA//
pabC_mltG_tmk_holB_ycfH	pcm//alsE//can//
panBC	yeaE//pgpA//
panE_yajL	pdxA//
paoABCD	entD//
pcnB_folK	wcaJ//ybdL//
pdeI_dgcI	
pdhR_aceEF_lpd	cfa//waaO//hcaB//moeA//pgpA//lpxA//
pdxA_rsmA	betA//treC//
pdxA_rsmA_apaGH	yieF//sufS//hcaE//
pdxB_usg_truA_dedA	btuR//rlmI//
pdxH_tyrS_pdxY	ynfG//glmS//yjiA//
pdxJ_acpS	aroD//pncA//
pepQ_yigZ_trkH_hemG	hycG//clsC//glpC//
pflDC	
pgaABCD	kdsC//rnpB//menF//
pgk_fbaA	emtA//aspA//
pgpC_tadA	lsrG//otsA//
pheLA	torC//
pheMST_ihfA	tmk//
phnCDE_1E_2FGHIJKLMNOP	murA//nudG//phnL//ftnA//folE//orn//waaY//
phnLMNOP	napG//mcrB//yiaY//sdaA//pgsA//
phoA_psiF	gudD//
phoBR	
phoPQ	
pldB_yigL	narG//gnd//
plsX_fabHDG	coaA//uxuA//pykA//
pntAB	
potABCD	dgcM//
potFGHI	bioC//
poxB_ltaE_ybjT	aldA//fre//
ppdAB_ygdB_ppdC_recC	fkpA//
ppdD_hofBC	
ppiB_lpxH	pphA//cobT//
ppk_ppx	fbaA//tilS//
pqiAB	
preTA	pdeR//
prfB_lysS	pta//
priC_ybaM	
prlC_rsmJ	yeaG//glcF//
prlF_yhaV	ubiG//
prmB_aroC_mepA_yfcA_epmC_yfcL	pdeL//fadH//ttdA//dcyD//
proBA	lpxB//hyi//
proQ_prc	alaC//
proVWX	cysD//
prpBCDE	tpiA//allB//cysE//ispD//
psd_mscM	
pspABCDE	pykF//
pspBCDE	thiM//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	iaaA//sgbH//
pth_ychF	yfiC//
ptrA_recBD	ndk//leuC//
ptsA_fsaB_gldA	lpxD//menI//
ptsHI_crr	rdgB//ygjK//argA//
purEK	yjiA//phnP//
purHD	nanE//pyrH//
purMN	purD//araB//
puuAP	uxuB//rsmH//
puuCBE	waaY//gnd//sgbH//
puuDRCBE	anmK//cdsA//hcp//selB//
pyrF_yciH	maeA//
pyrG_eno	waaC//manA//
pyrLBI	argI//
qmcA_ybbJ	
qseBC	
radA_nadR	yihT//
rapA_rluA	ampD//
ratAB	
ravA_viaA	
rbsDACBKR	mmuM//lpxH//nhoA//
rclABC	
rclBC	
rcnAB	lpxK//
rcsDB	
rcsF_trmO	ubiH//
rdgB_yggW	rsuA//
rdoA_dsbA	yieF//folD//
recAX	
recET_ralR_ydaC_xisR_intR	mocA//gadA//
relA_mazEF	aceE//
relBE	phnM//
relBE_hokD	mngB//
renD_emrE	tilS//
rfaD_waaFCL	mutH//kdsA//uxaC//purL//
rfbACX	menI//atoB//frdA//paaE//
rfbBDACX	pphB//cheB//citE//hycB//argK//pcm//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	umuC//gloB//yceF//menD//hemG//fucU//thiC//dmsA//aroF//
rhaBAD	uxaA//dhaM//dhaL//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	hycG//rsmJ//tynA//
ribF_ileS_lspA_fkpB_ispH	mqo//thrC//ilvI//fabH//yicI//
rimK_ybjN	fsaB//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	purB//glpA//serA//aroA//sdaB//dfp//emtA//adhE//yfaU//thiG//
rlmE_ftsH	mutS//rfbC//
rlmL_uup	tktA//
rluD_yfiH	tyrA//dfp//
rluE_nudJ	ulaG//leuS//
rnc_era	glk//
rnc_era_recO_pdxJ_acpS	ravA//nanM//gloA//ubiE//
rnlAB	mraY//
rnt_lhr	hcaC//
rpe_gph_trpS	citC//rlmE//aceF//
rph_pyrE	ydjG//mcrC//
rpiR_alsBACE	waaS//hemH//
rplJL_rpoBC	nudK//
rplKAJL_rpoBC	hemD//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	fadK//
rpmF_plsX_fabHDG	mltD//menA//cysM//
rpmH_rnpA	hisH//mhpC//
rpmI_rplT	
rpoBC	hcp//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	sbcB//entC//abgB//
rppH_ptsP	ldtC//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	rffC//
rpsO_pnp	gntK//mog//
rpsP_rimM_trmD_rplS	pdeH//
rpsU_dnaG_rpoD	allB//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	sdhA//adiA//
rsmA_apaGH	ugpQ//thiL//
rsmD_yhhL	fadM//
rsmE_gshB	lpxM//dgcC//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	asd//leuS//waaC//queA//aspS//mobA//trpB//ruvA//pspE//purL//clsB//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	ribC//
rtcBA	nrfC//thrA//
rutABCDEFG	selB//sucA//bglX//aroL//galM//solA//
ruvAB	rdoA//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	dmlA//
scpA_argK_scpBC	ung//aroA//ghrB//nirB//
sdaCB	wcaJ//murQ//
sdhCDAB_sucABCD	narV//fklB//yfbT//pyrI//
sdhDAB	
sdhE_cptA	
secB_gpsA	allB//
secE_nusG	
secG_leuU	
secMA_mutT	fucA//
selAB	glcE//aceF//
selD_topB	kduD//amiD//
seqA_pgm	lpxB//
serB_radA	proA//
serC_aroA	mak//speG//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	yfiH//
sgrST_setA	rbn//
skp_lpxD_fabZ_lpxA	eutC//metH//lysS//
slp_dctR	
solA_yceO	nadD//
speAB	pncC//nadB//
speF_potE	deoB//ygeX//
srlAEBD_gutM_srlR_gutQ	yfeW//abgA//arnC//
sroG_ribB	speD//
sspAB	
ssrS_fau	eptA//
ssuEADCB	hycD//treF//queG//
stfE_tfaE	
sucAB	ygeX//waaB//trmH//
sucABCD	tdcE//fabD//mepS//acs//
sufABCDSE	caiB//
surA_pdxA_rsmA_apaGH	pgsA//murI//mutY//accC//
tag_yiaC	aphA//
talA_tktB	astB//abgA//
tamAB_ytfP	
tar_tap_cheRBYZ	hisA//ftnA//
tatABC	betB//
tatABCD	yajO//menC//
tauABCD	glpE//lpoB//
tdcABCDEFG	yfcF//serC//moeB//nudE//guaD//
tdcBCDEFG	allD//leuC//waaQ//recG//yhdH//
tehAB	paaF//atoB//
tesA_ybbO	frc//recJ//
tff_rpsB_tsf	
tgt_yajC	rnpA//
thiCEFSGH	maa//pphA//ydiF//nadD//carB//
thiMD	fabF//garL//
thrLABC	xylB//can//astA//
thrS_infC	pdxB//
thrS_infC_rpmI_rplT_pheMST_ihfA	tsaC//glgP//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	allA//alkB//
tolB_pal_cpoB	
tolC_ygiABC	ilvI//trxB//argS//yihT//rhaM//rsmJ//waaL//yihS//queC//
tomB_hha	
topAI_yjhQ	
torCAD	nudF//
torYZ	pgaC//
treBC	dnaQ//ilvA//
trmI_yggL	gabT//
trpCBA	gcvT//nagB//wzc//eptA//
trpLEDCBA	speB//ttdB//insI-3//scpC//dapF//frmB//
tsaB_yeaY	rluF//
tsaE_amiB_mutL_miaA_hfq_hflXKC	rffT//yciA//sdaA//gstA//rlmG//
ttdABT	pflB//frdB//
tyrS_pdxY	tktA//glpQ//
tyrTV_tpr	
tyrV_tpr	
ubiCA	glgC//glpE//
ubiEJB	mazG//
udk_dcd	rffT//zwf//
ugpBAECQ	ppc//waaH//
uhpABC	
uidABC	mgsA//ppsA//
ulaABCDEF	waaG//hyaA//trpC//fabA//
umpG_pcm	ynfF//glxR//
umuDC	mpl//
uof_fur	
upp_uraA	gltA//frlC//
usg_truA_dedA	etk//
uvrYC	rnd//
uxaCA	accD//gnd//
uxuAB	frc//ruvA//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	umpG//frmB//
waaQGPSBOJYZU	gatY//gmhB//waaZ//napH//yfiH//ulaG//hemN//dhaK//cynS//yidA//
waaYZ	phnJ//asnB//
waaZU	paaG//adiA//
wbbIJK	dnaE//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	yajO//nfsB//umuD//gcvP//ymdB//murC//
wcaKLM	
wrbA_yccJ	hemL//
wza_wzb_wzc	murB//yfaU//
wza_wzb_wzc_wcaAB	tdcD//dgcC//
xanQ_guaD_ghxQ	ubiF//rpiB//truB//
xapAB	aroD//citC//
xdhABC	iaaA//
xerD_dsbC_recJ	tsaB//rrrD//
xseB_ispA_dxs_yajO	ddlA//truD//entE//ispD//
xylAB	hcaF//ttdB//
xylFGHR	accB//
yabPQ	
yacC_speED	hemN//rsmH//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	xthA//
yafDE	
yafNOP	ribF//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	pdeF//ldtB//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	nirD//
ybaB_recR	aroA//
ybaST	gshB//
ybbAP	
ybbY_glxK	rlmG//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	ilvH//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	gutQ//
ybeZY	
ybeZYX_lnt	pgsA//
ybfHG	
ybfOC	
ybgA_phr	dosC//
ybgC_tolQRA	
ybgIJKL_nei	uvrC//
ybgQPO	
ybhP_clsB_ybhN	pheS//
ybiYW	
ybjC_nfsA_rimK_ybjN	nrdE//uvrA//
ybjJI	citE//
ybjO_rlmC	psuK//
ybjQ_amiD	pgi//
ycaI_msbA_lpxK_ycaQ	pncB//rffM//
ycaR_kdsB	gltA//
ycbK_gloC	umuC//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	ilvI//
yciCB	
yciGFE	
yciK_btuR	kdsB//
yciVOQ	hmp//
yciZT	
ycjMNOPQRSTUV_ymjB	menH//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	fucO//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	btuR//rnpB//
ydcSTUV_patD	dacC//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	miaB//
ydgK_rsxABCDGE_nth	treA//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	dgcZ//gloC//
ydiJ_menI_ydiH	dmsA//
ydiNB_aroD	pgpB//hyi//
ydiQRST_fadK	dnaE//
ydjA_selD_topB	ynfG//allD//
ydjLKJIHG	yfdR//
ydjXYZ_ynjABCD	
yeaGH	mutH//
yeaR_yoaG	
yeaVW	
yebC_ruvC	leuD//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	speA//rnd//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	argF//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	azoR//ychF//
yejABEF	yjeF//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	tesA//
yfaX_rhmD	
yfaX_rhmD_yfaVU	aspA//
yfbUT	pyrI//
