# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	deoB//
hfq_hflXKC	glpB//
hicAB	
higBA	fklB//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	sbcB//tmcA//menB//yohF//
hipBA	ubiG//
hisBHAFI	pgpB//nudC//trmH//otsA//
hisJQMP	rffH//nanM//
hisLGDCBHAFI	puuD//coaD//betA//yjeF//phnO//rutA//argA//
hofMNOP	
holC_valS	nfsB//
holD_rimI_yjjG	aroL//nanA//
hscBA_fdx_iscX	srlD//
hsdMS	tsaC//
hsdRMS	dapF//
hslRO	
hslVU	arnA//
hyaABCDEF	
hybOABCDEFG	fucK//
hycABCDEFGHI	hyaA//avtA//
hydN_hypF	ygaP//
hyfABCDEFGHIJR_focB	yeaG//
hypABCDE	murB//
hypABCDE_fhlA	sad//
hypBCDE	rlmE//
hypBCDE_fhlA	yjhH//
iaaA_gsiABCD	ribA//ushA//
ibaG_murA	serA//
ibpAB	
idnDOTR	ribB//glmU//pyrC//
ileS_lspA_fkpB_ispH	ampC//mpl//purL//iscS//
ilvEDA	fkpB//garK//adiA//ygjK//
ilvIH	anmK//
ilvLXG_1G_2MEDA	yjiA//ydiB//hemF//carB//tauD//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	yibQ//
insN_1I_1O_1	acnA//
insO_2_yjhWV	
iscRSUA	aldB//dmsA//
ispDF	argG//gcd//
ispG_sroE	trpE//
isrC_flu	
ivbL_ilvBN	entE//
ivbL_ilvBN_uhpABC	truC//
kbaZ_agaVWA	hemG//
kbl_tdh	fre//acpT//
kdpDE	
kdpFABC	lpxD//
kdsC_lptCAB	mltD//ribE//
kefFC	aroB//recF//
kefGB_yheV	pldB//
kilR_ydaE	
lacYA	cysM//mobA//
lacZYA	eutD//murB//lysC//
lapAB	
lapAB_pyrF_yciH	thiF//
lepAB	glcE//
leuLABCD	serC//puuE//lpxH//
leuQPV	
leuS_lptE_holA_nadD_cobC	yegS//ldcA//ogt//
lexA_dinF	
lgt_thyA	ravA//nrdE//
ligA_ypeB	ppsA//
livKHMGF	pyrF//hdhA//
lldPRD	hdhA//pabB//
lolA_rarA	
lolB_ispE_prs	otsA//tsaB//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	upp//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	ddlB//pnp//
lptFG	
lspA_fkpB_ispH	ispA//arnC//sucB//
lsrACDBFG_tam	accD//entB//ilvE//yhhW//
lsrRK	pdxA//
ltaE_ybjT	nadR//
lysT_valT_lysW	
macAB	yieH//
malEFG	wcaJ//
malK_lamB_malM	tsaE//thrA//
malPQ	mpl//ubiA//
malXY	gabT//tilS//
manXYZ	murI//
map_glnD_dapD	slyD//slt//coaA//
marRAB	
mazEFG	truC//
mcrBC	cmoA//
mdlAB	
mdtABCD_baeSR	sdhB//
mdtEF	pgaB//
mdtJI	asnS//
mdtM_yjiN	gmhB//
mdtNOP	paaI//
melAB	pbpC//waaO//
menA_rraA	waaH//
menBCE	hycB//glcD//rlmB//
menDHBCE	dsdA//hemG//asnB//pepD//alsE//
menFDHBCE	pdxA//argA//rluC//metF//rffG//menA//
metBL	ahpC//pepD//
metNIQ	amiD//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	ispH//lipA//ispB//
metZWV	
mglAC	ldhA//
mglBAC	dusC//
mgtLA	rpe//
mhpABCDFE	tyrA//rsmF//gcvP//gltD//hycB//manA//
mhpR_lacI	
miaA_hfq_hflXKC	glnS//dusA//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	murF//gatD//
mnaT_ydcZ	fbaA//
mngAB	epmC//ushA//
mnmG_rsmG	hyaC//treC//
mntR_ybiR	
moaABCDE	surA//plsB//
moaBCDE	nudE//
mobAB	ribB//
modABC	glpQ//
modEF	
moeAB	recG//talB//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	waaA//
mqsRA	nemA//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	ynfE//puuE//uxuB//torC//katE//aes//sucD//insI-2//deoB//hemF//abgA//
mreBCD	
mreCD	
msrPQ	
mtlADR	ansA//hisS//gpsA//
mtn_btuF_yadS	paoC//hisB//
murB_birA	frdA//bioH//
murQP	ldtB//cmoA//hemF//
murQP_yfeW	thyA//phnM//rluE//menA//
mutL_miaA_hfq_hflXKC	pabA//pgpB//dmlA//
mutY_yggX	gpt//
mutY_yggX_mltC	lysU//nrfD//
mutY_yggX_mltC_nupG	hyaB//pncC//gcvH//
nadA_pnuC	truD//lsrF//
nagBAC_umpH	phoA//entC//plsB//
nagK_cobB	hycG//pgm//
nanATEK_yhcH	thiH//hemB//ybbO//murF//
nanCM	purD//pdxH//
nanCMS	xdhB//cynS//
napFDAGHBC	narV//
napFDAGHBC_ccmABCDEFGH	tsaC//trmH//
narGHJI	xdhC//
narWV	fabZ//
narXL	
narZYWV	betB//
nemRA	tyrB//
nemRA_gloA	trpD//napH//
nfrBA	
nhaAR	ygiF//
nikABCDER	mhpC//
nirBDC_cysG	kduI//nadK//nudC//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	gatY//
nrdAB_yfaE	glpK//
nrdDG	def//betA//
nrdHIEF	ubiD//
nrdR_ribDE_nusB_thiL_pgpA	nrfD//folE//phnP//dinB//
nrfABCDEFG	lipA//
nsrR_rnr_rlmB_yjfI	udp//acnB//
nudB_yebC_ruvC	fabI//alaA//
nudC_hemE_nfi	alsE//proA//
nudF_yqiB_cpdA_yqiA_parE	astB//cueO//
nuoABCEFGHIJKLMN	pdeF//
nuoMN	rnt//
ompR_envZ	
opgGH	
oppABCDF	araA//rhaD//
osmF_yehYXW	fucA//
otsBA	rimK//nudK//
paaABCDEFGHIJK	gmk//azoR//dgcT//chbF//phnN//ampH//gpp//
paaXY	pyrI//
pabB_nudL	araA//tdcB//
pabC_mltG_tmk_holB_ycfH	dgoD//ribB//rhaB//
panBC	kdgK//pgaC//
panE_yajL	ulaF//
paoABCD	rhaA//
pcnB_folK	sdhA//citG//
pdeI_dgcI	
pdhR_aceEF_lpd	ahpF//argE//glpE//mhpC//glgP//aroC//
pdxA_rsmA	mocA//gltD//
pdxA_rsmA_apaGH	lacZ//pykA//sodC//
pdxB_usg_truA_dedA	uvrC//abgB//
pdxH_tyrS_pdxY	astA//speC//kdsD//
pdxJ_acpS	phoA//gmd//
pepQ_yigZ_trkH_hemG	csdA//hisH//luxS//
pflDC	
pgaABCD	nrfC//nrdA//mutT//
pgk_fbaA	fabF//gph//
pgpC_tadA	ynfH//frmA//
pheLA	acpS//
pheMST_ihfA	aspC//
phnCDE_1E_2FGHIJKLMNOP	purB//ilvM//etp//glxK//opgB//hisC//uxaB//
phnLMNOP	fadH//ppa//moaE//ddlB//asd//
phoA_psiF	mrdA//
phoBR	
phoPQ	
pldB_yigL	proA//queA//
plsX_fabHDG	umpH//murA//dadX//
pntAB	
potABCD	rutB//
potFGHI	hemL//
poxB_ltaE_ybjT	dkgA//menI//
ppdAB_ygdB_ppdC_recC	metK//
ppdD_hofBC	
ppiB_lpxH	prmC//trmI//
ppk_ppx	ppiC//waaU//
pqiAB	
preTA	glpB//
prfB_lysS	orn//
priC_ybaM	
prlC_rsmJ	eda//ispG//
prlF_yhaV	citD//
prmB_aroC_mepA_yfcA_epmC_yfcL	ppx//argE//ldtD//thiM//
proBA	rsuA//wbbI//
proQ_prc	ispU//
proVWX	tmk//
prpBCDE	fabF//udp//aphA//apt//
psd_mscM	
pspABCDE	cysD//
pspBCDE	thiK//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	pyrB//eutD//
pth_ychF	luxS//
ptrA_recBD	idnD//dusC//
ptsA_fsaB_gldA	paaH//rluF//
ptsHI_crr	mutM//xylA//accC//
purEK	metK//entH//
purHD	arnC//speA//
purMN	purM//sucC//
puuAP	argI//purE//
puuCBE	ppx//ldcA//alaA//
puuDRCBE	aroA//pflB//lpoA//nhoA//
pyrF_yciH	pyrE//
pyrG_eno	ynfF//pgpC//
pyrLBI	nadD//
qmcA_ybbJ	
qseBC	
radA_nadR	acnB//
rapA_rluA	yciV//
ratAB	
ravA_viaA	
rbsDACBKR	rpiA//mutL//gabT//
rclABC	
rclBC	
rcnAB	atoD//
rcsDB	
rcsF_trmO	proC//
rdgB_yggW	menB//
rdoA_dsbA	idnD//nrdD//
recAX	
recET_ralR_ydaC_xisR_intR	dapF//rihB//
relA_mazEF	tsaC//
relBE	nadK//
relBE_hokD	umuD//
renD_emrE	ndk//
rfaD_waaFCL	pheT//yciV//ilvN//fbp//
rfbACX	argA//ilvG_1//wzb//ftnA//
rfbBDACX	nadB//napA//tesA//pta//uidA//speC//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	mutY//amyA//fadK//dkgA//torZ//cysD//mhpD//truC//panE//
rhaBAD	tcdA//add//dusC//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	frdD//yfdE//fdhF//
ribF_ileS_lspA_fkpB_ispH	ppa//rihC//yahK//sdhB//plsB//
rimK_ybjN	yfbT//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	galK//ldcA//phnN//ispD//rffG//tdcG//ynfE//mnaT//tktA//mutT//
rlmE_ftsH	serS//araB//
rlmL_uup	hcaF//
rluD_yfiH	dcm//ubiH//
rluE_nudJ	rdoA//pheA//
rnc_era	pyrD//
rnc_era_recO_pdxJ_acpS	hycF//argF//thiE//yhdH//
rnlAB	hemD//
rnt_lhr	rluC//
rpe_gph_trpS	gpmA//gcd//nudE//
rph_pyrE	gmd//rutD//
rpiR_alsBACE	ddlB//thiF//
rplJL_rpoBC	deoB//
rplKAJL_rpoBC	aspS//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	pheA//
rpmF_plsX_fabHDG	efeB//yahK//hcaB//
rpmH_rnpA	rutA//mobA//
rpmI_rplT	
rpoBC	ribD//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	glgP//dcyD//hycF//
rppH_ptsP	csdA//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	glxK//
rpsO_pnp	cobC//waaQ//
rpsP_rimM_trmD_rplS	glyA//
rpsU_dnaG_rpoD	ogt//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	adiA//yjcS//
rsmA_apaGH	proC//clsA//
rsmD_yhhL	ilvI//
rsmE_gshB	pldA//cobB//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	speD//hisB//yqjG//lpxA//fbaA//ybiV//mobA//ahr//kbaZ//deoC//hycB//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	epd//
rtcBA	nanK//rihC//
rutABCDEFG	mazG//hycG//tmcA//ppiB//lpxD//ispD//
ruvAB	mraY//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	rfbC//
scpA_argK_scpBC	recJ//paaY//argI//bioC//
sdaCB	leuB//pgk//
sdhCDAB_sucABCD	cyoE//selB//cynS//sucD//
sdhDAB	
sdhE_cptA	
secB_gpsA	cynT//
secE_nusG	
secG_leuU	
secMA_mutT	yfiH//
selAB	acs//cysK//
selD_topB	sgbE//mhpF//
seqA_pgm	rdoA//
serB_radA	mutY//
serC_aroA	betB//trmL//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	phnL//
sgrST_setA	polB//
skp_lpxD_fabZ_lpxA	glxK//pagP//mqo//
slp_dctR	
solA_yceO	truD//
speAB	nudL//lpxL//
speF_potE	gmhB//rdoA//
srlAEBD_gutM_srlR_gutQ	atoD//selD//ydiO//
sroG_ribB	pdxB//
sspAB	
ssrS_fau	pdxB//
ssuEADCB	entC//murE//yjhH//
stfE_tfaE	
sucAB	paaF//dmsC//apt//
sucABCD	nfi//abgA//gldA//fkpB//
sufABCDSE	gadB//
surA_pdxA_rsmA_apaGH	metF//lysU//truB//mtlD//
tag_yiaC	yniC//
talA_tktB	oxc//rlmA//
tamAB_ytfP	
tar_tap_cheRBYZ	fadH//ldcA//
tatABC	cobC//
tatABCD	metF//lsrG//
tauABCD	cheR//kdsB//
tdcABCDEFG	rfaE//aes//rlmA//phr//galM//
tdcBCDEFG	gatZ//yeaE//glgA//hcp//tig//
tehAB	patD//sodB//
tesA_ybbO	glpA//sodA//
tff_rpsB_tsf	
tgt_yajC	phnP//
thiCEFSGH	ndh//ddlA//atoB//betA//ldtA//
thiMD	tdcG//pdxK//
thrLABC	glyQ//pncA//ttdB//
thrS_infC	codA//
thrS_infC_rpmI_rplT_pheMST_ihfA	rutD//recG//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	selA//yegS//
tolB_pal_cpoB	
tolC_ygiABC	fsaB//eutB//tag//otsA//ndh//prpC//paaJ//bglA//frlC//
tomB_hha	
topAI_yjhQ	
torCAD	rfbD//
torYZ	aldB//
treBC	rsmE//lipA//
trmI_yggL	clsA//
trpCBA	folX//leuC//astD//pyrC//
trpLEDCBA	waaA//fbaB//mrcA//recF//ppc//rsmD//
tsaB_yeaY	dxr//
tsaE_amiB_mutL_miaA_hfq_hflXKC	folP//hypB//thiG//narH//trpE//
ttdABT	trmD//bcsZ//
tyrS_pdxY	rlmA//ddlA//
tyrTV_tpr	
tyrV_tpr	
ubiCA	mrcA//gloA//
ubiEJB	ddlB//
udk_dcd	tadA//allA//
ugpBAECQ	lsrK//garK//
uhpABC	
uidABC	garD//ynjE//
ulaABCDEF	thiH//napA//frlD//add//
umpG_pcm	hycE//fucA//
umuDC	rdgB//
uof_fur	
upp_uraA	glnE//yagF//
usg_truA_dedA	fbp//
uvrYC	hcaF//
uxaCA	ndk//rutB//
uxuAB	gldA//yjcS//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	nudC//hycF//
waaQGPSBOJYZU	yhdJ//hcaE//prpB//tcdA//yjeF//rlmF//otsB//ybhA//puuB//rffH//
waaYZ	rfaD//paaJ//
waaZU	ssuE//fucA//
wbbIJK	idnK//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	pgi//alsE//hyaA//ilvH//eptA//clsC//
wcaKLM	
wrbA_yccJ	gntK//
wza_wzb_wzc	glpB//wcaJ//
wza_wzb_wzc_wcaAB	pgsA//malZ//
xanQ_guaD_ghxQ	caiD//ruvA//selA//
xapAB	hycG//tatD//
xdhABC	aceF//
xerD_dsbC_recJ	hyaB//gatY//
xseB_ispA_dxs_yajO	rlmL//coaA//rnb//relA//
xylAB	napH//yihX//
xylFGHR	tsaC//
yabPQ	
yacC_speED	ppc//nudB//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	panD//
yafDE	
yafNOP	lpxH//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	frlC//dapA//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	rpiA//
ybaB_recR	mtn//
ybaST	mhpE//
ybbAP	
ybbY_glxK	lpxM//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	lpxB//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	waaZ//
ybeZY	
ybeZYX_lnt	nrfC//
ybfHG	
ybfOC	
ybgA_phr	torY//
ybgC_tolQRA	
ybgIJKL_nei	mnaT//
ybgQPO	
ybhP_clsB_ybhN	ndh//
ybiYW	
ybjC_nfsA_rimK_ybjN	glf//gltX//
ybjJI	nrfA//
ybjO_rlmC	yohF//
ybjQ_amiD	ribC//
ycaI_msbA_lpxK_ycaQ	lpxD//purM//
ycaR_kdsB	queC//
ycbK_gloC	phnH//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	galU//
yciCB	
yciGFE	
yciK_btuR	nrfA//
yciVOQ	tktA//
yciZT	
ycjMNOPQRSTUV_ymjB	kbaY//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	caiC//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	pyrG//rluC//
ydcSTUV_patD	ung//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	ispF//
ydgK_rsxABCDGE_nth	prs//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	rnpB//entD//
ydiJ_menI_ydiH	hisG//
ydiNB_aroD	umpH//yjeF//
ydiQRST_fadK	waaC//
ydjA_selD_topB	yghA//garR//
ydjLKJIHG	purD//
ydjXYZ_ynjABCD	
yeaGH	pgaD//
yeaR_yoaG	
yeaVW	
yebC_ruvC	napB//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	yghA//ygjK//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	dapD//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	nagZ//galM//
yejABEF	yqjG//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	thrS//
yfaX_rhmD	
yfaX_rhmD_yfaVU	yieF//
yfbUT	napB//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	bacA//
