# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	yagE//
dhaKLM	ogt//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	yqjH//torZ//
dinJ_yafQ	cysC//
dksA_gluQ	ydiO//
dmsABC	mraY//
dnaAN_recF	glyS//
dnaK_tpke11_dnaJ	ugpQ//
dnaN_recF	bacA//
dnaTC	
dnaTC_yjjA	
dosCP	napB//ilvA//
dpiBA	
dppABCDF	rluB//
dsbC_recJ_prfB	lsrK//rlmJ//
dsbD_yjdC	
dsdXA	yfdR//proA//
dusB_fis	nfsA//
dut_slmA	galM//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	dadA//rfaE//
efeOB	prmC//
efeU_1U_2	
elbB_mtgA	fadB//
elfDCG_ycbUVF	
emrKY	codA//
entCEBAH	aphA//ubiC//speD//nirD//rfaD//birA//
envY_ompT	ruvA//
epd_pgk	mltF//glpC//
epd_pgk_fbaA	trxB//wzc//lpoA//
essD_rrrD_rzpD	ubiE//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	gcd//
eutHA	
eutNEJG	
eutSPQTDM	waaC//
evgAS	
exbBD	
fabDG_acpP	uvrB//metH//
fabG_acpP	cdh//
fabHDG	glpD//folM//nudB//
fabR_yijD	
fadBA	fruK//kbaZ//
fadD_sroD	ycjU//
fadIJ	psd//entD//
fdnGHI	
fdoGHI_fdhE	waaO//
fdrA_ylbEF_ybcF	gluQ//
fecABCDE	wbbI//hcaD//
fecIR	
feoABC	atoB//
fepA_entD	serA//nanE//waaQ//
fepDGC	cobT//
fes_ybdZ_entF_fepE	trmD//yihX//pgi//
fetAB	
fhuACDB	fruK//prpE//
ficA_fic_pabA	dkgA//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	paaG//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	malP//ilvI//
folC_dedD	opgE//
folD_ybcJ	waaC//
folE_yeiB	ssuE//
folP_glmM	menF//paaH//
folX_yfcH	pheA//
frdABCD	pfkB//
frlABCDR	xylA//yjeF//torA//mutL//
frmRAB	hcaE//gapA//
fruBKA	orn//cpsG//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	mhpB//fkpB//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	rluB//hisC//alaS//acnA//hemC//arnA//dgoA//lsrG//glpC//garR//
ftsQAZ	
ftsYEX	
fucAO	menF//galK//
fucPIKUR	phr//gss//glpK//araB//
fumAC	mltF//allB//
fusA_tufA	
gabDTP	waaC//curA//yahK//
gadAX	rpiA//
gadBC	ygeX//kdsC//
gadEF	
gadEF_mdtEF	rluA//
gadXW	
galET	rluE//murG//
galETK	nagZ//ileS//rsmE//
galETKM	iaaA//dsdA//metF//narV//
gapA_yeaD	ygaP//
gapC_1C_2	
garPLRK_rnpB	mobA//folA//yieF//yfiC//cpdA//purU//
gatYZABCD	nudE//wbbI//rfe//
gatZABCD	yiaK//rffM//abgA//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	hisS//adhE//kefF//pyrF//yeiR//
gcvTHP	lpxL//pgpA//rnb//
gfcBCD	
gfcE_etp_etk	trmA//cysE//
ghoST	leuD//
glcBA	metH//allE//
glcDEFGBA	purN//rnb//ndh//
glf_wbbH	ravA//
glgAP	proS//dxr//
glgBXCAP	nhoA//abgB//rlmH//opgB//yqjG//
glgCAP	thiL//mutM//guaA//
glmUS	polA//yfcF//
glnALG	gudD//
glnHPQ	ttdA//
glnK_amtB	speD//
glnLG	
glnW_metU_glnVX	
glpABC	tgt//
glpEGR	fabI//ispE//
glpFKX	hisG//lpxC//hcaF//
glpGR	fabG//
glpTQ	adk//rluB//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	psd//
glvCBG_ysdC	
glyQS	ldtE//
glyVXY	
glyW_cysT_leuZ	
gntKU	queF//narI//
gntRKU	wcaJ//relA//
gntX_nfuA	
gpmM_envC_yibQ	cobC//frmA//
groSL	
gspAB	
gspCDEFGHIJKLMO	argI//
guaBA	accD//frlD//
gudPXD	lhgO//nadD//
hcaEFCBD	ldtB//ycaO//
hcp_hcr	dapD//sodC//
hdeAB_yhiD	
hemA_prfA_prmC	fucO//lgoD//
hemCDXY	cadA//yibQ//
hflD_purB	hemE//
hfq_hflXKC	fabI//
hicAB	
higBA	pbpC//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	selA//puuA//gmhB//ydiF//
hipBA	nemA//
hisBHAFI	glpD//ansB//gltA//fadH//
hisJQMP	ldtC//paoA//
hisLGDCBHAFI	eptB//plsB//cyaA//mmuM//fabH//hcaE//metB//
hofMNOP	
holC_valS	gor//
holD_rimI_yjjG	avtA//slt//
hscBA_fdx_iscX	gsk//
hsdMS	nagK//
hsdRMS	pgsA//
hslRO	
hslVU	opgE//
hyaABCDEF	
hybOABCDEFG	paaH//
hycABCDEFGHI	pdeH//insI-3//
hydN_hypF	cueO//
hyfABCDEFGHIJR_focB	purD//
hypABCDE	sdhB//
hypABCDE_fhlA	ybbO//
hypBCDE	valS//
hypBCDE_fhlA	waaQ//
iaaA_gsiABCD	tag//ada//
ibaG_murA	dusB//
ibpAB	
idnDOTR	trmL//torA//iscS//
ileS_lspA_fkpB_ispH	arnC//xapA//menI//rlmG//
ilvEDA	glpX//pyrG//rnt//mqo//
ilvIH	galK//
ilvLXG_1G_2MEDA	nrfA//ghrA//purT//treA//maeB//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	hyuA//
insN_1I_1O_1	umpH//
insO_2_yjhWV	
iscRSUA	pfkB//eptA//
ispDF	napA//thiH//
ispG_sroE	nrfA//
isrC_flu	
ivbL_ilvBN	pgm//
ivbL_ilvBN_uhpABC	rutC//
kbaZ_agaVWA	yceF//
kbl_tdh	paaC//fbaA//
kdpDE	
kdpFABC	paaC//
kdsC_lptCAB	lpxA//moaA//
kefFC	trmA//pgsA//
kefGB_yheV	allD//
kilR_ydaE	
lacYA	preT//serC//
lacZYA	manA//ligB//epmB//
lapAB	
lapAB_pyrF_yciH	waaB//
lepAB	yfcF//
leuLABCD	tdh//folK//rutB//
leuQPV	
leuS_lptE_holA_nadD_cobC	rsmJ//aroD//pcm//
lexA_dinF	
lgt_thyA	yihS//treC//
ligA_ypeB	fucK//
livKHMGF	phr//ppk//
lldPRD	btuE//relA//
lolA_rarA	
lolB_ispE_prs	waaG//garD//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	asd//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	xylB//moeB//
lptFG	
lspA_fkpB_ispH	dcd//lhgO//birA//
lsrACDBFG_tam	rffC//hycG//carA//gltX//
lsrRK	epmA//
ltaE_ybjT	dapB//
lysT_valT_lysW	
macAB	rfbD//
malEFG	emtA//
malK_lamB_malM	lpoB//nadB//
malPQ	panD//gpmA//
malXY	phnM//tcdA//
manXYZ	speB//
map_glnD_dapD	hisI//thiD//azoR//
marRAB	
mazEFG	hisI//
mcrBC	bioH//
mdlAB	
mdtABCD_baeSR	entB//
mdtEF	tam//
mdtJI	menD//
mdtM_yjiN	mmuM//
mdtNOP	rutE//
melAB	metF//tam//
menA_rraA	malS//
menBCE	miaB//nrdB//alsE//
menDHBCE	ulaD//edd//thiE//nfsB//aceE//
menFDHBCE	yghA//yagE//fadD//yrfG//yliI//ybbO//
metBL	hycE//paaY//
metNIQ	allC//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	acnB//fumB//scpA//
metZWV	
mglAC	uxuB//
mglBAC	accC//
mgtLA	hisD//
mhpABCDFE	solA//glgP//paaZ//ligA//clsA//hisH//
mhpR_lacI	
miaA_hfq_hflXKC	ansB//glcB//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	sad//ogt//
mnaT_ydcZ	uxuA//
mngAB	yghU//gcvP//
mnmG_rsmG	dam//menF//
mntR_ybiR	
moaABCDE	aspC//rhaD//
moaBCDE	uxaB//
mobAB	paaE//
modABC	gsk//
modEF	
moeAB	waaA//gloB//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	rhaB//
mqsRA	lipA//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	glpE//hflX//lpxB//rhaM//speB//murB//idi//garK//thyA//lpd//murB//
mreBCD	
mreCD	
msrPQ	
mtlADR	fadE//mngB//ilvI//
mtn_btuF_yadS	feaB//cysH//
murB_birA	tesB//sucC//
murQP	dgcT//cysI//pgaC//
murQP_yfeW	trmO//umuC//hcaC//gabD//
mutL_miaA_hfq_hflXKC	panE//rpiB//lpoB//
mutY_yggX	btuR//
mutY_yggX_mltC	thiL//btuE//
mutY_yggX_mltC_nupG	def//dnaQ//ilvE//
nadA_pnuC	adhP//lyxK//
nagBAC_umpH	fadH//fklB//uxaA//
nagK_cobB	ahpC//sufS//
nanATEK_yhcH	ycaO//purK//wecC//lgoD//
nanCM	aroG//cyoE//
nanCMS	lpxM//malQ//
napFDAGHBC	yagE//
napFDAGHBC_ccmABCDEFGH	pnp//ynfE//
narGHJI	folX//
narWV	nanA//
narXL	
narZYWV	fklB//
nemRA	eptB//
nemRA_gloA	relA//aroG//
nfrBA	
nhaAR	cpdB//
nikABCDER	gabD//
nirBDC_cysG	patZ//yohF//truC//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	pheT//
nrdAB_yfaE	pdeF//
nrdDG	frlC//dadA//
nrdHIEF	fucK//
nrdR_ribDE_nusB_thiL_pgpA	kduD//hyi//trmH//lpoA//
nrfABCDEFG	gatD//
nsrR_rnr_rlmB_yjfI	phnP//tmk//
nudB_yebC_ruvC	ligA//pheA//
nudC_hemE_nfi	upp//gloB//
nudF_yqiB_cpdA_yqiA_parE	mpl//recO//
nuoABCEFGHIJKLMN	ydiB//
nuoMN	moaA//
ompR_envZ	
opgGH	
oppABCDF	mutS//rhaA//
osmF_yehYXW	bioA//
otsBA	citG//valS//
paaABCDEFGHIJK	hisS//rlmJ//recO//alaA//murA//napB//frdA//
paaXY	allC//
pabB_nudL	yibQ//trpB//
pabC_mltG_tmk_holB_ycfH	aes//yfdE//asnA//
panBC	pck//truB//
panE_yajL	ligA//
paoABCD	rnd//
pcnB_folK	adhP//kbaY//
pdeI_dgcI	
pdhR_aceEF_lpd	argG//napH//paaY//phnO//cysQ//proC//
pdxA_rsmA	aspA//dhaK//
pdxA_rsmA_apaGH	panC//hisH//pyrE//
pdxB_usg_truA_dedA	hycC//nudL//
pdxH_tyrS_pdxY	rluB//acpT//atoA//
pdxJ_acpS	mocA//bioA//
pepQ_yigZ_trkH_hemG	wecB//gstA//mltD//
pflDC	
pgaABCD	bioF//amyA//cynT//
pgk_fbaA	uxaB//trxB//
pgpC_tadA	folE//etp//
pheLA	pfkB//
pheMST_ihfA	umpH//
phnCDE_1E_2FGHIJKLMNOP	murA//dgoD//frmA//dosP//rluC//purU//eda//
phnLMNOP	hycB//rhaB//prpC//kbaY//hemD//
phoA_psiF	nfsB//
phoBR	
phoPQ	
pldB_yigL	tilS//menI//
plsX_fabHDG	ruvC//paaA//glgP//
pntAB	
potABCD	pgsA//
potFGHI	suhB//
poxB_ltaE_ybjT	fabD//kdsB//
ppdAB_ygdB_ppdC_recC	eptC//
ppdD_hofBC	
ppiB_lpxH	paoA//rutD//
ppk_ppx	asnB//paoA//
pqiAB	
preTA	gutQ//
prfB_lysS	yibQ//
priC_ybaM	
prlC_rsmJ	dfp//xylA//
prlF_yhaV	argI//
prmB_aroC_mepA_yfcA_epmC_yfcL	cysE//slt//astA//tatD//
proBA	leuS//sucB//
proQ_prc	purA//
proVWX	pgaD//
prpBCDE	yjiA//nrdB//pdxB//nrfC//
psd_mscM	
pspABCDE	pdxH//
pspBCDE	yqaB//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	dusA//hisB//
pth_ychF	nudF//
ptrA_recBD	nrdB//fabA//
ptsA_fsaB_gldA	ftnA//speA//
ptsHI_crr	hycF//pldB//nagK//
purEK	ybjG//murF//
purHD	rnpA//lpxM//
purMN	hemL//galE//
puuAP	nagA//dfp//
puuCBE	gltA//dld//tynA//
puuDRCBE	carB//fabB//rdgB//hemH//
pyrF_yciH	bioB//
pyrG_eno	pflB//dfp//
pyrLBI	hisG//
qmcA_ybbJ	
qseBC	
radA_nadR	sucB//
rapA_rluA	psuG//
ratAB	
ravA_viaA	
rbsDACBKR	argK//ispG//hycD//
rclABC	
rclBC	
rcnAB	umuD//
rcsDB	
rcsF_trmO	thiG//
rdgB_yggW	narH//
rdoA_dsbA	rlmD//relA//
recAX	
recET_ralR_ydaC_xisR_intR	selB//trmH//
relA_mazEF	csdA//
relBE	nudC//
relBE_hokD	ynfE//
renD_emrE	folD//
rfaD_waaFCL	aroA//lacZ//eutD//speE//
rfbACX	acpH//prpC//acpS//otsA//
rfbBDACX	rnpA//proA//trpE//puuB//ligA//ldhA//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	rlmG//citE//ulaG//mmuM//yrfG//waaG//murQ//rffC//abgB//
rhaBAD	pgpA//rnt//thiH//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	ddlB//serB//hemB//
ribF_ileS_lspA_fkpB_ispH	nanE//rsmI//rffM//hyaA//trmA//
rimK_ybjN	ribE//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	glpD//ackA//ydiB//nanE//mug//ligB//ygjK//yqaB//yajO//phoA//
rlmE_ftsH	hyaB//aroH//
rlmL_uup	thiF//
rluD_yfiH	folK//ilvD//
rluE_nudJ	glpQ//uvrB//
rnc_era	citG//
rnc_era_recO_pdxJ_acpS	ispG//thiF//yjhG//treF//
rnlAB	thrC//
rnt_lhr	cysI//
rpe_gph_trpS	nrdB//appA//glpK//
rph_pyrE	guaA//menI//
rpiR_alsBACE	ispH//insI-2//
rplJL_rpoBC	citE//
rplKAJL_rpoBC	ruvB//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	mpl//
rpmF_plsX_fabHDG	fumA//prpD//cysS//
rpmH_rnpA	aroB//dmlA//
rpmI_rplT	
rpoBC	dld//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	selD//miaA//fadI//
rppH_ptsP	phr//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	atoA//
rpsO_pnp	mcrC//nudL//
rpsP_rimM_trmD_rplS	menA//
rpsU_dnaG_rpoD	caiC//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	sodC//ygiF//
rsmA_apaGH	pyrB//truD//
rsmD_yhhL	aceF//
rsmE_gshB	paaB//luxS//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	fklB//hemN//pabC//hemC//mltB//ilvD//ldhA//rutD//tsaB//epd//dcm//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	phnH//
rtcBA	nadK//sucD//
rutABCDEFG	gdhA//folA//gstA//entH//nudC//phnO//
ruvAB	rnt//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	rffG//
scpA_argK_scpBC	rluF//pncB//puuD//etk//
sdaCB	hyaA//dinB//
sdhCDAB_sucABCD	yfcG//mutY//rsgA//patZ//
sdhDAB	
sdhE_cptA	
secB_gpsA	glpC//
secE_nusG	
secG_leuU	
secMA_mutT	bfr//
selAB	pheT//uidA//
selD_topB	rlmF//ybaS//
seqA_pgm	carA//
serB_radA	bglX//
serC_aroA	apt//pdeL//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	bioF//
sgrST_setA	citE//
skp_lpxD_fabZ_lpxA	ispG//yieH//argS//
slp_dctR	
solA_yceO	queF//
speAB	nudE//mtlD//
speF_potE	ampC//metK//
srlAEBD_gutM_srlR_gutQ	lpxM//glyA//mdh//
sroG_ribB	fucO//
sspAB	
ssrS_fau	polA//
ssuEADCB	truD//argA//cobB//
stfE_tfaE	
sucAB	cdh//pncB//bioB//
sucABCD	phnM//ahpF//hemE//ilvN//
sufABCDSE	fbp//
surA_pdxA_rsmA_apaGH	frmB//tktB//phnP//katG//
tag_yiaC	lpcA//
talA_tktB	sthA//adhE//
tamAB_ytfP	
tar_tap_cheRBYZ	rsmH//thyA//
tatABC	thiI//
tatABCD	aroF//tsaC//
tauABCD	prs//aroB//
tdcABCDEFG	bioB//metF//rph//paoC//paaC//
tdcBCDEFG	lpxD//murA//tdcD//murB//folD//
tehAB	aldA//sgbE//
tesA_ybbO	allB//eptB//
tff_rpsB_tsf	
tgt_yajC	hisS//
thiCEFSGH	ubiF//proA//aspC//otsB//citE//
thiMD	ispH//eptB//
thrLABC	rimK//lgoD//pgaB//
thrS_infC	rpiB//
thrS_infC_rpmI_rplT_pheMST_ihfA	waaJ//ispH//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	fadB//cysD//
tolB_pal_cpoB	
tolC_ygiABC	sgbE//lpxB//mog//gabD//pphA//lysU//ybaS//lplA//dxs//
tomB_hha	
topAI_yjhQ	
torCAD	tesB//
torYZ	rne//
treBC	leuC//lpxM//
trmI_yggL	bglA//
trpCBA	rpiA//wecB//tsaE//dhaL//
trpLEDCBA	panC//ydiF//luxS//queC//bcsZ//sgbE//
tsaB_yeaY	fadJ//
tsaE_amiB_mutL_miaA_hfq_hflXKC	pdxJ//abgB//murA//panD//glpK//
ttdABT	ldtD//panB//
tyrS_pdxY	citG//metF//
tyrTV_tpr	
tyrV_tpr	
ubiCA	mepS//nadE//
ubiEJB	panD//
udk_dcd	gltA//ogt//
ugpBAECQ	guaB//ynjE//
uhpABC	
uidABC	dapB//fadA//
ulaABCDEF	ribD//fumB//hisA//waaZ//
umpG_pcm	fabA//sdaA//
umuDC	nanE//
uof_fur	
upp_uraA	ulaE//purH//
usg_truA_dedA	moaD//
uvrYC	panD//
uxaCA	gnd//bcsA//
uxuAB	entE//slyD//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	chbF//hycF//
waaQGPSBOJYZU	rpe//fadI//tdk//tnaA//fcl//rlmM//pyrB//hisH//kefF//cobT//
waaYZ	ada//mpaA//
waaZU	proS//guaB//
wbbIJK	waaZ//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	epmB//gpsA//cmoB//iaaA//leuB//glxK//
wcaKLM	
wrbA_yccJ	ulaE//
wza_wzb_wzc	thyA//alsE//
wza_wzb_wzc_wcaAB	lpxB//dgoK//
xanQ_guaD_ghxQ	pfkA//yhhW//ldtA//
xapAB	gabT//thrA//
xdhABC	rhaD//
xerD_dsbC_recJ	lysA//napC//
xseB_ispA_dxs_yajO	galM//preA//phnP//frmB//
xylAB	pheT//pabC//
xylFGHR	aroA//
yabPQ	
yacC_speED	proC//kdgK//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	menH//
yafDE	
yafNOP	mtgA//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	pgpA//phnM//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	hemF//
ybaB_recR	glpD//
ybaST	aroF//
ybbAP	
ybbY_glxK	yieH//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	frdD//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	frc//
ybeZY	
ybeZYX_lnt	fruK//
ybfHG	
ybfOC	
ybgA_phr	queC//
ybgC_tolQRA	
ybgIJKL_nei	nrfC//
ybgQPO	
ybhP_clsB_ybhN	bioB//
ybiYW	
ybjC_nfsA_rimK_ybjN	proS//waaS//
ybjJI	leuA//
ybjO_rlmC	ribE//
ybjQ_amiD	ilvG_2//
ycaI_msbA_lpxK_ycaQ	paaE//fadI//
ycaR_kdsB	thiH//
ycbK_gloC	cdsA//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	rlmJ//
yciCB	
yciGFE	
yciK_btuR	ilvN//
yciVOQ	luxS//
yciZT	
ycjMNOPQRSTUV_ymjB	cobU//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	phnM//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	sdaB//prpC//
ydcSTUV_patD	epmB//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	pheA//
ydgK_rsxABCDGE_nth	folM//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	rlmI//asnB//
ydiJ_menI_ydiH	melA//
ydiNB_aroD	bacA//paaE//
ydiQRST_fadK	aceF//
ydjA_selD_topB	polB//dgoD//
ydjLKJIHG	dgoA//
ydjXYZ_ynjABCD	
yeaGH	apt//
yeaR_yoaG	
yeaVW	
yebC_ruvC	pyrF//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	hisD//ycjU//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	codA//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	folA//opgB//
yejABEF	dcyD//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	phnP//
yfaX_rhmD	
yfaX_rhmD_yfaVU	pabC//
yfbUT	yfeW//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	waaA//
yfdX_frc_oxc_yfdVE	tyrA//hcaD//pdxB//
