# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	gadB//
csdAE	deoB//
csgBAC	
csgDEFG	yhdJ//
csiD_lhgO_gabDTP	garR//galT//gcd//eno//
cusCFBA	waaJ//
cusRS	
cvpA_purF_ubiX	thyA//gloC//
cydAB	speC//
cydDC	glcB//
cydX_ybgE	metH//
cynTS	pyrG//dusA//
cynTSX	rluC//gltX//pheS//
cyoABCDE	menH//ldtB//
cysDNC	argH//gmd//
cysJIH	maeB//ldhA//purD//
cysPUWAM	dgkA//pldA//rph//
dadAX	fbp//yggF//
damX_dam_rpe_gph_trpS	citG//serC//leuB//plsC//
dam_rpe_gph_trpS	lacZ//ilvC//tnaA//udp//
dapA_bamC	accD//
dapE_ypfN	frmB//
dcm_vsr	fabF//
dcuB_fumB	ugd//rbsD//
dcuSR	
dcyD_tcyLN	birA//nagA//
ddpXABCDF	uvrB//
def_fmt	otsA//glcF//
degQS	sucB//araA//
deoABD	rlmL//gutQ//nudE//
deoBD	malQ//glpC//
deoCABD	tehB//hyi//glpD//cdsA//
dgoRKADT	hyaC//dacC//prmB//kduI//
dhaKLM	dapD//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	araB//xylB//
dinJ_yafQ	anmK//
dksA_gluQ	sdhD//
dmsABC	oxc//
dnaAN_recF	miaB//
dnaK_tpke11_dnaJ	lysC//
dnaN_recF	ushA//
dnaTC	
dnaTC_yjjA	
dosCP	purL//alsE//
dpiBA	
dppABCDF	rlmC//
dsbC_recJ_prfB	thrB//argA//
dsbD_yjdC	
dsdXA	mnaT//yfdE//
dusB_fis	emtA//
dut_slmA	rrrD//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	nadK//caiD//
efeOB	bioH//
efeU_1U_2	
elbB_mtgA	cmk//
elfDCG_ycbUVF	
emrKY	apt//
entCEBAH	prpC//trpC//glmS//napC//dcd//argF//
envY_ompT	prpC//
epd_pgk	rutA//mnmG//
epd_pgk_fbaA	recJ//alr//ftnA//
essD_rrrD_rzpD	sdhD//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	alsE//
eutHA	
eutNEJG	
eutSPQTDM	recJ//
evgAS	
exbBD	
fabDG_acpP	ispG//cysE//
fabG_acpP	fadD//
fabHDG	insI-2//panB//rsmD//
fabR_yijD	
fadBA	aroB//bioH//
fadD_sroD	ydiF//
fadIJ	ybjI//phnO//
fdnGHI	
fdoGHI_fdhE	cpsG//
fdrA_ylbEF_ybcF	dut//
fecABCDE	yjcS//sad//
fecIR	
feoABC	argH//
fepA_entD	hmp//yiaK//dgt//
fepDGC	otsB//
fes_ybdZ_entF_fepE	ruvA//pgm//mog//
fetAB	
fhuACDB	aroG//hisF//
ficA_fic_pabA	preT//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	tyrS//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	yceF//eutC//
folC_dedD	narI//
folD_ybcJ	glyQ//
folE_yeiB	dadA//
folP_glmM	carA//hcaC//
folX_yfcH	yohF//
frdABCD	yohF//
frlABCDR	chbF//purF//nadC//selB//
frmRAB	sgbE//mocA//
fruBKA	purE//cpdA//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	xthA//allB//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	purL//gstB//gpp//kbaZ//pdeH//nadB//argS//menA//mcrC//acs//
ftsQAZ	
ftsYEX	
fucAO	fkpB//fadE//
fucPIKUR	rsmJ//ubiA//fcl//glpD//
fumAC	gcl//pbpC//
fusA_tufA	
gabDTP	mqo//ybcF//murG//
gadAX	cof//
gadBC	narG//gltA//
gadEF	
gadEF_mdtEF	thiL//
gadXW	
galET	mnmC//rpiB//
galETK	mhpC//sgbU//gmd//
galETKM	mhpC//nrfA//citE//dacD//
gapA_yeaD	caiC//
gapC_1C_2	
garPLRK_rnpB	pssA//ppa//glpQ//tdh//fadI//argE//
gatYZABCD	sthA//cueO//spoT//
gatZABCD	araD//gutQ//alaS//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	ynfG//sgbH//frdB//fre//dmsC//
gcvTHP	cynS//guaA//aroG//
gfcBCD	
gfcE_etp_etk	clsA//hisS//
ghoST	mhpD//
glcBA	purT//queF//
glcDEFGBA	aldB//yghU//miaA//
glf_wbbH	serB//
glgAP	glk//metG//
glgBXCAP	gnd//adk//fabG//bioB//nagB//
glgCAP	recJ//yciA//guaA//
glmUS	mnmG//tesA//
glnALG	fumA//
glnHPQ	waaO//
glnK_amtB	glpD//
glnLG	
glnW_metU_glnVX	
glpABC	moaD//
glpEGR	ppk//lsrG//
glpFKX	yqjG//entF//acpT//
glpGR	gss//
glpTQ	ilvB//ydiF//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	ulaG//
glvCBG_ysdC	
glyQS	ynfG//
glyVXY	
glyW_cysT_leuZ	
gntKU	cueO//trmJ//
gntRKU	tesB//trmD//
gntX_nfuA	
gpmM_envC_yibQ	agp//fkpB//
groSL	
gspAB	
gspCDEFGHIJKLMO	epmC//
guaBA	ravA//mpl//
gudPXD	speF//ubiX//
hcaEFCBD	purL//rlmH//
hcp_hcr	katG//asnA//
hdeAB_yhiD	
hemA_prfA_prmC	ybcF//yjjX//
hemCDXY	hcaE//fumC//
hflD_purB	idnO//
hfq_hflXKC	tilS//
hicAB	
higBA	fdhF//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	alsK//yfaU//yceF//hisA//
hipBA	hcaB//
hisBHAFI	dusB//rsmF//psd//rfaE//
hisJQMP	csdA//cysS//
hisLGDCBHAFI	tilS//guaC//napC//waaP//entE//alsK//ppc//
hofMNOP	
holC_valS	gabD//
holD_rimI_yjjG	aroE//gloB//
hscBA_fdx_iscX	rhaD//
hsdMS	waaP//
hsdRMS	glnE//
hslRO	
hslVU	murE//
hyaABCDEF	
hybOABCDEFG	pbpC//
hycABCDEFGHI	rlmI//glmM//
hydN_hypF	yidA//
hyfABCDEFGHIJR_focB	ybjG//
hypABCDE	thrC//
hypABCDE_fhlA	hyi//
hypBCDE	hisF//
hypBCDE_fhlA	sgbE//
iaaA_gsiABCD	thiF//pncC//
ibaG_murA	ulaD//
ibpAB	
idnDOTR	guaD//kbaZ//sgbH//
ileS_lspA_fkpB_ispH	phnH//hypF//cyaA//gapA//
ilvEDA	cheR//mhpA//citG//katE//
ilvIH	fabG//
ilvLXG_1G_2MEDA	purU//sdhA//pncB//ispG//rfbA//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	pdeR//
insN_1I_1O_1	recR//
insO_2_yjhWV	
iscRSUA	rlmJ//proC//
ispDF	ychF//pncA//
ispG_sroE	glcB//
isrC_flu	
ivbL_ilvBN	surA//
ivbL_ilvBN_uhpABC	der//
kbaZ_agaVWA	araD//
kbl_tdh	tktA//trmH//
kdpDE	
kdpFABC	fabA//
kdsC_lptCAB	pdxJ//abgA//
kefFC	rluF//efeB//
kefGB_yheV	guaC//
kilR_ydaE	
lacYA	gapA//insI-3//
lacZYA	pspE//mtlD//citD//
lapAB	
lapAB_pyrF_yciH	yihU//
lepAB	rrrD//
leuLABCD	ldcA//tyrS//waaZ//
leuQPV	
leuS_lptE_holA_nadD_cobC	nanE//melA//ndk//
lexA_dinF	
lgt_thyA	hisC//trmI//
ligA_ypeB	lpxA//
livKHMGF	mltF//glgX//
lldPRD	bglX//metH//
lolA_rarA	
lolB_ispE_prs	iscS//ilvD//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	mutY//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	dusC//ansA//
lptFG	
lspA_fkpB_ispH	pdeL//iscS//ndh//
lsrACDBFG_tam	mak//ybjG//rnd//mcrA//
lsrRK	narZ//
ltaE_ybjT	dgcM//
lysT_valT_lysW	
macAB	hycG//
malEFG	frdA//
malK_lamB_malM	queD//lysS//
malPQ	phnM//ubiF//
malXY	nrfA//rhaD//
manXYZ	fkpB//
map_glnD_dapD	aroG//tcdA//rph//
marRAB	
mazEFG	psuK//
mcrBC	selA//
mdlAB	
mdtABCD_baeSR	dapB//
mdtEF	hisA//
mdtJI	mutY//
mdtM_yjiN	bcsZ//
mdtNOP	yajO//
melAB	aroB//metA//
menA_rraA	prpC//
menBCE	dmsB//trpB//mhpB//
menDHBCE	trmA//panB//scpB//waaS//moaA//
menFDHBCE	fes//fucO//adk//acpH//phnJ//pdxB//
metBL	cysE//rnb//
metNIQ	dacA//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	hdhA//rffT//ssuE//
metZWV	
mglAC	dkgA//
mglBAC	ubiF//
mgtLA	waaL//
mhpABCDFE	yeaE//rsuA//coaD//hisS//nagB//aroH//
mhpR_lacI	
miaA_hfq_hflXKC	rffT//gabD//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	yhdJ//dacA//
mnaT_ydcZ	rnpB//
mngAB	lpxT//argC//
mnmG_rsmG	glpX//fcl//
mntR_ybiR	
moaABCDE	nanK//patD//
moaBCDE	aceE//
mobAB	argC//
modABC	gdhA//
modEF	
moeAB	gmk//ydiF//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	mhpC//
mqsRA	ulaE//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	carA//aspS//fabG//fkpA//menB//idnK//carB//fdhF//glmU//ychF//rph//
mreBCD	
mreCD	
msrPQ	
mtlADR	apt//ygjK//ppiA//
mtn_btuF_yadS	gadA//sdaA//
murB_birA	tynA//glpA//
murQP	agp//oxc//zwf//
murQP_yfeW	torZ//hycF//glpD//cysD//
mutL_miaA_hfq_hflXKC	yhdJ//tpiA//prpD//
mutY_yggX	fsaB//
mutY_yggX_mltC	rfaE//paoA//
mutY_yggX_mltC_nupG	yciA//aroD//gudD//
nadA_pnuC	rlmM//rlmJ//
nagBAC_umpH	rfe//trpD//hisI//
nagK_cobB	aroK//glpD//
nanATEK_yhcH	murQ//plsB//rhaB//waaJ//
nanCM	glk//yihX//
nanCMS	alr//purE//
napFDAGHBC	nrfB//
napFDAGHBC_ccmABCDEFGH	nrfC//valS//
narGHJI	hisG//
narWV	ycaO//
narXL	
narZYWV	ybiV//
nemRA	glcF//
nemRA_gloA	gatY//aroA//
nfrBA	
nhaAR	ulaG//
nikABCDER	thiD//
nirBDC_cysG	yiaK//trmO//prmC//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	fadH//
nrdAB_yfaE	nemA//
nrdDG	nrdA//purH//
nrdHIEF	sodA//
nrdR_ribDE_nusB_thiL_pgpA	lpxM//glcF//folK//trpC//
nrfABCDEFG	fumC//
nsrR_rnr_rlmB_yjfI	pnp//ldcA//
nudB_yebC_ruvC	coaD//tesB//
nudC_hemE_nfi	accA//caiA//
nudF_yqiB_cpdA_yqiA_parE	yqaB//glxR//
nuoABCEFGHIJKLMN	ahpC//
nuoMN	maa//
ompR_envZ	
opgGH	
oppABCDF	garR//fabF//
osmF_yehYXW	tgt//
otsBA	gluQ//talA//
paaABCDEFGHIJK	mutH//frlD//arnT//argS//pyrG//gutQ//recR//
paaXY	gshB//
pabB_nudL	rlmG//curA//
pabC_mltG_tmk_holB_ycfH	eno//rsmC//rluC//
panBC	gpmA//dgoK//
panE_yajL	dacD//
paoABCD	nrfB//
pcnB_folK	tnaA//prs//
pdeI_dgcI	
pdhR_aceEF_lpd	gcvH//pphB//glpA//pbpC//mpl//paaZ//
pdxA_rsmA	paoC//nudG//
pdxA_rsmA_apaGH	alkA//pyrH//dgoK//
pdxB_usg_truA_dedA	fkpA//rpiA//
pdxH_tyrS_pdxY	umuC//uxaA//phnI//
pdxJ_acpS	paaB//rluA//
pepQ_yigZ_trkH_hemG	yieF//gmd//panB//
pflDC	
pgaABCD	ppsA//ampH//yfcF//
pgk_fbaA	fruK//yhhW//
pgpC_tadA	phnG//sodB//
pheLA	tktB//
pheMST_ihfA	yjeF//
phnCDE_1E_2FGHIJKLMNOP	cpdB//glpX//yniC//idi//mak//lpxM//ispF//
phnLMNOP	uxaB//ddlB//ydiF//folK//cfa//
phoA_psiF	lpxM//
phoBR	
phoPQ	
pldB_yigL	ddlB//citX//
plsX_fabHDG	nrdB//frc//rlmA//
pntAB	
potABCD	lsrF//
potFGHI	luxS//
poxB_ltaE_ybjT	yjjX//fklB//
ppdAB_ygdB_ppdC_recC	ispU//
ppdD_hofBC	
ppiB_lpxH	rlmM//paaZ//
ppk_ppx	panD//waaB//
pqiAB	
preTA	dadA//
prfB_lysS	bacA//
priC_ybaM	
prlC_rsmJ	guaC//aceB//
prlF_yhaV	fsaB//
prmB_aroC_mepA_yfcA_epmC_yfcL	purN//opgB//astB//ilvG_2//
proBA	rlmE//mltB//
proQ_prc	fadH//
proVWX	cpdB//
prpBCDE	lipB//fau//tilS//queD//
psd_mscM	
pspABCDE	phnG//
pspBCDE	gloC//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	glmU//phnI//
pth_ychF	gluQ//
ptrA_recBD	mcrC//paaG//
ptsA_fsaB_gldA	glgB//ddlB//
ptsHI_crr	cysM//putA//hycC//
purEK	waaH//murF//
purHD	hycC//cdd//
purMN	eptC//mnmA//
puuAP	phnG//proC//
puuCBE	leuD//gmm//waaJ//
puuDRCBE	guaD//rutA//folB//uxuB//
pyrF_yciH	xapA//
pyrG_eno	ghrB//argI//
pyrLBI	allE//
qmcA_ybbJ	
qseBC	
radA_nadR	tcdA//
rapA_rluA	ubiG//
ratAB	
ravA_viaA	
rbsDACBKR	aroH//rffC//rluB//
rclABC	
rclBC	
rcnAB	betB//
rcsDB	
rcsF_trmO	pgk//
rdgB_yggW	yihX//
rdoA_dsbA	sdaB//purN//
recAX	
recET_ralR_ydaC_xisR_intR	otsA//frlD//
relA_mazEF	agp//
relBE	deoC//
relBE_hokD	bglX//
renD_emrE	moeB//
rfaD_waaFCL	moaE//astE//alr//folB//
rfbACX	argF//dgoK//waaA//phnH//
rfbBDACX	arsC//fre//katE//dapB//gluQ//mhpE//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	dhaM//rph//ribF//lsrG//nemA//yniC//hcaF//sufS//mhpA//
rhaBAD	ybjG//allA//nanK//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	mrcB//cof//ispU//
ribF_ileS_lspA_fkpB_ispH	folE//srlD//ung//cynS//murB//
rimK_ybjN	hpt//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	clsC//nrdA//gpsA//yqhD//wzc//yghA//waaC//pheS//prpD//tpiA//
rlmE_ftsH	dkgA//acs//
rlmL_uup	rluA//
rluD_yfiH	leuA//mcrA//
rluE_nudJ	fadB//abgB//
rnc_era	mhpD//
rnc_era_recO_pdxJ_acpS	treC//uxuB//menB//fsaA//
rnlAB	rhaA//
rnt_lhr	hcaD//
rpe_gph_trpS	yggF//cpdB//truC//
rph_pyrE	paaC//ydjG//
rpiR_alsBACE	bglA//gpmA//
rplJL_rpoBC	trpB//
rplKAJL_rpoBC	pyrD//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	can//
rpmF_plsX_fabHDG	fau//mltB//hchA//
rpmH_rnpA	gcvH//tktA//
rpmI_rplT	
rpoBC	yihS//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	dmsC//yciV//trpB//
rppH_ptsP	phnH//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	frlB//
rpsO_pnp	polA//hycD//
rpsP_rimM_trmD_rplS	panB//
rpsU_dnaG_rpoD	rlmI//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	uvrA//serS//
rsmA_apaGH	dgoK//ltaE//
rsmD_yhhL	pspE//
rsmE_gshB	dcd//yahK//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	tsaE//nudI//dxs//efeB//gcvP//rnb//leuA//ogt//acnB//ddlA//lipA//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	ubiH//
rtcBA	ilvE//coaA//
rutABCDEFG	hyaA//dhaM//dut//nfsB//ppiB//bioD//
ruvAB	ldcA//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	mutS//
scpA_argK_scpBC	mltC//yqaB//ruvC//fadM//
sdaCB	rnpB//phnN//
sdhCDAB_sucABCD	paoB//lpoA//def//yqaB//
sdhDAB	
sdhE_cptA	
secB_gpsA	clsA//
secE_nusG	
secG_leuU	
secMA_mutT	kefF//
selAB	arnT//ribE//
selD_topB	glk//frmA//
seqA_pgm	glgA//
serB_radA	rbsD//
serC_aroA	rlmF//tktB//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	clsA//
sgrST_setA	glgB//
skp_lpxD_fabZ_lpxA	acnA//ygjK//citG//
slp_dctR	
solA_yceO	rsmI//
speAB	acpT//mak//
speF_potE	glpC//mpaA//
srlAEBD_gutM_srlR_gutQ	ada//idnD//tehB//
sroG_ribB	cysQ//
sspAB	
ssrS_fau	napB//
ssuEADCB	aroA//cfa//avtA//
stfE_tfaE	
sucAB	ndk//cobB//allD//
sucABCD	spoT//pdxH//panD//bglX//
sufABCDSE	bacA//
surA_pdxA_rsmA_apaGH	ulaG//poxB//ansB//nanE//
tag_yiaC	pgaD//
talA_tktB	polB//fucA//
tamAB_ytfP	
tar_tap_cheRBYZ	fucO//murG//
tatABC	yjeF//
tatABCD	hcaF//lplA//
tauABCD	tehB//trmH//
tdcABCDEFG	frlC//pdxK//yfaU//ubiD//ugd//
tdcBCDEFG	rsmE//nanM//sucA//aroK//glgX//
tehAB	mutL//putA//
tesA_ybbO	trxB//waaA//
tff_rpsB_tsf	
tgt_yajC	coaD//
thiCEFSGH	cynT//nudK//gss//mraY//bioH//
thiMD	yjeF//queC//
thrLABC	trmI//yfiH//pyrG//
thrS_infC	efeB//
thrS_infC_rpmI_rplT_pheMST_ihfA	icd//rph//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	lpxL//glnE//
tolB_pal_cpoB	
tolC_ygiABC	yihV//pphA//orn//citX//cysE//pdeL//yfeW//rlmM//aldA//
tomB_hha	
topAI_yjhQ	
torCAD	frlC//
torYZ	narY//
treBC	nemA//yqjG//
trmI_yggL	fdhF//
trpCBA	ilvE//insI-3//dkgA//dgt//
trpLEDCBA	treC//cysD//narI//glyQ//rsgA//metF//
tsaB_yeaY	fbaA//
tsaE_amiB_mutL_miaA_hfq_hflXKC	lldD//rbsD//ilvE//pfkA//glpC//
ttdABT	metB//rne//
tyrS_pdxY	pgaC//rsmA//
tyrTV_tpr	
tyrV_tpr	
ubiCA	mog//pta//
ubiEJB	thrS//
udk_dcd	narI//yghU//
ugpBAECQ	gadA//purN//
uhpABC	
uidABC	gcvP//yfiC//
ulaABCDEF	dhaK//metA//waaC//mnmC//
umpG_pcm	eutB//hcaC//
umuDC	ulaE//
uof_fur	
upp_uraA	ubiE//glf//
usg_truA_dedA	pphA//
uvrYC	citE//
uxaCA	napC//menC//
uxuAB	mtgA//thiM//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	slt//accA//
waaQGPSBOJYZU	nfi//fabZ//pykF//lpoA//folB//ilvB//psd//betA//pgsA//etp//
waaYZ	tyrS//waaB//
waaZU	prpC//mhpE//
wbbIJK	gltB//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	cdd//truA//ilvG_2//birA//fsaB//rsgA//
wcaKLM	
wrbA_yccJ	hemF//
wza_wzb_wzc	umuD//ddlA//
wza_wzb_wzc_wcaAB	yhdH//fucO//
xanQ_guaD_ghxQ	ssuE//purL//nadC//
xapAB	pdxK//nadE//
xdhABC	lysA//
xerD_dsbC_recJ	rluA//maeA//
xseB_ispA_dxs_yajO	psuK//dsdA//amn//purT//
xylAB	ldtC//hyaC//
xylFGHR	pncB//
yabPQ	
yacC_speED	yciA//mqo//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	yliI//
yafDE	
yafNOP	mnaT//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	yqaB//cpdB//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	rsmE//
ybaB_recR	glgB//
ybaST	dcm//
ybbAP	
ybbY_glxK	pyrE//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	tdk//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	fruK//
ybeZY	
ybeZYX_lnt	bioA//
ybfHG	
ybfOC	
ybgA_phr	napC//
ybgC_tolQRA	
ybgIJKL_nei	ilvA//
ybgQPO	
ybhP_clsB_ybhN	dusC//
ybiYW	
ybjC_nfsA_rimK_ybjN	speB//yibQ//
ybjJI	yihS//
ybjO_rlmC	yfcF//
ybjQ_amiD	rnt//
ycaI_msbA_lpxK_ycaQ	rfaD//aroC//
ycaR_kdsB	yahK//
ycbK_gloC	xdhA//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	entC//
yciCB	
yciGFE	
yciK_btuR	dosC//
yciVOQ	dapF//
yciZT	
ycjMNOPQRSTUV_ymjB	hdhA//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	hemB//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	yjcS//rbn//
ydcSTUV_patD	menF//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	prmC//
ydgK_rsxABCDGE_nth	tag//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	purF//patA//
ydiJ_menI_ydiH	truB//
ydiNB_aroD	citD//gpp//
ydiQRST_fadK	nagZ//
ydjA_selD_topB	atoA//rlmE//
ydjLKJIHG	ileS//
ydjXYZ_ynjABCD	
yeaGH	gpp//
yeaR_yoaG	
yeaVW	
yebC_ruvC	arnA//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	aroL//cysQ//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	ydfG//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	pnp//cysS//
yejABEF	ravA//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	ribB//
yfaX_rhmD	
yfaX_rhmD_yfaVU	rsmB//
yfbUT	folK//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	cysD//
