#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:16:17 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/all_tus_bnum_uniq.txt
C0067	cpxQ//
asnV	b0099//
asnW	insCD-5//
aspA	b4321//
aspA-dcuA	b3037//b0221//
aspC	b0083//
aspS	b3614//
aspT	b0387//
aspU	b1925//
aspV	b4088//
asr	b1102//
astCADBE	b3331//b1676//b1924//b4130//yjhE//
atl	b0986//
atoDAEB	b0800//b1602//b1935//b2268//
atoSC	b0125//b1012//
atpBEFHAGDC	b1372//b1110//b2955//b4416//b3025//b1095//b1414//b2738//
atpIBEFHAGDC	b1533//b3017//b4441//b3655//b1362//b0942//b3790//b0153//b1138//
avtA	b1590//
azoR	b1014//
azuC	b3253//
bacA	b3672//
baeSR	b1724//b2883//
bamA	b3205//
bamA-skp-lpxD-fabZ-lpxAB-rnhB-dnaE	b2180//b2575//b3597//b2135//b0794//b3063//b0670//b1374//
bamB-der	b1110//b1427//
bamC	b2200//
bamD	b0628//
bamE	b2339//
barA	b1670//
basRS	b3037//b3432//
bax	b0148//
bcp	b4238//
bcr	b1828//
bcsABZC	b2005//ilvG_2//b2424//b4258//
bcsBZ	b3865//b0911//
bcsEFG	b0413//b1485//b1653//
bcsQ	b3052//
bdcA	b3517//
bdcR	b2476//
bdm-sra	b3623//b1074//
bepA-yfgD	b2171//b0738//
betIBA	b1384//b1389//b0812//
betT	b3411//
bfd-bfr	b1590//b3605//
bglA	b2006//
bglG	b0460//
bglGFB	b2779//b1251//b3031//
bglH-yieLK	b2178//b4465//b3322//
bglX	b0075//
bhsA	b0589//
bioA	b3203//
bioBFCD	b2364//b0344//b1210//b3371//
bioH	b1153//
bipA	b3450//
bisC	b2113//
blc	b0987//
blr	b1992//
bluF	b4470//
bluR	b0485//
bolA	ftp//
borD	b3871//
brnQ-proY	b2822//b3997//
bsmA	b1632//
bssR	b4459//
bssS	b3613//
btuB-murI	b2565//b1751//
btuCED	b2599//b1136//b3403//
cadA	b3434//
cadBA	b3081//b2235//
cadC	b1578//
caiCDE	b2540//b4221//b1996//
caiF	b2259//
caiTABCDE	b2211//b1379//b0746//b3387//b1142//b1911//
can	b1761//
carAB	b1921//b0372//
carB	b2210//
cas2	b3123//
cas3	b1482//
casABCDE12	b3488//b2904//b3758//b2527//b2727//b3070//b1943//
casDE12	b1822//b1931//b1045//b0019//
cbl	b2239//
cbpAM	b3997//b0913//
cbrA	b1059//
cbrB	b0693//
cbrBC	b1115//b4506//
cbrC	b3862//
ccmABCDEFGH	b2187//b3813//b1579//b3578//b3756//b4704//b3876//b0038//
cdaR	b2924//
cdd	b1835//
cdgI	b0365//
cdh	b1026//
cdsA	b1349//
cecR-ybhGFSR	b4100//b3438//b0909//b4554//b0916//
cedA	b0681//
cfa	b4101//
chaA	b1379//
chaBC	b1511//b1063//
chaC	b3178//
chbBCARFG	b3750//b1572//b3739//b0639//b3533//b1537//
chiA	b1614//
chiP-ybfN	b2716//b0284//
chiX	b4288//
cho	b2826//
chpSB	b4090//b3785//
cirA	b4187//
citCDEFXG	b1490//b2136//b3343//b1400//b2284//b1207//
citT	b2915//
clcA	b2741//
clcB	b4391//
clpA	b4414//
clpB	b0198//
clpPX	b0077//b0464//
clpS	b2215//
clpX-lon	b1750//b2709//
clsA-yciU	b3649//b3754//
clsC	b0380//
cmk-rpsA	b3916//b1150//
cmoM-mukFEB	b3281//b2310//b1460//b2791//
cmtBA-yggPFDC	b2923//b0686//b3652//b4473//b0271//b1185//
cnu	b3469//
coaA	b1519//
coaE-zapD-yacG	b3900//b4227//b1613//
cobUST	b2356//b2302//b2114//
codBA	b3870//b3803//
cof	b1040//
comR	b0410//
copA	b3613//
corA	b0969//
cpdB	b2344//
cpxPQ	b2790//b0359//
cpxRA	b0449//b4326//
cra	b4121//
crcB	b0595//
creABC	b0904//b0773//b1769//
creABCD	b3889//b4106//b1834//b1474//
creD	b0428//
crfC-yjcZ	b2049//ykiB//
crl	b1136//
crp	b0587//
crr	b4287//
csdAE	b2212//b0721//
csgBAC	b1682//b4081//b2615//
csgC	b0794//
csgDEFG	b1231//C0664//b3579//b1574//
csiD-lhgO-gabDTP	b0681//b3527//b0768//b2354//b1331//
csiE	b2935//
csiR	b0991//
cspA	b2036//
cspB	b2517//
cspD	b1323//
cspE	b4237//
cspF	b1636//
cspG	b0455//
cspH	b4558//
cspI	b2103//
csrA	b1767//
csrB	b2515//
csrC	b1174//
csrD	b2575//
cstA	b3671//
cueO	b0653//
cueR	b2232//
curA	b2955//
cusCFBA	b4151//b2303//b2063//b1055//
cusRS	b0509//b3775//
cutA	b2901//
cvpA-purF-ubiX	b4085//b2806//b2660//
cvrA	b1371//
cyaA	b3582//
cyaR	b3604//
cyaY	b3647//
cybB	b2729//
cybC	b1658//
cycA	b0337//
cydAB	b3472//b4212//
cydDC	b1944//b1884//
cydX-ybgE	b2297//b2814//
cynR	b3451//
cynTS	b2525//b2595//
cynTSX	b0578//b2827//b2848//
cyoABCDE	b2193//b2493//b3583//b2122//b1040//
cysB	b2809//
cysDNC	b2698//b1351//b1234//
cysE	b1692//
cysG	b2994//
cysH	b2109//
cysJIH	b4471//b4100//b3843//
cysK	b1801//
cysPUWAM	b0272//b0534//b1355//b1026//b0672//
cysQ	b4205//
cysS	b3536//
cysZ	b0734//
cytR	b4089//
dacA	b4219//
dacB	b4456//
dacC	b1690//
dacD	b2384//
dadAX	b3268//b0203//
dam-rpe-gph-trpS	b3714//b1070//b1722//lfhA//
damX-dam-rpe-gph-trpS	b1183//b2760//b2853//b2259//b0728//
dapA-bamC	b4194//b3653//
dapB	b3386//
dapD	b2799//
dapE-ypfN	b1548//b3734//
dauA	b1672//
dcd	b2713//
dcm-vsr	b0576//b3213//
dcp	b1352//
dcrB	b3375//
dctA	b1535//
dcuA	b4546//
dcuB-fumB	b1846//b0610//
dcuC	b4516//
dcuD	b3832//
dcuR	b2761//
dcuSR	b0607//b3988//
dcyD-tcyLN	b1191//b3898//b2299//
ddlA	b0948//
ddpXABCDF	b3187//b4501//b1010//b3464//b2152//b1423//
deaD	b4592//
decR	b2305//
def-fmt	b0772//b0951//
degP	b0705//
degQ	b0758//
degQS	b0711//b2949//
degS	b2764//
deoABD	b1839//b0597//b3872//
deoBD	b4474//b2406//
deoCABD	b1573//b0940//b2312//b0572//
deoR	b2286//
dfp	b3516//
dgcC	b2944//
dgcE	b3278//
dgcF	b1632//
dgcJ	b4245//
dgcM	b2017//
dgcP	b3512//
dgcQ	b1585//
dgcT	b3319//
dgcZ	b2138//
dgkA	b0175//
dgoRKADT	b4203//gadF//b2431//b1763//b1848//
dgt	b2963//
dhaKLM	b0883//b0116//b0751//
dhaM	b1624//
dhaR	b1601//
diaA	b4363//
dicA	b4313//
dicB-ydfDE-insD-intQ	b0805//b2652//b2093//b3868//b1536//
dicC-ydfXW	b1584//b2523//b3387//
dicF	b2202//
dinB-yafNOP	b1055//b3430//b1131//b0789//
dinD	b0108//
dinG	b0305//
dinI	b3442//
dinJ-yafQ	b3559//b2796//
dinQ	b3065//
djlA	b3043//
dkgA	b2742//
dkgB	b1042//
dksA-gluQ	b2507//b2864//
dld	b3854//
dmlA	b1724//
dmlR	b2111//
dmsABC	b1281//b2754//b1513//
dnaAN-recF	b2262//b0801//b4512//
dnaB	b3477//
dnaK-tpke11-dnaJ	b2047//b1592//b0413//
dnaN-recF	b3861//b1412//
dnaQ	b0383//
dnaTC	b1688//b4357//
dnaTC-yjjA	b3160//b2745//b3181//
dnaX	b2336//
dosCP	b2146//b1253//
dpiBA	b0963//b4470//
dppABCDF	b2296//b0577//b2813//b2815//b1927//
dps	b3318//
dsbA	b2712//
dsbB	b2137//
dsbC	b2859//
dsbC-recJ-prfB	b1115//b1512//b4480//
dsbD-yjdC	b2065//b4613//
dsbG	b1308//
dsdA	b4021//
dsdC	b2615//
dsdXA	b1355//b1590//
dsrA	b1541//
dsrB	b3416//
dtpA	b2728//
dtpB	b1476//
dtpC	b0757//
dtpD	b3082//
dusA	b3072//
dusB-fis	b2505//b4288//
dusC	b4474//
dut-slmA	b0812//b0769//
dxr	b1679//
eaeH-insEF-1E-1F-1	b1653//b1795//b3515//b2520//
eamA	b1466//
eamB	b2712//
ebgAC	b0255//b0947//
ebgR	istR-1//
ecnAB	b3979//b2494//
ecnB	b3722//
eco	b2343//
ecpA	b4528//
ecpBCDE	b4389//b0064//b3959//b3181//
ecpR	b3186//
eda	b0734//
edd-eda	b2163//b1033//
efeOB	b1010//b3776//
efeU_1U_2	b2207//b4599//
efp	b4611//
elaA	b3182//
elaB	mltG//
elaD	b1959//
elbB-mtgA	b3964//b3396//
elfA	b3651//
elfDCG-ycbUVF	b3729//b2244//b4416//b1671//b1710//b3817//
elyC	b3628//
emrD	b1605//
emrE	b2888//
emrKY	b1785//b4272//
emtA	b0879//
endA	b1860//
eno	b1641//
entCEBAH	b1207//b0004//b1780//b4022//b3761//
entH	b0718//
entS	b3544//
envR	b1120//
envY-ompT	b0870//b2745//
epd-pgk	b0832//b1208//
epd-pgk-fbaA	b1746//b2869//gapC_2//
epmA	b2064//
epmB	b3939//
eptA	b2209//
eptB	b2521//
eptC	b4237//
erpA	b3652//
esrE	b3552//
essD-rrrD-rzpD	b0587//b2831//b1034//
essQ-ydfR-rrrQ-rzpQ	b0329//b3195//ychE_1//b0057//
ettA	b0099//
eutBCLKR	b1004//b0924//b1969//b3551//b0431//
eutHA	b2151//b3860//
eutNEJG	b0133//b4369//b3524//b3468//
eutSPQTDM	b0634//b3790//yedS_3//b2628//b1040//b1044//
evgAS	b4517//ecpE//
exbBD	b2753//b4330//
exbD	b2992//
exuR	b1995//
exuT	b4176//
fabA	b4155//
fabB	b0131//
fabDG-acpP	b4154//b4481//b0778//
fabF	b2544//
fabG-acpP	b0274//b1522//
fabHDG	b2108//b1548//b2488//
fabI	b4267//
fabR-yijD	b3165//b0317//
fabZ	b3154//
fadBA	ybcD//b0466//
fadD-sroD	b4225//b4164//
fadE	b3690//
fadH	b0736//
fadIJ	b2840//b1064//
fadL	b3805//
fadM	b3757//
fadR	b0689//
fbaB	b2103//
fbp	b1504//
fdhD	b3962//
fdhF	b1008//
fdnGHI	b2500//b0711//b3747//
fdoGHI-fdhE	b1681//b1466//b1493//b2870//
fdrA-ylbEF-ybcF	b0145//b4193//b1210//b4201//
feaB	b3755//
feaR	b0081//
fecABCDE	b3670//b3937//b1020//b2523//b0638//
fecIR	b4132//b4317//
feoABC	b2778//b2108//b2019//
feoC	b0828//
fepA-entD	b3293//b2286//
fepB	b1762//
fepDGC	b1764//b0225//b3494//
fes-ybdZ-entF-fepE	b3353//b1961//b1839//b3943//
fetAB	b3956//b2736//
ffh	b1974//
ffs	b2185//
fhuACDB	b1885//b3302//b0766//b3024//
fhuE	b3795//
fhuF	b2060//
ficA-fic-pabA	b4355//b3927//b3538//
fieF	b1646//
fimAICDFGH	b1860//b0196//b1654//b1583//b0681//b3981//b0459//
fimB	ychE_1//
fimE	b1529//
fimZ	b2729//
fiu	b2106//
fixABCX	b4707//b2717//b3302//b0995//
fklB	b1290//
fkpA	b0492//
fldA-uof-fur	b4214//b4114//b1313//
fldB	b3960//
flgAMN	b0908//b2282//b3749//
flgBCDEFGHIJ	b2009//b3576//b2208//b1576//b3337//topAI//b2327//b1161//b3732//
flgKL	b0587//b3150//
flgMN	b4482//b1955//
flhBAE	b2501//b2058//b1381//
flhDC	b3510//b1304//
fliAZ-tcyJ	b4101//b1517//b0059//
fliC	b3889//
fliDST	b2520//b2930//b1544//
fliE	b3442//
fliFGHIJK	b3782//b2386//b0674//b2911//b3922//b1644//
fliLMNOPQR	b0995//b0903//b3340//b1215//b1222//b3860//b0631//
flk	b0413//
flu	b4712//
flxA	b3179//
fnr	b0887//
fnrS	b1509//
focA-pflB	b0124//b4079//
folA	b1236//
folB	b0325//
folC-dedD	b2867//b3393//
folD-ybcJ	b0919//b4059//
folE-yeiB	b4240//b0197//
folP-glmM	b4480//b3725//
folX-yfcH	b3983//b1106//
fpr	b0237//
frc	b0027//
frdABCD	b2305//b0095//b0099//b1547//
fre	b3018//
frlABCDR	b3779//b1387//b0885//b2850//b0500//
frmRAB	b1010//b3422//b1139//
frr	b1622//
frsA	b4297//
fruBKA	yncK_1//b3946//b2935//
frvABXR	b3743//b3622//b3412//b3686//
frwCB	b3978//b2430//
frwD	b4469//
fryBC-ypdFE-fryA	b2672//b0513//b3626//b2465//b2614//
fsaA	b2744//
fsr	b4281//
ftnA	b1532//
ftnB	b3030//
ftp	b2199//
ftsAZ	b4077//b2929//
ftsB	b2709//
ftsK	b0675//
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	b3685//b1581//b4565//b4173//b0130//b4372//b3434//b3212//b1317//b1905//b0480//b3991//b1884//b3367//
ftsP	b1494//
ftsQ	b4217//
ftsQAZ	b0940//b2668//b0324//
ftsYEX	b1149//b0102//b0244//
ftsZ	b2699//
fucAO	b3872//b0968//
fucPIKUR	b2549//b3397//b1678//b3317//b2979//
fucR	b0120//
fumA	b0232//
fumAC	b3050//b1293//
fumB	b2610//
fumC	b2571//
fur	b0714//
fusA-tufA	b1173//b3152//
fxsA	b1383//
gabDTP	b2217//b0373//b3966//
gadAX	b0998//b3480//
gadBC	b2257//b3472//
gadC	b1575//
gadEF	b4084//b4360//
gadEF-mdtEF	b3531//b3090//b1845//b0531//
gadW	b3505//
gadX	b0383//
gadXW	b2570//b0712//
gadY	b2710//
galE	b0792//
galET	b4113//b2926//
galETK	b2735//b2458//b4142//
galETKM	b0556//b1892//b1900//b3132//
galF	b3458//
galK	b2903//
galP	b2630//
galR	ydbA_1//
galS	b0242//
galU	b2694//
gapA	b2437//
gapA-yeaD	b2249//b0553//
gapC_1C_2	b4233//b3484//
garD	b2234//
garPLRK-rnpB	b2990//b3651//b0157//b2152//b0210//
gatR_1	ilvG_1//
gatR_2	b2283//
gatYZABCD	b1233//b3314//b3351//b3354//b0159//b0556//
gatZABCD	b2413//b3079//b4036//b2593//b4145//
gcd	b3920//
gcl-hyi-glxR-ybbW-allB-ybbY-glxK	b0614//b3407//b1735//b0686//b1309//b3281//b0215//
gcvA	b0880//
gcvB	b1919//
gcvP	b0549//
gcvR	b3861//
gcvTHP	b0428//b0836//b2830//
gdhA	b2667//
gfcA	b4220//
gfcBCD	b1223//b4248//b4016//
gfcE-etp-etk	b0469//b0056//b1436//
ggt	b0801//
ghoST	b3824//b2757//
ghrA	b1073//
ghrB	b3634//
ghxP	b1291//
glcBA	b0293//b0323//
glcC	b1994//
glcDEFGBA	b1572//b2408//b1219//lafU//b4596//b0452//
glf-wbbH	b2929//b3715//
glgAP	b1484//b3772//
glgBXCAP	b3857//b2905//b2797//b1254//b0664//
glgCAP	b3461//b2401//b0791//
glgS	b1134//
glk	b1981//
glmUS	b3538//b2389//
glmY	b3709//
glmZ	b3500//
glnA	b3890//
glnALG	b0868//b4377//b1002//
glnB	insCD-6//
glnD	b1811//
glnHPQ	b2491//b2261//b1925//
glnK-amtB	b0354//b2342//
glnLG	ynfP//yegZ//
glnQ	rirA//
glnS	b2783//
glnW-metU-glnVX	b0678//b0554//b4592//b1665//
gloA	b4611//
gloB	b4351//
glpABC	yjhW//b1750//b0921//
glpD	b1042//
glpEGR	b1610//b2647//b3442//
glpFKX	b3772//b3510//b1874//
glpGR	b0744//b3851//
glpR	b1250//
glpTQ	b3641//b3452//
glrK	b0978//
glrR	b2842//
glrR-glnB	b0294//b1774//
gltA	b1805//
gltBDF	b3119//lfhA//b3166//
gltI-sroC-gltJKL	b2393//insAB-6//b3161//b4231//b4296//
gltP	b1959//
gltS	b2679//
gltX	b2466//
glvCBG-ysdC	b2943//b2622//b3756//b3045//
glxK	b0194//
glyA	b1939//
glyQS	b4435//b3735//
glyU	b0480//
glyVXY	b0758//b2959//b4249//
glyW-cysT-leuZ-3'ETS<sup><i>leuZ</i></sup>	b0547//b1726//b4036//b0085//
gmhB	b4352//
gmk	b0655//
gnd	b4002//
gnsB	b0861//
gntK	b3638//
gntKU	b1873//b3097//
gntP	b0890//
gntR	b0169//
gntRKU	b3172//b0613//b0036//
gntT	b3987//
gntU	b0908//
gntX-nfuA	b0594//b2435//
gor	b1652//
gpmA	b0940//
gpmM-envC-yibQ	b0620//b1519//b1286//
gpp	b1282//
gpr	b2240//
gpt	b3540//
grcA	b1427//
greA	b0454//
greB	b4267//
groL	b2619//
groSL	b2542//b1587//
grpE	b0232//
grxA	b0823//
grxB	b1647//
grxC	rirA//
grxD	b2038//
gshA	b1283//
gsk	b0141//
gspAB	b3527//b1700//
gspCDEFGHIJKLMO	b0883//b2047//b2329//b0696//b1602//b1100//b2188//b1876//b2963//b2863//b1118//b2308//
gss	b2679//
gstA	b1278//
gstB	ybeM_1//
guaBA	b3523//b1639//
guaC	b4577//
gudPXD	b3798//b2652//b4192//
gyrA	b2490//
gyrB	b1018//
hcaEFCBD	b1728//b2006//b3795//b1519//b1882//
hcaR	b0661//
hcaT	b1221//
hchA	b3885//
hcp-hcr	b2960//b0128//
hda	tpke70//
hdeAB-yhiD	b4026//b2738//b4340//
hdeD	b0547//
hdfR	b0063//
hdhA	b1573//
helD	b0056//
hemA	b0754//
hemA-prfA-prmC	yghE//b2920//b2011//
hemB	b1013//
hemCDXY	b2679//b4044//b2617//b1532//
hemF	b1825//
hemH	b1716//
hemL	b0421//
hemN	b1172//
hflD-purB	b3155//b3611//
hfq-hflXKC	b2560//b3532//b1766//b2718//
hicAB	b1309//b0984//
higBA	b1516//b1327//
hinT-ycfL-lpoB-thiK-nagZ-ycfP	b4293//C0299//b2266//b3198//b2809//b2009//
hipBA	b1131//b0304//
hisBHAFI	C0664//b3125//b0502//b0336//b2910//
hisJQMP	b1013//b2058//b1982//b0970//
hisL	b1734//
hisLGDCBHAFI	b1103//b3750//b3028//b1851//b1124//xisR//b1558//b2202//b0617//
hisS	b0475//
hlyE	b3354//
hmp	b3222//
hns	b1289//
hofMNOP	b0854//b4064//b4115//b2100//
hofQ	b0898//
hokA	b1558//
hokB	b1766//
hokD	b1786//
hokE	b3194//
holC	b0171//
holC-valS	b3049//b1828//
holD-rimI-yjjG	b0020//b1370//b4389//
holE	b3666//
hpt	b2871//
hrpA	b1839//
hrpB	b1542//
hscBA-fdx-iscX	b0813//b0279//b2024//b2750//
hscC	b4147//
hsdMS	b1179//b0753//
hsdRMS	b3048//b3573//b3411//
hslJ	ychE_2//
hslO	b0991//
hslRO	b1674//b3013//
hslVU	b3225//b4165//
hspQ	b2200//
htgA	b3545//
htpG	b3631//
htpX	b1431//
htrL	b4093//
hupA	b0905//
hupB	b3014//
hyaABCDEF	b4533//b2770//b1230//b0723//b0712//b3717//
hybOABCDEFG	b0461//b2558//b0941//b3632//ecpC//b2137//b2222//b1275//
hycABCDEFGHI	b1355//b3846//b4673//b0988//b3361//b4314//b0031//b1442//b0692//
hydN-hypF	b2060//b4210//
hyfABCDEFGHIJR-focB	b0364//b0901//b1969//b2587//b2292//b2679//b0888//b3812//b0035//b3401//b0902//b1894//
hypABCDE	b0729//b1410//b4529//b2521//b0564//
hypABCDE-fhlA	b0085//b1136//b0369//b2801//b0272//b3990//
hypBCDE	b0659//b2601//b0601//b3556//
hypBCDE-fhlA	b3461//b0837//b1585//b4585//b2789//
hypF	b2593//
hypT	b0366//
hyuA	b2027//
iaaA-gsiABCD	b3797//b2957//b2133//b0107//b1533//
iap	b2944//
ibaG	b2565//
ibaG-murA	b0689//b2553//
ibpAB	b4479//b0752//
ibpB	b2874//
icd	b1628//
icdC	b4406//
iclR	b0530//
idi	b3377//
idnDOTR	b0209//b4713//b3795//b2700//
idnK	b1035//
idnR	b1493//
ihfA	b0199//
ihfB	b3661//
ileS-lspA-fkpB-ispH	C0614//b3527//b4374//b2560//
ileX	b3927//
ileY	b0401//
ilvA	b2305//
ilvC	b0876//
ilvEDA	b1034//b4313//b3953//
ilvIH	b4208//b2139//
ilvL	b3654//
ilvLXG_1G_2MEDA	b0972//b1339//b4045//b3080//b0787//b1617//b0698//b1469//
ilvY	b3916//
inaA	b2148//
infA	b4133//
infC	b3282//
infC-rpmI-rplT	IS128//b2605//b2690//
insA-1AB-1B-1	b3026//b3557//b2537//
insA-2AB-2B-2-afuBC	b1757//b2065//b3267//b2268//b4268//
insA-3AB-3B-3	b0285//b2313//b3360//
insA-4AB-4B-4	b2743//b2561//b2929//
insA-5AB-5B-5	b0472//b1686//sroG//
insA-7	b3417//
insB-7_1B-7_2	b1408//b3712//
insC-1CD-1D-1	b0910//b2672//b0638//
insC-2CD-2D-2	b0398//b2171//b0686//
insC-3CD-3D-3	b2135//b2539//b3069//
insC-4CD-4D-4-ygeONM	b4365//b3060//arpB_1//b2078//b3997//b4069//
insC-5CD-5D-5-yqiGHI	b2291//b2188//b4444//b4181//b2746//b1476//
insC-6CD-6D-6	b4094//b1840//b1665//
insE-2EF-2F-2	b0578//b1724//b1819//
insE-3EF-3F-3	b0714//b3327//b2674//
insE-4EF-4F-4	b0135//b1058//b3610//
insE-5EF-5F-5	b2800//b3493//b2157//
insG	b3417//
insH-1	b0932//
insH-10	b1812//
insH-11	b3080//
insH-2	b3559//
insH-3	b3773//
insH-4	b0298//
insH-5	b3916//
insH-6	b3812//
insH-7	cybC//
insH-8	b2221//
insH-9	b1521//
insI-2	b2434//
insJ	b2996//
insK	b0162//
insL-1	b1641//
insL-2	b2132//
insL-3	b2242//
insMI-3	b0237//b1300//
insN-1I-1O-1	b0344//b2573//b3943//
insN-2	b1103//
insO-2-yjhWV	b2322//b2284//b2205//
intA	b3363//
intB	b0934//
intD	b2430//
intF	b3676//
intG	b4157//
intS	b2322//
intZ	b3057//
iraD	b4180//
iraM	b2427//
iraP	b1117//
iscRSUA	b1057//b4053//b0647//b3844//
ispB	b2279//
ispDF	b2442//b3476//
ispG-sroE	b1709//b0974//
ispU	b3401//
isrB	b3995//
isrC	b1379//
isrC-flu	b3448//b2967//
istR-1	b0753//
istR-2	b0333//
ivbL	b3079//
ivbL-ilvBN	b0042//b1737//b4415//
ivbL-ilvBN-uhpABC	b1145//b0040//b2873//b3822//b2260//b4400//
ivy	b3875//
katE	b1497//
katG	b0089//
kbaZ-agaVWA	b2895//b0036//b1180//b2576//
kbl-tdh	b0877//b0129//
kbp	b3181//
kch	b3305//
kdgK	b4316//
kdgR	b0072//
kdgT	b2798//
kdpDE	b4040//b2004//
kdpFABC	b3755//b3828//b1935//b2812//
kdsA	b1937//
kdsC-lptCAB	b0541//b0167//b2520//b2674//
kduD	b1069//
kduI	b0529//
kefFC	b0930//b2289//
kefGB-yheV	b4330//b1325//b0759//
kgtP	b0068//
kilR-ydaE	b0739//b0620//
kptA	b2572//
kup	b0622//
lacI	b0861//
lacYA	b2997//b0839//
lacZYA	b3043//b3278//b3386//
lafU	b2375//
lapAB	b0146//b2167//
lapAB-pyrF-yciH	b3412//b1563//insEF-1//b2943//
ldcA	b1802//
ldcC	b2246//
ldhA	b4176//
ldrA	b1555//
ldrB	b4364//
ldrC	b0715//
ldrD	b0443//
ldtA	b3675//
ldtB	b4568//
ldtC	b0286//
ldtD	b2460//
ldtE	b3017//
lepAB	b3371//b3910//
leuE	b3693//
leuL	b1191//
leuLABCD	b2460//b2236//b2065//b1646//b1707//
leuO	b0779//
leuQPV	b0579//b4427//b1956//
leuS-lptE-holA-nadD-cobC	b3461//b2199//b1290//b0375//b3346//
leuU	b3009//
leuX	b3337//
lexA-dinF	b4341//b0251//
lfhA	b1341//
lgoD	b1730//
lgoR	b3539//
lgoT	b1293//
lgt	b3310//
lgt-thyA	b0078//b1848//
lhr	b1928//
ligA-ypeB	b4132//b1357//
ligB	b1366//
lipA	b0092//
lipB	b0694//
lit	b1092//
livJ	b4281//
