# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	ispA//
fabR_yijD	
fadBA	cyaA//gadB//
fadD_sroD	fkpB//
fadIJ	wrbA//glf//
fdnGHI	
fdoGHI_fdhE	cadA//
fdrA_ylbEF_ybcF	nagB//
fecABCDE	pgk//galM//
fecIR	
feoABC	sseA//
fepA_entD	frc//kbaY//ligA//
fepDGC	aroF//
fes_ybdZ_entF_fepE	sdhC//phnP//cpdB//
fetAB	
fhuACDB	nudC//napG//
ficA_fic_pabA	argK//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	aslA//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	rhaA//caiA//
folC_dedD	hemG//
folD_ybcJ	aspC//
folE_yeiB	fucI//
folP_glmM	speB//sdhA//
folX_yfcH	recO//
frdABCD	thiI//
frlABCDR	yihU//nrdA//waaG//leuS//
frmRAB	metK//hisF//
fruBKA	cysD//mmuM//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	ynfH//fabF//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	cysQ//ddlB//sad//nudC//waaJ//phnL//ybhA//mutH//rnb//mcrA//
ftsQAZ	
ftsYEX	
fucAO	ppa//proS//
fucPIKUR	ftsI//lysC//yhdH//aslA//
fumAC	speE//pinE//
fusA_tufA	
gabDTP	narV//astB//treA//
gadAX	rnpA//
gadBC	coaA//dapB//
gadEF	
gadEF_mdtEF	menC//
gadXW	
galET	cmoB//dacD//
galETK	queD//ispD//paaI//
galETKM	rsmA//pgk//aspS//pheT//
gapA_yeaD	ynfH//
gapC_1C_2	
garPLRK_rnpB	cobT//narG//menH//selB//glgA//galU//
gatYZABCD	cysS//glgC//mutY//
gatZABCD	rutC//gpsA//rsmJ//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	sgbH//pck//amiD//cobS//pgpC//
gcvTHP	ilvB//wbbI//waaH//
gfcBCD	
gfcE_etp_etk	argF//prpD//
ghoST	ubiG//
glcBA	argI//lysU//
glcDEFGBA	truB//mutS//uxaC//
glf_wbbH	paaG//
glgAP	rluE//fucK//
glgBXCAP	rsmJ//sdhA//sbcB//hemE//eutC//
glgCAP	ldtE//rnpA//dmsB//
glmUS	ung//tam//
glnALG	qor//
glnHPQ	narH//
glnK_amtB	leuS//
glnLG	
glnW_metU_glnVX	
glpABC	ldtA//
glpEGR	pyrB//btuE//
glpFKX	tmk//coaA//hdhA//
glpGR	menA//
glpTQ	mnmA//glpD//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	fabG//
glvCBG_ysdC	
glyQS	hemH//
glyVXY	
glyW_cysT_leuZ	
gntKU	rlmA//bioA//
gntRKU	ravA//patZ//
gntX_nfuA	
gpmM_envC_yibQ	sucD//yieH//
groSL	
gspAB	
gspCDEFGHIJKLMO	etk//
guaBA	prmC//wcaJ//
gudPXD	deoD//thiE//
hcaEFCBD	sodB//ravA//
hcp_hcr	argS//ruvA//
hdeAB_yhiD	
hemA_prfA_prmC	xapA//puuA//
hemCDXY	nirD//sdaB//
hflD_purB	folB//
hfq_hflXKC	fabF//
hicAB	
higBA	codA//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	recF//nadE//coaD//murF//
hipBA	carA//
hisBHAFI	hcaB//nagB//mak//eno//
hisJQMP	yieH//argG//
hisLGDCBHAFI	rpiB//lsrG//nanE//cysH//lipB//wecB//asnA//
hofMNOP	
holC_valS	galK//
holD_rimI_yjjG	nfi//yciV//
hscBA_fdx_iscX	gatD//
hsdMS	yigL//
hsdRMS	narI//
hslRO	
hslVU	frc//
hyaABCDEF	
hybOABCDEFG	lldD//
hycABCDEFGHI	thyA//mutT//
hydN_hypF	purL//
hyfABCDEFGHIJR_focB	dgoK//
hypABCDE	ldcC//
hypABCDE_fhlA	nanA//
hypBCDE	rluA//
hypBCDE_fhlA	narI//
iaaA_gsiABCD	citF//cof//
ibaG_murA	pdxK//
ibpAB	
idnDOTR	ppiC//argB//cpsB//
ileS_lspA_fkpB_ispH	kduD//dkgA//aroC//fabF//
ilvEDA	eptC//leuB//anmK//tam//
ilvIH	yeaG//
ilvLXG_1G_2MEDA	rsmC//putA//metL//trpA//pdxY//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	treF//
insN_1I_1O_1	ribE//
insO_2_yjhWV	
iscRSUA	araD//glcE//
ispDF	rluE//fumA//
ispG_sroE	puuC//
isrC_flu	
ivbL_ilvBN	kduI//
ivbL_ilvBN_uhpABC	pncC//
kbaZ_agaVWA	fabI//
kbl_tdh	ruvA//selD//
kdpDE	
kdpFABC	narI//
kdsC_lptCAB	tnaA//rhaA//
kefFC	rimK//paaC//
kefGB_yheV	pdxY//
kilR_ydaE	
lacYA	tesA//metG//
lacZYA	trmO//nfsB//guaA//
lapAB	
lapAB_pyrF_yciH	menC//
lepAB	tmk//
leuLABCD	tsaC//rpiB//valS//
leuQPV	
leuS_lptE_holA_nadD_cobC	mtgA//glpQ//aldB//
lexA_dinF	
lgt_thyA	treF//fklB//
ligA_ypeB	nfsB//
livKHMGF	tag//tnaA//
lldPRD	tadA//xylA//
lolA_rarA	
lolB_ispE_prs	gcd//fbp//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	ppiC//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	speA//hdhA//
lptFG	
lspA_fkpB_ispH	ldtD//add//aphA//
lsrACDBFG_tam	pyrC//mutY//kefF//gstB//
lsrRK	hyaA//
ltaE_ybjT	astC//
lysT_valT_lysW	
macAB	pdxK//
malEFG	amyA//
malK_lamB_malM	phnG//dmsC//
malPQ	arsC//purU//
malXY	ilvH//folE//
manXYZ	rbsK//
map_glnD_dapD	sgbU//epmA//rsmD//
marRAB	
mazEFG	thiG//
mcrBC	yagE//
mdlAB	
mdtABCD_baeSR	rlmM//
mdtEF	galE//
mdtJI	selA//
mdtM_yjiN	metL//
mdtNOP	mnmG//
melAB	yahK//menH//
menA_rraA	nagB//
menBCE	mrcB//pyrG//dut//
menDHBCE	nudF//yqjH//arnT//abgA//kbl//
menFDHBCE	dam//panD//mltB//opgB//ilvE//kdsC//
metBL	nudL//cheB//
metNIQ	mltF//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	recF//rnpA//yjhH//
metZWV	
mglAC	nudE//
mglBAC	eda//
mgtLA	yqaB//
mhpABCDFE	fumC//betA//napG//atoD//lpxK//thrC//
mhpR_lacI	
miaA_hfq_hflXKC	fes//dgkA//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	frdA//rluE//
mnaT_ydcZ	rluC//
mngAB	trmL//nrdA//
mnmG_rsmG	dkgB//ispF//
mntR_ybiR	
moaABCDE	trmL//mrdA//
moaBCDE	ynfH//
mobAB	dgcT//
modABC	bioH//
modEF	
moeAB	ssuE//eda//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	fabH//
mqsRA	xdhB//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	paaK//hisH//pagP//sucA//rsmC//ldhA//dapE//ilvN//nrfB//ygaP//gpmM//
mreBCD	
mreCD	
msrPQ	
mtlADR	ycjG//carA//thrS//
mtn_btuF_yadS	entA//bglA//
murB_birA	xdhA//trmD//
murQP	umpH//glgP//rutC//
murQP_yfeW	aroA//lpxD//murB//birA//
mutL_miaA_hfq_hflXKC	dadA//arsC//dcyD//
mutY_yggX	waaU//
mutY_yggX_mltC	patD//ygeX//
mutY_yggX_mltC_nupG	pncB//lpxD//gltB//
nadA_pnuC	puuD//wecB//
nagBAC_umpH	rsuA//maa//acnB//
nagK_cobB	paaC//cmoA//
nanATEK_yhcH	mtlD//dgcZ//gmm//prpC//
nanCM	pflB//hemN//
nanCMS	deoA//adeD//
napFDAGHBC	ftsI//
napFDAGHBC_ccmABCDEFGH	fumC//aspS//
narGHJI	pgaC//
narWV	cysE//
narXL	
narZYWV	paoB//
nemRA	pagP//
nemRA_gloA	tesB//glyA//
nfrBA	
nhaAR	aroB//
nikABCDER	betB//
nirBDC_cysG	ymdB//glnA//dmsB//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	serA//
nrdAB_yfaE	deoB//
nrdDG	codA//rsmH//
nrdHIEF	lplA//
nrdR_ribDE_nusB_thiL_pgpA	cysJ//aroH//nudI//dmlA//
nrfABCDEFG	mutH//
nsrR_rnr_rlmB_yjfI	deoC//menD//
nudB_yebC_ruvC	ndk//hemC//
nudC_hemE_nfi	cynS//gstA//
nudF_yqiB_cpdA_yqiA_parE	lldD//phnO//
nuoABCEFGHIJKLMN	gmk//
nuoMN	yghU//
ompR_envZ	
opgGH	
oppABCDF	mltF//mhpC//
osmF_yehYXW	etp//
otsBA	xdhC//melA//
paaABCDEFGHIJK	gcvP//garL//frdD//dgcM//avtA//paoC//dgcT//
paaXY	argA//
pabB_nudL	tsaB//pnp//
pabC_mltG_tmk_holB_ycfH	purE//emtA//recG//
panBC	paaY//panE//
panE_yajL	eno//
paoABCD	cfa//
pcnB_folK	paaH//maeB//
pdeI_dgcI	
pdhR_aceEF_lpd	tatD//ulaD//glpB//dgoK//arnT//tyrS//
pdxA_rsmA	hpt//astA//
pdxA_rsmA_apaGH	folA//ribD//frdB//
pdxB_usg_truA_dedA	etk//rhaM//
pdxH_tyrS_pdxY	pncC//ispA//narV//
pdxJ_acpS	cyoE//adk//
pepQ_yigZ_trkH_hemG	dgcC//mltD//fucO//
pflDC	
pgaABCD	glcE//ascB//tesA//
pgk_fbaA	pgaB//serB//
pgpC_tadA	adiA//sbcB//
pheLA	ahr//
pheMST_ihfA	aslA//
phnCDE_1E_2FGHIJKLMNOP	nirB//fumC//prmC//ribB//yjiA//rdoA//ppiB//
phnLMNOP	ynfF//sad//coaA//aroF//napG//
phoA_psiF	yhdJ//
phoBR	
phoPQ	
pldB_yigL	accD//dapD//
plsX_fabHDG	rnb//cdsA//alaC//
pntAB	
potABCD	rluB//
potFGHI	pnp//
poxB_ltaE_ybjT	pyrB//dgoA//
ppdAB_ygdB_ppdC_recC	mazG//
ppdD_hofBC	
ppiB_lpxH	oxc//paaJ//
ppk_ppx	fucA//arnC//
pqiAB	
preTA	pdeH//
prfB_lysS	tag//
priC_ybaM	
prlC_rsmJ	glyS//accC//
prlF_yhaV	citE//
prmB_aroC_mepA_yfcA_epmC_yfcL	srlD//maeB//mcrB//murD//
proBA	pgpA//oxc//
proQ_prc	manA//
proVWX	yeiR//
prpBCDE	yibQ//katE//bcsA//nadA//
psd_mscM	
pspABCDE	paaC//
pspBCDE	cof//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	pdxJ//waaF//
pth_ychF	abgB//
ptrA_recBD	yjcS//xylA//
ptsA_fsaB_gldA	maeB//dinB//
ptsHI_crr	tsaC//mmuM//menE//
purEK	citX//mutH//
purHD	thiK//yjiA//
purMN	gatZ//nrdE//
puuAP	garD//pinE//
puuCBE	trmL//kbaZ//lpxH//
puuDRCBE	fucO//betB//fbp//glgA//
pyrF_yciH	dgoD//
pyrG_eno	frmA//yegS//
pyrLBI	zwf//
qmcA_ybbJ	
qseBC	
radA_nadR	fumC//
rapA_rluA	truB//
ratAB	
ravA_viaA	
rbsDACBKR	mhpD//hemH//bioB//
rclABC	
rclBC	
rcnAB	rsmD//
rcsDB	
rcsF_trmO	hemN//
rdgB_yggW	hypB//
rdoA_dsbA	frlB//lhgO//
recAX	
recET_ralR_ydaC_xisR_intR	dgcP//nrdB//
relA_mazEF	mrcA//
relBE	iscS//
relBE_hokD	citX//
renD_emrE	rlmE//
rfaD_waaFCL	thiC//oxc//hcaE//surA//
rfbACX	astA//hcaC//sdhB//hisB//
rfbBDACX	tsaE//fumB//aroB//mmuM//waaH//pabA//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	glxK//yhdH//glyA//ppiC//carA//pgpB//yfcF//eno//nfi//
rhaBAD	recR//nagA//cyoE//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	gloA//sucA//caiD//
ribF_ileS_lspA_fkpB_ispH	fdhF//menC//idnD//dxr//dapD//
rimK_ybjN	ilvG_1//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	umpH//tynA//trmH//treF//uidA//murF//lpxH//fabB//efeB//recG//
rlmE_ftsH	kduD//aes//
rlmL_uup	pabA//
rluD_yfiH	ybcF//tig//
rluE_nudJ	sbcB//psuK//
rnc_era	cobC//
rnc_era_recO_pdxJ_acpS	uxaB//nadK//ogt//fumA//
rnlAB	ubiH//
rnt_lhr	bcsA//
rpe_gph_trpS	murA//fabB//fabH//
rph_pyrE	pck//rlmA//
rpiR_alsBACE	fadH//scpA//
rplJL_rpoBC	nagB//
rplKAJL_rpoBC	asnS//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	lpxK//
rpmF_plsX_fabHDG	ubiI//hcaC//epmC//
rpmH_rnpA	metA//pheS//
rpmI_rplT	
rpoBC	yihT//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	epmC//ribC//curA//
rppH_ptsP	gatD//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	rutD//
rpsO_pnp	alkA//ynfF//
rpsP_rimM_trmD_rplS	yjhH//
rpsU_dnaG_rpoD	tam//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	ssuD//hisB//
rsmA_apaGH	phnG//rsmC//
rsmD_yhhL	guaC//
rsmE_gshB	tehB//chbF//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	sodA//waaQ//fadH//lpd//ubiH//yibQ//ybbO//ubiD//torZ//cheB//amyA//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	yihX//
rtcBA	lpoA//citE//
rutABCDEFG	nemA//bcsZ//talB//etk//argS//trpE//
ruvAB	kduI//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	hpt//
scpA_argK_scpBC	astE//rsmI//ahpF//folD//
sdaCB	nanM//ydfG//
sdhCDAB_sucABCD	mhpB//frdC//yeiG//hisB//
sdhDAB	
sdhE_cptA	
secB_gpsA	allC//
secE_nusG	
secG_leuU	
secMA_mutT	yieH//
selAB	lpoA//amiD//
selD_topB	mltB//hcaE//
seqA_pgm	cysH//
serB_radA	pepD//
serC_aroA	psuG//mutM//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	caiD//
sgrST_setA	aceF//
skp_lpxD_fabZ_lpxA	rluC//cysE//nagK//
slp_dctR	
solA_yceO	rluE//
speAB	def//xylA//
speF_potE	idnO//yciV//
srlAEBD_gutM_srlR_gutQ	yeiR//ldtB//nudE//
sroG_ribB	arnC//
sspAB	
ssrS_fau	acpH//
ssuEADCB	rhaA//nadB//lpxP//
stfE_tfaE	
sucAB	nrfA//purC//btuE//
sucABCD	ndh//murQ//tdk//uxuA//
sufABCDSE	trpC//
surA_pdxA_rsmA_apaGH	yjhG//sdhB//ppa//yhdJ//
tag_yiaC	dgkA//
talA_tktB	narZ//yibQ//
tamAB_ytfP	
tar_tap_cheRBYZ	hcaB//cynS//
tatABC	yqjH//
tatABCD	fadE//bcsA//
tauABCD	metG//lsrF//
tdcABCDEFG	rhaM//hmp//pepD//tatD//prmC//
tdcBCDEFG	folE//mcrC//yggF//ydbC//cobS//
tehAB	paaY//ilvD//
tesA_ybbO	pcm//yliI//
tff_rpsB_tsf	
tgt_yajC	lldD//
thiCEFSGH	mrcB//serC//ldtB//eutC//yciA//
thiMD	malY//pheA//
thrLABC	rbsD//lpxH//gstA//
thrS_infC	yicI//
thrS_infC_rpmI_rplT_pheMST_ihfA	mnmC//fucO//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	citC//dam//
tolB_pal_cpoB	
tolC_ygiABC	rluD//ligA//rlmJ//nrdD//frlC//melA//speB//ubiE//hyaB//
tomB_hha	
topAI_yjhQ	
torCAD	glgC//
torYZ	carA//
treBC	rsmE//dacA//
trmI_yggL	coaE//
trpCBA	hycB//mraY//aldA//trmH//
trpLEDCBA	aceF//wecB//coaD//yibQ//yihS//alaS//
tsaB_yeaY	nanK//
tsaE_amiB_mutL_miaA_hfq_hflXKC	yciV//ubiI//pck//aroK//aldA//
ttdABT	panC//preA//
tyrS_pdxY	purA//coaD//
tyrTV_tpr	
tyrV_tpr	
ubiCA	miaA//glmS//
ubiEJB	paaC//
udk_dcd	thiD//pta//
ugpBAECQ	trmL//yihU//
uhpABC	
uidABC	mngB//tadA//
ulaABCDEF	xylB//fbaA//udp//ppc//
umpG_pcm	yciA//ilvA//
umuDC	waaQ//
uof_fur	
upp_uraA	yccX//paoC//
usg_truA_dedA	fabA//
uvrYC	rlmA//
uxaCA	yghA//dhaM//
uxuAB	anmK//tsaE//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	gcd//aroA//
waaQGPSBOJYZU	entC//ddlA//cynS//ribD//glgB//glxR//trpB//fumB//sucC//acpH//
waaYZ	aroC//ttdB//
waaZU	pgpC//lhgO//
wbbIJK	purL//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	fabD//lldD//ileS//birA//gluQ//insI-3//
wcaKLM	
wrbA_yccJ	ybhA//
wza_wzb_wzc	rluE//fucU//
wza_wzb_wzc_wcaAB	cmk//nirB//
xanQ_guaD_ghxQ	mug//hisG//ycaO//
xapAB	gph//ravA//
xdhABC	nrdA//
xerD_dsbC_recJ	gltB//hisI//
xseB_ispA_dxs_yajO	mobA//sdhB//malP//slyD//
xylAB	fsaB//phnJ//
xylFGHR	cobB//
yabPQ	
yacC_speED	lysU//betB//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	nudG//
yafDE	
yafNOP	cpdB//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	dnaQ//nagK//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	mhpE//
ybaB_recR	murC//
ybaST	selA//
ybbAP	
ybbY_glxK	trmH//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	pagP//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	nudC//
ybeZY	
ybeZYX_lnt	galU//
ybfHG	
ybfOC	
ybgA_phr	adeD//
ybgC_tolQRA	
ybgIJKL_nei	nhoA//
ybgQPO	
ybhP_clsB_ybhN	hemF//
ybiYW	
ybjC_nfsA_rimK_ybjN	nirB//dadA//
ybjJI	sucC//
ybjO_rlmC	truC//
ybjQ_amiD	pgpC//
ycaI_msbA_lpxK_ycaQ	aes//pdeR//
ycaR_kdsB	patD//
ycbK_gloC	maeA//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	rlmA//
yciCB	
yciGFE	
yciK_btuR	tesB//
yciVOQ	gloB//
yciZT	
ycjMNOPQRSTUV_ymjB	waaZ//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	napB//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	mngB//ispB//
ydcSTUV_patD	yihV//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	ynfE//
ydgK_rsxABCDGE_nth	frdA//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	pykA//sdhD//
ydiJ_menI_ydiH	narG//
ydiNB_aroD	cobT//malS//
ydiQRST_fadK	glcF//
ydjA_selD_topB	menI//ribA//
ydjLKJIHG	gabT//
ydjXYZ_ynjABCD	
yeaGH	gluQ//
yeaR_yoaG	
yeaVW	
yebC_ruvC	fre//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	coaE//ldcC//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	der//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	metC//acpH//
yejABEF	lldD//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	acnB//
yfaX_rhmD	
yfaX_rhmD_yfaVU	nrfB//
yfbUT	gabT//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
