# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	nadE//
nagBAC_umpH	sad//purD//pgaB//
nagK_cobB	tam//psuK//
nanATEK_yhcH	ilvM//pspE//hyi//folP//
nanCM	ydiB//rluF//
nanCMS	ispF//purE//
napFDAGHBC	wrbA//
napFDAGHBC_ccmABCDEFGH	nadB//pdxY//
narGHJI	malY//
narWV	kduD//
narXL	
narZYWV	btuE//
nemRA	nanK//
nemRA_gloA	waaP//queF//
nfrBA	
nhaAR	udk//
nikABCDER	hisG//
nirBDC_cysG	hypF//dgkA//ilvG_1//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	lpxA//
nrdAB_yfaE	lpxM//
nrdDG	ddlB//cysD//
nrdHIEF	ampC//
nrdR_ribDE_nusB_thiL_pgpA	paaY//preA//ahr//murB//
nrfABCDEFG	ilvN//
nsrR_rnr_rlmB_yjfI	gpsA//trpS//
nudB_yebC_ruvC	aroD//ftsI//
nudC_hemE_nfi	rluB//ppc//
nudF_yqiB_cpdA_yqiA_parE	ispH//purM//
nuoABCEFGHIJKLMN	truB//
nuoMN	rnb//
ompR_envZ	
opgGH	
oppABCDF	glnE//yqjG//
osmF_yehYXW	lpxL//
otsBA	wrbA//ilvH//
paaABCDEFGHIJK	rsmD//rluB//ilvA//gabD//waaA//waaQ//dacD//
paaXY	narI//
pabB_nudL	glgB//dmsA//
pabC_mltG_tmk_holB_ycfH	yidA//cheR//mutY//
panBC	otsA//hyuA//
panE_yajL	hisD//
paoABCD	glpD//
pcnB_folK	waaH//nudC//
pdeI_dgcI	
pdhR_aceEF_lpd	yghU//galM//ahr//alkB//nanE//gltD//
pdxA_rsmA	ppiC//ydfG//
pdxA_rsmA_apaGH	acs//yciA//serS//
pdxB_usg_truA_dedA	pepD//rsmH//
pdxH_tyrS_pdxY	fcl//aroD//waaB//
pdxJ_acpS	ribF//yfaU//
pepQ_yigZ_trkH_hemG	speG//thiK//dam//
pflDC	
pgaABCD	relA//carA//hflX//
pgk_fbaA	carB//cheB//
pgpC_tadA	ybcF//hemF//
pheLA	emtA//
pheMST_ihfA	rluA//
phnCDE_1E_2FGHIJKLMNOP	rsuA//hdhA//xapA//ybcF//glyA//proC//cysM//
phnLMNOP	recG//ubiI//ycjU//ubiH//nudJ//
phoA_psiF	cysJ//
phoBR	
phoPQ	
pldB_yigL	fbp//purB//
plsX_fabHDG	fabZ//recR//rluE//
pntAB	
potABCD	rlmM//
potFGHI	rlmH//
poxB_ltaE_ybjT	aceE//aspA//
ppdAB_ygdB_ppdC_recC	hemD//
ppdD_hofBC	
ppiB_lpxH	puuE//yigB//
ppk_ppx	ybhA//ulaF//
pqiAB	
preTA	lysC//
prfB_lysS	ispB//
priC_ybaM	
prlC_rsmJ	umuD//torZ//
prlF_yhaV	malZ//
prmB_aroC_mepA_yfcA_epmC_yfcL	proS//gor//dadA//pyrB//
proBA	betB//rlmD//
proQ_prc	ygiF//
proVWX	rlmH//
prpBCDE	pepD//gcvP//prpB//phnM//
psd_mscM	
pspABCDE	tyrB//
pspBCDE	yneH//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	dmlA//rbn//
pth_ychF	maeA//
ptrA_recBD	glyS//yihT//
ptsA_fsaB_gldA	pdxB//garD//
ptsHI_crr	yidA//araA//pphB//
purEK	ldhA//abgB//
purHD	mutL//garR//
purMN	fucO//aceF//
puuAP	gatY//entE//
puuCBE	curA//glyA//pyrC//
puuDRCBE	opgB//mmuM//ispG//guaB//
pyrF_yciH	patA//
pyrG_eno	ybhA//dkgA//
pyrLBI	phnP//
qmcA_ybbJ	
qseBC	
radA_nadR	waaB//
rapA_rluA	ispB//
ratAB	
ravA_viaA	
rbsDACBKR	lpxC//cysG//purB//
rclABC	
rclBC	
rcnAB	fau//
rcsDB	
rcsF_trmO	alaC//
rdgB_yggW	ssuD//
rdoA_dsbA	tmcA//yfcG//
recAX	
recET_ralR_ydaC_xisR_intR	chbF//lpxT//
relA_mazEF	mak//
relBE	gpmA//
relBE_hokD	ycjG//
renD_emrE	nudB//
rfaD_waaFCL	sgbH//rpiB//fcl//phoA//
rfbACX	yieH//queG//yagE//bioB//
rfbBDACX	maeA//sdhC//clsC//preT//mngB//suhB//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	glpD//sbcB//sgbH//yhdJ//eptA//rlmJ//mutT//pgm//panB//
rhaBAD	sdaB//yigB//sdaB//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	pyrE//waaP//purA//
ribF_ileS_lspA_fkpB_ispH	dadA//napA//tehB//feaB//katG//
rimK_ybjN	sucA//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	leuD//arnA//rsmD//hisG//rhaM//ldtD//recF//hpt//solA//garD//
rlmE_ftsH	rlmI//mtn//
rlmL_uup	glpX//
rluD_yfiH	ruvA//valS//
rluE_nudJ	rph//ydfG//
rnc_era	clsC//
rnc_era_recO_pdxJ_acpS	sgbU//yfeX//murF//selB//
rnlAB	kdsC//
rnt_lhr	azoR//
rpe_gph_trpS	iaaA//hyi//mraY//
rph_pyrE	relA//metE//
rpiR_alsBACE	cobB//bioC//
rplJL_rpoBC	wzc//
rplKAJL_rpoBC	glmS//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	glnS//
rpmF_plsX_fabHDG	mobA//cfa//dosC//
rpmH_rnpA	hisD//kbaZ//
rpmI_rplT	
rpoBC	eptC//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	glf//purA//gatZ//
rppH_ptsP	bcsZ//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	hemN//
rpsO_pnp	pdxH//prpE//
rpsP_rimM_trmD_rplS	ubiF//
rpsU_dnaG_rpoD	nadC//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	tdk//miaB//
rsmA_apaGH	hisB//mcrC//
rsmD_yhhL	dgkA//
rsmE_gshB	folC//acnB//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	cysH//rluD//aspC//ampD//agp//nudB//yqjG//nrdE//relA//glmU//manA//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	ybbO//
rtcBA	argE//pncA//
rutABCDEFG	moaA//dnaQ//proA//mhpF//trmJ//hisA//
ruvAB	fabH//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	lipB//
scpA_argK_scpBC	lpxL//puuE//bioA//speF//
sdaCB	acs//nanE//
sdhCDAB_sucABCD	fabG//rlmL//trpB//dosP//
sdhDAB	
sdhE_cptA	
secB_gpsA	serC//
secE_nusG	
secG_leuU	
secMA_mutT	gcl//
selAB	tsaB//acnB//
selD_topB	speF//acnA//
seqA_pgm	pgk//
serB_radA	der//
serC_aroA	eptB//psd//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	ynfF//
sgrST_setA	gmhB//
skp_lpxD_fabZ_lpxA	gatY//miaB//truB//
slp_dctR	
solA_yceO	cof//
speAB	hemC//curA//
speF_potE	poxB//mutM//
srlAEBD_gutM_srlR_gutQ	rsmH//ansB//rdoA//
sroG_ribB	rluA//
sspAB	
ssrS_fau	tag//
ssuEADCB	betB//aroK//ygeX//
stfE_tfaE	
sucAB	tig//fkpA//rnb//
sucABCD	phoA//ldtB//ycaO//hycB//
sufABCDSE	rhaD//
surA_pdxA_rsmA_apaGH	purB//ligB//pssA//cfa//
tag_yiaC	gcvP//
talA_tktB	ilvC//dusA//
tamAB_ytfP	
tar_tap_cheRBYZ	putA//pnp//
tatABC	paaE//
tatABCD	puuC//tyrB//
tauABCD	amiD//sdaB//
tdcABCDEFG	paoC//pdxB//ssuD//plsB//rpiB//
tdcBCDEFG	yfdE//deoD//mhpD//recF//wbbI//
tehAB	rpiA//metB//
tesA_ybbO	hcaE//ispD//
tff_rpsB_tsf	
tgt_yajC	pdeL//
thiCEFSGH	hemN//purE//aphA//gsk//hyi//
thiMD	rrrD//waaJ//
thrLABC	nfsB//cysE//menD//
thrS_infC	rfe//
thrS_infC_rpmI_rplT_pheMST_ihfA	puuA//mqo//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	asnA//purB//
tolB_pal_cpoB	
tolC_ygiABC	cysC//narV//ynfH//prmB//argK//bglA//rluF//garD//ydiF//
tomB_hha	
topAI_yjhQ	
torCAD	hemG//
torYZ	cysC//
treBC	sad//ndh//
trmI_yggL	murD//
trpCBA	arnT//thrB//fabB//ilvG_2//
trpLEDCBA	pdeL//speF//gadB//lldD//pphA//gshA//
tsaB_yeaY	bcsB//
tsaE_amiB_mutL_miaA_hfq_hflXKC	gmhB//apaH//serA//pdeF//frmA//
ttdABT	folB//argA//
tyrS_pdxY	lsrK//leuS//
tyrTV_tpr	
tyrV_tpr	
ubiCA	dhaM//panB//
ubiEJB	galK//
udk_dcd	glnA//tmk//
ugpBAECQ	ssuD//mltA//
uhpABC	
uidABC	adhE//deoA//
ulaABCDEF	rsgA//gntK//sodC//bioD//
umpG_pcm	pyrC//gmhB//
umuDC	hyaB//
uof_fur	
upp_uraA	waaZ//apt//
usg_truA_dedA	torY//
uvrYC	deoA//
uxaCA	glxR//purA//
uxuAB	mog//rhaM//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	thiL//aroF//
waaQGPSBOJYZU	cdd//tilS//lpxP//murQ//putA//talB//bacA//tmk//arnA//ubiG//
waaYZ	phnO//prpB//
waaZU	nudJ//rffC//
wbbIJK	arsC//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	ampC//yfbT//eda//lpxC//yfaU//thiI//
wcaKLM	
wrbA_yccJ	rutC//
wza_wzb_wzc	ymdB//lipA//
wza_wzb_wzc_wcaAB	pgl//tyrA//
xanQ_guaD_ghxQ	fdhF//ispH//rsgA//
xapAB	ldtB//nfsB//
xdhABC	pinE//
xerD_dsbC_recJ	panE//purN//
xseB_ispA_dxs_yajO	sucC//ileS//tehB//gadA//
xylAB	pdeH//lacA//
xylFGHR	thrC//
yabPQ	
yacC_speED	clsA//tesB//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	ubiD//
yafDE	
yafNOP	ribB//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	pdeL//nanM//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	ahpC//
ybaB_recR	rluB//
ybaST	fkpA//
ybbAP	
ybbY_glxK	sufS//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	rlmD//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	sgbU//
ybeZY	
ybeZYX_lnt	bacA//
ybfHG	
ybfOC	
ybgA_phr	pfkA//
ybgC_tolQRA	
ybgIJKL_nei	frc//
ybgQPO	
ybhP_clsB_ybhN	sodC//
ybiYW	
ybjC_nfsA_rimK_ybjN	rutB//fabZ//
ybjJI	ubiX//
ybjO_rlmC	waaA//
ybjQ_amiD	pyrD//
ycaI_msbA_lpxK_ycaQ	nadK//puuD//
ycaR_kdsB	selD//
ycbK_gloC	ugpQ//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	ileS//
yciCB	
yciGFE	
yciK_btuR	waaS//
yciVOQ	lpxT//
yciZT	
ycjMNOPQRSTUV_ymjB	puuE//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	wbbI//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	dusC//ygeX//
ydcSTUV_patD	pyrB//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	allC//
ydgK_rsxABCDGE_nth	torZ//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	ppiC//gltA//
ydiJ_menI_ydiH	udk//
ydiNB_aroD	pyrB//pcm//
ydiQRST_fadK	nirD//
ydjA_selD_topB	pgaC//ynfE//
ydjLKJIHG	maeA//
ydjXYZ_ynjABCD	
yeaGH	treA//
yeaR_yoaG	
yeaVW	
yebC_ruvC	argS//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	preA//hchA//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	yfcG//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	ybdL//sodC//
yejABEF	mnmC//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	ghrA//
yfaX_rhmD	
yfaX_rhmD_yfaVU	kdsA//
yfbUT	speC//
yfcUTSRQPO	
yfdGHI	
