# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	lpxA//
gatZABCD	purA//moaD//spoT//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	hemG//cobS//ygjK//gatD//lpxT//
gcvTHP	glyS//glgP//glpK//
gfcBCD	
gfcE_etp_etk	ilvI//emtA//
ghoST	atoD//
glcBA	relA//asd//
glcDEFGBA	uxaB//purE//sad//
glf_wbbH	hyi//
glgAP	dcm//pdeR//
glgBXCAP	scpB//cysI//gltD//purT//hisC//
glgCAP	psd//adhP//purC//
glmUS	murA//pheT//
glnALG	ttdA//
glnHPQ	betA//
glnK_amtB	hisH//
glnLG	
glnW_metU_glnVX	
glpABC	trpE//
glpEGR	rbsK//trpS//
glpFKX	dcd//wecC//alsE//
glpGR	sodB//
glpTQ	mrcA//nhoA//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	thiG//
glvCBG_ysdC	
glyQS	trmO//
glyVXY	
glyW_cysT_leuZ	
gntKU	napA//hcaF//
gntRKU	tam//gshB//
gntX_nfuA	
gpmM_envC_yibQ	rsuA//bioH//
groSL	
gspAB	
gspCDEFGHIJKLMO	pbpC//
guaBA	mutL//argS//
gudPXD	hycD//manA//
hcaEFCBD	alkA//gatY//
hcp_hcr	guaA//hemC//
hdeAB_yhiD	
hemA_prfA_prmC	yfcF//aldB//
hemCDXY	rhaA//kdgK//
hflD_purB	cadA//
hfq_hflXKC	metK//
hicAB	
higBA	hcaD//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	pdeF//garR//yfiH//valS//
hipBA	fucI//
hisBHAFI	alaA//recF//glpX//galT//
hisJQMP	talA//trmA//
hisLGDCBHAFI	tsaE//fumB//miaB//pagP//paaE//pgaB//add//
hofMNOP	
holC_valS	pdxH//
holD_rimI_yjjG	frc//hyuA//
hscBA_fdx_iscX	rihC//
hsdMS	hflX//
hsdRMS	gudD//
hslRO	
hslVU	ligA//
hyaABCDEF	
hybOABCDEFG	pyrF//
hycABCDEFGHI	ftsI//fsaA//
hydN_hypF	pabA//
hyfABCDEFGHIJR_focB	yfcG//
hypABCDE	yjiA//
hypABCDE_fhlA	dapB//
hypBCDE	upp//
hypBCDE_fhlA	alaA//
iaaA_gsiABCD	def//metG//
ibaG_murA	trmL//
ibpAB	
idnDOTR	dusB//nagK//wecC//
ileS_lspA_fkpB_ispH	hchA//leuB//betB//lysS//
ilvEDA	accD//gstA//dxr//psd//
ilvIH	amn//
ilvLXG_1G_2MEDA	glyA//glmM//tatD//scpA//yihT//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	ubiG//
insN_1I_1O_1	pgk//
insO_2_yjhWV	
iscRSUA	ubiH//fabH//
ispDF	puuB//sgbU//
ispG_sroE	pdxH//
isrC_flu	
ivbL_ilvBN	mutM//
ivbL_ilvBN_uhpABC	ppsA//
kbaZ_agaVWA	avtA//
kbl_tdh	ldcA//waaH//
kdpDE	
kdpFABC	ubiH//
kdsC_lptCAB	gmm//dosC//
kefFC	aroK//metB//
kefGB_yheV	mhpC//
kilR_ydaE	
lacYA	rpiA//dkgB//
lacZYA	uxaC//cof//gltB//
lapAB	
lapAB_pyrF_yciH	ltaE//
lepAB	alaA//
leuLABCD	queC//rfbC//ilvG_2//
leuQPV	
leuS_lptE_holA_nadD_cobC	aslA//ulaE//trmJ//
lexA_dinF	
lgt_thyA	mqo//hflX//
ligA_ypeB	waaJ//
livKHMGF	ulaE//hyaC//
lldPRD	hyuA//entB//
lolA_rarA	
lolB_ispE_prs	kdsC//purB//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	yfbT//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	puuB//bglX//
lptFG	
lspA_fkpB_ispH	lpxM//xdhB//cobT//
lsrACDBFG_tam	gdhA//ydbC//miaB//ilvD//
lsrRK	fruK//
ltaE_ybjT	tadA//
lysT_valT_lysW	
macAB	tdh//
malEFG	bioC//
malK_lamB_malM	guaC//sdhA//
malPQ	speF//narI//
malXY	bcsA//scpC//
manXYZ	metH//
map_glnD_dapD	astA//apt//pyrC//
marRAB	
mazEFG	astA//
mcrBC	argF//
mdlAB	
mdtABCD_baeSR	cysH//
mdtEF	ligA//
mdtJI	glgX//
mdtM_yjiN	folB//
mdtNOP	nudI//
melAB	aroG//malZ//
menA_rraA	hycG//
menBCE	folX//phnG//feaB//
menDHBCE	rsmH//ampD//yfdR//hdhA//ybjG//
menFDHBCE	ycjU//glnA//ribC//astA//gadA//lysA//
metBL	mhpD//dapB//
metNIQ	araA//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	coaE//ribC//waaG//
metZWV	
mglAC	atoD//
mglBAC	tdcG//
mgtLA	pgl//
mhpABCDFE	torC//hisG//yidA//carA//ndh//murC//
mhpR_lacI	
miaA_hfq_hflXKC	sseA//idnD//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	rihB//deoB//
mnaT_ydcZ	pgaB//
mngAB	idnK//thrA//
mnmG_rsmG	thiH//nrfA//
mntR_ybiR	
moaABCDE	acpT//guaD//
moaBCDE	rsuA//
mobAB	menA//
modABC	proC//
modEF	
moeAB	yihS//speD//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	ugd//
mqsRA	puuE//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	frc//nrfC//torA//pgpC//gntK//murG//mpaA//bioF//clsB//ppiB//nadA//
mreBCD	
mreCD	
msrPQ	
mtlADR	glgA//add//eptC//
mtn_btuF_yadS	ubiE//umpH//
murB_birA	ligB//dgoD//
murQP	poxB//metC//argG//
murQP_yfeW	metB//waaL//ispD//mltD//
mutL_miaA_hfq_hflXKC	alsK//plsB//ndh//
mutY_yggX	purH//
mutY_yggX_mltC	lipA//waaJ//
mutY_yggX_mltC_nupG	clsB//kbaY//ghrA//
nadA_pnuC	uxaB//nemA//
nagBAC_umpH	etk//malY//citF//
nagK_cobB	glpX//glpB//
nanATEK_yhcH	frlD//ribB//hemD//prmC//
nanCM	malQ//truC//
nanCMS	mltC//yahK//
napFDAGHBC	phr//
napFDAGHBC_ccmABCDEFGH	cyaA//xdhB//
narGHJI	codA//
narWV	ttdB//
narXL	
narZYWV	icd//
nemRA	murI//
nemRA_gloA	aphA//fadJ//
nfrBA	
nhaAR	hycB//
nikABCDER	ndh//
nirBDC_cysG	rutC//yfcF//pgi//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	trmI//
nrdAB_yfaE	psd//
nrdDG	ilvM//alaC//
nrdHIEF	folP//
nrdR_ribDE_nusB_thiL_pgpA	folD//thiH//rlmI//waaS//
nrfABCDEFG	katE//
nsrR_rnr_rlmB_yjfI	ilvE//poxB//
nudB_yebC_ruvC	serC//aceF//
nudC_hemE_nfi	sdaB//yfaU//
nudF_yqiB_cpdA_yqiA_parE	sucA//umpG//
nuoABCEFGHIJKLMN	katG//
nuoMN	ilvE//
ompR_envZ	
opgGH	
oppABCDF	entB//pdeL//
osmF_yehYXW	pbpC//
otsBA	preA//fucU//
paaABCDEFGHIJK	ilvD//otsA//hcaD//ydiO//nrdD//murI//bcsZ//
paaXY	sodC//
pabB_nudL	mtgA//chbG//
pabC_mltG_tmk_holB_ycfH	wzc//mnmE//murE//
panBC	hinT//rlmA//
panE_yajL	pheS//
paoABCD	ispD//
pcnB_folK	pdeH//pgaD//
pdeI_dgcI	
pdhR_aceEF_lpd	sucD//mrcB//dgt//btuR//betA//ribA//
pdxA_rsmA	cof//fumB//
pdxA_rsmA_apaGH	lsrG//yqaB//mnmG//
pdxB_usg_truA_dedA	proC//rluA//
pdxH_tyrS_pdxY	thiL//ldtE//trpC//
pdxJ_acpS	cysS//panD//
pepQ_yigZ_trkH_hemG	ansB//ulaE//folC//
pflDC	
pgaABCD	rne//waaO//alaC//
pgk_fbaA	acnB//glnE//
pgpC_tadA	dapA//argS//
pheLA	folB//
pheMST_ihfA	miaA//
phnCDE_1E_2FGHIJKLMNOP	pdxH//eptC//glmM//xdhB//dcd//phnL//aslA//
phnLMNOP	ldtB//uvrA//pgaD//gmm//melA//
phoA_psiF	deoC//
phoBR	
phoPQ	
pldB_yigL	araB//yfbR//
plsX_fabHDG	accD//psuG//recJ//
pntAB	
potABCD	folK//
potFGHI	menF//
poxB_ltaE_ybjT	hisF//tsaC//
ppdAB_ygdB_ppdC_recC	asnB//
ppdD_hofBC	
ppiB_lpxH	rutE//folM//
ppk_ppx	wbbI//serC//
pqiAB	
preTA	ddlB//
prfB_lysS	adhP//
priC_ybaM	
prlC_rsmJ	dcm//phnH//
prlF_yhaV	thrB//
prmB_aroC_mepA_yfcA_epmC_yfcL	add//wzc//maeA//nagK//
proBA	ahpF//dmlA//
proQ_prc	leuC//
proVWX	talA//
prpBCDE	dhaM//fucK//gcvP//queF//
psd_mscM	
pspABCDE	pyrH//
pspBCDE	rpiB//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	dxs//hemN//
pth_ychF	caiA//
ptrA_recBD	lpxA//atoA//
ptsA_fsaB_gldA	recJ//aroF//
ptsHI_crr	narV//ubiE//rnpA//
purEK	sodC//dcyD//
purHD	fabG//phnJ//
purMN	ligB//torA//
puuAP	fbp//entB//
puuCBE	thiI//dgkA//ppk//
puuDRCBE	leuC//glpA//glgP//fadJ//
pyrF_yciH	gshA//
pyrG_eno	menB//tdh//
pyrLBI	mnmG//
qmcA_ybbJ	
qseBC	
radA_nadR	dgoK//
rapA_rluA	pabA//
ratAB	
ravA_viaA	
rbsDACBKR	ilvM//ftnA//lpxC//
rclABC	
rclBC	
rcnAB	dapF//
rcsDB	
rcsF_trmO	hisI//
rdgB_yggW	rfbA//
rdoA_dsbA	sufS//fumC//
recAX	
recET_ralR_ydaC_xisR_intR	sthA//rdoA//
relA_mazEF	tsaC//
relBE	yqjH//
relBE_hokD	yfbT//
renD_emrE	pheS//
rfaD_waaFCL	cheR//mazG//ppx//caiB//
rfbACX	pheS//trpD//alaS//kbaY//
rfbBDACX	thrC//kdsD//kbaZ//ahpF//ubiI//poxB//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	ybaS//dgcP//waaQ//proC//rnt//leuS//pdeF//rsuA//narV//
rhaBAD	yeaG//gstA//gsk//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	serB//metF//nadB//
ribF_ileS_lspA_fkpB_ispH	gss//rimK//nudF//lpxL//eptA//
rimK_ybjN	rsmA//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	astE//yagE//paoA//queF//dapB//xdhB//cynS//gudD//codA//yjhG//
rlmE_ftsH	mnmG//cysM//
rlmL_uup	ghrA//
rluD_yfiH	pepD//ilvC//
rluE_nudJ	aes//xdhA//
rnc_era	nudI//
rnc_era_recO_pdxJ_acpS	rffC//oxc//ispA//hemA//
rnlAB	entH//
rnt_lhr	lysS//
rpe_gph_trpS	glyS//pncC//sseA//
rph_pyrE	cadA//rfbC//
rpiR_alsBACE	ispH//purU//
rplJL_rpoBC	lpxP//
rplKAJL_rpoBC	frc//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	purM//
rpmF_plsX_fabHDG	aroG//gadB//yigL//
rpmH_rnpA	hycC//fadJ//
rpmI_rplT	
rpoBC	folD//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	purM//purD//umuD//
rppH_ptsP	fabB//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	slyD//
rpsO_pnp	gmhB//iscS//
rpsP_rimM_trmD_rplS	upp//
rpsU_dnaG_rpoD	hisH//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	patD//ppk//
rsmA_apaGH	dusB//nudE//
rsmD_yhhL	trmA//
rsmE_gshB	ilvB//purC//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	pabB//cpsG//menC//anmK//idnK//sdaA//deoD//amyA//ldcA//yjiA//xdhA//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	yhhW//
rtcBA	ybiV//aceA//
rutABCDEFG	dusA//ydiF//mqo//emtA//speF//nemA//
ruvAB	hdhA//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	trpC//
scpA_argK_scpBC	napH//nfi//ubiE//rpe//
sdaCB	yfdE//polA//
sdhCDAB_sucABCD	yjiA//yhdH//alsK//idi//
sdhDAB	
sdhE_cptA	
secB_gpsA	der//
secE_nusG	
secG_leuU	
secMA_mutT	eutC//
selAB	truD//luxS//
selD_topB	menF//preT//
seqA_pgm	prs//
serB_radA	aes//
serC_aroA	otsA//coaE//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	pgm//
sgrST_setA	gpp//
skp_lpxD_fabZ_lpxA	fbaA//entB//yniC//
slp_dctR	
solA_yceO	murB//
speAB	glmS//leuD//
speF_potE	sdaB//yihT//
srlAEBD_gutM_srlR_gutQ	melA//pepD//ispU//
sroG_ribB	ugd//
sspAB	
ssrS_fau	nudK//
ssuEADCB	thiG//fkpB//curA//
stfE_tfaE	
sucAB	fsaA//mpl//dinB//
sucABCD	mhpF//serS//mcrB//recO//
sufABCDSE	mgsA//
surA_pdxA_rsmA_apaGH	argS//serC//gmk//napG//
tag_yiaC	cysS//
talA_tktB	sdhC//aslA//
tamAB_ytfP	
tar_tap_cheRBYZ	maa//glnA//
tatABC	epmB//
tatABCD	argA//rsmJ//
tauABCD	tsaE//nirD//
tdcABCDEFG	mog//glk//truD//glf//glpD//
tdcBCDEFG	argE//ygjK//mhpF//queG//eptC//
tehAB	glpQ//napA//
tesA_ybbO	serS//hpt//
tff_rpsB_tsf	
tgt_yajC	yjhG//
thiCEFSGH	hycG//glk//cpsB//nudJ//citX//
thiMD	acpS//hcp//
thrLABC	patZ//arnT//pncB//
thrS_infC	gpt//
thrS_infC_rpmI_rplT_pheMST_ihfA	fre//fbaB//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	ruvC//iaaA//
tolB_pal_cpoB	
tolC_ygiABC	thrA//xapA//puuD//lpxL//entB//argI//eda//fumB//mhpF//
tomB_hha	
topAI_yjhQ	
torCAD	ldtD//
torYZ	glmM//
treBC	fadD//lpxM//
trmI_yggL	kdsC//
trpCBA	waaZ//deoB//mnmG//ltaE//
trpLEDCBA	aldB//yagE//mcrB//yjjG//rlmC//hemA//
tsaB_yeaY	rdoA//
tsaE_amiB_mutL_miaA_hfq_hflXKC	glyS//mhpF//phnM//acpS//rlmA//
ttdABT	eptA//iscS//
tyrS_pdxY	mhpF//nadK//
tyrTV_tpr	
tyrV_tpr	
ubiCA	dgkA//kefF//
ubiEJB	trmA//
udk_dcd	selB//kefF//
ugpBAECQ	accC//rfbB//
uhpABC	
uidABC	selD//manA//
ulaABCDEF	alaS//ppc//bglB//mutS//
umpG_pcm	nemA//puuD//
umuDC	yigL//
uof_fur	
upp_uraA	rsmI//miaB//
usg_truA_dedA	metH//
uvrYC	mnmA//
uxaCA	eptC//ada//
uxuAB	truD//kbaY//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	selA//mobA//
waaQGPSBOJYZU	rutC//lpxH//tdcG//sodC//sseA//pagP//ygjK//rihC//lysS//nhoA//
waaYZ	mhpE//hemL//
waaZU	nanM//cobB//
wbbIJK	paaI//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	xdhC//plsC//paoA//bglA//upp//amyA//
wcaKLM	
wrbA_yccJ	truA//
wza_wzb_wzc	rbn//nrdB//
wza_wzb_wzc_wcaAB	phnL//recR//
xanQ_guaD_ghxQ	yjcS//yjcS//ilvA//
xapAB	rlmA//opgB//
xdhABC	puuC//
xerD_dsbC_recJ	xylA//queD//
xseB_ispA_dxs_yajO	hisH//pgi//thiL//argC//
xylAB	tig//glnE//
xylFGHR	caiA//
yabPQ	
yacC_speED	pagP//cobT//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	ubiH//
yafDE	
yafNOP	frlB//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	astD//torY//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	argS//
ybaB_recR	waaG//
ybaST	adeD//
ybbAP	
ybbY_glxK	xapA//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	cysQ//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	dkgA//
ybeZY	
ybeZYX_lnt	mcrB//
ybfHG	
ybfOC	
ybgA_phr	rihB//
ybgC_tolQRA	
ybgIJKL_nei	aceF//
ybgQPO	
ybhP_clsB_ybhN	hisS//
ybiYW	
ybjC_nfsA_rimK_ybjN	opgB//ulaE//
ybjJI	yieH//
ybjO_rlmC	mog//
ybjQ_amiD	ruvB//
ycaI_msbA_lpxK_ycaQ	yeaG//phnL//
ycaR_kdsB	gltX//
ycbK_gloC	tdcB//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	galT//
yciCB	
yciGFE	
yciK_btuR	nfsA//
yciVOQ	dxs//
yciZT	
ycjMNOPQRSTUV_ymjB	pncB//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	leuA//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	hinT//poxB//
ydcSTUV_patD	ilvG_1//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	acnA//
ydgK_rsxABCDGE_nth	selB//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	pgl//lpxA//
ydiJ_menI_ydiH	fkpA//
ydiNB_aroD	glmU//glmU//
ydiQRST_fadK	ispE//
ydjA_selD_topB	nth//phnI//
ydjLKJIHG	fkpA//
ydjXYZ_ynjABCD	
yeaGH	uxaA//
yeaR_yoaG	
yeaVW	
yebC_ruvC	uvrA//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	gmhB//waaG//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	argB//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	kduI//ltaE//
yejABEF	yiaK//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	dgt//
yfaX_rhmD	
yfaX_rhmD_yfaVU	anmK//
yfbUT	ada//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	cfa//
