# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	phnP//
cysJIH	nrfA//dfp//cobS//
cysPUWAM	rpiB//pheT//gstB//
dadAX	moeA//acpH//
damX_dam_rpe_gph_trpS	gmm//sgbH//dacA//wbbI//
dam_rpe_gph_trpS	ogt//ygiF//ldcA//feaB//
dapA_bamC	sodC//
dapE_ypfN	mnmG//
dcm_vsr	glyS//
dcuB_fumB	yrfG//yajO//
dcuSR	
dcyD_tcyLN	sdhD//yfiC//
ddpXABCDF	gabT//
def_fmt	manA//hcp//
degQS	melA//valS//
deoABD	pdxK//dgcC//ybdL//
deoBD	spoT//accB//
deoCABD	ppsA//mdh//panE//kdsC//
dgoRKADT	arnC//frdC//ilvA//aldB//
dhaKLM	hisS//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	ispF//malS//
dinJ_yafQ	rffH//
dksA_gluQ	ppsA//
dmsABC	mhpF//
dnaAN_recF	xthA//
dnaK_tpke11_dnaJ	menD//
dnaN_recF	sgbU//
dnaTC	
dnaTC_yjjA	
dosCP	tig//hycE//
dpiBA	
dppABCDF	fbaA//
dsbC_recJ_prfB	dxs//mutL//
dsbD_yjdC	
dsdXA	purN//ydiB//
dusB_fis	roxA//
dut_slmA	psuK//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	pyrB//menI//
efeOB	waaP//
efeU_1U_2	
elbB_mtgA	bglX//
elfDCG_ycbUVF	
emrKY	fkpB//
entCEBAH	cyoE//ppiC//plsC//rimK//ispA//pdxJ//
envY_ompT	idnO//
epd_pgk	fcl//pnp//
epd_pgk_fbaA	pykA//folC//cheB//
essD_rrrD_rzpD	etk//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	xthA//
eutHA	
eutNEJG	
eutSPQTDM	gloC//
evgAS	
exbBD	
fabDG_acpP	mltD//pspE//
fabG_acpP	ygiF//
fabHDG	thiE//waaJ//fes//
fabR_yijD	
fadBA	rluF//acpS//
fadD_sroD	nfi//
fadIJ	oxc//yagE//
fdnGHI	
fdoGHI_fdhE	fdhF//
fdrA_ylbEF_ybcF	cpsB//
fecABCDE	leuA//maeA//
fecIR	
feoABC	fdhF//
fepA_entD	argB//metF//hdhA//
fepDGC	allB//
fes_ybdZ_entF_fepE	mhpD//yqaB//hisD//
fetAB	
fhuACDB	pykF//adk//
ficA_fic_pabA	frmB//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	gpmM//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	slt//tynA//
folC_dedD	yneH//
folD_ybcJ	mpaA//
folE_yeiB	mngB//
folP_glmM	truA//phnM//
folX_yfcH	purE//
frdABCD	torY//
frlABCDR	thrS//nudG//yfiH//recJ//
frmRAB	eutD//accA//
fruBKA	fabA//kdsC//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	hpt//rlmD//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	nadB//ydbC//rhaB//ribA//fruK//allB//purM//xthA//edd//gpsA//
ftsQAZ	
ftsYEX	
fucAO	nhoA//hyaB//
fucPIKUR	ygeX//pgpC//queA//acpT//
fumAC	hemD//ribB//
fusA_tufA	
gabDTP	aceA//glcD//metL//
gadAX	speE//
gadBC	malQ//menA//
gadEF	
gadEF_mdtEF	yghA//
gadXW	
galET	ybdL//dosP//
galETK	tmk//bfr//glnA//
galETKM	gpmM//fre//metK//yhdH//
gapA_yeaD	yfaU//
gapC_1C_2	
garPLRK_rnpB	rluE//lsrF//dsdA//surA//cheR//hyaA//
gatYZABCD	mcrA//yagE//psuG//
gatZABCD	hyi//ilvA//glpX//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	icd//lpxM//tsaC//thrB//thiG//
gcvTHP	nfsA//relA//ligB//
gfcBCD	
gfcE_etp_etk	rimK//ghrB//
ghoST	rnb//
glcBA	pgpB//ybbO//
glcDEFGBA	maa//pgi//dxs//
glf_wbbH	argE//
glgAP	kbl//dadX//
glgBXCAP	speC//bioA//gatY//tesA//caiC//
glgCAP	patZ//entC//clsC//
glmUS	alaS//aes//
glnALG	glgC//
glnHPQ	gltB//
glnK_amtB	tyrB//
glnLG	
glnW_metU_glnVX	
glpABC	can//
glpEGR	hisI//cysJ//
glpFKX	accD//fruK//yagE//
glpGR	gltD//
glpTQ	galT//lpoA//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	trmD//
glvCBG_ysdC	
glyQS	ilvG_1//
glyVXY	
glyW_cysT_leuZ	
gntKU	katE//ispF//
gntRKU	thyA//coaD//
gntX_nfuA	
gpmM_envC_yibQ	speF//truD//
groSL	
gspAB	
gspCDEFGHIJKLMO	pgsA//
guaBA	fabA//glgC//
gudPXD	pdxJ//frdC//
hcaEFCBD	dacA//dadX//
hcp_hcr	gmm//nrdD//
hdeAB_yhiD	
hemA_prfA_prmC	rfaD//astD//
hemCDXY	cobT//mpl//
hflD_purB	hisS//
hfq_hflXKC	cynS//
hicAB	
higBA	patA//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	ugpQ//dmsC//glnS//fabI//
hipBA	citF//
hisBHAFI	nadK//ubiI//glpX//nadK//
hisJQMP	glyQ//cpdA//
hisLGDCBHAFI	kdsA//prs//galM//sucA//xdhB//ldhA//bcsB//
hofMNOP	
holC_valS	fadK//
holD_rimI_yjjG	phnI//kbl//
hscBA_fdx_iscX	sdhB//
hsdMS	gmk//
hsdRMS	pgpA//
hslRO	
hslVU	umpH//
hyaABCDEF	
hybOABCDEFG	curA//
hycABCDEFGHI	upp//treF//
hydN_hypF	pgi//
hyfABCDEFGHIJR_focB	lysS//
hypABCDE	pdeF//
hypABCDE_fhlA	mtn//
hypBCDE	rhaM//
hypBCDE_fhlA	maa//
iaaA_gsiABCD	ansB//trmJ//
ibaG_murA	bglX//
ibpAB	
idnDOTR	tpiA//mltF//fabG//
ileS_lspA_fkpB_ispH	lpxL//dnaE//hemL//mnmA//
ilvEDA	ndh//yggF//mocA//dgoD//
ilvIH	bcsB//
ilvLXG_1G_2MEDA	ynjE//serS//pspE//cobT//pbpC//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	ribE//
insN_1I_1O_1	asd//
insO_2_yjhWV	
iscRSUA	lpxC//mocA//
ispDF	entF//dcyD//
ispG_sroE	ascB//
isrC_flu	
ivbL_ilvBN	pykA//
ivbL_ilvBN_uhpABC	accD//
kbaZ_agaVWA	dld//
kbl_tdh	ydiO//nanK//
kdpDE	
kdpFABC	folC//
kdsC_lptCAB	nagA//hflX//
kefFC	prpC//malP//
kefGB_yheV	narV//
kilR_ydaE	
lacYA	yieH//fdhF//
lacZYA	ycaO//metL//srlD//
lapAB	
lapAB_pyrF_yciH	lldD//
lepAB	tpiA//
leuLABCD	nrfB//hemN//treA//
leuQPV	
leuS_lptE_holA_nadD_cobC	araA//hycB//hemB//
lexA_dinF	
lgt_thyA	dgcC//adeD//
ligA_ypeB	asnA//
livKHMGF	gatD//galM//
lldPRD	tehB//asnS//
lolA_rarA	
lolB_ispE_prs	insI-3//phnJ//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	hisA//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	putA//dhaL//
lptFG	
lspA_fkpB_ispH	katE//dgt//gatY//
lsrACDBFG_tam	rsmC//waaA//rlmM//ygeX//
lsrRK	purM//
ltaE_ybjT	fadH//
lysT_valT_lysW	
macAB	rihB//
malEFG	hycF//
malK_lamB_malM	nrdB//srlD//
malPQ	uxuA//hinT//
malXY	thrS//ansA//
manXYZ	talA//
map_glnD_dapD	ilvD//mltB//malP//
marRAB	
mazEFG	folC//
mcrBC	proA//
mdlAB	
mdtABCD_baeSR	cyoE//
mdtEF	pncA//
mdtJI	dacC//
mdtM_yjiN	ldtB//
mdtNOP	recR//
melAB	phnN//aceA//
menA_rraA	insI-3//
menBCE	hemD//cheR//hyaA//
menDHBCE	acpS//umpG//lsrG//rfaD//dhaL//
menFDHBCE	ydiB//rffM//yfbT//pgk//pgaD//nudE//
metBL	alaS//deoB//
metNIQ	galT//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	appA//sdhC//nrdB//
metZWV	
mglAC	cheR//
mglBAC	pyrB//
mgtLA	uxaA//
mhpABCDFE	bioA//hyuA//lpoB//aroG//lsrG//hisA//
mhpR_lacI	
miaA_hfq_hflXKC	trmO//serB//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	ilvM//speG//
mnaT_ydcZ	mltD//
mngAB	ubiH//yeiG//
mnmG_rsmG	manA//nirD//
mntR_ybiR	
moaABCDE	tpiA//yieF//
moaBCDE	scpB//
mobAB	ampC//
modABC	frmA//
modEF	
moeAB	rhaD//hycF//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	galK//
mqsRA	rfaE//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	ligB//purK//ybjG//yjhG//hycG//accD//fabA//iscS//fumC//cheR//fabZ//
mreBCD	
mreCD	
msrPQ	
mtlADR	deoB//yicI//bioB//
mtn_btuF_yadS	ruvB//nudC//
murB_birA	fbaA//yihU//
murQP	eutD//nudF//dgcT//
murQP_yfeW	pssA//pheA//nfsA//cysG//
mutL_miaA_hfq_hflXKC	pphA//rffT//mepS//
mutY_yggX	ribF//
mutY_yggX_mltC	pyrH//aspC//
mutY_yggX_mltC_nupG	fucU//roxA//rbn//
nadA_pnuC	umuC//ilvH//
nagBAC_umpH	sucC//bglA//proC//
nagK_cobB	cueO//mobA//
nanATEK_yhcH	ldcC//ispE//sdhD//dcd//
nanCM	mpl//nagB//
nanCMS	pepD//fumA//
napFDAGHBC	tcdA//
napFDAGHBC_ccmABCDEFGH	patZ//nagK//
narGHJI	atoD//
narWV	dusB//
narXL	
narZYWV	ubiA//
nemRA	bioD//
nemRA_gloA	pgpC//uxuA//
nfrBA	
nhaAR	valS//
nikABCDER	hycB//
nirBDC_cysG	tdcD//rutD//mnmA//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	pheA//
nrdAB_yfaE	mhpF//
nrdDG	lipA//truC//
nrdHIEF	acnB//
nrdR_ribDE_nusB_thiL_pgpA	xylA//sodA//phnJ//kbl//
nrfABCDEFG	yccX//
nsrR_rnr_rlmB_yjfI	ubiD//lhgO//
nudB_yebC_ruvC	tsaE//ybiV//
nudC_hemE_nfi	yjiA//cmoB//
nudF_yqiB_cpdA_yqiA_parE	amn//umpG//
nuoABCEFGHIJKLMN	gatY//
nuoMN	alkB//
ompR_envZ	
opgGH	
oppABCDF	pdeR//bglA//
osmF_yehYXW	murG//
otsBA	glnS//rutC//
paaABCDEFGHIJK	dxr//gabD//ydiF//glgB//cmoA//phnG//fadB//
paaXY	ligB//
pabB_nudL	tsaE//metE//
pabC_mltG_tmk_holB_ycfH	ubiG//dgcT//folX//
panBC	arnB//menB//
panE_yajL	citG//
paoABCD	nhoA//
pcnB_folK	wzc//yfeW//
pdeI_dgcI	
pdhR_aceEF_lpd	rlmH//argS//lpxD//dgoK//dld//prpE//
pdxA_rsmA	dacA//ribF//
pdxA_rsmA_apaGH	citD//accB//pgpC//
pdxB_usg_truA_dedA	coaE//ruvC//
pdxH_tyrS_pdxY	ydiF//argD//btuE//
pdxJ_acpS	gcvP//mhpC//
pepQ_yigZ_trkH_hemG	thiE//yqhD//hemA//
pflDC	
pgaABCD	metB//cof//insI-3//
pgk_fbaA	rnt//tdcD//
pgpC_tadA	agp//gpt//
pheLA	glgX//
pheMST_ihfA	aroG//
phnCDE_1E_2FGHIJKLMNOP	suhB//yihT//yghA//nadA//pyrF//astA//fadA//
phnLMNOP	mocA//thrC//paaY//thrB//rlmM//
phoA_psiF	adhP//
phoBR	
phoPQ	
pldB_yigL	metB//napH//
plsX_fabHDG	ubiH//lpd//waaS//
pntAB	
potABCD	tdcB//
potFGHI	moeB//
poxB_ltaE_ybjT	mtlD//glcD//
ppdAB_ygdB_ppdC_recC	purA//
ppdD_hofBC	
ppiB_lpxH	dinB//ileS//
ppk_ppx	tyrA//atoB//
pqiAB	
preTA	nhoA//
prfB_lysS	nadA//
priC_ybaM	
prlC_rsmJ	trpA//rbsD//
prlF_yhaV	ybhA//
prmB_aroC_mepA_yfcA_epmC_yfcL	rutD//gapA//nrfD//cyoE//
proBA	glmU//glnS//
proQ_prc	nrdD//
proVWX	queA//
prpBCDE	tdcD//aroD//malY//accD//
psd_mscM	
pspABCDE	ilvC//
pspBCDE	rsgA//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	moeB//btuE//
pth_ychF	birA//
ptrA_recBD	hisA//yjeF//
ptsA_fsaB_gldA	uvrC//umuC//
ptsHI_crr	dadA//paoA//paoB//
purEK	ogt//yfdE//
purHD	paaJ//idnK//
purMN	fabB//mtgA//
puuAP	hcaE//srlD//
puuCBE	sdaA//argG//treA//
puuDRCBE	gloB//rsmE//wrbA//nrdD//
pyrF_yciH	gutQ//
pyrG_eno	cysH//speE//
pyrLBI	puuB//
qmcA_ybbJ	
qseBC	
radA_nadR	pspE//
rapA_rluA	proC//
ratAB	
ravA_viaA	
rbsDACBKR	glcF//trpA//astA//
rclABC	
rclBC	
rcnAB	rnpA//
rcsDB	
rcsF_trmO	lsrK//
rdgB_yggW	waaZ//
rdoA_dsbA	pgl//thrS//
recAX	
recET_ralR_ydaC_xisR_intR	ilvG_1//pspE//
relA_mazEF	rsmI//
relBE	bcsB//
relBE_hokD	sgbE//
renD_emrE	ldtC//
rfaD_waaFCL	mobA//treA//surA//gmm//
rfbACX	feaB//murQ//trpA//prpB//
rfbBDACX	rffG//dgkA//ldtA//idnD//hinT//idnK//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	citX//tsaB//uxuA//idnD//dhaK//menD//napG//nanA//rluF//
rhaBAD	speE//gatZ//purC//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	btuR//folK//menE//
ribF_ileS_lspA_fkpB_ispH	murB//ribA//gudD//paaZ//rfaE//
rimK_ybjN	ubiC//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	hycE//cobT//bioF//fre//aceA//hisF//puuD//deoB//uxuB//pyrE//
rlmE_ftsH	nirB//fau//
rlmL_uup	epmB//
rluD_yfiH	selB//nadB//
rluE_nudJ	rsuA//gltB//
rnc_era	ribF//
rnc_era_recO_pdxJ_acpS	gpsA//galT//pgi//eptC//
rnlAB	ampC//
rnt_lhr	glcB//
rpe_gph_trpS	queC//mutS//aldA//
rph_pyrE	bioF//ribE//
rpiR_alsBACE	dnaE//entD//
rplJL_rpoBC	apt//
rplKAJL_rpoBC	scpA//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	paaB//
rpmF_plsX_fabHDG	ilvH//acpS//rsmH//
rpmH_rnpA	pgaB//fumB//
rpmI_rplT	
rpoBC	cysM//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	nadK//treA//ulaF//
rppH_ptsP	mpaA//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	paoA//
rpsO_pnp	nemA//eptA//
rpsP_rimM_trmD_rplS	gabT//
rpsU_dnaG_rpoD	clsC//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	garD//hemL//
rsmA_apaGH	paaJ//pepD//
rsmD_yhhL	aroH//
rsmE_gshB	mtgA//rutE//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	fsaA//pabB//fadI//cobS//glpK//dgkA//hinT//phnG//yiaK//yihV//sgbU//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	dkgA//
rtcBA	phnL//cmoB//
rutABCDEFG	ada//ilvN//truB//pfkB//udk//mltC//
ruvAB	glpX//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	lhgO//
scpA_argK_scpBC	recF//ftnA//thrC//allC//
sdaCB	phnH//rsmC//
sdhCDAB_sucABCD	garL//cysJ//add//tyrA//
sdhDAB	
sdhE_cptA	
secB_gpsA	tilS//
secE_nusG	
secG_leuU	
secMA_mutT	cheR//
selAB	pflB//yfiC//
selD_topB	ribA//lhgO//
seqA_pgm	waaU//
serB_radA	cysD//
serC_aroA	sdhD//yfbR//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	rutE//
sgrST_setA	dhaM//
skp_lpxD_fabZ_lpxA	thiE//wecC//acpS//
slp_dctR	
solA_yceO	cadA//
speAB	ilvM//ruvC//
speF_potE	ampC//rlmD//
srlAEBD_gutM_srlR_gutQ	pphB//metG//ynfH//
sroG_ribB	pck//
sspAB	
ssrS_fau	yhdH//
ssuEADCB	glpC//purK//ugpQ//
stfE_tfaE	
sucAB	nfi//yihS//astC//
sucABCD	narZ//cpsB//ribE//alsK//
sufABCDSE	mhpC//
surA_pdxA_rsmA_apaGH	frlB//idnO//umpH//lplA//
tag_yiaC	queG//
talA_tktB	apaH//trpC//
tamAB_ytfP	
tar_tap_cheRBYZ	dgoA//citE//
tatABC	yceF//
tatABCD	gor//yeaG//
tauABCD	cysN//rffG//
tdcABCDEFG	mhpD//pepD//pdxH//alaS//pgi//
tdcBCDEFG	hflX//epmC//nirD//glpK//adk//
tehAB	citD//ugd//
tesA_ybbO	arsC//eda//
tff_rpsB_tsf	
tgt_yajC	fumC//
thiCEFSGH	ribB//deoA//lacZ//astA//tsaB//
thiMD	hpt//glmS//
thrLABC	ldtE//ubiF//rsmC//
thrS_infC	yihS//
thrS_infC_rpmI_rplT_pheMST_ihfA	slyD//rlmF//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	mazG//nadK//
tolB_pal_cpoB	
tolC_ygiABC	rfaD//cadA//narH//glcB//tdcB//cheR//argH//rlmM//eda//
tomB_hha	
topAI_yjhQ	
torCAD	dgoK//
torYZ	rffG//
treBC	argD//eptA//
trmI_yggL	zwf//
trpCBA	opgB//phnJ//def//wecB//
trpLEDCBA	puuA//dgcM//allC//eptB//caiA//ribD//
tsaB_yeaY	tesB//
tsaE_amiB_mutL_miaA_hfq_hflXKC	lacZ//frlC//dgcP//glpA//guaD//
ttdABT	rlmJ//ssuE//
tyrS_pdxY	mrdA//tcdA//
tyrTV_tpr	
tyrV_tpr	
ubiCA	gpsA//prpE//
ubiEJB	alr//
udk_dcd	metL//umpG//
ugpBAECQ	ubiE//fau//
uhpABC	
uidABC	frdC//scpC//
ulaABCDEF	pykA//frlB//narZ//ldcC//
umpG_pcm	nrdA//hypB//
umuDC	dgcC//
uof_fur	
upp_uraA	hemE//yfiC//
usg_truA_dedA	nudF//
uvrYC	rsmA//
uxaCA	scpA//menH//
uxuAB	ispG//dacC//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	pldB//menD//
waaQGPSBOJYZU	rlmM//yigL//caiD//eptB//hisS//lpxP//thiH//fadD//rsmJ//leuA//
waaYZ	prpD//tdcB//
waaZU	yciA//bacA//
wbbIJK	allB//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	ligA//glgC//yjcS//dmlA//folP//nudB//
wcaKLM	
wrbA_yccJ	tauD//
wza_wzb_wzc	aroF//mutT//
wza_wzb_wzc_wcaAB	sodA//rpiB//
xanQ_guaD_ghxQ	katE//pdeR//feaB//
xapAB	leuC//rlmL//
xdhABC	paaH//
xerD_dsbC_recJ	glyQ//cysS//
xseB_ispA_dxs_yajO	waaG//metF//purM//aceB//
xylAB	arsC//cyaA//
xylFGHR	nudL//
yabPQ	
yacC_speED	moaA//ribE//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	tam//
yafDE	
yafNOP	ilvM//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	dinB//ydbC//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	deoB//
ybaB_recR	tyrS//
ybaST	paoB//
ybbAP	
ybbY_glxK	lplA//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	rlmM//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	astA//
ybeZY	
ybeZYX_lnt	kdsC//
ybfHG	
ybfOC	
ybgA_phr	sodC//
ybgC_tolQRA	
ybgIJKL_nei	paaB//
ybgQPO	
ybhP_clsB_ybhN	yjhH//
ybiYW	
ybjC_nfsA_rimK_ybjN	folM//oxc//
ybjJI	cadA//
ybjO_rlmC	dsdA//
ybjQ_amiD	mog//
ycaI_msbA_lpxK_ycaQ	mhpF//nudF//
ycaR_kdsB	patD//
ycbK_gloC	argE//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	ilvI//
yciCB	
yciGFE	
yciK_btuR	panB//
yciVOQ	amiD//
yciZT	
ycjMNOPQRSTUV_ymjB	acpT//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	rrrD//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	nadC//glpB//
ydcSTUV_patD	cobB//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	treC//
ydgK_rsxABCDGE_nth	cpsG//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	hdhA//uidA//
ydiJ_menI_ydiH	xdhC//
ydiNB_aroD	efeB//ddlB//
ydiQRST_fadK	dkgB//
ydjA_selD_topB	argA//glyS//
ydjLKJIHG	glcF//
ydjXYZ_ynjABCD	
yeaGH	hisS//
yeaR_yoaG	
yeaVW	
yebC_ruvC	moeB//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	rbn//mhpC//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	frdB//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	dgcM//dapE//
yejABEF	treC//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	garL//
yfaX_rhmD	
yfaX_rhmD_yfaVU	nadC//
yfbUT	cadA//
yfcUTSRQPO	
yfdGHI	
