# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	napC//
bioBFCD	ubiG//rutC//fkpB//hycF//
brnQ_proY	xylA//cheR//
btuB_murI	mqo//rhaD//
btuCED	dut//treF//
cadBA	glpX//glxK//
caiCDE	pabC//trpC//
caiTABCDE	umpG//waaJ//allD//slyD//thiM//
carAB	rutE//
casABCDE12	uvrC//
casDE12	gmd//
cbpAM	
cbrBC	
ccmABCDEFGH	waaF//
cecR_ybhGFSR	
chaBC	
chbBCARFG	edd//gmd//fumA//
chiP_ybfN	pgpC//
chpSB	pinE//
citCDEFXG	asnA//ydiO//xdhB//
clpPX	nadB//trpD//gmhB//glk//
clpX_lon	fumB//avtA//fadD//
clsA_yciU	ycjU//
cmk_rpsA	deoA//
cmoM_mukFEB	
cmtBA_yggPFDC	gmk//hemN//
coaE_zapD_yacG	gltA//
cobUST	uxuB//yfbR//patA//
codBA	ppiA//opgB//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	ilvM//
csgBAC	
csgDEFG	ugpQ//
csiD_lhgO_gabDTP	umpH//anmK//udk//glgC//
cusCFBA	proC//
cusRS	
cvpA_purF_ubiX	ppiA//murD//
cydAB	dosP//
cydDC	alr//
cydX_ybgE	frc//
cynTS	frmB//allE//
cynTSX	dnaE//yeiG//ung//
cyoABCDE	nagK//proB//
cysDNC	prmC//ampD//
cysJIH	fau//yahK//cheR//
cysPUWAM	ydbC//aroH//yeiR//
dadAX	yciA//gatD//
damX_dam_rpe_gph_trpS	thiM//dgkA//plsB//fes//
dam_rpe_gph_trpS	gatD//rluC//uidA//edd//
dapA_bamC	lpxB//
dapE_ypfN	kdsD//
dcm_vsr	ubiE//
dcuB_fumB	bioD//qor//
dcuSR	
dcyD_tcyLN	menD//luxS//
ddpXABCDF	abgA//
def_fmt	murE//bcsB//
degQS	tadA//otsA//
deoABD	menA//nagK//guaC//
deoBD	bcsA//rsmC//
deoCABD	hcp//glxR//nanA//cpsB//
dgoRKADT	panE//eutB//manA//pdeH//
dhaKLM	ldtA//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	glnA//clsC//
dinJ_yafQ	waaQ//
dksA_gluQ	apt//
dmsABC	iscS//
dnaAN_recF	ubiD//
dnaK_tpke11_dnaJ	phnL//
dnaN_recF	eno//
dnaTC	
dnaTC_yjjA	
dosCP	pdxA//puuE//
dpiBA	
dppABCDF	glgB//
dsbC_recJ_prfB	ispD//gshB//
dsbD_yjdC	
dsdXA	fadB//ubiH//
dusB_fis	argD//
dut_slmA	speD//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	menH//nadD//
efeOB	prpE//
efeU_1U_2	
elbB_mtgA	frdA//
elfDCG_ycbUVF	
emrKY	panB//
entCEBAH	yagE//pspE//ybbO//hmp//pheS//trpE//
envY_ompT	bioH//
epd_pgk	rfbA//plsB//
epd_pgk_fbaA	galE//dgkA//ldhA//
essD_rrrD_rzpD	fadH//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	prpD//
eutHA	
eutNEJG	
eutSPQTDM	yccX//
evgAS	
exbBD	
fabDG_acpP	chbF//ymdB//
fabG_acpP	rhaM//
fabHDG	tktA//gluQ//hcp//
fabR_yijD	
fadBA	prpC//zwf//
fadD_sroD	etk//
fadIJ	treF//queA//
fdnGHI	
fdoGHI_fdhE	folA//
fdrA_ylbEF_ybcF	caiC//
fecABCDE	lpxT//lsrK//
fecIR	
feoABC	trmA//
fepA_entD	menC//cynS//ligA//
fepDGC	glyQ//
fes_ybdZ_entF_fepE	hinT//dld//nrdE//
fetAB	
fhuACDB	opgB//fadI//
ficA_fic_pabA	malS//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	tatD//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	ribA//pgm//
folC_dedD	nagK//
folD_ybcJ	poxB//
folE_yeiB	gpp//
folP_glmM	hmp//fsaB//
folX_yfcH	proB//
frdABCD	mcrC//
frlABCDR	rsmE//yhdJ//miaA//metH//
frmRAB	glpK//tdcD//
fruBKA	csdA//wecC//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	rrrD//mhpC//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	rfbD//pgpA//mnmG//pncA//glcD//wzb//ybjG//murC//rluD//aroG//
ftsQAZ	
ftsYEX	
fucAO	cof//iaaA//
fucPIKUR	selD//qor//rlmJ//ahpF//
fumAC	prpB//yceF//
fusA_tufA	
gabDTP	fumC//phnG//btuR//
gadAX	glyA//
gadBC	nrfB//citX//
gadEF	
gadEF_mdtEF	gsk//
gadXW	
galET	malQ//rsmJ//
galETK	argA//yhdH//plsB//
galETKM	metB//phnJ//argB//hisC//
gapA_yeaD	pgpA//
gapC_1C_2	
garPLRK_rnpB	astA//coaD//lsrF//ung//hemC//cpdA//
gatYZABCD	moeA//eptC//arnA//
gatZABCD	metE//fbaA//kdsD//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	dhaK//mutH//hypF//panD//yihU//
gcvTHP	lysC//glpE//nirD//
gfcBCD	
gfcE_etp_etk	dnaE//abgB//
ghoST	allD//
glcBA	ybaS//recG//
glcDEFGBA	hisC//ruvC//epmC//
glf_wbbH	ybbO//
glgAP	glpE//speC//
glgBXCAP	srlD//dgoA//gutQ//apt//fdhF//
glgCAP	insI-1//thiH//amyA//
glmUS	lldD//aspA//
glnALG	mgsA//
glnHPQ	glpE//
glnK_amtB	hflX//
glnLG	
glnW_metU_glnVX	
glpABC	tag//
glpEGR	glcB//nadB//
glpFKX	fbp//tsaE//hisD//
glpGR	nhoA//
glpTQ	cysD//tdcB//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	rihA//
glvCBG_ysdC	
glyQS	bioB//
glyVXY	
glyW_cysT_leuZ	
gntKU	rsuA//pdxA//
gntRKU	ndh//ydjG//
gntX_nfuA	
gpmM_envC_yibQ	ybcF//thrA//
groSL	
gspAB	
gspCDEFGHIJKLMO	tsaB//
guaBA	rluF//fabZ//
gudPXD	plsC//yhhW//
hcaEFCBD	cdd//mltB//
hcp_hcr	menC//yjiA//
hdeAB_yhiD	
hemA_prfA_prmC	gshB//malZ//
hemCDXY	gor//galT//
hflD_purB	mpl//
hfq_hflXKC	glpC//
hicAB	
higBA	tesB//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	ribB//pinE//nfsA//tynA//
hipBA	ilvA//
hisBHAFI	trmH//ahpC//paaE//folM//
hisJQMP	folC//citF//
hisLGDCBHAFI	ftnA//epmB//dapB//ulaE//sodC//yccX//gudD//
hofMNOP	
holC_valS	glnA//
holD_rimI_yjjG	spoT//ribA//
hscBA_fdx_iscX	yeaG//
hsdMS	ispA//
hsdRMS	mltF//
hslRO	
hslVU	lacZ//
hyaABCDEF	
hybOABCDEFG	cdh//
hycABCDEFGHI	fadA//allB//
hydN_hypF	paaB//
hyfABCDEFGHIJR_focB	lipA//
hypABCDE	fadA//
hypABCDE_fhlA	xdhC//
hypBCDE	yliI//
hypBCDE_fhlA	gatD//
iaaA_gsiABCD	ldtB//waaU//
ibaG_murA	prpE//
ibpAB	
idnDOTR	thiI//rsmJ//relA//
ileS_lspA_fkpB_ispH	paaJ//ligA//ygaP//prs//
ilvEDA	tdcD//recF//frdA//rutA//
ilvIH	mutH//
ilvLXG_1G_2MEDA	preA//panE//guaD//eutC//deoA//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	dnaQ//
insN_1I_1O_1	kefF//
insO_2_yjhWV	
iscRSUA	pykF//tpiA//
ispDF	gshA//trmH//
ispG_sroE	selB//
isrC_flu	
ivbL_ilvBN	hcaC//
ivbL_ilvBN_uhpABC	mltB//
kbaZ_agaVWA	recR//
kbl_tdh	murI//dgcC//
kdpDE	
kdpFABC	plsC//
kdsC_lptCAB	napC//rsmE//
kefFC	gmd//accA//
kefGB_yheV	ycaO//
kilR_ydaE	
lacYA	citG//pncA//
lacZYA	umuD//hycC//murD//
lapAB	
lapAB_pyrF_yciH	hcp//
lepAB	aceE//
leuLABCD	lsrF//pgaC//trpB//
leuQPV	
leuS_lptE_holA_nadD_cobC	panD//ybaS//murB//
lexA_dinF	
lgt_thyA	plsB//folP//
ligA_ypeB	speA//
livKHMGF	yibQ//cysC//
lldPRD	pgaB//dgt//
lolA_rarA	
lolB_ispE_prs	wecC//betB//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	pgl//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	prs//hisI//
lptFG	
lspA_fkpB_ispH	mtn//murC//paaZ//
lsrACDBFG_tam	ldtA//pgk//allB//pyrD//
lsrRK	dhaL//
ltaE_ybjT	ghrB//
lysT_valT_lysW	
macAB	rfbA//
malEFG	rhaD//
malK_lamB_malM	mcrB//dgcT//
malPQ	frdB//ybjG//
malXY	ygiF//glyA//
manXYZ	kefF//
map_glnD_dapD	entE//codA//ispE//
marRAB	
mazEFG	ispD//
mcrBC	efeB//
mdlAB	
mdtABCD_baeSR	dgkA//
mdtEF	kdsA//
mdtJI	dhaK//
mdtM_yjiN	nadA//
mdtNOP	yhdJ//
melAB	epd//thrC//
menA_rraA	trmJ//
menBCE	eptA//bioD//pphB//
menDHBCE	arnC//malY//yghA//deoB//ulaD//
menFDHBCE	sdhA//sodC//aceA//nudE//ppx//ttdA//
metBL	umpH//fucA//
metNIQ	bacA//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	aslA//eutB//plsC//
metZWV	
mglAC	preT//
mglBAC	yjcS//
mgtLA	ahr//
mhpABCDFE	torY//cysK//waaZ//trxB//azoR//ulaG//
mhpR_lacI	
miaA_hfq_hflXKC	acs//folD//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	yagF//pldB//
mnaT_ydcZ	rlmJ//
mngAB	sseA//slt//
mnmG_rsmG	poxB//araB//
mntR_ybiR	
moaABCDE	fbaA//ubiH//
moaBCDE	purD//
mobAB	betB//
modABC	ilvD//
modEF	
moeAB	rnpB//hcp//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	ydiF//
mqsRA	menC//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	lpoB//ubiA//kdgK//hcaF//rfbA//paaF//glk//hyaC//narG//speC//frdD//
mreBCD	
mreCD	
msrPQ	
mtlADR	caiC//dkgA//rlmB//
mtn_btuF_yadS	mutY//mhpB//
murB_birA	fadD//alkA//
murQP	frlC//mepS//murF//
murQP_yfeW	ubiD//rpe//frdA//rsmF//
mutL_miaA_hfq_hflXKC	puuB//pnp//apaH//
mutY_yggX	dosC//
mutY_yggX_mltC	lsrF//pgi//
mutY_yggX_mltC_nupG	mrcA//ilvA//glpX//
nadA_pnuC	ghrB//trmJ//
nagBAC_umpH	ruvA//gsk//gcvT//
nagK_cobB	nudB//paaB//
nanATEK_yhcH	feaB//fabF//surA//glmM//
nanCM	lpxC//selA//
nanCMS	trpC//bcsB//
napFDAGHBC	queF//
napFDAGHBC_ccmABCDEFGH	trmA//cdh//
narGHJI	hyi//
narWV	ygjK//
narXL	
narZYWV	accB//
nemRA	waaH//
nemRA_gloA	xdhB//hemA//
nfrBA	
nhaAR	fabH//
nikABCDER	cobB//
nirBDC_cysG	hycD//yceF//fucO//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	rnb//
nrdAB_yfaE	fabH//
nrdDG	rluF//aceF//
nrdHIEF	glcB//
nrdR_ribDE_nusB_thiL_pgpA	paaE//mltA//lpxA//ampH//
nrfABCDEFG	mnaT//
nsrR_rnr_rlmB_yjfI	recO//bcsA//
nudB_yebC_ruvC	gshA//allD//
nudC_hemE_nfi	murC//pgk//
nudF_yqiB_cpdA_yqiA_parE	dusC//queF//
nuoABCEFGHIJKLMN	nadK//
nuoMN	fklB//
ompR_envZ	
opgGH	
oppABCDF	yjjX//menE//
osmF_yehYXW	yggF//
otsBA	scpC//phnP//
paaABCDEFGHIJK	sbcB//deoB//ybbO//rnpB//trpS//mug//chbF//
paaXY	fumC//
pabB_nudL	trpC//puuA//
pabC_mltG_tmk_holB_ycfH	yajO//dhaL//melA//
panBC	yigL//asd//
panE_yajL	torC//
paoABCD	fabG//
pcnB_folK	fkpB//bglX//
pdeI_dgcI	
pdhR_aceEF_lpd	araB//queD//rlmB//aroA//plsB//mnmG//
pdxA_rsmA	ssuD//folK//
pdxA_rsmA_apaGH	frdA//argA//pgi//
pdxB_usg_truA_dedA	speB//mepS//
pdxH_tyrS_pdxY	gcl//pgaD//carA//
pdxJ_acpS	guaA//queC//
pepQ_yigZ_trkH_hemG	murB//pgk//ubiD//
pflDC	
pgaABCD	ampD//truD//dapE//
pgk_fbaA	rlmI//mltC//
pgpC_tadA	bioF//tesB//
pheLA	fadD//
pheMST_ihfA	rluB//
phnCDE_1E_2FGHIJKLMNOP	aphA//gshB//fsaB//galE//tadA//garK//ynfH//
phnLMNOP	mltB//argA//gshA//yicI//rutE//
phoA_psiF	ltaE//
phoBR	
phoPQ	
pldB_yigL	ahr//purF//
plsX_fabHDG	acs//speF//gshB//
pntAB	
potABCD	gluQ//
potFGHI	phnP//
poxB_ltaE_ybjT	aspC//frdC//
ppdAB_ygdB_ppdC_recC	hypF//
ppdD_hofBC	
ppiB_lpxH	hyaB//ampC//
ppk_ppx	lpxB//ascB//
pqiAB	
preTA	aes//
prfB_lysS	hisD//
priC_ybaM	
prlC_rsmJ	mhpE//bglX//
prlF_yhaV	ribC//
prmB_aroC_mepA_yfcA_epmC_yfcL	paaK//nfsB//aceB//gstB//
proBA	lpxH//dapD//
proQ_prc	deoD//
proVWX	valS//
prpBCDE	dcyD//cysD//arnT//yiaY//
psd_mscM	
pspABCDE	waaF//
pspBCDE	dgt//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	pgpB//murG//
pth_ychF	hemG//
ptrA_recBD	atoD//waaZ//
ptsA_fsaB_gldA	yfeW//uxaA//
ptsHI_crr	psuG//dapF//hisB//
purEK	xthA//metC//
purHD	hypF//ligB//
purMN	gatY//kdsB//
puuAP	dcd//abgB//
puuCBE	rluA//hchA//hemE//
puuDRCBE	nagB//ispB//yeiR//fruK//
pyrF_yciH	preT//
pyrG_eno	ubiA//entE//
pyrLBI	menC//
qmcA_ybbJ	
qseBC	
radA_nadR	cfa//
rapA_rluA	ispD//
ratAB	
ravA_viaA	
rbsDACBKR	serA//serC//frc//
rclABC	
rclBC	
rcnAB	yajO//
rcsDB	
rcsF_trmO	epmC//
rdgB_yggW	eutD//
rdoA_dsbA	rsmA//moeA//
recAX	
recET_ralR_ydaC_xisR_intR	hisS//caiA//
relA_mazEF	tadA//
relBE	atoA//
relBE_hokD	gldA//
renD_emrE	dut//
rfaD_waaFCL	phoA//aroB//argH//gatZ//
rfbACX	gcl//murF//dusB//dacD//
rfbBDACX	aceB//betB//cobT//insI-3//adeD//yeaE//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	rlmB//dgcC//ubiE//clsC//wbbI//rihA//frmA//fucI//rsmC//
rhaBAD	hycE//rlmB//phnH//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	rsmA//purB//mnaT//
ribF_ileS_lspA_fkpB_ispH	pdxK//gatD//mltA//gcvT//ispU//
rimK_ybjN	nanM//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	menC//hemE//amiD//yceF//murE//sodA//glk//thrB//nrfD//dam//
rlmE_ftsH	moaD//glmM//
rlmL_uup	nfsB//
rluD_yfiH	ilvA//dusA//
rluE_nudJ	lipA//mug//
rnc_era	allE//
rnc_era_recO_pdxJ_acpS	paoB//paaY//allB//ulaG//
rnlAB	ybiV//
rnt_lhr	rbn//
rpe_gph_trpS	tadA//gutQ//umpH//
rph_pyrE	tktB//dsdA//
rpiR_alsBACE	pdxJ//purT//
rplJL_rpoBC	ghrA//
rplKAJL_rpoBC	yliI//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	ahpC//
rpmF_plsX_fabHDG	yhdH//otsB//dapD//
rpmH_rnpA	rlmB//ribB//
rpmI_rplT	
rpoBC	tdcE//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	lpxM//accA//lysA//
rppH_ptsP	entD//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	sdhA//
rpsO_pnp	gph//rnd//
rpsP_rimM_trmD_rplS	paaE//
rpsU_dnaG_rpoD	talA//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	uxaC//cpsB//
rsmA_apaGH	nudI//ligA//
rsmD_yhhL	abgB//
rsmE_gshB	selB//glgP//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	mdh//yfdR//birA//nadR//eda//nrfA//hisS//yfcF//rimK//asnS//fucK//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	astB//
rtcBA	pyrI//garD//
rutABCDEFG	gpsA//yciA//ubiE//prmB//iscS//fucA//
ruvAB	lsrG//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	azoR//
scpA_argK_scpBC	wecC//ligB//pfkB//cyaA//
sdaCB	folX//dhaK//
sdhCDAB_sucABCD	rfbC//asnA//mltF//epmB//
sdhDAB	
sdhE_cptA	
secB_gpsA	clsA//
secE_nusG	
secG_leuU	
secMA_mutT	mocA//
selAB	mpl//lpxC//
selD_topB	waaZ//mraY//
seqA_pgm	nrdE//
serB_radA	dmlA//
serC_aroA	alsE//aroE//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	entE//
sgrST_setA	metE//
skp_lpxD_fabZ_lpxA	paoC//waaH//fabD//
slp_dctR	
solA_yceO	murC//
speAB	dapE//accA//
speF_potE	pykF//cpsG//
srlAEBD_gutM_srlR_gutQ	can//acs//fkpA//
sroG_ribB	ruvB//
sspAB	
ssrS_fau	dhaM//
ssuEADCB	zwf//fucA//ttdA//
stfE_tfaE	
sucAB	sodC//accC//purK//
sucABCD	mobA//guaB//hycB//eno//
sufABCDSE	recJ//
surA_pdxA_rsmA_apaGH	yfdR//putA//selB//bioA//
tag_yiaC	luxS//
talA_tktB	arnB//tdh//
tamAB_ytfP	
tar_tap_cheRBYZ	queA//cmk//
tatABC	rnd//
tatABCD	ydbC//phnO//
tauABCD	nanK//glnS//
tdcABCDEFG	dhaL//menE//purA//acpS//gpsA//
tdcBCDEFG	fumC//glnE//selA//ppiC//fabZ//
tehAB	paaZ//icd//
tesA_ybbO	tilS//glxK//
tff_rpsB_tsf	
tgt_yajC	clsC//
thiCEFSGH	gabT//lhgO//purN//serS//accB//
thiMD	glyQ//mpl//
thrLABC	gatY//rsmH//trmH//
thrS_infC	cysQ//
thrS_infC_rpmI_rplT_pheMST_ihfA	psuG//scpA//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	metH//yigB//
tolB_pal_cpoB	
tolC_ygiABC	panB//polB//murE//pdeR//uxaC//aceE//hisF//garD//lpxL//
tomB_hha	
topAI_yjhQ	
torCAD	ispH//
torYZ	waaG//
treBC	glk//lpxC//
trmI_yggL	glnS//
trpCBA	gsk//rpiA//lpxL//fcl//
trpLEDCBA	ubiA//amyA//dgcM//trxB//malS//fucI//
tsaB_yeaY	mrdA//
tsaE_amiB_mutL_miaA_hfq_hflXKC	cheR//hisC//bioA//yqhD//ruvC//
ttdABT	astD//add//
tyrS_pdxY	dapB//nudL//
tyrTV_tpr	
tyrV_tpr	
ubiCA	gmd//idi//
ubiEJB	yfcF//
udk_dcd	gatZ//epmC//
ugpBAECQ	phnL//hemL//
uhpABC	
uidABC	rutD//ldtD//
ulaABCDEF	betA//alaC//polB//pgpA//
umpG_pcm	torC//trmO//
umuDC	ulaD//
uof_fur	
upp_uraA	serA//pabC//
usg_truA_dedA	menF//
uvrYC	rsmJ//
uxaCA	dkgB//dcyD//
uxuAB	thrA//sufS//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	fabF//umuC//
waaQGPSBOJYZU	nagK//paaE//frdC//ynfF//atoA//csdA//chbG//malP//alsE//ydiB//
waaYZ	aroH//fadH//
waaZU	recF//glpQ//
wbbIJK	ybiV//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	dmsA//mpl//glpX//mhpF//fabI//cueO//
wcaKLM	
wrbA_yccJ	yrfG//
wza_wzb_wzc	hycE//glpC//
wza_wzb_wzc_wcaAB	rimK//trmH//
xanQ_guaD_ghxQ	ung//yihS//rdgB//
xapAB	yjjX//sdhA//
xdhABC	torZ//
xerD_dsbC_recJ	bioF//folP//
xseB_ispA_dxs_yajO	ubiF//napH//phnP//yjjX//
xylAB	pfkA//cpsG//
xylFGHR	talB//
yabPQ	
yacC_speED	rne//acpH//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	dinB//
yafDE	
yafNOP	mpl//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	bioA//metA//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	glcE//
ybaB_recR	sthA//
ybaST	moeB//
ybbAP	
ybbY_glxK	trpA//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	lipA//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	azoR//
ybeZY	
ybeZYX_lnt	lpxT//
ybfHG	
ybfOC	
ybgA_phr	paoC//
ybgC_tolQRA	
ybgIJKL_nei	murC//
ybgQPO	
ybhP_clsB_ybhN	dgcP//
ybiYW	
ybjC_nfsA_rimK_ybjN	pgpC//tcdA//
ybjJI	hdhA//
ybjO_rlmC	ybiV//
ybjQ_amiD	fadA//
ycaI_msbA_lpxK_ycaQ	ydiF//yhdJ//
ycaR_kdsB	hchA//
ycbK_gloC	pgl//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	deoA//
yciCB	
yciGFE	
yciK_btuR	argI//
yciVOQ	mgsA//
yciZT	
ycjMNOPQRSTUV_ymjB	kbaY//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	astD//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	zwf//dgcZ//
ydcSTUV_patD	mrcA//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	cysI//
ydgK_rsxABCDGE_nth	ybjI//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	hpt//yjhG//
ydiJ_menI_ydiH	pabB//
ydiNB_aroD	aceE//torC//
ydiQRST_fadK	btuE//
ydjA_selD_topB	ampC//thiC//
ydjLKJIHG	fucA//
ydjXYZ_ynjABCD	
yeaGH	rsgA//
yeaR_yoaG	
yeaVW	
yebC_ruvC	ftsI//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	rutB//rihA//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	btuE//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	kdgK//rsmJ//
yejABEF	murI//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	caiA//
yfaX_rhmD	
yfaX_rhmD_yfaVU	lacA//
yfbUT	napA//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	cyoE//
