# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	sucB//
dosCP	kdgK//yjhG//
dpiBA	
dppABCDF	yiaY//
dsbC_recJ_prfB	ubiD//hdhA//
dsbD_yjdC	
dsdXA	hemB//rsmI//
dusB_fis	coaE//
dut_slmA	yigL//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	menE//ilvN//
efeOB	ppa//
efeU_1U_2	
elbB_mtgA	thiC//
elfDCG_ycbUVF	
emrKY	proB//
entCEBAH	rsmI//kdsA//ubiI//gcvP//ilvI//pheS//
envY_ompT	yihX//
epd_pgk	pgaB//lpxC//
epd_pgk_fbaA	lyxK//pphA//deoA//
essD_rrrD_rzpD	hypB//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	katE//
eutHA	
eutNEJG	
eutSPQTDM	gor//
evgAS	
exbBD	
fabDG_acpP	dgt//ldtB//
fabG_acpP	rffT//
fabHDG	torY//tsaD//argK//
fabR_yijD	
fadBA	rnt//katE//
fadD_sroD	asnA//
fadIJ	rne//nudF//
fdnGHI	
fdoGHI_fdhE	idi//
fdrA_ylbEF_ybcF	hmp//
fecABCDE	puuB//hycB//
fecIR	
feoABC	waaQ//
fepA_entD	pdxJ//tdcE//gudD//
fepDGC	eda//
fes_ybdZ_entF_fepE	nrfD//alr//ppiB//
fetAB	
fhuACDB	rlmD//fabI//
ficA_fic_pabA	truA//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	opgB//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	acpH//paoB//
folC_dedD	ppa//
folD_ybcJ	arnC//
folE_yeiB	lpd//
folP_glmM	menB//trpC//
folX_yfcH	aldB//
frdABCD	ligA//
frlABCDR	queD//yhhW//scpB//rbn//
frmRAB	avtA//mcrB//
fruBKA	fabI//mrcA//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	paaY//puuA//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	tdk//udk//katE//glpQ//ispH//prs//mrcA//pheT//bacA//yfaU//
ftsQAZ	
ftsYEX	
fucAO	fbp//rlmG//
fucPIKUR	dadA//yniC//abgB//upp//
fumAC	argG//ampD//
fusA_tufA	
gabDTP	ampC//bioB//tsaC//
gadAX	yfcG//
gadBC	fucU//ulaE//
gadEF	
gadEF_mdtEF	lplA//
gadXW	
galET	pncB//speA//
galETK	truA//aceA//pgsA//
galETKM	glxK//dhaL//aceB//wrbA//
gapA_yeaD	yihU//
gapC_1C_2	
garPLRK_rnpB	ghrB//kefF//dusB//hcaC//purB//mazG//
gatYZABCD	panE//narI//gltA//
gatZABCD	ilvA//aroG//tauD//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	pepD//astD//tatD//sgbU//thyA//
gcvTHP	edd//aphA//gloA//
gfcBCD	
gfcE_etp_etk	mnmA//asnS//
ghoST	yfdE//
glcBA	rfbC//pgl//
glcDEFGBA	hypB//pck//metK//
glf_wbbH	adhP//
glgAP	ghrA//cpdB//
glgBXCAP	rffT//gltX//ynfE//selB//dgoA//
glgCAP	rsmI//gabT//yicI//
glmUS	fabI//truD//
glnALG	frlD//
glnHPQ	ydiO//
glnK_amtB	ispA//
glnLG	
glnW_metU_glnVX	
glpABC	thiG//
glpEGR	tdcE//bioB//
glpFKX	nudL//rfaE//torY//
glpGR	entB//
glpTQ	leuS//mhpC//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	der//
glvCBG_ysdC	
glyQS	cdh//
glyVXY	
glyW_cysT_leuZ	
gntKU	bcsZ//mraY//
gntRKU	glmS//talA//
gntX_nfuA	
gpmM_envC_yibQ	narY//bioH//
groSL	
gspAB	
gspCDEFGHIJKLMO	rluC//
guaBA	aroE//fruK//
gudPXD	entE//waaB//
hcaEFCBD	frlB//entB//
hcp_hcr	phnJ//ackA//
hdeAB_yhiD	
hemA_prfA_prmC	rffT//mhpB//
hemCDXY	yneH//kbaZ//
hflD_purB	kbl//
hfq_hflXKC	aroF//
hicAB	
higBA	cmoA//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	hisG//panD//waaL//ghrA//
hipBA	glmU//
hisBHAFI	mpaA//cobT//mtn//phnL//
hisJQMP	murC//cobT//
hisLGDCBHAFI	folM//araD//waaL//arnA//dxr//ravA//pphB//
hofMNOP	
holC_valS	pyrG//
holD_rimI_yjjG	yeiG//appA//
hscBA_fdx_iscX	tdcD//
hsdMS	hisB//
hsdRMS	rlmJ//
hslRO	
hslVU	bglX//
hyaABCDEF	
hybOABCDEFG	cysC//
hycABCDEFGHI	glpQ//sdhD//
hydN_hypF	nirD//
hyfABCDEFGHIJR_focB	rbn//
hypABCDE	alaA//
hypABCDE_fhlA	tatD//
hypBCDE	glnS//
hypBCDE_fhlA	dgt//
iaaA_gsiABCD	glpC//yjjX//
ibaG_murA	dnaE//
ibpAB	
idnDOTR	napC//yghA//rffC//
ileS_lspA_fkpB_ispH	kefF//otsB//gltD//recJ//
ilvEDA	fsaB//gloB//moaE//ilvG_2//
ilvIH	purH//
ilvLXG_1G_2MEDA	rbsD//trmO//yidA//patA//ppa//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	pdxA//
insN_1I_1O_1	waaU//
insO_2_yjhWV	
iscRSUA	alaA//hdhA//
ispDF	appA//nth//
ispG_sroE	pdeR//
isrC_flu	
ivbL_ilvBN	allE//
ivbL_ilvBN_uhpABC	mnaT//
kbaZ_agaVWA	deoC//
kbl_tdh	yidA//gss//
kdpDE	
kdpFABC	icd//
kdsC_lptCAB	ldtA//caiB//
kefFC	rsmC//mutT//
kefGB_yheV	eutB//
kilR_ydaE	
lacYA	cynT//pheA//
lacZYA	pgl//glgC//mhpF//
lapAB	
lapAB_pyrF_yciH	yeaG//
lepAB	surA//
leuLABCD	pagP//uidA//ldtE//
leuQPV	
leuS_lptE_holA_nadD_cobC	ravA//apt//bcsB//
lexA_dinF	
lgt_thyA	ynfF//sdaB//
ligA_ypeB	ubiE//
livKHMGF	lpxA//rhaA//
lldPRD	aes//metC//
lolA_rarA	
lolB_ispE_prs	sufS//alsE//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	gss//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	glnE//nudG//
lptFG	
lspA_fkpB_ispH	gatD//dmsB//waaS//
lsrACDBFG_tam	pphB//trmJ//ulaE//hisI//
lsrRK	slt//
ltaE_ybjT	panB//
lysT_valT_lysW	
macAB	spoT//
malEFG	pyrE//
malK_lamB_malM	ychF//entF//
malPQ	dgkA//speF//
malXY	codA//ldhA//
manXYZ	roxA//
map_glnD_dapD	insI-1//pssA//cfa//
marRAB	
mazEFG	trmH//
mcrBC	yhdH//
mdlAB	
mdtABCD_baeSR	mcrA//
mdtEF	tdcG//
mdtJI	folE//
mdtM_yjiN	ligA//
mdtNOP	fadD//
melAB	ruvB//hisF//
menA_rraA	folB//
menBCE	fes//paaF//aphA//
menDHBCE	sucD//astB//yghU//gcvH//mltA//
menFDHBCE	yjiA//hdhA//purA//rsmF//folD//gatY//
metBL	mltD//ppx//
metNIQ	purT//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	paaJ//gatD//purF//
metZWV	
mglAC	rfaD//
mglBAC	fabA//
mgtLA	waaB//
mhpABCDFE	lhgO//ansB//ybbO//edd//otsA//paaJ//
mhpR_lacI	
miaA_hfq_hflXKC	purF//yeaG//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	glgB//entE//
mnaT_ydcZ	mmuM//
mngAB	malP//gcvH//
mnmG_rsmG	fucA//fumA//
mntR_ybiR	
moaABCDE	dgkA//xdhC//
moaBCDE	dxs//
mobAB	rdoA//
modABC	pdeR//
modEF	
moeAB	thiI//tktB//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	pgpA//
mqsRA	tmk//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	pgpC//mnmC//gcvH//rbsD//mcrA//gloC//aroD//gshB//hemA//hemG//aroB//
mreBCD	
mreCD	
msrPQ	
mtlADR	torA//dhaM//cysH//
mtn_btuF_yadS	kdsB//acnB//
murB_birA	lysU//mrcB//
murQP	argA//metL//hisH//
murQP_yfeW	mpl//bioH//dhaL//astE//
mutL_miaA_hfq_hflXKC	btuR//ppx//talA//
mutY_yggX	dadA//
mutY_yggX_mltC	sbcB//gss//
mutY_yggX_mltC_nupG	rfaE//leuA//glpK//
nadA_pnuC	hycC//hcaD//
nagBAC_umpH	rsmD//yghA//pdxK//
nagK_cobB	napH//yceF//
nanATEK_yhcH	guaC//mltF//ispF//thiI//
nanCM	prpC//ribB//
nanCMS	rlmA//ghrB//
napFDAGHBC	waaO//
napFDAGHBC_ccmABCDEFGH	sgbU//mngB//
narGHJI	gshA//
narWV	rlmC//
narXL	
narZYWV	dhaK//
nemRA	kduD//
nemRA_gloA	aceB//slt//
nfrBA	
nhaAR	ribB//
nikABCDER	ulaF//
nirBDC_cysG	ynfG//alkA//eutC//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	dcyD//
nrdAB_yfaE	ybiV//
nrdDG	xylB//ispG//
nrdHIEF	thiC//
nrdR_ribDE_nusB_thiL_pgpA	glcB//paoA//aspC//yihT//
nrfABCDEFG	sucD//
nsrR_rnr_rlmB_yjfI	ydbC//yqjG//
nudB_yebC_ruvC	fau//ilvG_2//
nudC_hemE_nfi	nudB//fsaA//
nudF_yqiB_cpdA_yqiA_parE	cysC//rfbB//
nuoABCEFGHIJKLMN	curA//
nuoMN	hpt//
ompR_envZ	
opgGH	
oppABCDF	hflX//hypB//
osmF_yehYXW	torC//
otsBA	yigB//murF//
paaABCDEFGHIJK	folB//lipA//folC//pykA//frdB//dgkA//mog//
paaXY	ilvG_2//
pabB_nudL	folE//phnJ//
pabC_mltG_tmk_holB_ycfH	cobC//acpS//fucI//
panBC	yciA//fadD//
panE_yajL	kdgK//
paoABCD	rihB//
pcnB_folK	ybcF//hyi//
pdeI_dgcI	
pdhR_aceEF_lpd	ogt//polB//torY//ispD//hcaD//aroL//
pdxA_rsmA	pgsA//napC//
pdxA_rsmA_apaGH	mltD//rffG//mnmG//
pdxB_usg_truA_dedA	dhaK//metC//
pdxH_tyrS_pdxY	lsrF//aroA//ydiF//
pdxJ_acpS	allB//phnP//
pepQ_yigZ_trkH_hemG	spoT//hyaB//lpxH//
pflDC	
pgaABCD	fadM//pnp//phnM//
pgk_fbaA	fes//pdxK//
pgpC_tadA	yeaE//umuD//
pheLA	wbbI//
pheMST_ihfA	gss//
phnCDE_1E_2FGHIJKLMNOP	xdhB//eutD//glyA//hmp//fabD//leuA//tktA//
phnLMNOP	cysQ//argS//pyrB//caiD//gmd//
phoA_psiF	ilvB//
phoBR	
phoPQ	
pldB_yigL	etk//ydiO//
plsX_fabHDG	acpT//mtn//rluF//
pntAB	
potABCD	aceB//
potFGHI	gshA//
poxB_ltaE_ybjT	moeB//dmsA//
ppdAB_ygdB_ppdC_recC	mcrC//
ppdD_hofBC	
ppiB_lpxH	cfa//glgP//
ppk_ppx	ynfH//pdxH//
pqiAB	
preTA	yjhH//
prfB_lysS	tyrA//
priC_ybaM	
prlC_rsmJ	torZ//phnN//
prlF_yhaV	katG//
prmB_aroC_mepA_yfcA_epmC_yfcL	cobU//xdhA//kdgK//speD//
proBA	pdxY//dosP//
proQ_prc	entF//
proVWX	ynjE//
prpBCDE	leuD//yihX//rluB//uxaC//
psd_mscM	
pspABCDE	betB//
pspBCDE	feaB//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	putA//citD//
pth_ychF	pdxK//
ptrA_recBD	ispE//ispE//
ptsA_fsaB_gldA	kdsA//truA//
ptsHI_crr	hcp//dgkA//argE//
purEK	fabF//hemB//
purHD	pyrH//gltB//
purMN	birA//queD//
puuAP	pdxA//alkB//
puuCBE	queD//glpB//rlmC//
puuDRCBE	epmB//sdaB//yjhG//rph//
pyrF_yciH	patA//
pyrG_eno	lgoD//hcp//
pyrLBI	glf//
qmcA_ybbJ	
qseBC	
radA_nadR	def//
rapA_rluA	guaA//
ratAB	
ravA_viaA	
rbsDACBKR	menH//ddlB//pdxA//
rclABC	
rclBC	
rcnAB	nhoA//
rcsDB	
rcsF_trmO	pncC//
rdgB_yggW	araD//
rdoA_dsbA	lpxC//phnG//
recAX	
recET_ralR_ydaC_xisR_intR	kduI//gudD//
relA_mazEF	aroK//
relBE	cysE//
relBE_hokD	prpC//
renD_emrE	kdsC//
rfaD_waaFCL	fabA//mtn//pgaC//rpe//
rfbACX	mpl//fre//nudC//pheT//
rfbBDACX	ubiE//gpmM//paaE//yjiA//cysJ//rsgA//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	metE//fbaA//yfdR//tilS//nadK//rlmB//acnA//thiD//atoB//
rhaBAD	ybiV//hcaB//guaC//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	hemE//aroG//metG//
ribF_ileS_lspA_fkpB_ispH	thiF//xthA//azoR//cysC//cysG//
rimK_ybjN	fadE//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	glcF//gshB//araD//glf//allD//wecC//waaG//dacA//etp//plsC//
rlmE_ftsH	plsB//cobC//
rlmL_uup	orn//
rluD_yfiH	trmJ//atoA//
rluE_nudJ	pgi//rsuA//
rnc_era	purC//
rnc_era_recO_pdxJ_acpS	nrfC//ppiC//citG//lsrK//
rnlAB	lsrF//
rnt_lhr	eptA//
rpe_gph_trpS	fabD//selA//gstB//
rph_pyrE	yfiC//trpC//
rpiR_alsBACE	ppiB//gltD//
rplJL_rpoBC	aroE//
rplKAJL_rpoBC	pdeH//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	edd//
rpmF_plsX_fabHDG	fsaB//rutD//azoR//
rpmH_rnpA	yqjH//dhaK//
rpmI_rplT	
rpoBC	yfeW//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	queF//pphA//efeB//
rppH_ptsP	rlmJ//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	lipA//
rpsO_pnp	yfiH//pdeL//
rpsP_rimM_trmD_rplS	sgbH//
rpsU_dnaG_rpoD	gdhA//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	ldtB//gcd//
rsmA_apaGH	dapE//dgkA//
rsmD_yhhL	frdA//
rsmE_gshB	dadX//rfbA//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	qor//nth//aroH//rsmD//rlmF//eda//ilvN//glpB//hisA//pcm//rffH//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	proS//
rtcBA	ybhA//sucB//
rutABCDEFG	bioB//aslA//murB//hemL//fabA//gpp//
ruvAB	arnB//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	hcp//
scpA_argK_scpBC	fucK//metC//gdhA//yfeX//
sdaCB	rimK//nanE//
sdhCDAB_sucABCD	curA//cmoB//fabD//talB//
sdhDAB	
sdhE_cptA	
secB_gpsA	ilvM//
secE_nusG	
secG_leuU	
secMA_mutT	dgt//
selAB	yneH//fabA//
selD_topB	truD//cfa//
seqA_pgm	tmk//
serB_radA	cysI//
serC_aroA	rsmF//tcdA//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	rsmD//
sgrST_setA	ldtB//
skp_lpxD_fabZ_lpxA	tilS//malS//rlmC//
slp_dctR	
solA_yceO	entB//
speAB	orn//murB//
speF_potE	yqjH//hcaB//
srlAEBD_gutM_srlR_gutQ	arnC//speC//trpA//
sroG_ribB	frmA//
sspAB	
ssrS_fau	asnB//
ssuEADCB	pspE//ybhA//ldtB//
stfE_tfaE	
sucAB	glpB//eptC//tgt//
sucABCD	thyA//hisA//speE//purN//
sufABCDSE	ruvA//
surA_pdxA_rsmA_apaGH	tsaC//fre//prmB//abgA//
tag_yiaC	pgl//
talA_tktB	cdsA//garD//
tamAB_ytfP	
tar_tap_cheRBYZ	rnd//patZ//
tatABC	nfi//
tatABCD	narG//ogt//
tauABCD	mtlD//nfi//
tdcABCDEFG	epmB//tcdA//bcsZ//kdsC//trmJ//
tdcBCDEFG	tdcE//lpd//hycD//mobA//cysN//
tehAB	malQ//glgC//
tesA_ybbO	tauD//fbaB//
tff_rpsB_tsf	
tgt_yajC	glnS//
thiCEFSGH	cysC//panC//entF//opgB//prmC//
thiMD	rffT//cysH//
thrLABC	nudG//eutB//pagP//
thrS_infC	paoB//
thrS_infC_rpmI_rplT_pheMST_ihfA	queG//mrcB//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	metB//bioF//
tolB_pal_cpoB	
tolC_ygiABC	cysD//proB//ilvM//opgB//pykA//serA//hisS//ydiB//allC//
tomB_hha	
topAI_yjhQ	
torCAD	murE//
torYZ	glyQ//
treBC	dmsB//carB//
trmI_yggL	pnp//
trpCBA	rrrD//hemA//puuA//waaC//
trpLEDCBA	ynfF//selA//ghrB//acpT//hisA//betA//
tsaB_yeaY	dmsA//
tsaE_amiB_mutL_miaA_hfq_hflXKC	scpC//yigL//aroD//glnS//rfbA//
ttdABT	speF//orn//
tyrS_pdxY	eptC//rsuA//
tyrTV_tpr	
tyrV_tpr	
ubiCA	tktB//chbG//
ubiEJB	folP//
udk_dcd	cmoA//ldhA//
ugpBAECQ	nanA//pyrF//
uhpABC	
uidABC	nudB//dinB//
ulaABCDEF	moaA//dadA//zwf//proB//
umpG_pcm	dacC//pabC//
umuDC	talB//
uof_fur	
upp_uraA	lyxK//nadE//
usg_truA_dedA	lpxH//
uvrYC	nagA//
uxaCA	hemA//lpxD//
uxuAB	hemE//preT//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	rffG//mocA//
waaQGPSBOJYZU	trpS//trpA//acnB//idi//acnA//chbF//puuC//gstA//thiL//ulaE//
waaYZ	pssA//patA//
waaZU	waaB//dadX//
wbbIJK	deoA//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	glyQ//rsmE//nagK//ligB//aroG//lpd//
wcaKLM	
wrbA_yccJ	idnD//
wza_wzb_wzc	galE//sdaB//
wza_wzb_wzc_wcaAB	wzb//cyoE//
xanQ_guaD_ghxQ	cobU//nfi//hycB//
xapAB	gloA//rhaM//
xdhABC	dmsB//
xerD_dsbC_recJ	ilvM//ugd//
xseB_ispA_dxs_yajO	ppx//hdhA//fucA//recJ//
xylAB	ribA//uxuA//
xylFGHR	tam//
yabPQ	
yacC_speED	ispE//mqo//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	phnI//
yafDE	
yafNOP	lpxC//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	nudJ//nanE//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	dapD//
ybaB_recR	ahpF//
ybaST	glgX//
ybbAP	
ybbY_glxK	trpA//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	gor//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	tyrB//
ybeZY	
ybeZYX_lnt	dapB//
ybfHG	
ybfOC	
ybgA_phr	tyrS//
ybgC_tolQRA	
ybgIJKL_nei	glk//
ybgQPO	
ybhP_clsB_ybhN	lsrF//
ybiYW	
ybjC_nfsA_rimK_ybjN	tsaD//rihA//
ybjJI	mrcB//
ybjO_rlmC	moaD//
ybjQ_amiD	metA//
ycaI_msbA_lpxK_ycaQ	hisC//rlmM//
ycaR_kdsB	mrcA//
ycbK_gloC	ligA//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	tsaE//
yciCB	
yciGFE	
yciK_btuR	guaC//
yciVOQ	mhpA//
yciZT	
ycjMNOPQRSTUV_ymjB	cadA//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	recG//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	leuA//sseA//
ydcSTUV_patD	iaaA//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	yjcS//
ydgK_rsxABCDGE_nth	gutQ//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	yigL//mepS//
ydiJ_menI_ydiH	speF//
ydiNB_aroD	metB//betB//
ydiQRST_fadK	gshB//
ydjA_selD_topB	tktB//narY//
ydjLKJIHG	gmk//
ydjXYZ_ynjABCD	
yeaGH	pfkB//
yeaR_yoaG	
yeaVW	
yebC_ruvC	ispE//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	paaJ//folK//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	pcm//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	yfbR//aspC//
yejABEF	moaD//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	mazG//
yfaX_rhmD	
yfaX_rhmD_yfaVU	argE//
yfbUT	dapB//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	queA//
