# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	caiB//
panBC	atoA//aroA//
panE_yajL	moeB//
paoABCD	miaA//
pcnB_folK	napB//narH//
pdeI_dgcI	
pdhR_aceEF_lpd	ygjK//ogt//garL//dgoD//cysC//nadB//
pdxA_rsmA	narV//rhaD//
pdxA_rsmA_apaGH	udp//citC//yiaK//
pdxB_usg_truA_dedA	ssuD//pdeR//
pdxH_tyrS_pdxY	dinB//gloB//citE//
pdxJ_acpS	ubiG//mutM//
pepQ_yigZ_trkH_hemG	cysD//pdxB//galK//
pflDC	
pgaABCD	tesA//roxA//sodB//
pgk_fbaA	moaD//nirB//
pgpC_tadA	sdaA//yfbT//
pheLA	dmsA//
pheMST_ihfA	menI//
phnCDE_1E_2FGHIJKLMNOP	frdD//mnmG//ilvB//adeD//avtA//ribC//mepS//
phnLMNOP	treC//dgkA//sgbH//yihT//wzc//
phoA_psiF	sdhC//
phoBR	
phoPQ	
pldB_yigL	epmA//ygjK//
plsX_fabHDG	speD//oxc//epmA//
pntAB	
potABCD	hyuA//
potFGHI	hisI//
poxB_ltaE_ybjT	menE//entA//
ppdAB_ygdB_ppdC_recC	sgbE//
ppdD_hofBC	
ppiB_lpxH	argH//bcsA//
ppk_ppx	eno//yicI//
pqiAB	
preTA	paaG//
prfB_lysS	argS//
priC_ybaM	
prlC_rsmJ	alkB//torA//
prlF_yhaV	malZ//
prmB_aroC_mepA_yfcA_epmC_yfcL	cmk//ydfG//yfdR//ttdA//
proBA	frdD//thiH//
proQ_prc	sad//
proVWX	fadH//
prpBCDE	paaA//ushA//ychF//hcaF//
psd_mscM	
pspABCDE	umuC//
pspBCDE	dgcZ//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	fabZ//frlC//
pth_ychF	speC//
ptrA_recBD	ulaG//mcrB//
ptsA_fsaB_gldA	glpC//yahK//
ptsHI_crr	purH//nrdB//sgbE//
purEK	fbaA//ynjE//
purHD	edd//pyrG//
purMN	thiG//dacD//
puuAP	ycjU//fadM//
puuCBE	ilvN//yjhH//kdsD//
puuDRCBE	rhaD//scpB//bioD//atoB//
pyrF_yciH	aroE//
pyrG_eno	sdaB//dapD//
pyrLBI	nadA//
qmcA_ybbJ	
qseBC	
radA_nadR	rutA//
rapA_rluA	udk//
ratAB	
ravA_viaA	
rbsDACBKR	yfbR//mtgA//purT//
rclABC	
rclBC	
rcnAB	ulaD//
rcsDB	
rcsF_trmO	menA//
rdgB_yggW	ltaE//
rdoA_dsbA	mug//lldD//
recAX	
recET_ralR_ydaC_xisR_intR	waaQ//recR//
relA_mazEF	glmS//
relBE	cmoA//
relBE_hokD	umuD//
renD_emrE	argD//
rfaD_waaFCL	yohF//gstB//cfa//mhpC//
rfbACX	lpxM//ycaO//hycE//narZ//
rfbBDACX	eptC//frc//insI-1//paaG//frlC//sbcB//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	cpdB//mutS//yiaK//ppc//rlmC//ppc//puuE//panB//recO//
rhaBAD	mtlD//rsmB//recJ//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	arnT//mog//selB//
ribF_ileS_lspA_fkpB_ispH	nadD//glk//queF//frmB//dacC//
rimK_ybjN	citE//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	aspS//dusC//udp//rffM//queA//ychF//pdxH//thiE//aspA//pgl//
rlmE_ftsH	ttdB//eutC//
rlmL_uup	cpsG//
rluD_yfiH	udk//ravA//
rluE_nudJ	edd//malZ//
rnc_era	sdhC//
rnc_era_recO_pdxJ_acpS	yigL//alaC//mnmG//kbaZ//
rnlAB	preT//
rnt_lhr	galE//
rpe_gph_trpS	rhaB//tyrA//thiK//
rph_pyrE	hyaC//clsA//
rpiR_alsBACE	gmhB//garK//
rplJL_rpoBC	rluD//
rplKAJL_rpoBC	ppx//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	hemD//
rpmF_plsX_fabHDG	carA//can//lpcA//
rpmH_rnpA	epmA//ynfH//
rpmI_rplT	
rpoBC	tauD//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	hyi//hisH//glnA//
rppH_ptsP	gcl//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	tyrB//
rpsO_pnp	tyrA//ackA//
rpsP_rimM_trmD_rplS	aceA//
rpsU_dnaG_rpoD	tdk//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	gltA//nfsA//
rsmA_apaGH	thrS//hisH//
rsmD_yhhL	speG//
rsmE_gshB	idi//mraY//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	astE//pgaB//menF//nrdA//adeD//citF//selB//paaY//yghU//kduI//gloB//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	yagF//
rtcBA	fsaA//nanK//
rutABCDEFG	mutT//mrcA//yfbR//relA//pheA//ilvD//
ruvAB	gatY//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	lacA//
scpA_argK_scpBC	epmC//frc//chbG//rluD//
sdaCB	insI-1//glyS//
sdhCDAB_sucABCD	truD//paaA//mqo//wecB//
sdhDAB	
sdhE_cptA	
secB_gpsA	dadA//
secE_nusG	
secG_leuU	
secMA_mutT	acpT//
selAB	purK//aroL//
selD_topB	panD//glpD//
seqA_pgm	rlmL//
serB_radA	mutH//
serC_aroA	selB//hisA//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	trpS//
sgrST_setA	argB//
skp_lpxD_fabZ_lpxA	acnB//nudL//acnB//
slp_dctR	
solA_yceO	tktA//
speAB	zwf//waaS//
speF_potE	nanE//sodA//
srlAEBD_gutM_srlR_gutQ	ahr//pfkA//rfe//
sroG_ribB	glnS//
sspAB	
ssrS_fau	nadE//
ssuEADCB	leuB//mcrB//gltX//
stfE_tfaE	
sucAB	dcd//sucB//aroL//
sucABCD	pgaD//ampD//ftnA//rihB//
sufABCDSE	ubiX//
surA_pdxA_rsmA_apaGH	murA//truA//csdA//uvrB//
tag_yiaC	solA//
talA_tktB	hycE//thrB//
tamAB_ytfP	
tar_tap_cheRBYZ	lgoD//serB//
tatABC	galU//
tatABCD	ldtE//gstA//
tauABCD	maa//pbpC//
tdcABCDEFG	thrC//lsrF//ydiO//hyuA//rnpB//
tdcBCDEFG	yhdJ//dusA//mngB//dgcZ//lysS//
tehAB	gcvH//yihS//
tesA_ybbO	rihC//glpC//
tff_rpsB_tsf	
tgt_yajC	yjcS//
thiCEFSGH	dgoK//yigL//hchA//mutL//gadA//
thiMD	caiC//dcyD//
thrLABC	gpmM//malQ//mocA//
thrS_infC	uxaC//
thrS_infC_rpmI_rplT_pheMST_ihfA	fucU//alaS//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	eutC//tilS//
tolB_pal_cpoB	
tolC_ygiABC	mtlD//rffG//yieH//moaE//yagE//sucC//kduD//cyoE//kdsA//
tomB_hha	
topAI_yjhQ	
torCAD	araD//
torYZ	cheR//
treBC	fadE//fadB//
trmI_yggL	nudI//
trpCBA	dxr//pagP//ynfF//ahpF//
trpLEDCBA	sdhC//lpoA//mltA//deoC//alaS//ppiA//
tsaB_yeaY	folP//
tsaE_amiB_mutL_miaA_hfq_hflXKC	yggF//xdhC//umpH//menD//fruK//
ttdABT	pdxH//tmcA//
tyrS_pdxY	yihV//fadM//
tyrTV_tpr	
tyrV_tpr	
ubiCA	fruK//lldD//
ubiEJB	nadB//
udk_dcd	speA//ulaF//
ugpBAECQ	dadA//fadI//
uhpABC	
uidABC	prpD//pgaB//
ulaABCDEF	citE//recO//recO//rpiA//
umpG_pcm	sseA//ygaP//
umuDC	ligA//
uof_fur	
upp_uraA	talA//pfkA//
usg_truA_dedA	dhaK//
uvrYC	glpQ//
uxaCA	pykF//lpd//
uxuAB	lyxK//yjhH//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	ybjG//folM//
waaQGPSBOJYZU	paaH//ribD//pldB//trpC//kduD//recR//pncC//aroH//lsrG//lplA//
waaYZ	glnS//mutL//
waaZU	phnG//gcl//
wbbIJK	sdaB//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	argD//rdoA//rluA//guaD//hyaB//kdsA//
wcaKLM	
wrbA_yccJ	ychF//
wza_wzb_wzc	eutC//rbsD//
wza_wzb_wzc_wcaAB	fumA//kbl//
xanQ_guaD_ghxQ	sgbU//yrfG//spoT//
xapAB	mhpA//gadB//
xdhABC	pfkB//
xerD_dsbC_recJ	epmB//miaB//
xseB_ispA_dxs_yajO	dxr//argH//ybbO//rsmA//
xylAB	prmB//lsrG//
xylFGHR	gloA//
yabPQ	
yacC_speED	katG//metK//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	dkgA//
yafDE	
yafNOP	moaD//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	cyaA//nrdF//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	rluF//
ybaB_recR	rsmB//
ybaST	paoB//
ybbAP	
ybbY_glxK	fabZ//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	torC//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	codA//
ybeZY	
ybeZYX_lnt	gpp//
ybfHG	
ybfOC	
ybgA_phr	selD//
ybgC_tolQRA	
ybgIJKL_nei	pdxK//
ybgQPO	
ybhP_clsB_ybhN	lysA//
ybiYW	
ybjC_nfsA_rimK_ybjN	mltB//folC//
ybjJI	bacA//
ybjO_rlmC	waaC//
ybjQ_amiD	pgaC//
ycaI_msbA_lpxK_ycaQ	kbaY//fumA//
ycaR_kdsB	gdhA//
ycbK_gloC	tsaD//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	dgoD//
yciCB	
yciGFE	
yciK_btuR	ymdB//
yciVOQ	insI-1//
yciZT	
ycjMNOPQRSTUV_ymjB	nirD//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	rlmB//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	talB//dxs//
ydcSTUV_patD	fes//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	phnN//
ydgK_rsxABCDGE_nth	mnaT//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	pyrI//yjhG//
ydiJ_menI_ydiH	scpA//
ydiNB_aroD	prpD//ldhA//
ydiQRST_fadK	carB//
ydjA_selD_topB	purE//cfa//
ydjLKJIHG	etp//
ydjXYZ_ynjABCD	
yeaGH	gmm//
yeaR_yoaG	
yeaVW	
yebC_ruvC	glmM//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	ldtD//dapE//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	paaY//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	ybhA//glgC//
yejABEF	leuC//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	amyA//
yfaX_rhmD	
yfaX_rhmD_yfaVU	ldcC//
yfbUT	thrB//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
