# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	gltA//
glnHPQ	gloC//
glnK_amtB	yniC//
glnLG	
glnW_metU_glnVX	
glpABC	aspA//
glpEGR	glyA//metK//
glpFKX	ansB//acs//glpD//
glpGR	insI-3//
glpTQ	hisD//purL//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	gloC//
glvCBG_ysdC	
glyQS	araB//
glyVXY	
glyW_cysT_leuZ	
gntKU	fadM//btuR//
gntRKU	idnO//asnS//
gntX_nfuA	
gpmM_envC_yibQ	rsmH//ribE//
groSL	
gspAB	
gspCDEFGHIJKLMO	pdxA//
guaBA	ubiH//xdhB//
gudPXD	ttdA//nadB//
hcaEFCBD	bioD//rhaB//
hcp_hcr	hemB//gatY//
hdeAB_yhiD	
hemA_prfA_prmC	sthA//nudF//
hemCDXY	amyA//dfp//
hflD_purB	chbF//
hfq_hflXKC	dxr//
hicAB	
higBA	glnS//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	mrdA//prs//ribA//gapA//
hipBA	ndh//
hisBHAFI	lpxM//murF//hisI//rutC//
hisJQMP	tgt//yfiH//
hisLGDCBHAFI	rfbB//trpD//menD//gph//tig//pldA//emtA//
hofMNOP	
holC_valS	aroC//
holD_rimI_yjjG	serB//cmk//
hscBA_fdx_iscX	pyrH//
hsdMS	paaK//
hsdRMS	waaZ//
hslRO	
hslVU	rffH//
hyaABCDEF	
hybOABCDEFG	nudI//
hycABCDEFGHI	ilvI//cyoE//
hydN_hypF	hdhA//
hyfABCDEFGHIJR_focB	icd//
hypABCDE	paaJ//
hypABCDE_fhlA	ispH//
hypBCDE	dgcM//
hypBCDE_fhlA	wcaJ//
iaaA_gsiABCD	dcm//phoA//
ibaG_murA	ybdL//
ibpAB	
idnDOTR	yieH//dxr//nirB//
ileS_lspA_fkpB_ispH	lplA//napH//mtgA//folM//
ilvEDA	aphA//pyrB//folX//glyA//
ilvIH	ddlB//
ilvLXG_1G_2MEDA	gcl//nanA//folE//recJ//ilvG_1//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	mnmE//
insN_1I_1O_1	lyxK//
insO_2_yjhWV	
iscRSUA	betB//pepD//
ispDF	lpxK//folE//
ispG_sroE	moaE//
isrC_flu	
ivbL_ilvBN	fbp//
ivbL_ilvBN_uhpABC	gatD//
kbaZ_agaVWA	adiA//
kbl_tdh	gadA//yidA//
kdpDE	
kdpFABC	thrC//
kdsC_lptCAB	dgcZ//lpxT//
kefFC	pgaC//phnP//
kefGB_yheV	pabB//
kilR_ydaE	
lacYA	pldB//pheS//
lacZYA	panE//hcp//cysS//
lapAB	
lapAB_pyrF_yciH	rlmJ//
lepAB	astC//
leuLABCD	allC//pykA//ycaO//
leuQPV	
leuS_lptE_holA_nadD_cobC	kdsA//puuD//rhaM//
lexA_dinF	
lgt_thyA	pfkA//allE//
ligA_ypeB	gmd//
livKHMGF	glnS//pdxB//
lldPRD	hemN//caiB//
lolA_rarA	
lolB_ispE_prs	yjjG//aspC//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	citE//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	trpD//ispA//
lptFG	
lspA_fkpB_ispH	yniC//rnb//nfi//
lsrACDBFG_tam	pyrD//yiaK//yqjH//argK//
lsrRK	recF//
ltaE_ybjT	lpcA//
lysT_valT_lysW	
macAB	hisF//
malEFG	dgcC//
malK_lamB_malM	dkgB//mazG//
malPQ	ruvB//epmC//
malXY	ppx//rlmJ//
manXYZ	cdh//
map_glnD_dapD	speB//serC//pgi//
marRAB	
mazEFG	hyaA//
mcrBC	yfiC//
mdlAB	
mdtABCD_baeSR	yfcG//
mdtEF	trmJ//
mdtJI	argB//
mdtM_yjiN	pdxY//
mdtNOP	yfcF//
melAB	apt//caiD//
menA_rraA	ydfG//
menBCE	fbp//proC//fruK//
menDHBCE	nadA//gcvH//ruvA//yajO//pncB//
menFDHBCE	nanK//yihX//ilvN//cysS//tdh//paaG//
metBL	trmO//appA//
metNIQ	katG//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	murE//tynA//nanK//
metZWV	
mglAC	mtgA//
mglBAC	ilvG_1//
mgtLA	aphA//
mhpABCDFE	mltA//caiC//hypF//yihT//xthA//argK//
mhpR_lacI	
miaA_hfq_hflXKC	queA//phnI//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	fsaB//mltF//
mnaT_ydcZ	yfiH//
mngAB	nadA//aphA//
mnmG_rsmG	ubiX//rnpA//
mntR_ybiR	
moaABCDE	hycG//speG//
moaBCDE	dapE//
mobAB	cdh//
modABC	hinT//
modEF	
moeAB	tyrB//fumA//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	ybiV//
mqsRA	hisB//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	galT//ubiG//nudE//puuA//rfbB//ugpQ//tsaD//rihA//umuC//waaG//fadH//
mreBCD	
mreCD	
msrPQ	
mtlADR	ttdB//napA//lpxM//
mtn_btuF_yadS	yhdH//yhhW//
murB_birA	puuD//atoA//
murQP	mmuM//otsA//allB//
murQP_yfeW	rutA//epd//lsrK//sodA//
mutL_miaA_hfq_hflXKC	fsaA//moeB//alaS//
mutY_yggX	nfi//
mutY_yggX_mltC	alaA//dosC//
mutY_yggX_mltC_nupG	fbaB//alsK//mutH//
nadA_pnuC	uxuA//dhaM//
nagBAC_umpH	malZ//yjjG//dfp//
nagK_cobB	narZ//pta//
nanATEK_yhcH	glgA//arsC//nudC//scpA//
nanCM	aldA//ilvH//
nanCMS	recJ//glxR//
napFDAGHBC	kdsC//
napFDAGHBC_ccmABCDEFGH	lacA//deoA//
narGHJI	dgoA//
narWV	rnt//
narXL	
narZYWV	torZ//
nemRA	otsB//
nemRA_gloA	rfbA//rnb//
nfrBA	
nhaAR	yqjG//
nikABCDER	lpd//
nirBDC_cysG	kdsC//trpA//dapD//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	yfaU//
nrdAB_yfaE	gcl//
nrdDG	rbsD//mocA//
nrdHIEF	mhpE//
nrdR_ribDE_nusB_thiL_pgpA	emtA//ilvA//paaC//nfsA//
nrfABCDEFG	atoA//
nsrR_rnr_rlmB_yjfI	slt//cpdA//
nudB_yebC_ruvC	truA//waaO//
nudC_hemE_nfi	ydfG//uxaB//
nudF_yqiB_cpdA_yqiA_parE	wcaJ//adhP//
nuoABCEFGHIJKLMN	murE//
nuoMN	nudK//
ompR_envZ	
opgGH	
oppABCDF	gabT//eptA//
osmF_yehYXW	uvrB//
otsBA	dmlA//mltA//
paaABCDEFGHIJK	lpxM//purT//rhaB//ispG//pyrD//phnM//emtA//
paaXY	fadK//
pabB_nudL	purF//lysC//
pabC_mltG_tmk_holB_ycfH	ydfG//thiL//gabD//
panBC	thrB//glpD//
panE_yajL	purC//
paoABCD	queF//
pcnB_folK	yihT//eutC//
pdeI_dgcI	
pdhR_aceEF_lpd	sufS//thrA//lpxH//pldB//tdcE//metA//
pdxA_rsmA	yciA//waaU//
pdxA_rsmA_apaGH	murG//acpH//hchA//
pdxB_usg_truA_dedA	mltB//fucO//
pdxH_tyrS_pdxY	agp//alr//dadX//
pdxJ_acpS	fucU//hycB//
pepQ_yigZ_trkH_hemG	fucI//mutH//dadX//
pflDC	
pgaABCD	pdxK//trmD//betA//
pgk_fbaA	gudD//gloC//
pgpC_tadA	hyaB//dgcC//
pheLA	fumB//
pheMST_ihfA	aroA//
phnCDE_1E_2FGHIJKLMNOP	glgC//kbaZ//lpxB//frc//hemA//entE//fabG//
phnLMNOP	deoC//trmO//hemF//paaB//lpxB//
phoA_psiF	ilvI//
phoBR	
phoPQ	
pldB_yigL	phoA//ispE//
plsX_fabHDG	yniC//sucA//ynfF//
pntAB	
potABCD	yieH//
potFGHI	speF//
poxB_ltaE_ybjT	mutS//folP//
ppdAB_ygdB_ppdC_recC	citE//
ppdD_hofBC	
ppiB_lpxH	fucK//rihA//
ppk_ppx	purB//lpxT//
pqiAB	
preTA	argC//
prfB_lysS	fadK//
priC_ybaM	
prlC_rsmJ	kdsD//guaC//
prlF_yhaV	pdxK//
prmB_aroC_mepA_yfcA_epmC_yfcL	dacD//tesB//acs//ppiB//
proBA	yfeW//paaF//
proQ_prc	nrfB//
proVWX	frdC//
prpBCDE	hemA//rdgB//lpxH//aroD//
psd_mscM	
pspABCDE	trpE//
pspBCDE	fabA//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	queG//yigL//
pth_ychF	yieF//
ptrA_recBD	dgkA//hemD//
ptsA_fsaB_gldA	frdC//lpxH//
ptsHI_crr	adeD//glgX//ispD//
purEK	aceF//entH//
purHD	dadX//mnmE//
purMN	kdsD//ribF//
puuAP	yiaY//tmk//
puuCBE	ilvI//sodA//paaC//
puuDRCBE	aspA//chbG//asd//hycG//
pyrF_yciH	rluC//
pyrG_eno	cysJ//lpxH//
pyrLBI	queA//
qmcA_ybbJ	
qseBC	
radA_nadR	nrfB//
rapA_rluA	aceF//
ratAB	
ravA_viaA	
rbsDACBKR	murB//argI//ampH//
rclABC	
rclBC	
rcnAB	fadH//
rcsDB	
rcsF_trmO	hisG//
rdgB_yggW	pncA//
rdoA_dsbA	mutM//yggF//
recAX	
recET_ralR_ydaC_xisR_intR	caiA//folD//
relA_mazEF	truC//
relBE	wecB//
relBE_hokD	aroC//
renD_emrE	wrbA//
rfaD_waaFCL	aroE//ttdA//nudI//betA//
rfbACX	ispU//cynT//ansB//pfkB//
rfbBDACX	gcd//prpD//yegS//pgaB//tktA//kbaZ//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	aes//csdA//pyrG//waaU//lpxA//rlmB//yghU//rlmF//yagE//
rhaBAD	proA//yihS//dnaQ//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	dacA//tdcD//glnE//
ribF_ileS_lspA_fkpB_ispH	trmD//ilvB//napA//aroF//garL//
rimK_ybjN	rsmE//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	ahr//lsrF//trmO//garD//ppiA//tilS//glxR//ilvA//pdxY//narG//
rlmE_ftsH	rdoA//citX//
rlmL_uup	hemE//
rluD_yfiH	purB//pgpB//
rluE_nudJ	bcsB//glcB//
rnc_era	mutL//
rnc_era_recO_pdxJ_acpS	folA//hyi//dosP//ttdB//
rnlAB	queC//
rnt_lhr	gshB//
rpe_gph_trpS	acs//hdhA//murA//
rph_pyrE	hcaD//mhpA//
rpiR_alsBACE	efeB//glf//
rplJL_rpoBC	cysI//
rplKAJL_rpoBC	hisI//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	yeaG//
rpmF_plsX_fabHDG	rsmD//truA//ppa//
rpmH_rnpA	polA//xdhC//
rpmI_rplT	
rpoBC	yihS//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	ynfE//epmA//mltA//
rppH_ptsP	ushA//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	yigL//
rpsO_pnp	moeB//paaA//
rpsP_rimM_trmD_rplS	ydiF//
rpsU_dnaG_rpoD	gadB//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	thrA//acs//
rsmA_apaGH	sdhC//rutA//
rsmD_yhhL	trmL//
rsmE_gshB	aceB//speB//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	ygjK//rfbA//glf//hycC//ubiI//ilvG_2//phnO//torC//glpX//rsuA//gor//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	aphA//
rtcBA	preA//fadE//
rutABCDEFG	spoT//frdC//ligB//ispF//fucI//pgpC//
ruvAB	fabI//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	mhpF//
scpA_argK_scpBC	ribE//murF//metB//dapB//
sdaCB	mnaT//pyrE//
sdhCDAB_sucABCD	plsB//astB//waaL//glpC//
sdhDAB	
sdhE_cptA	
secB_gpsA	pyrI//
secE_nusG	
secG_leuU	
secMA_mutT	lldD//
selAB	dgcC//torZ//
selD_topB	sucB//aceB//
seqA_pgm	narH//
serB_radA	pdxH//
serC_aroA	paaC//napA//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	cfa//
sgrST_setA	fumB//
skp_lpxD_fabZ_lpxA	ubiA//proA//fruK//
slp_dctR	
solA_yceO	fadD//
speAB	anmK//fdhF//
speF_potE	ansB//argS//
srlAEBD_gutM_srlR_gutQ	yajO//argB//sucB//
sroG_ribB	rhaD//
sspAB	
ssrS_fau	pnp//
ssuEADCB	mpl//yggF//waaA//
stfE_tfaE	
sucAB	ribB//arnC//entH//
sucABCD	yigB//gmhB//lgoD//maeB//
sufABCDSE	ubiX//
surA_pdxA_rsmA_apaGH	gloC//metB//speD//nhoA//
tag_yiaC	surA//
talA_tktB	rhaA//fkpA//
tamAB_ytfP	
tar_tap_cheRBYZ	rrrD//pheT//
tatABC	murQ//
tatABCD	coaD//umuC//
tauABCD	folC//eno//
tdcABCDEFG	eno//metF//thiG//rlmL//lldD//
tdcBCDEFG	menB//fbaA//lysU//yniC//paaK//
tehAB	mdh//purC//
tesA_ybbO	betA//prpD//
tff_rpsB_tsf	
tgt_yajC	rfbC//
thiCEFSGH	def//pta//yfdR//rsmH//hemC//
thiMD	thyA//ilvC//
thrLABC	ynjE//guaD//citC//
thrS_infC	lldD//
thrS_infC_rpmI_rplT_pheMST_ihfA	truB//waaS//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	aroD//azoR//
tolB_pal_cpoB	
tolC_ygiABC	cpsG//yghU//yihX//mltA//moeA//rsmJ//leuD//pdxJ//bioC//
tomB_hha	
topAI_yjhQ	
torCAD	yfiH//
torYZ	sdaB//
treBC	patD//fucI//
trmI_yggL	phr//
trpCBA	ydiF//malS//mhpE//yhdH//
trpLEDCBA	tdk//lpxT//ruvA//mutY//thiK//ubiH//
tsaB_yeaY	mtgA//
tsaE_amiB_mutL_miaA_hfq_hflXKC	curA//yfeX//ribD//ackA//rdoA//
ttdABT	gcvT//lpxB//
tyrS_pdxY	ubiI//scpB//
tyrTV_tpr	
tyrV_tpr	
ubiCA	prs//yihV//
ubiEJB	paaG//
udk_dcd	btuE//yggF//
ugpBAECQ	amn//rdgB//
uhpABC	
uidABC	appA//mepS//
ulaABCDEF	ushA//yigB//lpoA//cyaA//
umpG_pcm	ascB//gpt//
umuDC	dcd//
uof_fur	
upp_uraA	purN//bioD//
usg_truA_dedA	kdsD//
uvrYC	puuB//
uxaCA	tyrB//accC//
uxuAB	rlmB//mraY//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	aceF//fabF//
waaQGPSBOJYZU	menI//rfbC//glpA//rsmE//kdsC//galM//pdeL//yidA//nudG//glk//
waaYZ	moaA//tauD//
waaZU	idnO//rluD//
wbbIJK	prpE//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	cysM//fklB//alkB//tesB//kduI//rutD//
wcaKLM	
wrbA_yccJ	mug//
wza_wzb_wzc	gpsA//argD//
wza_wzb_wzc_wcaAB	abgB//mrdA//
xanQ_guaD_ghxQ	hmp//fbaA//waaJ//
xapAB	ycjG//rsmG//
xdhABC	gpmM//
xerD_dsbC_recJ	moaE//dinB//
xseB_ispA_dxs_yajO	gcvP//thiI//tsaE//adhP//
xylAB	thiH//nudE//
xylFGHR	dgoD//
yabPQ	
yacC_speED	yfiH//epmB//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	alsK//
yafDE	
yafNOP	recJ//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	aldA//wcaJ//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	dxs//
ybaB_recR	phr//
ybaST	ghrB//
ybbAP	
ybbY_glxK	metH//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	leuS//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	pyrF//
ybeZY	
ybeZYX_lnt	aldA//
ybfHG	
ybfOC	
ybgA_phr	waaA//
ybgC_tolQRA	
ybgIJKL_nei	aspA//
ybgQPO	
ybhP_clsB_ybhN	gstB//
ybiYW	
ybjC_nfsA_rimK_ybjN	entF//lpxC//
ybjJI	panB//
ybjO_rlmC	lpxK//
ybjQ_amiD	zwf//
ycaI_msbA_lpxK_ycaQ	ahpF//dapA//
ycaR_kdsB	ansB//
ycbK_gloC	menH//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	cysE//
yciCB	
yciGFE	
yciK_btuR	entH//
yciVOQ	argS//
yciZT	
ycjMNOPQRSTUV_ymjB	ugd//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	asnS//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	poxB//cysD//
ydcSTUV_patD	leuA//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	speB//
ydgK_rsxABCDGE_nth	aceF//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	cfa//napB//
ydiJ_menI_ydiH	tehB//
ydiNB_aroD	frdC//pheA//
ydiQRST_fadK	puuD//
ydjA_selD_topB	fabB//pagP//
ydjLKJIHG	suhB//
ydjXYZ_ynjABCD	
yeaGH	mocA//
yeaR_yoaG	
yeaVW	
yebC_ruvC	nadR//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	thiK//rsmB//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	gudD//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	suhB//tdcD//
yejABEF	murE//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	glpX//
yfaX_rhmD	
yfaX_rhmD_yfaVU	folE//
yfbUT	ascB//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
