# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	rffM//
btuCED	yciA//aroH//
cadBA	pyrC//pncC//
caiCDE	gpmA//pdxH//
caiTABCDE	rnb//phnJ//rlmI//gltA//xthA//
carAB	tesA//
casABCDE12	feaB//
casDE12	entF//
cbpAM	
cbrBC	
ccmABCDEFGH	galK//
cecR_ybhGFSR	
chaBC	
chbBCARFG	bcsZ//gshB//rsmC//
chiP_ybfN	cpdA//
chpSB	gltD//
citCDEFXG	yagE//tdcE//ispA//
clpPX	glpQ//rlmG//menC//tktA//
clpX_lon	eda//frc//gcl//
clsA_yciU	lpoA//
cmk_rpsA	ydiO//
cmoM_mukFEB	
cmtBA_yggPFDC	tilS//dkgA//
coaE_zapD_yacG	waaY//
cobUST	paaH//nagB//ilvI//
codBA	ndh//nfsA//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	cysJ//
csgBAC	
csgDEFG	queG//
csiD_lhgO_gabDTP	uxuA//ybhA//gltX//dapE//
cusCFBA	nadA//
cusRS	
cvpA_purF_ubiX	rutE//srlD//
cydAB	dnaQ//
cydDC	gpmM//
cydX_ybgE	bglB//
cynTS	hflX//prpD//
cynTSX	nanM//cynS//dcyD//
cyoABCDE	ychF//fkpB//
cysDNC	dgoK//caiD//
cysJIH	tdcD//mepS//gpmM//
cysPUWAM	hyaC//cysN//gdhA//
dadAX	aceE//epmC//
damX_dam_rpe_gph_trpS	sodA//yqhD//mnmE//moaE//
dam_rpe_gph_trpS	yjjG//gcvH//hycG//dacC//
dapA_bamC	frmB//
dapE_ypfN	pgaC//
dcm_vsr	guaD//
dcuB_fumB	der//hisH//
dcuSR	
dcyD_tcyLN	ycjG//can//
ddpXABCDF	ruvC//
def_fmt	ribB//panC//
degQS	psuG//dhaK//
deoABD	valS//aceA//bioC//
deoBD	fcl//pykA//
deoCABD	ispG//fdhF//dut//rfbC//
dgoRKADT	dkgA//hemB//cfa//asnA//
dhaKLM	aroC//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	thrB//rutD//
dinJ_yafQ	cysK//
dksA_gluQ	mrcB//
dmsABC	queG//
dnaAN_recF	rsgA//
dnaK_tpke11_dnaJ	glnS//
dnaN_recF	lpxC//
dnaTC	
dnaTC_yjjA	
dosCP	menI//cobU//
dpiBA	
dppABCDF	hcaF//
dsbC_recJ_prfB	pdxA//sdhD//
dsbD_yjdC	
dsdXA	bioA//napA//
dusB_fis	hcaB//
dut_slmA	hdhA//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	menH//paoA//
efeOB	yqjH//
efeU_1U_2	
elbB_mtgA	pagP//
elfDCG_ycbUVF	
emrKY	yiaK//
entCEBAH	menD//malP//rfbB//trpD//maeA//pncA//
envY_ompT	mutH//
epd_pgk	surA//tag//
epd_pgk_fbaA	citE//nirD//ubiC//
essD_rrrD_rzpD	paaA//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	panE//
eutHA	
eutNEJG	
eutSPQTDM	pdxK//
evgAS	
exbBD	
fabDG_acpP	alaC//dgoA//
fabG_acpP	uxaA//
fabHDG	alkB//cfa//argH//
fabR_yijD	
fadBA	dapA//hcaF//
fadD_sroD	bioC//
fadIJ	dkgB//yfeX//
fdnGHI	
fdoGHI_fdhE	yjjG//
fdrA_ylbEF_ybcF	nhoA//
fecABCDE	roxA//patD//
fecIR	
feoABC	tesA//
fepA_entD	fkpA//folK//atoA//
fepDGC	recR//
fes_ybdZ_entF_fepE	dgkA//thiF//puuA//
fetAB	
fhuACDB	tehB//yihU//
ficA_fic_pabA	ftsI//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	frlC//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	pdxB//menA//
folC_dedD	gpsA//
folD_ybcJ	ygiF//
folE_yeiB	lsrF//
folP_glmM	chbF//murD//
folX_yfcH	glcD//
frdABCD	caiA//
frlABCDR	sucB//gcvT//waaZ//ppiB//
frmRAB	tatD//acpT//
fruBKA	ydjG//alaA//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	moaA//pnp//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	astA//hchA//wzc//adhP//deoC//yrfG//nanK//pabA//uxaB//gshB//
ftsQAZ	
ftsYEX	
fucAO	asd//narG//
fucPIKUR	rutB//speB//fkpA//amiD//
fumAC	aroB//ilvB//
fusA_tufA	
gabDTP	dhaL//abgA//ldtE//
gadAX	ynjE//
gadBC	caiA//pyrC//
gadEF	
gadEF_mdtEF	nhoA//
gadXW	
galET	paaI//entH//
galETK	nagA//nadB//recG//
galETKM	hycC//torZ//dusC//fbp//
gapA_yeaD	rbn//
gapC_1C_2	
garPLRK_rnpB	ldtE//maeA//yjhG//gloB//nrfB//hycF//
gatYZABCD	glpD//mhpD//umpH//
gatZABCD	tesA//fcl//cheR//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	nudF//waaY//nrdD//pcm//kdgK//
gcvTHP	rihA//nrfA//nrdB//
gfcBCD	
gfcE_etp_etk	ydiO//fabH//
ghoST	malP//
glcBA	aroB//nrdB//
glcDEFGBA	ydjG//sdhC//hycD//
glf_wbbH	rhaA//
glgAP	hisI//leuB//
glgBXCAP	hcaE//cadA//napA//mutH//dxr//
glgCAP	puuA//adhE//entE//
glmUS	rffT//rffG//
glnALG	phnG//
glnHPQ	plsC//
glnK_amtB	pfkA//
glnLG	
glnW_metU_glnVX	
glpABC	aphA//
glpEGR	thrC//fucO//
glpFKX	gutQ//lsrF//rbn//
glpGR	kbaZ//
glpTQ	dkgB//sgbU//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	puuB//
glvCBG_ysdC	
glyQS	nagB//
glyVXY	
glyW_cysT_leuZ	
gntKU	proS//fadI//
gntRKU	treA//hisH//
gntX_nfuA	
gpmM_envC_yibQ	thrA//opgB//
groSL	
gspAB	
gspCDEFGHIJKLMO	gabT//
guaBA	argB//nudK//
gudPXD	aphA//kduI//
hcaEFCBD	pheS//adhE//
hcp_hcr	gpmA//ygjK//
hdeAB_yhiD	
hemA_prfA_prmC	waaU//upp//
hemCDXY	hdhA//glxR//
hflD_purB	tsaE//
hfq_hflXKC	fabB//
hicAB	
higBA	ugd//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	pdeF//tehB//putA//menH//
hipBA	frdD//
hisBHAFI	sodC//garD//epmC//purH//
hisJQMP	hcaF//moeA//
hisLGDCBHAFI	otsA//ftnA//uidA//rpe//ygaP//caiA//yfbR//
hofMNOP	
holC_valS	galU//
holD_rimI_yjjG	ilvB//entB//
hscBA_fdx_iscX	trmJ//
hsdMS	ddlA//
hsdRMS	sdaB//
hslRO	
hslVU	thiG//
hyaABCDEF	
hybOABCDEFG	hcaE//
hycABCDEFGHI	hyaC//aroH//
hydN_hypF	pdeL//
hyfABCDEFGHIJR_focB	nudF//
hypABCDE	gdhA//
hypABCDE_fhlA	lpxH//
hypBCDE	ispD//
hypBCDE_fhlA	upp//
iaaA_gsiABCD	pykA//tdcB//
ibaG_murA	nudK//
ibpAB	
idnDOTR	oxc//apaH//eptC//
ileS_lspA_fkpB_ispH	galT//thiK//gloA//nrfD//
ilvEDA	glgP//gltA//fabD//gpp//
ilvIH	dxr//
ilvLXG_1G_2MEDA	waaZ//rlmH//der//mrdA//curA//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	anmK//
insN_1I_1O_1	pdxY//
insO_2_yjhWV	
iscRSUA	tmcA//phnI//
ispDF	ydiF//idnO//
ispG_sroE	fabD//
isrC_flu	
ivbL_ilvBN	tig//
ivbL_ilvBN_uhpABC	pssA//
kbaZ_agaVWA	anmK//
kbl_tdh	arsC//umuD//
kdpDE	
kdpFABC	glyQ//
kdsC_lptCAB	gadA//ansA//
kefFC	hcp//gntK//
kefGB_yheV	cysH//
kilR_ydaE	
lacYA	dnaE//yahK//
lacZYA	dapB//hisS//rimK//
lapAB	
lapAB_pyrF_yciH	yggF//
lepAB	ddlB//
leuLABCD	wecC//yihV//ynfG//
leuQPV	
leuS_lptE_holA_nadD_cobC	ybhA//dacC//nudB//
lexA_dinF	
lgt_thyA	mmuM//hemH//
ligA_ypeB	aceF//
livKHMGF	gutQ//dmlA//
lldPRD	paoB//recG//
lolA_rarA	
lolB_ispE_prs	purA//pgsA//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	polA//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	pspE//hdhA//
lptFG	
lspA_fkpB_ispH	ynjE//epmB//thrB//
lsrACDBFG_tam	yieF//slt//napC//torY//
lsrRK	recJ//
ltaE_ybjT	yciV//
lysT_valT_lysW	
macAB	pck//
malEFG	menH//
malK_lamB_malM	ilvE//lpxH//
malPQ	rne//fbaB//
malXY	waaL//dut//
manXYZ	argS//
map_glnD_dapD	glgP//arnC//pdxY//
marRAB	
mazEFG	rluB//
mcrBC	hisA//
mdlAB	
mdtABCD_baeSR	glyA//
mdtEF	ltaE//
mdtJI	ddlB//
mdtM_yjiN	csdA//
mdtNOP	ldhA//
melAB	mog//dusA//
menA_rraA	leuC//
menBCE	cobS//bfr//alr//
menDHBCE	allA//ldtC//ilvN//suhB//nadK//
menFDHBCE	yicI//gltX//folC//ahpF//rsgA//udp//
metBL	eutC//astA//
metNIQ	selA//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	glmU//glpE//pphB//
metZWV	
mglAC	tsaE//
mglBAC	eutC//
mgtLA	fruK//
mhpABCDFE	thiC//gatZ//nadD//melA//torA//nrfB//
mhpR_lacI	
miaA_hfq_hflXKC	ligA//nrfC//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	paaG//nrdB//
mnaT_ydcZ	trmA//
mngAB	rffG//paaA//
mnmG_rsmG	yghU//folA//
mntR_ybiR	
moaABCDE	gshB//tdh//
moaBCDE	glf//
mobAB	rluA//
modABC	folC//
modEF	
moeAB	ilvG_1//rutA//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	tdcE//
mqsRA	argD//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	tdk//pyrB//ispU//icd//aceB//puuA//ilvI//ogt//pssA//gmd//ybbO//
mreBCD	
mreCD	
msrPQ	
mtlADR	rlmH//caiB//idnD//
mtn_btuF_yadS	aroF//sdaA//
murB_birA	yigB//pyrC//
murQP	clsA//rluB//lhgO//
murQP_yfeW	xdhB//yidA//hcaC//mngB//
mutL_miaA_hfq_hflXKC	chbF//puuE//ulaD//
mutY_yggX	xdhA//
mutY_yggX_mltC	araA//nrfB//
mutY_yggX_mltC_nupG	guaC//yfbR//fadD//
nadA_pnuC	umuC//pgi//
nagBAC_umpH	solA//dusC//rdoA//
nagK_cobB	murE//idi//
nanATEK_yhcH	yghA//fabB//xthA//citD//
nanCM	umpG//ydjG//
nanCMS	anmK//cobT//
napFDAGHBC	yiaY//
napFDAGHBC_ccmABCDEFGH	glyS//narG//
narGHJI	mpaA//
narWV	menF//
narXL	
narZYWV	moeA//
nemRA	treC//
nemRA_gloA	slt//gshA//
nfrBA	
nhaAR	sufS//
nikABCDER	trpD//
nirBDC_cysG	epmB//eutB//glpD//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	malY//
nrdAB_yfaE	bioF//
nrdDG	dusA//astA//
nrdHIEF	ttdA//
nrdR_ribDE_nusB_thiL_pgpA	purL//sgbU//truC//mltF//
nrfABCDEFG	yhhW//
nsrR_rnr_rlmB_yjfI	malZ//tnaA//
nudB_yebC_ruvC	gabT//purA//
nudC_hemE_nfi	abgA//tmcA//
nudF_yqiB_cpdA_yqiA_parE	gdhA//umuD//
nuoABCEFGHIJKLMN	caiC//
nuoMN	alkB//
ompR_envZ	
opgGH	
oppABCDF	nadK//tmk//
osmF_yehYXW	purB//
otsBA	tmcA//alr//
paaABCDEFGHIJK	nanE//rutD//folM//dgcM//sodA//astE//tag//
paaXY	argH//
pabB_nudL	ydbC//yqjH//
pabC_mltG_tmk_holB_ycfH	paaA//mltD//fdhF//
panBC	treF//fabZ//
panE_yajL	ispA//
paoABCD	ybjI//
pcnB_folK	entD//rfbB//
pdeI_dgcI	
pdhR_aceEF_lpd	torZ//serA//insI-1//rutB//phnJ//frmA//
pdxA_rsmA	proC//iscS//
pdxA_rsmA_apaGH	glgA//ansB//cmoB//
pdxB_usg_truA_dedA	acs//eutC//
pdxH_tyrS_pdxY	pldA//yegS//accA//
pdxJ_acpS	aceE//bcsA//
pepQ_yigZ_trkH_hemG	otsA//fbaA//ppc//
pflDC	
pgaABCD	puuB//menB//prpC//
pgk_fbaA	nadC//astE//
pgpC_tadA	trmH//hcaC//
pheLA	paoC//
pheMST_ihfA	ubiI//
phnCDE_1E_2FGHIJKLMNOP	tauD//chbG//polB//bfr//mcrC//bglA//mobA//
phnLMNOP	glpK//yfbR//fbaB//dmlA//waaG//
phoA_psiF	rimK//
phoBR	
phoPQ	
pldB_yigL	tadA//ymdB//
plsX_fabHDG	thrA//fadD//cmoA//
pntAB	
potABCD	ampD//
potFGHI	glyA//
poxB_ltaE_ybjT	ldcA//frdC//
ppdAB_ygdB_ppdC_recC	arnB//
ppdD_hofBC	
ppiB_lpxH	rnd//entF//
ppk_ppx	glgC//hemB//
pqiAB	
preTA	nfi//
prfB_lysS	serS//
priC_ybaM	
prlC_rsmJ	fabI//phnJ//
prlF_yhaV	menD//
prmB_aroC_mepA_yfcA_epmC_yfcL	purL//gldA//tauD//ygaP//
proBA	fau//lpoA//
proQ_prc	entB//
proVWX	rutD//
prpBCDE	argA//yieF//pagP//pabC//
psd_mscM	
pspABCDE	bioD//
pspBCDE	etp//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	glcB//folX//
pth_ychF	hemA//
ptrA_recBD	glmS//alkA//
ptsA_fsaB_gldA	murE//lpxK//
ptsHI_crr	rsmC//cpdB//galU//
purEK	napA//opgB//
purHD	hcaE//proC//
purMN	puuA//guaB//
puuAP	bglX//umuC//
puuCBE	ldcA//feaB//yigL//
puuDRCBE	adeD//hcaC//anmK//ispD//
pyrF_yciH	glnS//
pyrG_eno	wzb//narG//
pyrLBI	nudJ//
qmcA_ybbJ	
qseBC	
radA_nadR	rluB//
rapA_rluA	dosP//
ratAB	
ravA_viaA	
rbsDACBKR	nfi//kdsB//rluD//
rclABC	
rclBC	
rcnAB	aphA//
rcsDB	
rcsF_trmO	gudD//
rdgB_yggW	frdD//
rdoA_dsbA	sseA//ispF//
recAX	
recET_ralR_ydaC_xisR_intR	yliI//tsaB//
relA_mazEF	dmsA//
relBE	adhP//
relBE_hokD	panD//
renD_emrE	fucK//
rfaD_waaFCL	ilvE//ada//nudB//ppc//
rfbACX	alsE//acpS//lpxK//ybiV//
rfbBDACX	queD//fadK//gluQ//lysC//amiD//trmO//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	fadH//clsA//trpE//metE//yfdR//pbpC//pyrG//napB//can//
rhaBAD	anmK//fadE//tyrA//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	sodB//glyS//rutB//
ribF_ileS_lspA_fkpB_ispH	ycjU//galE//yohF//prpE//yigL//
rimK_ybjN	rsmH//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	menH//rsgA//ispA//waaG//entB//cpdA//lysA//alaS//ydbC//gpp//
rlmE_ftsH	pgpB//rhaM//
rlmL_uup	fadJ//
rluD_yfiH	narY//pdxJ//
rluE_nudJ	nth//waaJ//
rnc_era	prmC//
rnc_era_recO_pdxJ_acpS	epmC//ispG//ldtE//amyA//
rnlAB	araA//
rnt_lhr	dgcZ//
rpe_gph_trpS	astA//dapB//torC//
rph_pyrE	pdeH//hyi//
rpiR_alsBACE	murB//nudE//
rplJL_rpoBC	aspS//
rplKAJL_rpoBC	prmC//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	napH//
rpmF_plsX_fabHDG	menE//alaC//carB//
rpmH_rnpA	ppc//add//
rpmI_rplT	
rpoBC	rnpA//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	napA//rlmF//tpiA//
rppH_ptsP	yjjX//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	ynjE//
rpsO_pnp	alr//glpE//
rpsP_rimM_trmD_rplS	mnmC//
rpsU_dnaG_rpoD	rlmF//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	queG//kdsB//
rsmA_apaGH	qor//qor//
rsmD_yhhL	hemH//
rsmE_gshB	pabA//idi//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	hemL//yneH//gcvT//argC//pabA//ddlA//hemN//pyrF//rluE//hcaD//hyuA//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	ppx//
rtcBA	lldD//rsmA//
rutABCDEFG	ygiF//thyA//umpH//zwf//kduD//nrdF//
ruvAB	scpA//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	rdoA//
scpA_argK_scpBC	yahK//rhaB//lpd//ampH//
sdaCB	nudC//eno//
sdhCDAB_sucABCD	narZ//arnA//hmp//glgX//
sdhDAB	
sdhE_cptA	
secB_gpsA	mutY//
secE_nusG	
secG_leuU	
secMA_mutT	ulaD//
selAB	proS//rlmC//
selD_topB	lpxD//nudB//
seqA_pgm	gor//
serB_radA	murD//
serC_aroA	rlmB//hycC//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	yhhW//
sgrST_setA	phr//
skp_lpxD_fabZ_lpxA	tauD//napH//upp//
slp_dctR	
solA_yceO	proC//
speAB	polB//sthA//
speF_potE	nadR//frdB//
srlAEBD_gutM_srlR_gutQ	gloB//napC//glgA//
sroG_ribB	hemF//
sspAB	
ssrS_fau	pyrD//
ssuEADCB	ruvC//cysG//argK//
stfE_tfaE	
sucAB	ynfG//kdsB//pdeR//
sucABCD	frc//allC//garL//galT//
sufABCDSE	uvrA//
surA_pdxA_rsmA_apaGH	nudL//purC//rffH//preA//
tag_yiaC	rpe//
talA_tktB	cof//cysN//
tamAB_ytfP	
tar_tap_cheRBYZ	pyrE//cobB//
tatABC	xdhB//
tatABCD	ispH//idnK//
tauABCD	fbaB//metG//
tdcABCDEFG	ybaS//rdgB//speD//guaA//phnM//
tdcBCDEFG	ribD//tyrA//fruK//ygeX//hisG//
tehAB	mutY//entB//
tesA_ybbO	nrdD//phnH//
tff_rpsB_tsf	
tgt_yajC	pgl//
thiCEFSGH	queF//ascB//hemF//valS//hisD//
thiMD	gpmA//serA//
thrLABC	ispG//fabD//rffH//
thrS_infC	wrbA//
thrS_infC_rpmI_rplT_pheMST_ihfA	malP//pheA//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	hemG//nudJ//
tolB_pal_cpoB	
tolC_ygiABC	glyQ//tdh//sucA//eutD//gcl//bioH//patD//tynA//citE//
tomB_hha	
topAI_yjhQ	
torCAD	paoA//
torYZ	trmH//
treBC	pabA//gutQ//
trmI_yggL	clsC//
trpCBA	folK//ppiC//yeaE//dxs//
trpLEDCBA	recJ//xylB//rffT//rutB//gor//rhaB//
tsaB_yeaY	ygeX//
tsaE_amiB_mutL_miaA_hfq_hflXKC	trmI//ldtA//ilvA//dam//thyA//
ttdABT	lpoB//yfdR//
tyrS_pdxY	guaC//fbp//
tyrTV_tpr	
tyrV_tpr	
ubiCA	pgpA//xdhC//
ubiEJB	allA//
udk_dcd	mutL//luxS//
ugpBAECQ	arsC//uxaB//
uhpABC	
uidABC	ppx//pldA//
ulaABCDEF	dcyD//mnmG//aceA//ydiB//
umpG_pcm	lpxL//nagA//
umuDC	treA//
uof_fur	
upp_uraA	ubiX//kduI//
usg_truA_dedA	ispE//
uvrYC	umuC//
uxaCA	ydiO//truC//
uxuAB	yhhW//citX//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	rluA//ackA//
waaQGPSBOJYZU	citG//moaD//sgbU//agp//chbF//rsmG//murG//yqjH//phnJ//rdgB//
waaYZ	tehB//ackA//
waaZU	psuK//leuB//
wbbIJK	yggF//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	trpE//glpE//efeB//cheB//rsgA//lpd//
wcaKLM	
wrbA_yccJ	mpaA//
wza_wzb_wzc	pgm//mdh//
wza_wzb_wzc_wcaAB	lysS//cheR//
xanQ_guaD_ghxQ	ddlB//truA//murB//
xapAB	rihB//nagA//
xdhABC	miaB//
xerD_dsbC_recJ	glgP//cobC//
xseB_ispA_dxs_yajO	adhP//aceE//caiD//kdsB//
xylAB	glk//frmA//
xylFGHR	ilvA//
yabPQ	
yacC_speED	nadC//azoR//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	hpt//
yafDE	
yafNOP	alaS//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	frdC//phnH//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	rffG//
ybaB_recR	queF//
ybaST	treC//
ybbAP	
ybbY_glxK	tyrB//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	phnO//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	puuD//
ybeZY	
ybeZYX_lnt	mhpB//
ybfHG	
ybfOC	
ybgA_phr	cobS//
ybgC_tolQRA	
ybgIJKL_nei	ilvE//
ybgQPO	
ybhP_clsB_ybhN	mtn//
ybiYW	
ybjC_nfsA_rimK_ybjN	fbaA//napC//
ybjJI	gloB//
ybjO_rlmC	tgt//
ybjQ_amiD	scpA//
ycaI_msbA_lpxK_ycaQ	epd//cof//
ycaR_kdsB	hemL//
ycbK_gloC	waaO//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	guaB//
yciCB	
yciGFE	
yciK_btuR	nagK//
yciVOQ	mutS//
yciZT	
ycjMNOPQRSTUV_ymjB	amiD//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	pta//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	galU//rbn//
ydcSTUV_patD	panC//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	mutT//
ydgK_rsxABCDGE_nth	yfcF//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	scpC//pdxB//
ydiJ_menI_ydiH	entC//
ydiNB_aroD	rlmC//putA//
ydiQRST_fadK	alkB//
ydjA_selD_topB	fabF//lpcA//
ydjLKJIHG	bioF//
ydjXYZ_ynjABCD	
yeaGH	cyaA//
yeaR_yoaG	
yeaVW	
yebC_ruvC	caiA//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	waaJ//lpxK//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	gltX//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	tehB//dadX//
yejABEF	menD//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	mngB//
yfaX_rhmD	
yfaX_rhmD_yfaVU	ydjG//
yfbUT	paaH//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	cysH//
