# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	hchA//
cynTS	queF//accA//
cynTSX	citD//dosP//ynfE//
cyoABCDE	srlD//hemE//
cysDNC	dgcZ//menH//
cysJIH	trpA//abgA//dgcT//
cysPUWAM	puuD//hycC//dusA//
dadAX	nfi//ilvG_1//
damX_dam_rpe_gph_trpS	thrS//ahr//cdd//uvrA//
dam_rpe_gph_trpS	mak//ybjG//nagB//pyrE//
dapA_bamC	mcrC//
dapE_ypfN	carB//
dcm_vsr	valS//
dcuB_fumB	glyQ//acpS//
dcuSR	
dcyD_tcyLN	rlmI//nudE//
ddpXABCDF	gmd//
def_fmt	rlmA//rutB//
degQS	aldA//argA//
deoABD	fre//dgcM//aroL//
deoBD	thiC//ppiC//
deoCABD	ilvI//lipB//aceE//metB//
dgoRKADT	umpH//galT//caiD//ychF//
dhaKLM	deoB//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	epd//cysJ//
dinJ_yafQ	rluF//
dksA_gluQ	carB//
dmsABC	katG//
dnaAN_recF	epmA//
dnaK_tpke11_dnaJ	nadB//
dnaN_recF	slyD//
dnaTC	
dnaTC_yjjA	
dosCP	cheB//bglA//
dpiBA	
dppABCDF	ilvN//
dsbC_recJ_prfB	dut//ispF//
dsbD_yjdC	
dsdXA	glpC//hemF//
dusB_fis	truC//
dut_slmA	hcaB//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	ulaE//ttdB//
efeOB	rsmC//
efeU_1U_2	
elbB_mtgA	glpE//
elfDCG_ycbUVF	
emrKY	mnmE//
entCEBAH	yiaY//fbp//lpxK//sdhA//ychF//nanE//
envY_ompT	mrdA//
epd_pgk	glpX//eutB//
epd_pgk_fbaA	uxuB//insI-3//puuB//
essD_rrrD_rzpD	folP//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	pnp//
eutHA	
eutNEJG	
eutSPQTDM	gpt//
evgAS	
exbBD	
fabDG_acpP	arsC//frdB//
fabG_acpP	glcD//
fabHDG	yfbT//nagB//rnpA//
fabR_yijD	
fadBA	kdgK//plsC//
fadD_sroD	citC//
fadIJ	thrB//nudG//
fdnGHI	
fdoGHI_fdhE	ldtB//
fdrA_ylbEF_ybcF	lpoB//
fecABCDE	apt//dapB//
fecIR	
feoABC	feaB//
fepA_entD	ubiH//folB//panC//
fepDGC	purL//
fes_ybdZ_entF_fepE	gss//caiD//lsrK//
fetAB	
fhuACDB	queD//hemG//
ficA_fic_pabA	hemA//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	acpH//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	yfeW//tsaD//
folC_dedD	amn//
folD_ybcJ	bglA//
folE_yeiB	sucA//
folP_glmM	csdA//eptA//
folX_yfcH	rfbB//
frdABCD	rluA//
frlABCDR	trmA//yeiR//waaA//hisI//
frmRAB	pepD//murA//
fruBKA	mug//malP//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	lpcA//dgoD//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	ubiX//paoB//rfbA//accC//miaA//yciV//aceF//glxR//nrdF//yhdH//
ftsQAZ	
ftsYEX	
fucAO	kduD//hcaF//
fucPIKUR	hcaD//alkB//proC//aspS//
fumAC	araB//rnt//
fusA_tufA	
gabDTP	fklB//lpxP//bglX//
gadAX	cpdB//
gadBC	glpE//bioA//
gadEF	
gadEF_mdtEF	recF//
gadXW	
galET	gabD//speB//
galETK	hemG//rutD//aspA//
galETKM	glcD//hisC//atoA//tgt//
gapA_yeaD	ycaO//
gapC_1C_2	
garPLRK_rnpB	cdh//katG//cobU//mnmC//ribA//waaL//
gatYZABCD	lsrK//thiE//melA//
gatZABCD	ldtB//recJ//prs//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	lacA//gatZ//xylA//fabH//mnaT//
gcvTHP	rluA//mhpC//tdcB//
gfcBCD	
gfcE_etp_etk	cheB//glpD//
ghoST	mobA//
glcBA	plsB//waaG//
glcDEFGBA	atoB//udp//aceB//
glf_wbbH	hycE//
glgAP	spoT//yagF//
glgBXCAP	fadB//thrC//cobB//yiaY//yidA//
glgCAP	yniC//purN//alaC//
glmUS	dut//narG//
glnALG	hisI//
glnHPQ	ydiF//
glnK_amtB	guaA//
glnLG	
glnW_metU_glnVX	
glpABC	dgkA//
glpEGR	nadK//dusB//
glpFKX	dapF//nudJ//thrS//
glpGR	rffM//
glpTQ	truB//waaG//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	guaC//
glvCBG_ysdC	
glyQS	sseA//
glyVXY	
glyW_cysT_leuZ	
gntKU	serB//dapB//
gntRKU	ansA//galU//
gntX_nfuA	
gpmM_envC_yibQ	cobB//ndk//
groSL	
gspAB	
gspCDEFGHIJKLMO	trpS//
guaBA	glmS//dcm//
gudPXD	lsrK//ldcA//
hcaEFCBD	tehB//tynA//
hcp_hcr	hemC//rph//
hdeAB_yhiD	
hemA_prfA_prmC	thiI//gltX//
hemCDXY	hemC//pdeR//
hflD_purB	pldA//
hfq_hflXKC	mtgA//
hicAB	
higBA	aspA//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	maeA//ybjG//rlmE//aldA//
hipBA	ppiA//
hisBHAFI	ppsA//edd//phnP//pgaC//
hisJQMP	trmO//paaZ//
hisLGDCBHAFI	nfsA//proC//ybhA//queC//argD//slt//nrfA//
hofMNOP	
holC_valS	rsmD//
holD_rimI_yjjG	nfsB//murD//
hscBA_fdx_iscX	lpxB//
hsdMS	cynT//
hsdRMS	kdsB//
hslRO	
hslVU	dadA//
hyaABCDEF	
hybOABCDEFG	glgC//
hycABCDEFGHI	fabD//hemH//
hydN_hypF	leuB//
hyfABCDEFGHIJR_focB	epd//
hypABCDE	citF//
hypABCDE_fhlA	ubiE//
hypBCDE	phnI//
hypBCDE_fhlA	leuD//
iaaA_gsiABCD	murI//nrdD//
ibaG_murA	cysH//
ibpAB	
idnDOTR	sdhC//pgaD//murC//
ileS_lspA_fkpB_ispH	gor//rffT//nanM//thrC//
ilvEDA	ybcF//yjhG//dnaQ//serB//
ilvIH	thiI//
ilvLXG_1G_2MEDA	rsmE//tdcE//citG//roxA//lysU//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	pgaD//
insN_1I_1O_1	kdgK//
insO_2_yjhWV	
iscRSUA	citD//yghA//
ispDF	bglX//napH//
ispG_sroE	tdcG//
isrC_flu	
ivbL_ilvBN	fsaA//
ivbL_ilvBN_uhpABC	argK//
kbaZ_agaVWA	ldtD//
kbl_tdh	asnA//rffH//
kdpDE	
kdpFABC	prpB//
kdsC_lptCAB	cdd//menF//
kefFC	prpD//aroC//
kefGB_yheV	poxB//
kilR_ydaE	
lacYA	rffH//ulaD//
lacZYA	sodA//malS//hyaB//
lapAB	
lapAB_pyrF_yciH	sdaB//
lepAB	cobT//
leuLABCD	uxaB//gsk//pyrH//
leuQPV	
leuS_lptE_holA_nadD_cobC	gntK//phnH//psuK//
lexA_dinF	
lgt_thyA	trmL//dam//
ligA_ypeB	idnO//
livKHMGF	ssuD//rlmA//
lldPRD	thiK//metH//
lolA_rarA	
lolB_ispE_prs	speC//alaC//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	ruvC//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	nanK//miaB//
lptFG	
lspA_fkpB_ispH	rhaA//argB//mltC//
lsrACDBFG_tam	gph//tnaA//edd//deoA//
lsrRK	murA//
ltaE_ybjT	moaA//
lysT_valT_lysW	
macAB	ycjU//
malEFG	uvrC//
malK_lamB_malM	nadD//ilvH//
malPQ	hemE//cysC//
malXY	pyrE//talB//
manXYZ	mcrA//
map_glnD_dapD	ghrA//miaB//kdsB//
marRAB	
mazEFG	paaZ//
mcrBC	paoC//
mdlAB	
mdtABCD_baeSR	mutM//
mdtEF	tatD//
mdtJI	ndh//
mdtM_yjiN	caiC//
mdtNOP	ispF//
melAB	lpxP//arsC//
menA_rraA	rsmC//
menBCE	selB//yajO//yibQ//
menDHBCE	gltD//orn//aphA//prpB//purD//
menFDHBCE	dcyD//argC//argF//tdk//acpS//paaJ//
metBL	surA//ppsA//
metNIQ	lacZ//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	lplA//feaB//bioA//
metZWV	
mglAC	xdhA//
mglBAC	leuS//
mgtLA	purA//
mhpABCDFE	purH//trmH//opgE//aceA//cobC//rfbD//
mhpR_lacI	
miaA_hfq_hflXKC	adiA//aspC//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	epmB//dmsA//
mnaT_ydcZ	folM//
mngAB	rnb//nfsA//
mnmG_rsmG	purD//gadA//
mntR_ybiR	
moaABCDE	yhdH//pnp//
moaBCDE	thrB//
mobAB	ruvC//
modABC	alkA//
modEF	
moeAB	lpoB//pdxB//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	pphA//
mqsRA	wzb//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	nudF//pgpA//citD//aceA//dadA//lipA//talA//rrrD//entH//trpB//nrdD//
mreBCD	
mreCD	
msrPQ	
mtlADR	accD//chbF//dgoD//
mtn_btuF_yadS	coaA//fucK//
murB_birA	fadB//gltA//
murQP	ribD//phnO//pldB//
murQP_yfeW	yihV//umpG//yihV//leuB//
mutL_miaA_hfq_hflXKC	citG//queG//gatD//
mutY_yggX	argE//
mutY_yggX_mltC	ydjG//speE//
mutY_yggX_mltC_nupG	allA//eno//paaB//
nadA_pnuC	pdxB//srlD//
nagBAC_umpH	cpdB//waaL//moeA//
nagK_cobB	mltA//yjiA//
nanATEK_yhcH	mcrA//trmI//guaB//mhpC//
nanCM	dacC//mpl//
nanCMS	queG//cysK//
napFDAGHBC	birA//
napFDAGHBC_ccmABCDEFGH	mpaA//frmA//
narGHJI	btuE//
narWV	ynjE//
narXL	
narZYWV	gloC//
nemRA	frmA//
nemRA_gloA	lsrK//folE//
nfrBA	
nhaAR	tyrS//
nikABCDER	gatZ//
nirBDC_cysG	ilvM//waaB//sodC//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	lysA//
nrdAB_yfaE	uxaA//
nrdDG	truA//prpB//
nrdHIEF	tmcA//
nrdR_ribDE_nusB_thiL_pgpA	cysH//entC//bioH//hpt//
nrfABCDEFG	speD//
nsrR_rnr_rlmB_yjfI	sgbU//ybaS//
nudB_yebC_ruvC	prmB//plsC//
nudC_hemE_nfi	cyoE//dusC//
nudF_yqiB_cpdA_yqiA_parE	aspC//rlmF//
nuoABCEFGHIJKLMN	araD//
nuoMN	cynS//
ompR_envZ	
opgGH	
oppABCDF	truC//nudC//
osmF_yehYXW	cysJ//
otsBA	nanK//ttdB//
paaABCDEFGHIJK	accB//moeB//rnd//purT//cysS//puuA//nrfB//
paaXY	fadA//
pabB_nudL	ilvC//thiK//
pabC_mltG_tmk_holB_ycfH	yjjG//waaU//patA//
panBC	gph//accB//
panE_yajL	argE//
paoABCD	fadD//
pcnB_folK	aroB//gntK//
pdeI_dgcI	
pdhR_aceEF_lpd	waaP//bcsB//yfiH//dgoK//hycC//uxuB//
pdxA_rsmA	glpK//ynfG//
pdxA_rsmA_apaGH	rhaB//recG//pepD//
pdxB_usg_truA_dedA	sdhA//ilvN//
pdxH_tyrS_pdxY	nrdA//ubiE//bglA//
pdxJ_acpS	truB//sgbH//
pepQ_yigZ_trkH_hemG	pdeR//lsrF//gmhB//
pflDC	
pgaABCD	ruvA//astE//btuE//
pgk_fbaA	aphA//hycB//
pgpC_tadA	yahK//tam//
pheLA	prpB//
pheMST_ihfA	fucI//
phnCDE_1E_2FGHIJKLMNOP	sodA//pldA//ttdB//fabI//garR//nadA//edd//
phnLMNOP	rihB//cpsG//cof//glnE//maeA//
phoA_psiF	torZ//
phoBR	
phoPQ	
pldB_yigL	waaS//ispA//
plsX_fabHDG	betA//paaA//rutC//
pntAB	
potABCD	prmC//
potFGHI	paaK//
poxB_ltaE_ybjT	nth//cdh//
ppdAB_ygdB_ppdC_recC	pagP//
ppdD_hofBC	
ppiB_lpxH	adhE//thrS//
ppk_ppx	nrfC//yiaK//
pqiAB	
preTA	ribA//
prfB_lysS	kefF//
priC_ybaM	
prlC_rsmJ	talA//leuC//
prlF_yhaV	panE//
prmB_aroC_mepA_yfcA_epmC_yfcL	csdA//sodB//gcvP//orn//
proBA	plsC//rnpA//
proQ_prc	prmB//
proVWX	tyrB//
prpBCDE	paaK//clsB//mhpF//fabD//
psd_mscM	
pspABCDE	sthA//
pspBCDE	nrfD//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	yhdH//ilvG_2//
pth_ychF	dgoD//
ptrA_recBD	pyrI//yigB//
ptsA_fsaB_gldA	queD//puuB//
ptsHI_crr	bcsB//yjeF//lpxM//
purEK	proB//poxB//
purHD	sucB//fadI//
purMN	ugpQ//tsaE//
puuAP	metG//dhaL//
puuCBE	folD//lysA//uxaA//
puuDRCBE	dacA//otsA//entF//aceB//
pyrF_yciH	sgbU//
pyrG_eno	glgC//pgk//
pyrLBI	lpcA//
qmcA_ybbJ	
qseBC	
radA_nadR	atoB//
rapA_rluA	rhaA//
ratAB	
ravA_viaA	
rbsDACBKR	menI//murE//oxc//
rclABC	
rclBC	
rcnAB	narH//
rcsDB	
rcsF_trmO	galM//
rdgB_yggW	rffM//
rdoA_dsbA	mdh//alsK//
recAX	
recET_ralR_ydaC_xisR_intR	ugpQ//pck//
relA_mazEF	slyD//
relBE	tsaE//
relBE_hokD	truC//
renD_emrE	gluQ//
rfaD_waaFCL	queG//ligA//rsgA//thiH//
rfbACX	sucC//slt//ychF//slt//
rfbBDACX	paaK//prpD//ubiF//menC//hemD//lsrG//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	hycE//nfsA//coaA//hcaE//dgkA//guaD//pnp//asnB//argS//
rhaBAD	trmH//pgm//wzc//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	udk//mhpA//ruvB//
ribF_ileS_lspA_fkpB_ispH	hemG//rdoA//ribD//ilvH//panC//
rimK_ybjN	cpsG//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	fadD//mutL//ttdA//gmm//idnD//yfdE//eptB//ybdL//tsaB//yneH//
rlmE_ftsH	rsmF//glyS//
rlmL_uup	thiF//
rluD_yfiH	lsrG//mpl//
rluE_nudJ	gabD//yhdH//
rnc_era	pdeL//
rnc_era_recO_pdxJ_acpS	rbn//rsmD//fadK//purM//
rnlAB	pabB//
rnt_lhr	mcrC//
rpe_gph_trpS	arnC//thrS//nth//
rph_pyrE	rutC//ubiD//
rpiR_alsBACE	galT//carA//
rplJL_rpoBC	slyD//
rplKAJL_rpoBC	psuK//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	aldA//
rpmF_plsX_fabHDG	pgaC//yagE//glpB//
rpmH_rnpA	yhdJ//xylB//
rpmI_rplT	
rpoBC	cdh//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	cobU//wecB//kbaY//
rppH_ptsP	rutE//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	phnO//
rpsO_pnp	gdhA//phnL//
rpsP_rimM_trmD_rplS	wecB//
rpsU_dnaG_rpoD	ampC//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	paaH//murC//
rsmA_apaGH	gntK//nfi//
rsmD_yhhL	hchA//
rsmE_gshB	uidA//rsmB//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	yihV//malY//dam//hycG//ttdB//waaZ//slyD//paaY//yceF//glpA//patD//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	epmC//
rtcBA	yfdR//dmsA//
rutABCDEFG	pldB//waaF//yajO//nth//aspC//rsgA//
ruvAB	trmD//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	hisA//
scpA_argK_scpBC	dmsB//ppk//metB//yfdE//
sdaCB	asnA//gpmM//
sdhCDAB_sucABCD	ygjK//murE//atoA//polA//
sdhDAB	
sdhE_cptA	
secB_gpsA	gltX//
secE_nusG	
secG_leuU	
secMA_mutT	gabD//
selAB	ydfG//gabT//
selD_topB	xthA//mrdA//
seqA_pgm	lyxK//
serB_radA	pphA//
serC_aroA	yjhG//ndk//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	gcvT//
sgrST_setA	waaC//
skp_lpxD_fabZ_lpxA	waaP//ribF//paaA//
slp_dctR	
solA_yceO	etk//
speAB	hisG//cobT//
speF_potE	cmk//sucA//
srlAEBD_gutM_srlR_gutQ	folC//trmL//gadB//
sroG_ribB	fabI//
sspAB	
ssrS_fau	dgcZ//
ssuEADCB	glgX//glcF//nirB//
stfE_tfaE	
sucAB	pdeF//mak//hemE//
sucABCD	tsaE//lpxL//yqaB//tcdA//
sufABCDSE	argI//
surA_pdxA_rsmA_apaGH	sbcB//fadA//opgE//panC//
tag_yiaC	ssuD//
talA_tktB	trmH//nudF//
tamAB_ytfP	
tar_tap_cheRBYZ	rfbB//ascB//
tatABC	patZ//
tatABCD	rfaD//ispU//
tauABCD	bacA//ileS//
tdcABCDEFG	entC//aroL//rffT//kduD//phnG//
tdcBCDEFG	entF//nadD//yhdJ//uvrA//abgA//
tehAB	tsaC//xdhB//
tesA_ybbO	emtA//uxuB//
tff_rpsB_tsf	
tgt_yajC	folM//
thiCEFSGH	pfkA//ltaE//argH//serB//yfeW//
thiMD	yfiC//yqaB//
thrLABC	nanK//entH//pncC//
thrS_infC	puuA//
thrS_infC_rpmI_rplT_pheMST_ihfA	umuC//serA//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	kbl//rluC//
tolB_pal_cpoB	
tolC_ygiABC	astA//etk//asnS//kdsD//suhB//tyrB//tag//nfi//azoR//
tomB_hha	
topAI_yjhQ	
torCAD	pta//
torYZ	aroH//
treBC	epd//pykA//
trmI_yggL	adk//
trpCBA	cmoB//yfcF//rluD//pgpB//
trpLEDCBA	ispF//lysA//galM//yliI//edd//fadD//
tsaB_yeaY	cysD//
tsaE_amiB_mutL_miaA_hfq_hflXKC	yjcS//epmA//malZ//guaA//dacC//
ttdABT	thiG//mmuM//
tyrS_pdxY	miaB//rutD//
tyrTV_tpr	
tyrV_tpr	
ubiCA	selA//slt//
ubiEJB	xylA//
udk_dcd	cobT//fbp//
ugpBAECQ	ribE//arnA//
uhpABC	
uidABC	betB//lpxB//
ulaABCDEF	ascB//ybiV//rluD//purA//
umpG_pcm	pyrG//rlmG//
umuDC	pdxY//
uof_fur	
upp_uraA	codA//mutM//
usg_truA_dedA	nadR//
uvrYC	hyaA//
uxaCA	lyxK//nanM//
uxuAB	hycF//gloB//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	lpcA//chbF//
waaQGPSBOJYZU	mocA//aceF//purH//cysC//nhoA//narH//tpiA//mltF//lpxK//torC//
waaYZ	kdsA//maeA//
waaZU	frdD//purA//
wbbIJK	ahpF//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	ychF//rutE//nudE//dmsA//glxK//fabH//
wcaKLM	
wrbA_yccJ	ascB//
wza_wzb_wzc	puuB//mhpF//
wza_wzb_wzc_wcaAB	gstB//napH//
xanQ_guaD_ghxQ	cyaA//bglX//hycF//
xapAB	mpaA//amyA//
xdhABC	rhaD//
xerD_dsbC_recJ	ung//fadJ//
xseB_ispA_dxs_yajO	talA//speA//ppa//sthA//
xylAB	ybdL//cysQ//
xylFGHR	pspE//
yabPQ	
yacC_speED	acs//rlmM//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	lplA//
yafDE	
yafNOP	melA//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	psuG//birA//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	tyrS//
ybaB_recR	kdsA//
ybaST	yeaG//
ybbAP	
ybbY_glxK	tdcD//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	mtgA//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	astE//
ybeZY	
ybeZYX_lnt	opgE//
ybfHG	
ybfOC	
ybgA_phr	rbsK//
ybgC_tolQRA	
ybgIJKL_nei	narG//
ybgQPO	
ybhP_clsB_ybhN	guaA//
ybiYW	
ybjC_nfsA_rimK_ybjN	bioF//rluE//
ybjJI	menB//
ybjO_rlmC	agp//
ybjQ_amiD	pyrG//
ycaI_msbA_lpxK_ycaQ	pdeR//ssuD//
ycaR_kdsB	xylB//
ycbK_gloC	mtn//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	maeB//
yciCB	
yciGFE	
yciK_btuR	hcaD//
yciVOQ	entC//
yciZT	
ycjMNOPQRSTUV_ymjB	miaB//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	menB//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	fabD//garR//
ydcSTUV_patD	rhaA//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	cyaA//
ydgK_rsxABCDGE_nth	ybhA//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	folD//phnO//
ydiJ_menI_ydiH	yhdH//
ydiNB_aroD	rihA//mtgA//
ydiQRST_fadK	dcm//
ydjA_selD_topB	rbn//tyrS//
ydjLKJIHG	argE//
ydjXYZ_ynjABCD	
yeaGH	ribF//
yeaR_yoaG	
yeaVW	
yebC_ruvC	otsA//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	aceE//dcm//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	dadX//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	yiaK//ung//
yejABEF	amyA//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	fklB//
yfaX_rhmD	
yfaX_rhmD_yfaVU	ilvM//
yfbUT	csdA//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	uxaC//
