# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	queF//
miaA_hfq_hflXKC	folX//frlD//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	trmI//torY//
mnaT_ydcZ	lpxL//
mngAB	garR//umpG//
mnmG_rsmG	ppsA//fumA//
mntR_ybiR	
moaABCDE	guaB//ghrA//
moaBCDE	phoA//
mobAB	eno//
modABC	rsmB//
modEF	
moeAB	ispH//paaJ//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	gadB//
mqsRA	cysN//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	dcyD//rimK//lpxP//yihS//pbpC//uxaB//glpQ//gudD//mtgA//glnA//rpe//
mreBCD	
mreCD	
msrPQ	
mtlADR	qor//rph//lacA//
mtn_btuF_yadS	hemH//hemC//
murB_birA	gltB//murC//
murQP	tgt//paoB//thyA//
murQP_yfeW	araA//aroL//pgpC//yfdE//
mutL_miaA_hfq_hflXKC	glmM//amiD//ispU//
mutY_yggX	putA//
mutY_yggX_mltC	speB//yfdE//
mutY_yggX_mltC_nupG	glgB//garK//entA//
nadA_pnuC	bglX//arnT//
nagBAC_umpH	dusB//ilvN//glgA//
nagK_cobB	sgbH//yeaG//
nanATEK_yhcH	gsk//pheA//trpD//leuS//
nanCM	waaA//selA//
nanCMS	argA//proB//
napFDAGHBC	citD//
napFDAGHBC_ccmABCDEFGH	pyrD//waaS//
narGHJI	rlmM//
narWV	nagK//
narXL	
narZYWV	talA//
nemRA	citX//
nemRA_gloA	phnL//thiK//
nfrBA	
nhaAR	rutD//
nikABCDER	gdhA//
nirBDC_cysG	cysD//dgcZ//rsmI//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	nudG//
nrdAB_yfaE	pdxY//
nrdDG	speF//mutT//
nrdHIEF	valS//
nrdR_ribDE_nusB_thiL_pgpA	torZ//mutH//phnN//ampD//
nrfABCDEFG	dmlA//
nsrR_rnr_rlmB_yjfI	talB//waaS//
nudB_yebC_ruvC	mhpE//fabF//
nudC_hemE_nfi	pdxK//truB//
nudF_yqiB_cpdA_yqiA_parE	ldhA//cynT//
nuoABCEFGHIJKLMN	narG//
nuoMN	umuC//
ompR_envZ	
opgGH	
oppABCDF	bioF//mepS//
osmF_yehYXW	purL//
otsBA	nadE//nadK//
paaABCDEFGHIJK	aphA//pgpC//miaA//fucU//argI//aroA//valS//
paaXY	dgoK//
pabB_nudL	ttdB//rihA//
pabC_mltG_tmk_holB_ycfH	purT//ddlB//dgoA//
panBC	ilvD//hinT//
panE_yajL	proB//
paoABCD	pyrD//
pcnB_folK	ddlA//dgkA//
pdeI_dgcI	
pdhR_aceEF_lpd	ubiF//truD//thrS//tpiA//arnC//phnO//
pdxA_rsmA	astD//rluC//
pdxA_rsmA_apaGH	cdh//lgoD//hypF//
pdxB_usg_truA_dedA	uxuB//glpD//
pdxH_tyrS_pdxY	ldtC//mltB//fabD//
pdxJ_acpS	fadE//rutE//
pepQ_yigZ_trkH_hemG	rnpB//bcsB//katE//
pflDC	
pgaABCD	udk//pagP//ligA//
pgk_fbaA	mgsA//gudD//
pgpC_tadA	hisD//ddlA//
pheLA	gnd//
pheMST_ihfA	yqhD//
phnCDE_1E_2FGHIJKLMNOP	speG//gpt//dgkA//amiD//mcrB//rpiA//thyA//
phnLMNOP	kefF//fabH//pyrE//ppa//yrfG//
phoA_psiF	coaD//
phoBR	
phoPQ	
pldB_yigL	nadD//rsmF//
plsX_fabHDG	rhaB//uxaB//entB//
pntAB	
potABCD	yrfG//
potFGHI	mrcB//
poxB_ltaE_ybjT	ydbC//lpxC//
ppdAB_ygdB_ppdC_recC	fkpA//
ppdD_hofBC	
ppiB_lpxH	trpD//ligA//
ppk_ppx	mnmA//kefF//
pqiAB	
preTA	fabB//
prfB_lysS	rlmJ//
priC_ybaM	
prlC_rsmJ	abgA//alr//
prlF_yhaV	mdh//
prmB_aroC_mepA_yfcA_epmC_yfcL	ldhA//cpdA//gltA//psd//
proBA	mazG//queG//
proQ_prc	xdhA//
proVWX	katE//
prpBCDE	menE//glcD//scpB//rluF//
psd_mscM	
pspABCDE	avtA//
pspBCDE	rffM//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	hisS//yceF//
pth_ychF	dut//
ptrA_recBD	mnmE//edd//
ptsA_fsaB_gldA	nanK//leuD//
ptsHI_crr	metA//narV//thyA//
purEK	fadK//pspE//
purHD	cpsB//yihV//
purMN	argF//avtA//
puuAP	guaC//yigB//
puuCBE	rph//cyaA//atoB//
puuDRCBE	moaA//tyrB//yfbR//yihX//
pyrF_yciH	melA//
pyrG_eno	nrdE//arnT//
pyrLBI	panD//
qmcA_ybbJ	
qseBC	
radA_nadR	pykA//
rapA_rluA	acpH//
ratAB	
ravA_viaA	
rbsDACBKR	paaZ//gcd//trmA//
rclABC	
rclBC	
rcnAB	ldtB//
rcsDB	
rcsF_trmO	acpS//
rdgB_yggW	folX//
rdoA_dsbA	rihA//kdsB//
recAX	
recET_ralR_ydaC_xisR_intR	deoA//mltA//
relA_mazEF	fabI//
relBE	thiG//
relBE_hokD	azoR//
renD_emrE	accD//
rfaD_waaFCL	glgB//queG//gstB//ppx//
rfbACX	add//glyQ//torA//lpd//
rfbBDACX	miaB//rlmI//rluC//dgoA//patD//proS//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	pncB//alaS//galM//tesA//udp//murG//yjjG//dkgB//rhaD//
rhaBAD	iaaA//garR//dhaM//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	apt//hycD//ruvA//
ribF_ileS_lspA_fkpB_ispH	folD//proA//pabB//waaC//waaS//
rimK_ybjN	csdA//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	alaC//cadA//ansB//cobB//sgbE//cysI//ltaE//aroF//acpT//tcdA//
rlmE_ftsH	rihB//bglX//
rlmL_uup	napH//
rluD_yfiH	nudJ//rsmC//
rluE_nudJ	deoB//yjiA//
rnc_era	metG//
rnc_era_recO_pdxJ_acpS	rimK//hyaC//tam//nagZ//
rnlAB	thiE//
rnt_lhr	nanA//
rpe_gph_trpS	agp//entF//cheB//
rph_pyrE	tilS//tam//
rpiR_alsBACE	frlC//hyaB//
rplJL_rpoBC	pgpC//
rplKAJL_rpoBC	ispA//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	tdk//
rpmF_plsX_fabHDG	glk//pphA//gabD//
rpmH_rnpA	moeA//waaA//
rpmI_rplT	
rpoBC	ispB//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	ygaP//ybaS//dkgA//
rppH_ptsP	uvrB//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	leuA//
rpsO_pnp	ydiB//fruK//
rpsP_rimM_trmD_rplS	pdxH//
rpsU_dnaG_rpoD	napA//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	puuD//aspA//
rsmA_apaGH	waaQ//dgcM//
rsmD_yhhL	tatD//
rsmE_gshB	polA//sdhC//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	yfbT//entC//carB//puuC//ispU//mrcB//rpiB//nemA//rffC//talB//gmk//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	thrB//
rtcBA	ubiF//lpxL//
rutABCDEFG	srlD//gdhA//fadM//ilvH//ilvI//ydiO//
ruvAB	fabB//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	melA//
scpA_argK_scpBC	pphB//gpsA//waaF//mnaT//
sdaCB	yagE//yjiA//
sdhCDAB_sucABCD	caiC//rihB//glyA//ppa//
sdhDAB	
sdhE_cptA	
secB_gpsA	katG//
secE_nusG	
secG_leuU	
secMA_mutT	rlmD//
selAB	dnaE//fadJ//
selD_topB	nhoA//fbaA//
seqA_pgm	lpcA//
serB_radA	ascB//
serC_aroA	napG//umpG//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	ldcC//
sgrST_setA	entC//
skp_lpxD_fabZ_lpxA	clsB//yneH//guaD//
slp_dctR	
solA_yceO	adiA//
speAB	apt//napA//
speF_potE	ydiF//queF//
srlAEBD_gutM_srlR_gutQ	ltaE//anmK//speA//
sroG_ribB	truA//
sspAB	
ssrS_fau	adhP//
ssuEADCB	fbp//rutA//nudB//
stfE_tfaE	
sucAB	mtn//lsrK//thiK//
sucABCD	yjjG//bcsZ//dnaQ//hemE//
sufABCDSE	lsrF//
surA_pdxA_rsmA_apaGH	mqo//nudE//carA//gstB//
tag_yiaC	panC//
talA_tktB	thrS//leuA//
tamAB_ytfP	
tar_tap_cheRBYZ	glpQ//fre//
tatABC	trxB//
tatABCD	mngB//waaA//
tauABCD	arsC//fucA//
tdcABCDEFG	argF//mtn//yfaU//sdhD//ubiG//
tdcBCDEFG	btuE//entB//nadB//ymdB//rlmJ//
tehAB	alkA//gabT//
tesA_ybbO	tktA//nrdE//
tff_rpsB_tsf	
tgt_yajC	yghA//
thiCEFSGH	surA//phnI//xapA//ilvG_1//yahK//
thiMD	ahpF//kdsD//
thrLABC	rfbD//frmB//frdC//
thrS_infC	dapB//
thrS_infC_rpmI_rplT_pheMST_ihfA	yfeW//dhaL//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	fumB//dgcZ//
tolB_pal_cpoB	
tolC_ygiABC	ispD//prpC//glmS//fsaA//puuE//bglA//folE//tktA//ampD//
tomB_hha	
topAI_yjhQ	
torCAD	ulaF//
torYZ	rnpA//
treBC	argF//purK//
trmI_yggL	mcrB//
trpCBA	pgaD//dhaK//folD//tgt//
trpLEDCBA	ygeX//treF//pgpC//aroD//rfbD//cdd//
tsaB_yeaY	bacA//
tsaE_amiB_mutL_miaA_hfq_hflXKC	tilS//leuS//rffC//opgE//phnM//
ttdABT	tauD//ybdL//
tyrS_pdxY	psd//ilvB//
tyrTV_tpr	
tyrV_tpr	
ubiCA	cobS//sodA//
ubiEJB	lsrK//
udk_dcd	ygiF//cobC//
ugpBAECQ	dsdA//murE//
uhpABC	
uidABC	yihU//mutS//
ulaABCDEF	ndk//speB//argS//ampC//
umpG_pcm	speG//paaF//
umuDC	trpC//
uof_fur	
upp_uraA	gabD//yjcS//
usg_truA_dedA	cdh//
uvrYC	lpd//
uxaCA	dmsB//pgi//
uxuAB	astA//torZ//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	lpxC//menB//
waaQGPSBOJYZU	rsuA//ribE//pdxJ//pyrD//eptC//serS//lipA//cobS//yqaB//hyaC//
waaYZ	umuC//fadE//
waaZU	acnB//astB//
wbbIJK	hisA//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	lpxH//nrfA//cobS//cyoE//metL//acpH//
wcaKLM	
wrbA_yccJ	ybcF//
wza_wzb_wzc	sucB//recG//
wza_wzb_wzc_wcaAB	cmoA//rffT//
xanQ_guaD_ghxQ	pfkB//waaO//dacA//
xapAB	mnmE//fdhF//
xdhABC	recJ//
xerD_dsbC_recJ	gltX//mltF//
xseB_ispA_dxs_yajO	mutS//bacA//garD//mnmG//
xylAB	metK//rfaD//
xylFGHR	patA//
yabPQ	
yacC_speED	hcaE//ghrA//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	ascB//
yafDE	
yafNOP	guaC//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	rne//ycjG//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	mog//
ybaB_recR	lpcA//
ybaST	hemN//
ybbAP	
ybbY_glxK	queD//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	menB//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	manA//
ybeZY	
ybeZYX_lnt	lipB//
ybfHG	
ybfOC	
ybgA_phr	napC//
ybgC_tolQRA	
ybgIJKL_nei	hemE//
ybgQPO	
ybhP_clsB_ybhN	glmU//
ybiYW	
ybjC_nfsA_rimK_ybjN	rdoA//mnmC//
ybjJI	nirD//
ybjO_rlmC	fabB//
ybjQ_amiD	hemE//
ycaI_msbA_lpxK_ycaQ	torZ//torY//
ycaR_kdsB	pheA//
ycbK_gloC	cdd//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	adhE//
yciCB	
yciGFE	
yciK_btuR	sdhC//
yciVOQ	dfp//
yciZT	
ycjMNOPQRSTUV_ymjB	pdxK//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	fklB//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	lpxA//acpT//
ydcSTUV_patD	ghrB//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	nudE//
ydgK_rsxABCDGE_nth	dgoD//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	frlC//yihX//
ydiJ_menI_ydiH	phnJ//
ydiNB_aroD	ldcC//hycC//
ydiQRST_fadK	hemA//
ydjA_selD_topB	leuC//glf//
ydjLKJIHG	ycaO//
ydjXYZ_ynjABCD	
yeaGH	cynT//
yeaR_yoaG	
yeaVW	
yebC_ruvC	prpC//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	selA//waaO//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	rrrD//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	polA//fucU//
yejABEF	der//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	fdhF//
yfaX_rhmD	
yfaX_rhmD_yfaVU	cfa//
yfbUT	rpiB//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	ldtA//
