# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	patA//
folP_glmM	sodA//aslA//
folX_yfcH	gltB//
frdABCD	ldtA//
frlABCDR	ftsI//glf//insI-3//waaS//
frmRAB	argA//cyaA//
fruBKA	acpH//kbaZ//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	lysU//coaA//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	rbsD//mnmC//tpiA//argG//fsaB//gmhB//ahr//hycE//lysS//waaL//
ftsQAZ	
ftsYEX	
fucAO	gcvH//alsE//
fucPIKUR	dkgA//ldhA//dxs//mazG//
fumAC	xthA//rfe//
fusA_tufA	
gabDTP	insI-2//nrfD//adhE//
gadAX	der//
gadBC	rph//yieF//
gadEF	
gadEF_mdtEF	guaA//
gadXW	
galET	insI-3//nrfD//
galETK	trmA//hycG//queC//
galETKM	rfbA//serC//fadE//alaA//
gapA_yeaD	hyaC//
gapC_1C_2	
garPLRK_rnpB	citG//pflB//dusB//pgm//dgcC//proB//
gatYZABCD	adk//moaD//mog//
gatZABCD	dhaK//yfaU//rph//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	napB//umuD//preT//dosP//bioB//
gcvTHP	uxuB//cadA//dapB//
gfcBCD	
gfcE_etp_etk	gpp//tatD//
ghoST	rsuA//
glcBA	hemE//tmk//
glcDEFGBA	mhpC//ppx//manA//
glf_wbbH	folP//
glgAP	nth//purH//
glgBXCAP	narG//fadH//lpxT//rluD//yihV//
glgCAP	ldtE//mobA//wcaJ//
glmUS	aldB//betA//
glnALG	otsB//
glnHPQ	fsaA//
glnK_amtB	pyrG//
glnLG	
glnW_metU_glnVX	
glpABC	dkgB//
glpEGR	paaK//ndh//
glpFKX	gltD//preT//glgA//
glpGR	cpsG//
glpTQ	yjcS//hycE//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	adk//
glvCBG_ysdC	
glyQS	agp//
glyVXY	
glyW_cysT_leuZ	
gntKU	rutD//paaF//
gntRKU	asnB//ispA//
gntX_nfuA	
gpmM_envC_yibQ	preA//ansA//
groSL	
gspAB	
gspCDEFGHIJKLMO	scpC//
guaBA	menA//trxB//
gudPXD	menA//nhoA//
hcaEFCBD	mnmC//clsC//
hcp_hcr	dgcP//trmL//
hdeAB_yhiD	
hemA_prfA_prmC	ynfG//lsrK//
hemCDXY	thyA//gcvP//
hflD_purB	emtA//
hfq_hflXKC	etk//
hicAB	
higBA	aspS//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	pdxY//kefF//fabD//eno//
hipBA	puuB//
hisBHAFI	citD//bioA//dmsC//ruvC//
hisJQMP	dgcM//phnG//
hisLGDCBHAFI	aroE//nfsA//pyrF//frc//gluQ//gltA//ppiC//
hofMNOP	
holC_valS	cheR//
holD_rimI_yjjG	cynT//nrfD//
hscBA_fdx_iscX	lacZ//
hsdMS	iaaA//
hsdRMS	mrcA//
hslRO	
hslVU	srlD//
hyaABCDEF	
hybOABCDEFG	edd//
hycABCDEFGHI	cysE//yhhW//
hydN_hypF	rihC//
hyfABCDEFGHIJR_focB	narI//
hypABCDE	mutH//
hypABCDE_fhlA	gshA//
hypBCDE	folB//
hypBCDE_fhlA	ybhA//
iaaA_gsiABCD	pdxK//fabZ//
ibaG_murA	rsmE//
ibpAB	
idnDOTR	galT//nudI//glpC//
ileS_lspA_fkpB_ispH	glnA//lpd//phnG//csdA//
ilvEDA	ppc//lipB//cobT//paaJ//
ilvIH	roxA//
ilvLXG_1G_2MEDA	fbp//dgcZ//purN//dmlA//fes//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	dld//
insN_1I_1O_1	acpH//
insO_2_yjhWV	
iscRSUA	hypF//kdgK//
ispDF	gcvT//kdsA//
ispG_sroE	ruvA//
isrC_flu	
ivbL_ilvBN	pagP//
ivbL_ilvBN_uhpABC	tdh//
kbaZ_agaVWA	nadB//
kbl_tdh	yghU//opgE//
kdpDE	
kdpFABC	yihV//
kdsC_lptCAB	pflB//yibQ//
kefFC	thrB//mutT//
kefGB_yheV	trxB//
kilR_ydaE	
lacYA	folA//argG//
lacZYA	waaH//yrfG//ileS//
lapAB	
lapAB_pyrF_yciH	panC//
lepAB	metH//
leuLABCD	pdxA//panE//fdhF//
leuQPV	
leuS_lptE_holA_nadD_cobC	metA//mcrA//fabZ//
lexA_dinF	
lgt_thyA	rlmJ//pldA//
ligA_ypeB	murI//
livKHMGF	acnA//pbpC//
lldPRD	paoA//kefF//
lolA_rarA	
lolB_ispE_prs	miaB//alsE//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	caiC//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	pssA//yfdE//
lptFG	
lspA_fkpB_ispH	garR//yeiG//hcp//
lsrACDBFG_tam	araA//rluD//menF//dnaE//
lsrRK	hemG//
ltaE_ybjT	truC//
lysT_valT_lysW	
macAB	metA//
malEFG	waaL//
malK_lamB_malM	rutA//pyrC//
malPQ	glcE//dkgA//
malXY	dgcT//ppk//
manXYZ	aceB//
map_glnD_dapD	lgoD//rluE//gluQ//
marRAB	
mazEFG	menA//
mcrBC	dut//
mdlAB	
mdtABCD_baeSR	menH//
mdtEF	hflX//
mdtJI	pdxA//
mdtM_yjiN	glxK//
mdtNOP	galK//
melAB	yajO//tesB//
menA_rraA	putA//
menBCE	truD//ilvI//cdd//
menDHBCE	sad//dsdA//sodC//psuG//phnJ//
menFDHBCE	fucU//rsmD//ydiF//prpC//hisS//uvrC//
metBL	gss//lpoB//
metNIQ	ogt//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	ugd//narI//gnd//
metZWV	
mglAC	narG//
mglBAC	dgcP//
mgtLA	purH//
mhpABCDFE	hcaF//yiaK//glgA//nfi//dgcZ//fabI//
mhpR_lacI	
miaA_hfq_hflXKC	ubiX//serS//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	luxS//glnE//
mnaT_ydcZ	pdxJ//
mngAB	cysI//hisC//
mnmG_rsmG	ispG//speD//
mntR_ybiR	
moaABCDE	frdB//cyaA//
moaBCDE	xthA//
mobAB	katG//
modABC	dgt//
modEF	
moeAB	lpxD//betA//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	glnA//
mqsRA	ttdA//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	avtA//uvrA//treC//rsuA//rlmM//umuD//trxB//moeA//phoA//tesB//prpE//
mreBCD	
mreCD	
msrPQ	
mtlADR	pgaD//yccX//coaD//
mtn_btuF_yadS	pabC//adk//
murB_birA	aroK//pdeF//
murQP	cysN//hyaB//mpl//
murQP_yfeW	ahr//nudG//fsaA//hinT//
mutL_miaA_hfq_hflXKC	lpxK//argS//rlmG//
mutY_yggX	rnpA//
mutY_yggX_mltC	dgt//yjcS//
mutY_yggX_mltC_nupG	speF//rfbD//paaE//
nadA_pnuC	curA//ydjG//
nagBAC_umpH	phr//menH//speG//
nagK_cobB	cysS//nfi//
nanATEK_yhcH	entE//folX//coaD//yhdH//
nanCM	rutD//dhaL//
nanCMS	umuD//hisS//
napFDAGHBC	frdD//
napFDAGHBC_ccmABCDEFGH	thiL//gpsA//
narGHJI	ligA//
narWV	miaB//
narXL	
narZYWV	hcaB//
nemRA	trxB//
nemRA_gloA	pdeL//ruvC//
nfrBA	
nhaAR	kdsD//
nikABCDER	manA//
nirBDC_cysG	accA//hcaE//phnI//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	nadE//
nrdAB_yfaE	nrfA//
nrdDG	ruvC//torZ//
nrdHIEF	bioB//
nrdR_ribDE_nusB_thiL_pgpA	dgcT//purC//alsE//menA//
nrfABCDEFG	yfiH//
nsrR_rnr_rlmB_yjfI	mnmC//cof//
nudB_yebC_ruvC	purH//ychF//
nudC_hemE_nfi	pyrF//pdeL//
nudF_yqiB_cpdA_yqiA_parE	sucC//phnN//
nuoABCEFGHIJKLMN	rlmB//
nuoMN	gltA//
ompR_envZ	
opgGH	
oppABCDF	cadA//recF//
osmF_yehYXW	gpsA//
otsBA	mnmA//aphA//
paaABCDEFGHIJK	pgi//xapA//nudG//idi//pgpB//dxr//aspS//
paaXY	yicI//
pabB_nudL	entD//moaA//
pabC_mltG_tmk_holB_ycfH	yrfG//hypF//fabA//
panBC	ybcF//ubiX//
panE_yajL	metG//
paoABCD	glyQ//
pcnB_folK	trpD//nirB//
pdeI_dgcI	
pdhR_aceEF_lpd	selA//mnmA//cdh//pyrG//rnpA//uxaA//
pdxA_rsmA	phnO//yihT//
pdxA_rsmA_apaGH	tag//gudD//yihV//
pdxB_usg_truA_dedA	ppx//pykA//
pdxH_tyrS_pdxY	rsmE//cysD//trpD//
pdxJ_acpS	truA//otsA//
pepQ_yigZ_trkH_hemG	deoA//argB//pldA//
pflDC	
pgaABCD	recF//narH//prmB//
pgk_fbaA	torZ//yfeW//
pgpC_tadA	nagZ//thrS//
pheLA	rdgB//
pheMST_ihfA	pnp//
phnCDE_1E_2FGHIJKLMNOP	phnH//otsB//pgpB//pyrB//fklB//sucA//gloC//
phnLMNOP	gmm//tdcD//waaH//mhpF//araB//
phoA_psiF	rnb//
phoBR	
phoPQ	
pldB_yigL	mutY//opgE//
plsX_fabHDG	dusC//rsmA//emtA//
pntAB	
potABCD	hchA//
potFGHI	prs//
poxB_ltaE_ybjT	pldA//icd//
ppdAB_ygdB_ppdC_recC	mrcB//
ppdD_hofBC	
ppiB_lpxH	lpxD//tam//
ppk_ppx	prpE//argD//
pqiAB	
preTA	glmM//
prfB_lysS	dhaL//
priC_ybaM	
prlC_rsmJ	rhaA//ybbO//
prlF_yhaV	waaF//
prmB_aroC_mepA_yfcA_epmC_yfcL	alkA//glmS//phoA//entH//
proBA	paaY//glyQ//
proQ_prc	psd//
proVWX	pbpC//
prpBCDE	insI-2//argB//efeB//nudB//
psd_mscM	
pspABCDE	astB//
pspBCDE	fdhF//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	mog//gloC//
pth_ychF	glyS//
ptrA_recBD	citG//serB//
ptsA_fsaB_gldA	nrdD//putA//
ptsHI_crr	rffM//paaF//hcaE//
purEK	hemE//pdxY//
purHD	waaA//ung//
purMN	paaG//srlD//
puuAP	cysH//scpB//
puuCBE	nadD//yfeX//epmA//
puuDRCBE	frdD//prmB//leuD//lpxM//
pyrF_yciH	nanE//
pyrG_eno	bcsA//ilvD//
pyrLBI	gshB//
qmcA_ybbJ	
qseBC	
radA_nadR	murD//
rapA_rluA	gph//
ratAB	
ravA_viaA	
rbsDACBKR	pck//rlmM//pphB//
rclABC	
rclBC	
rcnAB	ppa//
rcsDB	
rcsF_trmO	alkB//
rdgB_yggW	dapF//
rdoA_dsbA	amiD//yfdE//
recAX	
recET_ralR_ydaC_xisR_intR	atoD//cmoB//
relA_mazEF	pyrH//
relBE	amyA//
relBE_hokD	trpE//
renD_emrE	ssuE//
rfaD_waaFCL	umpH//thiI//rsmH//rluB//
rfbACX	cysQ//caiC//thiE//cobU//
rfbBDACX	pldA//dmsA//metB//ilvD//accB//accC//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	uvrB//gatY//sseA//mrcA//nhoA//gldA//eno//wcaJ//glgB//
rhaBAD	gmm//rhaA//hisS//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	sufS//pyrC//scpB//
ribF_ileS_lspA_fkpB_ispH	fabH//ycaO//entA//aroB//pcm//
rimK_ybjN	pdxB//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	tsaB//nirB//gatD//rph//upp//ddlA//hemD//ulaF//nadA//yjjX//
rlmE_ftsH	thiH//yqhD//
rlmL_uup	gpmM//
rluD_yfiH	gltB//yciV//
rluE_nudJ	panD//hycG//
rnc_era	xdhA//
rnc_era_recO_pdxJ_acpS	cheR//trpB//yqhD//fabI//
rnlAB	ampC//
rnt_lhr	yhdJ//
rpe_gph_trpS	yjjG//lyxK//ligB//
rph_pyrE	rnpB//ilvG_1//
rpiR_alsBACE	fadD//etk//
rplJL_rpoBC	ulaG//
rplKAJL_rpoBC	cfa//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	truB//
rpmF_plsX_fabHDG	glpX//asnS//trxB//
rpmH_rnpA	fruK//citG//
rpmI_rplT	
rpoBC	yqjH//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	pyrB//uxaA//tdcB//
rppH_ptsP	gadA//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	btuR//
rpsO_pnp	nudE//murD//
rpsP_rimM_trmD_rplS	ampD//
rpsU_dnaG_rpoD	amyA//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	pheT//glgC//
rsmA_apaGH	glnS//metK//
rsmD_yhhL	trmH//
rsmE_gshB	metH//putA//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	hycE//iscS//frc//etp//yceF//nagA//thiF//ribD//gstA//paaZ//glf//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	hemH//
rtcBA	ispH//phnN//
rutABCDEFG	bioC//pdeL//araA//tyrS//dadX//adhE//
ruvAB	psuK//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	adeD//
scpA_argK_scpBC	ftsI//yrfG//paaY//purN//
sdaCB	caiB//mug//
sdhCDAB_sucABCD	apt//yicI//der//rutC//
sdhDAB	
sdhE_cptA	
secB_gpsA	napG//
secE_nusG	
secG_leuU	
secMA_mutT	rutC//
selAB	carA//pldA//
selD_topB	pdeL//napH//
seqA_pgm	pgaD//
serB_radA	nrdF//
serC_aroA	cmk//murA//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	argE//
sgrST_setA	nudG//
skp_lpxD_fabZ_lpxA	hcp//kdgK//pspE//
slp_dctR	
solA_yceO	ydiB//
speAB	purL//malZ//
speF_potE	astD//cysD//
srlAEBD_gutM_srlR_gutQ	cysQ//mgsA//waaY//
sroG_ribB	mnmG//
sspAB	
ssrS_fau	narV//
ssuEADCB	pncC//lpxC//rlmI//
stfE_tfaE	
sucAB	paoA//fadM//uxaC//
sucABCD	ppiA//fsaB//yjeF//yihV//
sufABCDSE	gcl//
surA_pdxA_rsmA_apaGH	ribC//gshB//clsC//gabD//
tag_yiaC	rph//
talA_tktB	rbsK//ybiV//
tamAB_ytfP	
tar_tap_cheRBYZ	rutE//hemE//
tatABC	tdcB//
tatABCD	cobB//hycF//
tauABCD	frdB//polA//
tdcABCDEFG	paaC//metG//aspA//deoB//nrfC//
tdcBCDEFG	hflX//ilvA//aspA//sodA//dkgA//
tehAB	aldB//rutD//
tesA_ybbO	dgcM//astD//
tff_rpsB_tsf	
tgt_yajC	sodC//
thiCEFSGH	ycaO//rfaE//fabD//dmsB//hemB//
thiMD	yciA//cysD//
thrLABC	kdsD//nadC//epd//
thrS_infC	narV//
thrS_infC_rpmI_rplT_pheMST_ihfA	pdeF//yhhW//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	dgt//truD//
tolB_pal_cpoB	
tolC_ygiABC	prmB//pflB//rutA//glxK//lhgO//bglA//ubiC//aceE//entE//
tomB_hha	
topAI_yjhQ	
torCAD	lpxD//
torYZ	sdhD//
treBC	tadA//ispU//
trmI_yggL	fucK//
trpCBA	paaK//ravA//atoB//glcB//
trpLEDCBA	glpC//rluF//dapB//folP//metC//preA//
tsaB_yeaY	ahr//
tsaE_amiB_mutL_miaA_hfq_hflXKC	ilvG_1//rhaD//yieH//pdxB//uvrC//
ttdABT	preT//waaP//
tyrS_pdxY	tatD//asd//
tyrTV_tpr	
tyrV_tpr	
ubiCA	melA//narV//
ubiEJB	dnaE//
udk_dcd	selB//tsaB//
ugpBAECQ	yhhW//treF//
uhpABC	
uidABC	aroG//selA//
ulaABCDEF	fbaB//caiA//yigL//cfa//
umpG_pcm	mnaT//idi//
umuDC	eutD//
uof_fur	
upp_uraA	aceA//citF//
usg_truA_dedA	recF//
uvrYC	ybcF//
uxaCA	rffM//sbcB//
uxuAB	napH//malS//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	xdhA//dapA//
waaQGPSBOJYZU	xdhC//nadE//trmO//leuA//nudL//trmA//frdA//carA//ligB//ynfE//
waaYZ	acs//mobA//
waaZU	ddlB//mpaA//
wbbIJK	yccX//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	ilvG_1//rluD//gcvP//hemG//ligA//fre//
wcaKLM	
wrbA_yccJ	iaaA//
wza_wzb_wzc	rlmI//aceE//
wza_wzb_wzc_wcaAB	arnT//serC//
xanQ_guaD_ghxQ	ygeX//uxuA//uvrA//
xapAB	tktA//nrfA//
xdhABC	purD//
xerD_dsbC_recJ	ynfH//bioF//
xseB_ispA_dxs_yajO	hemC//cheR//maa//narV//
xylAB	eno//mhpF//
xylFGHR	dhaL//
yabPQ	
yacC_speED	argS//melA//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	aceE//
yafDE	
yafNOP	pgpC//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	sgbE//narG//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	hemH//
ybaB_recR	ndh//
ybaST	gltX//
ybbAP	
ybbY_glxK	rlmI//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	gnd//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	maeB//
ybeZY	
ybeZYX_lnt	ansA//
ybfHG	
ybfOC	
ybgA_phr	rsmG//
ybgC_tolQRA	
ybgIJKL_nei	malS//
ybgQPO	
ybhP_clsB_ybhN	thiD//
ybiYW	
ybjC_nfsA_rimK_ybjN	miaA//recF//
ybjJI	treF//
ybjO_rlmC	xthA//
ybjQ_amiD	yciV//
ycaI_msbA_lpxK_ycaQ	rluE//frlB//
ycaR_kdsB	rdgB//
ycbK_gloC	hmp//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	aroK//
yciCB	
yciGFE	
yciK_btuR	ppsA//
yciVOQ	mtgA//
yciZT	
ycjMNOPQRSTUV_ymjB	garL//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	menC//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	mqo//nirB//
ydcSTUV_patD	thiK//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	adhP//
ydgK_rsxABCDGE_nth	cpdB//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	cynT//yneH//
ydiJ_menI_ydiH	aroB//
ydiNB_aroD	lpxK//csdA//
ydiQRST_fadK	abgB//
ydjA_selD_topB	ldhA//araD//
ydjLKJIHG	pgaD//
ydjXYZ_ynjABCD	
yeaGH	dapB//
yeaR_yoaG	
yeaVW	
yebC_ruvC	metB//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	fadE//acnA//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	folK//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	dgoD//aceB//
yejABEF	moaA//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	dgoK//
yfaX_rhmD	
yfaX_rhmD_yfaVU	fabZ//
yfbUT	gltA//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	yeiG//
