# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	rffC//
cobUST	pheS//slt//tsaD//
codBA	ung//cpdA//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	ispU//
csgBAC	
csgDEFG	folK//
csiD_lhgO_gabDTP	apaH//trpB//rlmI//thrS//
cusCFBA	citG//
cusRS	
cvpA_purF_ubiX	waaO//patA//
cydAB	ribF//
cydDC	gpmM//
cydX_ybgE	ftnA//
cynTS	adk//gnd//
cynTSX	araB//patZ//galU//
cyoABCDE	umpG//hisS//
cysDNC	dgcC//aroE//
cysJIH	lsrF//thiM//rsmE//
cysPUWAM	mhpF//mutS//yigB//
dadAX	thiD//cfa//
damX_dam_rpe_gph_trpS	sgbU//gcvP//narG//waaL//
dam_rpe_gph_trpS	allD//glpQ//ydjG//yqjH//
dapA_bamC	dgcT//
dapE_ypfN	pgl//
dcm_vsr	coaE//
dcuB_fumB	ileS//yfeW//
dcuSR	
dcyD_tcyLN	valS//ampD//
ddpXABCDF	waaA//
def_fmt	mcrC//pykA//
degQS	gadA//paaZ//
deoABD	tnaA//gnd//epd//
deoBD	phnP//paoA//
deoCABD	allB//sgbE//phnL//metH//
dgoRKADT	yieF//rhaM//epd//xylA//
dhaKLM	ispF//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	can//fadA//
dinJ_yafQ	gloB//
dksA_gluQ	mutL//
dmsABC	glnE//
dnaAN_recF	proC//
dnaK_tpke11_dnaJ	mcrA//
dnaN_recF	phnH//
dnaTC	
dnaTC_yjjA	
dosCP	galT//asnA//
dpiBA	
dppABCDF	hflX//
dsbC_recJ_prfB	fadI//ligB//
dsbD_yjdC	
dsdXA	ddlB//lpoB//
dusB_fis	pphB//
dut_slmA	nudB//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	ndh//aspA//
efeOB	cof//
efeU_1U_2	
elbB_mtgA	garL//
elfDCG_ycbUVF	
emrKY	ldtE//
entCEBAH	rne//fsaB//trmA//trpD//glgP//guaB//
envY_ompT	ilvI//
epd_pgk	panE//trmO//
epd_pgk_fbaA	lsrG//paaJ//ribA//
essD_rrrD_rzpD	pphA//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	atoA//
eutHA	
eutNEJG	
eutSPQTDM	ddlB//
evgAS	
exbBD	
fabDG_acpP	waaO//murG//
fabG_acpP	fucK//
fabHDG	atoB//nudF//ghrA//
fabR_yijD	
fadBA	fucO//bglB//
fadD_sroD	torY//
fadIJ	paoB//dgoD//
fdnGHI	
fdoGHI_fdhE	rnpB//
fdrA_ylbEF_ybcF	pyrC//
fecABCDE	thiF//paaK//
fecIR	
feoABC	entH//
fepA_entD	yneH//paaK//fabI//
fepDGC	araB//
fes_ybdZ_entF_fepE	btuE//dxs//proC//
fetAB	
fhuACDB	truB//lplA//
ficA_fic_pabA	trpE//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	phnP//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	nfsA//anmK//
folC_dedD	etk//
folD_ybcJ	nagZ//
folE_yeiB	fucI//
folP_glmM	rlmL//folE//
folX_yfcH	maeB//
frdABCD	prmC//
frlABCDR	pheT//pgpC//treC//mak//
frmRAB	gmm//pykF//
fruBKA	atoD//yieH//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	treC//polA//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	mutL//rpiA//dadA//pdeF//nagA//cysH//aceF//lacZ//mhpF//dgcM//
ftsQAZ	
ftsYEX	
fucAO	metL//tmcA//
fucPIKUR	ydiF//cmoB//rutC//dapD//
fumAC	rnt//lpxD//
fusA_tufA	
gabDTP	frdC//lpxT//tilS//
gadAX	lpoB//
gadBC	mocA//lpoA//
gadEF	
gadEF_mdtEF	pdeF//
gadXW	
galET	purU//murI//
galETK	paaJ//ppc//rpiB//
galETKM	yicI//mgsA//sodB//fsaA//
gapA_yeaD	narZ//
gapC_1C_2	
garPLRK_rnpB	folA//mrcA//codA//dkgA//moeB//rihB//
gatYZABCD	rpe//pdeF//dusC//
gatZABCD	yqjH//icd//luxS//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	mutL//etk//frc//bioA//alkA//
gcvTHP	queC//galK//tsaC//
gfcBCD	
gfcE_etp_etk	xdhC//frmA//
ghoST	dut//
glcBA	cueO//agp//
glcDEFGBA	alaA//ynfE//rluA//
glf_wbbH	fadK//
glgAP	ydiF//nirB//
glgBXCAP	ilvG_2//talA//prmC//ynjE//pdxH//
glgCAP	kdgK//malY//frdD//
glmUS	nudB//codA//
glnALG	gutQ//
glnHPQ	kbaZ//
glnK_amtB	prmB//
glnLG	
glnW_metU_glnVX	
glpABC	chbF//
glpEGR	yghU//gabD//
glpFKX	yhdH//pphA//astA//
glpGR	paaJ//
glpTQ	wbbI//cadA//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	acnA//
glvCBG_ysdC	
glyQS	rrrD//
glyVXY	
glyW_cysT_leuZ	
gntKU	tadA//yajO//
gntRKU	uxaC//thrC//
gntX_nfuA	
gpmM_envC_yibQ	ldtE//glcF//
groSL	
gspAB	
gspCDEFGHIJKLMO	alkA//
guaBA	wecC//gpmM//
gudPXD	argH//dgcT//
hcaEFCBD	treC//accD//
hcp_hcr	dut//mnmA//
hdeAB_yhiD	
hemA_prfA_prmC	purF//tcdA//
hemCDXY	mnmG//murQ//
hflD_purB	glyS//
hfq_hflXKC	pdxY//
hicAB	
higBA	rsmF//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	nrfA//ribB//trmL//gor//
hipBA	can//
hisBHAFI	mug//mnmE//dinB//ubiD//
hisJQMP	ydiO//yhdJ//
hisLGDCBHAFI	gnd//garD//malY//pdxK//allB//sgbE//phoA//
hofMNOP	
holC_valS	sad//
holD_rimI_yjjG	bglA//thiG//
hscBA_fdx_iscX	ruvC//
hsdMS	leuC//
hsdRMS	trmL//
hslRO	
hslVU	dusA//
hyaABCDEF	
hybOABCDEFG	abgB//
hycABCDEFGHI	tdcG//purC//
hydN_hypF	entB//
hyfABCDEFGHIJR_focB	birA//
hypABCDE	mepS//
hypABCDE_fhlA	fabZ//
hypBCDE	murB//
hypBCDE_fhlA	deoD//
iaaA_gsiABCD	iaaA//malQ//
ibaG_murA	pgaB//
ibpAB	
idnDOTR	epmC//selB//torY//
ileS_lspA_fkpB_ispH	sbcB//folP//sodB//fau//
ilvEDA	can//mak//kbaZ//menF//
ilvIH	waaF//
ilvLXG_1G_2MEDA	chbG//dxr//dgcZ//gmk//kdsB//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	miaB//
insN_1I_1O_1	dapF//
insO_2_yjhWV	
iscRSUA	narY//gluQ//
ispDF	tktB//thiL//
ispG_sroE	sdaA//
isrC_flu	
ivbL_ilvBN	hdhA//
ivbL_ilvBN_uhpABC	waaJ//
kbaZ_agaVWA	proB//
kbl_tdh	fbaA//yghU//
kdpDE	
kdpFABC	hcaB//
kdsC_lptCAB	kbaY//alsE//
kefFC	pyrF//gabT//
kefGB_yheV	paaZ//
kilR_ydaE	
lacYA	rutA//argH//
lacZYA	preA//trpD//tdcD//
lapAB	
lapAB_pyrF_yciH	rne//
lepAB	pdxA//
leuLABCD	mhpA//pyrI//adhE//
leuQPV	
leuS_lptE_holA_nadD_cobC	ispA//ybbO//nadR//
lexA_dinF	
lgt_thyA	alkB//fau//
ligA_ypeB	hisI//
livKHMGF	sbcB//cpsG//
lldPRD	gcl//lpd//
lolA_rarA	
lolB_ispE_prs	metF//truD//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	deoD//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	murA//yfaU//
lptFG	
lspA_fkpB_ispH	kdsB//gltA//abgB//
lsrACDBFG_tam	ribF//entB//yigL//fkpA//
lsrRK	pheT//
ltaE_ybjT	talA//
lysT_valT_lysW	
macAB	nfsB//
malEFG	treA//
malK_lamB_malM	hycE//malP//
malPQ	bioD//thiF//
malXY	menI//rsmC//
manXYZ	tgt//
map_glnD_dapD	slyD//prmB//mhpF//
marRAB	
mazEFG	waaO//
mcrBC	fkpB//
mdlAB	
mdtABCD_baeSR	fucU//
mdtEF	yfdE//
mdtJI	rutD//
mdtM_yjiN	paoA//
mdtNOP	dgoA//
melAB	proC//paaJ//
menA_rraA	ahpC//
menBCE	ltaE//uxaB//citE//
menDHBCE	gabD//ppiB//pepD//trpB//ycjG//
menFDHBCE	waaP//purH//yrfG//rlmM//hisS//hemG//
metBL	yihS//ruvA//
metNIQ	scpB//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	rnd//folA//ghrB//
metZWV	
mglAC	psd//
mglBAC	metL//
mgtLA	citG//
mhpABCDFE	folA//nrdA//hcaE//ynfE//rlmH//amn//
mhpR_lacI	
miaA_hfq_hflXKC	lhgO//yqjH//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	csdA//ilvG_2//
mnaT_ydcZ	ybcF//
mngAB	dacD//metK//
mnmG_rsmG	entD//ampC//
mntR_ybiR	
moaABCDE	nanK//orn//
moaBCDE	pheS//
mobAB	uxaC//
modABC	nanE//
modEF	
moeAB	acnB//sseA//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	gss//
mqsRA	acs//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	nudL//metK//talA//ahpC//ilvC//recG//ilvG_2//insI-3//lplA//sodC//wzc//
mreBCD	
mreCD	
msrPQ	
mtlADR	rutD//tktA//glnS//
mtn_btuF_yadS	aroA//glf//
murB_birA	ynfE//folA//
murQP	recG//bcsB//serA//
murQP_yfeW	cof//pabC//truD//tesB//
mutL_miaA_hfq_hflXKC	ileS//ada//leuC//
mutY_yggX	dapD//
mutY_yggX_mltC	rfbB//mnaT//
mutY_yggX_mltC_nupG	purT//murF//allA//
nadA_pnuC	glpC//clsC//
nagBAC_umpH	gltX//yfaU//uxaB//
nagK_cobB	thyA//bioH//
nanATEK_yhcH	idnD//mtn//sdhA//avtA//
nanCM	ydiB//uxaB//
nanCMS	mtgA//adiA//
napFDAGHBC	waaJ//
napFDAGHBC_ccmABCDEFGH	lpxD//entA//
narGHJI	galE//
narWV	glcE//
narXL	
narZYWV	rph//
nemRA	sodB//
nemRA_gloA	pdxA//bcsA//
nfrBA	
nhaAR	rsgA//
nikABCDER	eutD//
nirBDC_cysG	aphA//yihS//paaB//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	nfsB//
nrdAB_yfaE	torY//
nrdDG	fucO//garK//
nrdHIEF	mocA//
nrdR_ribDE_nusB_thiL_pgpA	ybdL//hemD//mnmA//aslA//
nrfABCDEFG	zwf//
nsrR_rnr_rlmB_yjfI	hcp//purL//
nudB_yebC_ruvC	narV//lpxH//
nudC_hemE_nfi	arsC//tnaA//
nudF_yqiB_cpdA_yqiA_parE	mhpF//murA//
nuoABCEFGHIJKLMN	cobU//
nuoMN	dfp//
ompR_envZ	
opgGH	
oppABCDF	nirD//fes//
osmF_yehYXW	nanE//
otsBA	tmk//pgk//
paaABCDEFGHIJK	deoC//nanM//wecB//rfaD//paaE//glnS//rpiA//
paaXY	accB//
pabB_nudL	dfp//gcl//
pabC_mltG_tmk_holB_ycfH	fadA//tcdA//ackA//
panBC	nrfA//ispH//
panE_yajL	ogt//
paoABCD	rnpA//
pcnB_folK	rihA//dgoK//
pdeI_dgcI	
pdhR_aceEF_lpd	fklB//pyrE//waaH//malQ//ppiC//clsC//
pdxA_rsmA	arnB//murE//
pdxA_rsmA_apaGH	treF//waaQ//ubiX//
pdxB_usg_truA_dedA	leuS//tdcB//
pdxH_tyrS_pdxY	sucB//garR//pck//
pdxJ_acpS	mog//recF//
pepQ_yigZ_trkH_hemG	clsB//ilvD//speE//
pflDC	
pgaABCD	yihT//dosP//mepS//
pgk_fbaA	gabD//patD//
pgpC_tadA	acnB//ilvN//
pheLA	pfkA//
pheMST_ihfA	maeA//
phnCDE_1E_2FGHIJKLMNOP	mepS//gpt//bglX//ulaD//gabT//eutC//aldA//
phnLMNOP	pinE//tig//hchA//ulaG//scpB//
phoA_psiF	hyaA//
phoBR	
phoPQ	
pldB_yigL	waaQ//tadA//
plsX_fabHDG	cobT//nrdF//gloA//
pntAB	
potABCD	purL//
potFGHI	aldA//
poxB_ltaE_ybjT	fabH//nudI//
ppdAB_ygdB_ppdC_recC	patA//
ppdD_hofBC	
ppiB_lpxH	ubiG//ychF//
ppk_ppx	menD//pyrF//
pqiAB	
preTA	ldcA//
prfB_lysS	wecC//
priC_ybaM	
prlC_rsmJ	scpB//fabB//
prlF_yhaV	argG//
prmB_aroC_mepA_yfcA_epmC_yfcL	ydiB//hcaF//umpH//glpX//
proBA	dgcZ//alkA//
proQ_prc	gdhA//
proVWX	uxuB//
prpBCDE	hycG//thrC//fadA//acnB//
psd_mscM	
pspABCDE	narG//
pspBCDE	aroK//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	rfbA//opgE//
pth_ychF	fruK//
ptrA_recBD	glpD//panE//
ptsA_fsaB_gldA	yidA//rfe//
ptsHI_crr	fes//bioC//tgt//
purEK	thiE//tyrS//
purHD	yagF//fruK//
purMN	waaC//purN//
puuAP	hisS//pdeL//
puuCBE	fadK//carB//fucK//
puuDRCBE	ygjK//tauD//pdeH//ispA//
pyrF_yciH	insI-2//
pyrG_eno	mhpF//rutC//
pyrLBI	lpxT//
qmcA_ybbJ	
qseBC	
radA_nadR	lldD//
rapA_rluA	ldtE//
ratAB	
ravA_viaA	
rbsDACBKR	ulaD//bioH//glk//
rclABC	
rclBC	
rcnAB	ygjK//
rcsDB	
rcsF_trmO	pyrB//
rdgB_yggW	pheS//
rdoA_dsbA	trmJ//ubiI//
recAX	
recET_ralR_ydaC_xisR_intR	eptC//lpoA//
relA_mazEF	pldB//
relBE	ppiB//
relBE_hokD	glxK//
renD_emrE	pdxK//
rfaD_waaFCL	appA//rluF//umuD//glpB//
rfbACX	eptB//ispF//moeA//rlmH//
rfbBDACX	mobA//efeB//manA//rffT//ubiH//alaC//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	cyoE//cysE//bioD//pfkB//ppiA//sthA//appA//mhpD//ispD//
rhaBAD	yqjG//glpX//ydfG//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	glxK//rpiA//epmA//
ribF_ileS_lspA_fkpB_ispH	aspC//tktA//hemB//ruvA//dacA//
rimK_ybjN	yfeX//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	der//paaE//mpaA//lysS//btuE//ugpQ//acpT//folK//fadD//entH//
rlmE_ftsH	gpmA//murE//
rlmL_uup	hcp//
rluD_yfiH	nrdD//yiaK//
rluE_nudJ	narG//rbn//
rnc_era	ldtC//
rnc_era_recO_pdxJ_acpS	nfi//sodB//entE//ycaO//
rnlAB	trmI//
rnt_lhr	guaC//
rpe_gph_trpS	trmD//aldA//lpxP//
rph_pyrE	wecB//fcl//
rpiR_alsBACE	aslA//gmk//
rplJL_rpoBC	sdaA//
rplKAJL_rpoBC	ilvG_1//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	hycB//
rpmF_plsX_fabHDG	tktB//maa//lpxL//
rpmH_rnpA	nudG//cysJ//
rpmI_rplT	
rpoBC	nudG//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	rpe//uvrC//pyrG//
rppH_ptsP	hycE//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	ulaD//
rpsO_pnp	surA//argG//
rpsP_rimM_trmD_rplS	pdeH//
rpsU_dnaG_rpoD	rfbB//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	acpT//waaC//
rsmA_apaGH	nrdD//pta//
rsmD_yhhL	pgsA//
rsmE_gshB	truA//lsrK//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	bfr//truA//mpl//dgcZ//glmM//rihA//rlmF//atoA//paaZ//clsB//citE//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	fadH//
rtcBA	truB//speB//
rutABCDEFG	lpd//ruvC//ubiA//yqjG//sgbE//bcsB//
ruvAB	alsK//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	prpE//
scpA_argK_scpBC	eptC//rluE//cueO//menB//
sdaCB	ogt//can//
sdhCDAB_sucABCD	dgcZ//glcB//rsgA//hemN//
sdhDAB	
sdhE_cptA	
secB_gpsA	hpt//
secE_nusG	
secG_leuU	
secMA_mutT	kduI//
selAB	paaI//gshA//
selD_topB	metB//lsrK//
seqA_pgm	paaH//
serB_radA	ydjG//
serC_aroA	tynA//oxc//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	glcB//
sgrST_setA	ligB//
skp_lpxD_fabZ_lpxA	ldcA//hemD//sthA//
slp_dctR	
solA_yceO	yfaU//
speAB	apt//fes//
speF_potE	dnaQ//argK//
srlAEBD_gutM_srlR_gutQ	preA//gor//tmk//
sroG_ribB	cobB//
sspAB	
ssrS_fau	nanA//
ssuEADCB	nudK//pabB//kdgK//
stfE_tfaE	
sucAB	dkgB//tpiA//gabT//
sucABCD	umuC//sthA//rbn//rfbC//
sufABCDSE	eptC//
surA_pdxA_rsmA_apaGH	clsC//lsrF//waaH//gudD//
tag_yiaC	eptB//
talA_tktB	astA//gnd//
tamAB_ytfP	
tar_tap_cheRBYZ	ybjI//hemE//
tatABC	sucB//
tatABCD	yfdE//phnO//
tauABCD	guaA//waaH//
tdcABCDEFG	paaH//hycB//tdcE//ydiO//rsmI//
tdcBCDEFG	phnI//menF//rhaM//kduI//ribF//
tehAB	dam//umuC//
tesA_ybbO	frmA//appA//
tff_rpsB_tsf	
tgt_yajC	ampC//
thiCEFSGH	yfcF//gss//thiH//phnJ//napB//
thiMD	nrdD//dhaM//
thrLABC	eutD//rfe//asnS//
thrS_infC	dosP//
thrS_infC_rpmI_rplT_pheMST_ihfA	rsmE//folX//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	deoB//selA//
tolB_pal_cpoB	
tolC_ygiABC	yeaG//dapD//dnaQ//wbbI//hyi//gdhA//yjcS//nudI//deoB//
tomB_hha	
topAI_yjhQ	
torCAD	alaA//
torYZ	pspE//
treBC	rhaD//sgbE//
trmI_yggL	ugd//
trpCBA	ascB//lsrG//yihU//paoC//
trpLEDCBA	yciA//glpD//ribA//katE//bglX//ndk//
tsaB_yeaY	chbG//
tsaE_amiB_mutL_miaA_hfq_hflXKC	tatD//kdgK//glpD//arnB//pheA//
ttdABT	yccX//purL//
tyrS_pdxY	pabC//mrcB//
tyrTV_tpr	
tyrV_tpr	
ubiCA	glpE//pepD//
ubiEJB	bglX//
udk_dcd	amyA//murG//
ugpBAECQ	moaD//miaB//
uhpABC	
uidABC	pnp//ynfE//
ulaABCDEF	ldtE//ldtC//gpmA//adeD//
umpG_pcm	rfaE//ftnA//
umuDC	araD//
uof_fur	
upp_uraA	phnG//pabC//
usg_truA_dedA	asd//
uvrYC	yiaK//
uxaCA	murE//yohF//
uxuAB	melA//pldA//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	argD//fabH//
waaQGPSBOJYZU	cysJ//atoD//preA//proC//murI//treA//thyA//queA//argG//ldcC//
waaYZ	frdB//paaA//
waaZU	waaJ//alr//
wbbIJK	pncA//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	treC//yfaU//trpE//bcsZ//truD//moaE//
wcaKLM	
wrbA_yccJ	nrfB//
wza_wzb_wzc	panE//ligB//
wza_wzb_wzc_wcaAB	pgl//prmC//
xanQ_guaD_ghxQ	argC//rlmG//fcl//
xapAB	waaU//thrS//
xdhABC	der//
xerD_dsbC_recJ	ogt//pncC//
xseB_ispA_dxs_yajO	ycjG//rluA//dadA//cfa//
xylAB	ybjI//asnA//
xylFGHR	tnaA//
yabPQ	
yacC_speED	fadM//pdeR//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	deoD//
yafDE	
yafNOP	dgkA//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	codA//guaA//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	gapA//
ybaB_recR	entF//
ybaST	allD//
ybbAP	
ybbY_glxK	can//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	feaB//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	tyrB//
ybeZY	
ybeZYX_lnt	glnS//
ybfHG	
ybfOC	
ybgA_phr	eutC//
ybgC_tolQRA	
ybgIJKL_nei	fsaB//
ybgQPO	
ybhP_clsB_ybhN	alsK//
ybiYW	
ybjC_nfsA_rimK_ybjN	aceE//ubiG//
ybjJI	cyaA//
ybjO_rlmC	pbpC//
ybjQ_amiD	insI-3//
ycaI_msbA_lpxK_ycaQ	frdB//yjeF//
ycaR_kdsB	rffH//
ycbK_gloC	fumB//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	fadH//
yciCB	
yciGFE	
yciK_btuR	yicI//
yciVOQ	acpS//
yciZT	
ycjMNOPQRSTUV_ymjB	thiC//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	allB//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	nrdF//sdhC//
ydcSTUV_patD	pgm//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	pgpA//
ydgK_rsxABCDGE_nth	hisA//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	queF//pgpA//
ydiJ_menI_ydiH	acnA//
ydiNB_aroD	ttdB//frlD//
ydiQRST_fadK	glgC//
ydjA_selD_topB	argI//truA//
ydjLKJIHG	cysC//
ydjXYZ_ynjABCD	
yeaGH	fcl//
yeaR_yoaG	
yeaVW	
yebC_ruvC	gdhA//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	yfiH//glcE//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	yggF//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	yfcF//trpC//
yejABEF	cysN//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	panE//
yfaX_rhmD	
yfaX_rhmD_yfaVU	trmJ//
yfbUT	cyoE//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
