# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	pgaB//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	lpxC//rffC//hycF//nrdA//malP//
gcvTHP	ubiI//purU//cmoA//
gfcBCD	
gfcE_etp_etk	ppk//mazG//
ghoST	ispD//
glcBA	lysS//kduD//
glcDEFGBA	dxr//ubiG//lpxM//
glf_wbbH	mmuM//
glgAP	trmL//deoA//
glgBXCAP	orn//gapA//pfkB//yeiG//sgbE//
glgCAP	rnb//eptC//mngB//
glmUS	lpxC//hisD//
glnALG	nanM//
glnHPQ	rlmH//
glnK_amtB	arnC//
glnLG	
glnW_metU_glnVX	
glpABC	lgoD//
glpEGR	lpoA//tktA//
glpFKX	recR//prpC//sucA//
glpGR	plsC//
glpTQ	recG//adiA//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	thrS//
glvCBG_ysdC	
glyQS	upp//
glyVXY	
glyW_cysT_leuZ	
gntKU	phr//purM//
gntRKU	psd//lhgO//
gntX_nfuA	
gpmM_envC_yibQ	aslA//btuR//
groSL	
gspAB	
gspCDEFGHIJKLMO	citX//
guaBA	rdgB//ahpF//
gudPXD	mhpE//cdd//
hcaEFCBD	waaS//alaC//
hcp_hcr	folB//umpG//
hdeAB_yhiD	
hemA_prfA_prmC	yjeF//nagA//
hemCDXY	ribC//hcp//
hflD_purB	paaB//
hfq_hflXKC	metC//
hicAB	
higBA	gltA//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	alaS//adhP//gntK//tdcG//
hipBA	waaY//
hisBHAFI	tadA//nudG//dusC//insI-2//
hisJQMP	ubiA//cysC//
hisLGDCBHAFI	lpxB//dgkA//fabH//mutY//rsmH//yihV//gcvH//
hofMNOP	
holC_valS	ldtA//
holD_rimI_yjjG	ldtE//paaA//
hscBA_fdx_iscX	tdcE//
hsdMS	coaA//
hsdRMS	dusC//
hslRO	
hslVU	hisF//
hyaABCDEF	
hybOABCDEFG	ilvC//
hycABCDEFGHI	clsB//cobS//
hydN_hypF	nudK//
hyfABCDEFGHIJR_focB	glcD//
hypABCDE	rhaB//
hypABCDE_fhlA	bioD//
hypBCDE	citC//
hypBCDE_fhlA	tsaC//
iaaA_gsiABCD	glnA//maeA//
ibaG_murA	mltA//
ibpAB	
idnDOTR	sufS//lgoD//pdxB//
ileS_lspA_fkpB_ispH	thrB//fes//ydiB//maeA//
ilvEDA	hinT//ispF//pgsA//speC//
ilvIH	slyD//
ilvLXG_1G_2MEDA	ilvD//araB//waaA//prpB//dhaL//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	amn//
insN_1I_1O_1	pgaD//
insO_2_yjhWV	
iscRSUA	hyaC//hycE//
ispDF	fadH//rlmG//
ispG_sroE	nrdB//
isrC_flu	
ivbL_ilvBN	pdxH//
ivbL_ilvBN_uhpABC	ugpQ//
kbaZ_agaVWA	yihS//
kbl_tdh	deoD//rfbC//
kdpDE	
kdpFABC	gatZ//
kdsC_lptCAB	mltF//speD//
kefFC	pcm//folM//
kefGB_yheV	paaJ//
kilR_ydaE	
lacYA	metC//iaaA//
lacZYA	nadD//cpdA//gabD//
lapAB	
lapAB_pyrF_yciH	tilS//
lepAB	arnC//
leuLABCD	gcvT//selB//mhpF//
leuQPV	
leuS_lptE_holA_nadD_cobC	yjhH//purB//proS//
lexA_dinF	
lgt_thyA	yiaY//epmB//
ligA_ypeB	iscS//
livKHMGF	sodA//rpiA//
lldPRD	maeA//mog//
lolA_rarA	
lolB_ispE_prs	ghrB//glpQ//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	cysJ//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	paaJ//guaD//
lptFG	
lspA_fkpB_ispH	icd//uvrA//pssA//
lsrACDBFG_tam	ispD//pheS//lpxT//pgl//
lsrRK	dadA//
ltaE_ybjT	thiD//
lysT_valT_lysW	
macAB	galE//
malEFG	lpxP//
malK_lamB_malM	yfcF//oxc//
malPQ	glpQ//tig//
malXY	napB//waaL//
manXYZ	clsC//
map_glnD_dapD	dusC//paaJ//mcrB//
marRAB	
mazEFG	rlmF//
mcrBC	dhaK//
mdlAB	
mdtABCD_baeSR	pgaC//
mdtEF	ubiE//
mdtJI	pgsA//
mdtM_yjiN	ydiB//
mdtNOP	cmoB//
melAB	sthA//tktA//
menA_rraA	narZ//
menBCE	gapA//yjiA//cysC//
menDHBCE	pdxB//ppc//napH//ileS//azoR//
menFDHBCE	roxA//treA//gpmM//lsrK//bglX//nth//
metBL	thiC//entC//
metNIQ	citD//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	fucI//ygiF//mpl//
metZWV	
mglAC	yeiG//
mglBAC	sucD//
mgtLA	rluA//
mhpABCDFE	hinT//rsmA//bioD//metL//rsgA//pgaC//
mhpR_lacI	
miaA_hfq_hflXKC	nirB//bioA//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	ddlB//codA//
mnaT_ydcZ	gshB//
mngAB	proB//ilvH//
mnmG_rsmG	ansB//wzc//
mntR_ybiR	
moaABCDE	entC//fabI//
moaBCDE	mtgA//
mobAB	yjcS//
modABC	waaA//
modEF	
moeAB	rbsK//alaA//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	arnB//
mqsRA	yfiH//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	ydbC//purE//fadH//acpT//lpcA//entH//glgC//sucB//kbaZ//kdsB//aroH//
mreBCD	
mreCD	
msrPQ	
mtlADR	citG//rluF//pncA//
mtn_btuF_yadS	rbsD//lgoD//
murB_birA	puuA//atoB//
murQP	ahr//gntK//ybhA//
murQP_yfeW	malQ//suhB//nadE//talA//
mutL_miaA_hfq_hflXKC	narZ//rnb//yggF//
mutY_yggX	wzb//
mutY_yggX_mltC	gpsA//folD//
mutY_yggX_mltC_nupG	ilvH//ppiA//ppx//
nadA_pnuC	amiD//insI-2//
nagBAC_umpH	hyaC//folD//ampC//
nagK_cobB	pgpB//waaB//
nanATEK_yhcH	rbsD//zwf//selA//yqjG//
nanCM	ndh//yegS//
nanCMS	ilvG_1//wecB//
napFDAGHBC	citG//
napFDAGHBC_ccmABCDEFGH	aroC//pheA//
narGHJI	hflX//
narWV	ymdB//
narXL	
narZYWV	allC//
nemRA	lysS//
nemRA_gloA	pssA//fabZ//
nfrBA	
nhaAR	pta//
nikABCDER	ldcA//
nirBDC_cysG	fcl//epmC//hemD//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	eutC//
nrdAB_yfaE	ravA//
nrdDG	idnO//ileS//
nrdHIEF	rfbA//
nrdR_ribDE_nusB_thiL_pgpA	proB//hemH//mog//rlmJ//
nrfABCDEFG	dacC//
nsrR_rnr_rlmB_yjfI	nagA//yfcG//
nudB_yebC_ruvC	folD//fdhF//
nudC_hemE_nfi	truC//tpiA//
nudF_yqiB_cpdA_yqiA_parE	nhoA//nagZ//
nuoABCEFGHIJKLMN	queD//
nuoMN	hemG//
ompR_envZ	
opgGH	
oppABCDF	rnpA//katG//
osmF_yehYXW	insI-3//
otsBA	narG//uxaB//
paaABCDEFGHIJK	cynT//mgsA//ulaF//dnaE//otsB//thiM//emtA//
paaXY	nagZ//
pabB_nudL	sgbE//ldtD//
pabC_mltG_tmk_holB_ycfH	rbn//slt//sucC//
panBC	narV//gmd//
panE_yajL	yciA//
paoABCD	trpE//
pcnB_folK	cysD//mepS//
pdeI_dgcI	
pdhR_aceEF_lpd	ldtE//coaA//leuB//nrfC//psuG//pabC//
pdxA_rsmA	puuE//ravA//
pdxA_rsmA_apaGH	yagF//bioF//rpe//
pdxB_usg_truA_dedA	ybaS//psuK//
pdxH_tyrS_pdxY	ilvM//yjiA//arsC//
pdxJ_acpS	yggF//trmA//
pepQ_yigZ_trkH_hemG	cyaA//speE//gpsA//
pflDC	
pgaABCD	sodB//yjjX//rutC//
pgk_fbaA	thrB//dhaL//
pgpC_tadA	dacC//glpB//
pheLA	gor//
pheMST_ihfA	lpoA//
phnCDE_1E_2FGHIJKLMNOP	roxA//mltA//yeiG//hisD//garR//atoA//napA//
phnLMNOP	araA//argC//cobU//fadD//fadD//
phoA_psiF	ampD//
phoBR	
phoPQ	
pldB_yigL	insI-2//ribE//
plsX_fabHDG	insI-2//paaB//xdhB//
pntAB	
potABCD	ilvE//
potFGHI	lysA//
poxB_ltaE_ybjT	ldtB//lacA//
ppdAB_ygdB_ppdC_recC	hemF//
ppdD_hofBC	
ppiB_lpxH	waaA//hisC//
ppk_ppx	gltB//nanE//
pqiAB	
preTA	katE//
prfB_lysS	rhaD//
priC_ybaM	
prlC_rsmJ	mngB//nudK//
prlF_yhaV	surA//
prmB_aroC_mepA_yfcA_epmC_yfcL	malP//waaF//yfcF//pspE//
proBA	rihC//glmM//
proQ_prc	fadM//
proVWX	entD//
prpBCDE	rlmC//pldB//rluB//bcsB//
psd_mscM	
pspABCDE	wrbA//
pspBCDE	glgB//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	gltX//curA//
pth_ychF	miaA//
ptrA_recBD	mpl//gltX//
ptsA_fsaB_gldA	leuC//emtA//
ptsHI_crr	hdhA//ynfE//pabA//
purEK	proB//lgoD//
purHD	uvrC//solA//
purMN	purT//cmoA//
puuAP	malS//ulaD//
puuCBE	aroH//mpl//lsrF//
puuDRCBE	tktB//tktB//ydjG//ydiO//
pyrF_yciH	selB//
pyrG_eno	allB//tgt//
pyrLBI	ahr//
qmcA_ybbJ	
qseBC	
radA_nadR	panC//
rapA_rluA	ilvB//
ratAB	
ravA_viaA	
rbsDACBKR	astC//carB//pyrE//
rclABC	
rclBC	
rcnAB	cysE//
rcsDB	
rcsF_trmO	ybdL//
rdgB_yggW	mnmE//
rdoA_dsbA	udk//slyD//
recAX	
recET_ralR_ydaC_xisR_intR	nudL//kdsA//
relA_mazEF	rpiA//
relBE	fbaB//
relBE_hokD	fucU//
renD_emrE	bglX//
rfaD_waaFCL	dnaQ//tehB//lpxA//waaF//
rfbACX	gshA//hyaA//argF//dld//
rfbBDACX	uidA//menI//icd//cysD//pgm//dusB//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	murB//uvrB//fre//rlmM//otsB//mnmE//serA//luxS//lysA//
rhaBAD	rffC//argC//entD//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	purD//ilvB//pgpC//
ribF_ileS_lspA_fkpB_ispH	ppiA//puuD//argE//mhpE//acpS//
rimK_ybjN	sdaB//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	ldtC//ampH//asnA//moaE//gpt//maa//pgaB//puuA//wbbI//hcaE//
rlmE_ftsH	pdeF//rdoA//
rlmL_uup	gshB//
rluD_yfiH	ilvB//atoA//
rluE_nudJ	astD//uxaB//
rnc_era	argK//
rnc_era_recO_pdxJ_acpS	cyoE//waaY//argB//aes//
rnlAB	rbsD//
rnt_lhr	guaC//
rpe_gph_trpS	pgm//ilvA//maa//
rph_pyrE	dacD//xthA//
rpiR_alsBACE	dcd//sucD//
rplJL_rpoBC	thrA//
rplKAJL_rpoBC	pheA//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	umpG//
rpmF_plsX_fabHDG	lacA//mtlD//dapB//
rpmH_rnpA	agp//hisS//
rpmI_rplT	
rpoBC	argG//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	paaF//hemC//glnA//
rppH_ptsP	aceE//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	fabH//
rpsO_pnp	pgaB//scpC//
rpsP_rimM_trmD_rplS	fucO//
rpsU_dnaG_rpoD	nfi//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	phnM//lpxK//
rsmA_apaGH	waaP//polB//
rsmD_yhhL	fadA//
rsmE_gshB	dgcT//folK//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	hpt//rsmE//icd//waaO//apt//ilvG_1//argF//rlmH//dgoD//amyA//tig//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	pdeR//
rtcBA	purN//ubiE//
rutABCDEFG	nudG//frlC//ravA//mutY//ybcF//narI//
ruvAB	tsaC//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	cmoB//
scpA_argK_scpBC	cobB//queC//acpH//dapD//
sdaCB	orn//preA//
sdhCDAB_sucABCD	ung//torY//glxK//rrrD//
sdhDAB	
sdhE_cptA	
secB_gpsA	scpC//
secE_nusG	
secG_leuU	
secMA_mutT	psd//
selAB	ahpC//icd//
selD_topB	umuC//waaC//
seqA_pgm	ppk//
serB_radA	zwf//
serC_aroA	bglX//trmH//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	pgi//
sgrST_setA	glxR//
skp_lpxD_fabZ_lpxA	nirD//ribF//paoB//
slp_dctR	
solA_yceO	fucO//
speAB	trmO//ppiB//
speF_potE	yibQ//lpxM//
srlAEBD_gutM_srlR_gutQ	selB//nagZ//nhoA//
sroG_ribB	alkA//
sspAB	
ssrS_fau	glyQ//
ssuEADCB	yjiA//solA//pgl//
stfE_tfaE	
sucAB	insI-3//pheT//opgE//
sucABCD	paaY//gluQ//lpxL//dgcM//
sufABCDSE	eptA//
surA_pdxA_rsmA_apaGH	uxuB//allE//ppiC//guaB//
tag_yiaC	selA//
talA_tktB	hyuA//yigB//
tamAB_ytfP	
tar_tap_cheRBYZ	galU//rbsD//
tatABC	ribB//
tatABCD	cyaA//purB//
tauABCD	citE//pta//
tdcABCDEFG	pheS//umpH//nfi//napB//phnN//
tdcBCDEFG	hycD//yibQ//alkA//waaU//roxA//
tehAB	fkpB//metH//
tesA_ybbO	gcvP//gluQ//
tff_rpsB_tsf	
tgt_yajC	ldtE//
thiCEFSGH	mcrC//ampH//astD//nfsA//gltX//
thiMD	birA//paaK//
thrLABC	moeA//hyaB//trmL//
thrS_infC	entE//
thrS_infC_rpmI_rplT_pheMST_ihfA	gltB//abgA//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	tig//rsuA//
tolB_pal_cpoB	
tolC_ygiABC	puuD//rsuA//ispU//lpxC//acs//nfsA//mqo//ispG//ycaO//
tomB_hha	
topAI_yjhQ	
torCAD	ybaS//
torYZ	moaA//
treBC	pabA//ilvA//
trmI_yggL	ubiX//
trpCBA	cmoA//ilvD//fucU//kdgK//
trpLEDCBA	murQ//waaO//pyrG//iscS//pyrE//guaC//
tsaB_yeaY	ribE//
tsaE_amiB_mutL_miaA_hfq_hflXKC	dgoD//ldtB//hyuA//recF//yfeW//
ttdABT	menE//ribA//
tyrS_pdxY	malY//purA//
tyrTV_tpr	
tyrV_tpr	
ubiCA	add//caiB//
ubiEJB	lpxM//
udk_dcd	mug//hisH//
ugpBAECQ	pfkB//kbaZ//
uhpABC	
uidABC	roxA//aphA//
ulaABCDEF	csdA//galM//hemH//ubiG//
umpG_pcm	scpB//psuG//
umuDC	rfbD//
uof_fur	
upp_uraA	nudI//leuD//
usg_truA_dedA	nadK//
uvrYC	yigL//
uxaCA	gltD//ulaF//
uxuAB	folB//paaC//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	hemE//ruvC//
waaQGPSBOJYZU	glgX//fsaA//ampH//arnC//tdcD//gshB//sdhC//eptB//aspC//rpiA//
waaYZ	glgB//pyrF//
waaZU	argG//rimK//
wbbIJK	speF//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	sad//nanA//mdh//alaA//cysD//yhdH//
wcaKLM	
wrbA_yccJ	yqjG//
wza_wzb_wzc	hisD//mhpB//
wza_wzb_wzc_wcaAB	cdsA//aldA//
xanQ_guaD_ghxQ	menH//dacA//bioB//
xapAB	ppc//deoD//
xdhABC	pflB//
xerD_dsbC_recJ	hcaB//sodA//
xseB_ispA_dxs_yajO	pdxK//yjjX//trpB//pgk//
xylAB	nanE//pldB//
xylFGHR	slt//
yabPQ	
yacC_speED	hcaB//pgaC//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	pdxH//
yafDE	
yafNOP	galE//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	sthA//dgcZ//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	rlmC//
ybaB_recR	aphA//
ybaST	glpX//
ybbAP	
ybbY_glxK	epmC//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	ydjG//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	dut//
ybeZY	
ybeZYX_lnt	yihV//
ybfHG	
ybfOC	
ybgA_phr	hisI//
ybgC_tolQRA	
ybgIJKL_nei	hemH//
ybgQPO	
ybhP_clsB_ybhN	tag//
ybiYW	
ybjC_nfsA_rimK_ybjN	yihU//roxA//
ybjJI	tktB//
ybjO_rlmC	araA//
ybjQ_amiD	uxuA//
ycaI_msbA_lpxK_ycaQ	pta//waaH//
ycaR_kdsB	yihX//
ycbK_gloC	aroC//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	rhaA//
yciCB	
yciGFE	
yciK_btuR	yigB//
yciVOQ	recF//
yciZT	
ycjMNOPQRSTUV_ymjB	selA//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	glnA//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	rihB//panC//
ydcSTUV_patD	maeB//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	galM//
ydgK_rsxABCDGE_nth	nrfD//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	trpE//pepD//
ydiJ_menI_ydiH	insI-2//
ydiNB_aroD	lpxK//mhpC//
ydiQRST_fadK	uxuB//
ydjA_selD_topB	nadA//gntK//
ydjLKJIHG	lldD//
ydjXYZ_ynjABCD	
yeaGH	csdA//
yeaR_yoaG	
yeaVW	
yebC_ruvC	waaQ//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	purN//pheT//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	guaC//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	purA//rluD//
yejABEF	waaZ//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	garR//
yfaX_rhmD	
yfaX_rhmD_yfaVU	cysI//
yfbUT	yihX//
yfcUTSRQPO	
yfdGHI	
