# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	acpH//
gadAX	cadA//
gadBC	mrcA//aphA//
gadEF	
gadEF_mdtEF	paaI//
gadXW	
galET	slt//tynA//
galETK	yliI//allD//rfbD//
galETKM	mpl//ddlA//apt//puuB//
gapA_yeaD	thrC//
gapC_1C_2	
garPLRK_rnpB	otsB//lysU//dkgB//gloA//katE//idnD//
gatYZABCD	thiG//lysS//hemH//
gatZABCD	rfaD//edd//ppsA//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	waaC//rutB//lpoA//yqjH//glpQ//
gcvTHP	pldB//pinE//leuB//
gfcBCD	
gfcE_etp_etk	yfbR//nrdF//
ghoST	miaB//
glcBA	frc//purN//
glcDEFGBA	paaF//zwf//gmhB//
glf_wbbH	sucD//
glgAP	fabG//panC//
glgBXCAP	hyaC//uxuA//add//rlmJ//rne//
glgCAP	treC//citD//yfbR//
glmUS	mobA//fadE//
glnALG	torZ//
glnHPQ	trmO//
glnK_amtB	mltF//
glnLG	
glnW_metU_glnVX	
glpABC	mhpC//
glpEGR	pcm//glgP//
glpFKX	prpD//gutQ//deoD//
glpGR	cdd//
glpTQ	phnG//pgi//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	dmsA//
glvCBG_ysdC	
glyQS	eptC//
glyVXY	
glyW_cysT_leuZ	
gntKU	nrdE//surA//
gntRKU	thiK//clsA//
gntX_nfuA	
gpmM_envC_yibQ	rihB//argS//
groSL	
gspAB	
gspCDEFGHIJKLMO	pphA//
guaBA	hcaF//etp//
gudPXD	ahpF//purT//
hcaEFCBD	puuC//yciV//
hcp_hcr	cobC//phnI//
hdeAB_yhiD	
hemA_prfA_prmC	fes//ulaG//
hemCDXY	dgcC//metB//
hflD_purB	allE//
hfq_hflXKC	rlmI//
hicAB	
higBA	insI-3//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	nudF//idnK//rlmL//dgcP//
hipBA	waaC//
hisBHAFI	dinB//pabC//gsk//icd//
hisJQMP	kdsC//xdhA//
hisLGDCBHAFI	rlmE//allC//phr//lpxT//glpQ//fadK//fucK//
hofMNOP	
holC_valS	pheT//
holD_rimI_yjjG	astC//ung//
hscBA_fdx_iscX	azoR//
hsdMS	hyaB//
hsdRMS	rffH//
hslRO	
hslVU	pdeL//
hyaABCDEF	
hybOABCDEFG	phnL//
hycABCDEFGHI	metG//rdoA//
hydN_hypF	folD//
hyfABCDEFGHIJR_focB	glgB//
hypABCDE	nrfA//
hypABCDE_fhlA	ugpQ//
hypBCDE	puuA//
hypBCDE_fhlA	serA//
iaaA_gsiABCD	cfa//thrB//
ibaG_murA	yiaK//
ibpAB	
idnDOTR	wecB//pncA//cysS//
ileS_lspA_fkpB_ispH	purB//fbaA//xdhC//citG//
ilvEDA	kduI//gldA//gltX//cobS//
ilvIH	dadX//
ilvLXG_1G_2MEDA	avtA//rlmH//yjiA//fbaB//menD//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	rhaD//
insN_1I_1O_1	speG//
insO_2_yjhWV	
iscRSUA	mdh//proS//
ispDF	nadK//ulaG//
ispG_sroE	dusB//
isrC_flu	
ivbL_ilvBN	folP//
ivbL_ilvBN_uhpABC	hemN//
kbaZ_agaVWA	ldtD//
kbl_tdh	speG//hycD//
kdpDE	
kdpFABC	pncC//
kdsC_lptCAB	murE//adiA//
kefFC	adeD//frdA//
kefGB_yheV	nadC//
kilR_ydaE	
lacYA	mltC//yfcF//
lacZYA	cfa//ackA//cadA//
lapAB	
lapAB_pyrF_yciH	nirD//
lepAB	xdhC//
leuLABCD	leuB//thrA//anmK//
leuQPV	
leuS_lptE_holA_nadD_cobC	yagF//uxaA//cobT//
lexA_dinF	
lgt_thyA	dcm//purN//
ligA_ypeB	trxB//
livKHMGF	acpS//gsk//
lldPRD	truC//glpK//
lolA_rarA	
lolB_ispE_prs	mhpD//ilvB//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	trmL//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	paaY//kbl//
lptFG	
lspA_fkpB_ispH	folD//gatY//ynjE//
lsrACDBFG_tam	pgpC//fbaB//gmd//lplA//
lsrRK	gstB//
ltaE_ybjT	curA//
lysT_valT_lysW	
macAB	fadD//
malEFG	ybdL//
malK_lamB_malM	glf//ilvG_1//
malPQ	yghA//acpS//
malXY	gpsA//thiH//
manXYZ	wecB//
map_glnD_dapD	rnb//ulaE//lpxH//
marRAB	
mazEFG	yliI//
mcrBC	ilvN//
mdlAB	
mdtABCD_baeSR	phnP//
mdtEF	pssA//
mdtJI	slt//
mdtM_yjiN	umuC//
mdtNOP	gudD//
melAB	leuB//fsaB//
menA_rraA	murI//
menBCE	rlmC//ubiI//gcl//
menDHBCE	ansB//maa//yihS//purU//fruK//
menFDHBCE	dcd//ilvM//rsgA//yfcG//can//gnd//
metBL	ung//menD//
metNIQ	ydiO//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	dapE//citC//entE//
metZWV	
mglAC	ampH//
mglBAC	trxB//
mgtLA	rbsK//
mhpABCDFE	dkgA//thyA//lgoD//mazG//galK//panD//
mhpR_lacI	
miaA_hfq_hflXKC	nrdD//malY//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	oxc//ribE//
mnaT_ydcZ	dapF//
mngAB	yfaU//caiB//
mnmG_rsmG	lldD//hycG//
mntR_ybiR	
moaABCDE	napC//ttdB//
moaBCDE	ldtD//
mobAB	ygaP//
modABC	sdhD//
modEF	
moeAB	yfbR//fadH//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	yieF//
mqsRA	fabA//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	fabB//ilvD//mug//glgB//rne//rffC//yihX//rsmG//glcB//folX//narI//
mreBCD	
mreCD	
msrPQ	
mtlADR	insI-3//fklB//cheB//
mtn_btuF_yadS	rfbA//yihU//
murB_birA	oxc//fruK//
murQP	ispD//ydfG//arnB//
murQP_yfeW	thiK//metC//nfsB//napC//
mutL_miaA_hfq_hflXKC	cysG//fucO//fadA//
mutY_yggX	aroB//
mutY_yggX_mltC	dgcC//dgoK//
mutY_yggX_mltC_nupG	ampD//trpB//ldtE//
nadA_pnuC	cyaA//cysI//
nagBAC_umpH	epmB//paoC//rnt//
nagK_cobB	hchA//dnaQ//
nanATEK_yhcH	fdhF//rlmA//murD//purD//
nanCM	speF//mutH//
nanCMS	clsB//aceB//
napFDAGHBC	truC//
napFDAGHBC_ccmABCDEFGH	hcaE//glpC//
narGHJI	pyrD//
narWV	trmJ//
narXL	
narZYWV	pcm//
nemRA	rlmJ//
nemRA_gloA	edd//mepS//
nfrBA	
nhaAR	purU//
nikABCDER	lpxL//
nirBDC_cysG	nrfC//dgoA//hypF//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	napH//
nrdAB_yfaE	hycD//
nrdDG	gpp//nrfB//
nrdHIEF	pabB//
nrdR_ribDE_nusB_thiL_pgpA	mhpA//yibQ//rhaM//fadI//
nrfABCDEFG	mraY//
nsrR_rnr_rlmB_yjfI	talA//deoB//
nudB_yebC_ruvC	dcyD//glyS//
nudC_hemE_nfi	napB//hcaB//
nudF_yqiB_cpdA_yqiA_parE	ampD//truA//
nuoABCEFGHIJKLMN	tdcE//
nuoMN	rlmF//
ompR_envZ	
opgGH	
oppABCDF	fes//metH//
osmF_yehYXW	wzc//
otsBA	rihA//ubiD//
paaABCDEFGHIJK	tyrB//folD//nagZ//yihT//menI//yigL//ybiV//
paaXY	mutS//
pabB_nudL	ispU//dxr//
pabC_mltG_tmk_holB_ycfH	cyoE//ybjI//pyrH//
panBC	menB//aroC//
panE_yajL	trpE//
paoABCD	fabI//
pcnB_folK	alkA//yihV//
pdeI_dgcI	
pdhR_aceEF_lpd	xdhA//bioC//tsaD//lpxH//entF//alkB//
pdxA_rsmA	fadA//recJ//
pdxA_rsmA_apaGH	caiD//ubiA//rbn//
pdxB_usg_truA_dedA	hypF//gmd//
pdxH_tyrS_pdxY	speD//metK//glcB//
pdxJ_acpS	wbbI//allA//
pepQ_yigZ_trkH_hemG	pgpB//yjiA//lpoB//
pflDC	
pgaABCD	cysQ//adk//narG//
pgk_fbaA	rbsD//atoB//
pgpC_tadA	paaB//qor//
pheLA	gcvH//
pheMST_ihfA	amyA//
phnCDE_1E_2FGHIJKLMNOP	rsmH//ybjG//pgk//bioC//rsuA//nrfC//bioA//
phnLMNOP	ynfF//metH//ilvG_2//panB//ubiD//
phoA_psiF	hisS//
phoBR	
phoPQ	
pldB_yigL	yfiH//aphA//
plsX_fabHDG	rlmI//avtA//galT//
pntAB	
potABCD	argH//
potFGHI	ynfE//
poxB_ltaE_ybjT	aroK//yeiR//
ppdAB_ygdB_ppdC_recC	pyrH//
ppdD_hofBC	
ppiB_lpxH	tauD//sad//
ppk_ppx	cfa//ybcF//
pqiAB	
preTA	yiaY//
prfB_lysS	cadA//
priC_ybaM	
prlC_rsmJ	metG//nrdD//
prlF_yhaV	cysI//
prmB_aroC_mepA_yfcA_epmC_yfcL	adk//lsrG//ymdB//melA//
proBA	gshA//gapA//
proQ_prc	coaD//
proVWX	cobC//
prpBCDE	nudG//mobA//fumC//rdoA//
psd_mscM	
pspABCDE	nadB//
pspBCDE	glpB//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	ribA//thyA//
pth_ychF	paoC//
ptrA_recBD	yfdR//yciV//
ptsA_fsaB_gldA	pbpC//pncB//
ptsHI_crr	asnS//hyaB//hemA//
purEK	xylA//dxr//
purHD	hemN//slt//
purMN	alr//pck//
puuAP	eutC//cmoB//
puuCBE	entF//cobB//ilvH//
puuDRCBE	nirD//tktB//rfbD//gadB//
pyrF_yciH	fkpA//
pyrG_eno	lpd//recO//
pyrLBI	tatD//
qmcA_ybbJ	
qseBC	
radA_nadR	yfcF//
rapA_rluA	wecB//
ratAB	
ravA_viaA	
rbsDACBKR	selB//proB//metE//
rclABC	
rclBC	
rcnAB	hmp//
rcsDB	
rcsF_trmO	iaaA//
rdgB_yggW	hcaC//
rdoA_dsbA	ackA//aceE//
recAX	
recET_ralR_ydaC_xisR_intR	cpdA//pgl//
relA_mazEF	maa//
relBE	hemL//
relBE_hokD	gutQ//
renD_emrE	dmsB//
rfaD_waaFCL	hypF//ldtB//pgpB//fabA//
rfbACX	puuD//fucU//murQ//folP//
rfbBDACX	glgX//gpmA//yohF//purT//maeB//paaC//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	paaI//spoT//phnN//cpdB//ushA//glyQ//gcvH//argA//paaH//
rhaBAD	mug//bcsZ//tdcE//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	gstA//maeA//yhhW//
ribF_ileS_lspA_fkpB_ispH	gluQ//hcaF//nfi//pflB//tehB//
rimK_ybjN	dsdA//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	gss//psd//menD//tpiA//edd//btuE//sgbE//hycE//pdxH//panB//
rlmE_ftsH	ynfE//adk//
rlmL_uup	pphA//
rluD_yfiH	cysQ//nadK//
rluE_nudJ	treF//atoB//
rnc_era	aroB//
rnc_era_recO_pdxJ_acpS	sucB//pepD//selB//aroL//
rnlAB	ilvA//
rnt_lhr	rffG//
rpe_gph_trpS	mhpC//insI-1//nadK//
rph_pyrE	nfi//accB//
rpiR_alsBACE	gpsA//poxB//
rplJL_rpoBC	arnA//
rplKAJL_rpoBC	rffT//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	gntK//
rpmF_plsX_fabHDG	ppk//glnS//murF//
rpmH_rnpA	proS//talB//
rpmI_rplT	
rpoBC	nfsA//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	purU//ghrA//dcd//
rppH_ptsP	trmD//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	pgk//
rpsO_pnp	mltC//accA//
rpsP_rimM_trmD_rplS	ppiA//
rpsU_dnaG_rpoD	trmO//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	napH//epmA//
rsmA_apaGH	ribB//tilS//
rsmD_yhhL	rsgA//
rsmE_gshB	rlmG//aspA//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	glpC//yeiG//waaZ//rutB//ruvB//fadM//mocA//thrS//psuG//ansA//pncC//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	ubiI//
rtcBA	gatZ//cdh//
rutABCDEFG	paoA//clsC//fabF//gcvH//waaC//glmS//
ruvAB	mqo//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	rsmD//
scpA_argK_scpBC	hemN//rnb//pgpC//purB//
sdaCB	fucA//dgcP//
sdhCDAB_sucABCD	bioA//trmL//can//aphA//
sdhDAB	
sdhE_cptA	
secB_gpsA	gapA//
secE_nusG	
secG_leuU	
secMA_mutT	pgi//
selAB	gstB//prpB//
selD_topB	glgC//queG//
seqA_pgm	entD//
serB_radA	torA//
serC_aroA	cpsG//can//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	wcaJ//
sgrST_setA	cysC//
skp_lpxD_fabZ_lpxA	pgl//frdB//dhaK//
slp_dctR	
solA_yceO	nudB//
speAB	adhE//otsB//
speF_potE	menD//bioD//
srlAEBD_gutM_srlR_gutQ	patZ//dxr//thrA//
sroG_ribB	rsmE//
sspAB	
ssrS_fau	ycjG//
ssuEADCB	fadM//dapE//cysM//
stfE_tfaE	
sucAB	sdaA//rsmH//frdA//
sucABCD	yagF//uxaC//ynfH//garK//
sufABCDSE	chbG//
surA_pdxA_rsmA_apaGH	ldcC//nudF//lsrG//glyS//
tag_yiaC	malQ//
talA_tktB	rutB//ansA//
tamAB_ytfP	
tar_tap_cheRBYZ	surA//lpxK//
tatABC	mutH//
tatABCD	hycG//yfdE//
tauABCD	nagZ//rffC//
tdcABCDEFG	hypB//otsA//cmoB//glmM//tmk//
tdcBCDEFG	yibQ//rsgA//tdcD//purU//frdD//
tehAB	yagF//fumB//
tesA_ybbO	metF//atoD//
tff_rpsB_tsf	
tgt_yajC	nudK//
thiCEFSGH	lpxA//hflX//cobC//ribB//entB//
thiMD	mdh//pgm//
thrLABC	folM//hycG//qor//
thrS_infC	opgE//
thrS_infC_rpmI_rplT_pheMST_ihfA	hisG//hemF//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	selD//ubiF//
tolB_pal_cpoB	
tolC_ygiABC	ascB//ruvA//gatY//dadX//hycD//rsmI//acnA//gatD//pyrC//
tomB_hha	
topAI_yjhQ	
torCAD	pykA//
torYZ	umuC//
treBC	leuB//codA//
trmI_yggL	hycE//
trpCBA	nrfC//yfcF//coaA//accD//
trpLEDCBA	eno//patA//purE//yjcS//trmD//pbpC//
tsaB_yeaY	fabI//
tsaE_amiB_mutL_miaA_hfq_hflXKC	gadA//mqo//pdxJ//aspS//lysA//
ttdABT	nrfC//betA//
tyrS_pdxY	mog//lpoB//
tyrTV_tpr	
tyrV_tpr	
ubiCA	purM//prpD//
ubiEJB	fbp//
udk_dcd	hemE//yidA//
ugpBAECQ	mhpC//ttdA//
uhpABC	
uidABC	pheT//serA//
ulaABCDEF	cmoB//pdeR//purE//yrfG//
umpG_pcm	ulaD//sdhB//
umuDC	allD//
uof_fur	
upp_uraA	rffM//yihT//
usg_truA_dedA	phnO//
uvrYC	rnpA//
uxaCA	pbpC//ahpC//
uxuAB	paaG//yfcG//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	glyS//metE//
waaQGPSBOJYZU	galM//rbsD//waaJ//yjjG//yfcF//ampD//glgB//mutT//mocA//ppsA//
waaYZ	dusB//gatZ//
waaZU	nrdE//sufS//
wbbIJK	argF//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	leuD//maeA//pphA//hypF//ydiF//murF//
wcaKLM	
wrbA_yccJ	solA//
wza_wzb_wzc	rsmA//lpxA//
wza_wzb_wzc_wcaAB	yfeW//speB//
xanQ_guaD_ghxQ	murA//rlmC//csdA//
xapAB	rnpA//nadD//
xdhABC	bacA//
xerD_dsbC_recJ	ubiH//opgB//
xseB_ispA_dxs_yajO	gpmM//fucO//rnd//glcB//
xylAB	aldB//pncC//
xylFGHR	otsA//
yabPQ	
yacC_speED	napC//frmB//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	ilvM//
yafDE	
yafNOP	yajO//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	yjhH//menH//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	thyA//
ybaB_recR	phnI//
ybaST	kbl//
ybbAP	
ybbY_glxK	emtA//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	frmA//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	sdaA//
ybeZY	
ybeZYX_lnt	talB//
ybfHG	
ybfOC	
ybgA_phr	mepS//
ybgC_tolQRA	
ybgIJKL_nei	anmK//
ybgQPO	
ybhP_clsB_ybhN	speE//
ybiYW	
ybjC_nfsA_rimK_ybjN	cysG//pyrD//
ybjJI	hycF//
ybjO_rlmC	thrA//
ybjQ_amiD	ychF//
ycaI_msbA_lpxK_ycaQ	add//cmoA//
ycaR_kdsB	cdd//
ycbK_gloC	prmB//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	rffC//
yciCB	
yciGFE	
yciK_btuR	ppiC//
yciVOQ	dcd//
yciZT	
ycjMNOPQRSTUV_ymjB	otsA//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	pgm//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	guaA//dgkA//
ydcSTUV_patD	dacC//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	tesA//
ydgK_rsxABCDGE_nth	rlmA//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	galE//pabA//
ydiJ_menI_ydiH	mtn//
ydiNB_aroD	moeA//pheS//
ydiQRST_fadK	selA//
ydjA_selD_topB	hisS//hyaB//
ydjLKJIHG	amyA//
ydjXYZ_ynjABCD	
yeaGH	nadK//
yeaR_yoaG	
yeaVW	
yebC_ruvC	serA//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	mltB//acs//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	btuR//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	yidA//plsC//
yejABEF	glcD//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	plsC//
yfaX_rhmD	
yfaX_rhmD_yfaVU	frlD//
yfbUT	argD//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	putA//
