# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	dgoD//
csiD_lhgO_gabDTP	thiH//eutD//bglB//ulaG//
cusCFBA	dmsA//
cusRS	
cvpA_purF_ubiX	rsuA//bacA//
cydAB	folP//
cydDC	tsaC//
cydX_ybgE	trmO//
cynTS	purU//aroH//
cynTSX	aroG//aroB//ileS//
cyoABCDE	fadJ//fau//
cysDNC	folE//opgB//
cysJIH	pheT//paaG//idnK//
cysPUWAM	serB//mcrB//epd//
dadAX	mutM//mutS//
damX_dam_rpe_gph_trpS	birA//ppa//ldtE//kbl//
dam_rpe_gph_trpS	pdxJ//dgt//ogt//emtA//
dapA_bamC	kduI//
dapE_ypfN	hcaD//
dcm_vsr	mrdA//
dcuB_fumB	nanE//purE//
dcuSR	
dcyD_tcyLN	bioF//pyrI//
ddpXABCDF	amn//
def_fmt	purB//yiaK//
degQS	tmcA//mepS//
deoABD	ubiI//tatD//pflB//
deoBD	ansB//metB//
deoCABD	guaA//patZ//bglA//gss//
dgoRKADT	paaF//menF//hyuA//ftnA//
dhaKLM	paaY//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	ftnA//ispU//
dinJ_yafQ	rlmD//
dksA_gluQ	metF//
dmsABC	astB//
dnaAN_recF	alr//
dnaK_tpke11_dnaJ	fbp//
dnaN_recF	ybbO//
dnaTC	
dnaTC_yjjA	
dosCP	asnA//citX//
dpiBA	
dppABCDF	pfkA//
dsbC_recJ_prfB	nudG//frdA//
dsbD_yjdC	
dsdXA	yihX//trxB//
dusB_fis	proS//
dut_slmA	lpxM//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	phnP//tilS//
efeOB	fumA//
efeU_1U_2	
elbB_mtgA	hyuA//
elfDCG_ycbUVF	
emrKY	proS//
entCEBAH	rutD//mtlD//thyA//lpxM//trpS//hisD//
envY_ompT	rfbB//
epd_pgk	ulaE//ttdB//
epd_pgk_fbaA	pyrD//aroB//arnT//
essD_rrrD_rzpD	citG//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	mhpB//
eutHA	
eutNEJG	
eutSPQTDM	hyaA//
evgAS	
exbBD	
fabDG_acpP	ybjI//aroL//
fabG_acpP	nadA//
fabHDG	rsmI//napA//hisG//
fabR_yijD	
fadBA	allE//idnD//
fadD_sroD	nrdE//
fadIJ	bioD//aes//
fdnGHI	
fdoGHI_fdhE	rnpB//
fdrA_ylbEF_ybcF	proB//
fecABCDE	frdB//ubiG//
fecIR	
feoABC	rdgB//
fepA_entD	hisD//yagE//yceF//
fepDGC	dgoK//
fes_ybdZ_entF_fepE	miaA//purB//aroB//
fetAB	
fhuACDB	ruvA//waaY//
ficA_fic_pabA	nudF//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	ugpQ//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	lhgO//efeB//
folC_dedD	ubiF//
folD_ybcJ	lpxL//
folE_yeiB	tsaE//
folP_glmM	allC//sgbU//
folX_yfcH	yghU//
frdABCD	glf//
frlABCDR	rnb//oxc//glgC//rffC//
frmRAB	argG//acnA//
fruBKA	adhE//amyA//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	ampC//dinB//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	rfbA//trmO//amn//glcF//rsmH//ilvI//pdxJ//polA//lysU//gadA//
ftsQAZ	
ftsYEX	
fucAO	mcrA//slyD//
fucPIKUR	ruvC//plsB//galU//gpt//
fumAC	ubiF//puuD//
fusA_tufA	
gabDTP	astA//alaS//queC//
gadAX	aes//
gadBC	glxK//paaG//
gadEF	
gadEF_mdtEF	idi//
gadXW	
galET	tyrS//truD//
galETK	mutH//glcF//ilvM//
galETKM	cysG//entH//cdh//rsuA//
gapA_yeaD	eutB//
gapC_1C_2	
garPLRK_rnpB	solA//fucO//ppa//ilvI//etk//hemE//
gatYZABCD	amiD//rhaA//hyi//
gatZABCD	bacA//napC//yigB//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	fadK//cof//add//cmoB//guaC//
gcvTHP	ispD//murA//mltD//
gfcBCD	
gfcE_etp_etk	epmC//rnd//
ghoST	lplA//
glcBA	rsmF//purF//
glcDEFGBA	dut//nfi//rfbC//
glf_wbbH	mutT//
glgAP	thiD//ispB//
glgBXCAP	truB//glxK//gabD//miaB//xylA//
glgCAP	rhaA//proC//maeB//
glmUS	rlmG//gstB//
glnALG	rutA//
glnHPQ	nanE//
glnK_amtB	prpE//
glnLG	
glnW_metU_glnVX	
glpABC	hyaB//
glpEGR	moaD//ldhA//
glpFKX	prpD//pdeL//rsmA//
glpGR	tnaA//
glpTQ	deoC//ybaS//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	ynjE//
glvCBG_ysdC	
glyQS	puuE//
glyVXY	
glyW_cysT_leuZ	
gntKU	birA//rlmH//
gntRKU	rimK//sodC//
gntX_nfuA	
gpmM_envC_yibQ	bacA//ygeX//
groSL	
gspAB	
gspCDEFGHIJKLMO	opgE//
guaBA	bglA//suhB//
gudPXD	ispA//hisI//
hcaEFCBD	gltB//metH//
hcp_hcr	alaS//glmS//
hdeAB_yhiD	
hemA_prfA_prmC	rihC//paaH//
hemCDXY	udk//fumB//
hflD_purB	wrbA//
hfq_hflXKC	ispD//
hicAB	
higBA	trpD//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	epd//xdhB//dxs//aroF//
hipBA	metG//
hisBHAFI	dgt//purM//rsmJ//prmC//
hisJQMP	dcd//rlmJ//
hisLGDCBHAFI	ispU//yeaG//cyaA//leuD//fumC//puuE//dgcM//
hofMNOP	
holC_valS	icd//
holD_rimI_yjjG	can//mltF//
hscBA_fdx_iscX	amyA//
hsdMS	sdhB//
hsdRMS	csdA//
hslRO	
hslVU	rsmH//
hyaABCDEF	
hybOABCDEFG	glpB//
hycABCDEFGHI	feaB//hisF//
hydN_hypF	nirB//
hyfABCDEFGHIJR_focB	yegS//
hypABCDE	ada//
hypABCDE_fhlA	otsA//
hypBCDE	rdgB//
hypBCDE_fhlA	fucO//
iaaA_gsiABCD	mtn//sufS//
ibaG_murA	lpxM//
ibpAB	
idnDOTR	ybhA//ltaE//tgt//
ileS_lspA_fkpB_ispH	atoD//cheR//fre//citD//
ilvEDA	ubiC//murG//cdsA//ubiA//
ilvIH	cobC//
ilvLXG_1G_2MEDA	yfdE//cysG//entH//ssuD//glgC//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	mutM//
insN_1I_1O_1	ndh//
insO_2_yjhWV	
iscRSUA	rsmE//ltaE//
ispDF	yieF//hisB//
ispG_sroE	phnM//
isrC_flu	
ivbL_ilvBN	lpxT//
ivbL_ilvBN_uhpABC	paaG//
kbaZ_agaVWA	dapE//
kbl_tdh	asd//yliI//
kdpDE	
kdpFABC	aroB//
kdsC_lptCAB	epmC//mutH//
kefFC	panC//folP//
kefGB_yheV	tnaA//
kilR_ydaE	
lacYA	polA//acnB//
lacZYA	bfr//umuD//accC//
lapAB	
lapAB_pyrF_yciH	mltC//
lepAB	rbn//
leuLABCD	ybdL//metA//pphB//
leuQPV	
leuS_lptE_holA_nadD_cobC	yhhW//coaD//pheS//
lexA_dinF	
lgt_thyA	mltC//pdxJ//
ligA_ypeB	maeB//
livKHMGF	alaC//pgaD//
lldPRD	dam//glpD//
lolA_rarA	
lolB_ispE_prs	malS//nanM//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	gss//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	mnmA//hisA//
lptFG	
lspA_fkpB_ispH	ispH//atoD//purH//
lsrACDBFG_tam	ldcA//caiC//nrfA//rfbC//
lsrRK	hycE//
ltaE_ybjT	mtn//
lysT_valT_lysW	
macAB	hycC//
malEFG	coaA//
malK_lamB_malM	galT//hyi//
malPQ	iscS//nanM//
malXY	nrfA//eptB//
manXYZ	ydbC//
map_glnD_dapD	rlmL//ilvI//menB//
marRAB	
mazEFG	pta//
mcrBC	rutD//
mdlAB	
mdtABCD_baeSR	yeiR//
mdtEF	preA//
mdtJI	rbsK//
mdtM_yjiN	maa//
mdtNOP	gcvT//
melAB	yieF//cobB//
menA_rraA	gnd//
menBCE	moaE//abgA//mrcA//
menDHBCE	yfeX//paaK//fabB//nanE//glnA//
menFDHBCE	rnpA//phnM//purD//sdaB//tam//metA//
metBL	acpH//yeiR//
metNIQ	hmp//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	yigL//gpmA//rlmA//
metZWV	
mglAC	phnP//
mglBAC	tesB//
mgtLA	fucU//
mhpABCDFE	ppiB//rfbA//rffG//ydbC//lpxK//trpS//
mhpR_lacI	
miaA_hfq_hflXKC	ghrB//guaD//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	rsmG//bioD//
mnaT_ydcZ	entA//
mngAB	gabT//maeB//
mnmG_rsmG	yliI//malS//
mntR_ybiR	
moaABCDE	purH//truC//
moaBCDE	hisI//
mobAB	selD//
modABC	gss//
modEF	
moeAB	fcl//alaS//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	glpD//
mqsRA	luxS//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	uxuA//hdhA//surA//pgpB//ycjG//recR//pdeH//pphA//entE//nrdF//deoD//
mreBCD	
mreCD	
msrPQ	
mtlADR	hflX//asnS//pyrI//
mtn_btuF_yadS	gss//guaC//
murB_birA	mhpB//appA//
murQP	rnpA//nadC//frmA//
murQP_yfeW	edd//gpp//tehB//nfsB//
mutL_miaA_hfq_hflXKC	nudK//rffT//pphB//
mutY_yggX	purA//
mutY_yggX_mltC	hisH//nhoA//
mutY_yggX_mltC_nupG	sdhC//hisA//galM//
nadA_pnuC	glnE//fabI//
nagBAC_umpH	phnO//mazG//prpB//
nagK_cobB	ppiC//rffM//
nanATEK_yhcH	narI//rutC//gmd//nrfB//
nanCM	waaP//mhpA//
nanCMS	aroK//waaG//
napFDAGHBC	ruvC//
napFDAGHBC_ccmABCDEFGH	hemG//dkgB//
narGHJI	coaE//
narWV	avtA//
narXL	
narZYWV	queA//
nemRA	can//
nemRA_gloA	waaS//rffM//
nfrBA	
nhaAR	eutB//
nikABCDER	rfaE//
nirBDC_cysG	thiH//sdhA//dapE//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	xdhA//
nrdAB_yfaE	nudG//
nrdDG	accD//yfiH//
nrdHIEF	tdcD//
nrdR_ribDE_nusB_thiL_pgpA	pdxB//fucA//dapA//lldD//
nrfABCDEFG	recF//
nsrR_rnr_rlmB_yjfI	paoB//nfsA//
nudB_yebC_ruvC	sufS//yeiG//
nudC_hemE_nfi	rlmF//def//
nudF_yqiB_cpdA_yqiA_parE	umpH//acpT//
nuoABCEFGHIJKLMN	queA//
nuoMN	thrB//
ompR_envZ	
opgGH	
oppABCDF	yidA//frmA//
osmF_yehYXW	lysS//
otsBA	argK//aroK//
paaABCDEFGHIJK	apt//glcE//rutA//ubiD//cysH//lpxC//tdk//
paaXY	hemC//
pabB_nudL	otsA//glpC//
pabC_mltG_tmk_holB_ycfH	tehB//ynfE//lpxP//
panBC	rrrD//yciV//
panE_yajL	cmk//
paoABCD	hypF//
pcnB_folK	torA//maeB//
pdeI_dgcI	
pdhR_aceEF_lpd	galE//mutH//uxaC//ycjU//clsA//argD//
pdxA_rsmA	fabA//cpsG//
pdxA_rsmA_apaGH	rrrD//bacA//rpiB//
pdxB_usg_truA_dedA	apt//ulaE//
pdxH_tyrS_pdxY	mutT//iaaA//rlmF//
pdxJ_acpS	plsB//dgt//
pepQ_yigZ_trkH_hemG	zwf//gabD//dacD//
pflDC	
pgaABCD	tauD//aceA//gltB//
pgk_fbaA	nudJ//gatZ//
pgpC_tadA	apt//metC//
pheLA	uxaA//
pheMST_ihfA	lldD//
phnCDE_1E_2FGHIJKLMNOP	yniC//dgt//thiC//waaC//trpB//pyrE//mutH//
phnLMNOP	gloB//gcd//sdhC//nirB//sgbE//
phoA_psiF	wzc//
phoBR	
phoPQ	
pldB_yigL	ldtA//bioC//
plsX_fabHDG	paaY//napG//hyaC//
pntAB	
potABCD	gluQ//
potFGHI	aroB//
poxB_ltaE_ybjT	kdgK//rffM//
ppdAB_ygdB_ppdC_recC	waaO//
ppdD_hofBC	
ppiB_lpxH	insI-3//hyuA//
ppk_ppx	ubiG//thiG//
pqiAB	
preTA	oxc//
prfB_lysS	pagP//
priC_ybaM	
prlC_rsmJ	phnI//sodA//
prlF_yhaV	garL//
prmB_aroC_mepA_yfcA_epmC_yfcL	clsA//phoA//bioC//yjcS//
proBA	yigB//ilvI//
proQ_prc	nirD//
proVWX	ugpQ//
prpBCDE	agp//mnmE//waaY//yahK//
psd_mscM	
pspABCDE	pyrG//
pspBCDE	katG//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	bcsZ//frdC//
pth_ychF	cfa//
ptrA_recBD	nfsA//cpdA//
ptsA_fsaB_gldA	lysS//miaB//
ptsHI_crr	glgX//pgaC//pcm//
purEK	hisB//psuK//
purHD	yggF//hycF//
purMN	mug//selB//
puuAP	fbaA//tesA//
puuCBE	glk//gltD//nrdF//
puuDRCBE	nagA//yhdH//yqhD//rbsD//
pyrF_yciH	coaE//
pyrG_eno	lacA//maa//
pyrLBI	gpt//
qmcA_ybbJ	
qseBC	
radA_nadR	gabD//
rapA_rluA	maeB//
ratAB	
ravA_viaA	
rbsDACBKR	glmS//fabI//fkpA//
rclABC	
rclBC	
rcnAB	fadJ//
rcsDB	
rcsF_trmO	entC//
rdgB_yggW	nrfD//
rdoA_dsbA	hyaA//metG//
recAX	
recET_ralR_ydaC_xisR_intR	rlmJ//rrrD//
relA_mazEF	edd//
relBE	aceE//
relBE_hokD	tgt//
renD_emrE	malP//
rfaD_waaFCL	lldD//aceE//rffM//pnp//
rfbACX	folK//serB//hisS//apaH//
rfbBDACX	mrdA//garL//hdhA//ogt//cobT//sufS//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	dkgA//ppc//gpp//fabG//hemH//curA//tmcA//ynfH//argE//
rhaBAD	pdxA//tktA//tynA//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	bglX//trmH//ghrA//
ribF_ileS_lspA_fkpB_ispH	eptB//tadA//ilvN//allD//yqjG//
rimK_ybjN	fucU//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	dapF//dgcM//pyrI//arnT//paaK//waaH//sucC//aroL//epmC//ydjG//
rlmE_ftsH	guaC//rutE//
rlmL_uup	gloC//
rluD_yfiH	nrfA//tilS//
rluE_nudJ	tesB//citD//
rnc_era	rpiA//
rnc_era_recO_pdxJ_acpS	pagP//yiaY//fadK//mocA//
rnlAB	solA//
rnt_lhr	prpB//
rpe_gph_trpS	kdgK//speA//citD//
rph_pyrE	treC//leuC//
rpiR_alsBACE	yieH//ushA//
rplJL_rpoBC	rsmE//
rplKAJL_rpoBC	murB//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	dgt//
rpmF_plsX_fabHDG	recG//dosP//codA//
rpmH_rnpA	eda//ribA//
rpmI_rplT	
rpoBC	citE//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	yfeX//asnS//coaD//
rppH_ptsP	yjiA//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	rhaA//
rpsO_pnp	prpD//aspS//
rpsP_rimM_trmD_rplS	rlmF//
rpsU_dnaG_rpoD	ydiB//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	fucO//gshB//
rsmA_apaGH	yohF//dosP//
rsmD_yhhL	ygjK//
rsmE_gshB	phnJ//frmB//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	paaH//dapD//hypF//ubiI//malY//nanA//waaO//yajO//folX//glnA//galT//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	xylB//
rtcBA	panE//mtlD//
rutABCDEFG	phnP//ubiX//kduI//lhgO//citD//rsmG//
ruvAB	selB//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	waaC//
scpA_argK_scpBC	nrfB//bioF//ilvE//pdeL//
sdaCB	cyaA//napG//
sdhCDAB_sucABCD	phnG//pabB//gss//nemA//
sdhDAB	
sdhE_cptA	
secB_gpsA	accB//
secE_nusG	
secG_leuU	
secMA_mutT	argF//
selAB	dgcP//thrC//
selD_topB	mocA//xdhB//
seqA_pgm	trmO//
serB_radA	pcm//
serC_aroA	mak//cobC//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	fumA//
sgrST_setA	hisC//
skp_lpxD_fabZ_lpxA	astC//lpoA//ppiA//
slp_dctR	
solA_yceO	cynS//
speAB	ackA//menC//
speF_potE	carA//nadD//
srlAEBD_gutM_srlR_gutQ	rsmF//fadJ//yqhD//
sroG_ribB	cpdA//
sspAB	
ssrS_fau	eptA//
ssuEADCB	add//yihU//mmuM//
stfE_tfaE	
sucAB	yjjG//dadA//ynfG//
sucABCD	pyrD//rsgA//ghrA//cysK//
sufABCDSE	pgm//
surA_pdxA_rsmA_apaGH	dosP//otsB//waaS//pgaD//
tag_yiaC	menD//
talA_tktB	pdeF//yfeW//
tamAB_ytfP	
tar_tap_cheRBYZ	pncA//ndh//
tatABC	glcB//
tatABCD	yjeF//eptC//
tauABCD	dgcM//rfaD//
tdcABCDEFG	rsmE//pabA//waaP//gss//tehB//
tdcBCDEFG	entF//ribF//gpmA//dgoD//trmI//
tehAB	sgbU//tesA//
tesA_ybbO	ispD//yjcS//
tff_rpsB_tsf	
tgt_yajC	cysI//
thiCEFSGH	frdA//hcaF//fucA//amn//waaC//
thiMD	argA//otsB//
thrLABC	codA//ilvN//plsC//
thrS_infC	mnmA//
thrS_infC_rpmI_rplT_pheMST_ihfA	hemG//ttdA//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	bfr//dhaL//
tolB_pal_cpoB	
tolC_ygiABC	paoC//rimK//glnS//pdeH//phnH//yjhG//nudE//lysC//rluC//
tomB_hha	
topAI_yjhQ	
torCAD	serS//
torYZ	mltA//
treBC	maeA//queD//
trmI_yggL	aldB//
trpCBA	pncC//puuC//menD//ghrB//
trpLEDCBA	rlmE//narG//murQ//paaZ//prpD//asnS//
tsaB_yeaY	wzc//
tsaE_amiB_mutL_miaA_hfq_hflXKC	paaF//ndk//yeaE//thiK//yghA//
ttdABT	cdh//ispB//
tyrS_pdxY	lysU//mutS//
tyrTV_tpr	
tyrV_tpr	
ubiCA	paaE//accC//
ubiEJB	purC//
udk_dcd	arsC//tdcB//
ugpBAECQ	pdeL//glcD//
uhpABC	
uidABC	aphA//rfbB//
ulaABCDEF	mltC//dam//fadH//alkA//
umpG_pcm	dacD//sufS//
umuDC	fruK//
uof_fur	
upp_uraA	ychF//umpH//
usg_truA_dedA	rsuA//
uvrYC	aroB//
uxaCA	tktA//kdsA//
uxuAB	purB//mutY//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	preA//acpT//
waaQGPSBOJYZU	citE//recO//dgkA//yjhH//frc//glcD//ssuD//trpD//argE//pyrE//
waaYZ	aroA//pheA//
waaZU	argD//waaZ//
wbbIJK	torZ//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	hycC//ulaF//hypF//bglB//nirB//ftnA//
wcaKLM	
wrbA_yccJ	cyaA//
wza_wzb_wzc	hcaF//pdxY//
wza_wzb_wzc_wcaAB	thrS//roxA//
xanQ_guaD_ghxQ	argF//arnB//dkgA//
xapAB	paaG//yfbT//
xdhABC	metL//
xerD_dsbC_recJ	moeB//prpC//
xseB_ispA_dxs_yajO	mngB//deoD//pdeF//ilvA//
xylAB	astB//hyuA//
xylFGHR	mtn//
yabPQ	
yacC_speED	alsE//hisS//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	eutB//
yafDE	
yafNOP	cheB//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	rsgA//ydiB//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	amn//
ybaB_recR	rpe//
ybaST	allA//
ybbAP	
ybbY_glxK	galT//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	ahpF//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	mazG//
ybeZY	
ybeZYX_lnt	rluE//
ybfHG	
ybfOC	
ybgA_phr	fklB//
ybgC_tolQRA	
ybgIJKL_nei	preA//
ybgQPO	
ybhP_clsB_ybhN	uxaA//
ybiYW	
ybjC_nfsA_rimK_ybjN	eutD//nagA//
ybjJI	polB//
ybjO_rlmC	serC//
ybjQ_amiD	poxB//
ycaI_msbA_lpxK_ycaQ	yfiC//proA//
ycaR_kdsB	pfkA//
ycbK_gloC	atoB//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	cysG//
yciCB	
yciGFE	
yciK_btuR	patZ//
yciVOQ	speD//
yciZT	
ycjMNOPQRSTUV_ymjB	poxB//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	torA//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	ndh//glgP//
ydcSTUV_patD	kduI//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	pphA//
ydgK_rsxABCDGE_nth	gabT//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	pgk//fabZ//
ydiJ_menI_ydiH	yliI//
ydiNB_aroD	cysG//rfbC//
ydiQRST_fadK	mutL//
ydjA_selD_topB	cysJ//adiA//
ydjLKJIHG	pdxB//
ydjXYZ_ynjABCD	
yeaGH	mutL//
yeaR_yoaG	
yeaVW	
yebC_ruvC	cysK//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	fadD//lpxH//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	sgbU//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	cysQ//phnJ//
yejABEF	ybaS//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	ugd//
yfaX_rhmD	
yfaX_rhmD_yfaVU	recF//
yfbUT	pdxJ//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	cheB//
