# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	fabZ//
bcsABZC	metL//rfaD//
bcsBZ	nrdB//gpt//
bcsEFG	
bdm_sra	
bepA_yfgD	
betIBA	yqjH//aspS//
bfd_bfr	rutE//
bglGFB	nrfD//uxuA//
bglH_yieLK	
bioBFCD	paaF//yagE//trpD//fdhF//
brnQ_proY	serB//treF//
btuB_murI	prmB//pyrD//
btuCED	frlC//astC//
cadBA	hemL//rihA//
caiCDE	eutC//nagZ//
caiTABCDE	hcaE//pgpC//hemN//mltD//eno//
carAB	sbcB//
casABCDE12	pheS//
casDE12	glpE//
cbpAM	
cbrBC	
ccmABCDEFGH	pyrI//
cecR_ybhGFSR	
chaBC	
chbBCARFG	apaH//ygjK//gcvT//
chiP_ybfN	hypF//
chpSB	cpsB//
citCDEFXG	alaA//thrS//glcE//
clpPX	yfbR//truB//glcB//mazG//
clpX_lon	astA//purH//ynfG//
clsA_yciU	uidA//
cmk_rpsA	ydfG//
cmoM_mukFEB	
cmtBA_yggPFDC	aroB//citX//
coaE_zapD_yacG	rffH//
cobUST	yicI//gldA//sufS//
codBA	murC//tnaA//
cpxPQ	
cpxRA	
creABC	
creABCD	
crfC_yjcZ	
csdAE	queC//
csgBAC	
csgDEFG	aroG//
csiD_lhgO_gabDTP	uvrA//dapB//pyrI//paaB//
cusCFBA	rsmE//
cusRS	
cvpA_purF_ubiX	cmoB//mhpA//
cydAB	puuB//
cydDC	cynS//
cydX_ybgE	yniC//
cynTS	tam//cpdB//
cynTSX	hemL//selB//ygiF//
cyoABCDE	murC//yigB//
cysDNC	speG//xylB//
cysJIH	sdhB//ppk//fbp//
cysPUWAM	anmK//ychF//lldD//
dadAX	rpe//thiK//
damX_dam_rpe_gph_trpS	metL//galT//lacZ//kbaZ//
dam_rpe_gph_trpS	pdxJ//sodC//pgaD//hisC//
dapA_bamC	dut//
dapE_ypfN	sdhC//
dcm_vsr	alkB//
dcuB_fumB	pflB//dgoK//
dcuSR	
dcyD_tcyLN	panE//dapA//
ddpXABCDF	sgbU//
def_fmt	paaC//lpxH//
degQS	ydfG//rlmG//
deoABD	thiD//ybjI//asnA//
deoBD	glpB//tpiA//
deoCABD	sodC//hemN//fsaA//lpxT//
dgoRKADT	treA//kbaY//aphA//dgcZ//
dhaKLM	leuD//
dicB_ydfDE_insD_intQ	
dicC_ydfXW	
dinB_yafNOP	gudD//paaJ//
dinJ_yafQ	deoB//
dksA_gluQ	cysJ//
dmsABC	aroK//
dnaAN_recF	pgl//
dnaK_tpke11_dnaJ	gss//
dnaN_recF	truC//
dnaTC	
dnaTC_yjjA	
dosCP	pcm//thrB//
dpiBA	
dppABCDF	tmk//
dsbC_recJ_prfB	ahpF//tyrS//
dsbD_yjdC	
dsdXA	proS//gcvT//
dusB_fis	tgt//
dut_slmA	mltC//
eaeH_insEF_1E_1F_1	
ebgAC	
ecnAB	
ecpBCDE	
edd_eda	bioD//hisF//
efeOB	etk//
efeU_1U_2	
elbB_mtgA	waaF//
elfDCG_ycbUVF	
emrKY	pta//
entCEBAH	yhhW//pfkA//wecB//fes//rlmA//nagA//
envY_ompT	lpd//
epd_pgk	eutB//folC//
epd_pgk_fbaA	yfdR//pyrD//glxK//
essD_rrrD_rzpD	yahK//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	ydiB//
eutHA	
eutNEJG	
eutSPQTDM	treC//
evgAS	
exbBD	
fabDG_acpP	ilvI//mrcA//
fabG_acpP	pyrC//
fabHDG	pcm//yfdR//efeB//
fabR_yijD	
fadBA	fucA//selB//
fadD_sroD	rfaE//
fadIJ	yihV//ldhA//
fdnGHI	
fdoGHI_fdhE	iscS//
fdrA_ylbEF_ybcF	cfa//
fecABCDE	yeaE//gpmM//
fecIR	
feoABC	betB//
fepA_entD	gadA//yniC//rsmD//
fepDGC	aroC//
fes_ybdZ_entF_fepE	cysK//mgsA//bioF//
fetAB	
fhuACDB	citD//mmuM//
ficA_fic_pabA	mraY//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	waaP//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	cysI//ribE//
folC_dedD	prpB//
folD_ybcJ	glgX//
folE_yeiB	hisH//
folP_glmM	hisC//pabC//
folX_yfcH	nadB//
frdABCD	napC//
frlABCDR	caiB//mrdA//sgbH//kdsB//
frmRAB	otsA//rsmI//
fruBKA	ghrA//dcd//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	uxuB//rluB//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	cynS//ubiC//alaA//ygiF//frdB//yfcF//gldA//queG//preT//rsgA//
ftsQAZ	
ftsYEX	
fucAO	purH//speB//
fucPIKUR	lpxC//purL//ygiF//der//
fumAC	insI-2//paaF//
fusA_tufA	
gabDTP	napC//ilvN//fbaB//
gadAX	moeA//
gadBC	waaB//cysG//
gadEF	
gadEF_mdtEF	coaD//
gadXW	
galET	speG//dcyD//
galETK	puuA//nudK//epmC//
galETKM	dacC//tdcE//ynfE//xdhA//
gapA_yeaD	cof//
gapC_1C_2	
garPLRK_rnpB	yfiC//hpt//umuD//garL//rfbD//umpG//
gatYZABCD	menB//ppx//ldtA//
gatZABCD	alkB//folC//rlmA//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	hisA//xdhC//icd//hemE//lsrK//
gcvTHP	hemG//clsB//hisD//
gfcBCD	
gfcE_etp_etk	metC//selA//
ghoST	dadA//
glcBA	frlD//rffT//
glcDEFGBA	pdxK//pyrI//umuD//
glf_wbbH	mhpC//
glgAP	lpxB//galE//
glgBXCAP	abgB//gloA//rluA//nhoA//rluA//
glgCAP	metE//gsk//pgpB//
glmUS	ilvA//ribC//
glnALG	leuB//
glnHPQ	bioA//
glnK_amtB	tsaE//
glnLG	
glnW_metU_glnVX	
glpABC	mqo//
glpEGR	aspA//trpS//
glpFKX	dhaM//wzb//gnd//
glpGR	kdsD//
glpTQ	nudG//fucK//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	caiA//
glvCBG_ysdC	
glyQS	phnI//
glyVXY	
glyW_cysT_leuZ	
gntKU	hdhA//epmC//
gntRKU	pspE//sthA//
gntX_nfuA	
gpmM_envC_yibQ	selA//bglB//
groSL	
gspAB	
gspCDEFGHIJKLMO	dusB//
guaBA	tatD//mog//
gudPXD	fbaA//purL//
hcaEFCBD	dcd//nrdF//
hcp_hcr	gabD//rutA//
hdeAB_yhiD	
hemA_prfA_prmC	gpt//hycD//
hemCDXY	paaJ//napA//
hflD_purB	mutM//
hfq_hflXKC	thrS//
hicAB	
higBA	dapA//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	ynfG//sseA//argF//pflB//
hipBA	frlC//
hisBHAFI	pepD//hyaB//manA//allA//
hisJQMP	speB//pgl//
hisLGDCBHAFI	caiA//der//speA//cueO//paaZ//pheS//tcdA//
hofMNOP	
holC_valS	garD//
holD_rimI_yjjG	tsaD//can//
hscBA_fdx_iscX	sdhC//
hsdMS	ynfG//
hsdRMS	panB//
hslRO	
hslVU	dld//
hyaABCDEF	
hybOABCDEFG	rdgB//
hycABCDEFGHI	narG//adhP//
hydN_hypF	glpC//
hyfABCDEFGHIJR_focB	ubiG//
hypABCDE	kbl//
hypABCDE_fhlA	pdxB//
hypBCDE	menE//
hypBCDE_fhlA	rsmE//
iaaA_gsiABCD	aspA//gldA//
ibaG_murA	recO//
ibpAB	
idnDOTR	mcrA//panD//folC//
ileS_lspA_fkpB_ispH	adhP//bcsA//ybcF//purE//
ilvEDA	katG//dcm//gatY//wzb//
ilvIH	opgB//
ilvLXG_1G_2MEDA	upp//hypF//hinT//lpxC//lpxT//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	pdxY//
insN_1I_1O_1	apt//
insO_2_yjhWV	
iscRSUA	yhdH//ppiA//
ispDF	acpT//dgoK//
ispG_sroE	lpd//
isrC_flu	
ivbL_ilvBN	mog//
ivbL_ilvBN_uhpABC	tdk//
kbaZ_agaVWA	ttdB//
kbl_tdh	recG//glnE//
kdpDE	
kdpFABC	gatY//
kdsC_lptCAB	yidA//yfcF//
kefFC	moaD//paoC//
kefGB_yheV	moaA//
kilR_ydaE	
lacYA	hemD//speF//
lacZYA	fruK//chbF//purT//
lapAB	
lapAB_pyrF_yciH	trxB//
lepAB	entA//
leuLABCD	glk//cyaA//yjhG//
leuQPV	
leuS_lptE_holA_nadD_cobC	ppc//rsmG//acpS//
lexA_dinF	
lgt_thyA	pgaD//panB//
ligA_ypeB	puuC//
livKHMGF	appA//mutM//
lldPRD	acpT//accA//
lolA_rarA	
lolB_ispE_prs	aroC//cysQ//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	pdxK//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	fsaB//btuE//
lptFG	
lspA_fkpB_ispH	nagA//yiaY//gph//
lsrACDBFG_tam	melA//ugpQ//codA//nrfA//
lsrRK	truA//
ltaE_ybjT	hinT//
lysT_valT_lysW	
macAB	paaY//
malEFG	rluD//
malK_lamB_malM	gluQ//ilvD//
malPQ	clsB//cysN//
malXY	fumA//trpE//
manXYZ	rnt//
map_glnD_dapD	xylA//aroD//mhpF//
marRAB	
mazEFG	wcaJ//
mcrBC	rnpA//
mdlAB	
mdtABCD_baeSR	putA//
mdtEF	purF//
mdtJI	ubiI//
mdtM_yjiN	ynfE//
mdtNOP	xthA//
melAB	plsC//thiM//
menA_rraA	dusB//
menBCE	queF//recF//gdhA//
menDHBCE	dgcP//wzc//nfsB//hcaC//slt//
menFDHBCE	iaaA//sodB//trpE//metA//atoD//gutQ//
metBL	phnG//idnD//
metNIQ	tdcD//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	pgl//fucA//ydiO//
metZWV	
mglAC	lsrF//
mglBAC	paaK//
mgtLA	mraY//
mhpABCDFE	mepS//plsC//rhaA//fadD//scpC//leuB//
mhpR_lacI	
miaA_hfq_hflXKC	pldA//lsrG//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	rbsK//rutA//
mnaT_ydcZ	der//
mngAB	ruvB//rnpA//
mnmG_rsmG	hemA//trmO//
mntR_ybiR	
moaABCDE	preT//cyaA//
moaBCDE	ldtD//
mobAB	bfr//
modABC	murF//
modEF	
moeAB	ilvG_1//yohF//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	aroA//
mqsRA	paaH//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	dhaK//gltB//hemC//citG//coaD//cobS//astC//preA//arnB//purN//bioC//
mreBCD	
mreCD	
msrPQ	
mtlADR	selA//rsmB//epmC//
mtn_btuF_yadS	treA//treA//
murB_birA	ahr//kbl//
murQP	rimK//lpxP//gntK//
murQP_yfeW	ispU//yggF//nagB//dcd//
mutL_miaA_hfq_hflXKC	metC//cdsA//fadI//
mutY_yggX	gss//
mutY_yggX_mltC	garD//pheS//
mutY_yggX_mltC_nupG	malS//mngB//yqjH//
nadA_pnuC	glpB//cmk//
nagBAC_umpH	ampC//der//cysE//
nagK_cobB	argK//ygeX//
nanATEK_yhcH	lsrG//yahK//clsA//argA//
nanCM	hcaF//thiL//
nanCMS	tyrA//paaG//
napFDAGHBC	aroH//
napFDAGHBC_ccmABCDEFGH	nagK//dut//
narGHJI	patA//
narWV	prs//
narXL	
narZYWV	mutH//
nemRA	dgoK//
nemRA_gloA	fcl//glpC//
nfrBA	
nhaAR	ubiF//
nikABCDER	rutB//
nirBDC_cysG	birA//mobA//ynfH//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	dxr//
nrdAB_yfaE	preT//
nrdDG	mqo//purE//
nrdHIEF	cdh//
nrdR_ribDE_nusB_thiL_pgpA	gmk//trpA//agp//yiaK//
nrfABCDEFG	cyoE//
nsrR_rnr_rlmB_yjfI	tcdA//argG//
nudB_yebC_ruvC	murG//hemE//
nudC_hemE_nfi	yciA//yibQ//
nudF_yqiB_cpdA_yqiA_parE	fes//tyrA//
nuoABCEFGHIJKLMN	purL//
nuoMN	waaU//
ompR_envZ	
opgGH	
oppABCDF	gcd//phnO//
osmF_yehYXW	srlD//
otsBA	thiD//yceF//
paaABCDEFGHIJK	idi//nudG//yjhG//coaA//ycjG//glk//dmsB//
paaXY	dapD//
pabB_nudL	kdsB//thiC//
pabC_mltG_tmk_holB_ycfH	ribF//thiM//glf//
panBC	pepD//paaK//
panE_yajL	fucI//
paoABCD	rnt//
pcnB_folK	dhaL//pyrH//
pdeI_dgcI	
pdhR_aceEF_lpd	ubiI//nadB//fumB//gatZ//uvrB//dnaE//
pdxA_rsmA	gltX//dnaE//
pdxA_rsmA_apaGH	rsmC//betB//selD//
pdxB_usg_truA_dedA	pyrH//frlD//
pdxH_tyrS_pdxY	araD//yfeX//pfkA//
pdxJ_acpS	ydbC//allD//
pepQ_yigZ_trkH_hemG	phnM//ugd//nth//
pflDC	
pgaABCD	waaP//truC//purB//
pgk_fbaA	rsmJ//astB//
pgpC_tadA	pck//hcaD//
pheLA	eptB//
pheMST_ihfA	narI//
phnCDE_1E_2FGHIJKLMNOP	cfa//ilvE//opgE//qor//ppa//rffC//mltD//
phnLMNOP	waaL//hycF//ilvA//deoA//glnE//
phoA_psiF	uidA//
phoBR	
phoPQ	
pldB_yigL	phr//rsmD//
plsX_fabHDG	dapF//uxuB//nrfB//
pntAB	
potABCD	purC//
potFGHI	waaU//
poxB_ltaE_ybjT	pgaD//mpl//
ppdAB_ygdB_ppdC_recC	dxs//
ppdD_hofBC	
ppiB_lpxH	pdxK//pgk//
ppk_ppx	folK//eptC//
pqiAB	
preTA	nrfC//
prfB_lysS	pncA//
priC_ybaM	
prlC_rsmJ	aldA//dxr//
prlF_yhaV	hemN//
prmB_aroC_mepA_yfcA_epmC_yfcL	paaE//icd//rluC//prpD//
proBA	cmoB//add//
proQ_prc	dnaQ//
proVWX	deoD//
prpBCDE	tadA//pnp//acs//frdB//
psd_mscM	
pspABCDE	cobU//
pspBCDE	rfaE//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	lpxH//speC//
pth_ychF	yghU//
ptrA_recBD	roxA//folC//
ptsA_fsaB_gldA	mnaT//murC//
ptsHI_crr	ynfG//preT//ubiE//
purEK	rfaD//rutE//
purHD	allB//ubiC//
purMN	pspE//pyrF//
puuAP	gudD//ubiI//
puuCBE	gadB//aspS//fadJ//
puuDRCBE	gnd//tam//efeB//alsK//
pyrF_yciH	pepD//
pyrG_eno	paaF//gpp//
pyrLBI	ycjU//
qmcA_ybbJ	
qseBC	
radA_nadR	narY//
rapA_rluA	kbaY//
ratAB	
ravA_viaA	
rbsDACBKR	argC//aslA//ahr//
rclABC	
rclBC	
rcnAB	rsmC//
rcsDB	
rcsF_trmO	thiI//
rdgB_yggW	rutB//
rdoA_dsbA	yohF//tdcD//
recAX	
recET_ralR_ydaC_xisR_intR	mnaT//tauD//
relA_mazEF	trxB//
relBE	arnB//
relBE_hokD	ilvI//
renD_emrE	galT//
rfaD_waaFCL	malS//glyS//lpd//gatD//
rfbACX	citF//xdhB//mutL//ispG//
rfbBDACX	cadA//yihT//yghA//trpA//caiC//ydjG//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	pgk//speC//gcl//pdeL//btuR//chbG//acnB//cadA//bcsB//
rhaBAD	gph//aldB//arnC//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	pykF//lpxD//tpiA//
ribF_ileS_lspA_fkpB_ispH	uxuB//proC//gadA//treF//eptA//
rimK_ybjN	ilvI//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	napB//araA//serA//lldD//hisS//lacZ//dapE//ydiO//prmC//pheA//
rlmE_ftsH	cmoB//dusC//
rlmL_uup	hisC//
rluD_yfiH	galE//ydiF//
rluE_nudJ	astD//edd//
rnc_era	icd//
rnc_era_recO_pdxJ_acpS	ubiE//entH//glgP//glpD//
rnlAB	sdhC//
rnt_lhr	sdhB//
rpe_gph_trpS	hypF//mrdA//nudK//
rph_pyrE	nudG//ispG//
rpiR_alsBACE	gmm//nudE//
rplJL_rpoBC	metA//
rplKAJL_rpoBC	uxaA//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	csdA//
rpmF_plsX_fabHDG	xthA//menB//tdcG//
rpmH_rnpA	folD//ruvC//
rpmI_rplT	
rpoBC	coaA//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	waaO//paaK//pgaD//
rppH_ptsP	thiK//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	gapA//
rpsO_pnp	ruvA//lpxM//
rpsP_rimM_trmD_rplS	entE//
rpsU_dnaG_rpoD	cyaA//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	ynjE//metF//
rsmA_apaGH	waaF//patZ//
rsmD_yhhL	fabF//
rsmE_gshB	serA//ssuE//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	puuC//efeB//pcm//sdhB//dusB//panE//xylB//ribC//fbp//anmK//nirB//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	mdh//
rtcBA	lsrF//galE//
rutABCDEFG	hcaC//dmsA//paaI//slt//mltC//kdgK//
ruvAB	paaI//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	fadI//
scpA_argK_scpBC	nth//treC//argB//acnA//
sdaCB	metB//ynfE//
sdhCDAB_sucABCD	tmk//ybbO//ycaO//idnD//
sdhDAB	
sdhE_cptA	
secB_gpsA	argC//
secE_nusG	
secG_leuU	
secMA_mutT	glpD//
selAB	mraY//yajO//
selD_topB	yihX//hisG//
seqA_pgm	nudL//
serB_radA	srlD//
serC_aroA	hemN//epmB//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	appA//
sgrST_setA	sgbE//
skp_lpxD_fabZ_lpxA	paaE//alaS//eptC//
slp_dctR	
solA_yceO	fabA//
speAB	garD//mug//
speF_potE	gpsA//nudG//
srlAEBD_gutM_srlR_gutQ	folB//rlmF//murC//
sroG_ribB	glyS//
sspAB	
ssrS_fau	metL//
ssuEADCB	cobT//purT//mnaT//
stfE_tfaE	
sucAB	aroC//paaK//uxaB//
sucABCD	pdeF//phnL//hemC//gshA//
sufABCDSE	slyD//
surA_pdxA_rsmA_apaGH	dkgB//lpxC//truC//ascB//
tag_yiaC	rpe//
talA_tktB	bioH//glpX//
tamAB_ytfP	
tar_tap_cheRBYZ	paaJ//entE//
tatABC	paaK//
tatABCD	narG//yhdH//
tauABCD	patA//maeB//
tdcABCDEFG	tdh//frdC//hemF//umuC//menD//
tdcBCDEFG	gltB//treC//nagB//yjjG//ilvG_2//
tehAB	add//rutC//
tesA_ybbO	pgk//ldtB//
tff_rpsB_tsf	
tgt_yajC	paaY//
thiCEFSGH	epmA//hycG//talA//moeA//thiM//
thiMD	galT//dcd//
thrLABC	mltD//oxc//metL//
thrS_infC	lacA//
thrS_infC_rpmI_rplT_pheMST_ihfA	feaB//ynfG//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	ogt//cysN//
tolB_pal_cpoB	
tolC_ygiABC	ddlA//rlmA//truC//psuK//recF//truA//epmB//mraY//ygjK//
tomB_hha	
topAI_yjhQ	
torCAD	alkA//
torYZ	cysM//
treBC	yidA//murB//
trmI_yggL	katE//
trpCBA	maeA//prpD//araD//puuE//
trpLEDCBA	ndk//ycjU//phnP//metK//slt//nrdE//
tsaB_yeaY	rfbB//
tsaE_amiB_mutL_miaA_hfq_hflXKC	ligA//glgP//waaZ//ygeX//dacA//
ttdABT	otsA//yfcG//
tyrS_pdxY	eptC//kdsC//
tyrTV_tpr	
tyrV_tpr	
ubiCA	lpxT//rlmD//
ubiEJB	rfbB//
udk_dcd	acpH//dld//
ugpBAECQ	aspC//rhaM//
uhpABC	
uidABC	ynjE//rsmF//
ulaABCDEF	thyA//dgcZ//gpmA//pgi//
umpG_pcm	pnp//leuS//
umuDC	ung//
uof_fur	
upp_uraA	hisF//purL//
usg_truA_dedA	glmU//
uvrYC	araA//
uxaCA	fabI//mpl//
uxuAB	panB//waaU//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	menE//ynjE//
waaQGPSBOJYZU	spoT//narG//opgE//fabI//agp//trmA//eno//torC//ubiE//ubiE//
waaYZ	mgsA//glmU//
waaZU	gapA//rihA//
wbbIJK	ppx//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	accD//rbsK//trmO//ssuE//fucU//azoR//
wcaKLM	
wrbA_yccJ	ubiX//
wza_wzb_wzc	yhdH//rlmH//
wza_wzb_wzc_wcaAB	ulaD//pinE//
xanQ_guaD_ghxQ	gnd//tcdA//lysU//
xapAB	yggF//hflX//
xdhABC	glf//
xerD_dsbC_recJ	prpD//kefF//
xseB_ispA_dxs_yajO	ribB//rluB//xylA//dgoK//
xylAB	rbsK//ldtE//
xylFGHR	pssA//
yabPQ	
yacC_speED	selA//ndk//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	hemB//
yafDE	
yafNOP	dmsC//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	rsmE//nagA//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	ppiA//
ybaB_recR	lyxK//
ybaST	alr//
ybbAP	
ybbY_glxK	qor//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	etp//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	lysS//
ybeZY	
ybeZYX_lnt	lacA//
ybfHG	
ybfOC	
ybgA_phr	trmA//
ybgC_tolQRA	
ybgIJKL_nei	nrdF//
ybgQPO	
ybhP_clsB_ybhN	ndk//
ybiYW	
ybjC_nfsA_rimK_ybjN	rutE//glpX//
ybjJI	phnL//
ybjO_rlmC	gudD//
ybjQ_amiD	insI-2//
ycaI_msbA_lpxK_ycaQ	rluC//aldB//
ycaR_kdsB	hyaC//
ycbK_gloC	cadA//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	rfbD//
yciCB	
yciGFE	
yciK_btuR	thiM//
yciVOQ	luxS//
yciZT	
ycjMNOPQRSTUV_ymjB	ybjI//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	opgE//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	nudI//alaC//
ydcSTUV_patD	asnB//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	purT//
ydgK_rsxABCDGE_nth	citE//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	yniC//ppa//
ydiJ_menI_ydiH	ribC//
ydiNB_aroD	yihT//fdhF//
ydiQRST_fadK	pnp//
ydjA_selD_topB	manA//insI-3//
ydjLKJIHG	rfbD//
ydjXYZ_ynjABCD	
yeaGH	sucC//
yeaR_yoaG	
yeaVW	
yebC_ruvC	ackA//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	tilS//ddlB//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	nfsB//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	ruvB//cfa//
yejABEF	hisS//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	tyrA//
yfaX_rhmD	
yfaX_rhmD_yfaVU	uxaA//
yfbUT	eptB//
yfcUTSRQPO	
yfdGHI	
yfdONMLK	
yfdPQ	
yfdRST	nirD//
