# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	argF//
elfDCG_ycbUVF	
emrKY	putA//
entCEBAH	folX//mcrA//rihC//ansA//fucA//mutL//
envY_ompT	torZ//
epd_pgk	lysA//hemH//
epd_pgk_fbaA	tam//argA//hemC//
essD_rrrD_rzpD	leuS//
essQ_ydfR_rrrQ_rzpQ	
eutBCLKR	relA//
eutHA	
eutNEJG	
eutSPQTDM	moaD//
evgAS	
exbBD	
fabDG_acpP	ybiV//bcsB//
fabG_acpP	puuB//
fabHDG	pyrH//pykA//ynfE//
fabR_yijD	
fadBA	cpsG//ppc//
fadD_sroD	cof//
fadIJ	sdhC//gpsA//
fdnGHI	
fdoGHI_fdhE	rnb//
fdrA_ylbEF_ybcF	rfbC//
fecABCDE	yneH//umpH//
fecIR	
feoABC	glpE//
fepA_entD	nudK//ybdL//fadE//
fepDGC	yliI//
fes_ybdZ_entF_fepE	glxK//glyA//cysE//
fetAB	
fhuACDB	pabA//gcvT//
ficA_fic_pabA	gadA//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	dacA//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	menH//maeA//
folC_dedD	ycjG//
folD_ybcJ	nrdB//
folE_yeiB	rsmH//
folP_glmM	nrfC//guaC//
folX_yfcH	hemN//
frdABCD	cmoB//
frlABCDR	lpxM//ruvB//tktB//tcdA//
frmRAB	tcdA//metB//
fruBKA	phnJ//moaA//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	fadB//bfr//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	ahpC//narG//dusB//phnI//proS//waaJ//recG//ppiC//ahpF//apt//
ftsQAZ	
ftsYEX	
fucAO	purL//purF//
fucPIKUR	queG//mutL//hyuA//rffT//
fumAC	ybbO//insI-1//
fusA_tufA	
gabDTP	pdeH//ispE//cadA//
gadAX	lsrF//
gadBC	aroL//tynA//
gadEF	
gadEF_mdtEF	sbcB//
gadXW	
galET	yigB//lpxH//
galETK	glpB//cheR//rutC//
galETKM	glpQ//uvrC//ppiC//cysS//
gapA_yeaD	gshB//
gapC_1C_2	
garPLRK_rnpB	cysM//nudL//tauD//argA//tyrA//ansA//
gatYZABCD	cysE//lpxD//hdhA//
gatZABCD	aceE//mltB//pphA//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	caiC//malP//dapD//trmI//sufS//
gcvTHP	nanK//ymdB//mcrB//
gfcBCD	
gfcE_etp_etk	ftnA//pabC//
ghoST	ynfH//
glcBA	hycE//mpaA//
glcDEFGBA	mhpF//dgkA//eda//
glf_wbbH	lpxH//
glgAP	mutY//mcrC//
glgBXCAP	pgaB//nagA//galK//nadD//adeD//
glgCAP	tyrS//trpD//rutB//
glmUS	nfi//galM//
glnALG	thiD//
glnHPQ	poxB//
glnK_amtB	coaD//
glnLG	
glnW_metU_glnVX	
glpABC	qor//
glpEGR	puuD//pyrF//
glpFKX	sgbH//entC//leuC//
glpGR	speC//
glpTQ	rlmL//rlmA//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	hcaC//
glvCBG_ysdC	
glyQS	tesB//
glyVXY	
glyW_cysT_leuZ	
gntKU	pgaB//emtA//
gntRKU	pgpC//rutB//
gntX_nfuA	
gpmM_envC_yibQ	eutB//ribC//
groSL	
gspAB	
gspCDEFGHIJKLMO	dgkA//
guaBA	nudL//panC//
gudPXD	glpD//mqo//
hcaEFCBD	fbaB//thyA//
hcp_hcr	gshB//rutD//
hdeAB_yhiD	
hemA_prfA_prmC	tdcD//nadB//
hemCDXY	fucK//paaA//
hflD_purB	glpC//
hfq_hflXKC	ribA//
hicAB	
higBA	fucI//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	idi//aroG//btuR//rlmB//
hipBA	aroC//
hisBHAFI	ppsA//bioD//fumA//suhB//
hisJQMP	tpiA//ribC//
hisLGDCBHAFI	otsA//eda//argF//bfr//mcrB//rsgA//ascB//
hofMNOP	
holC_valS	nrdE//
holD_rimI_yjjG	citE//ansA//
hscBA_fdx_iscX	selA//
hsdMS	phnG//
hsdRMS	dgcZ//
hslRO	
hslVU	menF//
hyaABCDEF	
hybOABCDEFG	rpe//
hycABCDEFGHI	cobC//srlD//
hydN_hypF	ulaE//
hyfABCDEFGHIJR_focB	fcl//
hypABCDE	paoA//
hypABCDE_fhlA	purH//
hypBCDE	pnp//
hypBCDE_fhlA	cobT//
iaaA_gsiABCD	cysN//paaG//
ibaG_murA	tktB//
ibpAB	
idnDOTR	ynfG//prpE//entB//
ileS_lspA_fkpB_ispH	nfi//cyoE//alr//folD//
ilvEDA	manA//dadX//rsmE//pfkA//
ilvIH	dgoD//
ilvLXG_1G_2MEDA	rnpA//paaH//insI-1//paoC//mhpD//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	rnt//
insN_1I_1O_1	mcrC//
insO_2_yjhWV	
iscRSUA	proB//apaH//
ispDF	fre//gpsA//
ispG_sroE	prmC//
isrC_flu	
ivbL_ilvBN	frdB//
ivbL_ilvBN_uhpABC	fabD//
kbaZ_agaVWA	gldA//
kbl_tdh	insI-3//epmB//
kdpDE	
kdpFABC	rluF//
kdsC_lptCAB	glyS//dgt//
kefFC	glgC//rsmJ//
kefGB_yheV	serA//
kilR_ydaE	
lacYA	ubiH//pyrB//
lacZYA	purM//sgbH//lysU//
lapAB	
lapAB_pyrF_yciH	pgaC//
lepAB	uvrA//
leuLABCD	opgB//cadA//aes//
leuQPV	
leuS_lptE_holA_nadD_cobC	cysQ//pheT//opgE//
lexA_dinF	
lgt_thyA	narG//dmsC//
ligA_ypeB	rfbB//
livKHMGF	dusB//icd//
lldPRD	dmlA//katE//
lolA_rarA	
lolB_ispE_prs	hchA//mhpA//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	phnP//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	ispU//astA//
lptFG	
lspA_fkpB_ispH	talA//argG//dinB//
lsrACDBFG_tam	glpX//rdgB//accC//panE//
lsrRK	mpaA//
ltaE_ybjT	ulaG//
lysT_valT_lysW	
macAB	tesA//
malEFG	ppsA//
malK_lamB_malM	phnH//ilvD//
malPQ	prs//gldA//
malXY	mog//rbn//
manXYZ	caiC//
map_glnD_dapD	dusA//yfcF//betA//
marRAB	
mazEFG	cmoA//
mcrBC	aceF//
mdlAB	
mdtABCD_baeSR	ppc//
mdtEF	psd//
mdtJI	proS//
mdtM_yjiN	cobU//
mdtNOP	aceB//
melAB	speA//serA//
menA_rraA	metL//
menBCE	astA//ybcF//gldA//
menDHBCE	trpA//trmL//ldhA//dapD//dgoA//
menFDHBCE	garR//frc//aroC//metH//sgbE//ftsI//
metBL	bcsA//lpxH//
metNIQ	ilvD//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	kefF//dhaL//ppk//
metZWV	
mglAC	frlB//
mglBAC	bacA//
mgtLA	narZ//
mhpABCDFE	aldA//queF//ilvG_2//dmsB//nudF//mdh//
mhpR_lacI	
miaA_hfq_hflXKC	yahK//treF//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	tehB//xylB//
mnaT_ydcZ	gcvH//
mngAB	tmcA//pheT//
mnmG_rsmG	ldtA//leuA//
mntR_ybiR	
moaABCDE	ldtE//glyS//
moaBCDE	hycE//
mobAB	mtlD//
modABC	narH//
modEF	
moeAB	gcl//tpiA//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	mutT//
mqsRA	ynfH//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	psd//fucU//ybdL//umpG//tehB//pdeR//rluB//purN//ansB//rlmM//fadE//
mreBCD	
mreCD	
msrPQ	
mtlADR	leuC//ribD//slt//
mtn_btuF_yadS	cmoB//speA//
murB_birA	yciA//arsC//
murQP	rihC//ligB//galT//
murQP_yfeW	menA//dhaK//waaC//trpS//
mutL_miaA_hfq_hflXKC	murG//mutY//uxuB//
mutY_yggX	lysS//
mutY_yggX_mltC	ribB//trmH//
mutY_yggX_mltC_nupG	ulaF//moeB//cobT//
nadA_pnuC	acpT//malS//
nagBAC_umpH	queC//paaI//ahpC//
nagK_cobB	pfkB//malY//
nanATEK_yhcH	metC//ribB//gshA//metL//
nanCM	betB//nudL//
nanCMS	mtlD//truB//
napFDAGHBC	trmA//
napFDAGHBC_ccmABCDEFGH	dapF//paaF//
narGHJI	pssA//
narWV	tktA//
narXL	
narZYWV	eutC//
nemRA	uxuB//
nemRA_gloA	waaF//maeB//
nfrBA	
nhaAR	ogt//
nikABCDER	yeiG//
nirBDC_cysG	dmsC//mtlD//xylB//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	garD//
nrdAB_yfaE	pabA//
nrdDG	fucA//aroG//
nrdHIEF	yhdJ//
nrdR_ribDE_nusB_thiL_pgpA	bglB//wrbA//rlmI//folC//
nrfABCDEFG	dgcM//
nsrR_rnr_rlmB_yjfI	dhaL//atoB//
nudB_yebC_ruvC	menH//melA//
nudC_hemE_nfi	gabT//pta//
nudF_yqiB_cpdA_yqiA_parE	yihU//scpC//
nuoABCEFGHIJKLMN	yeiR//
nuoMN	ybdL//
ompR_envZ	
opgGH	
oppABCDF	dam//alaC//
osmF_yehYXW	dadX//
otsBA	pdxK//uvrA//
paaABCDEFGHIJK	bcsZ//ppiB//glgX//trmA//ubiE//cysN//glmU//
paaXY	hycG//
pabB_nudL	pdxB//rlmG//
pabC_mltG_tmk_holB_ycfH	hemE//rlmI//glpD//
panBC	yohF//thyA//
panE_yajL	rlmE//
paoABCD	ileS//
pcnB_folK	glyQ//fabH//
pdeI_dgcI	
pdhR_aceEF_lpd	dosC//yjjX//purT//gss//surA//glpC//
pdxA_rsmA	manA//tdcD//
pdxA_rsmA_apaGH	aspS//phnO//garD//
pdxB_usg_truA_dedA	gldA//fumB//
pdxH_tyrS_pdxY	bioD//panC//frmA//
pdxJ_acpS	ydjG//dadA//
pepQ_yigZ_trkH_hemG	hcaF//can//nudJ//
pflDC	
pgaABCD	araD//katG//rlmD//
pgk_fbaA	hemL//edd//
pgpC_tadA	lpxA//pgaC//
pheLA	trpD//
pheMST_ihfA	ssuD//
phnCDE_1E_2FGHIJKLMNOP	yfcF//dkgA//pgk//cysS//rffC//nudK//torZ//
phnLMNOP	ubiI//cynT//napA//nudI//araD//
phoA_psiF	pldB//
phoBR	
phoPQ	
pldB_yigL	rnd//xapA//
plsX_fabHDG	leuB//eutD//mutH//
pntAB	
potABCD	narZ//
potFGHI	mrcB//
poxB_ltaE_ybjT	araB//moaA//
ppdAB_ygdB_ppdC_recC	dld//
ppdD_hofBC	
ppiB_lpxH	wecB//preT//
ppk_ppx	surA//ssuE//
pqiAB	
preTA	cobS//
prfB_lysS	adhE//
priC_ybaM	
prlC_rsmJ	tdcD//kdsC//
prlF_yhaV	fadM//
prmB_aroC_mepA_yfcA_epmC_yfcL	glmS//tktA//proB//cueO//
proBA	aceE//aldA//
proQ_prc	ppk//
proVWX	hycC//
prpBCDE	paaY//aroK//caiB//dgkA//
psd_mscM	
pspABCDE	purU//
pspBCDE	alaC//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	mraY//rluB//
pth_ychF	ulaE//
ptrA_recBD	gstB//hemD//
ptsA_fsaB_gldA	yniC//cdd//
ptsHI_crr	sgbU//pyrF//paaC//
purEK	ldcC//aroH//
purHD	ybiV//mutH//
purMN	idnK//glyQ//
puuAP	thiM//entH//
puuCBE	ynfF//rimK//rsmB//
puuDRCBE	ravA//tyrB//edd//trmH//
pyrF_yciH	lsrK//
pyrG_eno	queC//rlmE//
pyrLBI	sdhC//
qmcA_ybbJ	
qseBC	
radA_nadR	slyD//
rapA_rluA	pgsA//
ratAB	
ravA_viaA	
rbsDACBKR	lpxD//lpxM//rffM//
rclABC	
rclBC	
rcnAB	citF//
rcsDB	
rcsF_trmO	thyA//
rdgB_yggW	ravA//
rdoA_dsbA	treF//phnG//
recAX	
recET_ralR_ydaC_xisR_intR	fes//ftnA//
relA_mazEF	rsmC//
relBE	wecC//
relBE_hokD	ycjG//
renD_emrE	nrdE//
rfaD_waaFCL	thiG//purT//idi//serS//
rfbACX	atoD//mraY//serA//yhdJ//
rfbBDACX	yibQ//uxuA//lpd//pgm//ubiA//mltB//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	frdA//ygeX//purA//rbsK//yqjH//aldA//tsaB//def//slyD//
rhaBAD	ligB//yqjH//glnS//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	rffT//wbbI//cysC//
ribF_ileS_lspA_fkpB_ispH	pdxJ//ahr//glgA//glyA//dkgB//
rimK_ybjN	recO//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	fadK//phnP//pfkA//cysE//fcl//menA//ribD//putA//napH//pyrE//
rlmE_ftsH	ispE//pbpC//
rlmL_uup	selD//
rluD_yfiH	ynfH//kdsD//
rluE_nudJ	pykA//pdeH//
rnc_era	rdgB//
rnc_era_recO_pdxJ_acpS	bcsB//lpxA//hcaF//rsmJ//
rnlAB	metF//
rnt_lhr	bglX//
rpe_gph_trpS	mtlD//ldtE//aroL//
rph_pyrE	lpxD//hemL//
rpiR_alsBACE	birA//ubiD//
rplJL_rpoBC	glgC//
rplKAJL_rpoBC	pgpC//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	phnP//
rpmF_plsX_fabHDG	phnI//pldB//hcaD//
rpmH_rnpA	purM//idnK//
rpmI_rplT	
rpoBC	gatZ//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	rrrD//lipB//zwf//
rppH_ptsP	lysA//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	glpD//
rpsO_pnp	fumB//yghA//
rpsP_rimM_trmD_rplS	pykF//
rpsU_dnaG_rpoD	sodB//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	trmJ//waaS//
rsmA_apaGH	miaB//fumB//
rsmD_yhhL	dgoD//
rsmE_gshB	hemF//maeB//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	xdhC//phnL//hycD//caiC//aes//pyrB//folD//roxA//dusC//glpX//cobB//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	hisC//
rtcBA	queG//uxaB//
rutABCDEFG	dgoD//panC//aceE//xylA//metE//pyrH//
ruvAB	mltA//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	manA//
scpA_argK_scpBC	lpxK//asnA//citX//nfsA//
sdaCB	mltD//fadA//
sdhCDAB_sucABCD	mnmE//hcaD//miaA//dusA//
sdhDAB	
sdhE_cptA	
secB_gpsA	tsaB//
secE_nusG	
secG_leuU	
secMA_mutT	yihX//
selAB	dgcT//rutC//
selD_topB	dld//ttdA//
seqA_pgm	phnG//
serB_radA	rutE//
serC_aroA	aspA//eptB//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	rutA//
sgrST_setA	nudF//
skp_lpxD_fabZ_lpxA	purM//bioD//menH//
slp_dctR	
solA_yceO	paaK//
speAB	rluE//mltB//
speF_potE	gss//folB//
srlAEBD_gutM_srlR_gutQ	ubiG//lhgO//ribA//
sroG_ribB	chbF//
sspAB	
ssrS_fau	nrdD//
ssuEADCB	adeD//etk//ybhA//
stfE_tfaE	
sucAB	dcyD//pnp//glpD//
sucABCD	puuB//dapB//rffT//phnH//
sufABCDSE	leuB//
surA_pdxA_rsmA_apaGH	mutS//tatD//murI//alsE//
tag_yiaC	sthA//
talA_tktB	gabT//tatD//
tamAB_ytfP	
tar_tap_cheRBYZ	rlmB//uxuB//
tatABC	insI-1//
tatABCD	metC//sdaB//
tauABCD	hemE//ilvC//
tdcABCDEFG	pyrG//rutE//serB//tsaE//betA//
tdcBCDEFG	tsaB//hisF//gloA//paaG//mutM//
tehAB	pnp//pdxB//
tesA_ybbO	rfaE//talA//
tff_rpsB_tsf	
tgt_yajC	bioF//
thiCEFSGH	ydfG//fucA//eno//pdeF//trpA//
thiMD	aspC//gss//
thrLABC	bacA//mnmA//prpE//
thrS_infC	guaB//
thrS_infC_rpmI_rplT_pheMST_ihfA	lacZ//uxaC//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	gpsA//fkpB//
tolB_pal_cpoB	
tolC_ygiABC	hyaC//hcaC//gutQ//gnd//narY//gcl//betB//argC//sthA//
tomB_hha	
topAI_yjhQ	
torCAD	hyaB//
torYZ	dgcP//
treBC	hemD//tsaD//
trmI_yggL	deoA//
trpCBA	rdgB//hdhA//rluB//glpC//
trpLEDCBA	thiF//nadE//arnB//hemF//sgbU//umpH//
tsaB_yeaY	rffG//
tsaE_amiB_mutL_miaA_hfq_hflXKC	add//scpA//lpd//thiI//paaA//
ttdABT	proB//wzc//
tyrS_pdxY	ilvM//galT//
tyrTV_tpr	
tyrV_tpr	
ubiCA	fadH//queF//
ubiEJB	lgoD//
udk_dcd	glxR//nagZ//
ugpBAECQ	ushA//frdA//
uhpABC	
uidABC	wrbA//rfaE//
ulaABCDEF	hycE//tyrS//pabA//frlC//
umpG_pcm	mltC//hcaD//
umuDC	ygaP//
uof_fur	
upp_uraA	asnA//caiC//
usg_truA_dedA	rnd//
uvrYC	ydiF//
uxaCA	gluQ//trpE//
uxuAB	ahr//uxaC//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	yjhG//gadA//
waaQGPSBOJYZU	thiC//rfbA//epmA//ydiO//yeiR//rihB//tktA//purA//rpe//ispU//
waaYZ	lpxH//fadM//
waaZU	hycE//tnaA//
wbbIJK	yhhW//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	ybjG//rhaM//glgP//cmoB//cpdA//dnaQ//
wcaKLM	
wrbA_yccJ	pepD//
wza_wzb_wzc	ispU//uxaA//
wza_wzb_wzc_wcaAB	argA//aldB//
xanQ_guaD_ghxQ	yghA//leuB//queC//
xapAB	recR//hisA//
xdhABC	ydfG//
xerD_dsbC_recJ	lpoB//pldB//
xseB_ispA_dxs_yajO	yeiR//purC//mutM//mpaA//
xylAB	nrfC//kdsA//
xylFGHR	tsaE//
yabPQ	
yacC_speED	yfdR//asnA//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	hemA//
yafDE	
yafNOP	yjjX//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	cysS//rnd//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	thiD//
ybaB_recR	fsaB//
ybaST	asnA//
ybbAP	
ybbY_glxK	lpxC//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	phnM//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	yjeF//
ybeZY	
ybeZYX_lnt	argK//
ybfHG	
ybfOC	
ybgA_phr	gloA//
ybgC_tolQRA	
ybgIJKL_nei	glpQ//
ybgQPO	
ybhP_clsB_ybhN	arsC//
ybiYW	
ybjC_nfsA_rimK_ybjN	narV//mak//
ybjJI	glgX//
ybjO_rlmC	hemB//
ybjQ_amiD	paaZ//
ycaI_msbA_lpxK_ycaQ	lipB//recJ//
ycaR_kdsB	rdgB//
ycbK_gloC	ahr//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	umuD//
yciCB	
yciGFE	
yciK_btuR	ghrA//
yciVOQ	yciV//
yciZT	
ycjMNOPQRSTUV_ymjB	rnpB//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	mutT//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	hyaB//ubiI//
ydcSTUV_patD	citE//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	ispE//
ydgK_rsxABCDGE_nth	waaB//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	phnM//pyrI//
ydiJ_menI_ydiH	fabI//
ydiNB_aroD	mhpD//fsaB//
ydiQRST_fadK	talA//
ydjA_selD_topB	gpsA//metB//
ydjLKJIHG	hcaF//
ydjXYZ_ynjABCD	
yeaGH	yegS//
yeaR_yoaG	
yeaVW	
yebC_ruvC	ybbO//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	ldhA//pphA//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	paoA//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	gstB//abgA//
yejABEF	yciA//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	pdeR//
yfaX_rhmD	
