# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 13:15:06 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/TUs/random_sets/tus_enzymes.txt
aaeXAB	ygiF//
fecIR	
feoABC	rihA//
fepA_entD	qor//hyi//dgoD//
fepDGC	thiC//
fes_ybdZ_entF_fepE	mrdA//pldB//rlmH//
fetAB	
fhuACDB	fadE//cysI//
ficA_fic_pabA	bioF//
fimAICDFGH	
fixABCX	
fldA_uof_fur	
flgAMN	
flgBCDEFGHIJ	
flgKL	
flgMN	
flhBAE	
flhDC	
fliAZ_tcyJ	yghA//
fliDST	
fliFGHIJK	
fliLMNOPQR	
focA_pflB	pabA//manA//
folC_dedD	hemB//
folD_ybcJ	entF//
folE_yeiB	umpG//
folP_glmM	lpxP//atoD//
folX_yfcH	umuC//
frdABCD	nudB//
frlABCDR	fau//tdcB//nrfD//wzc//
frmRAB	ahpF//slyD//
fruBKA	efeB//ilvC//
frvABXR	
frwCB	
fryBC_ypdFE_fryA	puuE//thiE//
ftsAZ	
ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	rlmH//clsC//ybjI//psuG//pinE//allE//argB//pta//pssA//rnt//
ftsQAZ	
ftsYEX	
fucAO	recF//gmm//
fucPIKUR	rlmH//pdeF//rph//gadA//
fumAC	gabD//gltD//
fusA_tufA	
gabDTP	wecC//insI-1//yjhG//
gadAX	pykF//
gadBC	pabB//citD//
gadEF	
gadEF_mdtEF	yfiC//
gadXW	
galET	sucB//ygeX//
galETK	glgP//mhpE//nanE//
galETKM	hisD//kefF//puuB//nanA//
gapA_yeaD	selD//
gapC_1C_2	
garPLRK_rnpB	ftnA//dapE//murD//astD//gltX//aceE//
gatYZABCD	kbaY//paaA//speD//
gatZABCD	dgcC//waaG//dxs//
gcl_hyi_glxR_ybbW_allB_ybbY_glxK	mobA//purD//dgoK//lsrF//rlmE//
gcvTHP	accA//caiD//cysJ//
gfcBCD	
gfcE_etp_etk	bioA//relA//
ghoST	csdA//
glcBA	ftsI//rpe//
glcDEFGBA	rutA//tktA//ubiE//
glf_wbbH	cynT//
glgAP	ribE//ttdA//
glgBXCAP	cyoE//cmk//argE//pdxA//dapF//
glgCAP	nfsB//astA//purB//
glmUS	aldA//aroL//
glnALG	sdaA//
glnHPQ	puuB//
glnK_amtB	arnB//
glnLG	
glnW_metU_glnVX	
glpABC	lsrK//
glpEGR	citX//aslA//
glpFKX	tyrA//ubiF//yfeW//
glpGR	citC//
glpTQ	otsB//pncB//
glrR_glnB	
gltBDF	
gltI_sroC_gltJKL	ruvA//
glvCBG_ysdC	
glyQS	alsK//
glyVXY	
glyW_cysT_leuZ	
gntKU	nudK//malP//
gntRKU	oxc//hcaE//
gntX_nfuA	
gpmM_envC_yibQ	yjhH//trmJ//
groSL	
gspAB	
gspCDEFGHIJKLMO	dhaM//
guaBA	nudI//rihB//
gudPXD	ltaE//cpdB//
hcaEFCBD	rffT//dgcC//
hcp_hcr	ndk//acs//
hdeAB_yhiD	
hemA_prfA_prmC	yagE//yfbR//
hemCDXY	araA//fumC//
hflD_purB	yfaU//
hfq_hflXKC	murG//
hicAB	
higBA	deoA//
hinT_ycfL_lpoB_thiK_nagZ_ycfP	metK//nrdB//ilvA//acnB//
hipBA	phnJ//
hisBHAFI	mutL//dapE//glpX//gstA//
hisJQMP	waaA//pta//
hisLGDCBHAFI	gldA//lpxM//gatD//wecB//ruvA//pldA//ilvE//
hofMNOP	
holC_valS	pncB//
holD_rimI_yjjG	cobT//acs//
hscBA_fdx_iscX	yjjG//
hsdMS	ilvB//
hsdRMS	hyaC//
hslRO	
hslVU	gltD//
hyaABCDEF	
hybOABCDEFG	yidA//
hycABCDEFGHI	dmsA//idi//
hydN_hypF	galT//
hyfABCDEFGHIJR_focB	yjjX//
hypABCDE	puuB//
hypABCDE_fhlA	lplA//
hypBCDE	hypF//
hypBCDE_fhlA	rsuA//
iaaA_gsiABCD	coaE//trmJ//
ibaG_murA	purC//
ibpAB	
idnDOTR	sdaB//rsmJ//puuA//
ileS_lspA_fkpB_ispH	mgsA//puuE//ghrB//dapE//
ilvEDA	xylB//glgP//asnB//adeD//
ilvIH	clsB//
ilvLXG_1G_2MEDA	recG//entE//moaA//cueO//yneH//
infC_rpmI_rplT	
insA_1AB_1B_1	
insA_2AB_2B_2_afuBC	
insA_3AB_3B_3	
insA_4AB_4B_4	
insA_5AB_5B_5	
insB_7_1B_7_2	
insC_1CD_1D_1	
insC_2CD_2D_2	
insC_3CD_3D_3	
insC_4CD_4D_4_ygeONM	
insC_5CD_5D_5_yqiGHI	
insC_6CD_6D_6	
insE_2EF_2F_2	
insE_3EF_3F_3	
insE_4EF_4F_4	
insE_5EF_5F_5	
insMI_3	glpE//
insN_1I_1O_1	aspC//
insO_2_yjhWV	
iscRSUA	gatZ//lyxK//
ispDF	argC//cysK//
ispG_sroE	malY//
isrC_flu	
ivbL_ilvBN	malY//
ivbL_ilvBN_uhpABC	chbF//
kbaZ_agaVWA	phnG//
kbl_tdh	pgpA//pgaC//
kdpDE	
kdpFABC	ldtA//
kdsC_lptCAB	guaA//glcB//
kefFC	glyA//fabB//
kefGB_yheV	aroL//
kilR_ydaE	
lacYA	amyA//ahr//
lacZYA	torZ//ygjK//avtA//
lapAB	
lapAB_pyrF_yciH	fadK//
lepAB	argI//
leuLABCD	ansB//cysH//tig//
leuQPV	
leuS_lptE_holA_nadD_cobC	yceF//sdhD//mmuM//
lexA_dinF	
lgt_thyA	nrdF//rlmD//
ligA_ypeB	mepS//
livKHMGF	acnA//hcaB//
lldPRD	astE//rluC//
lolA_rarA	
lolB_ispE_prs	frdC//rluE//
lolCDE	
lomR_2_stfR_tfaR	
lptAB	glmU//
lptB_rpoN_hpf_ptsN_rapZ	
lptD_surA_pdxA	frmB//pgl//
lptFG	
lspA_fkpB_ispH	panC//yieH//hyuA//
lsrACDBFG_tam	yjhH//cysD//ftnA//ampC//
lsrRK	dfp//
ltaE_ybjT	dgkA//
lysT_valT_lysW	
macAB	rlmL//
malEFG	dsdA//
malK_lamB_malM	mutY//ddlB//
malPQ	fbp//pdxJ//
malXY	pncB//uxaC//
manXYZ	wrbA//
map_glnD_dapD	rsmG//guaA//murQ//
marRAB	
mazEFG	treF//
mcrBC	gsk//
mdlAB	
mdtABCD_baeSR	pyrC//
mdtEF	pdxJ//
mdtJI	asd//
mdtM_yjiN	rbn//
mdtNOP	ddlB//
melAB	pyrH//tktA//
menA_rraA	dgoD//
menBCE	kdgK//lpoB//glcB//
menDHBCE	yfcG//napH//yagE//prs//lipA//
menFDHBCE	tdcE//alaS//yghA//coaD//pgm//lsrG//
metBL	lipB//nanK//
metNIQ	trxB//
metT_leuW_glnUW_metU_glnVX	
metY_rimP_nusA_infB	
metY_rimP_nusA_infB_rbfA_truB_rpsO_pnp	sdhC//pphB//miaB//
metZWV	
mglAC	rfbA//
mglBAC	nanM//
mgtLA	otsA//
mhpABCDFE	cdh//rsmJ//rsmD//sthA//ascB//pfkB//
mhpR_lacI	
miaA_hfq_hflXKC	azoR//purE//
minCDE	
mlaFEDCB	
mlc_ynfK	
mmuPM	lpxL//napA//
mnaT_ydcZ	idnO//
mngAB	ghrB//folM//
mnmG_rsmG	fabZ//rnd//
mntR_ybiR	
moaABCDE	nagZ//idnO//
moaBCDE	purH//
mobAB	cobT//
modABC	mtn//
modEF	
moeAB	yfdE//kbl//
mokC_hokC	
molR_3_yehI	
motAB_cheAW	
mprA_emrAB	ybbO//
mqsRA	nanA//
mraZ_rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	mak//recJ//prpC//dadA//nudE//glmS//ribF//yjiA//cobT//fumA//panC//
mreBCD	
mreCD	
msrPQ	
mtlADR	yciV//ulaF//ybdL//
mtn_btuF_yadS	citD//nirD//
murB_birA	leuB//panD//
murQP	thiM//lysC//hflX//
murQP_yfeW	cdd//murD//entF//caiC//
mutL_miaA_hfq_hflXKC	mhpC//moaD//ldtD//
mutY_yggX	yigB//
mutY_yggX_mltC	cysD//ulaE//
mutY_yggX_mltC_nupG	aspS//pgsA//cmoB//
nadA_pnuC	hchA//ldtB//
nagBAC_umpH	truC//cysQ//hypF//
nagK_cobB	deoC//yqjG//
nanATEK_yhcH	malQ//tdcE//nrdF//citG//
nanCM	mutL//galT//
nanCMS	dgcZ//nemA//
napFDAGHBC	uvrB//
napFDAGHBC_ccmABCDEFGH	yieH//betA//
narGHJI	argC//
narWV	frlC//
narXL	
narZYWV	thiM//
nemRA	trmA//
nemRA_gloA	acs//mtlD//
nfrBA	
nhaAR	gpmM//
nikABCDER	murE//
nirBDC_cysG	maeA//uxaB//ubiC//
nlpD_rpoS	
nohA_ydfN_tfaQ	
norVW	plsC//
nrdAB_yfaE	gltX//
nrdDG	hemB//aslA//
nrdHIEF	rfbA//
nrdR_ribDE_nusB_thiL_pgpA	pcm//ftsI//rsmB//glpD//
nrfABCDEFG	luxS//
nsrR_rnr_rlmB_yjfI	paoC//narI//
nudB_yebC_ruvC	folE//aroD//
nudC_hemE_nfi	ilvG_1//hycD//
nudF_yqiB_cpdA_yqiA_parE	rlmI//paaK//
nuoABCEFGHIJKLMN	hisB//
nuoMN	rsmC//
ompR_envZ	
opgGH	
oppABCDF	murI//dxr//
osmF_yehYXW	cyaA//
otsBA	ligB//kbaY//
paaABCDEFGHIJK	nfsA//thiK//leuB//pykF//fsaA//pdxA//thrC//
paaXY	ftsI//
pabB_nudL	mmuM//sucA//
pabC_mltG_tmk_holB_ycfH	fklB//hisH//queA//
panBC	pyrI//ascB//
panE_yajL	waaP//
paoABCD	hemG//
pcnB_folK	aceF//mtgA//
pdeI_dgcI	
pdhR_aceEF_lpd	gss//fucK//entE//acnB//trpD//nudL//
pdxA_rsmA	ahpC//bglA//
pdxA_rsmA_apaGH	rsgA//fabB//pldA//
pdxB_usg_truA_dedA	hisB//hemL//
pdxH_tyrS_pdxY	ghrB//folK//deoD//
pdxJ_acpS	abgB//nudL//
pepQ_yigZ_trkH_hemG	prpE//prpB//gshB//
pflDC	
pgaABCD	recJ//ubiH//mtn//
pgk_fbaA	luxS//insI-2//
pgpC_tadA	bglB//waaF//
pheLA	hchA//
pheMST_ihfA	deoA//
phnCDE_1E_2FGHIJKLMNOP	waaU//gatD//sdhA//polB//pheT//gmd//mak//
phnLMNOP	epmA//mobA//ybjI//purN//yohF//
phoA_psiF	murG//
phoBR	
phoPQ	
pldB_yigL	mltA//sad//
plsX_fabHDG	nanK//rffM//sad//
pntAB	
potABCD	fbaA//
potFGHI	gnd//
poxB_ltaE_ybjT	rsuA//phnJ//
ppdAB_ygdB_ppdC_recC	argS//
ppdD_hofBC	
ppiB_lpxH	mcrA//yiaK//
ppk_ppx	frmB//paaF//
pqiAB	
preTA	arnA//
prfB_lysS	polB//
priC_ybaM	
prlC_rsmJ	yhhW//glgB//
prlF_yhaV	tktB//
prmB_aroC_mepA_yfcA_epmC_yfcL	selB//hinT//hemA//lpxA//
proBA	opgE//maeA//
proQ_prc	talA//
proVWX	pdeL//
prpBCDE	recO//gltA//ycaO//sdaA//
psd_mscM	
pspABCDE	truD//
pspBCDE	rihC//
pstB_phoU	
pstCAB_phoU	
pstSCA	
pstSCAB_phoU	
psuKG	waaF//ychF//
pth_ychF	mltC//
ptrA_recBD	icd//nudE//
ptsA_fsaB_gldA	arnT//atoA//
ptsHI_crr	cheR//hemL//etk//
purEK	bcsZ//ygaP//
purHD	patD//fadH//
purMN	asd//alkA//
puuAP	argG//alkA//
puuCBE	malY//alkB//glk//
puuDRCBE	purT//citF//pncB//gcvP//
pyrF_yciH	mhpD//
pyrG_eno	gshA//yfeW//
pyrLBI	sdhB//
qmcA_ybbJ	
qseBC	
radA_nadR	pcm//
rapA_rluA	thiF//
ratAB	
ravA_viaA	
rbsDACBKR	malY//glxR//paaG//
rclABC	
rclBC	
rcnAB	aroF//
rcsDB	
rcsF_trmO	malS//
rdgB_yggW	malQ//
rdoA_dsbA	accD//torA//
recAX	
recET_ralR_ydaC_xisR_intR	pgaC//ppiC//
relA_mazEF	hcaB//
relBE	queD//
relBE_hokD	mrdA//
renD_emrE	cfa//
rfaD_waaFCL	napH//aphA//deoA//idnK//
rfbACX	waaF//tsaB//nudF//acs//
rfbBDACX	ahpC//menA//mutM//kbaZ//mcrC//paaY//
rfe_wzzE_wecBC_rffGHC_wecE_wzxE_rffT_wzyE_rffM	ybaS//amyA//uxaA//allA//sgbU//glpA//ubiF//udp//accB//
rhaBAD	bfr//apt//yceF//
rhaSR	
rhoL_rho	
rhsA_yibA	
rhsC_ybfB	
rhsD_ybbC_ylbH_ybbD	
rhsE_ydcD	
ribE_nusB_thiL_pgpA	amn//wbbI//selD//
ribF_ileS_lspA_fkpB_ispH	ymdB//sthA//purT//kdgK//rnd//
rimK_ybjN	caiB//
rimP_nusA_infB	
rirA_waaQGPSBOJYZU	nadR//fadA//ldtD//ycjU//fucU//pgaD//aroC//recJ//gcvP//cysS//
rlmE_ftsH	ydiO//proA//
rlmL_uup	lpxK//
rluD_yfiH	yghA//ribE//
rluE_nudJ	nrfB//btuE//
rnc_era	yieH//
rnc_era_recO_pdxJ_acpS	pagP//malS//mpaA//oxc//
rnlAB	yeiR//
rnt_lhr	ydiB//
rpe_gph_trpS	menC//fau//yfiH//
rph_pyrE	metB//murA//
rpiR_alsBACE	ppc//qor//
rplJL_rpoBC	argH//
rplKAJL_rpoBC	ampH//
rplM_rpsI	
rplNXE_rpsNH_rplFR_rpsE_rpmD_rplO_secY_rpmJ	
rplT_pheM	
rplU_rpmA	
rplU_rpmA_yhbE_obgE	
rpmBG	
rpmBG_mutM	treA//
rpmF_plsX_fabHDG	mrcB//fadM//pabC//
rpmH_rnpA	trmJ//cpsG//
rpmI_rplT	
rpoBC	argS//
rpoE_rseABC	
rpoN_hpf_ptsN_rapZ_npr	
rpoZ_spoT_trmH_recG	speB//ybiV//fadB//
rppH_ptsP	adk//
rpsA_ihfB	
rpsF_priB_rpsR_rplI	
rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ	
rpsLG_fusA_tufA	
rpsMKD_rpoA_rplQ	ilvN//
rpsO_pnp	azoR//sgbE//
rpsP_rimM_trmD_rplS	polB//
rpsU_dnaG_rpoD	nadR//
rrlA_rrfA	
rrlB_rrfB	
rrlE_rrfE	
rrlH_rrfH	
rrsA_ileT_alaT_rrlA_rrfA	
rrsB_gltT_rrlB_rrfB	
rrsC_gltU_rrlC_rrfC	
rrsD_ileU_alaU_rrlD_rrfD_thrV_rrfF	
rrsE_gltV_rrlE_rrfE	
rrsG_gltW_rrlG_rrfG	
rrsH_ileV_alaV_rrlH_rrfH	
rseABC	
rsfS_rlmH_mrdAB_rlpA	pdxJ//phnJ//
rsmA_apaGH	pflB//fre//
rsmD_yhhL	garR//
rsmE_gshB	glnS//lipB//
rsmH_ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC	fadE//phnP//queF//ymdB//ybdL//rsmI//moaE//purU//mtlD//yieF//mak//
rspAB	
rssAB	
rstAB	
rsxABCDGE_nth	dsdA//
rtcBA	glk//rlmE//
rutABCDEFG	carA//apaH//ygaP//ilvN//atoA//bglX//
ruvAB	rlmC//
rybA_mntS	
safA_ydeO	
sanA_yeiS	
sapABCDF	
sbcDC	
sbmA_yaiW	cmoB//
scpA_argK_scpBC	thiL//yqjH//folE//waaB//
sdaCB	cysJ//murD//
sdhCDAB_sucABCD	amyA//cynS//rpiA//pheA//
sdhDAB	
sdhE_cptA	
secB_gpsA	abgA//
secE_nusG	
secG_leuU	
secMA_mutT	azoR//
selAB	patD//ygeX//
selD_topB	hemB//ubiD//
seqA_pgm	melA//
serB_radA	sucC//
serC_aroA	ugd//truD//
serV_argVYZQ	
sfmCD	
sfmHF	
sfsA_dksA	
sgcXBCQAER	
sgrR_sroA_tbpA_thiPQ	birA//
sgrST_setA	frdB//
skp_lpxD_fabZ_lpxA	pssA//serA//metL//
slp_dctR	
solA_yceO	umpG//
speAB	nrdD//kbaZ//
speF_potE	rsgA//purL//
srlAEBD_gutM_srlR_gutQ	gshA//cheB//waaU//
sroG_ribB	otsA//
sspAB	
ssrS_fau	mmuM//
ssuEADCB	lpxB//dmsB//rhaD//
stfE_tfaE	
sucAB	wcaJ//waaS//rpiA//
sucABCD	nagK//rph//fadE//yceF//
sufABCDSE	ampC//
surA_pdxA_rsmA_apaGH	uxuB//paaZ//hemL//rihB//
tag_yiaC	ybhA//
talA_tktB	otsA//uxuB//
tamAB_ytfP	
tar_tap_cheRBYZ	cheB//pssA//
tatABC	dapB//
tatABCD	bioA//murF//
tauABCD	gluQ//leuB//
tdcABCDEFG	zwf//coaE//entC//rsmD//lpxB//
tdcBCDEFG	tnaA//torZ//sgbH//yceF//menC//
tehAB	serB//ddlA//
tesA_ybbO	fabB//csdA//
tff_rpsB_tsf	
tgt_yajC	hyaA//
thiCEFSGH	argD//mdh//epd//clsC//waaL//
thiMD	serB//ldtA//
thrLABC	cyoE//ydfG//tmk//
thrS_infC	otsA//
thrS_infC_rpmI_rplT_pheMST_ihfA	napB//hdhA//
thrU_tyrU_glyT_thrT_tufB	
tnaCAB	glcE//rlmC//
tolB_pal_cpoB	
tolC_ygiABC	paoA//prmC//waaJ//leuA//frdD//murA//waaF//rfbB//mltA//
tomB_hha	
topAI_yjhQ	
torCAD	glgC//
torYZ	lpxT//
treBC	pyrH//lacZ//
trmI_yggL	rimK//
trpCBA	dapD//kefF//fcl//mngB//
trpLEDCBA	malS//rhaD//rlmG//selD//cysD//folP//
tsaB_yeaY	lhgO//
tsaE_amiB_mutL_miaA_hfq_hflXKC	speC//pyrH//luxS//glpX//frlD//
ttdABT	hcaD//patZ//
tyrS_pdxY	lpxL//tesA//
tyrTV_tpr	
tyrV_tpr	
ubiCA	amn//ybjI//
ubiEJB	lplA//
udk_dcd	yfdE//galK//
ugpBAECQ	thiI//sad//
uhpABC	
uidABC	poxB//carA//
ulaABCDEF	mpl//rsmC//ynfF//moaE//
umpG_pcm	araD//paaB//
umuDC	lpxA//
uof_fur	
upp_uraA	ldtC//thyA//
usg_truA_dedA	gnd//
uvrYC	atoB//
uxaCA	ilvC//serA//
uxuAB	thrA//patD//
valUXY_lysV	
valVW	
valZ_lysY	
waaA_coaD	trpE//rlmE//
waaQGPSBOJYZU	murQ//sodA//sodC//thiC//solA//purC//paaF//metH//garL//dusA//
waaYZ	rlmI//xylB//
waaZU	cpdA//ppx//
wbbIJK	hyuA//
wcaCDEF_gmd_fcl_gmm_wcaI_cpsBG_wcaJ_wzxC	apaH//mutT//birA//lpcA//menC//rnt//
wcaKLM	
wrbA_yccJ	hyaC//
wza_wzb_wzc	purL//lipA//
wza_wzb_wzc_wcaAB	dosP//trmO//
xanQ_guaD_ghxQ	yihS//hypB//yjiA//
xapAB	lpxM//trmA//
xdhABC	dsdA//
xerD_dsbC_recJ	paaY//gloB//
xseB_ispA_dxs_yajO	narZ//ilvB//cpdB//glgP//
xylAB	ppiC//mnmC//
xylFGHR	gcvT//
yabPQ	
yacC_speED	pncA//waaJ//
yadGH	
yadMLKC	
yadV_htrE	
yaeP_rof	
yaeQ_arfB_nlpE	rlmJ//
yafDE	
yafNOP	rlmH//
yafY_ykfBF_yafX_ykfGH_yafW_ykfI	
yagAB_insX	
yagEF	poxB//tynA//
yagGH	
yagML	
yahDEFG	
yahIJ	
yaiA_aroM	
yaiXO	
yajC_secDF	
yajG_ampG	pphA//
ybaB_recR	feaB//
ybaST	hisD//
ybbAP	
ybbY_glxK	rsmB//
ybcLM	
ybcN_ninE_ybcO_rusA_ylcG	
ybeD_lipB	wecC//
ybeM_1M_2	
ybeR_djlB	
ybeU_djlC	
ybeX_lnt	argC//
ybeZY	
ybeZYX_lnt	hflX//
ybfHG	
ybfOC	
ybgA_phr	dfp//
ybgC_tolQRA	
ybgIJKL_nei	thrA//
ybgQPO	
ybhP_clsB_ybhN	pgl//
ybiYW	
ybjC_nfsA_rimK_ybjN	nanA//mobA//
ybjJI	mhpF//
ybjO_rlmC	nagA//
ybjQ_amiD	pldA//
ycaI_msbA_lpxK_ycaQ	tdcE//mutM//
ycaR_kdsB	rhaD//
ycbK_gloC	paoC//
yccFS	
ycdXY	
yceD_rpmF	
yceJI	
ycgZ_ymgA_ariR_ymgC	
ychE_2_yhcF	
ychG_1G_2	
ychQA_kdsA	umpH//
yciCB	
yciGFE	
yciK_btuR	ybcF//
yciVOQ	iaaA//
yciZT	
ycjMNOPQRSTUV_ymjB	fabH//
ycjXF	
ycjXF_tyrR	
ycjY_ymjDC_mpaA	ribE//
ydaGF	
ydaSTUVW_rzpR	
ydbH_ynbE_ydbL	
ydbK_ompN	yihX//fbaB//
ydcSTUV_patD	wrbA//
yddAB	
yddLKJ	
ydeNM	
ydeTSR	
ydfABC	
ydfUT	
ydgI_folM	cysQ//
ydgK_rsxABCDGE_nth	pgm//
ydhIJK	
ydhXUT	
ydhYVW	
ydhYVWXUT	
ydiFO	yfcG//pgk//
ydiJ_menI_ydiH	lpxH//
ydiNB_aroD	dadX//purE//
ydiQRST_fadK	hycC//
ydjA_selD_topB	patZ//pinE//
ydjLKJIHG	hycE//
ydjXYZ_ynjABCD	
yeaGH	aroG//
yeaR_yoaG	
yeaVW	
yebC_ruvC	cysH//
yebST	
yecDE	
yecM_cutC	
yecN_cmoAB	mraY//glnA//
yedEF	
yedN_1N_2	
yedRJ	
yedS_1S_2	
yedWV	
yeeED	
yeeL_1L_2	
yeeRST_cbeA_cbtA_yeeW	
yefM_yoeB	yghU//
yegLK	
yegRZ	
yegTUV	
yehDCBA	
yehLMPQ	
yehUT	
yeiR_lpxT	fbp//uxuA//
yejABEF	waaJ//
yejLM	
yfaATS_1S_2QP	
yfaD_ypaA	
yfaVU	thiF//
yfaX_rhmD	
yfaX_rhmD_yfaVU	sad//
yfbUT	glnA//
yfcUTSRQPO	
yfdGHI	
