# Turned to bnumbers using /Users/Daniela/Documents/CCG/GU_art_2/coexpression/scripts/gene_name_to_bnumber.pl on Wed May 16 13:34:40 2018 from /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/complex_strong.txt using /Users/Daniela/Documents/PhD/Codigos/2016_2/GU_assembly/mesh/gene_links.txt
# From /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/scripts/create_datasets.pl on Wed May 16 13:32:52 2018
# Input = /Users/Daniela/Documents/CCG/datasets/TRN/tf_gene_strong.txt
# /Users/Daniela/Documents/PhD/Codigos/2016_2/GU_assembly/mesh/TF_active.txt
# /Users/Daniela/Documents/PhD/Codigos/2016_2/GU_assembly/mesh/TF_inactive.txt
#GU name	Genes
AcrR_CpxR_Fis_Rob_SoxS	b1531//b1532//b1530//
PuuR	b1297//b1301//b1300//b1298//b1302//b1296//b1299//
RcdA	b1163//b0958//b0277//b1536//
RcdA_RstA	b1597//
RclR	b0304//b0303//b0301//
RcnR	b2106//b2107//b2105//
RcsB	b1481//b1480//
RelB_RelB-RelE	b1562//b1564//b1563//
RhaS	b3906//b3905//b3907//
Rob_SoxS	b0463//b0462//
SdiA	b0094//b0093//b0095//
SgrR	b0070//b0069//b4577//b4662//sroA//b0068//b0067//b0066//
SoxS	b0684//b3924//b1377//b1277//b3625//b3624//b1378//
SutR	b3607//b1434//
TorR	b3708//b3709//b3707//
TreR	b4240//b4239//
TrpR	b1704//b1260//b1261//b1262//b1263//b1264//b1265//b4393//
TrpR_TyrR	b0388//b0390//b3161//b0389//
TyrR	b0112//b0048//b4054//
UlaR	b4193//b4194//b4195//b4196//b4197//b4198//b4192//
UvrY	b4408//b2687//b3666//
UxuR	b4321//b4322//b4323//
XylR	b3565//b3564//b3566//b3567//b3568//b3569//
YdeO	b0980//b0979//b0978//b4592//b3923//b3922//
YefM_YefM-YoeB	b2017//b4539//
YehT	b4354//
YpdB	b3547//
YqhC	b3012//b3011//
YqjI	b3070//b3071//
ZntR	b3469//
ZraR	b4002//b4004//b4003//
Zur	b1857//b1859//b1858//
