#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:37 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/general_regulons_bnum.txt
AccB	gadF//b2821//
Fur	b1587//b2572//b4539//b4357//b3604//b1746//b3167//b0349//b0750//b0074//b4013//b2277//b1817//b3077//b2364//b1304//b3057//b1070//b4079//b1393//b0304//b2723//b0032//b3057//b2722//b2306//b2095//b1007//b0464//b1379//b2787//b3938//b2540//b2159//b0777//b1940//b0514//b0861//b2342//b1263//b0123//b1262//b0805//b1656//b1552//b1817//b1400//b1388//b2781//b3061//b0507//b4291//b2802//b1259//b2764//b3325//b2417//b0896//b2541//b1184//b2905//b3966//b1817//b3513//b4670//b0958//b0403//b3501//b1077//b0038//b0622//b0975//b4079//b4005//b0232//b2659//b0841//b0166//b2243//b3869//b0073//sroA//b2207//b1745//b4063//b4322//b0428//b0339//b4268//b3666//b1563//b2530//b0068//b0652//b3066//b2370//b0303//b4288//b1442//b4033//b0806//b1904//b0071//b1850//b3922//b1676//b0226//b1672//b1392//b0652//b1335//b0153//b4567//b0654//b2553//b0674//b4567//b0970//b1109//b3744//b3437//b1395//b3327//b0365//b4311//b1818//b3792//b2541//b3223//b1076//
GadE	b1429//b4400//b1326//b2711//b0349//b1486//b4028//b1901//b2751//b1198//b0570//b0237//b2202//b0341//b0400//b2781//b2912//b2091//b2756//b2156//b3409//b4268//b3518//b3071//b3960//b0750//b4072//b0460//b1517//
GadE-RcsB	b1622//b1221//b2488//b0854//b4458//b3006//b3190//b4265//b0339//
GadW	b2374//b0886//b1973//b0040//b3960//b3790//b1818//b1072//b1167//b2291//b0113//b2197//b2600//b1530//b1333//
GadX	b2927//b1821//b4096//b4088//b3326//b2149//b3236//b2195//b3214//b1713//b0806//b0116//b3021//b0970//b0341//b3911//b0067//b0088//b3269//b0935//b3793//b4435//b1718//b3006//b0839//b4054//b0333//b1075//b1264//
GalR	b1393//b4525//b1130//b2482//b2341//b4525//b1942//b0087//b1712//b4323//
GalS	b3829//b0179//b2759//b4195//b2784//b4467//b1588//b3510//b2074//b1859//
GatR	b4567//b3236//b2840//b0708//b2393//b0384//
GcvA	b2367//b2369//b1743//b4079//b0093//
GlcC	b1569//b3934//b3134//b3845//b3828//b1784//b4087//
GlpR	b1734//b0507//b0606//b2789//b0604//b0786//b1748//b1476//b2925//
GlrR	b2994//b0976//b3432//b3070//b0765//
GntR	b1797//b1112//b4043//b0096//b3478//b2074//b1948//b2283//b1791//b3491//b1531//b0854//
GutM	b1010//b4100//b2601//b0862//b2702//b0698//b4054//
GutR	b3613//b4439//b0864//b2674//b0826//b1308//b3845//
HU	b0075//b2801//b3450//b1850//b1535//b4073//b4312//b3324//b3359//
HcaR	b2995//b4118//b0505//b1040//b1498//b3141//
HdfR	b2708//b4260//b3165//b0970//b1791//
HigA	b1501//b4238//
HigB-HigA	b4290//b0793//
HipAB	b2616//b1440//b4088//b0792//b2058//
HipB	b2342//b1335//b4071//efeU_2//b0758//b3960//
HyfR	b2212//b4015//b2237//b0854//b1684//b4062//b2224//b3477//b1006//b1888//b0683//b0730//
HypT	b0085//b1485//b0451//b1263//b1275//b3750//b2235//b1016//b3571//b0783//b0565//b0652//b1102//
IclR	b2825//b2727//b4238//b1245//
IdnR	b1641//b0511//b1672//b2662//b0115//b1131//b0793//
IlvY	b3774//b0080//
IscR	b3941//b4266//b3748//b1797//b2579//b1073//b2782//b0731//b3027//b1011//b1608//b2234//b0463//b4522//b1325//b4029//b0764//b0512//b0303//b0304//b2078//b0777//b2993//b1476//b3357//b2719//b3035//b1826//b0578//b3625//b2236//b1225//
KdgR	b0677//b4092//
KdpE	b2105//b3115//b2277//b4577//
LacI	b3582//b3184//b4357//
LeuO	b1429//b4072//b2996//b3517//b1410//b1615//b1207//b4365//b3136//b2465//b3624//b0429//b2369//b3574//b2309//b0118//b0733//b0397//b3503//b0428//
LexA	b1622//b4416//molR_1//b3793//b3749//b1669//b2687//b4311//b0074//b4088//b1102//b4192//b4289//b0862//b4398//b2311//b1654//b0571//b2943//b1302//b3925//b1746//b0894//b3701//b0606//b1892//b1970//b3453//b3525//b3923//b4013//b1514//b3506//b1164//b2167//b0675//b3911//b0330//b2484//b0039//b2904//b3726//b0156//b0435//b2374//b4511//b3081//b1476//b0507//b0857//b3908//b1747//b4100//b4097//b1014//b0980//b3324//b0863//b1399//
LldR	b0431//b1568//b0679//
LrhA	b3510//b1564//b3161//b0153//
LsrR	b4150//b1706//b0778//b0048//b4050//b2686//b0461//b2239//b0042//
LysR	b3528//b3612//
MalI	b2092//b1878//b2725//
MalT	b2423//b3451//b4125//b1109//b2671//b1334//b0237//b4005//b0181//b3061//
MarA	b2235//b3700//b0398//b3528//b3502//b4637//b0784//b2097//b1303//b0698//b3661//b2724//b1947//b4117//b2201//b4400//b0508//b2923//b2552//b3905//b0303//b3481//b2481//b1737//b2310//b1641//b2841//b2538//b2367//b2234//b3516//b4094//b0462//b1443//b3744//b2221//b2784//b1335//
MarR	b2997//b4089//b4324//
MatA	b3128//b1256//b0565//b4435//b2784//b2605//b1016//b3528//
MazE	b2601//b2703//b0696//
MazE-MazF	b2719//b1499//b1548//
McbR	b1850//b0314//b2079//b2977//
MelR	b0596//b3452//b0929//
MetJ	b1487//phnE_2//b0178//b0721//b0590//b3581//b2197//b1222//b3743//b1389//b0755//b1937//b0782//b3359//b0441//
MetR	b3005//b2286//b2059//b0964//b2991//
MhpR	b3605//b1301//b3333//b1719//b1745//b2075//
Mlc	b2838//b3141//b2825//b3515//b3125//b1241//b2373//b2288//b1041//b2705//
MlrA	b0044//b2703//b4138//b0314//b2531//b1901//b4196//b0653//b4153//b0068//
MngR	b4092//b4002//b1946//
MntR	b1443//b0435//b0853//b1444//b2085//
ModE	b3449//b3729//b3057//b1597//b0857//b1818//b4415//b1914//b0723//b3547//b0352//b2895//b0886//b2823//b4131//b2558//b1826//b0450//b1277//b4033//b1200//b4415//b4076//b1924//b1907//b3605//b1616//b2407//b2235//b1747//b1258//b2284//b4443//b2666//b0553//b0368//b0240//b2107//b2560//b4431//b3094//b0339//b1257//b3902//b4086//b0385//
MprA	b1791//b3927//b2616//b1006//b3025//b4381//
MqsA	b1744//b1201//b2551//b4522//b1411//b4355//b3066//b4025//
MraZ	b2202//b1597//b1515//b0040//b1132//b2852//b0862//b0784//b0615//b1012//b3190//b0512//b3566//b4043//b0606//b3326//b4313//
MtlR	b2716//b4347//b0785//
MurR	b2063//b0088//b2366//
Nac	b0232//b0043//b1474//b0081//b1020//b1306//b1277//b0861//b2787//b2730//b0341//b1043//b2852//b2841//b4131//b3722//b2823//b2674//b4539//b4115//b1684//
NadR	b3568//sroA//b1010//b0388//
NagC	b0336//b0811//b0783//b0937//b2406//b4592//b0997//b0461//b1516//b1683//b2204//b2241//b3128//b4309//b0731//b4481//b1987//b1734//b2684//b0509//b1499//b2702//b3581//b2783//b0383//b1245//b2079//b1761//b0758//b0081//b2661//b3450//b2279//b1012//b2660//b1513//b1783//
NanR	b0067//b0353//b2531//b1515//b3727//b0087//b0038//b1516//b3141//b3331//b2671//
NarL	b3415//b2058//b1009//b0348//b2572//b3903//b4043//b1532//b0619//b4662//b0353//b1656//b1130//b1285//b2724//b3077//b0653//b2731//b1621//b1861//b0486//b2711//b1680//b4018//b0399//b2417//b1303//b2557//b3117//b0980//b3578//b1243//b2804//b4366//b0654//b0473//b1091//b2904//b2425//b1718//b2092//b3601//b0340//b2203//b2224//b4376//b2062//sroA//b3957//b2239//b2659//b0087//b0727//b2923//b1784//b0180//b2278//b2572//b4366//b3789//b1925//b1920//b0475//b2715//b3364//b4460//b3328//b4511//b4460//b1407//b0977//b1482//b0516//b1511//b1500//b1797//b0874//b3925//b4153//b0118//b0384//b2720//b0439//b1718//b0396//b4002//b0586//b1914//b1892//b2582//b4290//b2818//b4013//b0063//b4099//b3036//b0726//b1702//b3450//b4177//b1790//b3092//b4267//b2818//b2570//b0037//b2673//b4416//b0781//b3325//b4242//b1734//b1683//b1480//b3708//b0076//b2424//b2221//b2942//b2895//b2222//b1796//b0513//
NarP	b3785//b1617//b1782//b1074//b2704//b3845//b1674//b0517//b1617//b2732//b2837//b1819//b3214//b2724//b0094//b1072//b2416//b0696//b1852//b1987//b0330//b2979//b1579//b1243//b1452//b2997//b1308//b1484//b3025//b4096//b1074//b2156//b0080//b1712//b0093//b4367//b1616//b2541//b3579//b3911//b3956//b0874//b3161//b1399//b0150//b4357//b3450//b4151//b0618//b1488//
NemR	b3503//b4099//b2751//
NhaR	b3507//b0799//b1165//b1285//b1164//b3094//b3171//
NikR	b0504//b2313//b1024//b4050//b4613//efeU_2//
NimR	b1442//b3615//
NorR	b1623//b4196//b0655//
NrdR	b1925//b4153//b2201//b3521//b0857//b2368//b2808//b3134//b4249//
NsrR	b2152//b2837//b0048//b2068//b0225//b0431//b4673//b4417//b1618//b0889//b4152//b3139//b4416//b1335//b1948//b2289//b2423//b0565//b2754//b0068//b0589//b2913//b1858//b0152//b3599//b0894//b4539//b0756//b4005//b3071//b2531//b2751//b2221//b1247//b3521//b2603//b0731//b1476//b4417//b1861//b1890//b2323//b0589//b0655//b1519//b2240//b3580//b3025//b4484//b0036//b1704//b3723//b2199//b1334//b2063//b3491//b1617//b1070//b4266//b4460//b4028//b1501//b3938//b4357//b0756//b1182//b2669//b3184//b4100//b4705//b0019//b3006//b3725//b1091//b0042//b0460//b0512//b3907//b0522//b4240//b1201//b1747//b0508//
NtrC	b3188//b3749//b2852//b4323//b1014//b0337//b2283//b3721//b3845//b4075//b1183//b3067//b1531//b2422//b0090//b0273//b1023//b1818//b1790//b3190//b2710//b4292//b3325//b0377//b1300//b4003//b4193//b1913//b1040//b0428//b2483//b1810//b4698//b3431//b3509//b3868//b0337//b4076//b1258//b3786//b3794//b2243//b0620//b0339//b1452//b1942//b1744//b2755//b1513//
OmpR	b3753//b2482//b2481//b2017//b1113//b0385//b4416//b1183//b2306//b3625//b0779//b0586//b1658//b1945//b1925//b1913//b1762//b2783//b4445//b1091//b0151//
OxyR	b1408//b0367//b0516//b1296//b2895//b1244//b4613//b1517//b3575//b3115//b1022//b1244//b4034//b3008//b1634//b4037//b0674//b4106//b3413//b4096//b3417//b1706//b1670//b0619//b2156//b3410//b0827//b1260//b1327//b0597//b1011//b0997//b1482//b0874//
PaaX	b2557//b0515//b3190//b2741//b1130//b1920//b1109//b3168//b0811//b1080//b4539//b1684//b0979//b0557//
PdeL	b2417//
PdhR	b0890//b4468//b4451//b0572//b0296//b1535//b3138//b4415//b2237//b0996//b0855//b0343//b1070//b3330//b1093//b0486//b4268//b4264//b0977//b1736//b2895//b3166//b2708//b3846//b1397//b0460//b1299//b3269//b1386//b2579//b0925//b0620//b0891//b2673//b0854//b4280//b2964//b0873//b1476//b0826//b2823//
PepA	b0040//b1579//b1577//
PgrR	b0350//b0674//b2710//b0793//b2283//b1302//b3666//b2490//
PhoB	b2662//b4240//b0588//b2095//b0958//b3666//b3907//b1654//b0799//b4099//b4092//b0343//b2311//b0447//b1165//b0082//b4399//b3036//b2491//b4393//b3645//b2197//b0721//b2278//b3450//b3126//b4431//b2616//b3037//b1394//b3092//b4122//b3794//b2284//b0508//b1914//b4054//b1852//b0339//b0572//b0851//b1385//b3574//b3789//b2662//b2203//b4115//b2528//b3784//b0515//b1900//b0351//b0072//b1043//b2095//b3725//b2425//b3727//b0313//b1223//
PhoP	b0794//b3133//b1388//b0750//b0594//b2539//b0583//b1926//b3859//b4044//b0727//b3022//b2663//b3269//b0854//b3741//b4525//b2482//b3846//b3011//b0931//b2710//b3092//b0954//b0937//b1245//b1062//b1943//b4476//b3509//b1508//b1945//b4096//b1611//b0312//b4254//b0786//b4382//b1743//b0237//b1260//b2344//b3207//b1200//b0872//b3750//b1390//b0179//b2990//b3501//b4195//b1588//b4511//b2499//b0064//b1297//
PrpR	b3364//b1003//b0085//b3071//b1481//
PspF	b2570//b3170//b1301//b2905//b1732//b0794//b1508//
PurR	b1782//b2805//b1887//b4074//b4366//b0750//b0886//b3364//b0351//b2673//b1926//b3081//b2422//b0978//b1704//b4122//b2388//b4393//b0903//b0377//b0048//b1951//b1388//b0411//b2574//b0441//b1009//b0975//b1973//b4090//b0596//
PutA	b1732//b1194//
PuuR	b0019//b0677//b3065//b4471//b1129//b3006//b1187//
QseB	b2364//b2235//b1407//b2821//
RbsR	b2200//b1476//b1258//b3661//b4354//b0683//b0855//b2414//b0871//
RcdA	b0314//b1859//b2665//b3813//yegZ//b2756//b2708//b3417//b0853//
RclR	b3437//b2823//b1400//
RcnR	b2755//b3403//b1797//
RcsAB	b3603//b3569//b4415//b2926//b3786//b4150//b3773//b1246//b0721//b1395//b0225//b3237//b0763//b0180//b0987//b0312//
RcsB	b0854//b0678//b4238//b2631//b1733//b0207//b1226//b2661//b2060//b3334//b1256//b2801//b2196//b1878//b2903//b3966//b1386//b0980//b3478//b0411//b1735//b2287//b0732//b1198//b0069//
RcsB-BglJ	b3077//b3624//b1500//b0850//b0384//b4599//b4400//b1258//b0839//b3255//b0397//b1620//b3092//b3141//b1003//b4398//
RelB	b3581//b2224//b2713//
RelB-RelE	b3450//b1738//b1949//
RhaR	b4198//b2661//
RhaS	b3366//b0604//b3227//b3512//b3367//b2779//
Rob	b0199//b1892//b1305//b1921//b2730//b0041//b1307//b1616//b0378//b0890//b2756//b1024//b1671//b2616//b0575//b0783//b2323//b0792//b2075//b2009//b0852//b1276//b0068//b3789//b3166//b2085//
RstA	b3188//b0708//b1264//b3227//b4618//b3502//b1199//b4088//b0617//b1826//
RtcR	b1937//b2674//
RutR	b4577//b3613//b1518//b0785//b1658//b1860//b2169//b0857//b3461//b4444//b0792//b2421//b2704//b4506//b3065//b3495//b3605//
SdiA	b1521//b4249//b1493//b3363//b0084//
SgrR	b0152//b0113//b2605//b3428//b1398//gadF//b4383//b3791//b0072//
SlyA	b0684//
SoxR	b4324//b2916//b1848//
SoxS	b0118//b4523//b1988//b3167//b0655//b1252//b1577//b0085//b4050//b2824//b3906//b4105//b3430//b0931//b2923//b2826//efeU_2//b2308//b3271//b2698//b1407//b2574//b1497//b3773//b2781//b2488//b1101//b4196//b4005//b4443//b1914//b0083//b2313//b3083//b4105//b0156//b3491//b1590//b2684//b1861//
StpA	b0995//b4123//b2673//b0864//b2366//b0578//b1744//
SutR	b1706//b2207//b0890//b1415//b2491//
TdcA	b3161//b3800//b4484//b0734//b0048//b0081//b3327//
TdcR	b3237//b2530//b3327//b1007//b3141//b3223//b1738//
TorR	b3156//b0591//b2539//b3564//b2289//b0485//b1552//b0573//b0681//b0181//b2148//b0199//
TreR	b1674//b2058//
TrpR	b1546//b0151//b2800//b0974//b1857//b2060//b3011//b1003//b3269//b3784//b0776//b3784//
TyrR	b0116//b3908//b1485//b0330//b1327//b4154//b0697//b1391//b4030//b1003//b3359//b4004//
UhpA	b0623//
UidR	b3510//b2201//b1716//b1681//
UlaR	b0974//b0679//b1377//b0060//b2987//b1914//b4194//
UvrY	b2307//b3502//b0207//b3171//b2079//
UxuR	b1782//b2373//b1207//b4124//b1200//b4523//b1747//b0874//b2617//
XapR	b0463//b0756//
XylR	b0675//b2029//b0034//b2841//b1890//b0677//b3367//
YdeO	b2661//b1982//b0348//b0708//b0937//b4014//b4018//b1593//b0588//b2781//b0392//b1042//b4138//b4092//b0093//b4025//b1109//b2718//b4076//b4117//b1221//
YedW	b1857//b4042//b1575//b4043//b3612//b3070//b1674//b1507//b0724//b0810//b3481//b0597//
YefM	b4025//b1716//
YefM-YoeB	b1388//b0304//
YehT	b2703//
YeiL	b0093//
YiaJ	b2808//b0039//b4050//b0764//sroA//b1889//b2927//b4029//b2718//b4381//
YjjQ	b1335//b3603//b0073//b1296//b0020//b0862//b0443//b1591//b1061//b1706//
YpdB	b1010//
YqhC	b3236//b1519//
YqjI	b0931//b0041//
ZntR	b3794//
ZraR	b2582//b0682//b2155//
Zur	b0685//b3357//b2428//b4431//b2756//b1306//
