# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	allD//rnpB//
NsrR	hcaF//purH//cynT//folE//aroG//garK//pdeL//deoB//murI//lysA//alaS//uidA//frc//gabT//rnpB//hemL//ynfG//pgaB//ugpQ//metH//argD//ubiC//pfkA//mhpE//caiA//nrfB//allB//bioA//glpX//katE//aspC//cysN//fabZ//gadA//uvrA//alaC//
NtrC	rdoA//prs//guaB//paaJ//argH//phnO//mhpE//nirB//nrdF//ttdA//ahpF//hycC//argG//tynA//galK//icd//mtlD//mazG//ssuE//wzb//guaA//
OmpR	gcvP//allE//fucI//sodA//cysK//sdhC//deoD//nrdE//
OxyR	narI//nanK//umpH//cysI//cysC//phnP//gpmA//nemA//truB//arsC//sgbE//lyxK//hycG//garK//
PaaX	metA//mltF//aroL//trpD//purL//glgC//glcF//entC//ldtB//
PdeL	lpxA//
PdhR	fabZ//wecC//srlD//puuC//slt//araD//galT//moaD//wrbA//hcaC//xapA//pck//frdC//prpB//leuB//fucI//phoA//aroF//dhaL//fabD//allA//metC//cysE//rutC//mraY//gutQ//
PepA	yiaK//paaB//
PgrR	glpD//murQ//
PhoB	pck//uxuA//sgbU//carB//tnaA//mdh//pgaD//entB//umpH//lacZ//fucI//ubiX//puuD//ulaE//katG//araA//allE//cynT//
PhoP	hcaE//fbaB//lldD//nrdD//wecC//caiA//lhgO//murI//ung//rffC//acnA//hycG//leuC//bioF//tehB//glcB//lhgO//acnB//rutD//gatD//rhaD//gcvT//frc//rffH//hyaA//purN//moaE//metK//gdhA//ogt//garL//purK//dapD//
PrpR	allB//glgA//cysI//yibQ//
PspF	melA//
PurR	betB//relA//paaK//ybjG//lpd//hcp//paaH//purN//glk//glgA//puuE//wzb//add//ldtB//treC//purC//phoA//ynfE//murG//paaH//lhgO//argF//kbaZ//cyoE//purK//rsmH//
PutA	betB//pgi//
PuuR	paaF//malY//astC//purH//nrdA//yeaE//
QseB	
RbsR	pfkA//bioD//citC//mhpF//fucU//phnM//
RcdA	bioC//
RclR	
RcnR	talA//
RcsAB	cyoE//hyi//rffH//
RcsB	alkB//adhE//dhaL//citD//
RcsB-BglJ	caiC//hycB//
RelB	nagA//
RelB-RelE	prpC//
RhaR	
RhaS	patA//pykF//entC//fadJ//
Rob	murQ//lpxD//fadE//pfkA//argE//trpD//metH//napA//idnD//treC//gcvT//rffT//trpB//lsrF//glpK//phnI//ssuD//glxR//patA//
RstA	mngB//phnO//yibQ//
RtcR	fbaB//paaC//
RutR	pgaB//glgX//ulaE//pfkA//leuC//gnd//nanK//citE//epd//tadA//alkB//
SdiA	
SgrR	garD//aldA//rffM//
SlyA	
SoxR	lsrG//
SoxS	malY//ldtC//entC//murF//rbsD//phnI//adiA//mhpC//allE//wzb//hycF//rutB//trpD//hemL//ubiX//cueO//mhpE//fabZ//napA//hyaA//prpD//paaG//bioC//rdoA//bioC//folA//
StpA	pgaD//nrfA//dgcC//
SutR	idnK//aroF//
TdcA	nrfD//aroL//argE//gcl//moaA//
TdcR	hcaB//tktB//xylB//rhaA//ruvA//
TorR	entH//murI//caiB//astC//
TreR	wecB//gcvT//
TrpR	cysE//wzb//cdd//aceF//mazG//uxaA//dapB//sdhD//malP//
TyrR	xylA//hycE//yfbR//murF//carB//fucU//tyrB//chbF//eda//
UhpA	murQ//
UidR	glcE//xylA//
UlaR	waaZ//gatD//ynfE//rsmH//cysK//
UvrY	idnK//aceF//
UxuR	lpd//gapA//alsE//bioD//hcaC//
XapR	glpD//entC//
XylR	mltF//lsrK//kbaZ//
YdeO	carB//edd//aldA//
YedW	nanA//gatY//hycB//
YefM	ddlB//
YefM-YoeB	ychF//
YehT	
YeiL	
YiaJ	nrdA//murF//cysH//accA//lpxC//ssuD//
YjjQ	astE//
YpdB	
YqhC	pgaB//dkgB//
YqjI	allE//
ZntR	fadD//
ZraR	
Zur	pyrC//
