# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	mdh//accD//
MalT	argH//pdeH//entE//fadE//sucD//appA//
MarA	cysM//garL//treC//bacA//citF//araB//araB//ppc//aroH//metH//wrbA//hyaA//fadI//ttdB//acnA//xapA//atoB//citX//sdhB//galT//napC//pck//trpA//
MarR	
MatA	araD//
MazE	entE//
MazE-MazF	moeA//
McbR	
MelR	garD//gadB//
MetJ	garL//rdoA//guaB//bioD//cdd//ssuE//fadH//paaY//aceE//hyaA//
MetR	argA//glgX//cynS//glpB//
MhpR	speA//ugpQ//purC//gcvP//frdD//paaC//
Mlc	gloA//rffT//fadD//gatD//
MlrA	fbaB//
MngR	trpB//pdeH//
MntR	napH//lsrK//
ModE	arsC//ldtC//hyi//mhpB//pfkA//galT//ulaE//pgaB//glpQ//wecB//fadD//glxR//phnN//gor//
MprA	mhpD//hycE//uxaC//
MqsA	cysJ//gpmA//
MraZ	rhaB//astC//dinB//glgB//paaG//caiA//talA//dmsA//gapA//aceA//lysC//
MtlR	aldA//galK//pgpC//
MurR	metE//asnB//malY//
Nac	hcp//ruvB//pyrD//citE//argH//pgaC//umuD//hycE//fdhF//dacC//
NadR	paaA//moaE//pgaD//umuC//
NagC	pspE//pck//sdhC//purN//add//glpB//gor//malP//citD//glxK//rffM//metK//bglB//entE//ychF//ulaE//ssuE//uxuB//ppiA//
NanR	accC//glk//sodA//guaA//galM//glgB//
NarL	ldtD//prpC//lacA//mazG//lysC//bioF//napC//paaZ//phnM//ddlB//hemL//yibQ//hycC//argB//malZ//idnD//ada//slt//glpK//rutD//bioC//ychF//sgbU//metF//narI//pepD//rbsK//aceA//caiB//fadI//gadA//fadJ//tyrB//aceA//cysE//phnH//
NarP	pgaB//dhaM//uxaC//epd//uvrC//rnpB//fabA//paaA//uxaB//metB//araB//
NemR	glcD//asnA//
NhaR	prs//fadA//tpiA//polB//glgX//
NikR	cysJ//
NimR	psd//
NorR	hyaB//
NrdR	add//xapA//aspC//rutD//
NsrR	pyrC//ndh//ulaD//relA//malZ//prpC//tdcB//caiD//rpiB//gloA//hmp//paaZ//atoD//bioD//hycG//glpK//pyrC//cynS//dkgB//ubiC//tdcE//patD//fucU//gpmM//lsrF//purM//lpxD//ddlB//caiB//pheT//malS//ubiX//argH//napG//tadA//murC//
NtrC	moaE//narH//nfsA//ynfF//ttdA//ttdB//ppiA//ynfE//wzb//phnP//allE//luxS//fadD//ampC//cysK//mnmG//phnN//tnaA//glgC//mtlD//yibQ//
OmpR	rutE//moaE//hycD//cysK//speA//ubiC//caiC//glgC//
OxyR	fadH//ftnA//hcaF//ung//hcaC//puuD//fadH//fadJ//umuD//prpE//phoA//purE//narG//fau//
PaaX	argH//umpH//entD//aspA//fabZ//ruvA//sdhD//araB//glpK//
PdeL	phnI//
PdhR	pyrC//cysJ//phoA//caiA//ssuD//sucC//fdhF//tktB//mpl//nagB//rffG//paaF//deoC//sufS//wecB//umuC//nrdD//fucI//bioF//aceF//rdoA//aceF//gatY//hycE//hcaC//bioA//
PepA	hypB//purH//
PgrR	srlD//allC//
PhoB	serA//rsmH//fucA//ascB//hcaC//metL//zwf//lldD//alkA//fruK//carA//hycG//paaB//cynT//glcF//ribA//pck//ynfG//
PhoP	fucK//malS//ulaG//ulaF//relA//sufS//ahpC//pdeL//nfsB//fumC//sgbU//gatD//deoA//uxuA//dkgB//guaB//narH//galM//alkB//rutE//garD//pfkA//cysI//hycE//trpD//aroH//glmU//glgB//gpmM//tam//fumB//napC//uvrA//
PrpR	frdC//pflB//fadM//accB//
PspF	hcaE//
PurR	gloA//polA//pyrC//tktB//frdC//cynT//citG//ahpF//alsE//fabB//ung//dmsC//ugpQ//pdeH//dgcZ//uvrB//malY//xylA//citD//ulaG//ynfE//fes//nanK//rsmH//glgA//gcvP//
PutA	aroL//ahpC//
PuuR	folE//metA//ulaG//lacZ//fes//idnD//
QseB	
RbsR	cysI//wecB//ilvC//sgbH//metB//wecB//
RcdA	puuC//
RclR	
RcnR	wecB//
RcsAB	dmsC//moeB//hypB//
RcsB	argF//metB//folE//fabA//
RcsB-BglJ	patA//metK//
RelB	glgA//
RelB-RelE	lpxD//
RhaR	
RhaS	rnpB//tauD//glmS//cysH//
Rob	citF//purL//fadM//uxaC//oxc//glpX//bioF//lpxA//gatZ//paaG//metF//poxB//rbsK//tauD//ldtD//add//luxS//aspA//ybjG//
RstA	tdcG//acnA//fadH//
RtcR	acnB//atoB//
RutR	ychF//umuD//puuB//dinB//fumB//dhaM//garL//hcaC//luxS//prpC//metH//
SdiA	
SgrR	epd//ubiC//dgkA//
SlyA	
SoxR	amn//
SoxS	ssuD//folE//allC//cysE//oxc//adiA//nagA//ttdA//pdeH//fes//fbaA//alaS//iscS//ahpC//atoA//aldA//tehB//glcE//sucD//cysE//alsE//idnO//pspE//astE//slt//purA//
StpA	citG//lpxA//rffT//
SutR	rpiB//deoA//
TdcA	udp//rutD//mhpD//yibQ//mhpD//
TdcR	adhE//sucA//deoB//umpH//gudD//
TorR	dgkA//rhaD//add//folE//
TreR	argD//betA//
TrpR	mraY//aceB//carB//mhpC//paaI//alkA//allE//deoB//mhpF//
TyrR	alkA//nrdD//astB//hycG//nanK//thrS//folE//glpX//garD//
UhpA	murD//
UidR	paaF//uxuA//
UlaR	yqhD//glgB//mhpB//deoC//purD//
UvrY	glgC//paaH//
UxuR	purA//astC//phnG//entH//aceE//
XapR	aspC//atoA//
XylR	ppsA//fabH//acnB//
YdeO	glpA//trpD//luxS//
YedW	phoA//alaC//glmS//
YefM	phnJ//
YefM-YoeB	polB//
YehT	
YeiL	
YiaJ	idnO//argA//thrS//nfsB//rbsK//tehB//
YjjQ	frdC//
YpdB	
YqhC	phnH//galT//
YqjI	caiB//
ZntR	malZ//
ZraR	
Zur	rffH//
