# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	mpl//truB//
Fur	ahpF//idnK//gpmM//phnH//puuC//entB//acnB//phoA//tdcE//hcaE//idnD//citE//argB//citE//pykF//carA//patD//aroG//allC//metE//galK//codA//mazG//phnG//rutC//sodB//garK//hycG//uxaA//tauD//katE//poxB//betA//uxuB//aroF//malY//accC//ttdA//tdcB//nfsA//alkA//frc//pdeL//ttdA//lacZ//rutB//dgcZ//lysC//gutQ//hmp//acnA//glgC//nadA//argF//ampC//uxaC//glcF//moeA//dmsB//mraY//argE//fucI//hypF//
GadE	caiA//ulaF//ada//metA//fadM//ssuE//napG//gatD//purF//ppc//
GadE-RcsB	add//fadA//yiaK//phoA//
GadW	kbaY//pfkA//nanA//dgcZ//
GadX	pck//lpxD//napG//tyrB//sodB//epd//napB//aceA//caiD//cysE//frdC//tdcG//
GalR	gadB//pepD//idnK//ada//purL//glmS//
GalS	rhaD//pgaB//ndh//dhaK//pck//narH//
GatR	pdeL//murE//trpD//
GcvA	betA//ycjG//gadB//
GlcC	citC//metA//tdcE//
GlpR	torC//atoB//yfbR//prpE//ulaE//moaE//purA//
GlrR	
GntR	glcD//icd//uvrB//pgaC//arsC//ychF//cueO//idnO//ribA//
GutM	mpl//ogt//napB//
GutR	puuE//gatY//fucI//
HU	malQ//tam//glnA//nagA//gpmA//uxuB//hcaC//
HcaR	glmU//dgcC//
HdfR	
HigA	rhaA//
HigB-HigA	hyi//
HipAB	rdoA//fadJ//
HipB	aceA//napC//mhpC//
HyfR	ulaE//
HypT	leuA//trpD//hycC//nrdF//sucB//cynS//murC//
IclR	fucK//dsdA//patA//
IdnR	dmsB//moaD//glcB//leuA//talA//hyaC//
IlvY	rutA//
IscR	arsC//purM//fau//mhpA//purH//argG//
KdgR	ynfG//argF//
KdpE	trpC//
LacI	uvrC//phnO//rffT//
LeuO	wzb//pck//argE//cysK//torA//hycE//
LexA	citC//hypF//yqjH//pnp//dmsA//ttdB//purC//metF//mazG//nirD//prpC//trpC//dapD//caiA//pdeL//dsdA//carB//serA//xapA//mpaA//dgcC//
LldR	entF//hcp//
LrhA	
LsrR	tehB//tam//galT//garL//hycD//
LysR	fucO//
MalI	fadH//lldD//
MalT	gloA//cysJ//prpE//ugpQ//hcaD//leuA//
MarA	argA//sdhC//ycjG//ycjG//ilvC//glgB//alkA//fumB//carB//paaE//oxc//hemL//rhaA//sodA//prpE//allD//adhE//glcD//mraY//fumC//wzc//ppiA//hycE//
MarR	
MatA	pncB//
MazE	argD//
MazE-MazF	murQ//
McbR	
MelR	pgaB//mhpB//
MetJ	tktB//yeaG//gutQ//narH//moaD//ttdB//icd//citD//napA//allE//
MetR	araB//moeA//deoB//folA//
MhpR	rsmH//argF//garD//citX//sucC//alkB//
Mlc	frdA//argE//chbG//accB//
MlrA	folE//
MngR	hyaB//ssuE//
MntR	sucB//cysN//
ModE	wzc//accC//asnA//rfe//lysC//nanM//phnO//narI//caiA//gltD//epd//alkB//ndh//nrdE//
MprA	deoB//fucI//deoC//
MqsA	hyaA//ycjG//
MraZ	rffG//ada//guaA//polB//aroL//gabT//purN//napH//betA//asnA//accB//
MtlR	puuC//yqjH//nanM//
MurR	glcB//argF//malZ//
Nac	entH//mtlD//ugpQ//nirB//gpmM//entE//nirD//asnA//mdh//lysA//
NadR	uxaA//bacA//paaZ//iscS//
NagC	ndh//recF//pfkA//mhpA//fruK//glmU//dkgA//puuB//rhaB//gudD//fabB//wecB//codA//tktB//cysE//ung//mpl//melA//metA//
NanR	dmsC//cysM//citD//pdeH//speA//citC//
NarL	adiA//aldA//umuD//phnJ//rdoA//yibQ//paaG//sucD//acnA//paaI//uvrC//citG//ulaD//cynT//cynT//acnA//purK//chbG//ybjG//hcaC//fbaB//citF//ribA//fabB//rffM//garD//cysD//sufS//glgX//alaS//hemL//epd//garR//rdoA//treC//pyrD//
NarP	yeaG//ung//hcaD//ahpC//ulaG//ada//dsdA//napH//dgcC//glgP//mpl//
NemR	galT//purB//
NhaR	ada//uidA//puuB//aroL//alkB//
NikR	phoA//
NimR	phnI//
NorR	garL//
NrdR	tyrB//katG//relA//yqjH//
NsrR	fadD//kbaZ//phnI//trpC//dgcC//ssuD//treC//trpA//atoB//mhpB//glgP//cysE//caiB//ssuE//acnA//yibQ//phnM//gpmA//carA//rutC//waaZ//purB//dmsC//nrdF//fabZ//sdhB//fumB//icd//gltD//ldtC//tdcB//cysH//nanE//gcvH//trpD//frdC//
NtrC	garD//nemA//aroL//hycD//rbsD//cysK//ynfE//tam//glpQ//glmS//ychF//citX//araA//ulaG//pdeR//sufS//purD//fabD//pdeL//gdhA//acnA//
OmpR	pck//fadE//moeA//mltF//phnL//purN//oxc//pck//
OxyR	ynfG//hycE//narI//astB//putA//cysK//puuE//purB//psd//mngB//wrbA//fbaB//gdhA//purC//
PaaX	xylA//hycE//fabD//gdhA//mngB//asnA//allE//mdh//rbsD//
PdeL	prpC//
PdhR	sdhD//rimK//ynfH//argC//cysE//fumC//talA//ruvA//pgaB//hemL//ynfE//epd//talA//sucA//sucA//argE//dhaM//moaA//wzc//accA//deoA//ssuE//katG//trpA//mraY//paaA//
PepA	kbaY//purE//
PgrR	fau//nrdD//
PhoB	idnK//phnJ//mdh//ssuE//mhpA//napG//bioA//cynS//aroL//araD//poxB//fabA//glpC//psd//lysC//murI//dmsC//uxuB//
PhoP	chbF//purA//paaI//fabI//pgaD//fes//metH//uidA//lpxD//caiA//wrbA//hypF//puuE//leuC//appA//ilvC//dmsB//pyrD//hyaC//rfe//napB//fadA//malY//hcaD//moeA//rbsD//yeaE//tadA//phnJ//mazG//gadB//citE//cysN//
PrpR	moaE//nrfD//aceF//trpB//
PspF	glpB//
PurR	tdcD//narH//entC//speB//rutB//aroH//relA//sdhC//hycC//hypF//cysG//ldtC//hypB//ahpC//tyrA//ruvA//ruvB//moeB//paaA//phnH//ulaD//pnp//allE//gapA//cysK//ppsA//
PutA	moaA//murE//
PuuR	purE//yeaG//bioB//chbF//kbaZ//puuC//
QseB	
RbsR	murF//rsmH//napC//rpiB//torC//rutD//
RcdA	rutE//
RclR	
RcnR	idnO//
RcsAB	mhpE//araD//trpD//
RcsB	pheS//gcl//allA//fes//
RcsB-BglJ	glyA//ruvB//
RelB	phr//
RelB-RelE	mraY//
RhaR	
RhaS	narG//ulaD//fadJ//polB//
Rob	sdhA//paaE//poxB//folE//hypF//argG//luxS//glpA//speB//hcaF//ybjG//mltF//murG//fbaA//tdcB//atoD//bioF//trpE//mtlD//
RstA	sdhA//rbsD//ppiA//
RtcR	argI//ruvB//
RutR	ppc//lacZ//gcvT//mhpF//dhaK//mdh//allE//gatZ//edd//phnN//cysJ//
SdiA	
SgrR	folE//rhaA//fabA//
SlyA	
SoxR	truB//
SoxS	hycB//sdhB//pnp//bacA//nrdB//tadA//carA//fabI//trpA//murI//accA//phnM//putA//astB//yiaK//dhaK//slt//gltD//argF//araA//lpxC//cadA//rbsD//leuB//yfbR//gloA//
StpA	dgcZ//gcvP//yeaG//
SutR	gudD//mdh//
TdcA	mdh//uxaA//mhpE//deoB//araA//
TdcR	torA//hypB//entD//galK//treC//
TorR	sgbE//rbsD//arsC//idnO//
TreR	napC//pdeH//
TrpR	leuA//entH//tam//betA//mngB//frc//gcvP//uvrC//rffC//
TyrR	fucO//trpA//lpxC//pykF//phoA//sucB//fadI//polB//fucI//
UhpA	accC//
UidR	nanK//paaZ//
UlaR	caiD//hycF//prs//edd//idnO//
UvrY	deoD//citE//
UxuR	dmsA//astD//mhpE//yeaE//frc//
XapR	prpC//caiD//
XylR	guaA//add//pfkA//
YdeO	accD//ftsI//phr//
YedW	rdoA//galT//aroG//
YefM	ahpF//
YefM-YoeB	sdhD//
YehT	
YeiL	
YiaJ	paaZ//puuA//treC//nrfC//deoB//galT//
YjjQ	cysI//
YpdB	
YqhC	ahpC//cysE//
YqjI	ubiA//
ZntR	paaY//
ZraR	
Zur	fes//
