# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	deoC//fdhF//
MhpR	lacA//hypB//tam//sdhA//prpE//garD//
Mlc	glpD//recF//pheS//paaI//
MlrA	astA//
MngR	paaB//dgkA//
MntR	metC//epd//
ModE	araD//argD//nrfC//ribA//citC//astC//ldtD//citC//astA//citF//caiC//frdD//lsrK//mltF//
MprA	dacC//rffC//glpC//
MqsA	uxaC//pgpC//
MraZ	prpD//lacA//glcE//accA//hemL//idnD//tyrB//prpB//tktB//ndh//caiA//
MtlR	cysH//gabD//tpiA//
MurR	ftsI//eno//guaA//
Nac	atoA//tam//fes//trpC//fadI//fruK//ychF//nadB//waaZ//lpxA//
NadR	dhaL//purD//fabD//alkA//
NagC	appA//patA//asnB//oxc//aceB//phnI//pyrD//murF//edd//glgC//ynfH//cysN//pdeL//oxc//yfbR//serA//hyaA//garK//lyxK//
NanR	pgaB//rbsD//rnpB//katE//cysK//fadE//
NarL	glgX//metB//accD//bioD//alsE//umuD//mltF//sufS//fucK//xylB//astC//tyrA//mhpF//allC//tynA//allE//moaD//yfbR//chbG//wrbA//hypB//cysJ//arsC//hmp//citD//rdoA//uvrB//hmp//pdeR//sdhA//adhE//nrdA//aceF//umuD//tehB//ulaE//
NarP	metC//fucA//gatD//nrdA//putA//aspC//rhaA//phnG//metE//metE//ynfG//
NemR	ftnA//phnP//
NhaR	hcaB//argI//glpB//ttdB//rnpB//
NikR	hcaE//
NimR	ascB//
NorR	paaH//
NrdR	lpxC//metH//iscS//wzb//
NsrR	hyaB//adhE//frdD//sodB//wzc//adhE//mraY//bacA//sodB//glpK//alkB//hyaA//fabB//trpE//purM//metK//entF//napA//pfkA//narH//atoD//yiaK//gnd//ttdA//pflB//leuD//arsC//lsrK//leuC//cynT//fdhF//ynfG//pheT//nrdD//ahpC//rutB//
NtrC	nanA//atoB//gloA//entA//bacA//hyaC//bacA//udp//poxB//udp//metB//sucC//ubiA//murQ//pykF//putA//tdcE//tam//idnK//ldtD//guaB//
OmpR	tdcE//cyoE//wzb//cynS//ynfG//phnJ//narG//malQ//
OxyR	idnD//umpH//sucB//rimK//glmS//recF//rimK//gutQ//phr//sgbH//rutB//nrfC//hycC//glyA//
PaaX	idnD//dhaK//purC//citX//xylA//guaA//fruK//acnA//uvrB//
PdeL	edd//
PdhR	fdhF//ssuD//fucK//accD//hyaB//moeB//prpC//nrdF//murC//lysC//lpxC//argH//glyA//talA//dhaK//yeaE//cdd//paaF//rnpB//waaH//garR//relA//lsrF//ldtD//tdcD//dhaK//
PepA	tehB//hcaB//
PgrR	frdC//alaS//
PhoB	prpD//fau//ssuD//nanM//astE//add//kbaY//aspA//arsC//napA//argB//hcaE//cysI//dacC//purA//napG//sdhD//polB//
PhoP	betA//gutQ//leuB//hcp//hcp//pfkA//putA//speA//tdcG//poxB//tdcD//caiD//torA//phnL//rhaD//gcvP//fucI//rsmH//katG//sgbH//leuD//metH//sufS//gcvT//paaZ//murE//aceE//ttdA//serA//citE//glpQ//aceF//deoD//
PrpR	alsE//guaB//araA//tnaA//
PspF	bioB//
PurR	puuB//idnO//oxc//xapA//lysA//betB//rpiB//cynS//wecC//tam//ftnA//waaH//guaB//dhaK//cadA//astE//entC//mhpF//ycjG//xylB//rpiB//purF//psd//glgA//cysK//betA//
PutA	ftsI//ynfH//
PuuR	ruvA//lsrG//leuC//hcp//hycE//pdeL//
QseB	
RbsR	gcvP//caiD//rpiB//nrfD//galE//glgB//
RcdA	fucU//
RclR	
RcnR	cynT//
RcsAB	dmsB//fucO//mhpB//
RcsB	entA//glnA//paaC//sucB//
RcsB-BglJ	gudD//citD//
RelB	garR//
RelB-RelE	glpK//
RhaR	
RhaS	gatZ//rpiB//metK//acnB//
Rob	garL//mhpF//mpl//pck//argC//napG//xylB//astA//murQ//purK//tpiA//glgC//lysC//pgaC//nrfC//pgpC//hycB//accC//asnB//
RstA	glcE//ttdB//srlD//
RtcR	ruvB//umpH//
RutR	pagP//pyrD//oxc//sucD//chbG//sodB//trpD//garL//narI//gatY//phnM//
SdiA	
SgrR	dsdA//tyrB//accD//
SlyA	
SoxR	lacZ//
SoxS	allE//mdh//gnd//hcaB//fadI//purD//caiC//sgbH//rffM//sucD//patA//nadB//ftsI//glpQ//speB//fucA//glmS//chbF//fbaB//ilvC//rdoA//fucO//wzb//ppc//hcp//paaH//
StpA	purN//sufS//mnmG//
SutR	hypF//entE//
TdcA	betB//codA//gutQ//narH//dmsA//
TdcR	ogt//pdeL//ftsI//entA//moeB//
TorR	dkgB//garK//aspC//ubiC//
TreR	ulaF//sdhD//
TrpR	feaB//lhgO//cadA//fdhF//rfe//lldD//fadH//prpD//leuA//
TyrR	murI//sgbU//rhaA//mazG//pheS//aspA//glk//napA//metF//
UhpA	paaB//
UidR	nrdF//fadE//
UlaR	prpE//torA//hyi//fucI//tehB//
UvrY	frc//glgP//
UxuR	hcaB//dkgB//glk//rutC//galM//
XapR	nanA//citC//
XylR	mpl//metA//moeB//
YdeO	metF//allD//phnH//
YedW	sgbE//cysH//malZ//
YefM	rutB//
YefM-YoeB	phnG//
YehT	
YeiL	
YiaJ	adiA//mhpE//paaH//katG//asnA//idnO//
YjjQ	gpmM//
YpdB	
YqhC	aroG//paaK//
YqjI	hypB//
ZntR	purK//
ZraR	
Zur	tdcB//
