# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	fau//mpaA//
LexA	puuA//ttdA//gntK//guaA//caiC//nemA//glxK//carB//glnA//puuD//gatY//amn//cynS//melA//paaA//mraY//iscS//glcF//slt//pgaD//araA//
LldR	metC//allC//
LrhA	
LsrR	aroL//idnD//nrdE//pfkA//entB//
LysR	speB//
MalI	nanM//glgX//
MalT	glcD//purL//sucB//hycG//nemA//trpD//
MarA	hycG//argI//polA//ogt//argI//allE//glpD//trpA//bglB//galE//paaJ//sodA//prpC//putA//entA//prpB//citX//dinB//putA//pdeR//gloA//moaA//pgaC//
MarR	
MatA	fabD//
MazE	pflB//
MazE-MazF	rbsK//
McbR	
MelR	phoA//fadJ//
MetJ	cysK//nfsA//nfsB//malP//ftnA//ubiX//cysM//rfe//rutA//paaK//
MetR	hycC//puuD//entH//tdcD//
MhpR	eda//araB//ppsA//aroG//prpC//lpxD//
Mlc	tdcB//entD//ppc//udp//
MlrA	lysA//
MngR	gatY//torA//
MntR	nrdA//uvrB//
ModE	gadB//xylA//oxc//atoD//torA//nrdF//ugpQ//amn//xylB//ftnA//gatZ//ssuE//moaD//galE//
MprA	tyrA//nemA//glmU//
MqsA	aldA//citG//
MraZ	nrdF//entA//rhaD//uvrA//ssuE//cueO//citD//tyrB//gudD//paaK//tdcD//
MtlR	phoA//accD//pyrC//
MurR	adiA//sucA//pflB//
Nac	nadB//ldtC//umuD//trpD//gcl//gltB//fabB//sucA//napC//pdeL//
NadR	araD//deoA//ychF//fadJ//
NagC	pfkA//cueO//bioF//polA//glgP//gudD//yqhD//purL//bioA//ychF//patD//truB//malS//phnN//pncB//gcl//ascB//asnB//argB//
NanR	guaA//hmp//astC//gor//pdeL//ruvA//
NarL	ulaE//folA//citX//cysN//citD//glxK//hyaB//ahpF//hypB//yfbR//hycE//hemL//pgi//umuC//bioF//gdhA//aspC//gor//ynfH//pdeL//hyi//speA//trpB//argH//nanE//gnd//deoB//cdd//gatZ//mngB//ynfG//hycF//glpK//carB//carA//glgB//
NarP	paaB//fes//guaA//caiB//mhpD//entE//nagA//metC//ynfH//lysA//fadH//
NemR	paaE//xapA//
NhaR	purL//fumB//fdhF//lyxK//glpB//
NikR	glgB//
NimR	allA//
NorR	purK//
NrdR	araA//tdcG//nfsA//luxS//
NsrR	hyaB//alsE//gatZ//citD//ulaG//gcvT//sgbH//ttdB//purL//uxaA//guaB//hycC//trpD//tadA//glmU//alsE//sufS//fbaA//glgX//ppc//argF//gor//tdcB//rutB//allD//ynfE//fabG//lpxA//cysE//cysG//glnA//nirD//mhpD//fadB//lysC//glk//
NtrC	tdcG//sdhD//ddlB//yiaK//hycF//aroH//dapB//putA//lpd//mhpF//phnH//narI//carA//pflB//gcvH//dhaL//sucC//purH//fabH//ubiA//paaE//
OmpR	allE//hypB//pepD//ndh//purL//putA//glk//murC//
OxyR	murC//glnA//rbsK//entH//fadD//purF//feaB//uxaA//argC//rffT//tauD//rhaD//phnH//citE//
PaaX	nirB//acnA//guaA//tpiA//puuD//fruK//sdhD//metE//astA//
PdeL	arsC//
PdhR	glgC//araA//alaS//ahpF//gpmA//xylA//dinB//mhpA//metC//puuE//mhpE//ulaF//uxaB//narG//oxc//oxc//nrfA//carA//melA//allE//yfbR//leuC//purF//umuD//idnO//rffT//
PepA	argC//gadA//
PgrR	pheT//xylB//
PhoB	astA//pflB//ogt//tauD//mpaA//frdB//ppc//adiA//metH//purA//ung//aspA//nanM//hcaB//rimK//malZ//moaD//malP//
PhoP	phoA//pck//speA//phr//murE//ahpF//patD//prpC//ruvB//fadB//asnA//aceF//amn//purN//napH//gor//rutE//bioB//paaY//gapA//fumC//yfdE//wzc//alaC//xapA//purL//adiA//idnO//glgC//napG//hcaC//nanA//umpH//
PrpR	astA//ruvA//frdD//tnaA//
PspF	chbG//
PurR	allC//glpX//glk//leuC//paaA//dmsC//fadI//puuB//xylB//mazG//moeA//putA//frdB//dacC//paaB//argA//napB//allB//guaB//paaF//ldtD//tam//paaI//phnI//metK//ddlB//
PutA	eno//ulaG//
PuuR	glpK//sdhA//napC//ogt//idnD//uxaC//
QseB	
RbsR	puuE//rbsK//sucB//pgaB//entA//entC//
RcdA	talA//
RclR	
RcnR	caiD//
RcsAB	pyrD//polA//metK//
RcsB	glcE//aroL//galT//rhaD//
RcsB-BglJ	carA//sucD//
RelB	prpC//
RelB-RelE	dhaM//
RhaR	
RhaS	sdhB//arsC//chbG//puuC//
Rob	cysE//hcaC//glmU//yeaG//lacZ//tdcD//hcp//caiC//mltF//moaE//pyrD//ribA//caiC//fabB//ynfE//pnp//trpE//fucI//yeaE//
RstA	katE//ychF//tyrB//
RtcR	bacA//ilvC//
RutR	narI//narI//fabZ//trpA//ychF//tyrB//phnN//hypB//cysN//waaZ//tadA//
SdiA	
SgrR	ulaE//ilvC//ttdA//
SlyA	
SoxR	gloA//
SoxS	araD//sucC//idnD//rsmH//gapA//dapB//puuE//cysG//codA//ung//rutD//glnA//fadM//atoD//idnD//lpxA//alaS//ssuE//ulaF//ybaS//metA//ruvB//ynfF//entC//fadJ//gutQ//
StpA	phnH//pyrC//cueO//
SutR	hyaB//idnK//
TdcA	pncB//fabI//thrS//ruvA//tynA//
TdcR	uxuA//murC//caiB//speB//puuC//
TorR	murC//yeaG//nanM//napB//
TreR	aroH//leuB//
TrpR	uxaA//rffG//dmsB//alaS//deoB//phnH//rbsK//aroL//gcvP//
TyrR	folE//phoA//srlD//mpaA//puuB//rffH//folA//fabI//ttdB//
UhpA	recF//
UidR	pyrD//ttdA//
UlaR	narI//tauD//hycB//tpiA//ulaE//
UvrY	argE//ubiX//
UxuR	gntK//glgP//acnB//hyaA//cysE//
XapR	moaA//fumC//
XylR	iscS//ftnA//fbaA//
YdeO	idnK//dkgB//gpmA//
YedW	waaH//pdeH//lhgO//
YefM	argC//
YefM-YoeB	puuB//
YehT	
YeiL	
YiaJ	ybaS//nrfB//dmsC//melA//rffC//ttdA//
YjjQ	gloA//
YpdB	
YqhC	citX//rffH//
YqjI	atoA//
ZntR	nfsA//
ZraR	
Zur	gpmM//
