# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	gabT//aspC//
PdhR	thrS//frdC//accA//fes//metA//accA//citE//malQ//cadA//rffT//wecB//dgcC//murC//fadD//mhpF//ascB//eno//umuC//add//hemH//betB//polB//pgaD//katG//aroH//pgk//
PepA	atoD//citD//
PgrR	rffT//betB//
PhoB	gutQ//ybjG//atoA//hcaC//araB//ldtB//chbF//alaS//dgcZ//citD//paaK//sucD//polA//phnG//accA//hycF//waaZ//pgaC//
PhoP	cyoE//lldD//gcl//ppsA//arsC//ulaE//ftsI//glcE//trpE//argC//mnmG//cysJ//metB//eno//malQ//alaS//aroF//garR//ycjG//iscS//betA//nrfB//narI//feaB//fabG//rhaA//pykF//ssuE//ogt//xylB//galM//cynS//iscS//
PrpR	lsrF//oxc//torC//argH//
PspF	allB//
PurR	glcE//trpE//lysC//glcD//caiB//poxB//ttdA//murD//glgP//bioA//pgaC//cynS//polB//garK//glpB//tadA//ttdB//lacZ//sucD//sdhB//gltB//nrdE//rffG//chbG//rdoA//araA//
PutA	argD//hyaC//
PuuR	dkgA//gcvP//tadA//ubiX//pnp//glgB//
QseB	
RbsR	xylA//argI//srlD//fadI//lpd//phnH//
RcdA	rffM//
RclR	
RcnR	mhpC//
RcsAB	fucK//fabI//phnJ//
RcsB	torC//lpxD//pnp//cysJ//
RcsB-BglJ	paaY//rpiB//
RelB	gdhA//
RelB-RelE	umuC//
RhaR	
RhaS	garR//ddlB//pgaB//gabT//
Rob	ybaS//glxR//sodA//accC//ynfH//pdeH//fruK//fucU//yibQ//alaC//entE//garR//phnG//fadE//fadI//caiD//folE//dacC//leuA//
RstA	entH//araA//nrdB//
RtcR	slt//cyoE//
RutR	deoB//aroL//xapA//uidA//leuA//ftnA//rffH//accD//truB//ribA//tdcE//
SdiA	
SgrR	betA//xylB//entF//
SlyA	
SoxR	sucA//
SoxS	paaF//paaG//sucB//mhpD//patD//phnM//bioC//dinB//rutD//tynA//citE//uvrC//gatY//polB//rffG//ribA//rffC//treC//pgk//dkgB//rimK//fumC//garR//gor//pgk//rutB//
StpA	rbsK//fucU//entC//
SutR	accC//gapA//
TdcA	ogt//yfbR//astD//paaE//fadJ//
TdcR	fucI//fadI//entA//fabA//puuB//
TorR	nadB//purF//acnB//edd//
TreR	sucB//glxR//
TrpR	moaD//leuD//alaS//relA//paaK//frdD//prpB//alsE//fadJ//
TyrR	nrfD//argH//prpE//lacA//pyrD//bioF//araA//puuB//alsE//
UhpA	sdhD//
UidR	narG//ftnA//
UlaR	glmU//serA//uvrB//napC//pfkA//
UvrY	bglB//leuD//
UxuR	trpD//pyrD//pgpC//tyrA//folE//
XapR	entH//araA//
XylR	metF//icd//slt//
YdeO	mhpE//icd//metH//
YedW	wecC//pheT//malP//
YefM	sgbH//
YefM-YoeB	glmS//
YehT	
YeiL	
YiaJ	sdhC//fucK//sdhC//lsrG//prpD//frdD//
YjjQ	napB//
YpdB	
YqhC	serA//caiA//
YqjI	acnA//
ZntR	recF//
ZraR	
Zur	nrfA//
