# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	phr//nrfC//
MngR	adhE//ssuE//
MntR	yqjH//gor//
ModE	pdeR//hyaB//napB//pspE//nrdB//fadA//fadE//accA//trpE//waaY//nrfD//icd//dhaK//lsrF//
MprA	umpH//purA//phnL//
MqsA	pheS//tdcE//
MraZ	hycD//purC//eno//ubiC//nrfC//tadA//ugpQ//argA//rutD//leuB//prpB//
MtlR	xylB//pepD//patD//
MurR	phoA//glk//pgi//
Nac	lsrK//citC//melA//uxuA//purA//puuE//bioB//purF//yibQ//murC//
NadR	umpH//gadB//phnI//aceF//
NagC	paaG//murQ//glpK//ubiA//aspA//bioC//glnA//malZ//ddlB//dhaK//ruvB//pspE//folA//paaC//paaI//gpmM//bioB//phnO//putA//
NanR	alkA//purK//uvrC//nagB//argE//paaK//
NarL	mhpB//eno//ppiA//udp//argA//lpd//gabT//gpmM//metB//dapD//lysA//rutA//paaK//dapD//astA//umuD//mraY//caiB//ahpC//ada//tktB//nrfA//tyrB//betA//paaI//purL//wrbA//fadH//mltF//sdhA//nadA//glyA//ynfE//kbaZ//narG//malZ//
NarP	pnp//pagP//aroG//yibQ//purA//nrdB//pspE//metC//yfdE//ppsA//entF//
NemR	arsC//puuA//
NhaR	tadA//zwf//prs//uxuB//argF//
NikR	zwf//
NimR	aroF//
NorR	srlD//
NrdR	aldA//prpC//yeaE//puuE//
NsrR	iscS//zwf//glcB//nanM//ahpC//paaJ//ulaD//ulaG//glmS//gcvH//ilvC//allA//cyoE//entF//fbaA//katE//cynS//betA//pheT//ubiA//idnD//trpE//edd//pdeH//tpiA//bioD//narG//rhaB//uxaB//gltB//glpQ//aroF//metL//glmS//puuB//accD//
NtrC	fbaB//mhpD//paaI//lsrG//murI//leuD//argB//lacZ//hcaE//metC//hyaC//aroF//sucD//trpD//speB//uxaA//galM//galM//pyrC//rffC//ychF//
OmpR	frc//dmsA//cadA//narH//waaZ//alkA//hcaC//hcp//
OxyR	lyxK//aceB//ndh//rpiB//uvrB//cysG//trpA//fabZ//gadB//astC//purH//deoC//pgi//uxaB//
PaaX	napC//ubiC//argD//fabH//fdhF//cysK//tyrB//sodA//epd//
PdeL	glpB//
PdhR	hcp//mhpB//nadB//cysM//gatY//hyaC//rutC//uxaA//galT//sodA//prpB//hcaC//fabG//gpmA//nrdA//purM//aroF//nrfA//mltF//glgC//serA//ssuD//entH//phnL//rffG//nrdE//
PepA	kbaY//mhpC//
PgrR	araB//pfkA//
PhoB	carB//argC//torA//ppiA//hypB//fbaB//fadE//gcl//cysE//hmp//gatD//astB//malQ//ubiA//glpB//hcaF//phnN//nfsB//
PhoP	glgB//sdhA//yeaG//allD//phnL//iscS//wzb//fes//ynfE//entD//rutD//trpA//gcvP//lsrG//fdhF//aldA//thrS//lpxA//entB//rffH//glpX//leuD//tam//fbaA//ppc//puuE//iscS//entH//patA//metE//prpC//dhaM//cysC//
PrpR	xylA//torC//wzb//frdC//
PspF	frdC//
PurR	fes//fbaB//lpxD//metE//fabI//trpA//treC//glyA//fbaB//psd//murC//mtlD//lsrK//leuA//hcaB//pck//mhpD//hcaC//glnA//astE//dmsA//fabD//carB//nagB//tam//paaF//
PutA	mpl//nirD//
PuuR	accD//mraY//trpD//nrfA//hypF//citX//
QseB	
RbsR	glnA//pykF//malQ//deoB//putA//xapA//
RcdA	fabA//
RclR	
RcnR	bioF//
RcsAB	uxaC//srlD//lacA//
RcsB	gadA//moeA//rutC//bioC//
RcsB-BglJ	glpK//ybaS//
RelB	gatY//
RelB-RelE	trpB//
RhaR	
RhaS	bioC//ndh//ttdA//uxaA//
Rob	pncB//cynT//eno//accD//alaC//hyaB//fumC//glcF//hycB//trpA//gcvP//gcl//astB//fbaA//leuA//metF//dkgB//moaA//sufS//
RstA	frdB//glk//cdd//
RtcR	aroF//thrS//
RutR	nanA//ddlB//ttdB//sdhA//tdcG//uxuB//bioA//phnH//ycjG//nrfB//puuB//
SdiA	
SgrR	araA//ascB//rffG//
SlyA	
SoxR	glcF//
SoxS	rbsD//glgX//arsC//wrbA//glpC//astB//adhE//mnmG//ssuD//citF//lpd//leuB//pgpC//paaA//mazG//wzc//malQ//gapA//prpC//mltF//gdhA//cynT//glxK//cysM//fadB//entF//
StpA	ybjG//accB//purB//
SutR	prpE//serA//
TdcA	glpC//yiaK//psd//idnK//argF//
TdcR	tam//astD//rffT//citC//lysC//
TorR	idnK//fucU//trpA//lacZ//
TreR	xylA//rutC//
TrpR	fau//glcD//lacA//fadM//nagB//phnN//hycE//gltD//aspA//
TyrR	murD//caiA//purK//umpH//ilvC//puuC//nirB//puuC//gudD//
UhpA	entF//
UidR	fruK//asnB//
UlaR	malS//leuB//cysI//phnO//tpiA//
UvrY	fadJ//nanA//
UxuR	fabI//dhaL//eda//feaB//nfsB//
XapR	paaK//hycF//
XylR	nagB//speA//gatY//
YdeO	galE//glpB//tdcG//
YedW	sdhC//torC//caiB//
YefM	paaY//
YefM-YoeB	araA//
YehT	
YeiL	
YiaJ	fadH//ulaE//zwf//tdcG//carB//tpiA//
YjjQ	umpH//
YpdB	
YqhC	purB//paaH//
YqjI	moaE//
ZntR	moeA//
ZraR	
Zur	paaY//
