# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	narI//puuD//
PdhR	tdcG//tktB//glpB//srlD//paaI//gapA//napB//serA//gadA//ruvB//epd//sgbH//eno//uxaB//nrfC//sgbH//ugpQ//dkgB//tktB//speB//rffM//glgX//yibQ//ycjG//galK//tehB//
PepA	nrfC//frdC//
PgrR	gatD//tktB//
PhoB	kbaY//ulaF//glpC//ynfE//metA//murE//glcE//ldtC//murE//guaB//thrS//truB//yibQ//ttdB//gabT//yiaK//sucA//ulaF//
PhoP	xylA//yibQ//ynfH//gabD//napB//guaA//lyxK//murD//glpQ//prpE//srlD//argA//galT//pflB//rhaA//ampC//fadA//pgaB//moaE//malY//astE//fbaB//bioF//wzc//fdhF//sdhA//yeaG//glpK//galK//polB//rutB//araD//torA//
PrpR	lpxA//pnp//malQ//udp//
PspF	tyrA//
PurR	uxuA//hcaE//argB//accB//phnI//ulaD//idnO//lyxK//torA//tyrA//narH//pepD//hycG//rutB//ppiA//melA//argD//srlD//gudD//gatZ//hcaE//astC//dgkA//leuB//rimK//purM//
PutA	purD//napA//
PuuR	glpA//fadJ//nagB//nrdE//aceA//amn//
QseB	
RbsR	allE//metC//purA//moaD//gcl//rffG//
RcdA	citF//
RclR	
RcnR	pepD//
RcsAB	moaA//fumB//rffC//
RcsB	serA//paaK//paaI//lacA//
RcsB-BglJ	pck//gloA//
RelB	serA//
RelB-RelE	dsdA//
RhaR	
RhaS	allE//pgk//bglB//deoC//
Rob	ynfF//entA//uvrA//rutA//glpB//nrfA//prpC//murE//wzc//malZ//phnM//fadD//puuC//gpmM//phnL//pyrC//malQ//paaK//ttdB//
RstA	paaC//ychF//asnA//
RtcR	uvrA//glpX//
RutR	fucO//mhpF//rpiB//nagB//wrbA//nanK//mpl//entF//nadB//allB//tynA//
SdiA	
SgrR	rffC//galK//fucU//
SlyA	
SoxR	umpH//
SoxS	adiA//betA//pspE//fumB//pyrD//malS//ubiA//gudD//ttdA//psd//udp//cysM//alaS//nagB//ascB//ulaE//deoD//allA//purN//murC//sgbH//yibQ//sdhB//malS//sucD//bioD//
StpA	glpB//idnD//hypF//
SutR	alaS//leuD//
TdcA	pnp//nirB//aceE//moeB//patD//
TdcR	purE//malP//waaH//rutE//recF//
TorR	glcF//fabI//fabA//recF//
TreR	fdhF//tyrB//
TrpR	uxaC//sucB//bioF//narG//pyrC//bioF//arsC//narH//araB//
TyrR	fadE//xylA//tynA//poxB//gatD//hcaE//purD//hycC//metA//
UhpA	ldtB//
UidR	metF//lpxC//
UlaR	psd//dinB//phoA//adhE//aroH//
UvrY	murI//aceA//
UxuR	rpiB//melA//ruvB//glgA//lldD//
XapR	waaY//gltB//
XylR	puuA//ulaF//dapB//
YdeO	ynfG//zwf//phnL//
YedW	lldD//accB//metC//
YefM	phnG//
YefM-YoeB	ruvB//
YehT	
YeiL	
YiaJ	pepD//kbaZ//glpD//argD//prs//fadI//
YjjQ	pgk//
YpdB	
YqhC	rpiB//entC//
YqjI	sucD//
ZntR	argH//
ZraR	
Zur	glpK//
