# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 20:54:21 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/general_regulons/random_sets/general_enzymes.txt
AccB	cadA//ascB//
MatA	tdcD//
MazE	hyaA//
MazE-MazF	uxaA//
McbR	
MelR	folE//treC//
MetJ	cysC//cysI//astB//puuC//puuB//xapA//gnd//garL//metK//dhaL//
MetR	garL//cueO//pyrD//nirB//
MhpR	uxaB//galT//frdD//fucU//bglB//citC//
Mlc	pyrC//purB//waaZ//citC//
MlrA	ogt//
MngR	sgbE//pgi//
MntR	phnI//malY//
ModE	pgaC//yeaG//accD//ttdA//gpmA//glcE//entB//aroL//argA//dkgB//argG//dhaL//nrfC//umuC//
MprA	phnO//gpmM//trpC//
MqsA	ung//ybaS//
MraZ	nrfA//fadB//ftsI//moaE//paaG//araA//hyi//fadJ//putA//dgcZ//metB//
MtlR	glxR//paaK//glpB//
MurR	pykF//cysM//phnJ//
Nac	sgbH//guaA//fes//napB//fadJ//hcaC//pflB//moaE//oxc//katE//
NadR	fruK//deoB//argE//eno//
NagC	fucI//ilvC//tauD//narH//ftsI//argH//metE//puuC//puuE//sucA//ddlB//fabZ//glpB//cysI//amn//adhE//gcl//trpE//pgaD//
NanR	patA//amn//fadH//katG//nirD//ldtC//
NarL	ddlB//murQ//ftsI//fbaA//mhpC//ppiA//ulaF//garD//yibQ//pgaB//truB//ynfH//wecB//metH//astA//tdcB//astD//hycD//malS//ubiX//lyxK//napG//cysG//nanK//gcl//pdeR//aroL//ppc//nrfB//bioD//aceE//phnG//fadD//amn//chbF//poxB//
NarP	hcaD//gntK//cysE//rffT//amn//pdeH//glnA//nagB//tktB//nrdE//sufS//
NemR	citG//leuB//
NhaR	accD//allB//dmsA//pgaC//mazG//
NikR	bioC//
NimR	rffM//
NorR	hypF//
NrdR	citD//wecB//waaZ//idnK//
NsrR	lpxC//nagA//fucO//torC//idnD//ogt//mhpA//dacC//wzb//narI//idnO//aceF//phnG//sdhB//wrbA//xylA//gutQ//pdeR//sgbH//ubiC//bioD//caiA//tktB//cysD//fucA//hyi//ugpQ//truB//lpxC//argC//napG//ybaS//talA//fucA//glnA//dhaL//
NtrC	wecC//phnO//accA//glpB//glcD//umuD//purL//ubiX//argI//phr//gltB//sdhB//argA//puuE//deoA//nfsB//argH//mhpD//cysC//lhgO//fabH//
OmpR	yfbR//kbaZ//eno//iscS//bglB//gpmM//gatD//lysA//
OxyR	malY//citG//alkA//aroH//phnL//hycF//accB//ybaS//gntK//galM//glgA//folA//rutE//ynfF//
PaaX	cysN//astC//eda//nagA//putA//garR//alaS//bioD//rffH//
PdeL	hypB//
PdhR	rutC//rimK//gnd//puuC//fucA//cyoE//pyrC//lysC//udp//gcvT//allA//rpiB//ycjG//chbF//hycB//rutE//treC//ahpF//pgpC//purD//sdhA//hyaC//mpaA//bacA//trpB//amn//
PepA	argA//fabH//
PgrR	sdhB//dinB//
PhoB	metE//cysE//cysH//adhE//rutC//serA//glmS//prs//wzc//speB//puuB//citE//wecC//nrdB//hypB//purF//metC//dgkA//
PhoP	gatD//tktB//hyaB//tdcG//narH//cysC//cdd//adiA//murI//moeB//dgcC//tyrB//dgcC//sgbE//leuD//ulaG//entB//patA//yqhD//phnH//purC//carB//poxB//glgP//glpQ//aceB//dkgB//fadE//ung//asnA//paaY//dmsB//glyA//
PrpR	uxuA//fabH//citC//accA//
PspF	rutA//
PurR	argC//nrdE//eda//tdcE//frdB//ycjG//putA//waaY//yiaK//astA//paaB//luxS//caiC//dhaL//hycB//nrfD//nirD//cysC//entE//purB//waaH//astB//ruvA//ldtB//leuA//puuC//
PutA	sodB//entC//
PuuR	lacZ//icd//citF//fabH//glcB//ddlB//
QseB	
RbsR	nirB//glpC//treC//citE//carA//argA//
RcdA	wrbA//
RclR	
RcnR	alkB//
RcsAB	prpC//purA//gatY//
RcsB	allA//idnD//tyrA//dsdA//
RcsB-BglJ	sdhA//rffH//
RelB	alaS//
RelB-RelE	uvrB//
RhaR	
RhaS	fadH//argH//murE//ybaS//
Rob	metE//gltB//prs//phnP//nagA//ascB//hcaC//ppsA//asnB//gcvH//ahpC//purB//dgcZ//accC//rffG//ldtB//nagB//fucO//asnA//
RstA	fes//betA//chbF//
RtcR	murF//rhaA//
RutR	glpX//nanM//eno//tdcE//icd//talA//acnB//cysD//hypF//nadB//adhE//
SdiA	
SgrR	nrfD//nadB//pck//
SlyA	
SoxR	gatD//
SoxS	sucB//rffM//uvrA//aceE//glpC//gabT//narG//carB//ynfF//xylA//ddlB//phr//garR//fadM//gnd//pfkA//hcaF//nadA//dmsA//sgbU//garD//nirD//nfsB//sdhA//paaK//purK//
StpA	galM//pgaC//paaK//
SutR	mraY//gnd//
TdcA	glgB//glyA//tam//astE//glyA//
TdcR	purH//entC//ftsI//puuB//tdcB//
TorR	ulaE//ddlB//phnG//nagB//
TreR	folA//codA//
TrpR	dacC//murI//edd//pheT//uxaC//uidA//pgaC//fadA//leuC//
TyrR	frdD//uxaC//allA//rpiB//alkA//accB//paaI//fabD//nrdD//
UhpA	ftnA//
UidR	fabZ//nanA//
UlaR	leuB//dmsC//folE//astB//dhaM//
UvrY	murD//uidA//
UxuR	napB//ddlB//tehB//cyoE//napB//
XapR	dhaK//torC//
XylR	paaZ//leuA//sucD//
YdeO	phnL//sucC//sgbH//
YedW	ynfG//gatY//tdcG//
YefM	argI//
YefM-YoeB	pgi//
YehT	
YeiL	
YiaJ	phnO//ogt//phoA//bioA//gatY//bioF//
YjjQ	alaC//
YpdB	
YqhC	gapA//accC//
YqjI	fau//
ZntR	amn//
ZraR	
Zur	aroG//
