#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_bnum.txt
Ada-Methylated	b4000//b1396//phnE_2//b3508//
Fur-Mn2+	b4249//b1208//b0585//b1212//b2866//b0342//b4119//b4196//b0776//b2487//b0977//b1718//b4030//b2195//b0586//b3934//b0764//b4193//b4093//b2344//b3223//b0368//b0572//b2979//b3583//b4099//b1704//b2149//b2215//b0179//b2240//b2430//b0682//b1476//b0979//b3095//b0384//b2485//b2281//b4014//b2143//b2307//b0115//b4008//b4122//b3169//b2371//b3076//b3700//b2911//b1022//b3311//b0192//b1781//b2531//b2147//b0584//b3576//b2925//b0106//b3577//b0337//b1589//b1682//b4074//b1109//b1798//b0557//b4034//b3773//b2208//b1744//b3461//b0754//b2490//b2281//b0314//b0728//b3757//b4309//b0929//b2077//b3907//b2720//b2281//b2470//b3599//b4036//b4170//b4174//b0874//b0347//b4233//b0676//b1519//b0203//b4159//b3429//b0111//b0397//b1736//b1209//b3969//b1733//b3912//b4030//b4320//b4460//b3133//b0729//b1608//b2708//b3326//b2423//b2422//b3902//b0150//b4092//b3414//b1407//b3230//b0112//b4002//b2079//b4187//b3927//b3318//b2729//b0682//b3123//b1850//b2720//b2600//b1674//b2508//b1514//b0721//b3927//b0061//b2584//
GlcC-Acetate	b0182//b2715//b4471//b1040//b1846//b2465//b1546//
GlcC-Glycolate	b2076//b1902//b4699//b1261//b3214//b3774//b3127//
GlrR-Pasp56	b2156//
IclR-pyruvate	b1212//b0937//b2852//b1132//
IdnR-5-ketogluconate	b2375//b2499//b3869//b4265//b1745//b3167//b3721//b0191//
IdnR-Idonate	b3708//b2962//b3518//b0784//b0720//b2211//b0860//b0314//
IlvY-2-acetolactate	b0889//b3221//
IlvY-Alfa-acetohydroxybutirate	b1738//b2942//
IscR-2Fe	b0061//b1335//b3166//b1683//b4320//b4006//b4398//b2571//b4705//b3831//b1338//b1519//b3970//b3757//b4125//b2614//b2725//b4006//b4037//b1224//b1885//b3165//b1130//b2529//b3599//b3049//b2490//b1498//b0676//b0934//b1287//b3260//b3724//b2674//b3508//b1022//b2675//b3008//b2609//b4074//b2366//
LldR-L-lactate	b3774//b1387//b2750//
Lrp-Leucine	b2076//b1221//b0167//b3227//b0366//b4287//b0606//b3481//b3569//b4382//b2482//b1297//b2752//b1608//b1020//b4131//b2287//b2368//b1744//b0585//b3093//b4152//b2975//b0384//b3510//b3564//b1684//b1901//b3318//b4138//b4431//b2155//b0515//b2417//b2995//b4567//b3581//b3571//b3057//b0183//b1615//b0575//b0861//b0311//b2153//b3781//b0936//b1655//b4007//b3610//b3038//b3403//b4393//b2728//b2713//b4100//b1673//b2742//b2278//b2077//b4074//b2365//b2663//b4326//b2197//b0557//b1498//b1704//b2674//b2710//b0366//b0313//b4268//b3565//b0757//b0296//b2725//b0166//b3365//b2975//b1041//b4209//efeU_2//b3726//b0720//b4426//b4174//b0572//b2912//b2991//b2979//b1671//b4039//b0723//b2283//b0397//b1850//b0566//b2669//b2465//b3367//b0619//b1674//b1011//b4076//b2486//
LsrR	b1798//b2802//b1398//b0557//b3276//b3413//b2730//b1781//b3532//
MalT-ADP-Maltotriose	b3333//b3277//b1589//b1398//b0106//b2283//b4249//b3532//b0820//b1387//
MalT-Maltotriose-ATP	b4159//b4314//b4397//b1746//b4323//b3057//b3327//b0758//b2741//b2964//
MelR-Melibiose	b0573//b0428//b4439//
MetJ-S-adenosylmethionine	b0180//b1761//b3845//b2488//b0957//b2497//b1613//b0675//b2213//b1038//b2732//b1846//b4392//b4266//b1189//
MetR-L-homocysteine	b2425//b2757//b0622//b0889//b3005//
MhpR-3-DHPP	b3366//b0189//b2212//b1189//b3942//b4124//
MhpR-3HPP	b2484//b0038//b1537//b2476//b1616//b3332//
MntR-Cd2+	b1805//b2234//b2092//b3727//b1732//
ModE-MoO42-	b0936//b2751//b0396//b2702//b0383//b2674//b1492//b4323//b2760//b3960//b1208//b1109//b0032//b1890//b4132//b3167//b4079//b3366//b4151//b0928//b2965//b2674//b1655//b3366//b3242//b0726//b0935//b0523//b3774//b3581//b2212//b1260//b0755//b0333//b0933//b1613//b3870//b4007//b1516//b1597//b2095//b4242//b3478//b2163//b3615//b3869//
NarL-Phosphorylated	b3368//b3572//b2708//b2499//b2417//b0181//b2074//b4138//b2222//ilvG_2//b4000//b0108//b4376//b2713//b1252//b2756//b3749//b2852//b1782//b3127//b0934//b4170//b0784//b2709//b3222//b4238//b2481//b0183//b2106//b3227//b1892//b4324//b0347//b3403//b2198//b2711//b2996//b0080//b3864//b2490//b3368//b0976//b1737//b2155//b1037//b4367//b3318//b3863//b0460//b0597//b3167//b3968//b0515//b0758//b2195//b3481//b3493//b0572//b3132//b0460//b2076//b4005//b3260//b4079//b3481//b2508//b2203//b2149//b3328//b4193//b1101//b4637//b4406//b2223//b0975//b0221//b4468//b1669//b0614//b2424//b2369//b1113//b3317//b4319//b4131//b3688//b0440//b4119//b1208//b0153//b2201//b1389//b4400//b4460//b2370//b4267//b2723//b3172//b0350//b1129//b0860//b2375//b1379//b3903//b3359//b3724//b0348//b4003//b4005//b1385//b0557//b3272//b4169//b0880//b1532//b4288//b3582//b1298//b1733//b1682//b3772//b0340//b3831//b2762//b0109//
NarP-Phosphorylated	b3726//b4401//b0191//b3095//b2529//b3722//b3863//b2964//b0721//b1394//b1886//b0037//b1010//b1190//b1252//b3135//b3957//b1415//b1613//b0596//b2364//b0931//b2392//b1719//b4036//b2705//b4175//b1654//b3265//b2600//b2423//b1263//b4169//b0432//b2311//b3320//ilvG_1//b3578//b3766//b0116//b1988//b0618//b0861//b1540//b3367//b2597//b3321//b0377//b0204//b2281//
NhaR-Na+	b0346//b3169//b4290//b3171//b4699//b3091//b3903//
NikR-Cd2+	b2224//b2291//b0078//b2741//b3708//b2535//
NikR-Co2+	b2703//b0389//b0199//b4003//b2799//b1497//
NikR-Cu2+	b4068//b1826//b1260//b0996//b4170//b2728//
NikR-Ni2+	b2206//b0827//b0973//b4154//b0177//b3610//
NikR-Zn2+	b0814//b3006//b1680//b2290//b2239//b3413//
NrdR-ATP	b3071//b1112//b2706//b0572//b3609//b2725//b3214//b3831//b1392//
NrdR-Zn2+	b4030//b2710//b2676//b0860//b2194//b2306//b1379//b3751//b3359//
NrdR-dATP	b2163//b0841//b0957//b3959//b3332//b2590//b2422//b2560//b2838//
NsrR-2Fe	b0895//b3076//b3829//b4241//b3541//b1224//b0516//b0331//b0606//b3580//b2725//b0390//b2243//b2284//b2752//b2202//b3616//b4067//b0676//b4239//b1714//b1617//b2503//b3773//b0764//b0398//b2063//b3335//b4196//b0111//b0598//b0118//b4637//b3260//b0112//b1810//b2609//b4153//b3207//b1905//b3493//b4417//b2754//b1112//b1222//b1612//b4321//b3709//b2997//b2211//b1589//b2722//b1500//b2840//b1622//b4175//b2068//b3334//b3169//b2702//b3331//b2365//b1530//b0033//b3424//b2608//b3242//b4238//b2485//b3493//b0820//b1261//b3769//
PhoB-Phosphorylated	b2276//b0180//b3518//b4004//b0620//b4663//b0873//b4168//b2990//b3617//b0342//b3666//b2085//b0678//b2204//b1704//b0553//b2484//b2708//b0565//b2977//b4120//b3405//b1385//b0031//b3831//b1302//b0390//b2551//b1683//b4254//b0064//b3723//b0398//b1706//b3091//b3521//b3167//b2372//b2497//b3541//b2588//b3907//b0572//b4201//b0311//b2201//b1275//b0343//b3424//b3518//b3221//b1212//b3588//b2660//b1276//b4637//b3243//b2406//b1887//b1761//
PhoP-Phosphorylated	b1530//b3227//b3774//b2553//b0957//b2421//b1814//b2306//b1716//b1272//b2755//b1901//b3571//b4249//b3774//b0341//b4153//b3576//b3748//b4177//b4122//b0763//b0805//b1265//b3333//b2311//b4239//b0240//b3319//b2609//b2414//b3335//efeU_2//b3221//b0572//b2200//b2482//b3941//b4637//b1884//b1588//b0347//b0403//b3530//b1010//b3266//b3405//b3960//b1182//b2310//b4071//b0202//b3457//b0181//b3415//b0734//b2583//
PrpR-2-methylcitrate	b3601//b0048//b2424//b2708//b0781//
PurR-Guanine	b0588//b4476//b4376//b0207//b2364//b2938//b3125//b3903//b2991//b0933//b2528//b0367//b4599//b3830//b3941//b0945//b1594//b3902//b4289//b0591//b0064//b2280//b3859//b1338//b1747//b4324//b2608//b0572//b2719//b0383//b1129//b1387//b2609//b3077//
PurR-Hypoxanthine	b4160//b0383//b3394//b3224//b2992//b0976//b2207//b3752//b3117//b0827//b1970//b2957//b1679//b0614//b0181//b3609//b0622//b0331//b0618//b4000//b3574//b0515//b2279//b4118//b3567//b4637//b2710//b3171//b1389//b1921//b3275//b1102//b2697//b1337//
QseB-Phosphorylated	b2554//b0616//b0979//b1547//
RhaR-L-rhamnose	b1398//b3314//
RhaS-L-rhamnose	b2570//b1011//b4592//b1041//b0861//b1537//
RstA-Phosphorylated	b3666//b0352//b0621//b2242//b3941//b3457//b0616//b3272//b0593//b4426//
SoxR-2Fe_oxydized	b1744//b2491//b1136//b3170//
TorR-Phosphorylated	b2716//b4062//b3572//b0461//b1287//b0682//b2723//b3852//b3579//b0383//
TrpR-Tryptophan	b1516//b3907//b2146//b2588//b1608//b1719//b3532//b0758//b3701//b1970//b0585//b3511//
TyrR-L-tryptophan	b0934//b2584//b0592//b1519//b4104//b0758//b0757//b3770//b4016//b4567//b0522//b3723//b2406//b1882//
TyrR-Phenylalanine	b0863//b0998//b3530//b1681//b0450//b0583//b0596//b1620//b3438//b2469//b1160//b3237//b2673//b2284//
TyrR-Tyrosine	b3772//b2609//b3541//b4032//b2962//b2571//b1210//b2923//b1482//b4059//b4438//b2306//b1530//b1323//
UhpA-Phosphorylated	b2726//
XapR-xanthosine	b0450//b1540//
XylR-Xylose	b3071//b4309//b2207//b1296//b0571//b4101//
ZntR-Cd2+	b3417//
ZntR-Hg	b0156//
ZntR-Zn2+	b0400//
ZraR-Phosphorylated	b0820//b0313//b2075//
Zur-Zn2+	b0980//b0430//b2732//b2201//b4401//b4079//
