#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_bnum.txt
Ada-Methylated	b2076//b2617//ilvG_2//b0724//
ChbR-Monoacetylchitobiose-6P	b2372//b2208//b1109//b2290//b4293//b0602//
CpxR-Phosphorylated	b3214//b2572//b1744//b4101//b4313//b0864//b2150//b2535//b2424//b4397//b0724//b0340//b1587//b3333//b4197//b2507//b0033//b0616//b1859//b3903//b1476//b0063//b4067//b4354//b0593//b3603//b2091//b2368//b1492//b2669//b2913//b2716//b4268//b3960//b2675//b3752//b0681//b4093//b2497//b1540//b3276//b3410//b2106//b1669//b3329//b1548//b1302//b3418//b4416//b2284//b4102//b3070//b3368//b2470//b2231//b3118//b3457//b3773//b3133//b1612//b0820//b3227//b3906//b4314//b1391//b2341//b0153//b0933//b1136//
CreB-Phosphorylated	b2171//b3751//b1517//b3423//b4670//b0619//b1022//b4125//b0774//
CueR-Ag	b0583//b0754//b0977//b3940//b2752//b0197//b3318//
CueR-Cu+	b3415//b0931//b0596//b1616//b3008//b3904//b0273//
CuerR-Au	b1973//b3969//b3092//b3170//b0345//b0035//b0124//
CusR-Pasp	b0368//b2285//b2601//b3329//b3611//b0042//b0037//b2156//b3334//b3409//b3169//b2818//
CynR-Cyanate	b0063//b1817//b0896//b4670//
CysB-N-acetyl-L-serine	b2617//b2800//b2096//b1982//b4460//b2507//b0461//b2414//b1907//b0785//b3925//b1608//b3906//b3530//b1889//b4037//b1548//b3236//b1512//b1900//b0758//b0335//b4416//b1041//b2552//b3331//b0553//b0972//b4059//b3528//
CysB-O-acetyl-L-serine	b2866//b0123//b4006//b0106//b3870//b2371//b4599//b0953//b3076//b2341//b2243//b1530//b0432//b0153//b3166//b0111//b2975//b4030//b1890//b0863//b2674//b3076//b2674//b0592//b2296//b1714//b4169//b1714//b0777//b4187//b4118//
DcuR-Phosphorylated	b4202//b1817//b0860//b2465//b0115//b2840//b0764//b1398//b0037//
DnaA-ATP	b0240//b0571//b3328//b2288//b3403//b0040//b2196//b1973//b3511//b1535//b3961//b2232//
DpiA-Pasp	b1397//b0311//b3912//b1712//b1394//b1516//b2706//b2741//b4319//b2074//b4200//
DsdC-D-serine	b3758//b2631//b1006//
EvgA-Phosphorylated	b1415//b4287//b4213//b2146//b2852//b4024//b3521//b3942//b3608//b2076//b3748//b3409//b3481//b1263//b3333//
FNR-Fe_reduced	b1588//b1493//b3168//b1113//b2716//b1476//b2497//b0755//b0812//b1132//b3410//b0430//b1211//b3366//b2560//b1384//b2428//b1858//b2503//b4118//b3214//b2992//b3359//b3456//b2196//b4018//b4599//b3749//b1673//b2721//b3125//b1023//b2660//b3071//b2571//b2150//b1391//b3772//b4069//b2507//b2147//b1252//b0681//b0156//b3095//b0335//b0342//b4196//b1881//b2279//b3940//b3327//b3902//b4073//b0756//b4076//b2143//b2425//b2372//b1900//b0594//b2146//b2721//b2200//b0591//b0553//b3577//b4416//b3511//b0880//b2838//b4105//b0180//b1591//b2278//b0397//b0583//b2311//b2372//b2221//b1205//b0928//b4467//b1621//b4067//b2752//b2583//b2163//b4367//b4030//b0678//b3907//b3709//b1737//b4237//b3610//b2221//b3460//b1301//b1287//b0720//b0755//b4439//b3941//b0976//b2710//b1323//b1761//b3605//b4702//b4168//b0998//b2296//b1904//b0775//b4381//b0201//b1733//b2995//b4058//b3364//b3752//b3453//b1397//b3057//b2367//b0675//b0044//b0351//b3957//b3124//b1394//b1011//b1921//b0826//b3542//b4417//b2755//b3771//b1904//b3771//b3333//b0903//b3325//b4323//b3333//b3172//b0935//b3477//b3230//b2481//b1881//b3934//b4187//b2923//b3521//b0564//b2243//b1514//b3118//b1591//b2727//b2498//b3970//b4174//b3927//b1136//b0755//b4254//b4018//b2551//b2197//b3333//b3394//b0886//b0894//b3273//b0334//b1041//b2416//b1190//b3461//b2997//b2342//b1530//b2197//b3265//b0113//b1391//b0333//b0973//b0573//b2341//b2498//b2207//b2721//b3701//b2840//b0118//b4010//b1712//b4698//b3971//b0931//b2706//b4392//b4287//b4319//b4319//b1112//b3870//b2201//b4383//b3530//b3077//b1493//b2311//b2213//b0152//b3869//b4013//b4320//b2661//b1613//b1717//b1244//b1535//b2711//b4058//b1887//b0440//b0953//b1850//b3432//b1390//b3544//b2607//b1684//b3479//b1127//b1008//b4599//b3214//b0998//b2868//b3026//b1301//b0590//b1205//b4008//b0764//b2964//b3667//b0429//b3171//b3533//b4287//b4382//b0390//b2712//b2916//b2509//b0044//b4323//b1182//b3863//b0756//b3453//b2990//b4177//b0383//b2528//b1846//b0726//b1338//b2720//b3319//b2373//b2423//b4063//b0683//b3806//b4019//b3456//b0929//b3828//b4669//b0197//b0337//b1008//b3770//b2076//b0775//b1112//b4173//b0199//b0841//b1392//b3942//b0596//b3845//b2663//b0033//b0979//b3450//
FhlA-Formate	b0566//b4104//b3132//b4354//b1243//b2204//b3567//b2705//b3437//b0154//b3224//b1612//b2617//b1275//b3853//b0598//b3321//b0189//b2991//b1611//b3510//b0041//b1299//b0602//b0353//b2198//b1511//b3540//b1589//b0590//
FucR-L-fuculose-1-phosphate	b1826//b3532//b1476//b4417//b2063//b0241//b3212//
Fur-Fe2+	b3365//b0757//b2311//b3081//b0733//b2528//b1220//b3161//b3958//b3904//b1275//b3925//b0862//b4406//b3072//b2235//b0819//b4450//b1537//b4401//b0463//b1781//b3672//b1744//b2725//b2095//b0679//b2425//b4450//b3581//b0980//b1263//b4669//b3394//b2995//b3870//b0108//b1429//b2927//b3410//b2557//b2239//b2729//b4036//b0590//b0584//b0590//b3170//b3330//b0765//b0365//b4122//b2926//b0826//b4018//b0034//b3273//b1886//b2606//b2211//b1684//b1252//b3753//b1062//b3278//b4567//b2528//b2309//b2288//b1670//b4193//b1023//b3316//b0864//b3365//b3236//b3057//b4705//b2416//b1517//b0344//b3165//b4094//b3168//b1818//b1335//b2366//b4265//b2428//b0566//b3829//b2607//b4173//b0077//b3671//b0972//b1532//b0571//b2415//b2498//b4059//b4599//b3335//b1335//b1389//b1016//b0344//b1594//b0167//b3124//b3260//b0351//b4381//b2631//b4054//b4104//b1921//b1498//b3518//b4032//b3854//b3831//b0682//b2147//b2702//b2927//b0959//b0873//b0618//b3070//b2710//b1020//b4153//b1797//b3829//b4287//b4383//b1706//b0758//b1302//
Fur-Mn2+	b3114//b1982//b0109//b0125//b4002//b1782//b4010//b0109//b0778//b2148//b0724//b3272//b0557//b0887//b2554//b3724//b1987//b1385//b4237//b0677//b1745//b3708//b0313//b3576//b4173//b0805//b4468//b4037//b4074//b3671//b2551//b3702//b1970//b3449//b0565//b0368//b2421//b4118//b3116//b0184//b3127//b2211//b4316//b3432//b2719//b1641//b0765//b0042//b1591//b1337//b0156//b1493//b1501//b3404//b0620//b3392//b4004//b2093//b2926//b2926//b2764//b4016//b1745//b2291//b4381//b1511//b2666//b2194//b3117//b0167//b0368//b0606//b2721//b0031//b3603//b2286//b4268//b4195//b2313//b2723//b4033//b3925//b0931//b0722//b2729//b4004//b2963//b0591//b4438//b1062//b3908//b3961//b2196//b1275//b0125//b1129//b3333//b0063//b2196//b4450//b0754//b0682//b2925//b1888//b1846//b3359//b1683//b3577//b1819//b1006//b1020//b2742//b3530//b4239//b3565//b1512//b1904//b2925//b2417//b3610//b3430//b0463//b1011//b4102//b0034//b3582//b4401//b0036//b4705//b3542//b4177//b1796//b2372//b0616//b3728//b0115//b4096//b2085//b4314//b2498//
GlcC-Acetate	b2077//b3275//b2077//b4511//b4007//b4417//b3702//
GlcC-Glycolate	b1713//b4326//b0929//b0774//b2730//b2801//b1738//
GlrR-Pasp56	b1654//
IclR-pyruvate	b3617//b1779//b3415//b0179//
IdnR-5-ketogluconate	b1225//b2662//b1900//b0957//b1246//b0240//b3170//b2150//
IdnR-Idonate	b0587//b1244//b3116//b3939//b3578//b2222//b3617//b2943//
IlvY-2-acetolactate	b3969//b3428//
IlvY-Alfa-acetohydroxybutirate	b2235//b3096//
IscR-2Fe	b0062//b1887//b0724//b0040//b4705//b0339//b1858//b2211//b1859//b0161//b3312//b4397//b3599//b4198//b4007//b0347//b3428//b3912//b2762//b4009//b0411//b1260//b2093//b0605//b4122//b1190//b2367//b4314//b0331//b1797//b1392//b2342//b2614//b0352//b3429//b3214//b2150//b2488//b2716//b2163//b2151//
LldR-L-lactate	b2838//b3572//b0886//
Lrp-Leucine	b2370//b4197//b0889//b2414//b3748//b3774//b2726//b4249//b0721//b2469//b0553//b3701//b3005//b2392//b0722//b3615//b0114//b2091//b1669//b1540//b1814//b3757//b1007//b3957//b4119//b3700//b1589//b2107//b0841//b4393//b2417//b1671//b1826//b1102//b0184//b4033//b2841//b4093//b1850//b2904//b3207//b0411//b4698//b0781//b3241//b0203//phnE_2//b1500//b2757//b0064//b2500//b2977//b3908//b0152//b4154//b3356//b4201//b1037//b3261//b3278//b1590//b3222//b4132//b2500//b3970//b4240//b3828//b3511//b3222//b2573//b2867//b1007//b3326//b4002//b0199//b2723//b2757//b0337//b0178//b2957//b4105//b2726//b2212//b0929//b2752//b1010//b2912//b3356//b1684//b0728//b2551//b0936//b3860//b4699//b3437//b0723//b4441//b3530//b3266//b1040//b0979//b3070//b2469//b4451//b0908//b1221//
LsrR	b3863//b4040//b0347//b3091//b1111//b0553//b3567//b3223//b4006//
MalT-ADP-Maltotriose	b3273//b2597//b1641//b3578//b0863//b0774//b1907//b0592//b3356//b1857//
MalT-Maltotriose-ATP	b2722//b1852//b4213//b0032//b0565//b4187//b1389//b3863//b3432//b1901//
MelR-Melibiose	b3070//b3213//b2241//
MetJ-S-adenosylmethionine	b0754//b1492//b2508//b2279//b4384//b2716//b2309//b1500//b1475//b2529//b1548//b2364//b0043//b2074//b2560//
MetR-L-homocysteine	b3332//b3168//b2236//b4032//b4018//
MhpR-3-DHPP	b0591//b3700//b2703//b1591//b4018//b0033//
MhpR-3HPP	b3868//b2491//b0606//b2757//b0515//b1805//
MntR-Cd2+	b1006//b3610//b2606//b3971//b4663//
ModE-MoO42-	b3722//b3853//b3961//b0887//b2232//b1493//b2904//b4167//b2239//b3569//b4399//b1474//b0440//b1617//b2074//b2730//b4233//b1225//b4698//b3164//b0588//b0819//b1852//b3325//b3413//b3408//b0377//b1588//b0181//b2240//b3330//b4254//b3077//b1826//b1338//b1301//b4072//b0934//b4237//b2309//b1334//b0020//b1247//b2799//b0776//b3770//
NarL-Phosphorylated	b4105//b2198//b0781//b3831//b3076//b0150//b2963//b3006//b4467//b2365//b2171//b2937//b4139//b2759//b4310//b1387//b2417//b4266//b3771//b3356//b4072//b3318//b2943//b3968//b3748//b1589//b1892//b3236//b0063//b4124//b0754//b4400//b0980//b4392//b3326//b3925//b0197//b2392//b2202//b2076//b2552//b2600//b0566//b3170//b0192//b3077//b4398//b1713//b1190//b1247//b1517//b3728//b2841//b1782//b3970//b1516//b2719//b2868//b1475//b0441//b3476//b3478//b0428//b3830//b1706//b0111//b0341//b2572//b3772//b2313//b1022//b4063//b3214//b3266//b0340//b1387//b1852//b3320//b2291//b1814//b2310//b4092//b0592//b1002//b0904//b4326//b4167//b2630//b1415//b2092//b3395//b0241//b0207//b1718//b3480//b1407//b1858//b1394//b3272//b4037//b1826//b4100//b0566//b3478//b3577//b0683//b0118//b3314//b3671//b0863//b1222//b0190//b3368//b3076//b2485//b1398//b0336//b4310//b0723//b2078//b1393//b2147//b2554//b0198//b1684//
NarP-Phosphorylated	b4124//b0759//b4401//b3278//b0352//b1905//b0516//b2156//b0758//b2757//b1546//b1743//b0366//b2223//b4196//b0378//b0036//b0337//b4152//b2203//b3409//b1717//b3864//b1247//b2374//b0207//b2370//b3532//b2096//b4318//b0115//b1779//b2671//b2085//b4120//b2659//b2079//b2530//b0432//b2163//b2075//b2143//b3940//b2662//b3320//b3240//b4159//b1902//b0814//b0063//
NhaR-Na+	b4063//b0598//b3509//b0682//b3320//b0041//b1262//
NikR-Cd2+	b4292//b3959//b2155//b3725//b0352//b2489//
NikR-Co2+	b2194//b3774//b2674//b1008//b3261//b2223//
NikR-Cu2+	b1396//b3902//b2497//b3403//b4241//b4201//
NikR-Ni2+	b1475//b3404//b2991//b2937//b2296//b2429//
NikR-Zn2+	b3330//b4592//b2428//b0586//b2731//b3722//
NrdR-ATP	b1737//b2943//b0201//b4019//b4106//b0202//b4074//b4382//b1211//
NrdR-Zn2+	b0331//b2371//b4267//b0064//b0125//b1516//b2234//b0616//b3214//
NrdR-dATP	b1891//b4319//b2709//b0588//b2552//b2224//b2232//b3469//b3541//
NsrR-2Fe	b3608//b2916//b2312//b0333//b1743//b0596//b2721//b4316//b4194//b1613//b3571//b0032//b1391//b4401//b4120//b1379//b4115//b1859//b2208//b2146//b3224//b3212//b3543//b1805//b1716//b0398//b2741//b1338//b4233//b4151//b3437//b2200//b0044//b0431//b2706//b4152//b4237//b0873//b3313//b2313//b3724//b0349//b1782//b0623//b3855//b0933//b2852//b4008//b4291//b0343//b0784//b4393//b0757//b4079//b2241//b3450//b4468//b3335//b2703//b1475//b4002//b3906//b3902//b4024//b3035//b3035//b3405//b0112//b1337//b4101//b3077//b3617//b0353//
PhoB-Phosphorylated	b1718//b1007//b3565//b0151//b3117//b1597//b3610//b2107//b2482//b4139//b3531//b4037//b2697//b0887//b4169//b0874//b0928//b0123//b1129//b1324//b1738//b1387//b0349//b1430//b1008//b3870//b4240//b4009//b1160//b0429//b2096//b1818//b1263//b1518//b1798//b0602//b3230//b4451//b4062//b3577//b3333//b2723//b4476//b3926//b1530//b4417//b2239//b2713//b2235//b0441//b2508//b0564//b4240//b1970//b1246//b4663//b1589//b3578//b2156//b3702//b2239//
PhoP-Phosphorylated	b4036//b0342//b2153//b3757//b2483//b1225//b3851//b4073//b3478//b2235//b1252//b0861//b3415//b3049//b3423//b4118//b2707//b3753//b2414//b1482//b2367//b4317//b3037//b4177//b3772//b3223//b3423//b1674//b3530//b4132//b1546//b2600//b0784//b0565//b3530//b1010//b4070//b0345//b0428//b2079//b3315//b1323//b4019//b2205//b4293//b1208//b4102//b4013//b4266//b1021//b2662//b2373//b0861//b0728//b2752//b0972//b2762//
PrpR-2-methylcitrate	b0113//b2552//b3332//b2492//b4320//
PurR-Guanine	b1189//b0523//b3451//b0597//b4024//b0908//b1826//b3959//b3854//b3026//b2838//b3567//b3429//b1519//b2155//b2995//b0820//b2926//b2509//b1745//b1297//b2091//b3531//b1220//b4242//b3093//b2153//b2282//b0181//b0040//b0937//b4309//b2975//b2708//
PurR-Hypoxanthine	b4098//b0675//b0937//b4663//b0675//b1020//b1474//b0755//b3409//b2470//b0313//b3599//b2203//b1390//b4441//b3748//b1735//b1335//b2077//b2722//b2722//b0241//b0403//b0112//b4213//b0044//b3671//b3167//b0623//b2143//b2312//b4072//b2704//b4203//
QseB-Phosphorylated	b2232//b2076//b3828//b0903//
RhaR-L-rhamnose	b1735//b2725//
RhaS-L-rhamnose	b1548//b1275//b2755//b1338//b1782//b4320//
RstA-Phosphorylated	b4460//b2729//b4401//b1590//b1299//b0935//b4175//b2239//b2078//b3169//
SoxR-2Fe_oxydized	b2194//b0123//b3431//b0334//
TorR-Phosphorylated	b1904//b0161//b0109//b3773//b3722//b2572//b2838//b4663//b1394//b1275//
TrpR-Tryptophan	b3728//b0827//b3231//b2606//b4202//b4168//b2840//b2279//b3425//b1334//b1226//b1733//
TyrR-L-tryptophan	b1224//b4174//b1011//b0368//b0411//b3781//b2715//b0777//b1590//b2661//b1882//b1224//b2029//b2281//
TyrR-Phenylalanine	b4079//b0597//b0729//b1887//b2554//b1858//b4313//b3481//b1973//b4106//b3722//b2727//b1299//b0341//
TyrR-Tyrosine	b3572//b4131//b3940//b2484//b2470//b4398//b2312//b1887//b3359//b0776//b1535//b1656//b4203//b0341//
UhpA-Phosphorylated	b0390//
XapR-xanthosine	b1247//b1498//
XylR-Xylose	b4175//b4129//b0338//b1246//b0586//b3236//
ZntR-Cd2+	b1475//
ZntR-Hg	b0613//
ZntR-Zn2+	b3313//
ZraR-Phosphorylated	b2079//b0517//b3315//
Zur-Zn2+	b4101//b3409//b0908//b2750//b2579//b1900//
