#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:21 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_bnum.txt
Ada-Methylated	b3571//b1102//b1190//efeU_2//
ChbR-Monoacetylchitobiose-6P	b3902//b0755//b2702//b0908//b2938//b0368//
CpxR-Phosphorylated	b0314//b0389//b2617//b3456//b0595//b2997//b2659//b1394//b1241//b1885//b4322//b4120//b2096//b3542//b0124//b3688//b2469//b1497//b4397//b2153//b4096//b2422//b0720//b4187//b3449//b4076//b0221//b0614//b2976//b1021//b2375//b2242//b2415//b4637//b0460//b2311//b1512//b3926//b3688//b0614//b3480//b2990//b0109//b2231//b2868//b4054//b2368//b2063//b4067//b1715//b2852//b0933//b0826//b0613//b1987//b2731//b0197//b2719//b4355//b0874//b1881//b2222//b4316//b1010//b1922//b1335//b3728//b1276//b0366//
CreB-Phosphorylated	b1684//b2661//b1514//b0677//b3542//b0935//b2552//b3072//b0616//
CueR-Ag	b2583//b4039//b3458//b3667//b0161//b3806//b0161//
CueR-Cu+	b0978//b3571//b0977//b0037//b3224//b2763//b4320//
CuerR-Au	b1900//b2803//b3037//b2712//b2741//b2296//b0516//
CusR-Pasp	b4008//b1597//b4122//b1210//b1499//b3748//b0588//b0431//b2710//b2723//b1922//b0389//
CynR-Cyanate	b4467//b3212//b2406//b2975//
CysB-N-acetyl-L-serine	b0462//b4019//b2559//b4417//b3329//b4195//b1041//b2497//b1043//b0440//b0367//b0063//b1008//b4467//b1043//b1020//b2571//b4203//b3669//b0620//b4035//b1620//b3413//b3766//b2147//b1590//b3006//b2297//b2867//b1006//
CysB-O-acetyl-L-serine	b4705//b0570//b1407//b1132//b0403//b1241//b4092//b3567//b2199//b2994//b2676//b2092//b3277//b0184//b1287//b1300//b2341//b3934//b0031//b2572//b0352//b3272//b0722//b2661//b2717//b1252//b1609//b2706//b3702//b1622//b4460//
DcuR-Phosphorylated	b0388//b0341//b0880//b3668//b3331//b3008//b3724//b0161//b1597//
DnaA-ATP	b3600//b1850//b0754//b2224//b0112//b3331//b2215//b2369//b2726//b3315//b4267//b2079//
DpiA-Pasp	b3831//b1394//b3610//b1247//b4599//b2963//b0894//b1299//b2424//b0589//b0156//
DsdC-D-serine	b1297//b4705//b1887//
EvgA-Phosphorylated	b1041//b4400//b2288//b2707//b3037//b2608//b4202//b1622//b3329//b4111//b4032//b2980//b0557//b3227//b1712//
FNR-Fe_reduced	b2375//b1220//b3329//b0031//b2507//b2429//b0111//b0167//b3830//b0430//b3327//b1851//b2486//b2290//b4242//b0945//b1655//b0995//b2551//b3451//b1814//b0043//b2583//b2508//b2373//b0221//b0733//b1012//b1716//b0727//b1734//b1224//b4699//b3359//b2147//b3724//b3845//b1671//b0758//b0273//b2421//b2155//b1620//b2341//b0764//b0896//b0728//b4698//b0928//b4291//b1810//b3541//b3750//b4100//b1535//b2600//b2721//b1429//b1889//b3408//b4168//b1704//b1805//b2722//b1736//b3035//b0896//b0400//b4201//b2143//b2579//b1009//b1041//b1497//b0183//b3165//b4024//b0862//b3961//b4198//b0341//b3907//b2609//b4120//b0681//b0973//b0894//b2993//b2429//b2222//b2414//b1261//b3242//b2074//b3026//b0619//b1379//b1220//b0043//b1474//b4010//b4637//b4122//b4075//b0679//b1712//b0107//b3453//b2196//b2718//b3707//b0615//b0775//b0996//b2729//b4096//b1608//b1859//b0108//b2369//b3722//b4152//b2723//b4209//b3902//b0411//b0428//b2913//b2799//b3453//b1300//b0461//b3926//b4035//b1394//b2240//b3404//b2994//b2838//b0613//b2725//b4170//b0602//b3008//b2009//b0345//b3273//b4266//b3333//b4237//b2417//b0996//b1857//b1043//b4669//b2572//b3957//b3025//b3853//b4016//b1475//b0156//b0522//b1886//b2242//b4032//b0042//b3580//b0570//b0312//b4138//b2868//b2669//b0333//b3413//b3008//b0880//b0622//b3616//b0378//b1127//b4118//b0677//b2149//b1597//b3133//b2905//b3756//b3571//b1734//b1263//b3569//b4266//b3315//b2201//b2092//b4111//b0755//b1287//b4071//b0064//b0112//b0781//b0980//b2224//b0619//b4124//b1189//b3477//b3272//b3241//b3758//b1109//b2584//b3133//b4174//b0678//b2913//b2961//b4265//b3853//b0574//b1225//b2199//b1779//b2579//b3806//b1182//b2284//b0113//b2608//b3702//b0592//b3667//b3114//b1265//b1390//b2344//b2731//b0041//b2366//b1516//b1130//b4431//b2374//b0597//b2925//b2995//b1672//b0931//b3049//b4376//b2964//b3207//b3927//b4471//b4241//b2171//b3432//b0908//b2231//b4384//b3960//b1706//b2212//b3748//b1681//b2234//b3416//b3688//b3854//b1220//b1501//b0109//b1407//b0826//b1654//b2406//b2152//b3096//b0678//b1226//b2755//b1516//b0411//b4702//b2710//b2721//b0462//b3424//b3870//b2741//b2841//b3413//b0430//b2366//b2752//b3599//b0980//b2675//b3167//b0979//b3311//b3331//b1615//
FhlA-Formate	b2213//b4153//b4035//b1612//b2710//b3869//b2417//b3057//b3325//b2375//b3418//b4506//b2987//b1594//b1593//b4159//b3077//b0221//b0181//b1407//b3577//b3571//b0179//b2722//b2965//b3668//b1298//b4054//b2277//b1745//
FucR-L-fuculose-1-phosphate	b2487//b3430//b4076//b1397//b2608//b2364//b3583//
Fur-Fe2+	b2911//b4000//b1516//b3095//b1220//b2428//b4439//b4104//b0339//b1588//b4213//b2987//b3581//b4268//b2287//b0593//b3574//b0221//b3667//b0765//b0862//b4315//b4068//b2597//b0997//b0727//b4238//b1680//b1548//b2280//b1887//b0517//b2529//b0734//b3214//b1132//b3709//b4153//b2727//b3315//b2912//b4290//b1190//b1387//b1973//b2373//b2421//b3904//b0399//b1476//b0889//b0903//b3430//b0622//b4417//b0179//b0775//b2659//b2093//b2242//b0676//b3394//b2535//b3860//b2705//b3359//b2155//b4152//b2588//b3116//b0351//b3408//b0597//b0615//b3611//b2942//b0623//b0734//b0221//b1736//b4239//b3072//b2150//b2964//b4392//b2407//b2499//b2943//b2421//b3667//b1920//b3724//b4105//b3542//b1482//b0934//b1430//b0616//b1616//b0351//b2288//b0995//b2759//b1589//b1680//b0613//b4124//b2926//b2485//b1209//b0035//b3911//b1335//b0333//b1272//b0154//b4195//b3564//b0019//b1658//b3072//b3723//b0872//b2153//b1884//b1264//b0586//b0586//b2866//b3748//b0397//b2417//b2211//b0945//b2995//b1817//b0575//b4317//b0936//b4006//
Fur-Mn2+	b4097//b1021//b0573//b3227//b0077//b3324//b3038//b1594//b2631//b4289//b3135//b1780//b0031//b1718//b1387//b1718//b1130//b3166//b2727//b1780//b2240//b0606//b2029//b4005//b0346//b0781//b4067//b3450//b2716//b4171//b3363//b2994//b1264//b1521//b1673//b0342//b3222//b3938//b3231//b4132//b4005//b2764//b0724//b3610//b0776//b1132//b0872//b3035//b4669//b2424//b1900//b1499//b4132//b3026//b3275//b1888//b3404//b2724//b2730//b0616//b1395//b4506//b3709//b4068//b1882//b4013//b0937//b2617//b4013//b1888//b1189//b3543//b4153//b2721//b1881//b1907//b3325//b2997//b0588//b4367//b3666//b1736//b0349//b2497//b1810//b2913//b0998//b0337//b0594//b4004//b1613//b3317//b1062//b2240//b0677//b2469//b0366//b4004//b0756//b3542//b4016//b0063//b2094//b0039//b0935//b0390//b3709//b3417//b0588//b2987//b3408//sroD//b3454//b3222//b2241//b2369//b3123//b2196//b0440//b0592//b3830//b2996//b3363//b1038//b4169//b4002//b2763//b0754//b2374//b2308//b3243//b0591//b0721//b4032//b2279//b3320//b1007//b1220//b3701//b0349//
GlcC-Acetate	b1111//b4254//b2614//b0679//b0115//b4406//b2344//
GlcC-Glycolate	b2488//b4289//b4076//b1101//b0775//b2195//b2741//
GlrR-Pasp56	b2609//
IclR-pyruvate	b1521//b2725//b1518//b2297//
IdnR-5-ketogluconate	b0908//b3115//b2277//b3335//b2287//b4476//b3934//b1182//
IdnR-Idonate	b0330//b1684//b2614//b3321//b1338//b0168//b2425//b4008//
IlvY-2-acetolactate	b4289//b4033//
IlvY-Alfa-acetohydroxybutirate	b3214//b3616//
IscR-2Fe	b3164//b3961//b4071//b3749//b4431//b1719//b1210//b4292//b2608//b1656//b3845//b3748//b1211//b1336//b0575//b3458//b2393//b2868//b4383//b4450//b4317//b0756//b0973//b0346//b1189//b3223//b2243//b3781//b1654//b4074//b4471//b3569//b2507//b0114//b1492//b3357//b2278//b3449//b2961//b4005//b3609//
LldR-L-lactate	b0118//b2708//b0523//
Lrp-Leucine	b3727//b0755//b4203//b2147//b0935//b0937//b4068//b2306//b4383//b2236//b3095//b2156//b0684//b1654//b2705//b0150//b0106//b1388//b1859//b2198//b3457//b2146//b0819//b0980//b3830//b1160//b3321//b0782//b2465//b3359//b0039//b3616//b3393//b3418//b0733//b0430//b1641//b2980//b2802//b3260//b0978//b1531//b2423//b2726//b2996//b3170//b0903//b4289//b0619//b2150//b3125//b0764//b4197//b4398//b0903//b2630//b4036//b0621//b0728//b1397//b0880//b0889//b2415//b1516//b1392//b3132//b3709//b2716//b1886//b0861//b4069//b4315//b2868//b0331//b1887//b2213//b0572//b3450//b1287//b4054//b4200//b1497//b3969//b3544//b4441//b2673//b2965//b2424//b1009//b0182//ilvG_1//b0189//b0727//b1023//b1748//b3772//b0080//b0785//b3070//b0041//b1482//b0620//b0975//b1818//b4129//b1593//
LsrR	b2482//b3615//b1713//b0342//b4392//b2570//b3005//b2297//b4195//
MalT-ADP-Maltotriose	b2531//b2312//b4293//b0388//b2717//b2725//b4400//b4006//b3260//b1546//
MalT-Maltotriose-ATP	b0814//b4265//b0161//b2673//b0864//b0894//b4093//b4003//b0199//b0153//
MelR-Melibiose	b0330//b1907//b0720//
MetJ-S-adenosylmethionine	b2231//b2535//b1590//b0620//b1261//b0377//b2171//b3604//b3213//b1591//b4202//b0031//b0998//b4170//b4019//
MetR-L-homocysteine	b1734//b1210//b3934//b1497//b2370//
MhpR-3-DHPP	b0033//b0348//b0335//b0109//b2092//b4170//
MhpR-3HPP	b3132//b1276//b4032//b0031//b2990//b2912//
MntR-Cd2+	b3070//b3026//b0112//b0463//b2841//
ModE-MoO42-	b1015//b2393//b2306//b1042//b2993//b1130//b1887//b3774//b2580//b1212//b1241//b1182//b2673//b3707//b2483//b4058//b0344//b2557//b2911//b3855//b2279//b1136//b3096//b1613//b4008//b0400//b0934//b3748//b4198//b4069//b3457//b0587//b1922//b0411//b1302//b3709//b2231//b1299//b1717//b3934//b4139//b1613//b1513//b0378//b1814//b2344//
NarL-Phosphorylated	b1220//b3578//b3480//b3828//b0996//b2288//b2476//b1922//b0783//b0183//b2497//b3114//b3851//b2029//b0037//b2310//b2993//b2204//b1006//b2866//b3961//b2708//b2911//b3365//sroD//b3429//b2572//b3132//b3275//ilvG_1//b2282//b0181//b3774//b2425//b2570//b2711//b0619//b4063//b1037//b2373//b2309//b2965//b3315//b2287//b2805//b1008//b2732//b1672//b2589//b1298//b0350//b2094//b3970//b3416//b3773//b0953//b0860//b4006//b4035//b3580//b3870//b4095//b0676//b4059//b2149//b2804//b0598//b0757//b1256//b3132//b4319//b1497//b2208//b4177//b3509//b3091//b2531//b3125//b1521//b2415//b0154//b0682//b1885//b1891//b4384//b1590//b0972//b4034//b4093//b1379//b0564//b0345//b0622//b0571//b2992//b2751//phnE_2//b4209//b2288//b3452//b2553//b1160//b3601//b1394//b1921//b2224//b2706//b0351//b2708//b2802//b0451//b4131//b4319//b3261//b2393//b4111//b0336//b3395//b4095//b3831//b1907//b0111//b1010//b1888//b3327//
NarP-Phosphorylated	b4039//b2852//b1805//b3599//b3540//b0937//b3168//b3961//b3315//b1734//b0931//b2725//b3542//b3582//b3450//b3166//b1658//b1102//b1818//b2756//b2553//b0116//b0614//b1220//b0440//b2208//b3312//b0109//b1225//b4139//b3317//b2499//b0785//b3437//b3356//b1531//b1430//b2213//b3408//b3321//b1797//b1609//b2497//b2726//b4000//b1241//b1748//b0764//b4009//b1129//
NhaR-Na+	b1190//b0192//b3580//b3750//b2374//b1826//b1907//
NikR-Cd2+	b4071//b0167//b3424//b2923//b4095//b3912//
NikR-Co2+	b0557//b4101//b2149//b4315//b0115//b4400//
NikR-Cu2+	b4123//b3869//b1385//b0679//b0522//b2975//
NikR-Ni2+	b2976//b0411//b3072//b1672//b4030//b4034//
NikR-Zn2+	b4321//b2221//b2601//b4195//b4016//b0929//
NrdR-ATP	b4123//b1717//b0613//b4506//b4426//b3906//b2029//b3831//b3751//
NrdR-Zn2+	b3334//b2151//b3925//b3708//b2469//b1302//b0032//b3603//yegZ//
NrdR-dATP	b0114//b4015//b2669//b2374//b2975//b1857//b0557//b0204//b0115//
NsrR-2Fe	b4138//b4104//b3049//b1593//b3453//b3319//b3670//b0153//b1704//b2208//b0378//b1717//b2630//b1704//b2243//b0340//b3237//b3608//b0337//b0150//b2580//b2344//b3518//b2763//b3926//b4354//b4173//b1474//b0763//b4151//b0931//b0061//b0168//b2723//b1850//b0330//b4067//b1322//b0886//b3415//b2801//b4288//b3521//b4382//b0178//b4119//b2285//b1205//b4326//b3261//b2957//b3456//b3449//b3599//b4015//b1537//b0783//b1006//b3429//b0343//b2666//b1211//b4016//b2503//b1621//b0937//b1615//b0820//b0775//b2617//b1246//b0895//b2306//
PhoB-Phosphorylated	b0450//b1246//b4355//b4209//b4315//b4321//b3864//b4699//b3969//b4290//b1654//b3829//b3927//b3404//b4016//b3604//b2200//b1335//b3541//b4073//b0110//b2530//b2416//b3870//b3093//b2076//b2092//b1531//b3540//b3071//b1222//b2721//b0040//b4120//b3533//b1390//b3971//b4005//b3418//b0591//b0342//b1102//b1515//b2756//b0516//b2710//b4201//b2583//b0031//b3166//b3081//b1805//b4097//b3408//b0863//b2708//b2372//b1244//b4310//b1521//b2805//
PhoP-Phosphorylated	b4095//b3124//phnE_2//b0935//b4154//b4471//b2711//b2236//b4125//b3036//b2095//b2961//b3035//b1656//b1221//b1062//b2572//b4099//b4381//b1395//b2291//b0177//b4240//b0111//b3168//b1674//b4416//b1222//b3272//b4416//b0033//b2661//b4124//b1227//b2976//b2660//b4068//b2243//b1256//b4092//b2308//b0936//b2311//b1718//b1007//b0042//b1885//b1264//b0346//b1680//b0080//b4381//b2584//b2671//phnE_2//b3328//b2751//
PrpR-2-methylcitrate	b2277//b0350//b1024//b0331//b0338//
PurR-Guanine	b2221//b1392//b2551//b4293//b2964//b2373//b0591//b1112//b3317//b2341//b4367//b2705//b2490//b2580//b0566//b2364//b0978//b4637//b4698//b2470//b3231//b0178//b1227//b1493//b2763//b4079//b4376//b0349//b2311//b2925//b0586//b0463//b1858//b0178//
PurR-Hypoxanthine	b4097//b3769//b4291//b2916//b2371//b4024//b4032//b3426//b2728//b0523//b4324//b3417//b0684//b0035//b1421//b2571//b1492//b4511//b0019//b1514//b2529//b0977//b3831//b3438//b0722//b0733//b0429//b1521//b2374//b3356//b4292//b0619//b0333//b0345//
QseB-Phosphorylated	b2957//b3096//b2277//b2068//
RhaR-L-rhamnose	b2195//b0352//
RhaS-L-rhamnose	b2607//b0970//b1819//b4170//b4122//b3521//
RstA-Phosphorylated	b4197//b2713//b4008//b0783//b2094//b3036//b2760//b1608//b4288//b2754//
SoxR-2Fe_oxydized	b3759//b3454//b1384//b0777//
TorR-Phosphorylated	b2722//b0880//b3863//b0622//b2987//b1011//b1530//b3331//b2719//b4323//
TrpR-Tryptophan	b3124//b3927//b3603//b0933//b4160//b1264//b0887//b0602//b4376//b0590//b2573//b1745//
TyrR-L-tryptophan	b3431//b2756//b1002//b3437//b2721//b3672//b2852//b4099//b3456//b3828//b2509//b1011//b0341//b3758//
TyrR-Phenylalanine	b0388//b3608//b4013//b2276//b1209//b2508//b1275//b0586//b1220//b1007//b2497//b2589//b0723//b2997//
TyrR-Tyrosine	b0974//b0388//b4169//b0841//b4511//b1679//b2759//sroD//b3853//b4354//b0814//b2488//b4237//b2205//
UhpA-Phosphorylated	b1020//
XapR-xanthosine	b0462//b3572//
XylR-Xylose	b2464//b0333//b3583//b3237//b1797//b3543//
ZntR-Cd2+	b2720//
ZntR-Hg	b0078//
ZntR-Zn2+	b4019//
ZraR-Phosphorylated	b1513//b3275//b3772//
Zur-Zn2+	b3748//b4367//b2368//b3049//b0755//b0980//
